prospect_AgencyID,prospect_OwnOrRentFlag,prospect_NumberChildren,prospect_City,prospect_MiddleInitial,prospect_CreditRating,prospect_Gender,prospect_NumberCars,prospect_LastName,prospect_MaritalStatus,prospect_Employer,prospect_State,prospect_PostalCode,prospect_AddressLine1,prospect_Income,prospect_Phone,prospect_Age,prospect_NumberCreditCards,prospect_NetWorth
sha34,U,3.0,Fort Smith,Z,818.0,f,1.0,shane,M,DaVita,SC,25339,885 CROSBY LANE,79476.0,1-209-754-5635,85.0,2.0,3480265.0
MER35,U,3.0,Lancaster,,766.0,,5.0,MERWIN,M,Marshall & Ilsley Corp.,MS,V6o 1v4,12235 jay street,102156.0,1-498-781-3456,81.0,3.0,3648900.0
con36,O,3.0,Colorado Springs,,359.0,,2.0,conrad,M,Cablevision Systems,UT,01852,20340 LOMBARD CRESCENT,221481.0,1-615-241-0440,0.0,2.0,1161790.0
ons37,R,5.0,Washington,,401.0,M,1.0,onsiteteam,S,Barnes & Noble,PA,78230,22074 dexter upper,41836.0,1-995-449-5200,28.0,2.0,2050587.0
Sum38,O,1.0,Lowell,,609.0,M,1.0,Summerlin,U,EMC,OK,93770,1540 MURIE RUE,72389.0,1-295-673-4452,65.0,0.0,3579198.0
gro39,O,0.0,Frederick,F,630.0,,3.0,grooms,S,Fluor,WY,m4l 1n4,7075 glen loch drive,66486.0,1-914-675-2986,20.0,2.0,889494.0
dil40,O,1.0,Mesa,I,671.0,,3.0,dilkie,M,Dollar General,RI,22335,11237 balmoral way,200185.0,,55.0,9.0,2205682.0
DOL41,O,2.0,Lakewood,,715.0,,0.0,DOLSON,U,Lear,HI,V6C 1T4,8316 GARDEN BROOK NORTH,289215.0,1-825-739-0336,76.0,10.0,1140117.0
Pos42,O,1.0,Cleveland,,707.0,,4.0,Posthumus,M,J.P. Morgan Chase & Co.,VA,M6t 1h3,2240 clifton lower,322484.0,1-956-713-3802,1.0,9.0,1421319.0
Mac43,O,2.0,Grand Rapids,,329.0,,4.0,Machika,M,Affinia Group Intermediate,OK,95263,20907 NOTINGHAM LOWER,83458.0,1-814-932-1579,3.0,0.0,3525204.0
che44,R,3.0,Peoria,,601.0,,0.0,chenoweth,D,,Prince Edward Island,v5b 1p5,601 carroll lower,,1-135-443-7282,100.0,8.0,468976.0
hol45,O,1.0,Inglewood,,623.0,,5.0,holbrooks,W,Goldman Sachs Group,SD,32318,18267 state drive,492407.0,1-720-975-0667,81.0,2.0,1685443.0
pfi46,O,4.0,Akron,,376.0,f,4.0,pfieffer,S,E*Trade Financial,OH,93872,9270 LEAF SOUTH,346630.0,1-871-598-3505,76.0,2.0,337564.0
elk47,O,3.0,Charlottetown,Y,560.0,,1.0,elkington,W,Pfizer,MA,92824,18582 PERIMETER BOULEVARD,9572.0,1-607-222-4809,51.0,0.0,84777.0
Lab48,O,5.0,Bellevue,,693.0,F,1.0,Labenek,,Safeway,MD,e4a 1r2,9612 park stream upper,265369.0,1-965-046-0642,,4.0,3146477.0
laf49,U,2.0,Dover,Y,346.0,,1.0,laferriere,S,Simon Property Group,Saskatchewan,H7G 1V4,2803 clearwater north,104172.0,1-155-441-3579,58.0,0.0,495277.0
Nor50,O,3.0,Fullerton,I,342.0,,0.0,Norment,M,Trinity Industries,WA,85039,11103 BISSONNET WEST,65550.0,,52.0,0.0,746904.0
hag51,R,0.0,Denver,,563.0,,2.0,hagar,M,Solutia,OH,v6m 1q3,4652 outervale lane,,1-544-132-7237,91.0,8.0,1219620.0
Bet52,O,3.0,Dallas,,391.0,m,2.0,Betcher,M,,WY,X7j 1r1,341 dunbar west,,1-821-089-2089,17.0,4.0,1718910.0
Van53,O,4.0,San Jose,,381.0,m,4.0,Van der,S,A.O. Smith,NJ,B8b 1z5,16176 vernon drive,66244.0,1-135-391-9787,6.0,8.0,
O'L54,U,3.0,Bellevue,,539.0,F,0.0,O'LEARY,S,AptarGroup,ND,t5d 1v4,23131 clint way,426954.0,1-776-182-6215,89.0,9.0,2636424.0
and55,O,4.0,San Buenaventura,,497.0,m,5.0,anderson,M,Coca-Cola,NC,V6t 1r2,11640 baltic upper,126891.0,1-079-780-7761,99.0,0.0,1326305.0
sta56,O,2.0,St. Louis,,661.0,,4.0,starks,M,Kimberly-Clark,WV,91177,20796 dolores drive,454196.0,1-504-346-4393,77.0,,2241997.0
CHA57,R,3.0,Pueblo,,558.0,,5.0,CHASSE,S,Visteon,GA,T5c 1t1,14359 COMMERCE WEST,163940.0,1-985-538-4351,,0.0,1542891.0
ASI58,O,1.0,Regina,,534.0,R,,ASING,W,TECO Energy,Ontario,35862,21448 hampton boulevard,365213.0,1-254-097-9398,90.0,,797918.0
ask59,U,0.0,Saskatoon,,373.0,f,0.0,askins,M,Bemis,MA,96820,7637 pershing way,428739.0,1-545-924-9552,82.0,6.0,347654.0
Kik60,O,0.0,Jackson,K,382.0,,4.0,Kikuta,M,Wyeth,CA,75238,11529 arcana boulevard,142444.0,1-984-233-8818,,8.0,2456397.0
Cha61,O,3.0,St. Petersburg,,475.0,F,3.0,Chane,S,United Technologies,SD,85769,2700 windwood north,416168.0,1-528-691-1642,15.0,10.0,1284229.0
KIL62,O,0.0,Scottsdale,U,539.0,m,2.0,KILLEN,D,Clorox,Saskatchewan,H5i 1o9,22279 gramercy road,291420.0,,,3.0,618787.0
kin63,O,5.0,Charlotte,,711.0,f,4.0,kinley,M,Discovery Communications,RI,90849,9828 west east,413501.0,1-171-807-8213,96.0,6.0,1171606.0
MAL64,O,,Waterbury,,606.0,,4.0,MALAHER,M,Williams-Sonoma,NC,43644,5935 mcafee park,,1-056-241-7009,38.0,1.0,3983261.0
Odu65,O,3.0,Chesapeake,J,494.0,,3.0,Odum,W,Manitowoc,SD,99213,12460 CLAYTON STREET,419143.0,1-389-414-0570,10.0,0.0,2328568.0
DI 66,O,5.0,Hialeah,,309.0,,1.0,DI NINNO,M,Henry Schein,IL,72226,275 3rd drive,155057.0,1-583-542-1656,72.0,3.0,2078600.0
STU67,O,5.0,Charleston,K,630.0,,2.0,STUBBLEFIELD,M,Trinity Industries,OR,V6Z 1Q9,6907 FERNCLIFF CRESCENT,313859.0,1-269-712-0672,97.0,3.0,2986155.0
HAM68,O,1.0,Salem,,330.0,,4.0,HAMBALI,S,Pepsi Bottling,Ontario,20082,885 crosby lane,265907.0,1-670-102-0463,48.0,10.0,1864039.0
LIB69,O,0.0,Sacramento,,710.0,m,,LIBRARIAN,S,UGI,FL,35827,2344 kalani west,283481.0,1-699-726-3895,97.0,9.0,1293721.0
ohs70,R,0.0,Santa Clarita,,475.0,M,4.0,ohsone,M,Greif,NM,99692,22870 LA CIENEGA STREET,200635.0,1-640-666-2876,73.0,7.0,3850114.0
HUM71,O,1.0,Sherbrooke,O,596.0,,0.0,HUMMEL,U,Equifax,NE,V6c 1q5,8478 green avenue,434519.0,1-540-639-1311,71.0,3.0,1618743.0
BRA72,O,1.0,Colorado Springs,,670.0,,5.0,BRADD,W,,MI,80158,23639 purdue rue,392315.0,1-285-874-8492,93.0,9.0,3383487.0
Boa73,O,3.0,Berkeley,X,722.0,,5.0,Boarder,U,Freescale Semiconductor,New Brunswick,t6d 1b6,19202 ansley park,493829.0,1-121-904-0040,53.0,,2981876.0
Mcn74,O,2.0,San Buenaventura,,587.0,,3.0,Mcnally,U,Aleris International,NJ,33120,11319 devonshire rue,97489.0,1-017-842-3201,32.0,7.0,2109339.0
MAR75,O,3.0,New Haven,,609.0,F,4.0,MARKOVICH,S,,ND,99742,23665 deerwood park,,1-215-859-3206,1.0,4.0,791803.0
Wil76,O,1.0,Shreveport,,401.0,f,0.0,Willekes,S,World Fuel Services,Saskatchewan,V6N 1T1,4855 union north,383046.0,1-764-520-7470,39.0,7.0,3523678.0
Dea77,,0.0,Lansing,S,335.0,m,4.0,Deacetis,M,R.R. Donnelley & Sons,KS,44104,9466 SHADOWBRIAR WEST,1190.0,1-414-130-0162,77.0,0.0,1681902.0
Hou78,O,5.0,Pembroke Pines,,569.0,,5.0,Houk,U,Brinker International,SD,14605,3504 regency avenue,85733.0,1-970-240-9990,18.0,7.0,3851455.0
Goy79,R,2.0,Palmdale,,,,0.0,Goyette,M,Temple-Inland,FL,80076,7281 northland lower,387890.0,1-408-684-6459,70.0,9.0,2339382.0
Mok80,O,0.0,Savannah,Z,679.0,f,2.0,Mok-fung,S,Psychiatric Solutions,Saskatchewan,V6I 1V6,12481 hayden lower,16808.0,1-330-353-5908,26.0,7.0,
Run81,,4.0,Amarillo,I,356.0,,,Rundle,M,Nash-Finch,FL,97307,2328 gracie avenue,304589.0,1-766-726-2675,,10.0,2065016.0
BEL82,R,5.0,Anchorage,,308.0,o,2.0,BELLEY,S,AMR,UT,46237,4737 campbell street,48506.0,1-938-425-7509,58.0,9.0,2454049.0
BAE83,O,4.0,Louisville,Y,412.0,,0.0,BAER,M,Spartan Stores,WY,V6B 1S6,2401 stratmore lower,,1-527-308-8874,43.0,4.0,2423395.0
MAU84,O,3.0,Hilo,,618.0,f,2.0,MAULDIN,D,Cigna,NH,H2d 1x1,21477 JUNIPER CRESCENT,358862.0,1-810-590-0635,65.0,4.0,1342045.0
Koo85,O,3.0,Sudbury,,429.0,,5.0,Koohgoli,S,General Cable,AR,95108,19214 YAUPON BOULEVARD,477614.0,1-274-548-2512,24.0,5.0,861756.0
Lau86,O,1.0,Orlando,,819.0,,3.0,Lauriston,S,Dun & Bradstreet,CT,80050,7785 rusk boulevard,175414.0,1-649-754-4601,79.0,3.0,1215349.0
Man87,O,1.0,Missoula,L,552.0,F,0.0,Mangum,M,Casey's General Stores,VT,90122,18002 cantrell upper,427598.0,1-905-932-1785,48.0,7.0,3981554.0
PIE88,O,4.0,Abilene,,587.0,,0.0,PIERCY,S,Jack in the Box,Manitoba,43614,23341 brookside upper,368207.0,1-031-004-7697,69.0,9.0,3865937.0
Bus89,O,1.0,Saskatoon,,304.0,M,3.0,Buscaglia,S,Assurant,NJ,61110,20494 ROSS WEST,449944.0,1-994-812-4796,91.0,6.0,2804700.0
BAB90,U,5.0,Irvine,,795.0,,5.0,BABIONE,,Psychiatric Solutions,KY,70174,17552 SAVANNAH NORTH,166247.0,1-176-513-4041,75.0,4.0,3283558.0
Bur91,O,3.0,Reno,,830.0,M,1.0,Burkard,S,Danaher,GA,90324,4462 pace crescent,391165.0,1-072-244-6337,85.0,2.0,450524.0
Kin92,R,3.0,Sacramento,,709.0,,5.0,Kinsella,M,Clorox,NJ,s7d 1n1,7161 tallowood upper,165854.0,1-924-669-9328,76.0,3.0,
POM93,O,1.0,Topeka,,493.0,,2.0,POMMAINVILLE,S,Boyd Gaming,SC,93829,3489 silver sage west,326181.0,1-598-488-3541,68.0,8.0,
BOA94,O,,Rancho Cucamonga,,680.0,M,3.0,BOATWRIGHT,M,Eaton,TN,89116,12481 hayden lower,173387.0,1-295-539-3868,95.0,,633760.0
Ron95,R,5.0,Hilo,R,800.0,,1.0,Ronald,M,Dynegy,WY,94315,13210 3RD DRIVE,301127.0,1-554-020-0267,15.0,,3634954.0
wei96,R,5.0,Saint John,A,614.0,,1.0,weihs,M,AmeriCredit,Ontario,T5b 1u9,8899 starling lane,487230.0,1-793-621-4566,17.0,4.0,799268.0
Hel97,R,0.0,Torrance,P,763.0,M,4.0,Helpb,,SLM,DC,T6b 1a5,11480 fennel south,425747.0,1-787-267-4261,94.0,6.0,39093.0
mog98,O,4.0,Santa Clara,,561.0,m,4.0,moghe,S,NV Energy,Alberta,60699,7266 cherry upper,401946.0,1-668-247-1597,70.0,3.0,2705353.0
boz99,O,2.0,Torrance,,569.0,,1.0,bozicevich,S,Landstar System,ME,V6p 1s8,10678 ENGLEWOOD WEST,425422.0,1-901-346-8890,29.0,4.0,3565153.0
Zah100,O,1.0,Stockton,R,634.0,,4.0,Zaharychuk,M,Pacific Life,MA,v6i 1p1,21181 2ND RUE,208890.0,1-451-273-3803,52.0,5.0,2832204.0
And101,O,3.0,Paterson,,488.0,F,5.0,Andric,U,Textron,NV,79423,22963 hanover road,67880.0,1-129-499-9136,51.0,10.0,2194345.0
Bam102,O,3.0,Mesa,L,788.0,,2.0,Bamfo,W,Pfizer,WA,H5j 1o6,8268 cliffbrook boulevard,133412.0,1-899-319-0772,24.0,5.0,3737140.0
fro103,O,4.0,Anchorage,,333.0,,3.0,frondozo,D,Cigna,WY,93761,5118 montview court,144829.0,1-053-396-0441,98.0,8.0,464753.0
Car104,U,1.0,Miami,J,601.0,,1.0,Caron,M,Ameren,NJ,76150,17442 tallowood upper,,1-239-665-9540,59.0,,596696.0
muc105,O,4.0,Great Falls,V,595.0,f,3.0,muchow,U,Consolidated Edison,LA,99717,4038 WEDGEWOOD STREET,143682.0,1-605-888-3403,49.0,2.0,1504753.0
gat106,O,1.0,Erie,,433.0,,0.0,gateau,U,Occidental Petroleum,TX,60608,20334 anaconda avenue,350020.0,1-630-604-2543,1.0,10.0,3049281.0
Sch107,O,,Hollywood,M,403.0,F,0.0,Schaefer,U,Sherwin-Williams,SC,v6w 1u4,5385 young west,435103.0,1-851-862-7928,79.0,10.0,247478.0
pom108,R,5.0,Tulsa,,615.0,,1.0,pomerleau,,Affiliated Computer Services,TX,T5b 1t6,2747 SINCLAIR LANE,207768.0,1-065-415-5724,6.0,3.0,2750301.0
cuc109,O,4.0,Tucson,K,735.0,F,0.0,cucuzzella,M,Valassis Communications,MN,23298,8622 BROWNWAY PARK,407512.0,1-408-512-1007,70.0,1.0,721333.0
SUG110,O,0.0,Anchorage,Z,668.0,q,3.0,SUGARMAN,S,,ID,32803,18048 GREEN NORTH,403366.0,1-083-902-4184,23.0,1.0,669440.0
Pep111,O,5.0,Sandy,,349.0,,3.0,Pepe,M,Smithfield Foods,MI,64122,18994 country boulevard,384095.0,1-568-403-7081,78.0,,2473979.0
Cha112,,,Boston,,654.0,f,4.0,Chandrashekar,S,,OK,T6b 1h2,16063 ashland road,288969.0,1-824-389-0618,79.0,,3545170.0
SEI113,O,3.0,Vancouver,U,361.0,m,2.0,SEIFERS,U,TD Ameritrade,UT,22222,19309 mcfarlin north,233665.0,1-174-210-2058,72.0,6.0,1494871.0
GAR114,U,0.0,Akron,S,427.0,F,4.0,GARTLEY,S,Comerica,PA,T6a 1d2,2454 cliffbrook west,147236.0,1-425-503-7952,31.0,1.0,436164.0
Tou115,O,3.0,Lancaster,,322.0,M,0.0,Touchette,W,Steel Dynamics,New Brunswick,v5d 1n9,15865 strand west,452557.0,1-012-389-9089,86.0,1.0,1069481.0
Kur116,R,0.0,Concord,V,792.0,M,2.0,Kurdziel,S,Coca-Cola Enterprises,UT,23321,13776 east boulevard,179305.0,1-909-472-6704,,9.0,
Her117,O,0.0,Chesapeake,,478.0,,3.0,Herod,U,News Corp.,VA,90505,10570 WEIZMANN LOWER,205817.0,1-622-167-5411,87.0,2.0,2957261.0
MCV118,O,5.0,Flint,P,477.0,,,MCVICAR,M,,NH,19066,15278 walnut hill road,262711.0,1-164-511-9338,92.0,1.0,228459.0
LAB119,O,5.0,Chattanooga,,449.0,F,1.0,LABFIVE,M,Stater Bros. Holdings,VT,v6s 1r3,23007 WAKEFOREST WAY,84810.0,1-804-532-9163,4.0,6.0,67267.0
but120,O,4.0,Billings,,466.0,,2.0,butta,U,BorgWarner,FL,78769,9088 rivas way,96441.0,1-197-370-0297,8.0,2.0,1087978.0
Pro121,O,5.0,Scottsdale,,483.0,m,0.0,Projects,M,CB Richard Ellis Group,NC,53769,18798 ullrich road,462762.0,1-337-042-5687,97.0,2.0,3885967.0
Irc122,O,4.0,Oshawa,,588.0,,5.0,Irc,D,Zimmer Holdings,VA,H7E 1U6,18517 HULEN LOWER,141890.0,1-056-138-5321,,4.0,3271101.0
Ziv123,O,5.0,Naperville,G,313.0,,5.0,Zivkovic,,Mohawk Industries,DC,e7o 1k1,11474 dodd lane,156610.0,1-776-191-2031,40.0,2.0,
sim124,R,4.0,Tampa,H,647.0,,1.0,simser,U,Berkshire Hathaway,NC,90374,9375 wood south,164752.0,1-280-696-2706,95.0,1.0,1999133.0
kei125,O,5.0,Jackson,I,430.0,,1.0,keifer,S,Saks,MS,63169,20479 wise avenue,278949.0,1-857-581-6346,92.0,2.0,1100786.0
arv126,O,5.0,Hay River,P,467.0,f,0.0,arvin,W,Gardner Denver,SC,16515,19918 ROGERS NORTH,,,67.0,8.0,563992.0
Pra127,O,2.0,Irvine,,399.0,F,3.0,Praeuner,M,Hasbro,KS,85309,9284 coffey lower,463736.0,1-716-343-0884,24.0,7.0,962397.0
lue128,O,3.0,Idaho Falls,C,654.0,m,2.0,lue,M,CBS,VT,92158,2929 north crescent,,1-101-776-2496,26.0,5.0,1064169.0
Prz129,O,0.0,Moreno Valley,,378.0,f,2.0,Przybycien,S,Synnex,IL,33152,15404 queen street,86667.0,1-769-028-0589,62.0,3.0,2100059.0
pen130,O,1.0,Ontario,J,338.0,f,5.0,penn,W,Belden,FL,83729,1619 greenspoint road,193470.0,1-005-833-8970,37.0,10.0,99025.0
Gua131,R,0.0,Concord,S,695.0,,5.0,Guay,S,Broadcom,MI,B8b 1z6,21477 WARREN PARK,406379.0,1-884-215-4243,71.0,10.0,3865481.0
bre132,U,3.0,Phoenix,,614.0,F,1.0,brennand,M,Reynolds American,Newfoundland,53717,6503 ROBBINS STREET,480595.0,,29.0,7.0,804544.0
Sav133,O,5.0,Coral Springs,X,307.0,f,4.0,Savanh,S,Wells Fargo,ME,t5c 1w7,3958 GLEN LOCH BOULEVARD,181718.0,1-725-177-7815,89.0,7.0,3143356.0
ABB134,O,3.0,Oxnard,Z,331.0,,0.0,ABBATANTUONO,M,Retail Ventures,AL,37245,13640 ethridge lower,468310.0,1-277-496-5396,11.0,2.0,
OP135,O,0.0,Brownsville,N,638.0,M,2.0,OP,S,AT&T,IN,94401,3981 imperial lower,354987.0,1-756-463-2201,20.0,2.0,2311953.0
Mer136,O,5.0,Memphis,,703.0,,3.0,Mersinger,W,Wynn Resorts,NH,B8a 1y3,13210 3rd drive,284539.0,1-261-338-7463,75.0,3.0,3120608.0
rut137,O,5.0,Flint,,302.0,F,0.0,rutt,S,Eastman Kodak,DC,t6b 1k2,9297 THROCKMORTON SOUTH,213725.0,1-811-086-4675,95.0,7.0,2058270.0
bem138,O,3.0,Lafayette,I,522.0,,2.0,bemis,U,Aramark,DC,85306,8935 YOUNG UPPER,74195.0,1-338-771-1185,0.0,,1511983.0
Pen139,O,1.0,Greensboro,,,,5.0,Pennington,M,ENSCO International,MD,V6R 1R7,3797 RUTGERS PARK,169295.0,1-554-231-5318,73.0,,439080.0
tor140,R,0.0,Sterling Heights,Y,833.0,M,1.0,torok,W,Auto-Owners Insurance,Prince Edward Island,68513,8285 tamarind crescent,307832.0,1-733-886-5227,39.0,5.0,921255.0
law141,O,1.0,Costa Mesa,L,,m,1.0,lawlis,U,Bemis,MD,v6n 1v9,20025 routh crescent,20397.0,1-267-357-1943,76.0,2.0,3810365.0
Bee142,O,2.0,Houston,D,664.0,m,2.0,Beebe,U,Securian Financial Group,New Brunswick,83702,4144 LAKE PARK LANE,463094.0,1-602-756-7919,5.0,6.0,2641938.0
sch143,O,1.0,Bakersfield,,789.0,m,4.0,schlange,U,Ford Motor,HI,80125,3375 sakowitz lane,331900.0,1-793-864-7010,65.0,7.0,3857323.0
Wit144,U,0.0,Chesapeake,,803.0,,5.0,Witchlow,S,ConAgra Foods,ND,M5G 1Y7,7255 berry way,8421.0,1-637-020-2921,94.0,0.0,1636212.0
MER145,,4.0,Sandy,Q,720.0,F,4.0,MEREDITH,M,Charter Communications,Nova Scotia,80213,3131 WATHAN SOUTH,35780.0,1-428-797-6325,95.0,3.0,2999082.0
bia146,R,0.0,Lewiston,,839.0,m,1.0,bialkenius,M,Calpine,ME,60737,18440 RYAN NORTH,139897.0,1-011-549-5618,28.0,4.0,2280820.0
Swi147,O,1.0,Elizabeth,P,621.0,m,4.0,Swiat,D,Crane,Alberta,90510,13222 glen loch road,414119.0,1-993-255-5481,76.0,0.0,1050866.0
bul148,O,4.0,Sudbury,,628.0,,5.0,bullinger,D,Textron,VT,92882,7889 MURRAY WAY,234035.0,1-487-749-4448,81.0,3.0,
TYR149,O,5.0,Austin,,813.0,F,3.0,TYRRELL,W,Idearc,DE,98121,7527 whale drive,144405.0,1-192-352-2184,38.0,6.0,603001.0
Fyf150,R,3.0,Salinas,,367.0,,5.0,Fyfe,W,Cabela's,MA,H2e 1x9,17788 eagle trace park,55441.0,1-293-442-4224,25.0,3.0,3368239.0
Sic151,O,2.0,Peoria,,807.0,,4.0,Sicard,D,EOG Resources,CA,23503,7661 GRANT WAY,392869.0,1-078-502-6700,0.0,10.0,1042629.0
CAS152,O,4.0,Sydney,,501.0,F,3.0,CASTEN,U,,Manitoba,40208,4806 crystal hills street,402416.0,1-430-909-3001,61.0,8.0,1948746.0
Cho153,O,2.0,San Antonio,S,490.0,,0.0,Choy,U,Burlington Coat Factory,TN,75201,4211 WILLS NORTH,89984.0,1-392-455-0895,3.0,10.0,3113862.0
CHA154,O,3.0,Oklahoma City,,321.0,,2.0,CHACKO,W,Southwest Airlines,FL,93852,7524 linberg north,395773.0,1-273-921-9787,77.0,3.0,2777290.0
bei155,R,0.0,Miami,E,,f,1.0,beil,U,RPM International,CA,32312,14266 lemming south,126662.0,1-012-993-4538,8.0,6.0,2210073.0
Ele156,O,1.0,Yonkers,J,446.0,m,4.0,Eleftheriou,U,Amazon.com,CO,90059,1427 ADDAX LANE,132008.0,1-890-859-4211,34.0,7.0,1999684.0
