prospect_AgencyID,prospect_NumberCars,prospect_MiddleInitial,prospect_MaritalStatus,prospect_AddressLine1,prospect_Gender,prospect_CreditRating,prospect_Income,prospect_Country,prospect_Age,prospect_PostalCode,prospect_NumberCreditCards,prospect_AddressLine2,prospect_State,prospect_NumberChildren,prospect_Phone,prospect_OwnOrRentFlag,prospect_Employer,prospect_NetWorth
Jhc7517,1.0,s,S,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,F,845.0,367555.0,United States of America,79.0,,1.0,Havgczldcpfmwfzj,TX,1.0,1-420-580-0795,O,Monsanto,1217660.0
dbq7518,4.0,l,M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,645.0,106025.0,United States of America,36.0,Rxdsunq,7.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,New Brunswick,5.0,1-924-305-1666,U,Newfield Exploration,1229655.0
Xch7519,2.0,,W,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,m,495.0,106690.0,Canada,21.0,JXHVEEOU,1.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Alberta,2.0,1-450-082-2122,O,Loews,1157831.0
oir7520,2.0,Z,M,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,m,371.0,29373.0,Canada,4.0,XHJQCDPOO,8.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,PA,2.0,1-573-009-1404,O,Apache,
Fqb7521,2.0,O,S,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,M,462.0,168189.0,United States of America,72.0,rapkjpmvp,1.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Nova Scotia,3.0,1-603-897-9894,R,Robert Half International,
qex7522,,,S,Dmyivtczopuqajpnjqvvgbhxynvduub,,375.0,264756.0,United States of America,1.0,Slskxm,7.0,Rirmrpvlknyho,RI,,1-947-161-6502,U,Viacom,3467922.0
Hpi7523,1.0,,S,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,,516.0,44480.0,Canada,98.0,FXHXLG,10.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,OR,2.0,1-586-826-9847,U,Robert Half International,46859.0
Fjd7524,1.0,,,Esuycdxsjfbrqbtluspxsehk,,703.0,87207.0,Canada,35.0,ovlziicdezok,,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,CA,5.0,1-217-243-2668,R,CSX,2937668.0
Cgt7525,4.0,,W,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,,734.0,238434.0,United States of America,99.0,jsxcpvao,7.0,Rpzwirgfyiw,MO,2.0,1-857-211-5728,O,Country Financial Services,2388613.0
Lwx7526,0.0,,M,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,469.0,,United States of America,49.0,Ykerbceq,4.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Prince Edward Island,2.0,1-089-966-6281,U,Procter & Gamble,3116283.0
epy7527,3.0,,S,vnyndcximwxhecv,,595.0,391354.0,United States of America,72.0,VVMSNWEBT,2.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Quebec,0.0,,O,Ingles Markets,2671950.0
Aff7528,3.0,M,U,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,m,410.0,419165.0,United States of America,41.0,bibueqwbejem,1.0,Acdrcqabtcdgmgl,KS,0.0,1-231-342-6874,O,Forest Laboratories,3899593.0
mfc7529,3.0,S,W,,,475.0,396509.0,Canada,54.0,gehpynlk,10.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,NV,2.0,,O,Dentsply International,2537332.0
Slf7530,0.0,S,,GVSBHGBDDVJFNNOZNNPJWCOI,,,145161.0,United States of America,11.0,Piwlxtg,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,TN,2.0,1-602-637-1838,R,RadioShack,733236.0
Cxu7531,2.0,,W,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,,519.0,263206.0,United States of America,0.0,Ujlshmosjkid,3.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,WY,5.0,1-003-982-8627,O,Century Aluminum,
GZO7532,3.0,F,D,BIQIOQOHLQSTBRUFOI,,841.0,190371.0,United States of America,27.0,cwburwnupuj,5.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,British Columbia,3.0,1-136-358-6852,U,,3397276.0
DRW7533,3.0,A,U,Llfaqkbemnoy,,540.0,203968.0,United States of America,95.0,CNEZMHTKIAEV,6.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,LA,1.0,1-123-528-2965,O,FPL Group,2444257.0
set7534,1.0,N,U,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,f,540.0,428323.0,United States of America,35.0,kixvppuqtd,10.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,HI,3.0,1-136-565-2501,R,Lockheed Martin,71520.0
Pyo7535,4.0,,M,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,,159980.0,United States of America,96.0,jrhynxfi,6.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,NY,1.0,1-317-986-1984,O,Sanmina-SCI,1911091.0
FSH7536,0.0,,W,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,M,424.0,266852.0,Canada,96.0,dnhtjyu,6.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,TX,0.0,1-265-603-1262,O,Iron Mountain,988775.0
Tdx7537,5.0,,M,,,623.0,206973.0,United States of America,49.0,YKOVOTYB,2.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,AZ,5.0,,R,OfficeMax,3919363.0
Sbn7538,5.0,O,S,atydogjpqphuwhegtbukkqiaeakrtrn,,792.0,258221.0,Canada,,WNNMWJ,4.0,XHQNMCEJKXOQYVSZVESLKC,ME,1.0,1-156-668-6882,O,AMR,428918.0
Piq7539,4.0,C,S,Hlotorcbtobuceb,f,718.0,428508.0,United States of America,27.0,Oktkljv,6.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,NH,4.0,1-164-648-3203,O,Kohl's,58134.0
IXD7540,4.0,,M,gsrdigbqfwrahybxrtm,M,401.0,,,98.0,,6.0,Toumjfbsumpgfuskpydjeibaxi,KY,0.0,1-839-795-1027,O,Cigna,3703767.0
wsn7541,4.0,,M,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,,557.0,58953.0,United States of America,,GXFLSISZUY,2.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Prince Edward Island,5.0,1-958-412-4252,R,West,433859.0
Jkp7542,5.0,A,W,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,M,393.0,409682.0,United States of America,56.0,gzexcrngivl,7.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,British Columbia,5.0,1-392-335-1020,O,Monsanto,3002044.0
CCF7543,2.0,,M,,M,557.0,340191.0,United States of America,94.0,yzoikhwrd,10.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,CT,4.0,1-912-050-7605,,Reliant Energy,1124168.0
ylj7544,4.0,,U,RELJYREDKQEKGOORBLRKOUIC,,465.0,238216.0,United States of America,98.0,Gdbktega,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,WA,5.0,1-075-551-9919,O,Idearc,2081541.0
ZBB7545,0.0,V,M,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,F,,113171.0,Canada,8.0,Kdcqzpvf,6.0,hkyochorqgtokxgozmoncalaaiw,ND,1.0,1-013-611-2674,O,Neiman Marcus,1897076.0
fqe7546,5.0,,W,Yewxbqpnfgh,m,485.0,234797.0,United States of America,90.0,Tbwgwtmgcu,10.0,Datdnghoiymltcayulgkgxywi,ID,,1-656-865-7544,,O'Reilly Automotive,235172.0
Wpw7547,4.0,,M,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,,303.0,225322.0,United States of America,34.0,Mwmfs,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Quebec,2.0,1-879-870-7379,,Cliffs Natural Resources,639573.0
vpz7548,1.0,,W,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,,846.0,192689.0,Canada,25.0,goelqgcts,4.0,,ID,2.0,1-366-625-9813,O,Health Management Associates,2667082.0
Yfz7549,5.0,,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,621.0,348685.0,Canada,50.0,ucwygjzs,1.0,,AL,4.0,1-359-462-7089,O,Chevron,2598634.0
dou7550,3.0,,D,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,331.0,401229.0,United States of America,85.0,fjlfqftwg,,,UT,4.0,,O,Exide Technologies,1074671.0
FDJ7551,5.0,,M,hfuyqlsmbesrylepu,M,401.0,38597.0,United States of America,60.0,Tocujgaiaq,9.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,MS,4.0,1-153-396-8333,R,Convergys,2272997.0
ufu7552,2.0,,S,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,,644.0,,United States of America,95.0,kurjmmgixxfd,0.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,AK,2.0,1-144-623-1308,R,Dominion Resources,702000.0
bbg7553,4.0,H,M,qgjnvpwvmgsqzcanzncon,m,769.0,161204.0,United States of America,8.0,cnsavindoi,5.0,NBSHKLXYVUUWXEQSGXR,VT,1.0,1-269-220-8046,R,Sentry Insurance Group,1289800.0
Znk7554,3.0,v,M,HNBGLUDIOAJRCCIXGDUQOO,f,481.0,202650.0,,31.0,MQBSAUVQRPYE,2.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,LA,4.0,1-052-524-0130,O,Cintas,1007390.0
CGQ7555,1.0,T,U,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,F,732.0,,Canada,51.0,vadbnvz,7.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,CT,2.0,1-335-871-6660,O,Medtronic,124290.0
add7556,4.0,,M,dnlleihfh,,802.0,492433.0,United States of America,24.0,Ljurvnigr,2.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,UT,4.0,1-637-394-8083,O,Pride International,1820002.0
Anw7557,2.0,J,M,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,,329.0,344858.0,Canada,78.0,BQDMQVFTNBRJ,5.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,IN,4.0,1-706-795-4208,O,A. Schulman,2200347.0
Hvt7558,5.0,,W,Wsjaujjdexc,m,839.0,197290.0,United States of America,56.0,jkcul,0.0,nqcozjievwzk,WI,0.0,1-622-347-5699,R,Oneok,3669569.0
Yqj7559,2.0,d,U,Ojberg,,539.0,283654.0,United States of America,50.0,Nelny,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,WA,,1-042-017-9368,,Danaher,2140537.0
Ztn7560,4.0,,M,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,F,561.0,317423.0,United States of America,52.0,Qsggz,4.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,LA,5.0,1-829-935-5979,R,Del Monte Foods,3258909.0
bni7561,4.0,,W,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,F,814.0,399126.0,United States of America,14.0,Drofa,2.0,Lfrjkyblujmbxigmylpsxieswspmei,VT,5.0,1-076-726-5283,O,American Electric Power,1825422.0
swx7562,5.0,,M,Xwtkpxqgohxwxnv,,305.0,398180.0,United States of America,29.0,Ssovhtmt,7.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,CT,0.0,,R,TJX,1845263.0
DSA7563,2.0,P,S,Qpvmtkxxfef,f,457.0,,United States of America,50.0,Tnprhljfrlj,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,RI,4.0,1-284-129-5920,O,Philip Morris International,1463114.0
BXZ7564,4.0,,U,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,,349.0,485429.0,United States of America,67.0,Bkxujhonjgjk,8.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,SC,1.0,1-128-308-8886,O,Cincinnati Financial,2354683.0
pcz7565,2.0,,M,KRYAIAJGKHBKXBLC,,590.0,118018.0,United States of America,22.0,mrjrjhgnwcdu,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,British Columbia,0.0,1-145-469-5971,O,Stryker,436677.0
Zqa7566,5.0,,U,,m,533.0,309693.0,United States of America,20.0,Yusezkfgs,0.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,CO,4.0,1-727-684-7767,O,Kansas City Southern,2383335.0
Htl7567,4.0,z,W,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,,686.0,90718.0,Canada,75.0,RKXTQAO,9.0,IBQIDE,TN,0.0,1-776-201-2472,O,IDT,2574739.0
afw7568,2.0,L,U,VBDCWYVK,F,582.0,280645.0,United States of America,60.0,UBQSATXZO,10.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,CA,0.0,1-767-942-1278,O,Vornado Realty Trust,1596838.0
Wna7569,,,S,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,807.0,231559.0,United States of America,,BHRNWQLFVFA,0.0,Lrebujnrg,WY,4.0,1-723-062-7266,O,Dollar General,591965.0
Mlh7570,3.0,,S,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,,819.0,36898.0,United States of America,48.0,Ktmzav,3.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,SD,5.0,,O,Safeway,3071440.0
Gor7571,2.0,,M,Gwxymofcy,,311.0,396786.0,United States of America,91.0,Nfpchgfj,5.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,British Columbia,0.0,1-145-314-0862,R,Apache,2683081.0
ENX7572,2.0,,U,Qynjnmfgwxpmrw,f,734.0,344365.0,United States of America,98.0,Wuywecohosfi,3.0,Hxutrprq,NJ,5.0,1-735-104-7772,O,Lowe's,3850483.0
fgr7573,4.0,,W,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,,432.0,1205.0,United States of America,51.0,tibxlojrqiha,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,AK,1.0,,O,Lithia Motors,1870617.0
Ysh7574,5.0,a,S,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,m,394.0,276666.0,United States of America,22.0,ogmes,3.0,JRHXPUUHAFHDPF,OH,0.0,1-518-116-1411,O,CH2M Hill,1249534.0
Mos7575,0.0,I,U,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,,658.0,497953.0,United States of America,57.0,JUBKXDKP,1.0,yvntcqjqqmbftwetvbqgclcdbxspvk,New Brunswick,0.0,1-696-359-4829,O,Tellabs,3789880.0
czu7576,1.0,,M,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,,348.0,156048.0,Canada,38.0,Xbgykqm,3.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,IL,2.0,1-352-678-5471,O,Phillips-Van Heusen,3874445.0
Ghr7577,1.0,Z,M,BESJDYZDIOIXKDFEHBQXBPW,,598.0,63617.0,United States of America,68.0,NNCXIBTCXZA,8.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,AZ,5.0,1-906-600-9749,O,Wells Fargo,437353.0
Rwk7578,2.0,,U,Ouopoqztakszwsfkthdbwndfjuqaelyd,,505.0,244849.0,United States of America,93.0,mfwuio,9.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,NY,2.0,1-093-018-2851,O,Vornado Realty Trust,2669917.0
Uwi7579,4.0,,S,Ivwhotvobwkshcixclfobqoljlaqohw,,839.0,123585.0,United States of America,48.0,Utgwrun,7.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,WA,3.0,1-302-096-9321,R,New York Times,1466537.0
VXZ7580,1.0,,S,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,,672.0,391134.0,United States of America,96.0,Wgulrhctjlg,2.0,CYQWJKJB,GA,1.0,1-915-044-3154,U,Adobe Systems,991860.0
Ayk7581,5.0,p,M,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,f,696.0,426759.0,United States of America,58.0,Srhxvxe,3.0,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,AZ,5.0,1-040-274-3474,O,Valmont Industries,
lho7582,5.0,,W,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,M,448.0,451737.0,United States of America,63.0,Dadkihaohc,5.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,NV,3.0,1-678-397-2739,O,UAL,1816368.0
rzi7583,2.0,,S,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,,549.0,180822.0,United States of America,18.0,Fpoleiod,9.0,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,TN,1.0,1-679-345-9939,O,AFLAC,565246.0
Wds7584,4.0,,W,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,,705.0,205843.0,United States of America,40.0,Cuaieflmccqp,0.0,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,AL,2.0,1-093-616-0613,O,VeraSun Energy,1899339.0
Xsj7585,4.0,f,M,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,M,387.0,470985.0,United States of America,29.0,qiraymmapgf,6.0,ccfzcxohrhrcnypedmhjovjyjrxi,TX,3.0,1-546-131-8988,O,Magellan Health Services,3873239.0
Lux7586,2.0,v,U,Nhgrkzjzcrjcerkwrugwul,,359.0,318225.0,United States of America,21.0,Tsynomgib,7.0,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,WV,1.0,1-477-186-7432,,Emcor Group,767547.0
wxw7587,2.0,,M,,f,494.0,326044.0,Canada,41.0,Amudllk,9.0,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,ND,2.0,1-965-848-6954,O,Peabody Energy,1027999.0
pfz7588,1.0,e,M,uiaoi,m,345.0,,United States of America,56.0,ELQKT,10.0,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,Saskatchewan,1.0,1-622-866-0937,,State Farm Insurance Cos.,3428495.0
hlx7589,2.0,,M,Wwonzdtvwkn,M,402.0,187282.0,United States of America,33.0,Oiwac,10.0,REHWDWEP,VA,0.0,1-040-217-2014,O,Humana,1827180.0
nyb7590,2.0,,M,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,,579.0,,United States of America,96.0,Dqgzinvuxxy,3.0,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,ND,0.0,1-101-684-2373,O,News Corp.,2070007.0
Ltt7591,2.0,O,,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,,569.0,,United States of America,35.0,Nchaajfkjvx,2.0,DIMPFMEBDNHBCT,ND,0.0,1-386-426-5849,O,Torchmark,
gsz7592,0.0,,W,cezvfwtftwlwfrgrpxtuejvrgucexe,,745.0,306946.0,United States of America,40.0,XEDMBUAMGXKH,9.0,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,MS,4.0,1-598-816-0126,O,Rock-Tenn,3596263.0
Kwp7593,0.0,,D,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,,320.0,99663.0,,10.0,crxbrlj,1.0,DVYTEPWCABNSGPTLJEMPQLTEWM,WY,,1-770-379-7700,U,AGCO,3719999.0
AGM7594,2.0,D,M,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,,591.0,482013.0,United States of America,59.0,Eytubbwi,4.0,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,MA,4.0,,R,,3058439.0
Ocn7595,1.0,u,M,Ctgihaqlm,m,,180476.0,United States of America,70.0,Lwftldizl,10.0,,AK,0.0,1-628-245-6238,U,United Stationers,2592932.0
