PostalCode,Country,LastName,NumberCreditCards,Employer,MiddleInitial,MaritalStatus,Gender,Income,CreditRating,OwnOrRentFlag,NetWorth,NumberCars,Age,AgencyID,State,FirstName,NumberChildren,Phone,City,AddressLine1,AddressLine2
NCEVKLQEEWTA,United States of America,dgcnbxfhc,3.0,Interstate Bakeries,,M,m,210038.0,,O,490443.0,5.0,72.0,dgc7511,Saskatchewan,Zaijioc,1.0,,Greensboro,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm
DODDIDDHXS,Canada,lqlslgqsvyfxqnzuwbfg,9.0,eBay,,M,,307402.0,318.0,O,3348923.0,4.0,40.0,lql7512,NE,Mdwdjpdfmbqjaygkfqzqx,5.0,1-268-630-3843,Concord,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd
Oqnzttrldq,United States of America,Wskjvrujdwku,4.0,Boise,,D,m,,613.0,R,331799.0,4.0,8.0,Wsk7513,AR,Ccbccgvldfvoqtzestvkwunn,1.0,1-915-548-9541,Colorado Springs,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,ucxdpiwilpxxhv
Lwbawk,,Ffshsiomkzjonhxjhunfsao,4.0,MDU Resources Group,v,U,,432425.0,786.0,R,1167013.0,4.0,10.0,Ffs7514,IL,nyakrhdyxravdnhgbtol,1.0,1-536-880-0961,Mobile,,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd
Ppsrzjdtg,United States of America,Kvvverfkpazpzzkrqniixrhnw,10.0,Freescale Semiconductor,F,U,,122041.0,,O,3960216.0,0.0,24.0,Kvv7515,VA,NDNBTVCLKSC,3.0,1-494-335-6022,Thousand Oaks,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,
,United States of America,mpzqnwnrmaozfsstcqtrc,5.0,Superior Energy Services,G,M,f,302205.0,623.0,O,242246.0,1.0,18.0,mpz7516,ID,Zmstbluqkipzaojfsomtbdddguq,4.0,1-814-158-3550,Rochester,,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO
,United States of America,Jhcbaxyzijphmmvpampdgvgisnab,1.0,Monsanto,s,S,F,367555.0,845.0,O,1217660.0,1.0,79.0,Jhc7517,TX,dpqgvuaoijmkxsesvililpxcrwqe,1.0,1-420-580-0795,Garden Grove,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Havgczldcpfmwfzj
Rxdsunq,United States of America,dbqcukoddoiwg,7.0,Newfield Exploration,l,M,M,106025.0,645.0,U,1229655.0,4.0,36.0,dbq7518,New Brunswick,IHUGYGSRDWILVOFBAKUR,5.0,1-924-305-1666,Tampa,rpikmvtgwsrsoehxgmxwypaueiaheabrf,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD
JXHVEEOU,Canada,Xchoxlbkffuvox,1.0,Loews,,W,m,106690.0,495.0,O,1157831.0,2.0,21.0,Xch7519,Alberta,aefotdcronamhkzsfpvifmobgchmsp,2.0,1-450-082-2122,Fullerton,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm
XHJQCDPOO,Canada,oirfujtvl,8.0,Apache,Z,M,m,29373.0,371.0,O,,2.0,4.0,oir7520,PA,jdeyqkerjerjpht,2.0,1-573-009-1404,Washington,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR
rapkjpmvp,United States of America,Fqbovz,1.0,Robert Half International,O,S,M,168189.0,462.0,R,,2.0,72.0,Fqb7521,Nova Scotia,Lwihnxoihqqrvjydsijd,3.0,1-603-897-9894,Norfolk,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc
Slskxm,United States of America,qextfjyytqwbmdrlykbfnhvqrmota,7.0,Viacom,,S,,264756.0,375.0,U,3467922.0,,1.0,qex7522,RI,nmnervucuk,,1-947-161-6502,Sydney,Dmyivtczopuqajpnjqvvgbhxynvduub,Rirmrpvlknyho
FXHXLG,Canada,Hpiedhvkedqqdxsoedt,10.0,Robert Half International,,S,,44480.0,516.0,U,46859.0,1.0,98.0,Hpi7523,OR,hgjkxxbf,2.0,1-586-826-9847,Winnipeg,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah
ovlziicdezok,Canada,Fjdafgbcrml,,CSX,,,,87207.0,703.0,R,2937668.0,1.0,35.0,Fjd7524,CA,Zangtryzlhmxo,5.0,1-217-243-2668,Wilmington,Esuycdxsjfbrqbtluspxsehk,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu
jsxcpvao,United States of America,Cgtcmbl,7.0,Country Financial Services,,W,,238434.0,734.0,O,2388613.0,4.0,99.0,Cgt7525,MO,FFJGEQD,2.0,1-857-211-5728,El Monte,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,Rpzwirgfyiw
Ykerbceq,United States of America,Lwxudfgcqawccntqaucdaeym,4.0,Procter & Gamble,,M,M,,469.0,U,3116283.0,0.0,49.0,Lwx7526,Prince Edward Island,Pdcxrihnl,2.0,1-089-966-6281,Sterling Heights,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb
VVMSNWEBT,United States of America,epyxtfsrijhddstgaxkbgmlayjtk,2.0,Ingles Markets,,S,,391354.0,595.0,O,2671950.0,3.0,72.0,epy7527,Quebec,Zckhcacwaelzutaodqalxyjrkh,0.0,,Pembroke Pines,vnyndcximwxhecv,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka
bibueqwbejem,United States of America,Affcha,1.0,Forest Laboratories,M,U,m,419165.0,410.0,O,3899593.0,3.0,41.0,Aff7528,KS,sqrosgqnpifxjx,0.0,1-231-342-6874,Philadelphia,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,Acdrcqabtcdgmgl
gehpynlk,Canada,mfcestd,10.0,Dentsply International,S,W,,396509.0,475.0,O,2537332.0,3.0,54.0,mfc7529,NV,Erqzkkllazeobgthnmgsbtj,2.0,,Glendale,,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv
Piwlxtg,United States of America,Slfbmvc,2.0,RadioShack,S,,,145161.0,,R,733236.0,0.0,11.0,Slf7530,TN,Lcziayaozecoqqluasolkmmcldm,2.0,1-602-637-1838,El Monte,GVSBHGBDDVJFNNOZNNPJWCOI,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp
Ujlshmosjkid,United States of America,Cxuousxqyrfgjvpvuopyfguqva,3.0,Century Aluminum,,W,,263206.0,519.0,O,,2.0,0.0,Cxu7531,WY,Gcnczmuxviqaxtsdzmzhtro,5.0,1-003-982-8627,Warwick,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw
cwburwnupuj,United States of America,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,5.0,,F,D,,190371.0,841.0,U,3397276.0,3.0,27.0,GZO7532,British Columbia,Rsoobsqytvjycob,3.0,1-136-358-6852,Milwaukee,BIQIOQOHLQSTBRUFOI,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca
CNEZMHTKIAEV,United States of America,DRWTVTDSG,6.0,FPL Group,A,U,,203968.0,540.0,O,2444257.0,3.0,95.0,DRW7533,LA,Pjvadgt,1.0,1-123-528-2965,Phoenix,Llfaqkbemnoy,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX
kixvppuqtd,United States of America,setksinlvlrjwnfu,10.0,Lockheed Martin,N,U,f,428323.0,540.0,R,71520.0,1.0,35.0,set7534,HI,GUBKOKITTSKVYM,3.0,1-136-565-2501,Anchorage,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre
jrhynxfi,United States of America,Pyoixliri,6.0,Sanmina-SCI,,M,,159980.0,,O,1911091.0,4.0,96.0,Pyo7535,NY,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,1.0,1-317-986-1984,Madison,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf
dnhtjyu,Canada,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,6.0,Iron Mountain,,W,M,266852.0,424.0,O,988775.0,0.0,96.0,FSH7536,TX,Kuteauo,0.0,1-265-603-1262,Fontana,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq
YKOVOTYB,United States of America,Tdxyljuxporjhdumcvfmv,2.0,OfficeMax,,M,,206973.0,623.0,R,3919363.0,5.0,49.0,Tdx7537,AZ,Hkfofpndygljbeo,5.0,,Charlotte,,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm
WNNMWJ,Canada,Sbnxcsrozzcufdoyvckpplofysx,4.0,AMR,O,S,,258221.0,792.0,O,428918.0,5.0,,Sbn7538,ME,Kengxgsu,1.0,1-156-668-6882,Richmond,atydogjpqphuwhegtbukkqiaeakrtrn,XHQNMCEJKXOQYVSZVESLKC
Oktkljv,United States of America,Piqizouhxiw,6.0,Kohl's,C,S,f,428508.0,718.0,O,58134.0,4.0,27.0,Piq7539,NH,Plywuoa,4.0,1-164-648-3203,Santa Clarita,Hlotorcbtobuceb,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv
,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,6.0,Cigna,,M,M,,401.0,O,3703767.0,4.0,98.0,IXD7540,KY,zfcwsxpjzyqelkxg,0.0,1-839-795-1027,Yellow Knife,gsrdigbqfwrahybxrtm,Toumjfbsumpgfuskpydjeibaxi
GXFLSISZUY,United States of America,wsnjomkxbtybfnmtcjhvmblfwamnwd,2.0,West,,M,,58953.0,557.0,R,433859.0,4.0,,wsn7541,Prince Edward Island,Yxvczhqjwgnhowiu,5.0,1-958-412-4252,Oxnard,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx
gzexcrngivl,United States of America,Jkpmtcj,7.0,Monsanto,A,W,M,409682.0,393.0,O,3002044.0,5.0,56.0,Jkp7542,British Columbia,Grkknjyfgbhtyrhxzeaoeoyirwfa,5.0,1-392-335-1020,Huntington Beach,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem
yzoikhwrd,United States of America,CCFFVCOHCLUUXZIQTCFCUHEYN,10.0,Reliant Energy,,M,M,340191.0,557.0,,1124168.0,2.0,94.0,CCF7543,CT,Vfrdst,4.0,1-912-050-7605,Durham,,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr
Gdbktega,United States of America,yljvuglvt,5.0,Idearc,,U,,238216.0,465.0,O,2081541.0,4.0,98.0,ylj7544,WA,Hqcswumjvwbemosmy,5.0,1-075-551-9919,Naperville,RELJYREDKQEKGOORBLRKOUIC,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh
Kdcqzpvf,Canada,ZBBXAWVJAAL,6.0,Neiman Marcus,V,M,F,113171.0,,O,1897076.0,0.0,8.0,ZBB7545,ND,Ectbhkmbvwkwdbn,1.0,1-013-611-2674,Albuquerque,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,hkyochorqgtokxgozmoncalaaiw
Tbwgwtmgcu,United States of America,fqekemquvstw,10.0,O'Reilly Automotive,,W,m,234797.0,485.0,,235172.0,5.0,90.0,fqe7546,ID,Bdbgqpllbnrmiirpct,,1-656-865-7544,Newark,Yewxbqpnfgh,Datdnghoiymltcayulgkgxywi
Mwmfs,United States of America,Wpwhilrlzng,2.0,Cliffs Natural Resources,,M,,225322.0,303.0,,639573.0,4.0,34.0,Wpw7547,Quebec,Ftszluaxcsoxdfbmdd,2.0,1-879-870-7379,Miami,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV
goelqgcts,Canada,vpzxgcwljllsq,4.0,Health Management Associates,,W,,192689.0,846.0,O,2667082.0,1.0,25.0,vpz7548,ID,Qrdnpjquwnixfocqhsrlkcxmelwijl,2.0,1-366-625-9813,London,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,
ucwygjzs,Canada,Yfzmtcvxc,1.0,Chevron,,,,348685.0,621.0,O,2598634.0,5.0,50.0,Yfz7549,AL,Kkiolpmrgzmnjanqc,4.0,1-359-462-7089,Worcester,VDBAVRMWFYBDZUILPKFXIVIYGFUU,
fjlfqftwg,United States of America,douvwdwiwrxoivzaojazinrhswjv,,Exide Technologies,,D,,401229.0,331.0,O,1074671.0,3.0,85.0,dou7550,UT,unzegilpp,4.0,,Jacksonville,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,
Tocujgaiaq,United States of America,FDJOVRSOCWEIKZ,9.0,Convergys,,M,M,38597.0,401.0,R,2272997.0,5.0,60.0,FDJ7551,MS,xetqkitwlh,4.0,1-153-396-8333,Nashua,hfuyqlsmbesrylepu,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD
kurjmmgixxfd,United States of America,ufutrfkevxnbupjcetrpltw,0.0,Dominion Resources,,S,,,644.0,R,702000.0,2.0,95.0,ufu7552,AK,TWRRGULRYKYUWZYBQQFMIFFKVK,2.0,1-144-623-1308,Newport News,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde
cnsavindoi,United States of America,bbgzmquoeecumw,5.0,Sentry Insurance Group,H,M,m,161204.0,769.0,R,1289800.0,4.0,8.0,bbg7553,VT,Yqfljvgkfucafpjpamdtcppiipc,1.0,1-269-220-8046,Corona,qgjnvpwvmgsqzcanzncon,NBSHKLXYVUUWXEQSGXR
MQBSAUVQRPYE,,Znkkdbkvxcxeuackyodqlkpl,2.0,Cintas,v,M,f,202650.0,481.0,O,1007390.0,3.0,31.0,Znk7554,LA,mjeasoritwctufyojamzbeeoo,4.0,1-052-524-0130,Lincoln,HNBGLUDIOAJRCCIXGDUQOO,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli
vadbnvz,Canada,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,7.0,Medtronic,T,U,F,,732.0,O,124290.0,1.0,51.0,CGQ7555,CT,Udxaujgiratgthwkvdibgvwfo,2.0,1-335-871-6660,Toronto,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv
Ljurvnigr,United States of America,addxtssyhezwro,2.0,Pride International,,M,,492433.0,802.0,O,1820002.0,4.0,24.0,add7556,UT,GHFUKZPOKMXWZF,4.0,1-637-394-8083,Fayetteville,dnlleihfh,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq
BQDMQVFTNBRJ,Canada,Anwyusqezrjppzkaevffwljm,5.0,A. Schulman,J,M,,344858.0,329.0,O,2200347.0,2.0,78.0,Anw7557,IN,ybtkiifyhbgchnuctnhnqspk,4.0,1-706-795-4208,Charlotte,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga
jkcul,United States of America,Hvtanebvipbdd,0.0,Oneok,,W,m,197290.0,839.0,R,3669569.0,5.0,56.0,Hvt7558,WI,Fhkymmgjsbmpduuffgavhfcxm,0.0,1-622-347-5699,Tulsa,Wsjaujjdexc,nqcozjievwzk
Nelny,United States of America,Yqjaammjlhgpw,,Danaher,d,U,,283654.0,539.0,,2140537.0,2.0,50.0,Yqj7559,WA,DEZDTMSMWKALBRPALCFIME,,1-042-017-9368,Winston-Salem,Ojberg,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ
Qsggz,United States of America,Ztnstwpjxatqveppicohpzilnn,4.0,Del Monte Foods,,M,F,317423.0,561.0,R,3258909.0,4.0,52.0,Ztn7560,LA,phoxfeiqoldgmnojmzunmargkla,5.0,1-829-935-5979,Thousand Oaks,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo
Drofa,United States of America,bnizllrrofn,2.0,American Electric Power,,W,F,399126.0,814.0,O,1825422.0,4.0,14.0,bni7561,VT,Upuabfflh,5.0,1-076-726-5283,Lubbock,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,Lfrjkyblujmbxigmylpsxieswspmei
Ssovhtmt,United States of America,swxorhmdydwbrtdqxroghsddlpbdgi,7.0,TJX,,M,,398180.0,305.0,R,1845263.0,5.0,29.0,swx7562,CT,owagfolbfwjzeg,0.0,,Winnipeg,Xwtkpxqgohxwxnv,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg
Tnprhljfrlj,United States of America,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,4.0,Philip Morris International,P,S,f,,457.0,O,1463114.0,2.0,50.0,DSA7563,RI,Qdmppehqxloc,4.0,1-284-129-5920,Laredo,Qpvmtkxxfef,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi
Bkxujhonjgjk,United States of America,BXZUTWBUFSGPPXKR,8.0,Cincinnati Financial,,U,,485429.0,349.0,O,2354683.0,4.0,67.0,BXZ7564,SC,jqbetxkci,1.0,1-128-308-8886,Overland Park,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro
mrjrjhgnwcdu,United States of America,pczqycbwefse,0.0,Stryker,,M,,118018.0,590.0,O,436677.0,2.0,22.0,pcz7565,British Columbia,Wsmywgbvwspgdwhmdxsqjwqb,0.0,1-145-469-5971,Calgary,KRYAIAJGKHBKXBLC,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq
Yusezkfgs,United States of America,Zqaknviqngvemehvpzrcgkcvre,0.0,Kansas City Southern,,U,m,309693.0,533.0,O,2383335.0,5.0,20.0,Zqa7566,CO,ocgwi,4.0,1-727-684-7767,Peoria,,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT
RKXTQAO,Canada,Htltlfnvjctvvdvulpkhcbyfi,9.0,IDT,z,W,,90718.0,686.0,O,2574739.0,4.0,75.0,Htl7567,TN,Pcotdnngmurhkcd,0.0,1-776-201-2472,Durham,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,IBQIDE
UBQSATXZO,United States of America,afwafvxxdr,10.0,Vornado Realty Trust,L,U,F,280645.0,582.0,O,1596838.0,2.0,60.0,afw7568,CA,bvcosqzcleknjzvkygbawlc,0.0,1-767-942-1278,Pueblo,VBDCWYVK,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK
BHRNWQLFVFA,United States of America,Wnakgzhqfhtavtvegjtdmdosnjr,0.0,Dollar General,,S,,231559.0,807.0,O,591965.0,,,Wna7569,WY,ECLENELTSXGTNWOP,4.0,1-723-062-7266,Las Cruces,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,Lrebujnrg
Ktmzav,United States of America,Mlheqxaigtvjaynkffyqkpu,3.0,Safeway,,S,,36898.0,819.0,O,3071440.0,3.0,48.0,Mlh7570,SD,Xdwexmrjat,5.0,,Chula Vista,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh
Nfpchgfj,United States of America,Gorjnqxjtefmomsbmtnogaerx,5.0,Apache,,M,,396786.0,311.0,R,2683081.0,2.0,91.0,Gor7571,British Columbia,xjwnvwdryqpcehelwzfhkkiuus,0.0,1-145-314-0862,San Diego,Gwxymofcy,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU
Wuywecohosfi,United States of America,ENXOMNHFVPYQSABETPUEKRKCL,3.0,Lowe's,,U,f,344365.0,734.0,O,3850483.0,2.0,98.0,ENX7572,NJ,RNBABCYAFMQPBOHXNUXMXNU,5.0,1-735-104-7772,Chicago,Qynjnmfgwxpmrw,Hxutrprq
tibxlojrqiha,United States of America,fgrdzzudzmwlluff,1.0,Lithia Motors,,W,,1205.0,432.0,O,1870617.0,4.0,51.0,fgr7573,AK,Eyrtrqkljywvbcice,1.0,,Worcester,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,TBNJAUXZROMGQKLALIZLLPXFRECDDTY
ogmes,United States of America,Yshzkx,3.0,CH2M Hill,a,S,m,276666.0,394.0,O,1249534.0,5.0,22.0,Ysh7574,OH,Opybrukftspofebjmspkjsgtobzsp,0.0,1-518-116-1411,Honolulu,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,JRHXPUUHAFHDPF
JUBKXDKP,United States of America,Mosqjrkdycyygfsljqadgfqoldb,1.0,Tellabs,I,U,,497953.0,658.0,O,3789880.0,0.0,57.0,Mos7575,New Brunswick,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,0.0,1-696-359-4829,Albuquerque,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,yvntcqjqqmbftwetvbqgclcdbxspvk
