AgencyID,AddressLine1,FirstName,MaritalStatus,NetWorth,OwnOrRentFlag,State,NumberChildren,Country,PostalCode,NumberCreditCards,LastName,MiddleInitial,Gender,AddressLine2,City
Nor50,11103 BISSONNET WEST,Nelleke,M,746904.0,O,WA,3.0,United States of America,85039,0.0,Norment,I,,,Fullerton
hag51,4652 outervale lane,sibby,M,1219620.0,R,OH,0.0,Canada,v6m 1q3,8.0,hagar,,,,Denver
Bet52,341 dunbar west,ericha,M,1718910.0,O,WY,3.0,United States of America,X7j 1r1,4.0,Betcher,,m,,Dallas
Van53,16176 vernon drive,Janson,S,,O,NJ,4.0,United States of America,B8b 1z5,8.0,Van der,,m,,San Jose
O'L54,23131 clint way,Dorotea,S,2636424.0,U,ND,3.0,United States of America,t5d 1v4,9.0,O'LEARY,,F,,Bellevue
and55,11640 baltic upper,Denice,M,1326305.0,O,NC,4.0,United States of America,V6t 1r2,0.0,anderson,,m,,San Buenaventura
sta56,20796 dolores drive,Myron,M,2241997.0,O,WV,2.0,Canada,91177,,starks,,,,St. Louis
CHA57,14359 COMMERCE WEST,Barby,S,1542891.0,R,GA,3.0,United States of America,T5c 1t1,0.0,CHASSE,,,Apt. 275,Pueblo
ASI58,21448 hampton boulevard,Ariella,W,797918.0,O,Ontario,1.0,Canada,35862,,ASING,,R,,Regina
ask59,7637 pershing way,ADEY,M,347654.0,U,MA,0.0,United States of America,96820,6.0,askins,,f,,Saskatoon
Kik60,11529 arcana boulevard,GAYEL,M,2456397.0,O,CA,0.0,United States of America,75238,8.0,Kikuta,K,,,Jackson
Cha61,2700 windwood north,Man,S,1284229.0,O,SD,3.0,United States of America,85769,10.0,Chane,,F,,St. Petersburg
KIL62,22279 gramercy road,Klara,D,618787.0,O,Saskatchewan,0.0,United States of America,H5i 1o9,3.0,KILLEN,U,m,,Scottsdale
kin63,9828 west east,Abdalla,M,1171606.0,O,RI,5.0,United States of America,90849,6.0,kinley,,f,,Charlotte
MAL64,5935 mcafee park,bal,M,3983261.0,O,NC,,United States of America,43644,1.0,MALAHER,,,,Waterbury
Odu65,12460 CLAYTON STREET,Romy,W,2328568.0,O,SD,3.0,United States of America,99213,0.0,Odum,J,,,Chesapeake
DI 66,275 3rd drive,KORAL,M,2078600.0,O,IL,5.0,United States of America,72226,3.0,DI NINNO,,,,Hialeah
STU67,6907 FERNCLIFF CRESCENT,YUKIHIKO,M,2986155.0,O,OR,5.0,United States of America,V6Z 1Q9,3.0,STUBBLEFIELD,K,,,Charleston
HAM68,885 crosby lane,Khanh,S,1864039.0,O,Ontario,1.0,United States of America,20082,10.0,HAMBALI,,,,Salem
LIB69,2344 kalani west,Darnell,S,1293721.0,O,FL,0.0,Canada,35827,9.0,LIBRARIAN,,m,,Sacramento
ohs70,22870 LA CIENEGA STREET,feridoun,M,3850114.0,R,NM,0.0,United States of America,99692,7.0,ohsone,,M,,Santa Clarita
HUM71,8478 green avenue,Magdy,U,1618743.0,O,NE,1.0,United States of America,V6c 1q5,3.0,HUMMEL,O,,APT. 143,Sherbrooke
BRA72,23639 purdue rue,jiri,W,3383487.0,O,MI,1.0,United States of America,80158,9.0,BRADD,,,,Colorado Springs
Boa73,19202 ansley park,AILA,U,2981876.0,O,New Brunswick,3.0,United States of America,t6d 1b6,,Boarder,X,,,Berkeley
Mcn74,11319 devonshire rue,Vincenzo,U,2109339.0,O,NJ,2.0,United States of America,33120,7.0,Mcnally,,,,San Buenaventura
MAR75,23665 deerwood park,Minnnie,S,791803.0,O,ND,3.0,United States of America,99742,4.0,MARKOVICH,,F,,New Haven
Wil76,4855 union north,alfonzo,S,3523678.0,O,Saskatchewan,1.0,United States of America,V6N 1T1,7.0,Willekes,,f,,Shreveport
Dea77,9466 SHADOWBRIAR WEST,Swandi,M,1681902.0,,KS,0.0,United States of America,44104,0.0,Deacetis,S,m,,Lansing
Hou78,3504 regency avenue,Anya,U,3851455.0,O,SD,5.0,United States of America,14605,7.0,Houk,,,,Pembroke Pines
Goy79,7281 northland lower,Enrika,M,2339382.0,R,FL,2.0,Canada,80076,9.0,Goyette,,,,Palmdale
Mok80,12481 hayden lower,SONJA,S,,O,Saskatchewan,0.0,United States of America,V6I 1V6,7.0,Mok-fung,Z,f,,Savannah
Run81,2328 gracie avenue,Liem,M,2065016.0,,FL,4.0,United States of America,97307,10.0,Rundle,I,,,Amarillo
BEL82,4737 campbell street,COLLETTE,S,2454049.0,R,UT,5.0,United States of America,46237,9.0,BELLEY,,o,,Anchorage
BAE83,2401 stratmore lower,SIAMACK,M,2423395.0,O,WY,4.0,United States of America,V6B 1S6,4.0,BAER,Y,,,Louisville
MAU84,21477 JUNIPER CRESCENT,Toshihiro,D,1342045.0,O,NH,3.0,United States of America,H2d 1x1,4.0,MAULDIN,,f,,Hilo
Koo85,19214 YAUPON BOULEVARD,Casey,S,861756.0,O,AR,3.0,United States of America,95108,5.0,Koohgoli,,,,Sudbury
Lau86,7785 rusk boulevard,Daryn,S,1215349.0,O,CT,1.0,United States of America,80050,3.0,Lauriston,,,,Orlando
Man87,18002 cantrell upper,Adrianna,M,3981554.0,O,VT,1.0,Canada,90122,7.0,Mangum,L,F,,Missoula
PIE88,23341 brookside upper,Cortney,S,3865937.0,O,Manitoba,4.0,United States of America,43614,9.0,PIERCY,,,,Abilene
Bus89,20494 ROSS WEST,Duane,S,2804700.0,O,NJ,1.0,United States of America,61110,6.0,Buscaglia,,M,,Saskatoon
BAB90,17552 SAVANNAH NORTH,Tele,,3283558.0,U,KY,5.0,United States of America,70174,4.0,BABIONE,,,,Irvine
Bur91,4462 pace crescent,Ophelia,S,450524.0,O,GA,3.0,United States of America,90324,2.0,Burkard,,M,APT. 373,Reno
Kin92,7161 tallowood upper,lorine,M,,R,NJ,3.0,United States of America,s7d 1n1,3.0,Kinsella,,,,Sacramento
POM93,3489 silver sage west,Viole,S,,O,SC,1.0,United States of America,93829,8.0,POMMAINVILLE,,,,Topeka
BOA94,12481 hayden lower,Nani,M,633760.0,O,TN,,United States of America,89116,,BOATWRIGHT,,M,,Rancho Cucamonga
Ron95,13210 3RD DRIVE,cherey,M,3634954.0,R,WY,5.0,United States of America,94315,,Ronald,R,,,Hilo
wei96,8899 starling lane,Redgie,M,799268.0,R,Ontario,5.0,United States of America,T5b 1u9,4.0,weihs,A,,,Saint John
Hel97,11480 fennel south,Yousef,,39093.0,R,DC,0.0,Canada,T6b 1a5,6.0,Helpb,P,M,,Torrance
mog98,7266 cherry upper,Damaris,S,2705353.0,O,Alberta,4.0,United States of America,60699,3.0,moghe,,m,,Santa Clara
boz99,10678 ENGLEWOOD WEST,Ilyssa,S,3565153.0,O,ME,2.0,United States of America,V6p 1s8,4.0,bozicevich,,,,Torrance
Zah100,21181 2ND RUE,Moselle,M,2832204.0,O,MA,1.0,United States of America,v6i 1p1,5.0,Zaharychuk,R,,,Stockton
And101,22963 hanover road,Dulsea,U,2194345.0,O,NV,3.0,United States of America,79423,10.0,Andric,,F,,Paterson
Bam102,8268 cliffbrook boulevard,Lyndsie,W,3737140.0,O,WA,3.0,Canada,H5j 1o6,5.0,Bamfo,L,,,Mesa
fro103,5118 montview court,KESLEY,D,464753.0,O,WY,4.0,United States of America,93761,8.0,frondozo,,,,Anchorage
Car104,17442 tallowood upper,LAUREL,M,596696.0,U,NJ,1.0,United States of America,76150,,Caron,J,,,Miami
muc105,4038 WEDGEWOOD STREET,Steen,U,1504753.0,O,LA,4.0,Canada,99717,2.0,muchow,V,f,,Great Falls
gat106,20334 anaconda avenue,noel,U,3049281.0,O,TX,1.0,United States of America,60608,10.0,gateau,,,,Erie
Sch107,5385 young west,Tracey,U,247478.0,O,SC,,United States of America,v6w 1u4,10.0,Schaefer,M,F,,Hollywood
pom108,2747 SINCLAIR LANE,Sarajane,,2750301.0,R,TX,5.0,United States of America,T5b 1t6,3.0,pomerleau,,,,Tulsa
cuc109,8622 BROWNWAY PARK,Geoffrey,M,721333.0,O,MN,4.0,United States of America,23298,1.0,cucuzzella,K,F,,Tucson
SUG110,18048 GREEN NORTH,loralyn,S,669440.0,O,ID,0.0,United States of America,32803,1.0,SUGARMAN,Z,q,,Anchorage
Pep111,18994 country boulevard,andrei,M,2473979.0,O,MI,5.0,Canada,64122,,Pepe,,,,Sandy
Cha112,16063 ashland road,javad,S,3545170.0,,OK,,United States of America,T6b 1h2,,Chandrashekar,,f,SUITE 7,Boston
SEI113,19309 mcfarlin north,Karna,U,1494871.0,O,UT,3.0,United States of America,22222,6.0,SEIFERS,U,m,Apt. 971,Vancouver
GAR114,2454 cliffbrook west,Jocelyn,S,436164.0,U,PA,0.0,Canada,T6a 1d2,1.0,GARTLEY,S,F,,Akron
Tou115,15865 strand west,Elvera,W,1069481.0,O,New Brunswick,3.0,United States of America,v5d 1n9,1.0,Touchette,,M,,Lancaster
Kur116,13776 east boulevard,Nessy,S,,R,UT,0.0,United States of America,23321,9.0,Kurdziel,V,M,,Concord
Her117,10570 WEIZMANN LOWER,lona,U,2957261.0,O,VA,0.0,Canada,90505,2.0,Herod,,,,Chesapeake
MCV118,15278 walnut hill road,RHEA,M,228459.0,O,NH,5.0,United States of America,19066,1.0,MCVICAR,P,,,Flint
LAB119,23007 WAKEFOREST WAY,Josefa,M,67267.0,O,VT,5.0,Canada,v6s 1r3,6.0,LABFIVE,,F,,Chattanooga
but120,9088 rivas way,alikee,U,1087978.0,O,FL,4.0,United States of America,78769,2.0,butta,,,,Billings
Pro121,18798 ullrich road,dolorita,M,3885967.0,O,NC,5.0,United States of America,53769,2.0,Projects,,m,,Scottsdale
Irc122,18517 HULEN LOWER,Marilyn,D,3271101.0,O,VA,4.0,United States of America,H7E 1U6,4.0,Irc,,,,Oshawa
Ziv123,11474 dodd lane,robertson,,,O,DC,5.0,Canada,e7o 1k1,2.0,Zivkovic,G,,,Naperville
sim124,9375 wood south,Ilsa,U,1999133.0,R,NC,4.0,United States of America,90374,1.0,simser,H,,,Tampa
kei125,20479 wise avenue,Pen,S,1100786.0,O,MS,5.0,United States of America,63169,2.0,keifer,I,,,Jackson
arv126,19918 ROGERS NORTH,AUBRETTE,W,563992.0,O,SC,5.0,United States of America,16515,8.0,arvin,P,f,,Hay River
Pra127,9284 coffey lower,Cole,M,962397.0,O,KS,2.0,United States of America,85309,7.0,Praeuner,,F,,Irvine
lue128,2929 north crescent,liva,M,1064169.0,O,VT,3.0,United States of America,92158,5.0,lue,C,m,,Idaho Falls
Prz129,15404 queen street,Ayaz,S,2100059.0,O,IL,0.0,United States of America,33152,3.0,Przybycien,,f,,Moreno Valley
pen130,1619 greenspoint road,YETTY,W,99025.0,O,FL,1.0,United States of America,83729,10.0,penn,J,f,,Ontario
Gua131,21477 WARREN PARK,Mary-michelle,S,3865481.0,R,MI,0.0,United States of America,B8b 1z6,10.0,Guay,S,,,Concord
bre132,6503 ROBBINS STREET,agretha,M,804544.0,U,Newfoundland,3.0,Canada,53717,7.0,brennand,,F,,Phoenix
Sav133,3958 GLEN LOCH BOULEVARD,LOTTY,S,3143356.0,O,ME,5.0,United States of America,t5c 1w7,7.0,Savanh,X,f,,Coral Springs
ABB134,13640 ethridge lower,Kassey,M,,O,AL,3.0,United States of America,37245,2.0,ABBATANTUONO,Z,,,Oxnard
OP135,3981 imperial lower,Adria,S,2311953.0,O,IN,0.0,United States of America,94401,2.0,OP,N,M,,Brownsville
Mer136,13210 3rd drive,audivox,W,3120608.0,O,NH,5.0,Canada,B8a 1y3,3.0,Mersinger,,,,Memphis
rut137,9297 THROCKMORTON SOUTH,SUE,S,2058270.0,O,DC,5.0,United States of America,t6b 1k2,7.0,rutt,,F,,Flint
bem138,8935 YOUNG UPPER,Lorenza,U,1511983.0,O,DC,3.0,United States of America,85306,,bemis,I,,,Lafayette
Pen139,3797 RUTGERS PARK,Enzo,M,439080.0,O,MD,1.0,United States of America,V6R 1R7,,Pennington,,,,Greensboro
tor140,8285 tamarind crescent,claudina,W,921255.0,R,Prince Edward Island,0.0,United States of America,68513,5.0,torok,Y,M,,Sterling Heights
law141,20025 routh crescent,Otha,U,3810365.0,O,MD,1.0,United States of America,v6n 1v9,2.0,lawlis,L,m,,Costa Mesa
Bee142,4144 LAKE PARK LANE,Rodie,U,2641938.0,O,New Brunswick,2.0,United States of America,83702,6.0,Beebe,D,m,Suite 397,Houston
sch143,3375 sakowitz lane,DULCE,U,3857323.0,O,HI,1.0,United States of America,80125,7.0,schlange,,m,,Bakersfield
Wit144,7255 berry way,Win,S,1636212.0,U,ND,0.0,United States of America,M5G 1Y7,0.0,Witchlow,,,,Chesapeake
MER145,3131 WATHAN SOUTH,Roselin,M,2999082.0,,Nova Scotia,4.0,United States of America,80213,3.0,MEREDITH,Q,F,,Sandy
bia146,18440 RYAN NORTH,Malanie,M,2280820.0,R,ME,0.0,United States of America,60737,4.0,bialkenius,,m,,Lewiston
Swi147,13222 glen loch road,TARYN,D,1050866.0,O,Alberta,1.0,United States of America,90510,0.0,Swiat,P,m,SUITE 464,Elizabeth
bul148,7889 MURRAY WAY,MALENA,D,,O,VT,4.0,United States of America,92882,3.0,bullinger,,,,Sudbury
TYR149,7527 whale drive,Dorie,W,603001.0,O,DE,5.0,Canada,98121,6.0,TYRRELL,,F,,Austin
Fyf150,17788 eagle trace park,Liese,W,3368239.0,R,MA,3.0,United States of America,H2e 1x9,3.0,Fyfe,,,,Salinas
Sic151,7661 GRANT WAY,tele,D,1042629.0,O,CA,2.0,United States of America,23503,10.0,Sicard,,,,Peoria
CAS152,4806 crystal hills street,astra,U,1948746.0,O,Manitoba,4.0,United States of America,40208,8.0,CASTEN,,F,,Sydney
Cho153,4211 WILLS NORTH,marnia,U,3113862.0,O,TN,2.0,United States of America,75201,10.0,Choy,S,,,San Antonio
CHA154,7524 linberg north,AMY,W,2777290.0,O,FL,3.0,United States of America,93852,3.0,CHACKO,,,,Oklahoma City
bei155,14266 lemming south,HAMILTON,U,2210073.0,R,CA,0.0,United States of America,32312,6.0,beil,E,f,,Miami
Ele156,1427 ADDAX LANE,Kuldip,U,1999684.0,O,CO,1.0,United States of America,90059,7.0,Eleftheriou,J,m,,Yonkers
o'g157,1625 fernando court,krystalle,M,2119678.0,O,Saskatchewan,5.0,United States of America,77006,2.0,o'grady,,F,,Columbia
Kat158,335 floresta north,Stella,S,169808.0,O,UT,0.0,United States of America,23224,5.0,Katchmar,,,,Lubbock
Lui159,22806 garson east,Marie-josee,U,1072732.0,O,ME,4.0,United States of America,10055,6.0,Luin,O,,,Chattanooga
Kla160,5524 vermack street,Nashib,S,2261442.0,O,NH,1.0,United States of America,35830,7.0,Klavkalns,,f,,Fargo
Bru161,18105 electra street,Annette,M,2234368.0,U,VA,3.0,United States of America,v6m 1s9,1.0,Brunsting,Z,,,Omaha
Apt162,719 holman court,LENA,M,575288.0,O,TX,1.0,United States of America,22304,6.0,Apter,Q,,,Yonkers
sch163,23553 MEMORIAL RUE,Christian,M,1102479.0,R,Saskatchewan,1.0,United States of America,06101,9.0,schuette,,f,,Spokane
Lan164,16759 park avenue,Morrie,U,2995388.0,O,NH,3.0,United States of America,78756,4.0,Lanava,,,,Tulsa
Fus165,12296 WILLIAMS LOWER,LYMAN,M,1147193.0,O,VA,2.0,United States of America,93003,8.0,Fusca,,F,,Garden Grove
Nev166,9625 ALLEN BOULEVARD,REUBEN,U,1136540.0,U,IA,4.0,United States of America,T5D 1P2,2.0,Nevardauskis,R,F,,Fort Lauderdale
SHA167,10340 jarvis road,Hermon,M,1677669.0,O,NC,,Canada,10108,6.0,SHACKLEFORD,,f,,Philadelphia
Sau168,13143 goodwin lane,Paqs,M,2160706.0,O,NH,2.0,Canada,t5c 1l3,8.0,Sauck,P,,,Sydney
fri169,7160 BEATTY RUE,GAETAN,M,2525665.0,O,AL,1.0,United States of America,M5B 1Z8,5.0,frischknecht,,,,Waterbury
fer170,22679 chimney rock west,leese,M,3517622.0,R,British Columbia,1.0,United States of America,V6H 1W2,0.0,fernandez,O,,,Tacoma
LAN171,6769 pasadena upper,Amelie,U,,,MD,2.0,United States of America,90308,7.0,LANDERS,,M,,Charlottetown
Bha172,20622 MCAFEE COURT,TAMRA,M,97675.0,R,IA,0.0,Canada,M5e 1y2,9.0,Bhasin,,,,Independence
Jor173,10526 LINWOOD LANE,bang,M,,O,ND,5.0,United States of America,80029,,Jordan,,M,,Escondido
KNU174,21088 vessey crescent,HILDEGARDE,M,3569070.0,O,NY,4.0,United States of America,30350,5.0,KNUDSEN,,F,,Lansing
Ham175,10884 ryan avenue,Carmody,M,1507616.0,O,OR,5.0,United States of America,97240,0.0,Hamelin,,F,,Anaheim
MAU176,1481 gale court,Dareen,U,514151.0,R,MO,5.0,United States of America,R3A 1M1,10.0,MAUER,,,,Glendale
Rez177,18390 martins east,WEN,U,2903408.0,U,CT,0.0,United States of America,73172,8.0,Rezansoff,,F,Apt. 426,Chula Vista
Koa178,23208 porter crescent,MOT,U,1695814.0,O,MO,4.0,Canada,V6s 1p9,1.0,Koa,,,,Orlando
HAN179,17026 durand north,leese,U,868465.0,O,MN,0.0,United States of America,90140,5.0,HANNEMAN,B,m,,Cleveland
jak180,16533 devonshire park,nettie,U,2810709.0,O,NC,4.0,United States of America,94639,10.0,jakim,I,,,Huntington
ump181,8965 griffin east,AILEE,M,3593363.0,R,TN,5.0,United States of America,22307,7.0,umphres,C,,,Fayetteville
Wic182,22451 larner court,chan,M,2607636.0,O,NV,2.0,Canada,55116,1.0,Wickham,G,,,Riverside
Gat183,3681 HOLLY KNOLL CRESCENT,RAY,M,2735642.0,R,AL,4.0,Canada,M6s 1i5,8.0,Gates,,F,Apt. 540,Dayton
bot184,5678 dayton street,Robinette,S,1501732.0,,NE,4.0,United States of America,92708,10.0,bott,,,,Corona
DAV185,15591 holgate lane,Rocke,D,397072.0,O,KS,1.0,United States of America,V6r 1q6,9.0,DAVID-YERUMO,T,,,Oklahoma City
HIL186,23477 havenridge rue,Suzette,M,3399757.0,O,NY,1.0,United States of America,63178,1.0,HILLARD,,F,,Dallas
war187,18267 cape lane,Myla,M,2684548.0,R,NY,2.0,United States of America,x7j 1r5,9.0,warburton,,,,Durham
MAC188,2928 POTOMAC UPPER,dacia,S,3041622.0,O,Saskatchewan,3.0,United States of America,M5e 1y7,7.0,MACHNICKI-HYNES,,m,apt. 48,Tacoma
lev189,14656 pasadena park,CHELSIE,S,3211816.0,O,Prince Edward Island,2.0,United States of America,23257,3.0,levitin,A,F,,Alexandria
Goo190,16983 flagler drive,abbas,M,127026.0,O,Alberta,4.0,United States of America,V6I 1U7,8.0,Gooderham,,,apt. 968,Hialeah
Koh191,17212 LANDER SOUTH,Rec,W,588945.0,R,Ontario,4.0,United States of America,94539,2.0,Kohalmi-hill,E,,,Denver
AYL192,23764 sabine west,Elaine,U,1962620.0,O,TN,4.0,United States of America,H7h 1v4,2.0,AYLWIN,,M,,Fort Lauderdale
CHO193,16271 vista south,Katharine,W,178193.0,O,VA,2.0,United States of America,15201,5.0,CHOUHAN,E,F,,Mesa
DIT194,1080 LAVENDER LANE,LILIAN,M,2102811.0,O,TX,4.0,United States of America,t5a 1n6,7.0,DITKO,G,,,Cleveland
EMI195,10856 summer street,CATI,W,2246854.0,O,MT,1.0,United States of America,78784,3.0,EMIG,,,,Lewiston
Ryd196,17021 edwards crescent,Luong,W,1312448.0,R,IL,2.0,United States of America,H6d 1w8,8.0,Ryder,,m,APT. 392,Tallahassee
mei197,7726 TALLOWOOD UPPER,JUOZAS,S,295993.0,O,WY,3.0,United States of America,06705,2.0,meisner,S,,,El Monte
Ceg198,19097 foxfire north,Lysy,S,1220003.0,O,NC,1.0,United States of America,M5c 1v9,9.0,Cegelski,,,,Sioux Falls
hai199,8161 PINTO ROAD,ULA,U,2400476.0,O,ND,5.0,United States of America,90759,4.0,haigh,Z,,,Columbia
cle200,9659 sakowitz west,Francesca,,2900897.0,R,GA,4.0,United States of America,22301,5.0,clendening,J,,,San Francisco
Cie201,15306 pike park,emili,U,3942140.0,R,VA,1.0,United States of America,19165,3.0,Ciesielski,W,,,Santa Clara
Par202,21891 dewey street,yogesh,S,2118119.0,R,Prince Edward Island,2.0,United States of America,75007,8.0,Parypa,,f,,Greensboro
LOZ203,8155 storeywood road,Xantippe,M,338540.0,O,OR,2.0,United States of America,90302,4.0,LOZINSKI,K,f,,Waco
Pas204,20871 dewdrop street,TINO,,2617116.0,R,WI,3.0,Canada,84092,8.0,Pascal,,,APT. 630,Rochester
Aul205,1121 GREENE PARK,AGGIE,M,1459711.0,O,ID,1.0,United States of America,v6d 1u1,9.0,Aula,,,,Tampa
bar206,23849 westerley south,Alane,M,1804959.0,O,MT,1.0,United States of America,99503,7.0,barnes,N,F,,Paterson
ELL207,1540 murie rue,ABBYE,S,2957472.0,O,MD,0.0,United States of America,80960,2.0,ELLIOTT,,,,Fullerton
for208,16633 raymond road,aleen,U,2919293.0,O,NY,0.0,United States of America,53743,6.0,forslund,P,m,suite 344,London
