AgencyID,PostalCode,NumberChildren,AddressLine2,AddressLine1,Gender,NumberCreditCards,City,NetWorth,MiddleInitial,Employer,CreditRating,Phone,LastName,NumberCars,FirstName,State,Country
SKA26,95055,1.0,,7818 EAST STREET,F,7.0,Hayward,528440.0,,Old Republic International,527.0,1-960-227-2020,SKALSKI,0.0,Mari,CA,United States of America
Gar27,93686,,,10013 shaw road,m,0.0,Palmdale,597140.0,,,354.0,1-431-122-8597,Gargul,0.0,Anica,FL,United States of America
Dor28,75218,1.0,,6802 AMES STREET,,1.0,Phoenix,146931.0,,Great Plains Energy,511.0,1-822-836-7200,Dore,1.0,Melba,Newfoundland,United States of America
DIO29,91174,2.0,,22501 SUMMIT RUE,,7.0,Gary,353495.0,X,Broadcom,412.0,1-530-117-0497,DIOGO,2.0,Tracee,TX,United States of America
Mer30,49515,0.0,,291 frances rue,m,1.0,Beaumont,295647.0,,Discover Financial Services,583.0,1-051-257-2719,Merrick,4.0,CANADIAN,WA,Canada
Atc31,16506,3.0,,16264 sanders east,,5.0,Nashua,408941.0,R,UAL,710.0,1-171-989-1363,Atchison,5.0,Oue,MN,United States of America
Pla32,94383,1.0,,16068 cantey way,m,9.0,San Jose,362523.0,X,Charles Schwab,380.0,1-042-705-3246,Plamondon,2.0,wallie,WY,United States of America
SEL33,T6d 1b3,0.0,,21170 EDLOE BOULEVARD,F,2.0,Nashua,2102359.0,E,Coach,796.0,1-098-328-2026,SELCHOW,0.0,Andromache,NY,United States of America
sha34,25339,3.0,,885 CROSBY LANE,f,2.0,Fort Smith,3480265.0,Z,DaVita,818.0,1-209-754-5635,shane,1.0,THOR,SC,United States of America
MER35,V6o 1v4,3.0,,12235 jay street,,3.0,Lancaster,3648900.0,,Marshall & Ilsley Corp.,766.0,1-498-781-3456,MERWIN,5.0,SALAH,MS,United States of America
con36,01852,3.0,,20340 LOMBARD CRESCENT,,2.0,Colorado Springs,1161790.0,,Cablevision Systems,359.0,1-615-241-0440,conrad,2.0,HOR-LAM,UT,United States of America
ons37,78230,5.0,,22074 dexter upper,M,2.0,Washington,2050587.0,,Barnes & Noble,401.0,1-995-449-5200,onsiteteam,1.0,Vania,PA,United States of America
Sum38,93770,1.0,,1540 MURIE RUE,M,0.0,Lowell,3579198.0,,EMC,609.0,1-295-673-4452,Summerlin,1.0,Niel,OK,Canada
gro39,m4l 1n4,0.0,,7075 glen loch drive,,2.0,Frederick,889494.0,F,Fluor,630.0,1-914-675-2986,grooms,3.0,ziad,WY,United States of America
dil40,22335,1.0,Apt. 382,11237 balmoral way,,9.0,Mesa,2205682.0,I,Dollar General,671.0,,dilkie,3.0,Claude,RI,United States of America
DOL41,V6C 1T4,2.0,,8316 GARDEN BROOK NORTH,,10.0,Lakewood,1140117.0,,Lear,715.0,1-825-739-0336,DOLSON,0.0,AVTAR,HI,United States of America
Pos42,M6t 1h3,1.0,,2240 clifton lower,,9.0,Cleveland,1421319.0,,J.P. Morgan Chase & Co.,707.0,1-956-713-3802,Posthumus,4.0,Donny,VA,United States of America
Mac43,95263,2.0,,20907 NOTINGHAM LOWER,,0.0,Grand Rapids,3525204.0,,Affinia Group Intermediate,329.0,1-814-932-1579,Machika,4.0,Cocos,OK,United States of America
che44,v5b 1p5,3.0,,601 carroll lower,,8.0,Peoria,468976.0,,,601.0,1-135-443-7282,chenoweth,0.0,ruud,Prince Edward Island,United States of America
hol45,32318,1.0,,18267 state drive,,2.0,Inglewood,1685443.0,,Goldman Sachs Group,623.0,1-720-975-0667,holbrooks,5.0,Belvia,SD,United States of America
pfi46,93872,4.0,,9270 LEAF SOUTH,f,2.0,Akron,337564.0,,E*Trade Financial,376.0,1-871-598-3505,pfieffer,4.0,ATHAR,OH,United States of America
elk47,92824,3.0,,18582 PERIMETER BOULEVARD,,0.0,Charlottetown,84777.0,Y,Pfizer,560.0,1-607-222-4809,elkington,1.0,Cherey,MA,Canada
Lab48,e4a 1r2,5.0,,9612 park stream upper,F,4.0,Bellevue,3146477.0,,Safeway,693.0,1-965-046-0642,Labenek,1.0,RAZ,MD,United States of America
laf49,H7G 1V4,2.0,,2803 clearwater north,,0.0,Dover,495277.0,Y,Simon Property Group,346.0,1-155-441-3579,laferriere,1.0,kishore,Saskatchewan,United States of America
Nor50,85039,3.0,,11103 BISSONNET WEST,,0.0,Fullerton,746904.0,I,Trinity Industries,342.0,,Norment,0.0,Nelleke,WA,United States of America
hag51,v6m 1q3,0.0,,4652 outervale lane,,8.0,Denver,1219620.0,,Solutia,563.0,1-544-132-7237,hagar,2.0,sibby,OH,Canada
Bet52,X7j 1r1,3.0,,341 dunbar west,m,4.0,Dallas,1718910.0,,,391.0,1-821-089-2089,Betcher,2.0,ericha,WY,United States of America
Van53,B8b 1z5,4.0,,16176 vernon drive,m,8.0,San Jose,,,A.O. Smith,381.0,1-135-391-9787,Van der,4.0,Janson,NJ,United States of America
O'L54,t5d 1v4,3.0,,23131 clint way,F,9.0,Bellevue,2636424.0,,AptarGroup,539.0,1-776-182-6215,O'LEARY,0.0,Dorotea,ND,United States of America
and55,V6t 1r2,4.0,,11640 baltic upper,m,0.0,San Buenaventura,1326305.0,,Coca-Cola,497.0,1-079-780-7761,anderson,5.0,Denice,NC,United States of America
sta56,91177,2.0,,20796 dolores drive,,,St. Louis,2241997.0,,Kimberly-Clark,661.0,1-504-346-4393,starks,4.0,Myron,WV,Canada
CHA57,T5c 1t1,3.0,Apt. 275,14359 COMMERCE WEST,,0.0,Pueblo,1542891.0,,Visteon,558.0,1-985-538-4351,CHASSE,5.0,Barby,GA,United States of America
ASI58,35862,1.0,,21448 hampton boulevard,R,,Regina,797918.0,,TECO Energy,534.0,1-254-097-9398,ASING,,Ariella,Ontario,Canada
ask59,96820,0.0,,7637 pershing way,f,6.0,Saskatoon,347654.0,,Bemis,373.0,1-545-924-9552,askins,0.0,ADEY,MA,United States of America
Kik60,75238,0.0,,11529 arcana boulevard,,8.0,Jackson,2456397.0,K,Wyeth,382.0,1-984-233-8818,Kikuta,4.0,GAYEL,CA,United States of America
Cha61,85769,3.0,,2700 windwood north,F,10.0,St. Petersburg,1284229.0,,United Technologies,475.0,1-528-691-1642,Chane,3.0,Man,SD,United States of America
KIL62,H5i 1o9,0.0,,22279 gramercy road,m,3.0,Scottsdale,618787.0,U,Clorox,539.0,,KILLEN,2.0,Klara,Saskatchewan,United States of America
kin63,90849,5.0,,9828 west east,f,6.0,Charlotte,1171606.0,,Discovery Communications,711.0,1-171-807-8213,kinley,4.0,Abdalla,RI,United States of America
MAL64,43644,,,5935 mcafee park,,1.0,Waterbury,3983261.0,,Williams-Sonoma,606.0,1-056-241-7009,MALAHER,4.0,bal,NC,United States of America
Odu65,99213,3.0,,12460 CLAYTON STREET,,0.0,Chesapeake,2328568.0,J,Manitowoc,494.0,1-389-414-0570,Odum,3.0,Romy,SD,United States of America
DI 66,72226,5.0,,275 3rd drive,,3.0,Hialeah,2078600.0,,Henry Schein,309.0,1-583-542-1656,DI NINNO,1.0,KORAL,IL,United States of America
STU67,V6Z 1Q9,5.0,,6907 FERNCLIFF CRESCENT,,3.0,Charleston,2986155.0,K,Trinity Industries,630.0,1-269-712-0672,STUBBLEFIELD,2.0,YUKIHIKO,OR,United States of America
HAM68,20082,1.0,,885 crosby lane,,10.0,Salem,1864039.0,,Pepsi Bottling,330.0,1-670-102-0463,HAMBALI,4.0,Khanh,Ontario,United States of America
LIB69,35827,0.0,,2344 kalani west,m,9.0,Sacramento,1293721.0,,UGI,710.0,1-699-726-3895,LIBRARIAN,,Darnell,FL,Canada
ohs70,99692,0.0,,22870 LA CIENEGA STREET,M,7.0,Santa Clarita,3850114.0,,Greif,475.0,1-640-666-2876,ohsone,4.0,feridoun,NM,United States of America
HUM71,V6c 1q5,1.0,APT. 143,8478 green avenue,,3.0,Sherbrooke,1618743.0,O,Equifax,596.0,1-540-639-1311,HUMMEL,0.0,Magdy,NE,United States of America
BRA72,80158,1.0,,23639 purdue rue,,9.0,Colorado Springs,3383487.0,,,670.0,1-285-874-8492,BRADD,5.0,jiri,MI,United States of America
Boa73,t6d 1b6,3.0,,19202 ansley park,,,Berkeley,2981876.0,X,Freescale Semiconductor,722.0,1-121-904-0040,Boarder,5.0,AILA,New Brunswick,United States of America
Mcn74,33120,2.0,,11319 devonshire rue,,7.0,San Buenaventura,2109339.0,,Aleris International,587.0,1-017-842-3201,Mcnally,3.0,Vincenzo,NJ,United States of America
MAR75,99742,3.0,,23665 deerwood park,F,4.0,New Haven,791803.0,,,609.0,1-215-859-3206,MARKOVICH,4.0,Minnnie,ND,United States of America
Wil76,V6N 1T1,1.0,,4855 union north,f,7.0,Shreveport,3523678.0,,World Fuel Services,401.0,1-764-520-7470,Willekes,0.0,alfonzo,Saskatchewan,United States of America
Dea77,44104,0.0,,9466 SHADOWBRIAR WEST,m,0.0,Lansing,1681902.0,S,R.R. Donnelley & Sons,335.0,1-414-130-0162,Deacetis,4.0,Swandi,KS,United States of America
Hou78,14605,5.0,,3504 regency avenue,,7.0,Pembroke Pines,3851455.0,,Brinker International,569.0,1-970-240-9990,Houk,5.0,Anya,SD,United States of America
Goy79,80076,2.0,,7281 northland lower,,9.0,Palmdale,2339382.0,,Temple-Inland,,1-408-684-6459,Goyette,0.0,Enrika,FL,Canada
Mok80,V6I 1V6,0.0,,12481 hayden lower,f,7.0,Savannah,,Z,Psychiatric Solutions,679.0,1-330-353-5908,Mok-fung,2.0,SONJA,Saskatchewan,United States of America
Run81,97307,4.0,,2328 gracie avenue,,10.0,Amarillo,2065016.0,I,Nash-Finch,356.0,1-766-726-2675,Rundle,,Liem,FL,United States of America
BEL82,46237,5.0,,4737 campbell street,o,9.0,Anchorage,2454049.0,,AMR,308.0,1-938-425-7509,BELLEY,2.0,COLLETTE,UT,United States of America
BAE83,V6B 1S6,4.0,,2401 stratmore lower,,4.0,Louisville,2423395.0,Y,Spartan Stores,412.0,1-527-308-8874,BAER,0.0,SIAMACK,WY,United States of America
MAU84,H2d 1x1,3.0,,21477 JUNIPER CRESCENT,f,4.0,Hilo,1342045.0,,Cigna,618.0,1-810-590-0635,MAULDIN,2.0,Toshihiro,NH,United States of America
Koo85,95108,3.0,,19214 YAUPON BOULEVARD,,5.0,Sudbury,861756.0,,General Cable,429.0,1-274-548-2512,Koohgoli,5.0,Casey,AR,United States of America
Lau86,80050,1.0,,7785 rusk boulevard,,3.0,Orlando,1215349.0,,Dun & Bradstreet,819.0,1-649-754-4601,Lauriston,3.0,Daryn,CT,United States of America
Man87,90122,1.0,,18002 cantrell upper,F,7.0,Missoula,3981554.0,L,Casey's General Stores,552.0,1-905-932-1785,Mangum,0.0,Adrianna,VT,Canada
PIE88,43614,4.0,,23341 brookside upper,,9.0,Abilene,3865937.0,,Jack in the Box,587.0,1-031-004-7697,PIERCY,0.0,Cortney,Manitoba,United States of America
Bus89,61110,1.0,,20494 ROSS WEST,M,6.0,Saskatoon,2804700.0,,Assurant,304.0,1-994-812-4796,Buscaglia,3.0,Duane,NJ,United States of America
BAB90,70174,5.0,,17552 SAVANNAH NORTH,,4.0,Irvine,3283558.0,,Psychiatric Solutions,795.0,1-176-513-4041,BABIONE,5.0,Tele,KY,United States of America
Bur91,90324,3.0,APT. 373,4462 pace crescent,M,2.0,Reno,450524.0,,Danaher,830.0,1-072-244-6337,Burkard,1.0,Ophelia,GA,United States of America
Kin92,s7d 1n1,3.0,,7161 tallowood upper,,3.0,Sacramento,,,Clorox,709.0,1-924-669-9328,Kinsella,5.0,lorine,NJ,United States of America
POM93,93829,1.0,,3489 silver sage west,,8.0,Topeka,,,Boyd Gaming,493.0,1-598-488-3541,POMMAINVILLE,2.0,Viole,SC,United States of America
BOA94,89116,,,12481 hayden lower,M,,Rancho Cucamonga,633760.0,,Eaton,680.0,1-295-539-3868,BOATWRIGHT,3.0,Nani,TN,United States of America
Ron95,94315,5.0,,13210 3RD DRIVE,,,Hilo,3634954.0,R,Dynegy,800.0,1-554-020-0267,Ronald,1.0,cherey,WY,United States of America
wei96,T5b 1u9,5.0,,8899 starling lane,,4.0,Saint John,799268.0,A,AmeriCredit,614.0,1-793-621-4566,weihs,1.0,Redgie,Ontario,United States of America
Hel97,T6b 1a5,0.0,,11480 fennel south,M,6.0,Torrance,39093.0,P,SLM,763.0,1-787-267-4261,Helpb,4.0,Yousef,DC,Canada
mog98,60699,4.0,,7266 cherry upper,m,3.0,Santa Clara,2705353.0,,NV Energy,561.0,1-668-247-1597,moghe,4.0,Damaris,Alberta,United States of America
boz99,V6p 1s8,2.0,,10678 ENGLEWOOD WEST,,4.0,Torrance,3565153.0,,Landstar System,569.0,1-901-346-8890,bozicevich,1.0,Ilyssa,ME,United States of America
Zah100,v6i 1p1,1.0,,21181 2ND RUE,,5.0,Stockton,2832204.0,R,Pacific Life,634.0,1-451-273-3803,Zaharychuk,4.0,Moselle,MA,United States of America
And101,79423,3.0,,22963 hanover road,F,10.0,Paterson,2194345.0,,Textron,488.0,1-129-499-9136,Andric,5.0,Dulsea,NV,United States of America
Bam102,H5j 1o6,3.0,,8268 cliffbrook boulevard,,5.0,Mesa,3737140.0,L,Pfizer,788.0,1-899-319-0772,Bamfo,2.0,Lyndsie,WA,Canada
fro103,93761,4.0,,5118 montview court,,8.0,Anchorage,464753.0,,Cigna,333.0,1-053-396-0441,frondozo,3.0,KESLEY,WY,United States of America
Car104,76150,1.0,,17442 tallowood upper,,,Miami,596696.0,J,Ameren,601.0,1-239-665-9540,Caron,1.0,LAUREL,NJ,United States of America
muc105,99717,4.0,,4038 WEDGEWOOD STREET,f,2.0,Great Falls,1504753.0,V,Consolidated Edison,595.0,1-605-888-3403,muchow,3.0,Steen,LA,Canada
gat106,60608,1.0,,20334 anaconda avenue,,10.0,Erie,3049281.0,,Occidental Petroleum,433.0,1-630-604-2543,gateau,0.0,noel,TX,United States of America
Sch107,v6w 1u4,,,5385 young west,F,10.0,Hollywood,247478.0,M,Sherwin-Williams,403.0,1-851-862-7928,Schaefer,0.0,Tracey,SC,United States of America
pom108,T5b 1t6,5.0,,2747 SINCLAIR LANE,,3.0,Tulsa,2750301.0,,Affiliated Computer Services,615.0,1-065-415-5724,pomerleau,1.0,Sarajane,TX,United States of America
cuc109,23298,4.0,,8622 BROWNWAY PARK,F,1.0,Tucson,721333.0,K,Valassis Communications,735.0,1-408-512-1007,cucuzzella,0.0,Geoffrey,MN,United States of America
SUG110,32803,0.0,,18048 GREEN NORTH,q,1.0,Anchorage,669440.0,Z,,668.0,1-083-902-4184,SUGARMAN,3.0,loralyn,ID,United States of America
Pep111,64122,5.0,,18994 country boulevard,,,Sandy,2473979.0,,Smithfield Foods,349.0,1-568-403-7081,Pepe,3.0,andrei,MI,Canada
Cha112,T6b 1h2,,SUITE 7,16063 ashland road,f,,Boston,3545170.0,,,654.0,1-824-389-0618,Chandrashekar,4.0,javad,OK,United States of America
SEI113,22222,3.0,Apt. 971,19309 mcfarlin north,m,6.0,Vancouver,1494871.0,U,TD Ameritrade,361.0,1-174-210-2058,SEIFERS,2.0,Karna,UT,United States of America
GAR114,T6a 1d2,0.0,,2454 cliffbrook west,F,1.0,Akron,436164.0,S,Comerica,427.0,1-425-503-7952,GARTLEY,4.0,Jocelyn,PA,Canada
Tou115,v5d 1n9,3.0,,15865 strand west,M,1.0,Lancaster,1069481.0,,Steel Dynamics,322.0,1-012-389-9089,Touchette,0.0,Elvera,New Brunswick,United States of America
Kur116,23321,0.0,,13776 east boulevard,M,9.0,Concord,,V,Coca-Cola Enterprises,792.0,1-909-472-6704,Kurdziel,2.0,Nessy,UT,United States of America
Her117,90505,0.0,,10570 WEIZMANN LOWER,,2.0,Chesapeake,2957261.0,,News Corp.,478.0,1-622-167-5411,Herod,3.0,lona,VA,Canada
MCV118,19066,5.0,,15278 walnut hill road,,1.0,Flint,228459.0,P,,477.0,1-164-511-9338,MCVICAR,,RHEA,NH,United States of America
LAB119,v6s 1r3,5.0,,23007 WAKEFOREST WAY,F,6.0,Chattanooga,67267.0,,Stater Bros. Holdings,449.0,1-804-532-9163,LABFIVE,1.0,Josefa,VT,Canada
but120,78769,4.0,,9088 rivas way,,2.0,Billings,1087978.0,,BorgWarner,466.0,1-197-370-0297,butta,2.0,alikee,FL,United States of America
Pro121,53769,5.0,,18798 ullrich road,m,2.0,Scottsdale,3885967.0,,CB Richard Ellis Group,483.0,1-337-042-5687,Projects,0.0,dolorita,NC,United States of America
Irc122,H7E 1U6,4.0,,18517 HULEN LOWER,,4.0,Oshawa,3271101.0,,Zimmer Holdings,588.0,1-056-138-5321,Irc,5.0,Marilyn,VA,United States of America
Ziv123,e7o 1k1,5.0,,11474 dodd lane,,2.0,Naperville,,G,Mohawk Industries,313.0,1-776-191-2031,Zivkovic,5.0,robertson,DC,Canada
sim124,90374,4.0,,9375 wood south,,1.0,Tampa,1999133.0,H,Berkshire Hathaway,647.0,1-280-696-2706,simser,1.0,Ilsa,NC,United States of America
kei125,63169,5.0,,20479 wise avenue,,2.0,Jackson,1100786.0,I,Saks,430.0,1-857-581-6346,keifer,1.0,Pen,MS,United States of America
arv126,16515,5.0,,19918 ROGERS NORTH,f,8.0,Hay River,563992.0,P,Gardner Denver,467.0,,arvin,0.0,AUBRETTE,SC,United States of America
Pra127,85309,2.0,,9284 coffey lower,F,7.0,Irvine,962397.0,,Hasbro,399.0,1-716-343-0884,Praeuner,3.0,Cole,KS,United States of America
lue128,92158,3.0,,2929 north crescent,m,5.0,Idaho Falls,1064169.0,C,CBS,654.0,1-101-776-2496,lue,2.0,liva,VT,United States of America
Prz129,33152,0.0,,15404 queen street,f,3.0,Moreno Valley,2100059.0,,Synnex,378.0,1-769-028-0589,Przybycien,2.0,Ayaz,IL,United States of America
pen130,83729,1.0,,1619 greenspoint road,f,10.0,Ontario,99025.0,J,Belden,338.0,1-005-833-8970,penn,5.0,YETTY,FL,United States of America
Gua131,B8b 1z6,0.0,,21477 WARREN PARK,,10.0,Concord,3865481.0,S,Broadcom,695.0,1-884-215-4243,Guay,5.0,Mary-michelle,MI,United States of America
bre132,53717,3.0,,6503 ROBBINS STREET,F,7.0,Phoenix,804544.0,,Reynolds American,614.0,,brennand,1.0,agretha,Newfoundland,Canada
Sav133,t5c 1w7,5.0,,3958 GLEN LOCH BOULEVARD,f,7.0,Coral Springs,3143356.0,X,Wells Fargo,307.0,1-725-177-7815,Savanh,4.0,LOTTY,ME,United States of America
ABB134,37245,3.0,,13640 ethridge lower,,2.0,Oxnard,,Z,Retail Ventures,331.0,1-277-496-5396,ABBATANTUONO,0.0,Kassey,AL,United States of America
OP135,94401,0.0,,3981 imperial lower,M,2.0,Brownsville,2311953.0,N,AT&T,638.0,1-756-463-2201,OP,2.0,Adria,IN,United States of America
Mer136,B8a 1y3,5.0,,13210 3rd drive,,3.0,Memphis,3120608.0,,Wynn Resorts,703.0,1-261-338-7463,Mersinger,3.0,audivox,NH,Canada
rut137,t6b 1k2,5.0,,9297 THROCKMORTON SOUTH,F,7.0,Flint,2058270.0,,Eastman Kodak,302.0,1-811-086-4675,rutt,0.0,SUE,DC,United States of America
bem138,85306,3.0,,8935 YOUNG UPPER,,,Lafayette,1511983.0,I,Aramark,522.0,1-338-771-1185,bemis,2.0,Lorenza,DC,United States of America
Pen139,V6R 1R7,1.0,,3797 RUTGERS PARK,,,Greensboro,439080.0,,ENSCO International,,1-554-231-5318,Pennington,5.0,Enzo,MD,United States of America
tor140,68513,0.0,,8285 tamarind crescent,M,5.0,Sterling Heights,921255.0,Y,Auto-Owners Insurance,833.0,1-733-886-5227,torok,1.0,claudina,Prince Edward Island,United States of America
law141,v6n 1v9,1.0,,20025 routh crescent,m,2.0,Costa Mesa,3810365.0,L,Bemis,,1-267-357-1943,lawlis,1.0,Otha,MD,United States of America
Bee142,83702,2.0,Suite 397,4144 LAKE PARK LANE,m,6.0,Houston,2641938.0,D,Securian Financial Group,664.0,1-602-756-7919,Beebe,2.0,Rodie,New Brunswick,United States of America
sch143,80125,1.0,,3375 sakowitz lane,m,7.0,Bakersfield,3857323.0,,Ford Motor,789.0,1-793-864-7010,schlange,4.0,DULCE,HI,United States of America
Wit144,M5G 1Y7,0.0,,7255 berry way,,0.0,Chesapeake,1636212.0,,ConAgra Foods,803.0,1-637-020-2921,Witchlow,5.0,Win,ND,United States of America
MER145,80213,4.0,,3131 WATHAN SOUTH,F,3.0,Sandy,2999082.0,Q,Charter Communications,720.0,1-428-797-6325,MEREDITH,4.0,Roselin,Nova Scotia,United States of America
bia146,60737,0.0,,18440 RYAN NORTH,m,4.0,Lewiston,2280820.0,,Calpine,839.0,1-011-549-5618,bialkenius,1.0,Malanie,ME,United States of America
Swi147,90510,1.0,SUITE 464,13222 glen loch road,m,0.0,Elizabeth,1050866.0,P,Crane,621.0,1-993-255-5481,Swiat,4.0,TARYN,Alberta,United States of America
bul148,92882,4.0,,7889 MURRAY WAY,,3.0,Sudbury,,,Textron,628.0,1-487-749-4448,bullinger,5.0,MALENA,VT,United States of America
TYR149,98121,5.0,,7527 whale drive,F,6.0,Austin,603001.0,,Idearc,813.0,1-192-352-2184,TYRRELL,3.0,Dorie,DE,Canada
Fyf150,H2e 1x9,3.0,,17788 eagle trace park,,3.0,Salinas,3368239.0,,Cabela's,367.0,1-293-442-4224,Fyfe,5.0,Liese,MA,United States of America
Sic151,23503,2.0,,7661 GRANT WAY,,10.0,Peoria,1042629.0,,EOG Resources,807.0,1-078-502-6700,Sicard,4.0,tele,CA,United States of America
CAS152,40208,4.0,,4806 crystal hills street,F,8.0,Sydney,1948746.0,,,501.0,1-430-909-3001,CASTEN,3.0,astra,Manitoba,United States of America
Cho153,75201,2.0,,4211 WILLS NORTH,,10.0,San Antonio,3113862.0,S,Burlington Coat Factory,490.0,1-392-455-0895,Choy,0.0,marnia,TN,United States of America
CHA154,93852,3.0,,7524 linberg north,,3.0,Oklahoma City,2777290.0,,Southwest Airlines,321.0,1-273-921-9787,CHACKO,2.0,AMY,FL,United States of America
bei155,32312,0.0,,14266 lemming south,f,6.0,Miami,2210073.0,E,RPM International,,1-012-993-4538,beil,1.0,HAMILTON,CA,United States of America
Ele156,90059,1.0,,1427 ADDAX LANE,m,7.0,Yonkers,1999684.0,J,Amazon.com,446.0,1-890-859-4211,Eleftheriou,4.0,Kuldip,CO,United States of America
o'g157,77006,5.0,,1625 fernando court,F,2.0,Columbia,2119678.0,,Neiman Marcus,428.0,1-080-032-3031,o'grady,5.0,krystalle,Saskatchewan,United States of America
Kat158,23224,0.0,,335 floresta north,,5.0,Lubbock,169808.0,,Goldman Sachs Group,423.0,1-561-620-7173,Katchmar,0.0,Stella,UT,United States of America
Lui159,10055,4.0,,22806 garson east,,6.0,Chattanooga,1072732.0,O,Boeing,499.0,1-017-439-0362,Luin,5.0,Marie-josee,ME,United States of America
Kla160,35830,1.0,,5524 vermack street,f,7.0,Fargo,2261442.0,,United Refining,342.0,1-248-539-6621,Klavkalns,1.0,Nashib,NH,United States of America
Bru161,v6m 1s9,3.0,,18105 electra street,,1.0,Omaha,2234368.0,Z,D.R. Horton,632.0,1-611-789-5569,Brunsting,1.0,Annette,VA,United States of America
