AgencyID,OwnOrRentFlag,MaritalStatus,CreditRating,Country,MiddleInitial,LastName,FirstName,Gender,AddressLine1,AddressLine2,PostalCode,City,State
DOL41,O,U,715.0,United States of America,,DOLSON,AVTAR,,8316 GARDEN BROOK NORTH,,V6C 1T4,Lakewood,HI
Pos42,O,M,707.0,United States of America,,Posthumus,Donny,,2240 clifton lower,,M6t 1h3,Cleveland,VA
Mac43,O,M,329.0,United States of America,,Machika,Cocos,,20907 NOTINGHAM LOWER,,95263,Grand Rapids,OK
che44,R,D,601.0,United States of America,,chenoweth,ruud,,601 carroll lower,,v5b 1p5,Peoria,Prince Edward Island
hol45,O,W,623.0,United States of America,,holbrooks,Belvia,,18267 state drive,,32318,Inglewood,SD
pfi46,O,S,376.0,United States of America,,pfieffer,ATHAR,f,9270 LEAF SOUTH,,93872,Akron,OH
elk47,O,W,560.0,Canada,Y,elkington,Cherey,,18582 PERIMETER BOULEVARD,,92824,Charlottetown,MA
Lab48,O,,693.0,United States of America,,Labenek,RAZ,F,9612 park stream upper,,e4a 1r2,Bellevue,MD
laf49,U,S,346.0,United States of America,Y,laferriere,kishore,,2803 clearwater north,,H7G 1V4,Dover,Saskatchewan
Nor50,O,M,342.0,United States of America,I,Norment,Nelleke,,11103 BISSONNET WEST,,85039,Fullerton,WA
hag51,R,M,563.0,Canada,,hagar,sibby,,4652 outervale lane,,v6m 1q3,Denver,OH
Bet52,O,M,391.0,United States of America,,Betcher,ericha,m,341 dunbar west,,X7j 1r1,Dallas,WY
Van53,O,S,381.0,United States of America,,Van der,Janson,m,16176 vernon drive,,B8b 1z5,San Jose,NJ
O'L54,U,S,539.0,United States of America,,O'LEARY,Dorotea,F,23131 clint way,,t5d 1v4,Bellevue,ND
and55,O,M,497.0,United States of America,,anderson,Denice,m,11640 baltic upper,,V6t 1r2,San Buenaventura,NC
sta56,O,M,661.0,Canada,,starks,Myron,,20796 dolores drive,,91177,St. Louis,WV
CHA57,R,S,558.0,United States of America,,CHASSE,Barby,,14359 COMMERCE WEST,Apt. 275,T5c 1t1,Pueblo,GA
ASI58,O,W,534.0,Canada,,ASING,Ariella,R,21448 hampton boulevard,,35862,Regina,Ontario
ask59,U,M,373.0,United States of America,,askins,ADEY,f,7637 pershing way,,96820,Saskatoon,MA
Kik60,O,M,382.0,United States of America,K,Kikuta,GAYEL,,11529 arcana boulevard,,75238,Jackson,CA
Cha61,O,S,475.0,United States of America,,Chane,Man,F,2700 windwood north,,85769,St. Petersburg,SD
KIL62,O,D,539.0,United States of America,U,KILLEN,Klara,m,22279 gramercy road,,H5i 1o9,Scottsdale,Saskatchewan
kin63,O,M,711.0,United States of America,,kinley,Abdalla,f,9828 west east,,90849,Charlotte,RI
MAL64,O,M,606.0,United States of America,,MALAHER,bal,,5935 mcafee park,,43644,Waterbury,NC
Odu65,O,W,494.0,United States of America,J,Odum,Romy,,12460 CLAYTON STREET,,99213,Chesapeake,SD
DI 66,O,M,309.0,United States of America,,DI NINNO,KORAL,,275 3rd drive,,72226,Hialeah,IL
STU67,O,M,630.0,United States of America,K,STUBBLEFIELD,YUKIHIKO,,6907 FERNCLIFF CRESCENT,,V6Z 1Q9,Charleston,OR
HAM68,O,S,330.0,United States of America,,HAMBALI,Khanh,,885 crosby lane,,20082,Salem,Ontario
LIB69,O,S,710.0,Canada,,LIBRARIAN,Darnell,m,2344 kalani west,,35827,Sacramento,FL
ohs70,R,M,475.0,United States of America,,ohsone,feridoun,M,22870 LA CIENEGA STREET,,99692,Santa Clarita,NM
HUM71,O,U,596.0,United States of America,O,HUMMEL,Magdy,,8478 green avenue,APT. 143,V6c 1q5,Sherbrooke,NE
BRA72,O,W,670.0,United States of America,,BRADD,jiri,,23639 purdue rue,,80158,Colorado Springs,MI
Boa73,O,U,722.0,United States of America,X,Boarder,AILA,,19202 ansley park,,t6d 1b6,Berkeley,New Brunswick
Mcn74,O,U,587.0,United States of America,,Mcnally,Vincenzo,,11319 devonshire rue,,33120,San Buenaventura,NJ
MAR75,O,S,609.0,United States of America,,MARKOVICH,Minnnie,F,23665 deerwood park,,99742,New Haven,ND
Wil76,O,S,401.0,United States of America,,Willekes,alfonzo,f,4855 union north,,V6N 1T1,Shreveport,Saskatchewan
Dea77,,M,335.0,United States of America,S,Deacetis,Swandi,m,9466 SHADOWBRIAR WEST,,44104,Lansing,KS
Hou78,O,U,569.0,United States of America,,Houk,Anya,,3504 regency avenue,,14605,Pembroke Pines,SD
Goy79,R,M,,Canada,,Goyette,Enrika,,7281 northland lower,,80076,Palmdale,FL
Mok80,O,S,679.0,United States of America,Z,Mok-fung,SONJA,f,12481 hayden lower,,V6I 1V6,Savannah,Saskatchewan
Run81,,M,356.0,United States of America,I,Rundle,Liem,,2328 gracie avenue,,97307,Amarillo,FL
BEL82,R,S,308.0,United States of America,,BELLEY,COLLETTE,o,4737 campbell street,,46237,Anchorage,UT
BAE83,O,M,412.0,United States of America,Y,BAER,SIAMACK,,2401 stratmore lower,,V6B 1S6,Louisville,WY
MAU84,O,D,618.0,United States of America,,MAULDIN,Toshihiro,f,21477 JUNIPER CRESCENT,,H2d 1x1,Hilo,NH
Koo85,O,S,429.0,United States of America,,Koohgoli,Casey,,19214 YAUPON BOULEVARD,,95108,Sudbury,AR
Lau86,O,S,819.0,United States of America,,Lauriston,Daryn,,7785 rusk boulevard,,80050,Orlando,CT
Man87,O,M,552.0,Canada,L,Mangum,Adrianna,F,18002 cantrell upper,,90122,Missoula,VT
PIE88,O,S,587.0,United States of America,,PIERCY,Cortney,,23341 brookside upper,,43614,Abilene,Manitoba
Bus89,O,S,304.0,United States of America,,Buscaglia,Duane,M,20494 ROSS WEST,,61110,Saskatoon,NJ
BAB90,U,,795.0,United States of America,,BABIONE,Tele,,17552 SAVANNAH NORTH,,70174,Irvine,KY
Bur91,O,S,830.0,United States of America,,Burkard,Ophelia,M,4462 pace crescent,APT. 373,90324,Reno,GA
Kin92,R,M,709.0,United States of America,,Kinsella,lorine,,7161 tallowood upper,,s7d 1n1,Sacramento,NJ
POM93,O,S,493.0,United States of America,,POMMAINVILLE,Viole,,3489 silver sage west,,93829,Topeka,SC
BOA94,O,M,680.0,United States of America,,BOATWRIGHT,Nani,M,12481 hayden lower,,89116,Rancho Cucamonga,TN
Ron95,R,M,800.0,United States of America,R,Ronald,cherey,,13210 3RD DRIVE,,94315,Hilo,WY
wei96,R,M,614.0,United States of America,A,weihs,Redgie,,8899 starling lane,,T5b 1u9,Saint John,Ontario
Hel97,R,,763.0,Canada,P,Helpb,Yousef,M,11480 fennel south,,T6b 1a5,Torrance,DC
mog98,O,S,561.0,United States of America,,moghe,Damaris,m,7266 cherry upper,,60699,Santa Clara,Alberta
boz99,O,S,569.0,United States of America,,bozicevich,Ilyssa,,10678 ENGLEWOOD WEST,,V6p 1s8,Torrance,ME
Zah100,O,M,634.0,United States of America,R,Zaharychuk,Moselle,,21181 2ND RUE,,v6i 1p1,Stockton,MA
And101,O,U,488.0,United States of America,,Andric,Dulsea,F,22963 hanover road,,79423,Paterson,NV
Bam102,O,W,788.0,Canada,L,Bamfo,Lyndsie,,8268 cliffbrook boulevard,,H5j 1o6,Mesa,WA
fro103,O,D,333.0,United States of America,,frondozo,KESLEY,,5118 montview court,,93761,Anchorage,WY
Car104,U,M,601.0,United States of America,J,Caron,LAUREL,,17442 tallowood upper,,76150,Miami,NJ
muc105,O,U,595.0,Canada,V,muchow,Steen,f,4038 WEDGEWOOD STREET,,99717,Great Falls,LA
gat106,O,U,433.0,United States of America,,gateau,noel,,20334 anaconda avenue,,60608,Erie,TX
Sch107,O,U,403.0,United States of America,M,Schaefer,Tracey,F,5385 young west,,v6w 1u4,Hollywood,SC
pom108,R,,615.0,United States of America,,pomerleau,Sarajane,,2747 SINCLAIR LANE,,T5b 1t6,Tulsa,TX
cuc109,O,M,735.0,United States of America,K,cucuzzella,Geoffrey,F,8622 BROWNWAY PARK,,23298,Tucson,MN
SUG110,O,S,668.0,United States of America,Z,SUGARMAN,loralyn,q,18048 GREEN NORTH,,32803,Anchorage,ID
Pep111,O,M,349.0,Canada,,Pepe,andrei,,18994 country boulevard,,64122,Sandy,MI
Cha112,,S,654.0,United States of America,,Chandrashekar,javad,f,16063 ashland road,SUITE 7,T6b 1h2,Boston,OK
SEI113,O,U,361.0,United States of America,U,SEIFERS,Karna,m,19309 mcfarlin north,Apt. 971,22222,Vancouver,UT
GAR114,U,S,427.0,Canada,S,GARTLEY,Jocelyn,F,2454 cliffbrook west,,T6a 1d2,Akron,PA
Tou115,O,W,322.0,United States of America,,Touchette,Elvera,M,15865 strand west,,v5d 1n9,Lancaster,New Brunswick
Kur116,R,S,792.0,United States of America,V,Kurdziel,Nessy,M,13776 east boulevard,,23321,Concord,UT
Her117,O,U,478.0,Canada,,Herod,lona,,10570 WEIZMANN LOWER,,90505,Chesapeake,VA
MCV118,O,M,477.0,United States of America,P,MCVICAR,RHEA,,15278 walnut hill road,,19066,Flint,NH
LAB119,O,M,449.0,Canada,,LABFIVE,Josefa,F,23007 WAKEFOREST WAY,,v6s 1r3,Chattanooga,VT
but120,O,U,466.0,United States of America,,butta,alikee,,9088 rivas way,,78769,Billings,FL
Pro121,O,M,483.0,United States of America,,Projects,dolorita,m,18798 ullrich road,,53769,Scottsdale,NC
Irc122,O,D,588.0,United States of America,,Irc,Marilyn,,18517 HULEN LOWER,,H7E 1U6,Oshawa,VA
Ziv123,O,,313.0,Canada,G,Zivkovic,robertson,,11474 dodd lane,,e7o 1k1,Naperville,DC
sim124,R,U,647.0,United States of America,H,simser,Ilsa,,9375 wood south,,90374,Tampa,NC
kei125,O,S,430.0,United States of America,I,keifer,Pen,,20479 wise avenue,,63169,Jackson,MS
arv126,O,W,467.0,United States of America,P,arvin,AUBRETTE,f,19918 ROGERS NORTH,,16515,Hay River,SC
Pra127,O,M,399.0,United States of America,,Praeuner,Cole,F,9284 coffey lower,,85309,Irvine,KS
lue128,O,M,654.0,United States of America,C,lue,liva,m,2929 north crescent,,92158,Idaho Falls,VT
Prz129,O,S,378.0,United States of America,,Przybycien,Ayaz,f,15404 queen street,,33152,Moreno Valley,IL
pen130,O,W,338.0,United States of America,J,penn,YETTY,f,1619 greenspoint road,,83729,Ontario,FL
Gua131,R,S,695.0,United States of America,S,Guay,Mary-michelle,,21477 WARREN PARK,,B8b 1z6,Concord,MI
bre132,U,M,614.0,Canada,,brennand,agretha,F,6503 ROBBINS STREET,,53717,Phoenix,Newfoundland
Sav133,O,S,307.0,United States of America,X,Savanh,LOTTY,f,3958 GLEN LOCH BOULEVARD,,t5c 1w7,Coral Springs,ME
ABB134,O,M,331.0,United States of America,Z,ABBATANTUONO,Kassey,,13640 ethridge lower,,37245,Oxnard,AL
OP135,O,S,638.0,United States of America,N,OP,Adria,M,3981 imperial lower,,94401,Brownsville,IN
Mer136,O,W,703.0,Canada,,Mersinger,audivox,,13210 3rd drive,,B8a 1y3,Memphis,NH
rut137,O,S,302.0,United States of America,,rutt,SUE,F,9297 THROCKMORTON SOUTH,,t6b 1k2,Flint,DC
bem138,O,U,522.0,United States of America,I,bemis,Lorenza,,8935 YOUNG UPPER,,85306,Lafayette,DC
Pen139,O,M,,United States of America,,Pennington,Enzo,,3797 RUTGERS PARK,,V6R 1R7,Greensboro,MD
tor140,R,W,833.0,United States of America,Y,torok,claudina,M,8285 tamarind crescent,,68513,Sterling Heights,Prince Edward Island
law141,O,U,,United States of America,L,lawlis,Otha,m,20025 routh crescent,,v6n 1v9,Costa Mesa,MD
Bee142,O,U,664.0,United States of America,D,Beebe,Rodie,m,4144 LAKE PARK LANE,Suite 397,83702,Houston,New Brunswick
sch143,O,U,789.0,United States of America,,schlange,DULCE,m,3375 sakowitz lane,,80125,Bakersfield,HI
Wit144,U,S,803.0,United States of America,,Witchlow,Win,,7255 berry way,,M5G 1Y7,Chesapeake,ND
MER145,,M,720.0,United States of America,Q,MEREDITH,Roselin,F,3131 WATHAN SOUTH,,80213,Sandy,Nova Scotia
bia146,R,M,839.0,United States of America,,bialkenius,Malanie,m,18440 RYAN NORTH,,60737,Lewiston,ME
Swi147,O,D,621.0,United States of America,P,Swiat,TARYN,m,13222 glen loch road,SUITE 464,90510,Elizabeth,Alberta
bul148,O,D,628.0,United States of America,,bullinger,MALENA,,7889 MURRAY WAY,,92882,Sudbury,VT
TYR149,O,W,813.0,Canada,,TYRRELL,Dorie,F,7527 whale drive,,98121,Austin,DE
Fyf150,R,W,367.0,United States of America,,Fyfe,Liese,,17788 eagle trace park,,H2e 1x9,Salinas,MA
Sic151,O,D,807.0,United States of America,,Sicard,tele,,7661 GRANT WAY,,23503,Peoria,CA
CAS152,O,U,501.0,United States of America,,CASTEN,astra,F,4806 crystal hills street,,40208,Sydney,Manitoba
Cho153,O,U,490.0,United States of America,S,Choy,marnia,,4211 WILLS NORTH,,75201,San Antonio,TN
CHA154,O,W,321.0,United States of America,,CHACKO,AMY,,7524 linberg north,,93852,Oklahoma City,FL
bei155,R,U,,United States of America,E,beil,HAMILTON,f,14266 lemming south,,32312,Miami,CA
Ele156,O,U,446.0,United States of America,J,Eleftheriou,Kuldip,m,1427 ADDAX LANE,,90059,Yonkers,CO
o'g157,O,M,428.0,United States of America,,o'grady,krystalle,F,1625 fernando court,,77006,Columbia,Saskatchewan
Kat158,O,S,423.0,United States of America,,Katchmar,Stella,,335 floresta north,,23224,Lubbock,UT
Lui159,O,U,499.0,United States of America,O,Luin,Marie-josee,,22806 garson east,,10055,Chattanooga,ME
Kla160,O,S,342.0,United States of America,,Klavkalns,Nashib,f,5524 vermack street,,35830,Fargo,NH
Bru161,U,M,632.0,United States of America,Z,Brunsting,Annette,,18105 electra street,,v6m 1s9,Omaha,VA
Apt162,O,M,525.0,United States of America,Q,Apter,LENA,,719 holman court,,22304,Yonkers,TX
sch163,R,M,371.0,United States of America,,schuette,Christian,f,23553 MEMORIAL RUE,,06101,Spokane,Saskatchewan
Lan164,O,U,699.0,United States of America,,Lanava,Morrie,,16759 park avenue,,78756,Tulsa,NH
Fus165,O,M,435.0,United States of America,,Fusca,LYMAN,F,12296 WILLIAMS LOWER,,93003,Garden Grove,VA
Nev166,U,U,512.0,United States of America,R,Nevardauskis,REUBEN,F,9625 ALLEN BOULEVARD,,T5D 1P2,Fort Lauderdale,IA
SHA167,O,M,552.0,Canada,,SHACKLEFORD,Hermon,f,10340 jarvis road,,10108,Philadelphia,NC
Sau168,O,M,,Canada,P,Sauck,Paqs,,13143 goodwin lane,,t5c 1l3,Sydney,NH
fri169,O,M,687.0,United States of America,,frischknecht,GAETAN,,7160 BEATTY RUE,,M5B 1Z8,Waterbury,AL
fer170,R,M,433.0,United States of America,O,fernandez,leese,,22679 chimney rock west,,V6H 1W2,Tacoma,British Columbia
LAN171,,U,746.0,United States of America,,LANDERS,Amelie,M,6769 pasadena upper,,90308,Charlottetown,MD
Bha172,R,M,405.0,Canada,,Bhasin,TAMRA,,20622 MCAFEE COURT,,M5e 1y2,Independence,IA
Jor173,O,M,805.0,United States of America,,Jordan,bang,M,10526 LINWOOD LANE,,80029,Escondido,ND
KNU174,O,M,819.0,United States of America,,KNUDSEN,HILDEGARDE,F,21088 vessey crescent,,30350,Lansing,NY
Ham175,O,M,648.0,United States of America,,Hamelin,Carmody,F,10884 ryan avenue,,97240,Anaheim,OR
MAU176,R,U,401.0,United States of America,,MAUER,Dareen,,1481 gale court,,R3A 1M1,Glendale,MO
Rez177,U,U,484.0,United States of America,,Rezansoff,WEN,F,18390 martins east,Apt. 426,73172,Chula Vista,CT
Koa178,O,U,463.0,Canada,,Koa,MOT,,23208 porter crescent,,V6s 1p9,Orlando,MO
HAN179,O,U,335.0,United States of America,B,HANNEMAN,leese,m,17026 durand north,,90140,Cleveland,MN
jak180,O,U,,United States of America,I,jakim,nettie,,16533 devonshire park,,94639,Huntington,NC
ump181,R,M,381.0,United States of America,C,umphres,AILEE,,8965 griffin east,,22307,Fayetteville,TN
Wic182,O,M,708.0,Canada,G,Wickham,chan,,22451 larner court,,55116,Riverside,NV
Gat183,R,M,354.0,Canada,,Gates,RAY,F,3681 HOLLY KNOLL CRESCENT,Apt. 540,M6s 1i5,Dayton,AL
bot184,,S,547.0,United States of America,,bott,Robinette,,5678 dayton street,,92708,Corona,NE
DAV185,O,D,761.0,United States of America,T,DAVID-YERUMO,Rocke,,15591 holgate lane,,V6r 1q6,Oklahoma City,KS
HIL186,O,M,659.0,United States of America,,HILLARD,Suzette,F,23477 havenridge rue,,63178,Dallas,NY
war187,R,M,351.0,United States of America,,warburton,Myla,,18267 cape lane,,x7j 1r5,Durham,NY
MAC188,O,S,608.0,United States of America,,MACHNICKI-HYNES,dacia,m,2928 POTOMAC UPPER,apt. 48,M5e 1y7,Tacoma,Saskatchewan
lev189,O,S,706.0,United States of America,A,levitin,CHELSIE,F,14656 pasadena park,,23257,Alexandria,Prince Edward Island
Goo190,O,M,391.0,United States of America,,Gooderham,abbas,,16983 flagler drive,apt. 968,V6I 1U7,Hialeah,Alberta
Koh191,R,W,461.0,United States of America,E,Kohalmi-hill,Rec,,17212 LANDER SOUTH,,94539,Denver,Ontario
AYL192,O,U,510.0,United States of America,,AYLWIN,Elaine,M,23764 sabine west,,H7h 1v4,Fort Lauderdale,TN
CHO193,O,W,805.0,United States of America,E,CHOUHAN,Katharine,F,16271 vista south,,15201,Mesa,VA
DIT194,O,M,702.0,United States of America,G,DITKO,LILIAN,,1080 LAVENDER LANE,,t5a 1n6,Cleveland,TX
EMI195,O,W,368.0,United States of America,,EMIG,CATI,,10856 summer street,,78784,Lewiston,MT
Ryd196,R,W,520.0,United States of America,,Ryder,Luong,m,17021 edwards crescent,APT. 392,H6d 1w8,Tallahassee,IL
mei197,O,S,666.0,United States of America,S,meisner,JUOZAS,,7726 TALLOWOOD UPPER,,06705,El Monte,WY
Ceg198,O,S,587.0,United States of America,,Cegelski,Lysy,,19097 foxfire north,,M5c 1v9,Sioux Falls,NC
hai199,O,U,643.0,United States of America,Z,haigh,ULA,,8161 PINTO ROAD,,90759,Columbia,ND
cle200,R,,484.0,United States of America,J,clendening,Francesca,,9659 sakowitz west,,22301,San Francisco,GA
Cie201,R,U,,United States of America,W,Ciesielski,emili,,15306 pike park,,19165,Santa Clara,VA
Par202,R,S,676.0,United States of America,,Parypa,yogesh,f,21891 dewey street,,75007,Greensboro,Prince Edward Island
LOZ203,O,M,300.0,United States of America,K,LOZINSKI,Xantippe,f,8155 storeywood road,,90302,Waco,OR
Pas204,R,,,Canada,,Pascal,TINO,,20871 dewdrop street,APT. 630,84092,Rochester,WI
Aul205,O,M,831.0,United States of America,,Aula,AGGIE,,1121 GREENE PARK,,v6d 1u1,Tampa,ID
bar206,O,M,609.0,United States of America,N,barnes,Alane,F,23849 westerley south,,99503,Paterson,MT
ELL207,O,S,679.0,United States of America,,ELLIOTT,ABBYE,,1540 murie rue,,80960,Fullerton,MD
for208,O,U,634.0,United States of America,P,forslund,aleen,m,16633 raymond road,suite 344,53743,London,NY
Bur209,O,W,338.0,Canada,U,Burbidge,collen,,18676 turman drive,,t6d 1k1,Newark,HI
FOL210,O,M,332.0,United States of America,,FOLLMER,NEALA,F,1808 HARDY STREET,,91350,Buffalo,DE
Led211,O,M,721.0,United States of America,,Leder,CELISSE,m,11115 midland avenue,,37916,El Paso,PA
kop212,O,,351.0,United States of America,N,kopke,MEHMET,,24950 sheppard lane,,22329,Toledo,IN
pay213,O,M,564.0,Canada,,paylor,Carlis,,6450 LEMMING RUE,,M1i 1r8,Sterling Heights,MT
PAL214,O,M,379.0,United States of America,,PALACEK,marshal,,19342 wycliffe park,,h5i 1p1,New Haven,WY
fel215,O,S,727.0,United States of America,,felton,Fabien,,7582 woodway south,,M1I 1R5,Dallas,FL
ATW216,O,U,578.0,United States of America,,ATWELL-BYRNE,basia,,22526 QUEENSBURY LOWER,,53739,Milwaukee,RI
Mcb217,O,W,642.0,United States of America,S,Mcbeth,FARID,M,18833 3rd park,,06603,Anaheim,CO
Jal218,O,M,,United States of America,B,Jalaie,jyoti,M,19394 canoas west,apt. 3,28247,Huntington Beach,SD
vem219,R,S,554.0,Canada,,vempati,Jandy,,9941 ROYALTON DRIVE,,h7g 1u9,Naperville,TX
BAR220,U,U,733.0,United States of America,D,BARNICKEL,VO,,10177 pecos crescent,,90831,Iqaluit,VT
PES221,O,M,345.0,United States of America,U,PESOLD,Kien,M,20823 WEST CHAPEL AVENUE,,M4j 1o7,Winnipeg,IN
Sha222,R,M,644.0,United States of America,,Shaughnessy,Tybi,F,13483 ROCKDALE DRIVE,,77288,St. Petersburg,UT
Sch223,U,S,564.0,United States of America,J,Schmeing,Nhien,M,9645 HAYDEN BOULEVARD,,77117,Waterbury,NV
Mat224,O,M,465.0,United States of America,L,Materna,Florance,,6066 fillmore lower,,45263,Lubbock,TX
JAI225,O,D,652.0,United States of America,,JAIN,Ros,,293 conier avenue,,v6g 1p4,London,OR
KAR226,O,M,714.0,United States of America,,KARNAZES,Genevieve,,7000 ansley lane,,72247,Des Moines,Ontario
gus227,R,M,383.0,Canada,,gustafson,EMILIO,,13635 jarvis south,APT. 587,E7n 1j9,Madison,Saskatchewan
Ann228,O,,336.0,United States of America,K,Annas,JANEEN,,17362 COFFEY UPPER,,45272,Scottsdale,MO
lab229,O,,626.0,Canada,R,labenek,cathrin,,12279 trafalgar crescent,,x7j 1q2,Mount Pearl,UT
fli230,U,S,549.0,United States of America,M,flindall,kirstin,f,24717 MIDLAND LANE,,80952,Iqaluit,IL
sat231,O,U,492.0,United States of America,,satkunaseelan,giles,,11493 worley park,,38157,Moreno Valley,NM
tho232,O,M,327.0,United States of America,I,thornley,Ted,,6492 HAMMOND AVENUE,,06703,Naperville,NC
CRI233,O,S,545.0,United States of America,L,CRIPPS,hayden,m,8954 bagby north,,v6u 1r8,Norfolk,AZ
Gas234,O,M,571.0,United States of America,V,Gascon,Gail,M,11622 josey south,,28231,Louisville,CT
Cha235,O,W,423.0,United States of America,,Chavers,las,f,11538 collinwood avenue,,63107,Akron,VA
Net236,O,,655.0,United States of America,,Nettles,Noelyn,,20913 vickers boulevard,,H2g 1w7,Whitehorse,NV
WOO237,O,M,488.0,United States of America,,WOODROW,izak,m,22274 VICKERY CRESCENT,,55416,Salem,VA
val238,,M,352.0,United States of America,,valerien,bernita,,881 vance jackson south,,V6d 1u5,Memphis,British Columbia
Ber239,O,M,810.0,United States of America,,Berndt,Karmen,f,15079 DECATUR RUE,,93782,Fayetteville,VA
lab240,O,D,686.0,United States of America,F,labranche,Rio,,10424 mitchell street,,90252,Lansing,TX
VRE241,R,M,389.0,Canada,X,VREUGDENHIL,ISABELLE,m,14195 VERDE PARK,,85759,Atlanta,CO
GOO242,U,M,761.0,United States of America,,GOODINSON,Micro,F,10608 bissonnet road,,M5g 1x8,Gary,GA
cha243,O,D,589.0,United States of America,S,chaput,maribel,,11237 balmoral way,,78746,Atlanta,NE
