AddressLine1,MaritalStatus,NumberCars,PostalCode,Phone,Country,AgencyID,City,Income,State,LastName,AddressLine2,MiddleInitial,NumberCreditCards,OwnOrRentFlag,Age,CreditRating,Employer,FirstName,Gender,NumberChildren,NetWorth
Yrqckbldfgvltnlgolmyhnzpnfmxikgw,M,5.0,NCEVKLQEEWTA,,United States of America,dgc7511,Greensboro,210038.0,Saskatchewan,dgcnbxfhc,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,3.0,O,72.0,,Interstate Bakeries,Zaijioc,m,1.0,490443.0
Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,M,4.0,DODDIDDHXS,1-268-630-3843,Canada,lql7512,Concord,307402.0,NE,lqlslgqsvyfxqnzuwbfg,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,,9.0,O,40.0,318.0,eBay,Mdwdjpdfmbqjaygkfqzqx,,5.0,3348923.0
Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,D,4.0,Oqnzttrldq,1-915-548-9541,United States of America,Wsk7513,Colorado Springs,,AR,Wskjvrujdwku,ucxdpiwilpxxhv,,4.0,R,8.0,613.0,Boise,Ccbccgvldfvoqtzestvkwunn,m,1.0,331799.0
,U,4.0,Lwbawk,1-536-880-0961,,Ffs7514,Mobile,432425.0,IL,Ffshsiomkzjonhxjhunfsao,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,v,4.0,R,10.0,786.0,MDU Resources Group,nyakrhdyxravdnhgbtol,,1.0,1167013.0
nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,U,0.0,Ppsrzjdtg,1-494-335-6022,United States of America,Kvv7515,Thousand Oaks,122041.0,VA,Kvvverfkpazpzzkrqniixrhnw,,F,10.0,O,24.0,,Freescale Semiconductor,NDNBTVCLKSC,,3.0,3960216.0
,M,1.0,,1-814-158-3550,United States of America,mpz7516,Rochester,302205.0,ID,mpzqnwnrmaozfsstcqtrc,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,G,5.0,O,18.0,623.0,Superior Energy Services,Zmstbluqkipzaojfsomtbdddguq,f,4.0,242246.0
RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,S,1.0,,1-420-580-0795,United States of America,Jhc7517,Garden Grove,367555.0,TX,Jhcbaxyzijphmmvpampdgvgisnab,Havgczldcpfmwfzj,s,1.0,O,79.0,845.0,Monsanto,dpqgvuaoijmkxsesvililpxcrwqe,F,1.0,1217660.0
rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,4.0,Rxdsunq,1-924-305-1666,United States of America,dbq7518,Tampa,106025.0,New Brunswick,dbqcukoddoiwg,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,l,7.0,U,36.0,645.0,Newfield Exploration,IHUGYGSRDWILVOFBAKUR,M,5.0,1229655.0
Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,W,2.0,JXHVEEOU,1-450-082-2122,Canada,Xch7519,Fullerton,106690.0,Alberta,Xchoxlbkffuvox,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,,1.0,O,21.0,495.0,Loews,aefotdcronamhkzsfpvifmobgchmsp,m,2.0,1157831.0
Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,M,2.0,XHJQCDPOO,1-573-009-1404,Canada,oir7520,Washington,29373.0,PA,oirfujtvl,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Z,8.0,O,4.0,371.0,Apache,jdeyqkerjerjpht,m,2.0,
Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,S,2.0,rapkjpmvp,1-603-897-9894,United States of America,Fqb7521,Norfolk,168189.0,Nova Scotia,Fqbovz,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,O,1.0,R,72.0,462.0,Robert Half International,Lwihnxoihqqrvjydsijd,M,3.0,
Dmyivtczopuqajpnjqvvgbhxynvduub,S,,Slskxm,1-947-161-6502,United States of America,qex7522,Sydney,264756.0,RI,qextfjyytqwbmdrlykbfnhvqrmota,Rirmrpvlknyho,,7.0,U,1.0,375.0,Viacom,nmnervucuk,,,3467922.0
Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,S,1.0,FXHXLG,1-586-826-9847,Canada,Hpi7523,Winnipeg,44480.0,OR,Hpiedhvkedqqdxsoedt,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,,10.0,U,98.0,516.0,Robert Half International,hgjkxxbf,,2.0,46859.0
Esuycdxsjfbrqbtluspxsehk,,1.0,ovlziicdezok,1-217-243-2668,Canada,Fjd7524,Wilmington,87207.0,CA,Fjdafgbcrml,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,,R,35.0,703.0,CSX,Zangtryzlhmxo,,5.0,2937668.0
AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,W,4.0,jsxcpvao,1-857-211-5728,United States of America,Cgt7525,El Monte,238434.0,MO,Cgtcmbl,Rpzwirgfyiw,,7.0,O,99.0,734.0,Country Financial Services,FFJGEQD,,2.0,2388613.0
oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,0.0,Ykerbceq,1-089-966-6281,United States of America,Lwx7526,Sterling Heights,,Prince Edward Island,Lwxudfgcqawccntqaucdaeym,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,,4.0,U,49.0,469.0,Procter & Gamble,Pdcxrihnl,M,2.0,3116283.0
vnyndcximwxhecv,S,3.0,VVMSNWEBT,,United States of America,epy7527,Pembroke Pines,391354.0,Quebec,epyxtfsrijhddstgaxkbgmlayjtk,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,,2.0,O,72.0,595.0,Ingles Markets,Zckhcacwaelzutaodqalxyjrkh,,0.0,2671950.0
sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,U,3.0,bibueqwbejem,1-231-342-6874,United States of America,Aff7528,Philadelphia,419165.0,KS,Affcha,Acdrcqabtcdgmgl,M,1.0,O,41.0,410.0,Forest Laboratories,sqrosgqnpifxjx,m,0.0,3899593.0
,W,3.0,gehpynlk,,Canada,mfc7529,Glendale,396509.0,NV,mfcestd,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,S,10.0,O,54.0,475.0,Dentsply International,Erqzkkllazeobgthnmgsbtj,,2.0,2537332.0
GVSBHGBDDVJFNNOZNNPJWCOI,,0.0,Piwlxtg,1-602-637-1838,United States of America,Slf7530,El Monte,145161.0,TN,Slfbmvc,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,S,2.0,R,11.0,,RadioShack,Lcziayaozecoqqluasolkmmcldm,,2.0,733236.0
Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,W,2.0,Ujlshmosjkid,1-003-982-8627,United States of America,Cxu7531,Warwick,263206.0,WY,Cxuousxqyrfgjvpvuopyfguqva,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,,3.0,O,0.0,519.0,Century Aluminum,Gcnczmuxviqaxtsdzmzhtro,,5.0,
BIQIOQOHLQSTBRUFOI,D,3.0,cwburwnupuj,1-136-358-6852,United States of America,GZO7532,Milwaukee,190371.0,British Columbia,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,F,5.0,U,27.0,841.0,,Rsoobsqytvjycob,,3.0,3397276.0
Llfaqkbemnoy,U,3.0,CNEZMHTKIAEV,1-123-528-2965,United States of America,DRW7533,Phoenix,203968.0,LA,DRWTVTDSG,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,A,6.0,O,95.0,540.0,FPL Group,Pjvadgt,,1.0,2444257.0
zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,U,1.0,kixvppuqtd,1-136-565-2501,United States of America,set7534,Anchorage,428323.0,HI,setksinlvlrjwnfu,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,N,10.0,R,35.0,540.0,Lockheed Martin,GUBKOKITTSKVYM,f,3.0,71520.0
Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,M,4.0,jrhynxfi,1-317-986-1984,United States of America,Pyo7535,Madison,159980.0,NY,Pyoixliri,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,6.0,O,96.0,,Sanmina-SCI,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,,1.0,1911091.0
elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,W,0.0,dnhtjyu,1-265-603-1262,Canada,FSH7536,Fontana,266852.0,TX,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,,6.0,O,96.0,424.0,Iron Mountain,Kuteauo,M,0.0,988775.0
,M,5.0,YKOVOTYB,,United States of America,Tdx7537,Charlotte,206973.0,AZ,Tdxyljuxporjhdumcvfmv,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,2.0,R,49.0,623.0,OfficeMax,Hkfofpndygljbeo,,5.0,3919363.0
atydogjpqphuwhegtbukkqiaeakrtrn,S,5.0,WNNMWJ,1-156-668-6882,Canada,Sbn7538,Richmond,258221.0,ME,Sbnxcsrozzcufdoyvckpplofysx,XHQNMCEJKXOQYVSZVESLKC,O,4.0,O,,792.0,AMR,Kengxgsu,,1.0,428918.0
Hlotorcbtobuceb,S,4.0,Oktkljv,1-164-648-3203,United States of America,Piq7539,Santa Clarita,428508.0,NH,Piqizouhxiw,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,C,6.0,O,27.0,718.0,Kohl's,Plywuoa,f,4.0,58134.0
gsrdigbqfwrahybxrtm,M,4.0,,1-839-795-1027,,IXD7540,Yellow Knife,,KY,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,Toumjfbsumpgfuskpydjeibaxi,,6.0,O,98.0,401.0,Cigna,zfcwsxpjzyqelkxg,M,0.0,3703767.0
Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,M,4.0,GXFLSISZUY,1-958-412-4252,United States of America,wsn7541,Oxnard,58953.0,Prince Edward Island,wsnjomkxbtybfnmtcjhvmblfwamnwd,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,2.0,R,,557.0,West,Yxvczhqjwgnhowiu,,5.0,433859.0
qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,W,5.0,gzexcrngivl,1-392-335-1020,United States of America,Jkp7542,Huntington Beach,409682.0,British Columbia,Jkpmtcj,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,A,7.0,O,56.0,393.0,Monsanto,Grkknjyfgbhtyrhxzeaoeoyirwfa,M,5.0,3002044.0
,M,2.0,yzoikhwrd,1-912-050-7605,United States of America,CCF7543,Durham,340191.0,CT,CCFFVCOHCLUUXZIQTCFCUHEYN,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,,10.0,,94.0,557.0,Reliant Energy,Vfrdst,M,4.0,1124168.0
RELJYREDKQEKGOORBLRKOUIC,U,4.0,Gdbktega,1-075-551-9919,United States of America,ylj7544,Naperville,238216.0,WA,yljvuglvt,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,,5.0,O,98.0,465.0,Idearc,Hqcswumjvwbemosmy,,5.0,2081541.0
Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,M,0.0,Kdcqzpvf,1-013-611-2674,Canada,ZBB7545,Albuquerque,113171.0,ND,ZBBXAWVJAAL,hkyochorqgtokxgozmoncalaaiw,V,6.0,O,8.0,,Neiman Marcus,Ectbhkmbvwkwdbn,F,1.0,1897076.0
Yewxbqpnfgh,W,5.0,Tbwgwtmgcu,1-656-865-7544,United States of America,fqe7546,Newark,234797.0,ID,fqekemquvstw,Datdnghoiymltcayulgkgxywi,,10.0,,90.0,485.0,O'Reilly Automotive,Bdbgqpllbnrmiirpct,m,,235172.0
Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,M,4.0,Mwmfs,1-879-870-7379,United States of America,Wpw7547,Miami,225322.0,Quebec,Wpwhilrlzng,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,,2.0,,34.0,303.0,Cliffs Natural Resources,Ftszluaxcsoxdfbmdd,,2.0,639573.0
ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,W,1.0,goelqgcts,1-366-625-9813,Canada,vpz7548,London,192689.0,ID,vpzxgcwljllsq,,,4.0,O,25.0,846.0,Health Management Associates,Qrdnpjquwnixfocqhsrlkcxmelwijl,,2.0,2667082.0
VDBAVRMWFYBDZUILPKFXIVIYGFUU,,5.0,ucwygjzs,1-359-462-7089,Canada,Yfz7549,Worcester,348685.0,AL,Yfzmtcvxc,,,1.0,O,50.0,621.0,Chevron,Kkiolpmrgzmnjanqc,,4.0,2598634.0
Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,D,3.0,fjlfqftwg,,United States of America,dou7550,Jacksonville,401229.0,UT,douvwdwiwrxoivzaojazinrhswjv,,,,O,85.0,331.0,Exide Technologies,unzegilpp,,4.0,1074671.0
hfuyqlsmbesrylepu,M,5.0,Tocujgaiaq,1-153-396-8333,United States of America,FDJ7551,Nashua,38597.0,MS,FDJOVRSOCWEIKZ,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,,9.0,R,60.0,401.0,Convergys,xetqkitwlh,M,4.0,2272997.0
Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,S,2.0,kurjmmgixxfd,1-144-623-1308,United States of America,ufu7552,Newport News,,AK,ufutrfkevxnbupjcetrpltw,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,,0.0,R,95.0,644.0,Dominion Resources,TWRRGULRYKYUWZYBQQFMIFFKVK,,2.0,702000.0
qgjnvpwvmgsqzcanzncon,M,4.0,cnsavindoi,1-269-220-8046,United States of America,bbg7553,Corona,161204.0,VT,bbgzmquoeecumw,NBSHKLXYVUUWXEQSGXR,H,5.0,R,8.0,769.0,Sentry Insurance Group,Yqfljvgkfucafpjpamdtcppiipc,m,1.0,1289800.0
HNBGLUDIOAJRCCIXGDUQOO,M,3.0,MQBSAUVQRPYE,1-052-524-0130,,Znk7554,Lincoln,202650.0,LA,Znkkdbkvxcxeuackyodqlkpl,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,v,2.0,O,31.0,481.0,Cintas,mjeasoritwctufyojamzbeeoo,f,4.0,1007390.0
FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,U,1.0,vadbnvz,1-335-871-6660,Canada,CGQ7555,Toronto,,CT,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,T,7.0,O,51.0,732.0,Medtronic,Udxaujgiratgthwkvdibgvwfo,F,2.0,124290.0
dnlleihfh,M,4.0,Ljurvnigr,1-637-394-8083,United States of America,add7556,Fayetteville,492433.0,UT,addxtssyhezwro,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,,2.0,O,24.0,802.0,Pride International,GHFUKZPOKMXWZF,,4.0,1820002.0
ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,M,2.0,BQDMQVFTNBRJ,1-706-795-4208,Canada,Anw7557,Charlotte,344858.0,IN,Anwyusqezrjppzkaevffwljm,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,J,5.0,O,78.0,329.0,A. Schulman,ybtkiifyhbgchnuctnhnqspk,,4.0,2200347.0
Wsjaujjdexc,W,5.0,jkcul,1-622-347-5699,United States of America,Hvt7558,Tulsa,197290.0,WI,Hvtanebvipbdd,nqcozjievwzk,,0.0,R,56.0,839.0,Oneok,Fhkymmgjsbmpduuffgavhfcxm,m,0.0,3669569.0
Ojberg,U,2.0,Nelny,1-042-017-9368,United States of America,Yqj7559,Winston-Salem,283654.0,WA,Yqjaammjlhgpw,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,d,,,50.0,539.0,Danaher,DEZDTMSMWKALBRPALCFIME,,,2140537.0
Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,M,4.0,Qsggz,1-829-935-5979,United States of America,Ztn7560,Thousand Oaks,317423.0,LA,Ztnstwpjxatqveppicohpzilnn,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,,4.0,R,52.0,561.0,Del Monte Foods,phoxfeiqoldgmnojmzunmargkla,F,5.0,3258909.0
Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,W,4.0,Drofa,1-076-726-5283,United States of America,bni7561,Lubbock,399126.0,VT,bnizllrrofn,Lfrjkyblujmbxigmylpsxieswspmei,,2.0,O,14.0,814.0,American Electric Power,Upuabfflh,F,5.0,1825422.0
Xwtkpxqgohxwxnv,M,5.0,Ssovhtmt,,United States of America,swx7562,Winnipeg,398180.0,CT,swxorhmdydwbrtdqxroghsddlpbdgi,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,,7.0,R,29.0,305.0,TJX,owagfolbfwjzeg,,0.0,1845263.0
Qpvmtkxxfef,S,2.0,Tnprhljfrlj,1-284-129-5920,United States of America,DSA7563,Laredo,,RI,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,P,4.0,O,50.0,457.0,Philip Morris International,Qdmppehqxloc,f,4.0,1463114.0
QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,U,4.0,Bkxujhonjgjk,1-128-308-8886,United States of America,BXZ7564,Overland Park,485429.0,SC,BXZUTWBUFSGPPXKR,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,,8.0,O,67.0,349.0,Cincinnati Financial,jqbetxkci,,1.0,2354683.0
KRYAIAJGKHBKXBLC,M,2.0,mrjrjhgnwcdu,1-145-469-5971,United States of America,pcz7565,Calgary,118018.0,British Columbia,pczqycbwefse,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,,0.0,O,22.0,590.0,Stryker,Wsmywgbvwspgdwhmdxsqjwqb,,0.0,436677.0
,U,5.0,Yusezkfgs,1-727-684-7767,United States of America,Zqa7566,Peoria,309693.0,CO,Zqaknviqngvemehvpzrcgkcvre,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,,0.0,O,20.0,533.0,Kansas City Southern,ocgwi,m,4.0,2383335.0
Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,W,4.0,RKXTQAO,1-776-201-2472,Canada,Htl7567,Durham,90718.0,TN,Htltlfnvjctvvdvulpkhcbyfi,IBQIDE,z,9.0,O,75.0,686.0,IDT,Pcotdnngmurhkcd,,0.0,2574739.0
VBDCWYVK,U,2.0,UBQSATXZO,1-767-942-1278,United States of America,afw7568,Pueblo,280645.0,CA,afwafvxxdr,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,L,10.0,O,60.0,582.0,Vornado Realty Trust,bvcosqzcleknjzvkygbawlc,F,0.0,1596838.0
VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,S,,BHRNWQLFVFA,1-723-062-7266,United States of America,Wna7569,Las Cruces,231559.0,WY,Wnakgzhqfhtavtvegjtdmdosnjr,Lrebujnrg,,0.0,O,,807.0,Dollar General,ECLENELTSXGTNWOP,,4.0,591965.0
Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,S,3.0,Ktmzav,,United States of America,Mlh7570,Chula Vista,36898.0,SD,Mlheqxaigtvjaynkffyqkpu,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,,3.0,O,48.0,819.0,Safeway,Xdwexmrjat,,5.0,3071440.0
Gwxymofcy,M,2.0,Nfpchgfj,1-145-314-0862,United States of America,Gor7571,San Diego,396786.0,British Columbia,Gorjnqxjtefmomsbmtnogaerx,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,,5.0,R,91.0,311.0,Apache,xjwnvwdryqpcehelwzfhkkiuus,,0.0,2683081.0
Qynjnmfgwxpmrw,U,2.0,Wuywecohosfi,1-735-104-7772,United States of America,ENX7572,Chicago,344365.0,NJ,ENXOMNHFVPYQSABETPUEKRKCL,Hxutrprq,,3.0,O,98.0,734.0,Lowe's,RNBABCYAFMQPBOHXNUXMXNU,f,5.0,3850483.0
Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,W,4.0,tibxlojrqiha,,United States of America,fgr7573,Worcester,1205.0,AK,fgrdzzudzmwlluff,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,,1.0,O,51.0,432.0,Lithia Motors,Eyrtrqkljywvbcice,,1.0,1870617.0
SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,S,5.0,ogmes,1-518-116-1411,United States of America,Ysh7574,Honolulu,276666.0,OH,Yshzkx,JRHXPUUHAFHDPF,a,3.0,O,22.0,394.0,CH2M Hill,Opybrukftspofebjmspkjsgtobzsp,m,0.0,1249534.0
XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,U,0.0,JUBKXDKP,1-696-359-4829,United States of America,Mos7575,Albuquerque,497953.0,New Brunswick,Mosqjrkdycyygfsljqadgfqoldb,yvntcqjqqmbftwetvbqgclcdbxspvk,I,1.0,O,57.0,658.0,Tellabs,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,,0.0,3789880.0
