AgencyID,CreditRating,City,Gender,PostalCode,Phone,NumberChildren,OwnOrRentFlag,Income,AddressLine1,LastName,MiddleInitial,Employer,Country,NetWorth,FirstName,AddressLine2,State
Pos42,707.0,Cleveland,,M6t 1h3,1-956-713-3802,1.0,O,322484.0,2240 clifton lower,Posthumus,,J.P. Morgan Chase & Co.,United States of America,1421319.0,Donny,,VA
Mac43,329.0,Grand Rapids,,95263,1-814-932-1579,2.0,O,83458.0,20907 NOTINGHAM LOWER,Machika,,Affinia Group Intermediate,United States of America,3525204.0,Cocos,,OK
che44,601.0,Peoria,,v5b 1p5,1-135-443-7282,3.0,R,,601 carroll lower,chenoweth,,,United States of America,468976.0,ruud,,Prince Edward Island
hol45,623.0,Inglewood,,32318,1-720-975-0667,1.0,O,492407.0,18267 state drive,holbrooks,,Goldman Sachs Group,United States of America,1685443.0,Belvia,,SD
pfi46,376.0,Akron,f,93872,1-871-598-3505,4.0,O,346630.0,9270 LEAF SOUTH,pfieffer,,E*Trade Financial,United States of America,337564.0,ATHAR,,OH
elk47,560.0,Charlottetown,,92824,1-607-222-4809,3.0,O,9572.0,18582 PERIMETER BOULEVARD,elkington,Y,Pfizer,Canada,84777.0,Cherey,,MA
Lab48,693.0,Bellevue,F,e4a 1r2,1-965-046-0642,5.0,O,265369.0,9612 park stream upper,Labenek,,Safeway,United States of America,3146477.0,RAZ,,MD
laf49,346.0,Dover,,H7G 1V4,1-155-441-3579,2.0,U,104172.0,2803 clearwater north,laferriere,Y,Simon Property Group,United States of America,495277.0,kishore,,Saskatchewan
Nor50,342.0,Fullerton,,85039,,3.0,O,65550.0,11103 BISSONNET WEST,Norment,I,Trinity Industries,United States of America,746904.0,Nelleke,,WA
hag51,563.0,Denver,,v6m 1q3,1-544-132-7237,0.0,R,,4652 outervale lane,hagar,,Solutia,Canada,1219620.0,sibby,,OH
Bet52,391.0,Dallas,m,X7j 1r1,1-821-089-2089,3.0,O,,341 dunbar west,Betcher,,,United States of America,1718910.0,ericha,,WY
Van53,381.0,San Jose,m,B8b 1z5,1-135-391-9787,4.0,O,66244.0,16176 vernon drive,Van der,,A.O. Smith,United States of America,,Janson,,NJ
O'L54,539.0,Bellevue,F,t5d 1v4,1-776-182-6215,3.0,U,426954.0,23131 clint way,O'LEARY,,AptarGroup,United States of America,2636424.0,Dorotea,,ND
and55,497.0,San Buenaventura,m,V6t 1r2,1-079-780-7761,4.0,O,126891.0,11640 baltic upper,anderson,,Coca-Cola,United States of America,1326305.0,Denice,,NC
sta56,661.0,St. Louis,,91177,1-504-346-4393,2.0,O,454196.0,20796 dolores drive,starks,,Kimberly-Clark,Canada,2241997.0,Myron,,WV
CHA57,558.0,Pueblo,,T5c 1t1,1-985-538-4351,3.0,R,163940.0,14359 COMMERCE WEST,CHASSE,,Visteon,United States of America,1542891.0,Barby,Apt. 275,GA
ASI58,534.0,Regina,R,35862,1-254-097-9398,1.0,O,365213.0,21448 hampton boulevard,ASING,,TECO Energy,Canada,797918.0,Ariella,,Ontario
ask59,373.0,Saskatoon,f,96820,1-545-924-9552,0.0,U,428739.0,7637 pershing way,askins,,Bemis,United States of America,347654.0,ADEY,,MA
Kik60,382.0,Jackson,,75238,1-984-233-8818,0.0,O,142444.0,11529 arcana boulevard,Kikuta,K,Wyeth,United States of America,2456397.0,GAYEL,,CA
Cha61,475.0,St. Petersburg,F,85769,1-528-691-1642,3.0,O,416168.0,2700 windwood north,Chane,,United Technologies,United States of America,1284229.0,Man,,SD
KIL62,539.0,Scottsdale,m,H5i 1o9,,0.0,O,291420.0,22279 gramercy road,KILLEN,U,Clorox,United States of America,618787.0,Klara,,Saskatchewan
kin63,711.0,Charlotte,f,90849,1-171-807-8213,5.0,O,413501.0,9828 west east,kinley,,Discovery Communications,United States of America,1171606.0,Abdalla,,RI
MAL64,606.0,Waterbury,,43644,1-056-241-7009,,O,,5935 mcafee park,MALAHER,,Williams-Sonoma,United States of America,3983261.0,bal,,NC
Odu65,494.0,Chesapeake,,99213,1-389-414-0570,3.0,O,419143.0,12460 CLAYTON STREET,Odum,J,Manitowoc,United States of America,2328568.0,Romy,,SD
DI 66,309.0,Hialeah,,72226,1-583-542-1656,5.0,O,155057.0,275 3rd drive,DI NINNO,,Henry Schein,United States of America,2078600.0,KORAL,,IL
STU67,630.0,Charleston,,V6Z 1Q9,1-269-712-0672,5.0,O,313859.0,6907 FERNCLIFF CRESCENT,STUBBLEFIELD,K,Trinity Industries,United States of America,2986155.0,YUKIHIKO,,OR
HAM68,330.0,Salem,,20082,1-670-102-0463,1.0,O,265907.0,885 crosby lane,HAMBALI,,Pepsi Bottling,United States of America,1864039.0,Khanh,,Ontario
LIB69,710.0,Sacramento,m,35827,1-699-726-3895,0.0,O,283481.0,2344 kalani west,LIBRARIAN,,UGI,Canada,1293721.0,Darnell,,FL
ohs70,475.0,Santa Clarita,M,99692,1-640-666-2876,0.0,R,200635.0,22870 LA CIENEGA STREET,ohsone,,Greif,United States of America,3850114.0,feridoun,,NM
HUM71,596.0,Sherbrooke,,V6c 1q5,1-540-639-1311,1.0,O,434519.0,8478 green avenue,HUMMEL,O,Equifax,United States of America,1618743.0,Magdy,APT. 143,NE
BRA72,670.0,Colorado Springs,,80158,1-285-874-8492,1.0,O,392315.0,23639 purdue rue,BRADD,,,United States of America,3383487.0,jiri,,MI
Boa73,722.0,Berkeley,,t6d 1b6,1-121-904-0040,3.0,O,493829.0,19202 ansley park,Boarder,X,Freescale Semiconductor,United States of America,2981876.0,AILA,,New Brunswick
Mcn74,587.0,San Buenaventura,,33120,1-017-842-3201,2.0,O,97489.0,11319 devonshire rue,Mcnally,,Aleris International,United States of America,2109339.0,Vincenzo,,NJ
MAR75,609.0,New Haven,F,99742,1-215-859-3206,3.0,O,,23665 deerwood park,MARKOVICH,,,United States of America,791803.0,Minnnie,,ND
Wil76,401.0,Shreveport,f,V6N 1T1,1-764-520-7470,1.0,O,383046.0,4855 union north,Willekes,,World Fuel Services,United States of America,3523678.0,alfonzo,,Saskatchewan
Dea77,335.0,Lansing,m,44104,1-414-130-0162,0.0,,1190.0,9466 SHADOWBRIAR WEST,Deacetis,S,R.R. Donnelley & Sons,United States of America,1681902.0,Swandi,,KS
Hou78,569.0,Pembroke Pines,,14605,1-970-240-9990,5.0,O,85733.0,3504 regency avenue,Houk,,Brinker International,United States of America,3851455.0,Anya,,SD
Goy79,,Palmdale,,80076,1-408-684-6459,2.0,R,387890.0,7281 northland lower,Goyette,,Temple-Inland,Canada,2339382.0,Enrika,,FL
Mok80,679.0,Savannah,f,V6I 1V6,1-330-353-5908,0.0,O,16808.0,12481 hayden lower,Mok-fung,Z,Psychiatric Solutions,United States of America,,SONJA,,Saskatchewan
Run81,356.0,Amarillo,,97307,1-766-726-2675,4.0,,304589.0,2328 gracie avenue,Rundle,I,Nash-Finch,United States of America,2065016.0,Liem,,FL
BEL82,308.0,Anchorage,o,46237,1-938-425-7509,5.0,R,48506.0,4737 campbell street,BELLEY,,AMR,United States of America,2454049.0,COLLETTE,,UT
BAE83,412.0,Louisville,,V6B 1S6,1-527-308-8874,4.0,O,,2401 stratmore lower,BAER,Y,Spartan Stores,United States of America,2423395.0,SIAMACK,,WY
MAU84,618.0,Hilo,f,H2d 1x1,1-810-590-0635,3.0,O,358862.0,21477 JUNIPER CRESCENT,MAULDIN,,Cigna,United States of America,1342045.0,Toshihiro,,NH
Koo85,429.0,Sudbury,,95108,1-274-548-2512,3.0,O,477614.0,19214 YAUPON BOULEVARD,Koohgoli,,General Cable,United States of America,861756.0,Casey,,AR
Lau86,819.0,Orlando,,80050,1-649-754-4601,1.0,O,175414.0,7785 rusk boulevard,Lauriston,,Dun & Bradstreet,United States of America,1215349.0,Daryn,,CT
Man87,552.0,Missoula,F,90122,1-905-932-1785,1.0,O,427598.0,18002 cantrell upper,Mangum,L,Casey's General Stores,Canada,3981554.0,Adrianna,,VT
PIE88,587.0,Abilene,,43614,1-031-004-7697,4.0,O,368207.0,23341 brookside upper,PIERCY,,Jack in the Box,United States of America,3865937.0,Cortney,,Manitoba
Bus89,304.0,Saskatoon,M,61110,1-994-812-4796,1.0,O,449944.0,20494 ROSS WEST,Buscaglia,,Assurant,United States of America,2804700.0,Duane,,NJ
BAB90,795.0,Irvine,,70174,1-176-513-4041,5.0,U,166247.0,17552 SAVANNAH NORTH,BABIONE,,Psychiatric Solutions,United States of America,3283558.0,Tele,,KY
Bur91,830.0,Reno,M,90324,1-072-244-6337,3.0,O,391165.0,4462 pace crescent,Burkard,,Danaher,United States of America,450524.0,Ophelia,APT. 373,GA
Kin92,709.0,Sacramento,,s7d 1n1,1-924-669-9328,3.0,R,165854.0,7161 tallowood upper,Kinsella,,Clorox,United States of America,,lorine,,NJ
POM93,493.0,Topeka,,93829,1-598-488-3541,1.0,O,326181.0,3489 silver sage west,POMMAINVILLE,,Boyd Gaming,United States of America,,Viole,,SC
BOA94,680.0,Rancho Cucamonga,M,89116,1-295-539-3868,,O,173387.0,12481 hayden lower,BOATWRIGHT,,Eaton,United States of America,633760.0,Nani,,TN
Ron95,800.0,Hilo,,94315,1-554-020-0267,5.0,R,301127.0,13210 3RD DRIVE,Ronald,R,Dynegy,United States of America,3634954.0,cherey,,WY
wei96,614.0,Saint John,,T5b 1u9,1-793-621-4566,5.0,R,487230.0,8899 starling lane,weihs,A,AmeriCredit,United States of America,799268.0,Redgie,,Ontario
Hel97,763.0,Torrance,M,T6b 1a5,1-787-267-4261,0.0,R,425747.0,11480 fennel south,Helpb,P,SLM,Canada,39093.0,Yousef,,DC
mog98,561.0,Santa Clara,m,60699,1-668-247-1597,4.0,O,401946.0,7266 cherry upper,moghe,,NV Energy,United States of America,2705353.0,Damaris,,Alberta
boz99,569.0,Torrance,,V6p 1s8,1-901-346-8890,2.0,O,425422.0,10678 ENGLEWOOD WEST,bozicevich,,Landstar System,United States of America,3565153.0,Ilyssa,,ME
Zah100,634.0,Stockton,,v6i 1p1,1-451-273-3803,1.0,O,208890.0,21181 2ND RUE,Zaharychuk,R,Pacific Life,United States of America,2832204.0,Moselle,,MA
And101,488.0,Paterson,F,79423,1-129-499-9136,3.0,O,67880.0,22963 hanover road,Andric,,Textron,United States of America,2194345.0,Dulsea,,NV
Bam102,788.0,Mesa,,H5j 1o6,1-899-319-0772,3.0,O,133412.0,8268 cliffbrook boulevard,Bamfo,L,Pfizer,Canada,3737140.0,Lyndsie,,WA
fro103,333.0,Anchorage,,93761,1-053-396-0441,4.0,O,144829.0,5118 montview court,frondozo,,Cigna,United States of America,464753.0,KESLEY,,WY
Car104,601.0,Miami,,76150,1-239-665-9540,1.0,U,,17442 tallowood upper,Caron,J,Ameren,United States of America,596696.0,LAUREL,,NJ
muc105,595.0,Great Falls,f,99717,1-605-888-3403,4.0,O,143682.0,4038 WEDGEWOOD STREET,muchow,V,Consolidated Edison,Canada,1504753.0,Steen,,LA
gat106,433.0,Erie,,60608,1-630-604-2543,1.0,O,350020.0,20334 anaconda avenue,gateau,,Occidental Petroleum,United States of America,3049281.0,noel,,TX
Sch107,403.0,Hollywood,F,v6w 1u4,1-851-862-7928,,O,435103.0,5385 young west,Schaefer,M,Sherwin-Williams,United States of America,247478.0,Tracey,,SC
pom108,615.0,Tulsa,,T5b 1t6,1-065-415-5724,5.0,R,207768.0,2747 SINCLAIR LANE,pomerleau,,Affiliated Computer Services,United States of America,2750301.0,Sarajane,,TX
cuc109,735.0,Tucson,F,23298,1-408-512-1007,4.0,O,407512.0,8622 BROWNWAY PARK,cucuzzella,K,Valassis Communications,United States of America,721333.0,Geoffrey,,MN
SUG110,668.0,Anchorage,q,32803,1-083-902-4184,0.0,O,403366.0,18048 GREEN NORTH,SUGARMAN,Z,,United States of America,669440.0,loralyn,,ID
Pep111,349.0,Sandy,,64122,1-568-403-7081,5.0,O,384095.0,18994 country boulevard,Pepe,,Smithfield Foods,Canada,2473979.0,andrei,,MI
Cha112,654.0,Boston,f,T6b 1h2,1-824-389-0618,,,288969.0,16063 ashland road,Chandrashekar,,,United States of America,3545170.0,javad,SUITE 7,OK
SEI113,361.0,Vancouver,m,22222,1-174-210-2058,3.0,O,233665.0,19309 mcfarlin north,SEIFERS,U,TD Ameritrade,United States of America,1494871.0,Karna,Apt. 971,UT
GAR114,427.0,Akron,F,T6a 1d2,1-425-503-7952,0.0,U,147236.0,2454 cliffbrook west,GARTLEY,S,Comerica,Canada,436164.0,Jocelyn,,PA
Tou115,322.0,Lancaster,M,v5d 1n9,1-012-389-9089,3.0,O,452557.0,15865 strand west,Touchette,,Steel Dynamics,United States of America,1069481.0,Elvera,,New Brunswick
Kur116,792.0,Concord,M,23321,1-909-472-6704,0.0,R,179305.0,13776 east boulevard,Kurdziel,V,Coca-Cola Enterprises,United States of America,,Nessy,,UT
Her117,478.0,Chesapeake,,90505,1-622-167-5411,0.0,O,205817.0,10570 WEIZMANN LOWER,Herod,,News Corp.,Canada,2957261.0,lona,,VA
MCV118,477.0,Flint,,19066,1-164-511-9338,5.0,O,262711.0,15278 walnut hill road,MCVICAR,P,,United States of America,228459.0,RHEA,,NH
LAB119,449.0,Chattanooga,F,v6s 1r3,1-804-532-9163,5.0,O,84810.0,23007 WAKEFOREST WAY,LABFIVE,,Stater Bros. Holdings,Canada,67267.0,Josefa,,VT
but120,466.0,Billings,,78769,1-197-370-0297,4.0,O,96441.0,9088 rivas way,butta,,BorgWarner,United States of America,1087978.0,alikee,,FL
Pro121,483.0,Scottsdale,m,53769,1-337-042-5687,5.0,O,462762.0,18798 ullrich road,Projects,,CB Richard Ellis Group,United States of America,3885967.0,dolorita,,NC
Irc122,588.0,Oshawa,,H7E 1U6,1-056-138-5321,4.0,O,141890.0,18517 HULEN LOWER,Irc,,Zimmer Holdings,United States of America,3271101.0,Marilyn,,VA
Ziv123,313.0,Naperville,,e7o 1k1,1-776-191-2031,5.0,O,156610.0,11474 dodd lane,Zivkovic,G,Mohawk Industries,Canada,,robertson,,DC
sim124,647.0,Tampa,,90374,1-280-696-2706,4.0,R,164752.0,9375 wood south,simser,H,Berkshire Hathaway,United States of America,1999133.0,Ilsa,,NC
kei125,430.0,Jackson,,63169,1-857-581-6346,5.0,O,278949.0,20479 wise avenue,keifer,I,Saks,United States of America,1100786.0,Pen,,MS
arv126,467.0,Hay River,f,16515,,5.0,O,,19918 ROGERS NORTH,arvin,P,Gardner Denver,United States of America,563992.0,AUBRETTE,,SC
Pra127,399.0,Irvine,F,85309,1-716-343-0884,2.0,O,463736.0,9284 coffey lower,Praeuner,,Hasbro,United States of America,962397.0,Cole,,KS
lue128,654.0,Idaho Falls,m,92158,1-101-776-2496,3.0,O,,2929 north crescent,lue,C,CBS,United States of America,1064169.0,liva,,VT
Prz129,378.0,Moreno Valley,f,33152,1-769-028-0589,0.0,O,86667.0,15404 queen street,Przybycien,,Synnex,United States of America,2100059.0,Ayaz,,IL
pen130,338.0,Ontario,f,83729,1-005-833-8970,1.0,O,193470.0,1619 greenspoint road,penn,J,Belden,United States of America,99025.0,YETTY,,FL
Gua131,695.0,Concord,,B8b 1z6,1-884-215-4243,0.0,R,406379.0,21477 WARREN PARK,Guay,S,Broadcom,United States of America,3865481.0,Mary-michelle,,MI
bre132,614.0,Phoenix,F,53717,,3.0,U,480595.0,6503 ROBBINS STREET,brennand,,Reynolds American,Canada,804544.0,agretha,,Newfoundland
Sav133,307.0,Coral Springs,f,t5c 1w7,1-725-177-7815,5.0,O,181718.0,3958 GLEN LOCH BOULEVARD,Savanh,X,Wells Fargo,United States of America,3143356.0,LOTTY,,ME
ABB134,331.0,Oxnard,,37245,1-277-496-5396,3.0,O,468310.0,13640 ethridge lower,ABBATANTUONO,Z,Retail Ventures,United States of America,,Kassey,,AL
OP135,638.0,Brownsville,M,94401,1-756-463-2201,0.0,O,354987.0,3981 imperial lower,OP,N,AT&T,United States of America,2311953.0,Adria,,IN
Mer136,703.0,Memphis,,B8a 1y3,1-261-338-7463,5.0,O,284539.0,13210 3rd drive,Mersinger,,Wynn Resorts,Canada,3120608.0,audivox,,NH
rut137,302.0,Flint,F,t6b 1k2,1-811-086-4675,5.0,O,213725.0,9297 THROCKMORTON SOUTH,rutt,,Eastman Kodak,United States of America,2058270.0,SUE,,DC
bem138,522.0,Lafayette,,85306,1-338-771-1185,3.0,O,74195.0,8935 YOUNG UPPER,bemis,I,Aramark,United States of America,1511983.0,Lorenza,,DC
Pen139,,Greensboro,,V6R 1R7,1-554-231-5318,1.0,O,169295.0,3797 RUTGERS PARK,Pennington,,ENSCO International,United States of America,439080.0,Enzo,,MD
tor140,833.0,Sterling Heights,M,68513,1-733-886-5227,0.0,R,307832.0,8285 tamarind crescent,torok,Y,Auto-Owners Insurance,United States of America,921255.0,claudina,,Prince Edward Island
law141,,Costa Mesa,m,v6n 1v9,1-267-357-1943,1.0,O,20397.0,20025 routh crescent,lawlis,L,Bemis,United States of America,3810365.0,Otha,,MD
Bee142,664.0,Houston,m,83702,1-602-756-7919,2.0,O,463094.0,4144 LAKE PARK LANE,Beebe,D,Securian Financial Group,United States of America,2641938.0,Rodie,Suite 397,New Brunswick
sch143,789.0,Bakersfield,m,80125,1-793-864-7010,1.0,O,331900.0,3375 sakowitz lane,schlange,,Ford Motor,United States of America,3857323.0,DULCE,,HI
Wit144,803.0,Chesapeake,,M5G 1Y7,1-637-020-2921,0.0,U,8421.0,7255 berry way,Witchlow,,ConAgra Foods,United States of America,1636212.0,Win,,ND
MER145,720.0,Sandy,F,80213,1-428-797-6325,4.0,,35780.0,3131 WATHAN SOUTH,MEREDITH,Q,Charter Communications,United States of America,2999082.0,Roselin,,Nova Scotia
bia146,839.0,Lewiston,m,60737,1-011-549-5618,0.0,R,139897.0,18440 RYAN NORTH,bialkenius,,Calpine,United States of America,2280820.0,Malanie,,ME
Swi147,621.0,Elizabeth,m,90510,1-993-255-5481,1.0,O,414119.0,13222 glen loch road,Swiat,P,Crane,United States of America,1050866.0,TARYN,SUITE 464,Alberta
bul148,628.0,Sudbury,,92882,1-487-749-4448,4.0,O,234035.0,7889 MURRAY WAY,bullinger,,Textron,United States of America,,MALENA,,VT
TYR149,813.0,Austin,F,98121,1-192-352-2184,5.0,O,144405.0,7527 whale drive,TYRRELL,,Idearc,Canada,603001.0,Dorie,,DE
Fyf150,367.0,Salinas,,H2e 1x9,1-293-442-4224,3.0,R,55441.0,17788 eagle trace park,Fyfe,,Cabela's,United States of America,3368239.0,Liese,,MA
Sic151,807.0,Peoria,,23503,1-078-502-6700,2.0,O,392869.0,7661 GRANT WAY,Sicard,,EOG Resources,United States of America,1042629.0,tele,,CA
CAS152,501.0,Sydney,F,40208,1-430-909-3001,4.0,O,402416.0,4806 crystal hills street,CASTEN,,,United States of America,1948746.0,astra,,Manitoba
Cho153,490.0,San Antonio,,75201,1-392-455-0895,2.0,O,89984.0,4211 WILLS NORTH,Choy,S,Burlington Coat Factory,United States of America,3113862.0,marnia,,TN
CHA154,321.0,Oklahoma City,,93852,1-273-921-9787,3.0,O,395773.0,7524 linberg north,CHACKO,,Southwest Airlines,United States of America,2777290.0,AMY,,FL
bei155,,Miami,f,32312,1-012-993-4538,0.0,R,126662.0,14266 lemming south,beil,E,RPM International,United States of America,2210073.0,HAMILTON,,CA
Ele156,446.0,Yonkers,m,90059,1-890-859-4211,1.0,O,132008.0,1427 ADDAX LANE,Eleftheriou,J,Amazon.com,United States of America,1999684.0,Kuldip,,CO
o'g157,428.0,Columbia,F,77006,1-080-032-3031,5.0,O,417218.0,1625 fernando court,o'grady,,Neiman Marcus,United States of America,2119678.0,krystalle,,Saskatchewan
Kat158,423.0,Lubbock,,23224,1-561-620-7173,0.0,O,360063.0,335 floresta north,Katchmar,,Goldman Sachs Group,United States of America,169808.0,Stella,,UT
Lui159,499.0,Chattanooga,,10055,1-017-439-0362,4.0,O,100516.0,22806 garson east,Luin,O,Boeing,United States of America,1072732.0,Marie-josee,,ME
Kla160,342.0,Fargo,f,35830,1-248-539-6621,1.0,O,16814.0,5524 vermack street,Klavkalns,,United Refining,United States of America,2261442.0,Nashib,,NH
Bru161,632.0,Omaha,,v6m 1s9,1-611-789-5569,3.0,U,,18105 electra street,Brunsting,Z,D.R. Horton,United States of America,2234368.0,Annette,,VA
Apt162,525.0,Yonkers,,22304,1-023-151-8130,1.0,O,315962.0,719 holman court,Apter,Q,Jarden,United States of America,575288.0,LENA,,TX
sch163,371.0,Spokane,f,06101,1-005-574-3523,1.0,R,299268.0,23553 MEMORIAL RUE,schuette,,Systemax,United States of America,1102479.0,Christian,,Saskatchewan
