AgencyID,Gender,MaritalStatus,AddressLine1,PostalCode,City,Income,AddressLine2,NetWorth,CreditRating,NumberChildren,Phone,NumberCars,Age,OwnOrRentFlag,Employer,NumberCreditCards
Jkp7542,M,W,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,gzexcrngivl,Huntington Beach,409682.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,3002044.0,393.0,5.0,1-392-335-1020,5.0,56.0,O,Monsanto,7.0
CCF7543,M,M,,yzoikhwrd,Durham,340191.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,1124168.0,557.0,4.0,1-912-050-7605,2.0,94.0,,Reliant Energy,10.0
ylj7544,,U,RELJYREDKQEKGOORBLRKOUIC,Gdbktega,Naperville,238216.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,2081541.0,465.0,5.0,1-075-551-9919,4.0,98.0,O,Idearc,5.0
ZBB7545,F,M,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Kdcqzpvf,Albuquerque,113171.0,hkyochorqgtokxgozmoncalaaiw,1897076.0,,1.0,1-013-611-2674,0.0,8.0,O,Neiman Marcus,6.0
fqe7546,m,W,Yewxbqpnfgh,Tbwgwtmgcu,Newark,234797.0,Datdnghoiymltcayulgkgxywi,235172.0,485.0,,1-656-865-7544,5.0,90.0,,O'Reilly Automotive,10.0
Wpw7547,,M,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Mwmfs,Miami,225322.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,639573.0,303.0,2.0,1-879-870-7379,4.0,34.0,,Cliffs Natural Resources,2.0
vpz7548,,W,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,goelqgcts,London,192689.0,,2667082.0,846.0,2.0,1-366-625-9813,1.0,25.0,O,Health Management Associates,4.0
Yfz7549,,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,ucwygjzs,Worcester,348685.0,,2598634.0,621.0,4.0,1-359-462-7089,5.0,50.0,O,Chevron,1.0
dou7550,,D,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,fjlfqftwg,Jacksonville,401229.0,,1074671.0,331.0,4.0,,3.0,85.0,O,Exide Technologies,
FDJ7551,M,M,hfuyqlsmbesrylepu,Tocujgaiaq,Nashua,38597.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,2272997.0,401.0,4.0,1-153-396-8333,5.0,60.0,R,Convergys,9.0
ufu7552,,S,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,kurjmmgixxfd,Newport News,,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,702000.0,644.0,2.0,1-144-623-1308,2.0,95.0,R,Dominion Resources,0.0
bbg7553,m,M,qgjnvpwvmgsqzcanzncon,cnsavindoi,Corona,161204.0,NBSHKLXYVUUWXEQSGXR,1289800.0,769.0,1.0,1-269-220-8046,4.0,8.0,R,Sentry Insurance Group,5.0
Znk7554,f,M,HNBGLUDIOAJRCCIXGDUQOO,MQBSAUVQRPYE,Lincoln,202650.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,1007390.0,481.0,4.0,1-052-524-0130,3.0,31.0,O,Cintas,2.0
CGQ7555,F,U,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,vadbnvz,Toronto,,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,124290.0,732.0,2.0,1-335-871-6660,1.0,51.0,O,Medtronic,7.0
add7556,,M,dnlleihfh,Ljurvnigr,Fayetteville,492433.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,1820002.0,802.0,4.0,1-637-394-8083,4.0,24.0,O,Pride International,2.0
Anw7557,,M,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,BQDMQVFTNBRJ,Charlotte,344858.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,2200347.0,329.0,4.0,1-706-795-4208,2.0,78.0,O,A. Schulman,5.0
Hvt7558,m,W,Wsjaujjdexc,jkcul,Tulsa,197290.0,nqcozjievwzk,3669569.0,839.0,0.0,1-622-347-5699,5.0,56.0,R,Oneok,0.0
Yqj7559,,U,Ojberg,Nelny,Winston-Salem,283654.0,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,2140537.0,539.0,,1-042-017-9368,2.0,50.0,,Danaher,
Ztn7560,F,M,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Qsggz,Thousand Oaks,317423.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,3258909.0,561.0,5.0,1-829-935-5979,4.0,52.0,R,Del Monte Foods,4.0
bni7561,F,W,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,Drofa,Lubbock,399126.0,Lfrjkyblujmbxigmylpsxieswspmei,1825422.0,814.0,5.0,1-076-726-5283,4.0,14.0,O,American Electric Power,2.0
swx7562,,M,Xwtkpxqgohxwxnv,Ssovhtmt,Winnipeg,398180.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,1845263.0,305.0,0.0,,5.0,29.0,R,TJX,7.0
DSA7563,f,S,Qpvmtkxxfef,Tnprhljfrlj,Laredo,,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,1463114.0,457.0,4.0,1-284-129-5920,2.0,50.0,O,Philip Morris International,4.0
BXZ7564,,U,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,Bkxujhonjgjk,Overland Park,485429.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,2354683.0,349.0,1.0,1-128-308-8886,4.0,67.0,O,Cincinnati Financial,8.0
pcz7565,,M,KRYAIAJGKHBKXBLC,mrjrjhgnwcdu,Calgary,118018.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,436677.0,590.0,0.0,1-145-469-5971,2.0,22.0,O,Stryker,0.0
Zqa7566,m,U,,Yusezkfgs,Peoria,309693.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,2383335.0,533.0,4.0,1-727-684-7767,5.0,20.0,O,Kansas City Southern,0.0
Htl7567,,W,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,RKXTQAO,Durham,90718.0,IBQIDE,2574739.0,686.0,0.0,1-776-201-2472,4.0,75.0,O,IDT,9.0
afw7568,F,U,VBDCWYVK,UBQSATXZO,Pueblo,280645.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,1596838.0,582.0,0.0,1-767-942-1278,2.0,60.0,O,Vornado Realty Trust,10.0
Wna7569,,S,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,BHRNWQLFVFA,Las Cruces,231559.0,Lrebujnrg,591965.0,807.0,4.0,1-723-062-7266,,,O,Dollar General,0.0
Mlh7570,,S,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Ktmzav,Chula Vista,36898.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,3071440.0,819.0,5.0,,3.0,48.0,O,Safeway,3.0
Gor7571,,M,Gwxymofcy,Nfpchgfj,San Diego,396786.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,2683081.0,311.0,0.0,1-145-314-0862,2.0,91.0,R,Apache,5.0
ENX7572,f,U,Qynjnmfgwxpmrw,Wuywecohosfi,Chicago,344365.0,Hxutrprq,3850483.0,734.0,5.0,1-735-104-7772,2.0,98.0,O,Lowe's,3.0
fgr7573,,W,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,tibxlojrqiha,Worcester,1205.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1870617.0,432.0,1.0,,4.0,51.0,O,Lithia Motors,1.0
Ysh7574,m,S,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,ogmes,Honolulu,276666.0,JRHXPUUHAFHDPF,1249534.0,394.0,0.0,1-518-116-1411,5.0,22.0,O,CH2M Hill,3.0
Mos7575,,U,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,JUBKXDKP,Albuquerque,497953.0,yvntcqjqqmbftwetvbqgclcdbxspvk,3789880.0,658.0,0.0,1-696-359-4829,0.0,57.0,O,Tellabs,1.0
czu7576,,M,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,Xbgykqm,Oakland,156048.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,3874445.0,348.0,2.0,1-352-678-5471,1.0,38.0,O,Phillips-Van Heusen,3.0
Ghr7577,,M,BESJDYZDIOIXKDFEHBQXBPW,NNCXIBTCXZA,Billings,63617.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,437353.0,598.0,5.0,1-906-600-9749,1.0,68.0,O,Wells Fargo,8.0
Rwk7578,,U,Ouopoqztakszwsfkthdbwndfjuqaelyd,mfwuio,Pueblo,244849.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,2669917.0,505.0,2.0,1-093-018-2851,2.0,93.0,O,Vornado Realty Trust,9.0
Uwi7579,,S,Ivwhotvobwkshcixclfobqoljlaqohw,Utgwrun,Sherbrooke,123585.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,1466537.0,839.0,3.0,1-302-096-9321,4.0,48.0,R,New York Times,7.0
VXZ7580,,S,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,Wgulrhctjlg,Sacramento,391134.0,CYQWJKJB,991860.0,672.0,1.0,1-915-044-3154,1.0,96.0,U,Adobe Systems,2.0
Ayk7581,f,M,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,Srhxvxe,Charlotte,426759.0,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,,696.0,5.0,1-040-274-3474,5.0,58.0,O,Valmont Industries,3.0
lho7582,M,W,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,Dadkihaohc,El Paso,451737.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,1816368.0,448.0,3.0,1-678-397-2739,5.0,63.0,O,UAL,5.0
rzi7583,,S,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,Fpoleiod,Mesa,180822.0,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,565246.0,549.0,1.0,1-679-345-9939,2.0,18.0,O,AFLAC,9.0
Wds7584,,W,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,Cuaieflmccqp,Simi Valley,205843.0,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,1899339.0,705.0,2.0,1-093-616-0613,4.0,40.0,O,VeraSun Energy,0.0
Xsj7585,M,M,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,qiraymmapgf,St. Catharines,470985.0,ccfzcxohrhrcnypedmhjovjyjrxi,3873239.0,387.0,3.0,1-546-131-8988,4.0,29.0,O,Magellan Health Services,6.0
Lux7586,,U,Nhgrkzjzcrjcerkwrugwul,Tsynomgib,Washington,318225.0,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,767547.0,359.0,1.0,1-477-186-7432,2.0,21.0,,Emcor Group,7.0
wxw7587,f,M,,Amudllk,Chula Vista,326044.0,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,1027999.0,494.0,2.0,1-965-848-6954,2.0,41.0,O,Peabody Energy,9.0
pfz7588,m,M,uiaoi,ELQKT,Montpelier,,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,3428495.0,345.0,1.0,1-622-866-0937,1.0,56.0,,State Farm Insurance Cos.,10.0
hlx7589,M,M,Wwonzdtvwkn,Oiwac,Mesa,187282.0,REHWDWEP,1827180.0,402.0,0.0,1-040-217-2014,2.0,33.0,O,Humana,10.0
nyb7590,,M,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,Dqgzinvuxxy,New Haven,,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,2070007.0,579.0,0.0,1-101-684-2373,2.0,96.0,O,News Corp.,3.0
Ltt7591,,,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,Nchaajfkjvx,Indianapolis,,DIMPFMEBDNHBCT,,569.0,0.0,1-386-426-5849,2.0,35.0,O,Torchmark,2.0
gsz7592,,W,cezvfwtftwlwfrgrpxtuejvrgucexe,XEDMBUAMGXKH,Stockton,306946.0,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,3596263.0,745.0,4.0,1-598-816-0126,0.0,40.0,O,Rock-Tenn,9.0
Kwp7593,,D,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,crxbrlj,Louisville,99663.0,DVYTEPWCABNSGPTLJEMPQLTEWM,3719999.0,320.0,,1-770-379-7700,0.0,10.0,U,AGCO,1.0
AGM7594,,M,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,Eytubbwi,Atlanta,482013.0,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,3058439.0,591.0,4.0,,2.0,59.0,R,,4.0
Ocn7595,m,M,Ctgihaqlm,Lwftldizl,Milwaukee,180476.0,,2592932.0,,0.0,1-628-245-6238,1.0,70.0,U,United Stationers,10.0
Cmw7596,F,M,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,GSSFZNBZL,Fort Smith,285682.0,qlgnszfowrbrkuurrmjrfnfaeulhneecv,1471273.0,417.0,5.0,1-813-787-2611,4.0,69.0,,McCormick,5.0
Dit7597,,M,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,Nrnqtmjz,Knoxville,455032.0,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,,338.0,5.0,1-362-897-1162,0.0,96.0,R,National Life Group,8.0
Rmm7598,,S,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,Rzjxvum,Idaho Falls,356141.0,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,2410816.0,340.0,,1-952-919-4878,3.0,9.0,O,Hasbro,9.0
