Employer,NetWorth,Country,Income,NumberCars,AddressLine2,State,AgencyID,OwnOrRentFlag,PostalCode,MiddleInitial,AddressLine1,Age,Phone,MaritalStatus,FirstName,CreditRating,NumberChildren,Gender,NumberCreditCards,City,LastName
Interstate Bakeries,490443.0,United States of America,210038.0,5.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Saskatchewan,dgc7511,O,NCEVKLQEEWTA,,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,72.0,,M,Zaijioc,,1.0,m,3.0,Greensboro,dgcnbxfhc
eBay,3348923.0,Canada,307402.0,4.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,NE,lql7512,O,DODDIDDHXS,,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,40.0,1-268-630-3843,M,Mdwdjpdfmbqjaygkfqzqx,318.0,5.0,,9.0,Concord,lqlslgqsvyfxqnzuwbfg
Boise,331799.0,United States of America,,4.0,ucxdpiwilpxxhv,AR,Wsk7513,R,Oqnzttrldq,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,8.0,1-915-548-9541,D,Ccbccgvldfvoqtzestvkwunn,613.0,1.0,m,4.0,Colorado Springs,Wskjvrujdwku
MDU Resources Group,1167013.0,,432425.0,4.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,IL,Ffs7514,R,Lwbawk,v,,10.0,1-536-880-0961,U,nyakrhdyxravdnhgbtol,786.0,1.0,,4.0,Mobile,Ffshsiomkzjonhxjhunfsao
Freescale Semiconductor,3960216.0,United States of America,122041.0,0.0,,VA,Kvv7515,O,Ppsrzjdtg,F,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,24.0,1-494-335-6022,U,NDNBTVCLKSC,,3.0,,10.0,Thousand Oaks,Kvvverfkpazpzzkrqniixrhnw
Superior Energy Services,242246.0,United States of America,302205.0,1.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,ID,mpz7516,O,,G,,18.0,1-814-158-3550,M,Zmstbluqkipzaojfsomtbdddguq,623.0,4.0,f,5.0,Rochester,mpzqnwnrmaozfsstcqtrc
Monsanto,1217660.0,United States of America,367555.0,1.0,Havgczldcpfmwfzj,TX,Jhc7517,O,,s,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,79.0,1-420-580-0795,S,dpqgvuaoijmkxsesvililpxcrwqe,845.0,1.0,F,1.0,Garden Grove,Jhcbaxyzijphmmvpampdgvgisnab
Newfield Exploration,1229655.0,United States of America,106025.0,4.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,New Brunswick,dbq7518,U,Rxdsunq,l,rpikmvtgwsrsoehxgmxwypaueiaheabrf,36.0,1-924-305-1666,M,IHUGYGSRDWILVOFBAKUR,645.0,5.0,M,7.0,Tampa,dbqcukoddoiwg
Loews,1157831.0,Canada,106690.0,2.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Alberta,Xch7519,O,JXHVEEOU,,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,21.0,1-450-082-2122,W,aefotdcronamhkzsfpvifmobgchmsp,495.0,2.0,m,1.0,Fullerton,Xchoxlbkffuvox
Apache,,Canada,29373.0,2.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,PA,oir7520,O,XHJQCDPOO,Z,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,4.0,1-573-009-1404,M,jdeyqkerjerjpht,371.0,2.0,m,8.0,Washington,oirfujtvl
Robert Half International,,United States of America,168189.0,2.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Nova Scotia,Fqb7521,R,rapkjpmvp,O,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,72.0,1-603-897-9894,S,Lwihnxoihqqrvjydsijd,462.0,3.0,M,1.0,Norfolk,Fqbovz
Viacom,3467922.0,United States of America,264756.0,,Rirmrpvlknyho,RI,qex7522,U,Slskxm,,Dmyivtczopuqajpnjqvvgbhxynvduub,1.0,1-947-161-6502,S,nmnervucuk,375.0,,,7.0,Sydney,qextfjyytqwbmdrlykbfnhvqrmota
Robert Half International,46859.0,Canada,44480.0,1.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,OR,Hpi7523,U,FXHXLG,,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,98.0,1-586-826-9847,S,hgjkxxbf,516.0,2.0,,10.0,Winnipeg,Hpiedhvkedqqdxsoedt
CSX,2937668.0,Canada,87207.0,1.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,CA,Fjd7524,R,ovlziicdezok,,Esuycdxsjfbrqbtluspxsehk,35.0,1-217-243-2668,,Zangtryzlhmxo,703.0,5.0,,,Wilmington,Fjdafgbcrml
Country Financial Services,2388613.0,United States of America,238434.0,4.0,Rpzwirgfyiw,MO,Cgt7525,O,jsxcpvao,,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,99.0,1-857-211-5728,W,FFJGEQD,734.0,2.0,,7.0,El Monte,Cgtcmbl
Procter & Gamble,3116283.0,United States of America,,0.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Prince Edward Island,Lwx7526,U,Ykerbceq,,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,49.0,1-089-966-6281,M,Pdcxrihnl,469.0,2.0,M,4.0,Sterling Heights,Lwxudfgcqawccntqaucdaeym
Ingles Markets,2671950.0,United States of America,391354.0,3.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Quebec,epy7527,O,VVMSNWEBT,,vnyndcximwxhecv,72.0,,S,Zckhcacwaelzutaodqalxyjrkh,595.0,0.0,,2.0,Pembroke Pines,epyxtfsrijhddstgaxkbgmlayjtk
Forest Laboratories,3899593.0,United States of America,419165.0,3.0,Acdrcqabtcdgmgl,KS,Aff7528,O,bibueqwbejem,M,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,41.0,1-231-342-6874,U,sqrosgqnpifxjx,410.0,0.0,m,1.0,Philadelphia,Affcha
Dentsply International,2537332.0,Canada,396509.0,3.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,NV,mfc7529,O,gehpynlk,S,,54.0,,W,Erqzkkllazeobgthnmgsbtj,475.0,2.0,,10.0,Glendale,mfcestd
RadioShack,733236.0,United States of America,145161.0,0.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,TN,Slf7530,R,Piwlxtg,S,GVSBHGBDDVJFNNOZNNPJWCOI,11.0,1-602-637-1838,,Lcziayaozecoqqluasolkmmcldm,,2.0,,2.0,El Monte,Slfbmvc
Century Aluminum,,United States of America,263206.0,2.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,WY,Cxu7531,O,Ujlshmosjkid,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,0.0,1-003-982-8627,W,Gcnczmuxviqaxtsdzmzhtro,519.0,5.0,,3.0,Warwick,Cxuousxqyrfgjvpvuopyfguqva
,3397276.0,United States of America,190371.0,3.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,British Columbia,GZO7532,U,cwburwnupuj,F,BIQIOQOHLQSTBRUFOI,27.0,1-136-358-6852,D,Rsoobsqytvjycob,841.0,3.0,,5.0,Milwaukee,GZOPDOKHJAJYSDFLOFVZMBVAHOKC
FPL Group,2444257.0,United States of America,203968.0,3.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,LA,DRW7533,O,CNEZMHTKIAEV,A,Llfaqkbemnoy,95.0,1-123-528-2965,U,Pjvadgt,540.0,1.0,,6.0,Phoenix,DRWTVTDSG
Lockheed Martin,71520.0,United States of America,428323.0,1.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,HI,set7534,R,kixvppuqtd,N,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,35.0,1-136-565-2501,U,GUBKOKITTSKVYM,540.0,3.0,f,10.0,Anchorage,setksinlvlrjwnfu
Sanmina-SCI,1911091.0,United States of America,159980.0,4.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,NY,Pyo7535,O,jrhynxfi,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,96.0,1-317-986-1984,M,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,,1.0,,6.0,Madison,Pyoixliri
Iron Mountain,988775.0,Canada,266852.0,0.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,TX,FSH7536,O,dnhtjyu,,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,96.0,1-265-603-1262,W,Kuteauo,424.0,0.0,M,6.0,Fontana,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ
OfficeMax,3919363.0,United States of America,206973.0,5.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,AZ,Tdx7537,R,YKOVOTYB,,,49.0,,M,Hkfofpndygljbeo,623.0,5.0,,2.0,Charlotte,Tdxyljuxporjhdumcvfmv
AMR,428918.0,Canada,258221.0,5.0,XHQNMCEJKXOQYVSZVESLKC,ME,Sbn7538,O,WNNMWJ,O,atydogjpqphuwhegtbukkqiaeakrtrn,,1-156-668-6882,S,Kengxgsu,792.0,1.0,,4.0,Richmond,Sbnxcsrozzcufdoyvckpplofysx
Kohl's,58134.0,United States of America,428508.0,4.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,NH,Piq7539,O,Oktkljv,C,Hlotorcbtobuceb,27.0,1-164-648-3203,S,Plywuoa,718.0,4.0,f,6.0,Santa Clarita,Piqizouhxiw
Cigna,3703767.0,,,4.0,Toumjfbsumpgfuskpydjeibaxi,KY,IXD7540,O,,,gsrdigbqfwrahybxrtm,98.0,1-839-795-1027,M,zfcwsxpjzyqelkxg,401.0,0.0,M,6.0,Yellow Knife,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC
West,433859.0,United States of America,58953.0,4.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Prince Edward Island,wsn7541,R,GXFLSISZUY,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,,1-958-412-4252,M,Yxvczhqjwgnhowiu,557.0,5.0,,2.0,Oxnard,wsnjomkxbtybfnmtcjhvmblfwamnwd
Monsanto,3002044.0,United States of America,409682.0,5.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,British Columbia,Jkp7542,O,gzexcrngivl,A,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,56.0,1-392-335-1020,W,Grkknjyfgbhtyrhxzeaoeoyirwfa,393.0,5.0,M,7.0,Huntington Beach,Jkpmtcj
Reliant Energy,1124168.0,United States of America,340191.0,2.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,CT,CCF7543,,yzoikhwrd,,,94.0,1-912-050-7605,M,Vfrdst,557.0,4.0,M,10.0,Durham,CCFFVCOHCLUUXZIQTCFCUHEYN
Idearc,2081541.0,United States of America,238216.0,4.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,WA,ylj7544,O,Gdbktega,,RELJYREDKQEKGOORBLRKOUIC,98.0,1-075-551-9919,U,Hqcswumjvwbemosmy,465.0,5.0,,5.0,Naperville,yljvuglvt
Neiman Marcus,1897076.0,Canada,113171.0,0.0,hkyochorqgtokxgozmoncalaaiw,ND,ZBB7545,O,Kdcqzpvf,V,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,8.0,1-013-611-2674,M,Ectbhkmbvwkwdbn,,1.0,F,6.0,Albuquerque,ZBBXAWVJAAL
O'Reilly Automotive,235172.0,United States of America,234797.0,5.0,Datdnghoiymltcayulgkgxywi,ID,fqe7546,,Tbwgwtmgcu,,Yewxbqpnfgh,90.0,1-656-865-7544,W,Bdbgqpllbnrmiirpct,485.0,,m,10.0,Newark,fqekemquvstw
Cliffs Natural Resources,639573.0,United States of America,225322.0,4.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Quebec,Wpw7547,,Mwmfs,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,34.0,1-879-870-7379,M,Ftszluaxcsoxdfbmdd,303.0,2.0,,2.0,Miami,Wpwhilrlzng
Health Management Associates,2667082.0,Canada,192689.0,1.0,,ID,vpz7548,O,goelqgcts,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,25.0,1-366-625-9813,W,Qrdnpjquwnixfocqhsrlkcxmelwijl,846.0,2.0,,4.0,London,vpzxgcwljllsq
Chevron,2598634.0,Canada,348685.0,5.0,,AL,Yfz7549,O,ucwygjzs,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,50.0,1-359-462-7089,,Kkiolpmrgzmnjanqc,621.0,4.0,,1.0,Worcester,Yfzmtcvxc
Exide Technologies,1074671.0,United States of America,401229.0,3.0,,UT,dou7550,O,fjlfqftwg,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,85.0,,D,unzegilpp,331.0,4.0,,,Jacksonville,douvwdwiwrxoivzaojazinrhswjv
Convergys,2272997.0,United States of America,38597.0,5.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,MS,FDJ7551,R,Tocujgaiaq,,hfuyqlsmbesrylepu,60.0,1-153-396-8333,M,xetqkitwlh,401.0,4.0,M,9.0,Nashua,FDJOVRSOCWEIKZ
Dominion Resources,702000.0,United States of America,,2.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,AK,ufu7552,R,kurjmmgixxfd,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,95.0,1-144-623-1308,S,TWRRGULRYKYUWZYBQQFMIFFKVK,644.0,2.0,,0.0,Newport News,ufutrfkevxnbupjcetrpltw
Sentry Insurance Group,1289800.0,United States of America,161204.0,4.0,NBSHKLXYVUUWXEQSGXR,VT,bbg7553,R,cnsavindoi,H,qgjnvpwvmgsqzcanzncon,8.0,1-269-220-8046,M,Yqfljvgkfucafpjpamdtcppiipc,769.0,1.0,m,5.0,Corona,bbgzmquoeecumw
Cintas,1007390.0,,202650.0,3.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,LA,Znk7554,O,MQBSAUVQRPYE,v,HNBGLUDIOAJRCCIXGDUQOO,31.0,1-052-524-0130,M,mjeasoritwctufyojamzbeeoo,481.0,4.0,f,2.0,Lincoln,Znkkdbkvxcxeuackyodqlkpl
Medtronic,124290.0,Canada,,1.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,CT,CGQ7555,O,vadbnvz,T,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,51.0,1-335-871-6660,U,Udxaujgiratgthwkvdibgvwfo,732.0,2.0,F,7.0,Toronto,CGQARHBXCVHPTYDGVVPVLJYBJFYZD
Pride International,1820002.0,United States of America,492433.0,4.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,UT,add7556,O,Ljurvnigr,,dnlleihfh,24.0,1-637-394-8083,M,GHFUKZPOKMXWZF,802.0,4.0,,2.0,Fayetteville,addxtssyhezwro
A. Schulman,2200347.0,Canada,344858.0,2.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,IN,Anw7557,O,BQDMQVFTNBRJ,J,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,78.0,1-706-795-4208,M,ybtkiifyhbgchnuctnhnqspk,329.0,4.0,,5.0,Charlotte,Anwyusqezrjppzkaevffwljm
Oneok,3669569.0,United States of America,197290.0,5.0,nqcozjievwzk,WI,Hvt7558,R,jkcul,,Wsjaujjdexc,56.0,1-622-347-5699,W,Fhkymmgjsbmpduuffgavhfcxm,839.0,0.0,m,0.0,Tulsa,Hvtanebvipbdd
Danaher,2140537.0,United States of America,283654.0,2.0,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,WA,Yqj7559,,Nelny,d,Ojberg,50.0,1-042-017-9368,U,DEZDTMSMWKALBRPALCFIME,539.0,,,,Winston-Salem,Yqjaammjlhgpw
Del Monte Foods,3258909.0,United States of America,317423.0,4.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,LA,Ztn7560,R,Qsggz,,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,52.0,1-829-935-5979,M,phoxfeiqoldgmnojmzunmargkla,561.0,5.0,F,4.0,Thousand Oaks,Ztnstwpjxatqveppicohpzilnn
American Electric Power,1825422.0,United States of America,399126.0,4.0,Lfrjkyblujmbxigmylpsxieswspmei,VT,bni7561,O,Drofa,,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,14.0,1-076-726-5283,W,Upuabfflh,814.0,5.0,F,2.0,Lubbock,bnizllrrofn
TJX,1845263.0,United States of America,398180.0,5.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,CT,swx7562,R,Ssovhtmt,,Xwtkpxqgohxwxnv,29.0,,M,owagfolbfwjzeg,305.0,0.0,,7.0,Winnipeg,swxorhmdydwbrtdqxroghsddlpbdgi
Philip Morris International,1463114.0,United States of America,,2.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,RI,DSA7563,O,Tnprhljfrlj,P,Qpvmtkxxfef,50.0,1-284-129-5920,S,Qdmppehqxloc,457.0,4.0,f,4.0,Laredo,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO
Cincinnati Financial,2354683.0,United States of America,485429.0,4.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,SC,BXZ7564,O,Bkxujhonjgjk,,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,67.0,1-128-308-8886,U,jqbetxkci,349.0,1.0,,8.0,Overland Park,BXZUTWBUFSGPPXKR
Stryker,436677.0,United States of America,118018.0,2.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,British Columbia,pcz7565,O,mrjrjhgnwcdu,,KRYAIAJGKHBKXBLC,22.0,1-145-469-5971,M,Wsmywgbvwspgdwhmdxsqjwqb,590.0,0.0,,0.0,Calgary,pczqycbwefse
Kansas City Southern,2383335.0,United States of America,309693.0,5.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,CO,Zqa7566,O,Yusezkfgs,,,20.0,1-727-684-7767,U,ocgwi,533.0,4.0,m,0.0,Peoria,Zqaknviqngvemehvpzrcgkcvre
IDT,2574739.0,Canada,90718.0,4.0,IBQIDE,TN,Htl7567,O,RKXTQAO,z,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,75.0,1-776-201-2472,W,Pcotdnngmurhkcd,686.0,0.0,,9.0,Durham,Htltlfnvjctvvdvulpkhcbyfi
Vornado Realty Trust,1596838.0,United States of America,280645.0,2.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,CA,afw7568,O,UBQSATXZO,L,VBDCWYVK,60.0,1-767-942-1278,U,bvcosqzcleknjzvkygbawlc,582.0,0.0,F,10.0,Pueblo,afwafvxxdr
Dollar General,591965.0,United States of America,231559.0,,Lrebujnrg,WY,Wna7569,O,BHRNWQLFVFA,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,1-723-062-7266,S,ECLENELTSXGTNWOP,807.0,4.0,,0.0,Las Cruces,Wnakgzhqfhtavtvegjtdmdosnjr
Safeway,3071440.0,United States of America,36898.0,3.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,SD,Mlh7570,O,Ktmzav,,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,48.0,,S,Xdwexmrjat,819.0,5.0,,3.0,Chula Vista,Mlheqxaigtvjaynkffyqkpu
Apache,2683081.0,United States of America,396786.0,2.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,British Columbia,Gor7571,R,Nfpchgfj,,Gwxymofcy,91.0,1-145-314-0862,M,xjwnvwdryqpcehelwzfhkkiuus,311.0,0.0,,5.0,San Diego,Gorjnqxjtefmomsbmtnogaerx
Lowe's,3850483.0,United States of America,344365.0,2.0,Hxutrprq,NJ,ENX7572,O,Wuywecohosfi,,Qynjnmfgwxpmrw,98.0,1-735-104-7772,U,RNBABCYAFMQPBOHXNUXMXNU,734.0,5.0,f,3.0,Chicago,ENXOMNHFVPYQSABETPUEKRKCL
Lithia Motors,1870617.0,United States of America,1205.0,4.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,AK,fgr7573,O,tibxlojrqiha,,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,51.0,,W,Eyrtrqkljywvbcice,432.0,1.0,,1.0,Worcester,fgrdzzudzmwlluff
CH2M Hill,1249534.0,United States of America,276666.0,5.0,JRHXPUUHAFHDPF,OH,Ysh7574,O,ogmes,a,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,22.0,1-518-116-1411,S,Opybrukftspofebjmspkjsgtobzsp,394.0,0.0,m,3.0,Honolulu,Yshzkx
Tellabs,3789880.0,United States of America,497953.0,0.0,yvntcqjqqmbftwetvbqgclcdbxspvk,New Brunswick,Mos7575,O,JUBKXDKP,I,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,57.0,1-696-359-4829,U,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,658.0,0.0,,1.0,Albuquerque,Mosqjrkdycyygfsljqadgfqoldb
