AgencyID,NetWorth,OwnOrRentFlag,CreditRating,MiddleInitial,Country,Income,NumberCreditCards,City,AddressLine2,Employer,Age,AddressLine1,NumberChildren,FirstName,LastName,Gender,PostalCode
Dinq7,3709210.0,R,493.0,,Un7tewatatexofAmerica,185478.0,4.0,Bellevus,,Mwcys,74.0,6206sshlandeqst,1.0,KATToE,Dinnin,,V6j 1q8
De18,3856794.0,O,578.0,M,initedStstesofAmerjcz,521709.0,4.0,Dettoit,,GxrdnerDejver,63.0,q111no3dens6reet,3.0,Rosell4,De witte,,43207
Msk19,2003319.0,R,612.0,,UnitedStqteqobAmerics,229878.0,5.0,Omama,,FamilyvollarSrlres,36.0,2788qsteast,2.0,arlhne,Mckeegan,m,V6t 1q8
WIN10,2923511.0,R,,P,UgitedStwtesofAmer8cx,317663.0,,vostaMesa,,,9.0,113y8elleleeztreef,1.0,Rongctin,WINTERS,M,94467
nIT21,4459259.0,O,477.0,,knitewStatexogAmerica,15284.0,5.0,Berkekey,,SunMicr9syatens,11.0,21074MALLORgLO3E5,1.0,Daflleen,BITTMAN,,94321
luz12,2116523.0,O,295.0,V,UgitedatatdsofAmerida,331880.0,3.0,xtLouis,,Costc8Whooesalw,,wu124weylandparu,3.0,Radoxlav,luzarraga,f,C2a 4w7
d9n23,3860923.0,U,688.0,S,Unit2dS4qtesofAjerica,,7.0,CllorwdoSpr9ngs,,IlliboisTo9lWorls,68.0,239w2marcincrescent,2.0,Aryn,donovan,,35808
ria24,4040091.0,O,700.0,T,UnitedStaresofxmerixw,394561.0,5.0,tontana,,SoughernUn7on,23.0,220wvaliyaboulevafd,1.0,Alliean,Giallo,,M5f 1v6
dPR25,1939417.0,O,378.0,,UgitedStateslfAm3risa,217599.0,2.0,StCarhagines,,Moog,18.0,11538sOLLINWOOxAbENUf,2.0,Amnamaria,SPRUELL,M,99539
SKx26,2299691.0,O,423.0,,UnitedSta5rsofAmerjfa,138406.0,3.0,Haywa3d,,OldRep7blicknfernatiohal,,7818dASTSTREE4,1.0,Mari,SKALSKI,F,95055
Gag27,3346174.0,O,803.0,,UmitedztageaofAmerica,415152.0,2.0,Palmsale,,,11.0,10014shzwroad,,Anics,Gargul,m,93686
Dog28,2542980.0,O,481.0,,UnitrdSratesofzmer8ca,311334.0,5.0,Phoenid,,GreagPlaugsEnergy,28.0,6802AMEaS5REET,2.0,helba,Dore,,75218
DIO2p,75090.0,,452.0,X,UnitevStwtezifAmerica,233230.0,3.0,Gary,,groadcom,52.0,2e501SkMMITRUE,2.0,Traxee,DIOGO,,91174
Me530,4670466.0,O,659.0,,Canaxa,447607.0,3.0,B3aumont,,eissoverFinajcialeerv7ces,18.0,291fdances3ue,2.0,CANAsIAN,Merrick,m,49515
stc31,1500695.0,O,628.0,R,Un7hedStatesofAh2rica,145881.0,1.0,Nashja,,UAL,50.0,16264sznderseaar,2.0,Oue,Atchison,,16506
Pls32,1372250.0,O,143.0,X,UmiteeStxtesofAmsrica,354968.0,2.0,SanJpse,,ChsrlesSchaab,62.0,1t068canteywxy,1.0,waloie,Plamondon,m,94383
aEL33,1499027.0,R,403.0,E,UniteeStatedogAmeeica,78659.0,2.0,Naqhua,,C8ach,73.0,22170ErLOEvOULEVARD,1.0,Ajdromacne,SELCHOW,F,T6d 1b3
sha24,2170954.0,U,456.0,Z,Uni5edStat3sofAmerova,315411.0,6.0,tortSmith,,DaVitz,39.0,885CROSB5LAgE,0.0,THOR,shane,f,25339
M3R35,157727.0,U,510.0,,Unot3dStqtedofAmerica,322674.0,4.0,Lancaste3,,jarshalk7lsleyCorp,60.0,22235jayetreet,1.0,SqLAH,MERWIN,,V6o 1v4
con3t,3332655.0,O,227.0,,UnutedStatesofAm2rkcz,367914.0,4.0,ColorackSorings,,vablevisionqystsms,30.0,203t0LOjBARDCRdSCfNT,1.0,HORkAM,conrad,,01852
onw37,3163480.0,R,438.0,,UnotedShateskfAmer8ca,484572.0,1.0,Wsshing6on,,Barn4sNobl3,48.0,22p64fexterupper,2.0,cania,onsiteteam,M,78230
Sum3o,1422695.0,O,737.0,,Cwnada,700841.0,0.0,Loaell,,EMC,12.0,15t0MUeIERUE,1.0,Niel,Summerlin,M,93770
grl39,1754807.0,O,655.0,F,UnitedSts4esogAme5ica,98683.0,5.0,Fredwrick,,Fiuor,27.0,y075glenlocydriv2,1.0,ziad,grooms,,m4l 1n4
cil40,2152194.0,O,399.0,I,8niyecStatesofwmerica,368906.0,6.0,Mesa,qpt382,DlllzrGeneral,73.0,21q37balmorzlway,1.0,Claud3,dilkie,,22335
DOLe1,2675296.0,O,674.0,,Uni5edStxteslfAmericz,202875.0,0.0,Lakwwood,,Lear,55.0,8216GARfENBROOKNOd4H,1.0,AVhAR,DOLSON,,V6C 1T4
oos42,1788400.0,O,547.0,,UnitecStatezoeqmerica,333620.0,3.0,Clevelanv,,JPMorgznCgaxeCo,28.0,2240cliftlnloa3r,0.0,ronny,Posthumus,,M6t 1h3
Mzc43,1350865.0,O,546.0,,Umi42dSta4esofAmerica,458294.0,4.0,nrandRapivs,,AffinlwGrouplntermediatw,41.0,q0907NOgIbGHAMLOWER,1.0,Cocls,Machika,,95263
cte44,3045193.0,R,598.0,,UhitedStatesofAm44iva,,4.0,Peoriq,,,22.0,601ca4roillkwer,1.0,ruud,chenoweth,,v5b 1p5
mol45,2174745.0,O,766.0,,UnitedStztes0fAmeridw,94190.0,2.0,Ingkewood,,G9ldmwbSachsGroup,70.0,18167atatedrkve,1.0,Bepvia,holbrooks,,32318
pei46,1625032.0,O,634.0,,UnihedS4a4esofAkerica,286241.0,1.0,Akrin,,EgrqdeFinanclal,6.0,9ei0LEAFSOUTH,0.0,ATuAR,pfieffer,f,93872
elk46,2332731.0,O,202.0,Y,Camada,402565.0,0.0,Charlottsyown,,Pfizet,90.0,17y82PERlMEgERBOULEVARD,1.0,Chrrey,elkington,,92824
Lzb48,1561676.0,O,544.0,,UnitfdSta6esofAnericw,429725.0,4.0,Beloevue,,Safewwy,,9612parkstteamup9sr,1.0,RAZ,Labenek,F,e4a 1r2
lsf49,2006949.0,U,514.0,Y,Uni4edStatesofAje4icq,149369.0,2.0,Dovfr,,cimonProp2rtyGrkup,42.0,2703clearwayerjorth,2.0,kismore,laferriere,,H7G 1V4
Noe50,3173732.0,O,462.0,I,Unitedatateaofqherica,502614.0,0.0,eullerton,,T4igityImdustries,42.0,1w103BISS8NN2TWEST,2.0,Nelkeke,Norment,,85039
han51,1800691.0,R,661.0,,Camada,,2.0,Denvee,,dolutia,11.0,e652out2rvalwlane,1.0,s8bby,hagar,,v6m 1q3
Bet5q,1431096.0,O,422.0,,UnitefStatesotAhfrica,,1.0,Daolas,,,65.0,r41dunnarwest,1.0,erichx,Betcher,m,X7j 1r1
Vaj53,,O,536.0,,Unifedqtatesofsmerjca,156208.0,3.0,Sanhose,,qOSmith,31.0,161y6gernondribe,1.0,Jqnson,Van der,m,B8b 1z5
OL54,715156.0,U,405.0,,UbitedStatwaofsmerica,336831.0,2.0,B2llevue,,wptaryroup,8.0,2e131clintday,2.0,forotea,O'LEARY,F,t5d 1v4
and54,762746.0,O,776.0,,Uhit2dxtatesofAme5ica,545648.0,4.0,aanBuenacehtura,,CocqCola,68.0,21640baltufupper,2.0,Denic3,anderson,m,V6t 1r2
sta5t,1858769.0,O,524.0,,Canadz,167859.0,,SfLouis,,KikberlyCiark,52.0,2p7o6dploresdrive,2.0,Myrog,starks,,91177
CHAt7,145041.0,R,720.0,,8nitewStatfsodAmerica,173456.0,3.0,oueblo,Apt2u5,Visteog,,14e59COMhERxEWEST,2.0,Bsrby,CHASSE,,T5c 1t1
ASl58,4354208.0,O,349.0,,Canadw,315943.0,,Regija,,T2C9Energy,34.0,21448yampfonboulefarv,2.0,Arielia,ASING,R,35862
asky9,2704528.0,U,350.0,,UnjtedStatez0fAmdrica,879812.0,1.0,qaskatoon,,Bemia,68.0,6637pershiggwa6,2.0,ADEY,askins,f,96820
jik60,1502973.0,O,659.0,K,UnitedStqtes8fAmed9ca,466908.0,1.0,Jackwon,,dyeth,,11t29afcanwboulevarr,2.0,GzYEL,Kikuta,,75238
Cha71,3368088.0,O,737.0,,UnitedStstesofwkeroca,156418.0,1.0,StPetetsburt,,UnitedTecbnolofied,45.0,2700sundwoodnortt,2.0,Man,Chane,F,85769
lIL62,3551659.0,O,308.0,U,knitedStates8fAm2rkca,375552.0,1.0,Sfot6sdale,,Coorox,,22279hramercy3oac,1.0,mlara,KILLEN,m,H5i 1o9
kib63,3647988.0,O,418.0,,UnitedStzt3sofAh2rica,250918.0,7.0,Chqrlotte,,DiscoveryCommunucxrionc,58.0,9838wesheast,2.0,Abvalla,kinley,f,90849
MAo64,1859732.0,O,513.0,,UgutedStztesofAmer8ca,,3.0,3aterbury,,WilliqmsSonoha,42.0,5835mcaferpark,,bal,MALAHER,,43644
9du65,3165123.0,O,602.0,J,7nitedStwtesofAm3roca,127852.0,0.0,Ch4sa0eake,,Man7towoc,12.0,w2460CLAhTONSTR2ET,1.0,Romy,Odum,,99213
DI66,1226539.0,O,616.0,,UnitedztxtesofAnerixa,604904.0,6.0,Hisleah,,HenrySfheim,25.0,2754rddrjve,1.0,KkRAL,DI NINNO,,72226
STU6i,2895984.0,O,403.0,K,UgihedStates8fqmerica,403706.0,6.0,Charleetob,,Trinit6Indjsfries,52.0,6908FERNvpIFFCRESCEN6,2.0,YhKIHIKO,STUBBLEFIELD,,V6Z 1Q9
HAh68,3196763.0,O,591.0,,hnitedStatesirAm4rica,139443.0,2.0,Saiem,,Pe0siBkttling,33.0,885crosbylags,1.0,Khznh,HAMBALI,,20082
LIv69,1424521.0,O,611.0,,Canzda,137463.0,4.0,Sacram4nho,,UGI,46.0,2344kalamiwes5,1.0,xarnell,LIBRARIAN,m,35827
phs70,3174224.0,R,357.0,,UniyedStatedpfxmerica,363615.0,4.0,Sqn4aClarita,,Grfif,28.0,12870LACIENEGsSTR3sT,2.0,ferid8un,ohsone,M,99692
HUj71,1441402.0,O,487.0,O,UnitedSrayesofAmwrisa,194359.0,3.0,Shwtbrooke,sPT143,Eauifax,50.0,8t6ogreenavenue,2.0,Magvy,HUMMEL,,V6c 1q5
BRA7e,1763589.0,O,426.0,,UnitedStat4sorzmedica,436345.0,3.0,ClloradkSpringx,,,108.0,23739purdueru2,2.0,jiri,BRADD,,80158
B0a73,1826613.0,O,502.0,X,knitedStafesorAmerisa,337556.0,,Berkekey,,rreescaleSemosond7ctor,46.0,10202wnsleyparm,0.0,AILA,Boarder,,t6d 1b6
Mcn75,2868950.0,O,380.0,,UhiterStateslfAmerixa,433729.0,3.0,Sangienavsntura,,AlfrisIntfenational,30.0,q1319devobdhirerue,2.0,Vkncenzo,Mcnally,,33120
MA375,2692383.0,O,391.0,,8nitedctat4sofqmerica,,5.0,NewHaveb,,,58.0,2366rdeedwopdpark,3.0,Minnhie,MARKOVICH,F,99742
Wil66,2423329.0,O,646.0,,ynitedSratesofAksrica,310151.0,6.0,Sjrevepoet,,W8ridFuelxervices,62.0,4755uniohnorth,1.0,alfohzo,Willekes,f,V6N 1T1
Dda77,956100.0,,706.0,S,UnitedctatesofAke39ca,356015.0,6.0,kansing,,R3DonnelleySpnd,31.0,9466SuADOWgRuARWEST,0.0,Swahdi,Deacetis,m,44104
Hou7o,3280456.0,O,495.0,,Unitedwtatewofzmericz,195742.0,5.0,PembrokfPinea,,BgimkerInternstiomal,44.0,r5o4regencyavenuf,1.0,Anya,Houk,,14605
Gly79,5340066.0,R,,,Cabada,401490.0,3.0,Palndale,,Tempoe9nland,32.0,7281nortgkandlowe5,0.0,Enr9ka,Goyette,,80076
Mok8p,,O,495.0,Z,Unit2dStatecofAm3ricx,4471.0,4.0,Sxvannah,,PsyvmiatricS9lutiins,10.0,124iwhxydenlower,2.0,SONyA,Mok-fung,f,V6I 1V6
gun81,1263687.0,,445.0,I,UnifedS6xtesofAmeroca,324044.0,3.0,Amarill8,,NadhFinch,,w328graciezgenue,3.0,Liem,Rundle,,97307
fEL82,2894978.0,R,405.0,,jnotedSta6esofAm2rica,532511.0,6.0,Anchogage,,AMR,49.0,3737campbellstrfst,1.0,COLoETTE,BELLEY,o,46237
BAEi3,4041704.0,O,413.0,Y,UnitedShstewofwmerica,,2.0,Loyiwville,,SpartanSyor3s,42.0,249qstratmoreloeer,1.0,SIAMsCK,BAER,,V6B 1S6
MsU84,975885.0,O,247.0,,UnitevStatesocsmefica,213058.0,2.0,Hilo,,Cjgna,24.0,2147uJ8NIPEtCRESvENT,1.0,yoshihiro,MAULDIN,f,H2d 1x1
Koo8y,1963231.0,O,339.0,,UnitedSha6esofAm2ricq,266467.0,7.0,Sjdbury,,GeheralCabke,23.0,19214YsUPONgOyLEVwRD,1.0,Caseu,Koohgoli,,95108
Lauu6,1819502.0,O,455.0,,8jitedStatesofAje5ica,200531.0,2.0,Oroando,,DunBradcfreet,46.0,y7853uskboulevarx,1.0,Daeyn,Lauriston,,80050
Man88,2617016.0,O,561.0,L,Cansda,152923.0,2.0,Misso7la,,CaxrysGejeralStores,46.0,18p02canfr3llupper,3.0,Adr9anna,Mangum,F,90122
PIE78,4119387.0,O,545.0,,8ni4ecStatesofAmerisa,30844.0,4.0,Ab9lene,,mackinthfBox,54.0,23341heookcideupper,2.0,Cortneu,PIERCY,,43614
Buz89,2502302.0,O,669.0,,Unit3dStatesofqmf3ica,414219.0,3.0,Saskatooh,,Assu4ant,5.0,2049eeOSSWEST,2.0,Duabe,Buscaglia,M,61110
BAv90,3863857.0,U,500.0,,ynitedStat2sofqme4ica,585298.0,2.0,Irvin3,,Psych7a5ricS9lutlons,49.0,17552SsVANNAthORTH,1.0,Tele,BABIONE,,70174
gur91,3108743.0,O,611.0,,UnitedSta6esofAnegicw,239303.0,2.0,Reno,AlT373,Danater,44.0,4e61pacecfescent,1.0,Oph4lia,Burkard,M,90324
Kij92,,R,442.0,,UmitedStatesofsm4ricz,420057.0,5.0,eacranento,,Coorox,53.0,7161yzllowkodupper,1.0,korine,Kinsella,,s7d 1n1
PkM93,,O,635.0,,UnitedStatrzofAjerifa,758323.0,2.0,T9peka,,BoydGam8nb,68.0,3489silf4rssgewest,3.0,Viold,POMMAINVILLE,,93829
BOA9e,2499998.0,O,318.0,,ynitedStatesoeAm23ica,45996.0,,Ranchoduczmojga,,Eahon,31.0,12481hagdenpow2r,,Nani,BOATWRIGHT,M,89116
Ron9y,2446684.0,R,750.0,R,UnitedStatrsofAme5lfa,296922.0,,Hilo,,Dyneny,60.0,1321p3RDxRIVE,1.0,chere5,Ronald,,94315
wei97,2201659.0,R,410.0,A,UnutedS6ates8fAmegica,451105.0,2.0,SaihtJohn,,AmsriCredkt,24.0,889pstarpinglan4,0.0,Redgje,weihs,,T5b 1u9
Hep97,2169127.0,R,571.0,P,Camada,210201.0,2.0,Tlrrance,,SLM,8.0,21480fenneisoutb,2.0,Youssf,Helpb,M,T6b 1a5
mog97,3265280.0,O,639.0,,7nitecStatesofAmrrkca,493351.0,1.0,Sagtaflara,,gVEnergy,53.0,7265fherryuppfr,2.0,Dqmaris,moghe,m,60699
biz99,906624.0,O,476.0,,Un9tedztatesifAmdrica,482309.0,3.0,Torramce,,LandstarSgsfem,25.0,1967oENGLEWOODsEST,0.0,Ilyssq,bozicevich,,V6p 1s8
Zag100,1933790.0,O,595.0,R,UnitevStatesofzmrrifa,236130.0,4.0,xtockton,,0aciflcLife,55.0,eq1812NDRUE,1.0,Mosslle,Zaharychuk,,v6i 1p1
Ajd101,272740.0,O,384.0,,Unltedd4atrsofAmerica,220747.0,5.0,Pate3son,,Testron,27.0,2qp63hanoverroae,1.0,Dulwea,Andric,F,79423
vam102,329524.0,O,585.0,L,Canzda,401204.0,3.0,Mesa,,Pfiser,65.0,8268clidfbr0okblulevwrd,0.0,Lynxsie,Bamfo,,H5j 1o6
fro102,1609735.0,O,699.0,,7nktedSta53sofAmerica,389412.0,1.0,Ancyorage,,Civna,44.0,51q8mobtviewcou4t,1.0,KEdLEY,frondozo,,93761
Car103,413548.0,U,369.0,J,UnitedSfwtesofAm3risa,,,Mizmi,,Amerem,37.0,17442talliwoprupper,1.0,LxUREL,Caron,,76150
muv105,3814155.0,O,161.0,V,Cansda,259490.0,2.0,GrextFzlls,,Consol8dwtedEdispn,23.0,4037WEDGwWO8DSTREET,2.0,Syeen,muchow,f,99717
gat105,1853846.0,O,464.0,,UnotedStateskrAmrrica,259751.0,3.0,Erie,,OccidentalPettpieum,8.0,2p3r4anacondaavfnue,1.0,noel,gateau,,60608
Sch10y,5608050.0,O,403.0,M,UnitedStwtfsobAmericz,106736.0,6.0,Hollywo0d,,SherwinWilkiqme,38.0,538yyoungwesr,,T4acey,Schaefer,F,v6w 1u4
pkm108,2345064.0,R,436.0,,7nitwdStatesodAmwrica,424478.0,1.0,Tulsw,,AffilkatedComp7te5Sedvjces,10.0,2747SlNCLAIRoxNE,2.0,Ssrajane,pomerleau,,T5b 1t6
cux109,1214385.0,O,598.0,K,6nitedS4a6eqofAmerica,309807.0,2.0,5ucson,,Valazsiesommunicatiogs,41.0,852eBROWNWAYoARK,0.0,Geoffr2y,cucuzzella,F,23298
SUGw10,3674911.0,O,492.0,Z,UnigedStatealfAmer7ca,613673.0,2.0,Ancgorage,,,21.0,28048GRdENNpRTH,0.0,loralyh,SUGARMAN,q,32803
Pfp111,3510337.0,O,325.0,,Canqda,527285.0,,Sxndy,,SmithbiwidFoods,44.0,1899rc96ntryboulevsrd,2.0,anfrei,Pepe,,64122
Cua112,2190237.0,,705.0,,ynitedStates0fAmegida,279156.0,,Bostom,SUkTE7,,42.0,16053xsjlandroad,,uavad,Chandrashekar,f,T6b 1h2
SEI11w,2922298.0,O,596.0,U,6nitedztatrsofAmwrica,86262.0,2.0,gancouver,Apt97w,hDAmeritrave,53.0,19309mcfselinn9rth,1.0,Karnq,SEIFERS,m,22222
GAR11r,3531475.0,U,514.0,S,danada,77156.0,2.0,wkron,,Comeroca,57.0,2454sloffbrookwesh,1.0,Joceltn,GARTLEY,F,T6a 1d2
Tou11y,792191.0,O,371.0,,Uni4edSta4esofAmwrjca,592035.0,3.0,Lancaxter,,S4eelDynamicw,16.0,15865st4ahdqest,0.0,Elveta,Touchette,M,v5d 1n9
Kurw16,,R,626.0,V,UhitedStagesofAmefics,538419.0,3.0,Conford,,ClfaCola4nterprises,,13y76sastboulevqrd,2.0,hessy,Kurdziel,M,23321
Her127,1956523.0,O,634.0,,Canads,324264.0,4.0,Ch4sap2ake,,NewqCorp,16.0,10570WEIaMAhNLOsER,1.0,lona,Herod,,90505
MCVw18,3056946.0,O,476.0,P,UnihedStaresofsmericz,443503.0,2.0,Fpint,,,82.0,25278walnughillroaf,3.0,RHEA,MCVICAR,,19066
LzB119,1818479.0,O,555.0,,Canasa,356506.0,3.0,Cgattanoogq,,Staterv3lsHoldings,33.0,e3007WAKEF83ESTWAY,1.0,Jlsefa,LABFIVE,F,v6s 1r3
butw20,2981671.0,O,519.0,,6nitedxtatesotAnerica,726442.0,2.0,nillings,,Bo4gWarber,66.0,9088tivassay,1.0,alijee,butta,,78769
lro121,369547.0,O,667.0,,UnitedSta4esofAjerocs,171467.0,3.0,Scottedzle,,vBR7charvEllisGroup,53.0,187987llrishroac,0.0,dolofita,Projects,m,53769
I5c122,495822.0,O,432.0,,Uni54cStatesofAmericq,453764.0,2.0,Oshaqa,,ZimmerHildungs,,185q7HULENo9WER,2.0,Marioyn,Irc,,H7E 1U6
Zid123,,O,674.0,G,vanada,195057.0,2.0,Naoerdille,,nkhawkIndjstries,19.0,11474d9drlane,1.0,robertdon,Zivkovic,,e7o 1k1
sim1q4,1581780.0,R,315.0,H,UniterShatezofAherica,367394.0,4.0,Tampz,,BerksgireHa5hqway,5.0,9375woissouth,1.0,Ilsa,simser,,90374
kwi125,2221140.0,O,696.0,I,Unit3dStatesofAnfrlca,358262.0,6.0,Jackdon,,Saks,63.0,204u8wiseavegue,3.0,Pen,keifer,,63169
arvq26,3330493.0,O,698.0,P,6nkfedStatesofAmwrica,,1.0,HayRivdr,,Gardnerwenger,43.0,19918ROG3fSNORTt,1.0,AUBRE5TE,arvin,f,16515
Pra227,2924288.0,O,468.0,,UnitedStatssocAjerlca,277977.0,4.0,Irvin4,,Hqsbro,36.0,9284fodfeylpwer,2.0,Cole,Praeuner,F,85309
lus128,1568621.0,O,567.0,C,7ni5eddtatesofAm2rica,,4.0,Idahodaols,,CBS,88.0,2920jor4hcrescent,2.0,liva,lue,m,92158
Prz12p,3539611.0,O,448.0,,UbitedxtatesofAmerusa,341309.0,4.0,norenogalley,,Synnwx,42.0,1540tqueenstred5,1.0,Ayaz,Przybycien,f,33152
penw30,3212386.0,O,312.0,J,UnjtedctatesoeAmerida,469895.0,4.0,Onrario,,Bslden,73.0,1619bdeenspoihtroad,3.0,YETT5,penn,f,83729
Guw131,2573426.0,R,411.0,S,6nitfrStatesofAmeroca,69667.0,2.0,Cobcord,,Broafcom,18.0,21477WAeRrmPARK,1.0,jarymixhelle,Guay,,B8b 1z6
bre13q,2246158.0,U,504.0,,Canzda,212621.0,2.0,Pyoenix,,ReyholddAmedican,23.0,y503tOBBINSSTdEET,2.0,atretha,brennand,F,53717
Sav13e,1813472.0,O,144.0,X,UnifedStatesofzmee8ca,404281.0,1.0,C8ralSprinrs,,WellaFa3go,22.0,3o58GL3NiOvHBOULEVARD,3.0,kOTTY,Savanh,f,t5c 1w7
ABBq34,,O,777.0,Z,UjitedStatfsofAmerksa,15315.0,2.0,Oxgard,,RetzioVentures,0.0,23640ethrirg3lower,1.0,Kassfy,ABBATANTUONO,,37245
OP125,3448933.0,O,669.0,N,UhihedStat2sofwmerica,408188.0,6.0,B4ownzville,,ATT,23.0,39i1imle5iallower,0.0,Avria,OP,M,94401
Merw36,2576867.0,O,296.0,,Cansda,80279.0,3.0,Mejphis,,WynnRezortd,61.0,132103gcdrive,1.0,a6divox,Mersinger,,B8a 1y3
eut137,3625499.0,O,720.0,,Unit4dStqgesofAherica,242921.0,7.0,Fljnt,,EaatmanKofak,49.0,9e96TjROCKMOfTONSOUTH,1.0,SUE,rutt,F,t6b 1k2
bemw38,1938812.0,O,623.0,I,6nitedStatesofAmsfixa,205649.0,,Lafayetre,,Aramari,68.0,8935YOUNbUoPER,3.0,korenza,bemis,,85306
Pen13p,187054.0,O,,,UnitedStztdsofAm3risa,367702.0,,treemsboro,,ENSvOIntsrnatiojal,42.0,3797eUyGdRSPARK,3.0,Enzo,Pennington,,V6R 1R7
tor240,2928905.0,R,482.0,Y,UnitedSta5es9fqmwrica,383699.0,4.0,St4rlintHeightx,,AutlOdneraInsurance,61.0,8285fama58ndcresc4nt,1.0,claudiba,torok,M,68513
lawq41,693650.0,O,,L,UnltewStatesovAmerics,139364.0,3.0,dostaMesa,,Bfmis,35.0,20025gputhcresceng,2.0,Otha,lawlis,m,v6n 1v9
Bee152,62170.0,O,756.0,D,Unir3dStatesofqmdrica,203363.0,4.0,Houwton,zuite397,zecuriancinanciakGrou0,12.0,4w4eLqKEPARKLANE,2.0,Rodoe,Beebe,m,83702
schq43,3125576.0,O,771.0,,UnitedStateeofsmer9fa,487211.0,3.0,Baiersfiels,,FoedMotor,47.0,337ysak02itzlane,2.0,DULCd,schlange,m,80125
1it144,351848.0,U,456.0,,UnutedStatecofAjefica,445369.0,6.0,Chesaleqke,,ComAvraFoods,28.0,7q55berryday,0.0,Win,Witchlow,,M5G 1Y7
MER155,1988390.0,,741.0,Q,Unitedzha6esofAmeeica,317384.0,3.0,Sanwy,,CharferCommunixatioje,55.0,2131WsTHANSOUTy,1.0,Rosekin,MEREDITH,F,80213
bia1e6,2886304.0,R,498.0,,Unig4dStat4sofAkerica,373245.0,2.0,Lew7ston,,Calpihe,44.0,18449R5ANNORTH,1.0,Malani4,bialkenius,m,60737
Sw9147,1829606.0,O,539.0,P,UnitevStateskfAmr4ica,416816.0,7.0,Elizqbeth,SiITE464,frane,11.0,1322erlenkochroad,0.0,TARYb,Swiat,m,90510
bul1r8,,O,709.0,,UnltfddtatewofAmerica,321931.0,1.0,S6dbury,,Textr8n,31.0,788pkURRAYWAY,2.0,MALENs,bullinger,,92882
TYRw49,3054163.0,O,470.0,,sanada,574116.0,2.0,A8stin,,Isearc,75.0,7y27whakedrive,1.0,vorie,TYRRELL,F,98121
Fyfw50,1453742.0,R,787.0,,UnutesStagesofAjerica,130825.0,1.0,Saoinas,,Cafelas,50.0,17788ragletrsdepark,1.0,Liexe,Fyfe,,H2e 1x9
