ct,cntr,nmbrcrs,gndr,mddlntl,phn,frstnm,stt,mplr,ddrssln2,nmbrchldrn,g,lstnm,ntwrth,ddrssln1,mrtlstts,pstlcd,gncd,nmbrcrdtcrds,crdtrtng,wnrrntflg,ncm
Garden Grove,United States of America,1.0,F,s,1-420-580-0795,dpqgvuaoijmkxsesvililpxcrwqe,TX,Monsanto,Havgczldcpfmwfzj,1.0,79.0,Jhcbaxyzijphmmvpampdgvgisnab,1217660.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,S,,Jhc7517,1.0,845.0,O,367555.0
Tampa,United States of America,4.0,M,l,1-924-305-1666,IHUGYGSRDWILVOFBAKUR,New Brunswick,Newfield Exploration,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,5.0,36.0,dbqcukoddoiwg,1229655.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,Rxdsunq,dbq7518,7.0,645.0,U,106025.0
Fullerton,Canada,2.0,m,,1-450-082-2122,aefotdcronamhkzsfpvifmobgchmsp,Alberta,Loews,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,2.0,21.0,Xchoxlbkffuvox,1157831.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,W,JXHVEEOU,Xch7519,1.0,495.0,O,106690.0
Washington,Canada,2.0,m,Z,1-573-009-1404,jdeyqkerjerjpht,PA,Apache,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,2.0,4.0,oirfujtvl,,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,M,XHJQCDPOO,oir7520,8.0,371.0,O,29373.0
Norfolk,United States of America,2.0,M,O,1-603-897-9894,Lwihnxoihqqrvjydsijd,Nova Scotia,Robert Half International,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,3.0,72.0,Fqbovz,,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,S,rapkjpmvp,Fqb7521,1.0,462.0,R,168189.0
Sydney,United States of America,,,,1-947-161-6502,nmnervucuk,RI,Viacom,Rirmrpvlknyho,,1.0,qextfjyytqwbmdrlykbfnhvqrmota,3467922.0,Dmyivtczopuqajpnjqvvgbhxynvduub,S,Slskxm,qex7522,7.0,375.0,U,264756.0
Winnipeg,Canada,1.0,,,1-586-826-9847,hgjkxxbf,OR,Robert Half International,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,2.0,98.0,Hpiedhvkedqqdxsoedt,46859.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,S,FXHXLG,Hpi7523,10.0,516.0,U,44480.0
Wilmington,Canada,1.0,,,1-217-243-2668,Zangtryzlhmxo,CA,CSX,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,5.0,35.0,Fjdafgbcrml,2937668.0,Esuycdxsjfbrqbtluspxsehk,,ovlziicdezok,Fjd7524,,703.0,R,87207.0
El Monte,United States of America,4.0,,,1-857-211-5728,FFJGEQD,MO,Country Financial Services,Rpzwirgfyiw,2.0,99.0,Cgtcmbl,2388613.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,W,jsxcpvao,Cgt7525,7.0,734.0,O,238434.0
Sterling Heights,United States of America,0.0,M,,1-089-966-6281,Pdcxrihnl,Prince Edward Island,Procter & Gamble,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,2.0,49.0,Lwxudfgcqawccntqaucdaeym,3116283.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,Ykerbceq,Lwx7526,4.0,469.0,U,
Pembroke Pines,United States of America,3.0,,,,Zckhcacwaelzutaodqalxyjrkh,Quebec,Ingles Markets,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,0.0,72.0,epyxtfsrijhddstgaxkbgmlayjtk,2671950.0,vnyndcximwxhecv,S,VVMSNWEBT,epy7527,2.0,595.0,O,391354.0
Philadelphia,United States of America,3.0,m,M,1-231-342-6874,sqrosgqnpifxjx,KS,Forest Laboratories,Acdrcqabtcdgmgl,0.0,41.0,Affcha,3899593.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,U,bibueqwbejem,Aff7528,1.0,410.0,O,419165.0
Glendale,Canada,3.0,,S,,Erqzkkllazeobgthnmgsbtj,NV,Dentsply International,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,2.0,54.0,mfcestd,2537332.0,,W,gehpynlk,mfc7529,10.0,475.0,O,396509.0
El Monte,United States of America,0.0,,S,1-602-637-1838,Lcziayaozecoqqluasolkmmcldm,TN,RadioShack,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,2.0,11.0,Slfbmvc,733236.0,GVSBHGBDDVJFNNOZNNPJWCOI,,Piwlxtg,Slf7530,2.0,,R,145161.0
Warwick,United States of America,2.0,,,1-003-982-8627,Gcnczmuxviqaxtsdzmzhtro,WY,Century Aluminum,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,5.0,0.0,Cxuousxqyrfgjvpvuopyfguqva,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,W,Ujlshmosjkid,Cxu7531,3.0,519.0,O,263206.0
Milwaukee,United States of America,3.0,,F,1-136-358-6852,Rsoobsqytvjycob,British Columbia,,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,3.0,27.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,3397276.0,BIQIOQOHLQSTBRUFOI,D,cwburwnupuj,GZO7532,5.0,841.0,U,190371.0
Phoenix,United States of America,3.0,,A,1-123-528-2965,Pjvadgt,LA,FPL Group,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,1.0,95.0,DRWTVTDSG,2444257.0,Llfaqkbemnoy,U,CNEZMHTKIAEV,DRW7533,6.0,540.0,O,203968.0
Anchorage,United States of America,1.0,f,N,1-136-565-2501,GUBKOKITTSKVYM,HI,Lockheed Martin,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,3.0,35.0,setksinlvlrjwnfu,71520.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,U,kixvppuqtd,set7534,10.0,540.0,R,428323.0
Madison,United States of America,4.0,,,1-317-986-1984,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,NY,Sanmina-SCI,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,1.0,96.0,Pyoixliri,1911091.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,M,jrhynxfi,Pyo7535,6.0,,O,159980.0
Fontana,Canada,0.0,M,,1-265-603-1262,Kuteauo,TX,Iron Mountain,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,0.0,96.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,988775.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,W,dnhtjyu,FSH7536,6.0,424.0,O,266852.0
Charlotte,United States of America,5.0,,,,Hkfofpndygljbeo,AZ,OfficeMax,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,5.0,49.0,Tdxyljuxporjhdumcvfmv,3919363.0,,M,YKOVOTYB,Tdx7537,2.0,623.0,R,206973.0
Richmond,Canada,5.0,,O,1-156-668-6882,Kengxgsu,ME,AMR,XHQNMCEJKXOQYVSZVESLKC,1.0,,Sbnxcsrozzcufdoyvckpplofysx,428918.0,atydogjpqphuwhegtbukkqiaeakrtrn,S,WNNMWJ,Sbn7538,4.0,792.0,O,258221.0
Santa Clarita,United States of America,4.0,f,C,1-164-648-3203,Plywuoa,NH,Kohl's,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,4.0,27.0,Piqizouhxiw,58134.0,Hlotorcbtobuceb,S,Oktkljv,Piq7539,6.0,718.0,O,428508.0
Yellow Knife,,4.0,M,,1-839-795-1027,zfcwsxpjzyqelkxg,KY,Cigna,Toumjfbsumpgfuskpydjeibaxi,0.0,98.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,3703767.0,gsrdigbqfwrahybxrtm,M,,IXD7540,6.0,401.0,O,
Oxnard,United States of America,4.0,,,1-958-412-4252,Yxvczhqjwgnhowiu,Prince Edward Island,West,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,5.0,,wsnjomkxbtybfnmtcjhvmblfwamnwd,433859.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,M,GXFLSISZUY,wsn7541,2.0,557.0,R,58953.0
Huntington Beach,United States of America,5.0,M,A,1-392-335-1020,Grkknjyfgbhtyrhxzeaoeoyirwfa,British Columbia,Monsanto,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,5.0,56.0,Jkpmtcj,3002044.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,W,gzexcrngivl,Jkp7542,7.0,393.0,O,409682.0
Durham,United States of America,2.0,M,,1-912-050-7605,Vfrdst,CT,Reliant Energy,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,4.0,94.0,CCFFVCOHCLUUXZIQTCFCUHEYN,1124168.0,,M,yzoikhwrd,CCF7543,10.0,557.0,,340191.0
Naperville,United States of America,4.0,,,1-075-551-9919,Hqcswumjvwbemosmy,WA,Idearc,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,5.0,98.0,yljvuglvt,2081541.0,RELJYREDKQEKGOORBLRKOUIC,U,Gdbktega,ylj7544,5.0,465.0,O,238216.0
Albuquerque,Canada,0.0,F,V,1-013-611-2674,Ectbhkmbvwkwdbn,ND,Neiman Marcus,hkyochorqgtokxgozmoncalaaiw,1.0,8.0,ZBBXAWVJAAL,1897076.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,M,Kdcqzpvf,ZBB7545,6.0,,O,113171.0
Newark,United States of America,5.0,m,,1-656-865-7544,Bdbgqpllbnrmiirpct,ID,O'Reilly Automotive,Datdnghoiymltcayulgkgxywi,,90.0,fqekemquvstw,235172.0,Yewxbqpnfgh,W,Tbwgwtmgcu,fqe7546,10.0,485.0,,234797.0
Miami,United States of America,4.0,,,1-879-870-7379,Ftszluaxcsoxdfbmdd,Quebec,Cliffs Natural Resources,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,2.0,34.0,Wpwhilrlzng,639573.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,M,Mwmfs,Wpw7547,2.0,303.0,,225322.0
London,Canada,1.0,,,1-366-625-9813,Qrdnpjquwnixfocqhsrlkcxmelwijl,ID,Health Management Associates,,2.0,25.0,vpzxgcwljllsq,2667082.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,W,goelqgcts,vpz7548,4.0,846.0,O,192689.0
Worcester,Canada,5.0,,,1-359-462-7089,Kkiolpmrgzmnjanqc,AL,Chevron,,4.0,50.0,Yfzmtcvxc,2598634.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,ucwygjzs,Yfz7549,1.0,621.0,O,348685.0
Jacksonville,United States of America,3.0,,,,unzegilpp,UT,Exide Technologies,,4.0,85.0,douvwdwiwrxoivzaojazinrhswjv,1074671.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,D,fjlfqftwg,dou7550,,331.0,O,401229.0
Nashua,United States of America,5.0,M,,1-153-396-8333,xetqkitwlh,MS,Convergys,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,4.0,60.0,FDJOVRSOCWEIKZ,2272997.0,hfuyqlsmbesrylepu,M,Tocujgaiaq,FDJ7551,9.0,401.0,R,38597.0
Newport News,United States of America,2.0,,,1-144-623-1308,TWRRGULRYKYUWZYBQQFMIFFKVK,AK,Dominion Resources,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,2.0,95.0,ufutrfkevxnbupjcetrpltw,702000.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,S,kurjmmgixxfd,ufu7552,0.0,644.0,R,
Corona,United States of America,4.0,m,H,1-269-220-8046,Yqfljvgkfucafpjpamdtcppiipc,VT,Sentry Insurance Group,NBSHKLXYVUUWXEQSGXR,1.0,8.0,bbgzmquoeecumw,1289800.0,qgjnvpwvmgsqzcanzncon,M,cnsavindoi,bbg7553,5.0,769.0,R,161204.0
Lincoln,,3.0,f,v,1-052-524-0130,mjeasoritwctufyojamzbeeoo,LA,Cintas,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,4.0,31.0,Znkkdbkvxcxeuackyodqlkpl,1007390.0,HNBGLUDIOAJRCCIXGDUQOO,M,MQBSAUVQRPYE,Znk7554,2.0,481.0,O,202650.0
Toronto,Canada,1.0,F,T,1-335-871-6660,Udxaujgiratgthwkvdibgvwfo,CT,Medtronic,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,2.0,51.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,124290.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,U,vadbnvz,CGQ7555,7.0,732.0,O,
Fayetteville,United States of America,4.0,,,1-637-394-8083,GHFUKZPOKMXWZF,UT,Pride International,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,4.0,24.0,addxtssyhezwro,1820002.0,dnlleihfh,M,Ljurvnigr,add7556,2.0,802.0,O,492433.0
Charlotte,Canada,2.0,,J,1-706-795-4208,ybtkiifyhbgchnuctnhnqspk,IN,A. Schulman,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,4.0,78.0,Anwyusqezrjppzkaevffwljm,2200347.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,M,BQDMQVFTNBRJ,Anw7557,5.0,329.0,O,344858.0
Tulsa,United States of America,5.0,m,,1-622-347-5699,Fhkymmgjsbmpduuffgavhfcxm,WI,Oneok,nqcozjievwzk,0.0,56.0,Hvtanebvipbdd,3669569.0,Wsjaujjdexc,W,jkcul,Hvt7558,0.0,839.0,R,197290.0
Winston-Salem,United States of America,2.0,,d,1-042-017-9368,DEZDTMSMWKALBRPALCFIME,WA,Danaher,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,,50.0,Yqjaammjlhgpw,2140537.0,Ojberg,U,Nelny,Yqj7559,,539.0,,283654.0
Thousand Oaks,United States of America,4.0,F,,1-829-935-5979,phoxfeiqoldgmnojmzunmargkla,LA,Del Monte Foods,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,5.0,52.0,Ztnstwpjxatqveppicohpzilnn,3258909.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,M,Qsggz,Ztn7560,4.0,561.0,R,317423.0
Lubbock,United States of America,4.0,F,,1-076-726-5283,Upuabfflh,VT,American Electric Power,Lfrjkyblujmbxigmylpsxieswspmei,5.0,14.0,bnizllrrofn,1825422.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,W,Drofa,bni7561,2.0,814.0,O,399126.0
Winnipeg,United States of America,5.0,,,,owagfolbfwjzeg,CT,TJX,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,0.0,29.0,swxorhmdydwbrtdqxroghsddlpbdgi,1845263.0,Xwtkpxqgohxwxnv,M,Ssovhtmt,swx7562,7.0,305.0,R,398180.0
Laredo,United States of America,2.0,f,P,1-284-129-5920,Qdmppehqxloc,RI,Philip Morris International,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,4.0,50.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,1463114.0,Qpvmtkxxfef,S,Tnprhljfrlj,DSA7563,4.0,457.0,O,
Overland Park,United States of America,4.0,,,1-128-308-8886,jqbetxkci,SC,Cincinnati Financial,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,1.0,67.0,BXZUTWBUFSGPPXKR,2354683.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,U,Bkxujhonjgjk,BXZ7564,8.0,349.0,O,485429.0
Calgary,United States of America,2.0,,,1-145-469-5971,Wsmywgbvwspgdwhmdxsqjwqb,British Columbia,Stryker,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,0.0,22.0,pczqycbwefse,436677.0,KRYAIAJGKHBKXBLC,M,mrjrjhgnwcdu,pcz7565,0.0,590.0,O,118018.0
Peoria,United States of America,5.0,m,,1-727-684-7767,ocgwi,CO,Kansas City Southern,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,4.0,20.0,Zqaknviqngvemehvpzrcgkcvre,2383335.0,,U,Yusezkfgs,Zqa7566,0.0,533.0,O,309693.0
Durham,Canada,4.0,,z,1-776-201-2472,Pcotdnngmurhkcd,TN,IDT,IBQIDE,0.0,75.0,Htltlfnvjctvvdvulpkhcbyfi,2574739.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,W,RKXTQAO,Htl7567,9.0,686.0,O,90718.0
Pueblo,United States of America,2.0,F,L,1-767-942-1278,bvcosqzcleknjzvkygbawlc,CA,Vornado Realty Trust,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,0.0,60.0,afwafvxxdr,1596838.0,VBDCWYVK,U,UBQSATXZO,afw7568,10.0,582.0,O,280645.0
Las Cruces,United States of America,,,,1-723-062-7266,ECLENELTSXGTNWOP,WY,Dollar General,Lrebujnrg,4.0,,Wnakgzhqfhtavtvegjtdmdosnjr,591965.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,S,BHRNWQLFVFA,Wna7569,0.0,807.0,O,231559.0
Chula Vista,United States of America,3.0,,,,Xdwexmrjat,SD,Safeway,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,5.0,48.0,Mlheqxaigtvjaynkffyqkpu,3071440.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,S,Ktmzav,Mlh7570,3.0,819.0,O,36898.0
San Diego,United States of America,2.0,,,1-145-314-0862,xjwnvwdryqpcehelwzfhkkiuus,British Columbia,Apache,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,0.0,91.0,Gorjnqxjtefmomsbmtnogaerx,2683081.0,Gwxymofcy,M,Nfpchgfj,Gor7571,5.0,311.0,R,396786.0
Chicago,United States of America,2.0,f,,1-735-104-7772,RNBABCYAFMQPBOHXNUXMXNU,NJ,Lowe's,Hxutrprq,5.0,98.0,ENXOMNHFVPYQSABETPUEKRKCL,3850483.0,Qynjnmfgwxpmrw,U,Wuywecohosfi,ENX7572,3.0,734.0,O,344365.0
Worcester,United States of America,4.0,,,,Eyrtrqkljywvbcice,AK,Lithia Motors,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1.0,51.0,fgrdzzudzmwlluff,1870617.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,W,tibxlojrqiha,fgr7573,1.0,432.0,O,1205.0
Honolulu,United States of America,5.0,m,a,1-518-116-1411,Opybrukftspofebjmspkjsgtobzsp,OH,CH2M Hill,JRHXPUUHAFHDPF,0.0,22.0,Yshzkx,1249534.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,S,ogmes,Ysh7574,3.0,394.0,O,276666.0
Albuquerque,United States of America,0.0,,I,1-696-359-4829,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,New Brunswick,Tellabs,yvntcqjqqmbftwetvbqgclcdbxspvk,0.0,57.0,Mosqjrkdycyygfsljqadgfqoldb,3789880.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,U,JUBKXDKP,Mos7575,1.0,658.0,O,497953.0
