AgencyID,Phone,NumberCars,CreditRating,NumberChildren,FirstName,City,NetWorth,MiddleInitial,AddressLine2,Gender,LastName,AddressLine1,State,OwnOrRentFlag,PostalCode,Country,Income
d9l40,,1.0,453.0,3.0,Coaude,Mesa,1230615.0,I,Apf382,,dilk7e,1q237balk0ralway,RI,O,22335,United States of America,200185.0
vOL41,1 825 739 0336,1.0,371.0,1.0,AV4AR,Lwkewood,4739535.0,,,,sOLSON,831yGARvrNBRO8KNORTH,HI,O,V6C 1T4,United States of America,289215.0
Posr2,1 956 713 3802,1.0,316.0,2.0,Dogny,Clevelahd,3605483.0,,,,Posthkmus,2w49fliftonlower,VA,O,M6t 1h3,United States of America,322484.0
Max43,1 814 932 1579,2.0,461.0,3.0,Coxos,GdandRzpids,2421794.0,,,,Machikz,29o07NOTkNGHAMLOWER,OK,O,95263,United States of America,83458.0
cher4,1 135 443 7282,0.0,424.0,1.0,ruud,Peoriw,1837956.0,,,,ch4noweth,69qcarrolllowdr,Prince4d3ardjsland,R,v5b 1p5,United States of America,
holt5,1 720 975 0667,1.0,396.0,1.0,Belbia,Ibglewood,2432589.0,,,,holbgooks,q9267etatedrive,SD,O,32318,United States of America,492407.0
ofi46,1 871 598 3505,2.0,260.0,2.0,ATjAR,Akfon,1836170.0,,,f,pvieffer,i2u0LEAFSOUTH,OH,O,93872,United States of America,346630.0
2lk47,1 607 222 4809,2.0,484.0,1.0,Chereg,Charlk6tetown,2921594.0,Y,,,dlkington,185uwPERIM3TERBOULEVARs,MA,O,92824,Canada,9572.0
Lav48,1 965 046 0642,0.0,573.0,2.0,RAZ,Belledue,2024044.0,,,F,Lagenek,9512pzekstreamupper,MD,O,e4a 1r2,United States of America,265369.0
oaf49,1 155 441 3579,1.0,245.0,1.0,uishore,Dovdr,3444963.0,Y,,,lzf4rriere,2803ciearwztern0rth,Saskatcbewsn,U,H7G 1V4,United States of America,104172.0
Nkr50,,2.0,557.0,0.0,jelleke,Fullert8n,469605.0,I,,,Norhent,11103BIezONNETWEaT,WA,O,85039,United States of America,65550.0
hzg51,1 544 132 7237,3.0,469.0,3.0,s8bby,Dender,2025120.0,,,,hagat,4u52oitervqlelane,OH,R,v6m 1q3,Canada,
Bet42,1 821 089 2089,3.0,633.0,1.0,erichx,callas,3500382.0,,,m,vetcher,34wdumbarwest,WY,O,X7j 1r1,United States of America,
Vany3,1 135 391 9787,0.0,415.0,0.0,Jansog,SanJoxe,,,,m,Vxnder,161i6dernojdrive,NJ,O,B8b 1z5,United States of America,66244.0
OL54,1 776 182 6215,1.0,313.0,3.0,Dorotes,Bellwvue,1455553.0,,,F,OLEA5Y,22131dlintway,ND,U,t5d 1v4,United States of America,426954.0
qnd55,1 079 780 7761,3.0,475.0,3.0,xenice,SanBkenavegt8ra,2605053.0,,,m,ande5son,1164obwoticupper,NC,O,V6t 1r2,United States of America,126891.0
qta56,1 504 346 4393,2.0,442.0,1.0,nyron,StLouks,1370379.0,,,,sharks,20796doo8resrrive,WV,O,91177,Canada,454196.0
CHz57,1 985 538 4351,3.0,375.0,2.0,Bafby,Puwblo,4292392.0,,Ap6275,,CbASSE,144y9COMME3CEWEST,GA,R,T5c 1t1,United States of America,163940.0
xSI58,1 254 097 9398,,512.0,1.0,Ariells,5egina,2852863.0,,,R,sSING,22448hxmpr9nboulevard,Onta5io,O,35862,Canada,365213.0
ssk59,1 545 924 9552,1.0,369.0,0.0,ADEY,Sazkatoon,867251.0,,,f,zskins,7537perejingway,MA,U,96820,United States of America,428739.0
mik60,1 984 233 8818,2.0,401.0,0.0,GAtEL,Jzckson,4061576.0,K,,,Kikuga,11529adcanab0ulegxrd,CA,O,75238,United States of America,142444.0
Cha62,1 528 691 1642,0.0,375.0,2.0,Man,ctPeterxburg,1927234.0,,,F,fhane,1600windwlodnorth,SD,O,85769,United States of America,416168.0
KILu2,,2.0,465.0,1.0,Kla3a,xcottsdzle,826233.0,U,,m,KILLdN,22279grahetchroad,Saskztche1an,O,H5i 1o9,United States of America,291420.0
kinu3,1 171 807 8213,2.0,583.0,2.0,Andalla,Charloyte,4395922.0,,,f,kinle6,o82owesteast,RI,O,90849,United States of America,413501.0
MAL74,1 056 241 7009,4.0,448.0,,bal,aaterbury,3267928.0,,,,MsLAHER,5935mczfeeparu,NC,O,43644,United States of America,
Oduy5,1 389 414 0570,1.0,463.0,2.0,Romy,Chrsapexke,2287086.0,J,,,Odum,1w460CLwYTONqTREET,SD,O,99213,United States of America,419143.0
DI66,1 583 542 1656,0.0,496.0,2.0,KORAo,yialeah,2030243.0,,,,DININhO,2753rwd4ive,IL,O,72226,United States of America,155057.0
STU77,1 269 712 0672,1.0,503.0,0.0,YUKIH8KO,Charkesyon,3464839.0,K,,,STUBBoEFIEiD,6907F2RNCLIcFvRESCEN5,OR,O,V6Z 1Q9,United States of America,313859.0
uAM68,1 670 102 0463,3.0,444.0,1.0,Khahh,Saiem,212208.0,,,,tAMBALI,885vrosbylage,pntario,O,20082,United States of America,265907.0
LoB69,1 699 726 3895,,262.0,1.0,Darnelp,eacranento,2588820.0,,,m,LIBRqRIAN,2344malaniwect,FL,O,35827,Canada,283481.0
ogs70,1 640 666 2876,0.0,555.0,3.0,fe3idoun,SantaClsrota,2916394.0,,,M,ohsoge,2e870LACIENEGsq6REET,NM,R,99692,United States of America,200635.0
HUM61,1 540 639 1311,1.0,733.0,0.0,jagdy,Sheebrooue,2856596.0,O,APT243,,yUMMEL,84u8gre3nwvenue,NE,O,V6c 1q5,United States of America,434519.0
BRA7e,1 285 874 8492,1.0,584.0,0.0,jiri,ColoradoSp3ibfs,5375950.0,,,,BRqDD,22639purdjerue,MI,O,80158,United States of America,392315.0
Boa7r,1 121 904 0040,0.0,324.0,1.0,AILA,Berkeleu,2714832.0,X,,,Boardfr,w9202ansleypsru,NewBruhsaick,O,t6d 1b6,United States of America,493829.0
Mcm74,1 017 842 3201,1.0,289.0,1.0,gincenzo,Sanhusnaventjra,3404596.0,,,,Mcnaliy,113w8devonshirefue,NJ,O,33120,United States of America,97489.0
nAR75,1 215 859 3206,2.0,449.0,1.0,hinnnie,Newgaven,1995498.0,,,F,nARKOVICH,23y5rdeerwoodpark,ND,O,99742,United States of America,
Wil7t,1 764 520 7470,0.0,613.0,1.0,alf0nzo,Sgredeport,2250193.0,,,f,Wiloekes,4855uniohjorth,Saskatfhe1an,O,V6N 1T1,United States of America,383046.0
Dez77,1 414 130 0162,2.0,509.0,4.0,Swagdi,Lqnsing,3485655.0,S,,m,Dfacetis,9r6ySHADOqBRIARWEST,KS,,44104,United States of America,1190.0
Hou88,1 970 240 9990,2.0,337.0,1.0,Anya,Psmbroke0ines,823158.0,,,,Houk,3504genwncyavenue,SD,O,14605,United States of America,85733.0
Goy78,1 408 684 6459,2.0,,2.0,Enrikz,Pqlmdale,3747919.0,,,,Goywtte,7281nortulandlose5,FL,R,80076,Canada,387890.0
kok80,1 330 353 5908,2.0,324.0,0.0,SONmA,Savqnnah,,Z,,f,Mokfyng,12481hsydenl9der,Sasiatchdwan,O,V6I 1V6,United States of America,16808.0
Run82,1 766 726 2675,,422.0,2.0,Liem,Amar9llo,3318777.0,I,,,Ruhdle,q328g3acieavemue,FL,,97307,United States of America,304589.0
BEL92,1 938 425 7509,1.0,466.0,1.0,COLLETTs,Anchorqge,3620749.0,,,o,BEkLEY,5i37campbeplstreet,UT,R,46237,United States of America,48506.0
BAE84,1 527 308 8874,1.0,472.0,0.0,S9AMACK,Lokisdille,1092640.0,Y,,,BAER,w401stratmirelowef,WY,O,V6B 1S6,United States of America,
MsU84,1 810 590 0635,0.0,454.0,2.0,Toshihito,Hilo,2201650.0,,,f,MAULDIh,114y7JUNIPERxREqCENT,NH,O,H2d 1x1,United States of America,358862.0
Koo95,1 274 548 2512,2.0,337.0,3.0,Cacey,Sudbuey,2725588.0,,,,Koohgolu,w9q24YAUPONBOULEVARw,AR,O,95108,United States of America,477614.0
kau86,1 649 754 4601,0.0,561.0,1.0,Daryb,lrlando,1964441.0,,,,Laudiston,77854uskboulfvqrd,CT,O,80050,United States of America,175414.0
nan87,1 905 932 1785,2.0,364.0,2.0,Adrianga,Missouka,4305349.0,L,,F,Mangjm,18902cabtrdllupper,VT,O,90122,Canada,427598.0
PIf88,1 031 004 7697,2.0,472.0,3.0,Corgney,Abiiene,4187431.0,,,,PIERC5,23w41brolksideu9per,Manit8ba,O,43614,United States of America,368207.0
Bis89,1 994 812 4796,0.0,311.0,1.0,Dusne,Sqskatoon,2040572.0,,,M,Busxaglia,20t94RlSSWEST,NJ,O,61110,United States of America,449944.0
BABi0,1 176 513 4041,2.0,504.0,2.0,Tele,Irv9ne,4410819.0,,,,BwBIONE,17r52SAVANmAHNORgH,KY,U,70174,United States of America,166247.0
Bu591,1 072 244 6337,1.0,325.0,2.0,Olhelia,Reno,3195247.0,,APTr73,M,Bufkard,5462pacwc4escent,GA,O,90324,United States of America,391165.0
K9n92,1 924 669 9328,1.0,548.0,0.0,korine,Sacrajejto,,,,,K7nsella,72y1tallowoodupler,NJ,R,s7d 1n1,United States of America,165854.0
POn93,1 598 488 3541,2.0,585.0,2.0,Viope,Topeia,,,,,POMhAINVILiE,4489silversxgewedt,SC,O,93829,United States of America,326181.0
BOq94,1 295 539 3868,2.0,506.0,,Nani,RanchoCucxmoggw,1998588.0,,,M,BOA5WdIGHT,13482gaydenlower,TN,O,89116,United States of America,173387.0
gon95,1 554 020 0267,1.0,281.0,3.0,sherey,Hilo,1674336.0,R,,,Ronapd,1321035DDRIdE,WY,R,94315,United States of America,301127.0
wej96,1 793 621 4566,4.0,465.0,1.0,Rfdgie,SsintJohn,3974639.0,A,,,wfihs,8899starlinfkxne,Ontar8o,R,T5b 1u9,United States of America,487230.0
H4l97,1 787 267 4261,1.0,329.0,1.0,Yoisef,gorrance,3883209.0,P,,M,melpb,1q48pfennelsoutn,DC,R,T6b 1a5,Canada,425747.0
mlg98,1 668 247 1597,2.0,450.0,2.0,Damarus,SanfaClwra,1057543.0,,,m,noghe,7266dhergyu0per,Alferta,O,60699,United States of America,401946.0
bos99,1 901 346 8890,0.0,251.0,2.0,Ilysqa,Torranc4,3093069.0,,,,bozic3bich,q0678ENGLEqOiDWEST,ME,O,V6p 1s8,United States of America,425422.0
Zah109,1 451 273 3803,0.0,497.0,0.0,Mocelle,Sfockton,3200617.0,R,,,Zzhsrychuk,211811NDRyE,MA,O,v6i 1p1,United States of America,208890.0
Anr101,1 129 499 9136,1.0,412.0,0.0,Duldea,Patersog,2095863.0,,,F,And3ic,12o63hanoverfoad,NV,O,79423,United States of America,67880.0
fam102,1 899 319 0772,0.0,274.0,1.0,Lundsie,Mesa,2687172.0,L,,,Bamvo,8268clofbbrolkboulevarv,WA,O,H5j 1o6,Canada,133412.0
fro10e,1 053 396 0441,2.0,386.0,1.0,KEzLEY,Ajchorage,1551490.0,,,,grondozo,5218m9ntvieacourt,WY,O,93761,United States of America,144829.0
Carw04,1 239 665 9540,0.0,357.0,1.0,LAiREL,jiami,3381248.0,J,,,Cafon,174424xllowoofupper,NJ,U,76150,United States of America,
muc1p5,1 605 888 3403,1.0,346.0,2.0,Steeb,GddatFalls,563056.0,V,,f,muchpw,4o38WEDGEWOODSTfE2T,LA,O,99717,Canada,143682.0
gat1o6,1 630 604 2543,2.0,403.0,4.0,noel,Erie,1957606.0,,,,gzteau,20334anaconfaavejie,TX,O,60608,United States of America,350020.0
Schq07,1 851 862 7928,2.0,498.0,,Trzcey,Holiywood,2787728.0,M,,F,Scbaefer,53o56oungwest,SC,O,v6w 1u4,United States of America,435103.0
pom1o8,1 065 415 5724,4.0,202.0,0.0,zarajane,Tulsx,3186690.0,,,,p9merleau,2747SINfLAIdLAmE,TX,R,T5b 1t6,United States of America,207768.0
duc109,1 408 512 1007,0.0,376.0,0.0,Geoffre7,Tucs8n,4159796.0,K,,F,cuvuzzellx,8622BROWbWsYPARo,MN,O,23298,United States of America,407512.0
SUG119,1 083 902 4184,1.0,491.0,0.0,lorakyn,Anvhorage,2727363.0,Z,,q,SUGARMxN,18o47GREENNO3TH,ID,O,32803,United States of America,403366.0
Pfp111,1 568 403 7081,2.0,330.0,0.0,sndrei,Sqndy,1966785.0,,,,Pepe,w8994cohnhryboulfvard,MI,O,64122,Canada,384095.0
Cna112,1 824 389 0618,0.0,491.0,,yavad,Bosron,2774328.0,,SUI4E7,f,Chandraxh4kar,1y063ashlagdroaw,OK,,T6b 1h2,United States of America,288969.0
aEI113,1 174 210 2058,2.0,537.0,1.0,jarna,Vancouved,4250093.0,U,Apt9i1,m,SdIFERS,29309ncfarlibnorth,UT,O,22222,United States of America,233665.0
yAR114,1 425 503 7952,3.0,444.0,3.0,Jocelyj,Akrpn,4453420.0,S,,F,GwRTLEY,2444cliffbrkikwest,PA,U,T6a 1d2,Canada,147236.0
Touw15,1 012 389 9089,1.0,358.0,0.0,flvera,Lancawter,1590718.0,,,M,Toichette,q5855syrandwest,N2wBr7nswick,O,v5d 1n9,United States of America,452557.0
Kue116,1 909 472 6704,1.0,600.0,3.0,bessy,Clncord,,V,,M,Kurdzieo,13yy6eastboilevard,UT,R,23321,United States of America,179305.0
He4117,1 622 167 5411,2.0,675.0,1.0,lona,Checapeakr,4784345.0,,,,Heeod,105u0WEIZMANNL81ER,VA,O,90505,Canada,205817.0
MCVq18,1 164 511 9338,,350.0,1.0,RHEA,Fllnt,3214454.0,P,,,MCVIfAR,15278walny5hkllroad,NH,O,19066,United States of America,262711.0
LABq19,1 804 532 9163,3.0,373.0,2.0,Jodefa,shattanoora,158251.0,,,F,LwBFIVE,23007WAKEFOgESfWAg,VT,O,v6s 1r3,Canada,84810.0
bjt120,1 197 370 0297,1.0,616.0,1.0,alikfe,Billingd,3964682.0,,,,butfa,9098rivaswa6,FL,O,78769,United States of America,96441.0
oro121,1 337 042 5687,2.0,479.0,2.0,dolo4ita,Scottcrale,3120256.0,,,m,Projectd,18up8ullrjchroad,NC,O,53769,United States of America,462762.0
Irc112,1 056 138 5321,2.0,564.0,0.0,Maripyn,Osgawa,1031799.0,,,,Irc,18517jkLdNLOWER,VA,O,H7E 1U6,United States of America,141890.0
Ziv223,1 776 191 2031,3.0,425.0,1.0,robertspn,Napervuple,,G,,,Zivkovoc,11474coddlaje,DC,O,e7o 1k1,Canada,156610.0
skm124,1 280 696 2706,0.0,246.0,3.0,Ilsa,Txmpa,4178687.0,H,,,simqer,9375w9idsouth,NC,R,90374,United States of America,164752.0
keiq25,1 857 581 6346,2.0,389.0,0.0,Pen,Jqckson,4007600.0,I,,,keif4r,20479wjceavenuw,MS,O,63169,United States of America,278949.0
arvq26,,1.0,245.0,1.0,sUBRETTE,HayRivee,1941279.0,P,,f,qrvin,19918ROG2RSNltTH,SC,O,16515,United States of America,
9ra127,1 716 343 0884,1.0,346.0,1.0,Cole,lrvine,3648922.0,,,F,0raeuner,9384coffeykow2r,KS,O,85309,United States of America,463736.0
lue127,1 101 776 2496,1.0,217.0,2.0,liva,krahoFalls,3352768.0,C,,m,lue,2929nkrthcreqxent,VT,O,92158,United States of America,
Pez129,1 769 028 0589,1.0,374.0,3.0,Ayaz,jorejoValley,2186087.0,,,f,P3zybycoen,1t404que3nshreet,IL,O,33152,United States of America,86667.0
pen1r0,1 005 833 8970,2.0,534.0,1.0,Y2TTY,Ontarik,1848020.0,J,,f,penn,1619greenspojhtriad,FL,O,83729,United States of America,193470.0
Gua13q,1 884 215 4243,1.0,336.0,1.0,Marymicheild,Concoed,344583.0,S,,,Guay,2147iWARREmPA5K,MI,R,B8b 1z6,United States of America,406379.0
bre133,,1.0,230.0,3.0,agretya,Ph8enix,2236075.0,,,F,brengand,6502ROvBINaSTREET,Nrwfoundlahd,U,53717,Canada,480595.0
Sav233,1 725 177 7815,2.0,551.0,2.0,L8TTY,CoralSorjngs,2107436.0,X,,f,Savant,395ofLENLOCmBOULdVARD,ME,O,t5c 1w7,United States of America,181718.0
wBB134,1 277 496 5396,1.0,390.0,0.0,Kasse6,Oxnars,,Z,,,ABBATAN6UONk,13640ethrirheloqer,AL,O,37245,United States of America,468310.0
OP13r,1 756 463 2201,0.0,251.0,1.0,zdria,Browjsvilld,2332099.0,N,,M,OP,3p81lmperjallower,IN,O,94401,United States of America,354987.0
Mer13t,1 261 338 7463,1.0,372.0,2.0,audivlx,Memphos,3126942.0,,,,Me4singer,132203rvdrive,NH,O,B8a 1y3,Canada,284539.0
rut1w7,1 811 086 4675,1.0,288.0,1.0,SUE,Fling,3509869.0,,,F,rutt,9207THROCKnORTlNSOjTH,DC,O,t6b 1k2,United States of America,213725.0
fem138,1 338 771 1185,2.0,239.0,2.0,Lorejza,Lafauette,563986.0,I,,,brmis,8935YOUNtUPPE5,DC,O,85306,United States of America,74195.0
Peg139,1 554 231 5318,1.0,,2.0,Enzo,Gdeensvoro,2756390.0,,,,Penn7ngron,e797RiTGEeSPARK,MD,O,V6R 1R7,United States of America,169295.0
hor140,1 733 886 5227,1.0,317.0,1.0,claudinw,qyerl7ngHeights,2235238.0,Y,,M,rorok,8wo54akarindcrescent,PrihceEd3aedIsland,R,68513,United States of America,307832.0
law14q,1 267 357 1943,4.0,,3.0,Otha,CostaM4sa,554309.0,L,,m,iawlis,20025roughc4sscent,MD,O,v6n 1v9,United States of America,20397.0
Be3142,1 602 756 7919,1.0,433.0,2.0,Ridie,Houstog,2945386.0,D,Suite3i7,m,neebe,4144LAoEoARKLAbE,NewBfunswicl,O,83702,United States of America,463094.0
sdh143,1 793 864 7010,2.0,368.0,3.0,DULC4,Baoerafield,3632900.0,,,m,schlanhe,3e75sakowitsland,HI,O,80125,United States of America,331900.0
Wit145,1 637 020 2921,2.0,559.0,2.0,Win,Chezapewke,2205272.0,,,,Witfhlow,7255bedrywaj,ND,U,M5G 1Y7,United States of America,8421.0
ME3145,1 428 797 6325,2.0,363.0,1.0,Roswlin,Sxndy,1140259.0,Q,,F,MEREDkTH,31313ATHANSlUTu,Novawc9tia,,80213,United States of America,35780.0
biw146,1 011 549 5618,2.0,436.0,0.0,Malanle,Lewiwton,4488894.0,,,m,bialjemius,19540RYANNORTH,ME,R,60737,United States of America,139897.0
cwi147,1 993 255 5481,2.0,287.0,1.0,TAR5N,Elizaveth,1741005.0,P,SUITE474,m,Saiat,13e22glenlichrowd,Alherta,O,90510,United States of America,414119.0
bil148,1 487 749 4448,1.0,197.0,1.0,MALsNA,Suebury,,,,,bulpinger,788pMU4RAYWAY,VT,O,92882,United States of America,234035.0
TYR148,1 192 352 2184,0.0,540.0,2.0,Dor9e,Ausrin,4196558.0,,,F,gYRRELL,7527whaleetive,DE,O,98121,Canada,144405.0
Fyf15p,1 293 442 4224,1.0,202.0,3.0,Luese,Szlinas,1139301.0,,,,Fyfe,17y88eqgletracelark,MA,R,H2e 1x9,United States of America,55441.0
Sic251,1 078 502 6700,1.0,341.0,3.0,tele,Pworia,1809979.0,,,,Sicxrd,766wGRANTWzY,CA,O,23503,United States of America,392869.0
CAd152,1 430 909 3001,2.0,475.0,2.0,actra,aydney,1649492.0,,,F,CAST4N,4806crhstwlhillssyrdet,Majitoba,O,40208,United States of America,402416.0
Cho1r3,1 392 455 0895,3.0,473.0,1.0,marnis,SqjAntonio,2845362.0,S,,,Choy,421qWIpLSNORTH,TN,O,75201,United States of America,89984.0
CHA1r4,1 273 921 9787,2.0,405.0,1.0,AMY,OkiabomaCity,1026729.0,,,,CHsCKO,7524kinnervnorth,FL,O,93852,United States of America,395773.0
gei155,1 012 993 4538,1.0,,1.0,HAMILTOm,Mizmi,4747772.0,E,,f,beil,14266lemmknvsoith,CA,R,32312,United States of America,126662.0
Eoe156,1 890 859 4211,1.0,377.0,1.0,Khldip,jonkers,2784401.0,J,,m,Elrfthfriou,1428ADDzXLANE,CO,O,90059,United States of America,132008.0
og156,1 080 032 3031,1.0,472.0,4.0,krydtalle,Colunbia,3118972.0,,,F,ograd6,1y25f2rnandoclurt,qaskatchewab,O,77006,United States of America,417218.0
Kst158,1 561 620 7173,1.0,390.0,1.0,Stflla,Lubbocj,1876777.0,,,,Kafchmar,335florestanprhm,UT,O,23224,United States of America,360063.0
iui159,1 017 439 0362,1.0,306.0,2.0,Madiejisee,Chat5an9oga,3244979.0,O,,,Luin,22806garaonwadt,ME,O,10055,United States of America,100516.0
Kia160,1 248 539 6621,2.0,442.0,2.0,Nasjib,Fzrgo,2642070.0,,,f,Klavkalgs,5524vwrmacks5rert,NH,O,35830,United States of America,16814.0
Br6161,1 611 789 5569,1.0,263.0,3.0,Ahnette,Omaua,2078577.0,Z,,,grunsting,18105ekedtras6reet,VA,U,v6m 1s9,United States of America,
Aptq62,1 023 151 8130,1.0,388.0,1.0,LENA,Yonk4rs,610308.0,Q,,,Apt4r,719h9lmanfourt,TX,O,22304,United States of America,315962.0
