NumberChildren,LastName,MiddleInitial,CreditRating,Employer,PostalCode,Phone,Age,AddressLine1,State,MaritalStatus,NumberCreditCards,NumberCars,City,AgencyID,Income,AddressLine2,Country,FirstName,NetWorth,Gender,OwnOrRentFlag
3.0,Atchison,R,710.0,UAL,16506,1-171-989-1363,47.0,16264 sanders east,MN,U,5.0,5.0,Nashua,Atc31,108085.0,,United States of America,Oue,408941.0,,O
1.0,Plamondon,X,380.0,Charles Schwab,94383,1-042-705-3246,47.0,16068 cantey way,WY,M,9.0,2.0,San Jose,Pla32,260185.0,,United States of America,wallie,362523.0,m,O
0.0,SELCHOW,E,796.0,Coach,T6d 1b3,1-098-328-2026,9.0,21170 EDLOE BOULEVARD,NY,M,2.0,0.0,Nashua,SEL33,258323.0,,United States of America,Andromache,2102359.0,F,R
3.0,shane,Z,818.0,DaVita,25339,1-209-754-5635,85.0,885 CROSBY LANE,SC,M,2.0,1.0,Fort Smith,sha34,79476.0,,United States of America,THOR,3480265.0,f,U
3.0,MERWIN,,766.0,Marshall & Ilsley Corp.,V6o 1v4,1-498-781-3456,81.0,12235 jay street,MS,M,3.0,5.0,Lancaster,MER35,102156.0,,United States of America,SALAH,3648900.0,,U
3.0,conrad,,359.0,Cablevision Systems,01852,1-615-241-0440,0.0,20340 LOMBARD CRESCENT,UT,M,2.0,2.0,Colorado Springs,con36,221481.0,,United States of America,HOR-LAM,1161790.0,,O
5.0,onsiteteam,,401.0,Barnes & Noble,78230,1-995-449-5200,28.0,22074 dexter upper,PA,S,2.0,1.0,Washington,ons37,41836.0,,United States of America,Vania,2050587.0,M,R
1.0,Summerlin,,609.0,EMC,93770,1-295-673-4452,65.0,1540 MURIE RUE,OK,U,0.0,1.0,Lowell,Sum38,72389.0,,Canada,Niel,3579198.0,M,O
0.0,grooms,F,630.0,Fluor,m4l 1n4,1-914-675-2986,20.0,7075 glen loch drive,WY,S,2.0,3.0,Frederick,gro39,66486.0,,United States of America,ziad,889494.0,,O
1.0,dilkie,I,671.0,Dollar General,22335,,55.0,11237 balmoral way,RI,M,9.0,3.0,Mesa,dil40,200185.0,Apt. 382,United States of America,Claude,2205682.0,,O
2.0,DOLSON,,715.0,Lear,V6C 1T4,1-825-739-0336,76.0,8316 GARDEN BROOK NORTH,HI,U,10.0,0.0,Lakewood,DOL41,289215.0,,United States of America,AVTAR,1140117.0,,O
1.0,Posthumus,,707.0,J.P. Morgan Chase & Co.,M6t 1h3,1-956-713-3802,1.0,2240 clifton lower,VA,M,9.0,4.0,Cleveland,Pos42,322484.0,,United States of America,Donny,1421319.0,,O
2.0,Machika,,329.0,Affinia Group Intermediate,95263,1-814-932-1579,3.0,20907 NOTINGHAM LOWER,OK,M,0.0,4.0,Grand Rapids,Mac43,83458.0,,United States of America,Cocos,3525204.0,,O
3.0,chenoweth,,601.0,,v5b 1p5,1-135-443-7282,100.0,601 carroll lower,Prince Edward Island,D,8.0,0.0,Peoria,che44,,,United States of America,ruud,468976.0,,R
1.0,holbrooks,,623.0,Goldman Sachs Group,32318,1-720-975-0667,81.0,18267 state drive,SD,W,2.0,5.0,Inglewood,hol45,492407.0,,United States of America,Belvia,1685443.0,,O
4.0,pfieffer,,376.0,E*Trade Financial,93872,1-871-598-3505,76.0,9270 LEAF SOUTH,OH,S,2.0,4.0,Akron,pfi46,346630.0,,United States of America,ATHAR,337564.0,f,O
3.0,elkington,Y,560.0,Pfizer,92824,1-607-222-4809,51.0,18582 PERIMETER BOULEVARD,MA,W,0.0,1.0,Charlottetown,elk47,9572.0,,Canada,Cherey,84777.0,,O
5.0,Labenek,,693.0,Safeway,e4a 1r2,1-965-046-0642,,9612 park stream upper,MD,,4.0,1.0,Bellevue,Lab48,265369.0,,United States of America,RAZ,3146477.0,F,O
2.0,laferriere,Y,346.0,Simon Property Group,H7G 1V4,1-155-441-3579,58.0,2803 clearwater north,Saskatchewan,S,0.0,1.0,Dover,laf49,104172.0,,United States of America,kishore,495277.0,,U
3.0,Norment,I,342.0,Trinity Industries,85039,,52.0,11103 BISSONNET WEST,WA,M,0.0,0.0,Fullerton,Nor50,65550.0,,United States of America,Nelleke,746904.0,,O
0.0,hagar,,563.0,Solutia,v6m 1q3,1-544-132-7237,91.0,4652 outervale lane,OH,M,8.0,2.0,Denver,hag51,,,Canada,sibby,1219620.0,,R
3.0,Betcher,,391.0,,X7j 1r1,1-821-089-2089,17.0,341 dunbar west,WY,M,4.0,2.0,Dallas,Bet52,,,United States of America,ericha,1718910.0,m,O
4.0,Van der,,381.0,A.O. Smith,B8b 1z5,1-135-391-9787,6.0,16176 vernon drive,NJ,S,8.0,4.0,San Jose,Van53,66244.0,,United States of America,Janson,,m,O
3.0,O'LEARY,,539.0,AptarGroup,t5d 1v4,1-776-182-6215,89.0,23131 clint way,ND,S,9.0,0.0,Bellevue,O'L54,426954.0,,United States of America,Dorotea,2636424.0,F,U
4.0,anderson,,497.0,Coca-Cola,V6t 1r2,1-079-780-7761,99.0,11640 baltic upper,NC,M,0.0,5.0,San Buenaventura,and55,126891.0,,United States of America,Denice,1326305.0,m,O
2.0,starks,,661.0,Kimberly-Clark,91177,1-504-346-4393,77.0,20796 dolores drive,WV,M,,4.0,St. Louis,sta56,454196.0,,Canada,Myron,2241997.0,,O
3.0,CHASSE,,558.0,Visteon,T5c 1t1,1-985-538-4351,,14359 COMMERCE WEST,GA,S,0.0,5.0,Pueblo,CHA57,163940.0,Apt. 275,United States of America,Barby,1542891.0,,R
1.0,ASING,,534.0,TECO Energy,35862,1-254-097-9398,90.0,21448 hampton boulevard,Ontario,W,,,Regina,ASI58,365213.0,,Canada,Ariella,797918.0,R,O
0.0,askins,,373.0,Bemis,96820,1-545-924-9552,82.0,7637 pershing way,MA,M,6.0,0.0,Saskatoon,ask59,428739.0,,United States of America,ADEY,347654.0,f,U
0.0,Kikuta,K,382.0,Wyeth,75238,1-984-233-8818,,11529 arcana boulevard,CA,M,8.0,4.0,Jackson,Kik60,142444.0,,United States of America,GAYEL,2456397.0,,O
3.0,Chane,,475.0,United Technologies,85769,1-528-691-1642,15.0,2700 windwood north,SD,S,10.0,3.0,St. Petersburg,Cha61,416168.0,,United States of America,Man,1284229.0,F,O
0.0,KILLEN,U,539.0,Clorox,H5i 1o9,,,22279 gramercy road,Saskatchewan,D,3.0,2.0,Scottsdale,KIL62,291420.0,,United States of America,Klara,618787.0,m,O
5.0,kinley,,711.0,Discovery Communications,90849,1-171-807-8213,96.0,9828 west east,RI,M,6.0,4.0,Charlotte,kin63,413501.0,,United States of America,Abdalla,1171606.0,f,O
,MALAHER,,606.0,Williams-Sonoma,43644,1-056-241-7009,38.0,5935 mcafee park,NC,M,1.0,4.0,Waterbury,MAL64,,,United States of America,bal,3983261.0,,O
3.0,Odum,J,494.0,Manitowoc,99213,1-389-414-0570,10.0,12460 CLAYTON STREET,SD,W,0.0,3.0,Chesapeake,Odu65,419143.0,,United States of America,Romy,2328568.0,,O
5.0,DI NINNO,,309.0,Henry Schein,72226,1-583-542-1656,72.0,275 3rd drive,IL,M,3.0,1.0,Hialeah,DI 66,155057.0,,United States of America,KORAL,2078600.0,,O
5.0,STUBBLEFIELD,K,630.0,Trinity Industries,V6Z 1Q9,1-269-712-0672,97.0,6907 FERNCLIFF CRESCENT,OR,M,3.0,2.0,Charleston,STU67,313859.0,,United States of America,YUKIHIKO,2986155.0,,O
1.0,HAMBALI,,330.0,Pepsi Bottling,20082,1-670-102-0463,48.0,885 crosby lane,Ontario,S,10.0,4.0,Salem,HAM68,265907.0,,United States of America,Khanh,1864039.0,,O
0.0,LIBRARIAN,,710.0,UGI,35827,1-699-726-3895,97.0,2344 kalani west,FL,S,9.0,,Sacramento,LIB69,283481.0,,Canada,Darnell,1293721.0,m,O
0.0,ohsone,,475.0,Greif,99692,1-640-666-2876,73.0,22870 LA CIENEGA STREET,NM,M,7.0,4.0,Santa Clarita,ohs70,200635.0,,United States of America,feridoun,3850114.0,M,R
1.0,HUMMEL,O,596.0,Equifax,V6c 1q5,1-540-639-1311,71.0,8478 green avenue,NE,U,3.0,0.0,Sherbrooke,HUM71,434519.0,APT. 143,United States of America,Magdy,1618743.0,,O
1.0,BRADD,,670.0,,80158,1-285-874-8492,93.0,23639 purdue rue,MI,W,9.0,5.0,Colorado Springs,BRA72,392315.0,,United States of America,jiri,3383487.0,,O
3.0,Boarder,X,722.0,Freescale Semiconductor,t6d 1b6,1-121-904-0040,53.0,19202 ansley park,New Brunswick,U,,5.0,Berkeley,Boa73,493829.0,,United States of America,AILA,2981876.0,,O
2.0,Mcnally,,587.0,Aleris International,33120,1-017-842-3201,32.0,11319 devonshire rue,NJ,U,7.0,3.0,San Buenaventura,Mcn74,97489.0,,United States of America,Vincenzo,2109339.0,,O
3.0,MARKOVICH,,609.0,,99742,1-215-859-3206,1.0,23665 deerwood park,ND,S,4.0,4.0,New Haven,MAR75,,,United States of America,Minnnie,791803.0,F,O
1.0,Willekes,,401.0,World Fuel Services,V6N 1T1,1-764-520-7470,39.0,4855 union north,Saskatchewan,S,7.0,0.0,Shreveport,Wil76,383046.0,,United States of America,alfonzo,3523678.0,f,O
0.0,Deacetis,S,335.0,R.R. Donnelley & Sons,44104,1-414-130-0162,77.0,9466 SHADOWBRIAR WEST,KS,M,0.0,4.0,Lansing,Dea77,1190.0,,United States of America,Swandi,1681902.0,m,
5.0,Houk,,569.0,Brinker International,14605,1-970-240-9990,18.0,3504 regency avenue,SD,U,7.0,5.0,Pembroke Pines,Hou78,85733.0,,United States of America,Anya,3851455.0,,O
2.0,Goyette,,,Temple-Inland,80076,1-408-684-6459,70.0,7281 northland lower,FL,M,9.0,0.0,Palmdale,Goy79,387890.0,,Canada,Enrika,2339382.0,,R
0.0,Mok-fung,Z,679.0,Psychiatric Solutions,V6I 1V6,1-330-353-5908,26.0,12481 hayden lower,Saskatchewan,S,7.0,2.0,Savannah,Mok80,16808.0,,United States of America,SONJA,,f,O
4.0,Rundle,I,356.0,Nash-Finch,97307,1-766-726-2675,,2328 gracie avenue,FL,M,10.0,,Amarillo,Run81,304589.0,,United States of America,Liem,2065016.0,,
5.0,BELLEY,,308.0,AMR,46237,1-938-425-7509,58.0,4737 campbell street,UT,S,9.0,2.0,Anchorage,BEL82,48506.0,,United States of America,COLLETTE,2454049.0,o,R
4.0,BAER,Y,412.0,Spartan Stores,V6B 1S6,1-527-308-8874,43.0,2401 stratmore lower,WY,M,4.0,0.0,Louisville,BAE83,,,United States of America,SIAMACK,2423395.0,,O
3.0,MAULDIN,,618.0,Cigna,H2d 1x1,1-810-590-0635,65.0,21477 JUNIPER CRESCENT,NH,D,4.0,2.0,Hilo,MAU84,358862.0,,United States of America,Toshihiro,1342045.0,f,O
3.0,Koohgoli,,429.0,General Cable,95108,1-274-548-2512,24.0,19214 YAUPON BOULEVARD,AR,S,5.0,5.0,Sudbury,Koo85,477614.0,,United States of America,Casey,861756.0,,O
1.0,Lauriston,,819.0,Dun & Bradstreet,80050,1-649-754-4601,79.0,7785 rusk boulevard,CT,S,3.0,3.0,Orlando,Lau86,175414.0,,United States of America,Daryn,1215349.0,,O
1.0,Mangum,L,552.0,Casey's General Stores,90122,1-905-932-1785,48.0,18002 cantrell upper,VT,M,7.0,0.0,Missoula,Man87,427598.0,,Canada,Adrianna,3981554.0,F,O
4.0,PIERCY,,587.0,Jack in the Box,43614,1-031-004-7697,69.0,23341 brookside upper,Manitoba,S,9.0,0.0,Abilene,PIE88,368207.0,,United States of America,Cortney,3865937.0,,O
1.0,Buscaglia,,304.0,Assurant,61110,1-994-812-4796,91.0,20494 ROSS WEST,NJ,S,6.0,3.0,Saskatoon,Bus89,449944.0,,United States of America,Duane,2804700.0,M,O
5.0,BABIONE,,795.0,Psychiatric Solutions,70174,1-176-513-4041,75.0,17552 SAVANNAH NORTH,KY,,4.0,5.0,Irvine,BAB90,166247.0,,United States of America,Tele,3283558.0,,U
3.0,Burkard,,830.0,Danaher,90324,1-072-244-6337,85.0,4462 pace crescent,GA,S,2.0,1.0,Reno,Bur91,391165.0,APT. 373,United States of America,Ophelia,450524.0,M,O
3.0,Kinsella,,709.0,Clorox,s7d 1n1,1-924-669-9328,76.0,7161 tallowood upper,NJ,M,3.0,5.0,Sacramento,Kin92,165854.0,,United States of America,lorine,,,R
1.0,POMMAINVILLE,,493.0,Boyd Gaming,93829,1-598-488-3541,68.0,3489 silver sage west,SC,S,8.0,2.0,Topeka,POM93,326181.0,,United States of America,Viole,,,O
,BOATWRIGHT,,680.0,Eaton,89116,1-295-539-3868,95.0,12481 hayden lower,TN,M,,3.0,Rancho Cucamonga,BOA94,173387.0,,United States of America,Nani,633760.0,M,O
5.0,Ronald,R,800.0,Dynegy,94315,1-554-020-0267,15.0,13210 3RD DRIVE,WY,M,,1.0,Hilo,Ron95,301127.0,,United States of America,cherey,3634954.0,,R
5.0,weihs,A,614.0,AmeriCredit,T5b 1u9,1-793-621-4566,17.0,8899 starling lane,Ontario,M,4.0,1.0,Saint John,wei96,487230.0,,United States of America,Redgie,799268.0,,R
0.0,Helpb,P,763.0,SLM,T6b 1a5,1-787-267-4261,94.0,11480 fennel south,DC,,6.0,4.0,Torrance,Hel97,425747.0,,Canada,Yousef,39093.0,M,R
4.0,moghe,,561.0,NV Energy,60699,1-668-247-1597,70.0,7266 cherry upper,Alberta,S,3.0,4.0,Santa Clara,mog98,401946.0,,United States of America,Damaris,2705353.0,m,O
2.0,bozicevich,,569.0,Landstar System,V6p 1s8,1-901-346-8890,29.0,10678 ENGLEWOOD WEST,ME,S,4.0,1.0,Torrance,boz99,425422.0,,United States of America,Ilyssa,3565153.0,,O
1.0,Zaharychuk,R,634.0,Pacific Life,v6i 1p1,1-451-273-3803,52.0,21181 2ND RUE,MA,M,5.0,4.0,Stockton,Zah100,208890.0,,United States of America,Moselle,2832204.0,,O
3.0,Andric,,488.0,Textron,79423,1-129-499-9136,51.0,22963 hanover road,NV,U,10.0,5.0,Paterson,And101,67880.0,,United States of America,Dulsea,2194345.0,F,O
3.0,Bamfo,L,788.0,Pfizer,H5j 1o6,1-899-319-0772,24.0,8268 cliffbrook boulevard,WA,W,5.0,2.0,Mesa,Bam102,133412.0,,Canada,Lyndsie,3737140.0,,O
4.0,frondozo,,333.0,Cigna,93761,1-053-396-0441,98.0,5118 montview court,WY,D,8.0,3.0,Anchorage,fro103,144829.0,,United States of America,KESLEY,464753.0,,O
1.0,Caron,J,601.0,Ameren,76150,1-239-665-9540,59.0,17442 tallowood upper,NJ,M,,1.0,Miami,Car104,,,United States of America,LAUREL,596696.0,,U
4.0,muchow,V,595.0,Consolidated Edison,99717,1-605-888-3403,49.0,4038 WEDGEWOOD STREET,LA,U,2.0,3.0,Great Falls,muc105,143682.0,,Canada,Steen,1504753.0,f,O
1.0,gateau,,433.0,Occidental Petroleum,60608,1-630-604-2543,1.0,20334 anaconda avenue,TX,U,10.0,0.0,Erie,gat106,350020.0,,United States of America,noel,3049281.0,,O
,Schaefer,M,403.0,Sherwin-Williams,v6w 1u4,1-851-862-7928,79.0,5385 young west,SC,U,10.0,0.0,Hollywood,Sch107,435103.0,,United States of America,Tracey,247478.0,F,O
5.0,pomerleau,,615.0,Affiliated Computer Services,T5b 1t6,1-065-415-5724,6.0,2747 SINCLAIR LANE,TX,,3.0,1.0,Tulsa,pom108,207768.0,,United States of America,Sarajane,2750301.0,,R
4.0,cucuzzella,K,735.0,Valassis Communications,23298,1-408-512-1007,70.0,8622 BROWNWAY PARK,MN,M,1.0,0.0,Tucson,cuc109,407512.0,,United States of America,Geoffrey,721333.0,F,O
0.0,SUGARMAN,Z,668.0,,32803,1-083-902-4184,23.0,18048 GREEN NORTH,ID,S,1.0,3.0,Anchorage,SUG110,403366.0,,United States of America,loralyn,669440.0,q,O
5.0,Pepe,,349.0,Smithfield Foods,64122,1-568-403-7081,78.0,18994 country boulevard,MI,M,,3.0,Sandy,Pep111,384095.0,,Canada,andrei,2473979.0,,O
,Chandrashekar,,654.0,,T6b 1h2,1-824-389-0618,79.0,16063 ashland road,OK,S,,4.0,Boston,Cha112,288969.0,SUITE 7,United States of America,javad,3545170.0,f,
3.0,SEIFERS,U,361.0,TD Ameritrade,22222,1-174-210-2058,72.0,19309 mcfarlin north,UT,U,6.0,2.0,Vancouver,SEI113,233665.0,Apt. 971,United States of America,Karna,1494871.0,m,O
0.0,GARTLEY,S,427.0,Comerica,T6a 1d2,1-425-503-7952,31.0,2454 cliffbrook west,PA,S,1.0,4.0,Akron,GAR114,147236.0,,Canada,Jocelyn,436164.0,F,U
3.0,Touchette,,322.0,Steel Dynamics,v5d 1n9,1-012-389-9089,86.0,15865 strand west,New Brunswick,W,1.0,0.0,Lancaster,Tou115,452557.0,,United States of America,Elvera,1069481.0,M,O
0.0,Kurdziel,V,792.0,Coca-Cola Enterprises,23321,1-909-472-6704,,13776 east boulevard,UT,S,9.0,2.0,Concord,Kur116,179305.0,,United States of America,Nessy,,M,R
0.0,Herod,,478.0,News Corp.,90505,1-622-167-5411,87.0,10570 WEIZMANN LOWER,VA,U,2.0,3.0,Chesapeake,Her117,205817.0,,Canada,lona,2957261.0,,O
5.0,MCVICAR,P,477.0,,19066,1-164-511-9338,92.0,15278 walnut hill road,NH,M,1.0,,Flint,MCV118,262711.0,,United States of America,RHEA,228459.0,,O
5.0,LABFIVE,,449.0,Stater Bros. Holdings,v6s 1r3,1-804-532-9163,4.0,23007 WAKEFOREST WAY,VT,M,6.0,1.0,Chattanooga,LAB119,84810.0,,Canada,Josefa,67267.0,F,O
4.0,butta,,466.0,BorgWarner,78769,1-197-370-0297,8.0,9088 rivas way,FL,U,2.0,2.0,Billings,but120,96441.0,,United States of America,alikee,1087978.0,,O
5.0,Projects,,483.0,CB Richard Ellis Group,53769,1-337-042-5687,97.0,18798 ullrich road,NC,M,2.0,0.0,Scottsdale,Pro121,462762.0,,United States of America,dolorita,3885967.0,m,O
4.0,Irc,,588.0,Zimmer Holdings,H7E 1U6,1-056-138-5321,,18517 HULEN LOWER,VA,D,4.0,5.0,Oshawa,Irc122,141890.0,,United States of America,Marilyn,3271101.0,,O
5.0,Zivkovic,G,313.0,Mohawk Industries,e7o 1k1,1-776-191-2031,40.0,11474 dodd lane,DC,,2.0,5.0,Naperville,Ziv123,156610.0,,Canada,robertson,,,O
4.0,simser,H,647.0,Berkshire Hathaway,90374,1-280-696-2706,95.0,9375 wood south,NC,U,1.0,1.0,Tampa,sim124,164752.0,,United States of America,Ilsa,1999133.0,,R
5.0,keifer,I,430.0,Saks,63169,1-857-581-6346,92.0,20479 wise avenue,MS,S,2.0,1.0,Jackson,kei125,278949.0,,United States of America,Pen,1100786.0,,O
5.0,arvin,P,467.0,Gardner Denver,16515,,67.0,19918 ROGERS NORTH,SC,W,8.0,0.0,Hay River,arv126,,,United States of America,AUBRETTE,563992.0,f,O
2.0,Praeuner,,399.0,Hasbro,85309,1-716-343-0884,24.0,9284 coffey lower,KS,M,7.0,3.0,Irvine,Pra127,463736.0,,United States of America,Cole,962397.0,F,O
3.0,lue,C,654.0,CBS,92158,1-101-776-2496,26.0,2929 north crescent,VT,M,5.0,2.0,Idaho Falls,lue128,,,United States of America,liva,1064169.0,m,O
0.0,Przybycien,,378.0,Synnex,33152,1-769-028-0589,62.0,15404 queen street,IL,S,3.0,2.0,Moreno Valley,Prz129,86667.0,,United States of America,Ayaz,2100059.0,f,O
1.0,penn,J,338.0,Belden,83729,1-005-833-8970,37.0,1619 greenspoint road,FL,W,10.0,5.0,Ontario,pen130,193470.0,,United States of America,YETTY,99025.0,f,O
0.0,Guay,S,695.0,Broadcom,B8b 1z6,1-884-215-4243,71.0,21477 WARREN PARK,MI,S,10.0,5.0,Concord,Gua131,406379.0,,United States of America,Mary-michelle,3865481.0,,R
3.0,brennand,,614.0,Reynolds American,53717,,29.0,6503 ROBBINS STREET,Newfoundland,M,7.0,1.0,Phoenix,bre132,480595.0,,Canada,agretha,804544.0,F,U
5.0,Savanh,X,307.0,Wells Fargo,t5c 1w7,1-725-177-7815,89.0,3958 GLEN LOCH BOULEVARD,ME,S,7.0,4.0,Coral Springs,Sav133,181718.0,,United States of America,LOTTY,3143356.0,f,O
3.0,ABBATANTUONO,Z,331.0,Retail Ventures,37245,1-277-496-5396,11.0,13640 ethridge lower,AL,M,2.0,0.0,Oxnard,ABB134,468310.0,,United States of America,Kassey,,,O
0.0,OP,N,638.0,AT&T,94401,1-756-463-2201,20.0,3981 imperial lower,IN,S,2.0,2.0,Brownsville,OP135,354987.0,,United States of America,Adria,2311953.0,M,O
5.0,Mersinger,,703.0,Wynn Resorts,B8a 1y3,1-261-338-7463,75.0,13210 3rd drive,NH,W,3.0,3.0,Memphis,Mer136,284539.0,,Canada,audivox,3120608.0,,O
5.0,rutt,,302.0,Eastman Kodak,t6b 1k2,1-811-086-4675,95.0,9297 THROCKMORTON SOUTH,DC,S,7.0,0.0,Flint,rut137,213725.0,,United States of America,SUE,2058270.0,F,O
3.0,bemis,I,522.0,Aramark,85306,1-338-771-1185,0.0,8935 YOUNG UPPER,DC,U,,2.0,Lafayette,bem138,74195.0,,United States of America,Lorenza,1511983.0,,O
1.0,Pennington,,,ENSCO International,V6R 1R7,1-554-231-5318,73.0,3797 RUTGERS PARK,MD,M,,5.0,Greensboro,Pen139,169295.0,,United States of America,Enzo,439080.0,,O
0.0,torok,Y,833.0,Auto-Owners Insurance,68513,1-733-886-5227,39.0,8285 tamarind crescent,Prince Edward Island,W,5.0,1.0,Sterling Heights,tor140,307832.0,,United States of America,claudina,921255.0,M,R
