prospect_PosCo,prospect_AgID,prospect_MarSt,prospect_Inc,prospect_AddLi1,prospect_Em,prospect_NumCh,prospect_MidInit,prospect_FirN,prospect_LaN,prospect_NuC,prospect_Ci,prospect_Pho,prospect_Gen,prospect_NuCreCa,prospect_St,prospect_AddLi2,prospect_Cou,prospect_CreRa,prospect_OwOReF,prospect_Ag,prospect_NeWor
NCEVKLQEEWTA,dgc7511,M,210038.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Interstate Bakeries,1.0,,Zaijioc,dgcnbxfhc,5.0,Greensboro,,m,3.0,Saskatchewan,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,United States of America,,O,72.0,490443.0
DODDIDDHXS,lql7512,M,307402.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,eBay,5.0,,Mdwdjpdfmbqjaygkfqzqx,lqlslgqsvyfxqnzuwbfg,4.0,Concord,1-268-630-3843,,9.0,NE,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,Canada,318.0,O,40.0,3348923.0
Oqnzttrldq,Wsk7513,D,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Boise,1.0,,Ccbccgvldfvoqtzestvkwunn,Wskjvrujdwku,4.0,Colorado Springs,1-915-548-9541,m,4.0,AR,ucxdpiwilpxxhv,United States of America,613.0,R,8.0,331799.0
Lwbawk,Ffs7514,U,432425.0,,MDU Resources Group,1.0,v,nyakrhdyxravdnhgbtol,Ffshsiomkzjonhxjhunfsao,4.0,Mobile,1-536-880-0961,,4.0,IL,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,,786.0,R,10.0,1167013.0
Ppsrzjdtg,Kvv7515,U,122041.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Freescale Semiconductor,3.0,F,NDNBTVCLKSC,Kvvverfkpazpzzkrqniixrhnw,0.0,Thousand Oaks,1-494-335-6022,,10.0,VA,,United States of America,,O,24.0,3960216.0
,mpz7516,M,302205.0,,Superior Energy Services,4.0,G,Zmstbluqkipzaojfsomtbdddguq,mpzqnwnrmaozfsstcqtrc,1.0,Rochester,1-814-158-3550,f,5.0,ID,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,United States of America,623.0,O,18.0,242246.0
,Jhc7517,S,367555.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Monsanto,1.0,s,dpqgvuaoijmkxsesvililpxcrwqe,Jhcbaxyzijphmmvpampdgvgisnab,1.0,Garden Grove,1-420-580-0795,F,1.0,TX,Havgczldcpfmwfzj,United States of America,845.0,O,79.0,1217660.0
Rxdsunq,dbq7518,M,106025.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,Newfield Exploration,5.0,l,IHUGYGSRDWILVOFBAKUR,dbqcukoddoiwg,4.0,Tampa,1-924-305-1666,M,7.0,New Brunswick,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,United States of America,645.0,U,36.0,1229655.0
JXHVEEOU,Xch7519,W,106690.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Loews,2.0,,aefotdcronamhkzsfpvifmobgchmsp,Xchoxlbkffuvox,2.0,Fullerton,1-450-082-2122,m,1.0,Alberta,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Canada,495.0,O,21.0,1157831.0
XHJQCDPOO,oir7520,M,29373.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,Apache,2.0,Z,jdeyqkerjerjpht,oirfujtvl,2.0,Washington,1-573-009-1404,m,8.0,PA,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Canada,371.0,O,4.0,
rapkjpmvp,Fqb7521,S,168189.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Robert Half International,3.0,O,Lwihnxoihqqrvjydsijd,Fqbovz,2.0,Norfolk,1-603-897-9894,M,1.0,Nova Scotia,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,United States of America,462.0,R,72.0,
Slskxm,qex7522,S,264756.0,Dmyivtczopuqajpnjqvvgbhxynvduub,Viacom,,,nmnervucuk,qextfjyytqwbmdrlykbfnhvqrmota,,Sydney,1-947-161-6502,,7.0,RI,Rirmrpvlknyho,United States of America,375.0,U,1.0,3467922.0
FXHXLG,Hpi7523,S,44480.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Robert Half International,2.0,,hgjkxxbf,Hpiedhvkedqqdxsoedt,1.0,Winnipeg,1-586-826-9847,,10.0,OR,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Canada,516.0,U,98.0,46859.0
ovlziicdezok,Fjd7524,,87207.0,Esuycdxsjfbrqbtluspxsehk,CSX,5.0,,Zangtryzlhmxo,Fjdafgbcrml,1.0,Wilmington,1-217-243-2668,,,CA,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Canada,703.0,R,35.0,2937668.0
jsxcpvao,Cgt7525,W,238434.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,Country Financial Services,2.0,,FFJGEQD,Cgtcmbl,4.0,El Monte,1-857-211-5728,,7.0,MO,Rpzwirgfyiw,United States of America,734.0,O,99.0,2388613.0
Ykerbceq,Lwx7526,M,,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Procter & Gamble,2.0,,Pdcxrihnl,Lwxudfgcqawccntqaucdaeym,0.0,Sterling Heights,1-089-966-6281,M,4.0,Prince Edward Island,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,United States of America,469.0,U,49.0,3116283.0
VVMSNWEBT,epy7527,S,391354.0,vnyndcximwxhecv,Ingles Markets,0.0,,Zckhcacwaelzutaodqalxyjrkh,epyxtfsrijhddstgaxkbgmlayjtk,3.0,Pembroke Pines,,,2.0,Quebec,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,United States of America,595.0,O,72.0,2671950.0
bibueqwbejem,Aff7528,U,419165.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,Forest Laboratories,0.0,M,sqrosgqnpifxjx,Affcha,3.0,Philadelphia,1-231-342-6874,m,1.0,KS,Acdrcqabtcdgmgl,United States of America,410.0,O,41.0,3899593.0
gehpynlk,mfc7529,W,396509.0,,Dentsply International,2.0,S,Erqzkkllazeobgthnmgsbtj,mfcestd,3.0,Glendale,,,10.0,NV,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,Canada,475.0,O,54.0,2537332.0
Piwlxtg,Slf7530,,145161.0,GVSBHGBDDVJFNNOZNNPJWCOI,RadioShack,2.0,S,Lcziayaozecoqqluasolkmmcldm,Slfbmvc,0.0,El Monte,1-602-637-1838,,2.0,TN,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,United States of America,,R,11.0,733236.0
Ujlshmosjkid,Cxu7531,W,263206.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Century Aluminum,5.0,,Gcnczmuxviqaxtsdzmzhtro,Cxuousxqyrfgjvpvuopyfguqva,2.0,Warwick,1-003-982-8627,,3.0,WY,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,United States of America,519.0,O,0.0,
cwburwnupuj,GZO7532,D,190371.0,BIQIOQOHLQSTBRUFOI,,3.0,F,Rsoobsqytvjycob,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,3.0,Milwaukee,1-136-358-6852,,5.0,British Columbia,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,United States of America,841.0,U,27.0,3397276.0
CNEZMHTKIAEV,DRW7533,U,203968.0,Llfaqkbemnoy,FPL Group,1.0,A,Pjvadgt,DRWTVTDSG,3.0,Phoenix,1-123-528-2965,,6.0,LA,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,United States of America,540.0,O,95.0,2444257.0
kixvppuqtd,set7534,U,428323.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,Lockheed Martin,3.0,N,GUBKOKITTSKVYM,setksinlvlrjwnfu,1.0,Anchorage,1-136-565-2501,f,10.0,HI,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,United States of America,540.0,R,35.0,71520.0
jrhynxfi,Pyo7535,M,159980.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,Sanmina-SCI,1.0,,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Pyoixliri,4.0,Madison,1-317-986-1984,,6.0,NY,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,United States of America,,O,96.0,1911091.0
dnhtjyu,FSH7536,W,266852.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,Iron Mountain,0.0,,Kuteauo,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,0.0,Fontana,1-265-603-1262,M,6.0,TX,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,Canada,424.0,O,96.0,988775.0
YKOVOTYB,Tdx7537,M,206973.0,,OfficeMax,5.0,,Hkfofpndygljbeo,Tdxyljuxporjhdumcvfmv,5.0,Charlotte,,,2.0,AZ,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,United States of America,623.0,R,49.0,3919363.0
WNNMWJ,Sbn7538,S,258221.0,atydogjpqphuwhegtbukkqiaeakrtrn,AMR,1.0,O,Kengxgsu,Sbnxcsrozzcufdoyvckpplofysx,5.0,Richmond,1-156-668-6882,,4.0,ME,XHQNMCEJKXOQYVSZVESLKC,Canada,792.0,O,,428918.0
Oktkljv,Piq7539,S,428508.0,Hlotorcbtobuceb,Kohl's,4.0,C,Plywuoa,Piqizouhxiw,4.0,Santa Clarita,1-164-648-3203,f,6.0,NH,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,United States of America,718.0,O,27.0,58134.0
,IXD7540,M,,gsrdigbqfwrahybxrtm,Cigna,0.0,,zfcwsxpjzyqelkxg,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,4.0,Yellow Knife,1-839-795-1027,M,6.0,KY,Toumjfbsumpgfuskpydjeibaxi,,401.0,O,98.0,3703767.0
GXFLSISZUY,wsn7541,M,58953.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,West,5.0,,Yxvczhqjwgnhowiu,wsnjomkxbtybfnmtcjhvmblfwamnwd,4.0,Oxnard,1-958-412-4252,,2.0,Prince Edward Island,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,United States of America,557.0,R,,433859.0
gzexcrngivl,Jkp7542,W,409682.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Monsanto,5.0,A,Grkknjyfgbhtyrhxzeaoeoyirwfa,Jkpmtcj,5.0,Huntington Beach,1-392-335-1020,M,7.0,British Columbia,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,United States of America,393.0,O,56.0,3002044.0
yzoikhwrd,CCF7543,M,340191.0,,Reliant Energy,4.0,,Vfrdst,CCFFVCOHCLUUXZIQTCFCUHEYN,2.0,Durham,1-912-050-7605,M,10.0,CT,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,United States of America,557.0,,94.0,1124168.0
Gdbktega,ylj7544,U,238216.0,RELJYREDKQEKGOORBLRKOUIC,Idearc,5.0,,Hqcswumjvwbemosmy,yljvuglvt,4.0,Naperville,1-075-551-9919,,5.0,WA,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,United States of America,465.0,O,98.0,2081541.0
Kdcqzpvf,ZBB7545,M,113171.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Neiman Marcus,1.0,V,Ectbhkmbvwkwdbn,ZBBXAWVJAAL,0.0,Albuquerque,1-013-611-2674,F,6.0,ND,hkyochorqgtokxgozmoncalaaiw,Canada,,O,8.0,1897076.0
Tbwgwtmgcu,fqe7546,W,234797.0,Yewxbqpnfgh,O'Reilly Automotive,,,Bdbgqpllbnrmiirpct,fqekemquvstw,5.0,Newark,1-656-865-7544,m,10.0,ID,Datdnghoiymltcayulgkgxywi,United States of America,485.0,,90.0,235172.0
Mwmfs,Wpw7547,M,225322.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Cliffs Natural Resources,2.0,,Ftszluaxcsoxdfbmdd,Wpwhilrlzng,4.0,Miami,1-879-870-7379,,2.0,Quebec,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,United States of America,303.0,,34.0,639573.0
goelqgcts,vpz7548,W,192689.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,Health Management Associates,2.0,,Qrdnpjquwnixfocqhsrlkcxmelwijl,vpzxgcwljllsq,1.0,London,1-366-625-9813,,4.0,ID,,Canada,846.0,O,25.0,2667082.0
ucwygjzs,Yfz7549,,348685.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Chevron,4.0,,Kkiolpmrgzmnjanqc,Yfzmtcvxc,5.0,Worcester,1-359-462-7089,,1.0,AL,,Canada,621.0,O,50.0,2598634.0
fjlfqftwg,dou7550,D,401229.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,Exide Technologies,4.0,,unzegilpp,douvwdwiwrxoivzaojazinrhswjv,3.0,Jacksonville,,,,UT,,United States of America,331.0,O,85.0,1074671.0
Tocujgaiaq,FDJ7551,M,38597.0,hfuyqlsmbesrylepu,Convergys,4.0,,xetqkitwlh,FDJOVRSOCWEIKZ,5.0,Nashua,1-153-396-8333,M,9.0,MS,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,United States of America,401.0,R,60.0,2272997.0
kurjmmgixxfd,ufu7552,S,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,Dominion Resources,2.0,,TWRRGULRYKYUWZYBQQFMIFFKVK,ufutrfkevxnbupjcetrpltw,2.0,Newport News,1-144-623-1308,,0.0,AK,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,United States of America,644.0,R,95.0,702000.0
cnsavindoi,bbg7553,M,161204.0,qgjnvpwvmgsqzcanzncon,Sentry Insurance Group,1.0,H,Yqfljvgkfucafpjpamdtcppiipc,bbgzmquoeecumw,4.0,Corona,1-269-220-8046,m,5.0,VT,NBSHKLXYVUUWXEQSGXR,United States of America,769.0,R,8.0,1289800.0
MQBSAUVQRPYE,Znk7554,M,202650.0,HNBGLUDIOAJRCCIXGDUQOO,Cintas,4.0,v,mjeasoritwctufyojamzbeeoo,Znkkdbkvxcxeuackyodqlkpl,3.0,Lincoln,1-052-524-0130,f,2.0,LA,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,,481.0,O,31.0,1007390.0
vadbnvz,CGQ7555,U,,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,Medtronic,2.0,T,Udxaujgiratgthwkvdibgvwfo,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,1.0,Toronto,1-335-871-6660,F,7.0,CT,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,Canada,732.0,O,51.0,124290.0
Ljurvnigr,add7556,M,492433.0,dnlleihfh,Pride International,4.0,,GHFUKZPOKMXWZF,addxtssyhezwro,4.0,Fayetteville,1-637-394-8083,,2.0,UT,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,United States of America,802.0,O,24.0,1820002.0
BQDMQVFTNBRJ,Anw7557,M,344858.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,A. Schulman,4.0,J,ybtkiifyhbgchnuctnhnqspk,Anwyusqezrjppzkaevffwljm,2.0,Charlotte,1-706-795-4208,,5.0,IN,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,Canada,329.0,O,78.0,2200347.0
jkcul,Hvt7558,W,197290.0,Wsjaujjdexc,Oneok,0.0,,Fhkymmgjsbmpduuffgavhfcxm,Hvtanebvipbdd,5.0,Tulsa,1-622-347-5699,m,0.0,WI,nqcozjievwzk,United States of America,839.0,R,56.0,3669569.0
Nelny,Yqj7559,U,283654.0,Ojberg,Danaher,,d,DEZDTMSMWKALBRPALCFIME,Yqjaammjlhgpw,2.0,Winston-Salem,1-042-017-9368,,,WA,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,United States of America,539.0,,50.0,2140537.0
Qsggz,Ztn7560,M,317423.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Del Monte Foods,5.0,,phoxfeiqoldgmnojmzunmargkla,Ztnstwpjxatqveppicohpzilnn,4.0,Thousand Oaks,1-829-935-5979,F,4.0,LA,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,United States of America,561.0,R,52.0,3258909.0
Drofa,bni7561,W,399126.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,American Electric Power,5.0,,Upuabfflh,bnizllrrofn,4.0,Lubbock,1-076-726-5283,F,2.0,VT,Lfrjkyblujmbxigmylpsxieswspmei,United States of America,814.0,O,14.0,1825422.0
Ssovhtmt,swx7562,M,398180.0,Xwtkpxqgohxwxnv,TJX,0.0,,owagfolbfwjzeg,swxorhmdydwbrtdqxroghsddlpbdgi,5.0,Winnipeg,,,7.0,CT,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,United States of America,305.0,R,29.0,1845263.0
Tnprhljfrlj,DSA7563,S,,Qpvmtkxxfef,Philip Morris International,4.0,P,Qdmppehqxloc,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,2.0,Laredo,1-284-129-5920,f,4.0,RI,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,United States of America,457.0,O,50.0,1463114.0
Bkxujhonjgjk,BXZ7564,U,485429.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,Cincinnati Financial,1.0,,jqbetxkci,BXZUTWBUFSGPPXKR,4.0,Overland Park,1-128-308-8886,,8.0,SC,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,United States of America,349.0,O,67.0,2354683.0
mrjrjhgnwcdu,pcz7565,M,118018.0,KRYAIAJGKHBKXBLC,Stryker,0.0,,Wsmywgbvwspgdwhmdxsqjwqb,pczqycbwefse,2.0,Calgary,1-145-469-5971,,0.0,British Columbia,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,United States of America,590.0,O,22.0,436677.0
Yusezkfgs,Zqa7566,U,309693.0,,Kansas City Southern,4.0,,ocgwi,Zqaknviqngvemehvpzrcgkcvre,5.0,Peoria,1-727-684-7767,m,0.0,CO,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,United States of America,533.0,O,20.0,2383335.0
RKXTQAO,Htl7567,W,90718.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,IDT,0.0,z,Pcotdnngmurhkcd,Htltlfnvjctvvdvulpkhcbyfi,4.0,Durham,1-776-201-2472,,9.0,TN,IBQIDE,Canada,686.0,O,75.0,2574739.0
UBQSATXZO,afw7568,U,280645.0,VBDCWYVK,Vornado Realty Trust,0.0,L,bvcosqzcleknjzvkygbawlc,afwafvxxdr,2.0,Pueblo,1-767-942-1278,F,10.0,CA,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,United States of America,582.0,O,60.0,1596838.0
BHRNWQLFVFA,Wna7569,S,231559.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,Dollar General,4.0,,ECLENELTSXGTNWOP,Wnakgzhqfhtavtvegjtdmdosnjr,,Las Cruces,1-723-062-7266,,0.0,WY,Lrebujnrg,United States of America,807.0,O,,591965.0
Ktmzav,Mlh7570,S,36898.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Safeway,5.0,,Xdwexmrjat,Mlheqxaigtvjaynkffyqkpu,3.0,Chula Vista,,,3.0,SD,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,United States of America,819.0,O,48.0,3071440.0
Nfpchgfj,Gor7571,M,396786.0,Gwxymofcy,Apache,0.0,,xjwnvwdryqpcehelwzfhkkiuus,Gorjnqxjtefmomsbmtnogaerx,2.0,San Diego,1-145-314-0862,,5.0,British Columbia,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,United States of America,311.0,R,91.0,2683081.0
Wuywecohosfi,ENX7572,U,344365.0,Qynjnmfgwxpmrw,Lowe's,5.0,,RNBABCYAFMQPBOHXNUXMXNU,ENXOMNHFVPYQSABETPUEKRKCL,2.0,Chicago,1-735-104-7772,f,3.0,NJ,Hxutrprq,United States of America,734.0,O,98.0,3850483.0
tibxlojrqiha,fgr7573,W,1205.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,Lithia Motors,1.0,,Eyrtrqkljywvbcice,fgrdzzudzmwlluff,4.0,Worcester,,,1.0,AK,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,United States of America,432.0,O,51.0,1870617.0
ogmes,Ysh7574,S,276666.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,CH2M Hill,0.0,a,Opybrukftspofebjmspkjsgtobzsp,Yshzkx,5.0,Honolulu,1-518-116-1411,m,3.0,OH,JRHXPUUHAFHDPF,United States of America,394.0,O,22.0,1249534.0
JUBKXDKP,Mos7575,U,497953.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,Tellabs,0.0,I,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,Mosqjrkdycyygfsljqadgfqoldb,0.0,Albuquerque,1-696-359-4829,,1.0,New Brunswick,yvntcqjqqmbftwetvbqgclcdbxspvk,United States of America,658.0,O,57.0,3789880.0
