AgeID,Ag,NuCreCar,MiIni,Sta,MaSt,NumC,FiNa,Ge,C,NeWor,AddrL1,NumCh,OOReF,Ph,Cou,In,CrRa,Empl
Ffs7514,10.0,4.0,v,IL,U,4.0,nyakrhdyxravdnhgbtol,,Mobile,1167013.0,,1.0,R,1-536-880-0961,,432425.0,786.0,MDU Resources Group
Kvv7515,24.0,10.0,F,VA,U,0.0,NDNBTVCLKSC,,Thousand Oaks,3960216.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,3.0,O,1-494-335-6022,United States of America,122041.0,,Freescale Semiconductor
mpz7516,18.0,5.0,G,ID,M,1.0,Zmstbluqkipzaojfsomtbdddguq,f,Rochester,242246.0,,4.0,O,1-814-158-3550,United States of America,302205.0,623.0,Superior Energy Services
Jhc7517,79.0,1.0,s,TX,S,1.0,dpqgvuaoijmkxsesvililpxcrwqe,F,Garden Grove,1217660.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,O,1-420-580-0795,United States of America,367555.0,845.0,Monsanto
dbq7518,36.0,7.0,l,New Brunswick,M,4.0,IHUGYGSRDWILVOFBAKUR,M,Tampa,1229655.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,5.0,U,1-924-305-1666,United States of America,106025.0,645.0,Newfield Exploration
Xch7519,21.0,1.0,,Alberta,W,2.0,aefotdcronamhkzsfpvifmobgchmsp,m,Fullerton,1157831.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,O,1-450-082-2122,Canada,106690.0,495.0,Loews
oir7520,4.0,8.0,Z,PA,M,2.0,jdeyqkerjerjpht,m,Washington,,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,O,1-573-009-1404,Canada,29373.0,371.0,Apache
Fqb7521,72.0,1.0,O,Nova Scotia,S,2.0,Lwihnxoihqqrvjydsijd,M,Norfolk,,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,3.0,R,1-603-897-9894,United States of America,168189.0,462.0,Robert Half International
qex7522,1.0,7.0,,RI,S,,nmnervucuk,,Sydney,3467922.0,Dmyivtczopuqajpnjqvvgbhxynvduub,,U,1-947-161-6502,United States of America,264756.0,375.0,Viacom
Hpi7523,98.0,10.0,,OR,S,1.0,hgjkxxbf,,Winnipeg,46859.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,2.0,U,1-586-826-9847,Canada,44480.0,516.0,Robert Half International
Fjd7524,35.0,,,CA,,1.0,Zangtryzlhmxo,,Wilmington,2937668.0,Esuycdxsjfbrqbtluspxsehk,5.0,R,1-217-243-2668,Canada,87207.0,703.0,CSX
Cgt7525,99.0,7.0,,MO,W,4.0,FFJGEQD,,El Monte,2388613.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,2.0,O,1-857-211-5728,United States of America,238434.0,734.0,Country Financial Services
Lwx7526,49.0,4.0,,Prince Edward Island,M,0.0,Pdcxrihnl,M,Sterling Heights,3116283.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,2.0,U,1-089-966-6281,United States of America,,469.0,Procter & Gamble
epy7527,72.0,2.0,,Quebec,S,3.0,Zckhcacwaelzutaodqalxyjrkh,,Pembroke Pines,2671950.0,vnyndcximwxhecv,0.0,O,,United States of America,391354.0,595.0,Ingles Markets
Aff7528,41.0,1.0,M,KS,U,3.0,sqrosgqnpifxjx,m,Philadelphia,3899593.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,0.0,O,1-231-342-6874,United States of America,419165.0,410.0,Forest Laboratories
mfc7529,54.0,10.0,S,NV,W,3.0,Erqzkkllazeobgthnmgsbtj,,Glendale,2537332.0,,2.0,O,,Canada,396509.0,475.0,Dentsply International
Slf7530,11.0,2.0,S,TN,,0.0,Lcziayaozecoqqluasolkmmcldm,,El Monte,733236.0,GVSBHGBDDVJFNNOZNNPJWCOI,2.0,R,1-602-637-1838,United States of America,145161.0,,RadioShack
Cxu7531,0.0,3.0,,WY,W,2.0,Gcnczmuxviqaxtsdzmzhtro,,Warwick,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,5.0,O,1-003-982-8627,United States of America,263206.0,519.0,Century Aluminum
GZO7532,27.0,5.0,F,British Columbia,D,3.0,Rsoobsqytvjycob,,Milwaukee,3397276.0,BIQIOQOHLQSTBRUFOI,3.0,U,1-136-358-6852,United States of America,190371.0,841.0,
DRW7533,95.0,6.0,A,LA,U,3.0,Pjvadgt,,Phoenix,2444257.0,Llfaqkbemnoy,1.0,O,1-123-528-2965,United States of America,203968.0,540.0,FPL Group
set7534,35.0,10.0,N,HI,U,1.0,GUBKOKITTSKVYM,f,Anchorage,71520.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,3.0,R,1-136-565-2501,United States of America,428323.0,540.0,Lockheed Martin
Pyo7535,96.0,6.0,,NY,M,4.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,,Madison,1911091.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1.0,O,1-317-986-1984,United States of America,159980.0,,Sanmina-SCI
FSH7536,96.0,6.0,,TX,W,0.0,Kuteauo,M,Fontana,988775.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,0.0,O,1-265-603-1262,Canada,266852.0,424.0,Iron Mountain
Tdx7537,49.0,2.0,,AZ,M,5.0,Hkfofpndygljbeo,,Charlotte,3919363.0,,5.0,R,,United States of America,206973.0,623.0,OfficeMax
Sbn7538,,4.0,O,ME,S,5.0,Kengxgsu,,Richmond,428918.0,atydogjpqphuwhegtbukkqiaeakrtrn,1.0,O,1-156-668-6882,Canada,258221.0,792.0,AMR
Piq7539,27.0,6.0,C,NH,S,4.0,Plywuoa,f,Santa Clarita,58134.0,Hlotorcbtobuceb,4.0,O,1-164-648-3203,United States of America,428508.0,718.0,Kohl's
IXD7540,98.0,6.0,,KY,M,4.0,zfcwsxpjzyqelkxg,M,Yellow Knife,3703767.0,gsrdigbqfwrahybxrtm,0.0,O,1-839-795-1027,,,401.0,Cigna
wsn7541,,2.0,,Prince Edward Island,M,4.0,Yxvczhqjwgnhowiu,,Oxnard,433859.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,5.0,R,1-958-412-4252,United States of America,58953.0,557.0,West
Jkp7542,56.0,7.0,A,British Columbia,W,5.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,M,Huntington Beach,3002044.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,5.0,O,1-392-335-1020,United States of America,409682.0,393.0,Monsanto
CCF7543,94.0,10.0,,CT,M,2.0,Vfrdst,M,Durham,1124168.0,,4.0,,1-912-050-7605,United States of America,340191.0,557.0,Reliant Energy
ylj7544,98.0,5.0,,WA,U,4.0,Hqcswumjvwbemosmy,,Naperville,2081541.0,RELJYREDKQEKGOORBLRKOUIC,5.0,O,1-075-551-9919,United States of America,238216.0,465.0,Idearc
ZBB7545,8.0,6.0,V,ND,M,0.0,Ectbhkmbvwkwdbn,F,Albuquerque,1897076.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1.0,O,1-013-611-2674,Canada,113171.0,,Neiman Marcus
fqe7546,90.0,10.0,,ID,W,5.0,Bdbgqpllbnrmiirpct,m,Newark,235172.0,Yewxbqpnfgh,,,1-656-865-7544,United States of America,234797.0,485.0,O'Reilly Automotive
Wpw7547,34.0,2.0,,Quebec,M,4.0,Ftszluaxcsoxdfbmdd,,Miami,639573.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,2.0,,1-879-870-7379,United States of America,225322.0,303.0,Cliffs Natural Resources
vpz7548,25.0,4.0,,ID,W,1.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,,London,2667082.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,2.0,O,1-366-625-9813,Canada,192689.0,846.0,Health Management Associates
Yfz7549,50.0,1.0,,AL,,5.0,Kkiolpmrgzmnjanqc,,Worcester,2598634.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,4.0,O,1-359-462-7089,Canada,348685.0,621.0,Chevron
dou7550,85.0,,,UT,D,3.0,unzegilpp,,Jacksonville,1074671.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,4.0,O,,United States of America,401229.0,331.0,Exide Technologies
FDJ7551,60.0,9.0,,MS,M,5.0,xetqkitwlh,M,Nashua,2272997.0,hfuyqlsmbesrylepu,4.0,R,1-153-396-8333,United States of America,38597.0,401.0,Convergys
ufu7552,95.0,0.0,,AK,S,2.0,TWRRGULRYKYUWZYBQQFMIFFKVK,,Newport News,702000.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,2.0,R,1-144-623-1308,United States of America,,644.0,Dominion Resources
bbg7553,8.0,5.0,H,VT,M,4.0,Yqfljvgkfucafpjpamdtcppiipc,m,Corona,1289800.0,qgjnvpwvmgsqzcanzncon,1.0,R,1-269-220-8046,United States of America,161204.0,769.0,Sentry Insurance Group
Znk7554,31.0,2.0,v,LA,M,3.0,mjeasoritwctufyojamzbeeoo,f,Lincoln,1007390.0,HNBGLUDIOAJRCCIXGDUQOO,4.0,O,1-052-524-0130,,202650.0,481.0,Cintas
CGQ7555,51.0,7.0,T,CT,U,1.0,Udxaujgiratgthwkvdibgvwfo,F,Toronto,124290.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,2.0,O,1-335-871-6660,Canada,,732.0,Medtronic
add7556,24.0,2.0,,UT,M,4.0,GHFUKZPOKMXWZF,,Fayetteville,1820002.0,dnlleihfh,4.0,O,1-637-394-8083,United States of America,492433.0,802.0,Pride International
Anw7557,78.0,5.0,J,IN,M,2.0,ybtkiifyhbgchnuctnhnqspk,,Charlotte,2200347.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,4.0,O,1-706-795-4208,Canada,344858.0,329.0,A. Schulman
Hvt7558,56.0,0.0,,WI,W,5.0,Fhkymmgjsbmpduuffgavhfcxm,m,Tulsa,3669569.0,Wsjaujjdexc,0.0,R,1-622-347-5699,United States of America,197290.0,839.0,Oneok
Yqj7559,50.0,,d,WA,U,2.0,DEZDTMSMWKALBRPALCFIME,,Winston-Salem,2140537.0,Ojberg,,,1-042-017-9368,United States of America,283654.0,539.0,Danaher
Ztn7560,52.0,4.0,,LA,M,4.0,phoxfeiqoldgmnojmzunmargkla,F,Thousand Oaks,3258909.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,5.0,R,1-829-935-5979,United States of America,317423.0,561.0,Del Monte Foods
bni7561,14.0,2.0,,VT,W,4.0,Upuabfflh,F,Lubbock,1825422.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,5.0,O,1-076-726-5283,United States of America,399126.0,814.0,American Electric Power
swx7562,29.0,7.0,,CT,M,5.0,owagfolbfwjzeg,,Winnipeg,1845263.0,Xwtkpxqgohxwxnv,0.0,R,,United States of America,398180.0,305.0,TJX
DSA7563,50.0,4.0,P,RI,S,2.0,Qdmppehqxloc,f,Laredo,1463114.0,Qpvmtkxxfef,4.0,O,1-284-129-5920,United States of America,,457.0,Philip Morris International
BXZ7564,67.0,8.0,,SC,U,4.0,jqbetxkci,,Overland Park,2354683.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,1.0,O,1-128-308-8886,United States of America,485429.0,349.0,Cincinnati Financial
pcz7565,22.0,0.0,,British Columbia,M,2.0,Wsmywgbvwspgdwhmdxsqjwqb,,Calgary,436677.0,KRYAIAJGKHBKXBLC,0.0,O,1-145-469-5971,United States of America,118018.0,590.0,Stryker
Zqa7566,20.0,0.0,,CO,U,5.0,ocgwi,m,Peoria,2383335.0,,4.0,O,1-727-684-7767,United States of America,309693.0,533.0,Kansas City Southern
Htl7567,75.0,9.0,z,TN,W,4.0,Pcotdnngmurhkcd,,Durham,2574739.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,0.0,O,1-776-201-2472,Canada,90718.0,686.0,IDT
afw7568,60.0,10.0,L,CA,U,2.0,bvcosqzcleknjzvkygbawlc,F,Pueblo,1596838.0,VBDCWYVK,0.0,O,1-767-942-1278,United States of America,280645.0,582.0,Vornado Realty Trust
Wna7569,,0.0,,WY,S,,ECLENELTSXGTNWOP,,Las Cruces,591965.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,4.0,O,1-723-062-7266,United States of America,231559.0,807.0,Dollar General
Mlh7570,48.0,3.0,,SD,S,3.0,Xdwexmrjat,,Chula Vista,3071440.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,5.0,O,,United States of America,36898.0,819.0,Safeway
Gor7571,91.0,5.0,,British Columbia,M,2.0,xjwnvwdryqpcehelwzfhkkiuus,,San Diego,2683081.0,Gwxymofcy,0.0,R,1-145-314-0862,United States of America,396786.0,311.0,Apache
ENX7572,98.0,3.0,,NJ,U,2.0,RNBABCYAFMQPBOHXNUXMXNU,f,Chicago,3850483.0,Qynjnmfgwxpmrw,5.0,O,1-735-104-7772,United States of America,344365.0,734.0,Lowe's
fgr7573,51.0,1.0,,AK,W,4.0,Eyrtrqkljywvbcice,,Worcester,1870617.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1.0,O,,United States of America,1205.0,432.0,Lithia Motors
Ysh7574,22.0,3.0,a,OH,S,5.0,Opybrukftspofebjmspkjsgtobzsp,m,Honolulu,1249534.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,0.0,O,1-518-116-1411,United States of America,276666.0,394.0,CH2M Hill
Mos7575,57.0,1.0,I,New Brunswick,U,0.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,,Albuquerque,3789880.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,0.0,O,1-696-359-4829,United States of America,497953.0,658.0,Tellabs
czu7576,38.0,3.0,,IL,M,1.0,kpofwgtomgijnm,,Oakland,3874445.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,2.0,O,1-352-678-5471,Canada,156048.0,348.0,Phillips-Van Heusen
Ghr7577,68.0,8.0,Z,AZ,M,1.0,Biflzgcqpqpbahquomftmjffohpwuy,,Billings,437353.0,BESJDYZDIOIXKDFEHBQXBPW,5.0,O,1-906-600-9749,United States of America,63617.0,598.0,Wells Fargo
Rwk7578,93.0,9.0,,NY,U,2.0,ybdlwlwxispyswbiegrbsqqtywxr,,Pueblo,2669917.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,2.0,O,1-093-018-2851,United States of America,244849.0,505.0,Vornado Realty Trust
Uwi7579,48.0,7.0,,WA,S,4.0,Capzcewdt,,Sherbrooke,1466537.0,Ivwhotvobwkshcixclfobqoljlaqohw,3.0,R,1-302-096-9321,United States of America,123585.0,839.0,New York Times
VXZ7580,96.0,2.0,,GA,S,1.0,XKBLVBCCYKMIXABVTOTVPZCJRII,,Sacramento,991860.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,1.0,U,1-915-044-3154,United States of America,391134.0,672.0,Adobe Systems
Ayk7581,58.0,3.0,p,AZ,M,5.0,wmknfemsztimaphftadowlmbnp,f,Charlotte,,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,5.0,O,1-040-274-3474,United States of America,426759.0,696.0,Valmont Industries
lho7582,63.0,5.0,,NV,W,5.0,DHLVITRFJDXLTPAGMPMJ,M,El Paso,1816368.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,3.0,O,1-678-397-2739,United States of America,451737.0,448.0,UAL
rzi7583,18.0,9.0,,TN,S,2.0,Jdpqutldftwykfyhukveiaimoyyk,,Mesa,565246.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,1.0,O,1-679-345-9939,United States of America,180822.0,549.0,AFLAC
Wds7584,40.0,0.0,,AL,W,4.0,Qiwemtdba,,Simi Valley,1899339.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,2.0,O,1-093-616-0613,United States of America,205843.0,705.0,VeraSun Energy
Xsj7585,29.0,6.0,f,TX,M,4.0,JQKEDISZ,M,St. Catharines,3873239.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,3.0,O,1-546-131-8988,United States of America,470985.0,387.0,Magellan Health Services
Lux7586,21.0,7.0,v,WV,U,2.0,Gfuwa,,Washington,767547.0,Nhgrkzjzcrjcerkwrugwul,1.0,,1-477-186-7432,United States of America,318225.0,359.0,Emcor Group
wxw7587,41.0,9.0,,ND,M,2.0,CTTUYHUUMMDTX,f,Chula Vista,1027999.0,,2.0,O,1-965-848-6954,Canada,326044.0,494.0,Peabody Energy
pfz7588,56.0,10.0,e,Saskatchewan,M,1.0,Wvtqm,m,Montpelier,3428495.0,uiaoi,1.0,,1-622-866-0937,United States of America,,345.0,State Farm Insurance Cos.
hlx7589,33.0,10.0,,VA,M,2.0,xuwgpsvzcpxtoerndtr,M,Mesa,1827180.0,Wwonzdtvwkn,0.0,O,1-040-217-2014,United States of America,187282.0,402.0,Humana
nyb7590,96.0,3.0,,ND,M,2.0,Hnnzpokbygacjjgybkskf,,New Haven,2070007.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,0.0,O,1-101-684-2373,United States of America,,579.0,News Corp.
Ltt7591,35.0,2.0,O,ND,,2.0,qsnivsknktiwjpqwnrlgftnmsrxkjc,,Indianapolis,,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,0.0,O,1-386-426-5849,United States of America,,569.0,Torchmark
gsz7592,40.0,9.0,,MS,W,0.0,pygsfvfpeofkdcugfvxdsqgmcgebfp,,Stockton,3596263.0,cezvfwtftwlwfrgrpxtuejvrgucexe,4.0,O,1-598-816-0126,United States of America,306946.0,745.0,Rock-Tenn
Kwp7593,10.0,1.0,,WY,D,0.0,Zgxsuo,,Louisville,3719999.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,,U,1-770-379-7700,,99663.0,320.0,AGCO
AGM7594,59.0,4.0,D,MA,M,2.0,ganifmdaqbltccwbqijtkypcetuq,,Atlanta,3058439.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,4.0,R,,United States of America,482013.0,591.0,
Ocn7595,70.0,10.0,u,AK,M,1.0,IYCOMORWDFSEKN,m,Milwaukee,2592932.0,Ctgihaqlm,0.0,U,1-628-245-6238,United States of America,180476.0,,United Stationers
Cmw7596,69.0,5.0,,PA,M,4.0,vdvdlfz,F,Fort Smith,1471273.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,5.0,,1-813-787-2611,United States of America,285682.0,417.0,McCormick
Dit7597,96.0,8.0,V,MA,M,0.0,Sbwymtnwzhffkwjczlsnvrtcv,,Knoxville,,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,5.0,R,1-362-897-1162,United States of America,455032.0,338.0,National Life Group
Rmm7598,9.0,9.0,S,DC,S,3.0,qjjwbffbgxilxyarhjwdvo,,Idaho Falls,2410816.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,,O,1-952-919-4878,United States of America,356141.0,340.0,Hasbro
ekj7599,39.0,5.0,,RI,U,3.0,JIXUQX,,Jacksonville,1059543.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,3.0,U,1-145-214-8009,Canada,165667.0,738.0,Tupperware Brands
wcq7600,31.0,7.0,A,MA,S,0.0,Eqrxuc,,Stockton,379282.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,2.0,O,1-328-944-9786,United States of America,459767.0,597.0,Covance
Klc7601,64.0,4.0,,Alberta,M,2.0,PDAXUXBMPOVTKJUR,f,Thousand Oaks,3271265.0,RSSNUTWWLOKIHRRTPEAFTLBF,2.0,R,1-899-864-9421,United States of America,106459.0,603.0,Interactive Brokers Group
Jrd7602,38.0,5.0,,AR,D,,Adftxl,,Nashua,1530364.0,Sachwqwddeyfxvagihsjxtcsibaejb,1.0,U,1-877-997-8896,,51021.0,662.0,SkyWest
GDQ7603,47.0,0.0,,VA,W,2.0,Gaksvvggpbleteofow,,Tallahassee,3731860.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,4.0,R,1-750-900-0823,United States of America,494931.0,838.0,Best Buy
fnm7604,,9.0,,OR,M,5.0,Ijstknxzfzsvqmy,,Brownsville,2488858.0,Sbutxmtwkb,2.0,O,,United States of America,429859.0,791.0,Sears Holdings
Ymu7605,76.0,7.0,e,ID,S,1.0,jvhwyzbcwdrrqmlbvpjwbohhemm,,Charlotte,2301347.0,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,4.0,O,1-347-704-7823,Canada,,692.0,Frontier Oil
Pxj7606,60.0,8.0,R,IA,W,0.0,nhhjbqktsr,,Oakland,1736571.0,mnkidgiyajigobghpnkdvauwiubpjb,3.0,O,1-228-976-2888,,464086.0,673.0,Automatic Data Processing
Rsd7607,73.0,7.0,M,TN,U,3.0,Lmhtjwddyqbzlxgv,,Fort Wayne,2399483.0,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,,O,,Canada,207651.0,331.0,
Qqh7608,37.0,2.0,,Nova Scotia,U,4.0,BXFLGQTJSJDQAUCXXJXWHTQU,,Chula Vista,2982744.0,Fmrydeogisvvtrpsfonolelpnqcbkrr,,O,1-760-429-1328,United States of America,260418.0,744.0,Comerica
udq7609,50.0,6.0,Q,Ontario,M,5.0,Tlaihggmhfiuezhjgps,,Peoria,1611011.0,Xhggtfwyslxvgeiuzjfxewcsweefq,1.0,U,1-253-879-8833,United States of America,,446.0,Baldor Electric
Ghl7610,0.0,0.0,M,MD,M,0.0,DSRXJZKFJTIVXLBAX,,Lexington,2999167.0,,4.0,O,1-401-256-3483,Canada,316963.0,,Commercial Metals
mtk7611,,,,AR,W,5.0,Annsrbdzywmpqvigpn,f,Salem,,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,,O,1-175-910-8245,Canada,84046.0,,
QIY7612,,9.0,,Saskatchewan,M,0.0,Mrawpcvb,,San Jose,3307491.0,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,3.0,O,1-565-191-3419,United States of America,368990.0,723.0,Molina Healthcare
Ohz7613,81.0,2.0,,OH,S,2.0,yociu,,Kansas City,2057260.0,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,0.0,O,1-921-688-5401,Canada,124382.0,348.0,Plains All American Pipeline
