prospect_nmbrchldrn,prospect_nmbrcrs,prospect_gncd,prospect_pstlcd,prospect_frstnm,prospect_crdtrtng,prospect_lstnm,prospect_wnrrntflg,prospect_g,prospect_ddrssln1,prospect_ncm,prospect_phn,prospect_ct,prospect_ntwrth,prospect_mrtlstts,prospect_gndr,prospect_mddlntl,prospect_stt,prospect_ddrssln2,prospect_nmbrcrdtcrds,prospect_cntr,prospect_mplr
1.0,4.0,Ffs7514,Lwbawk,nyakrhdyxravdnhgbtol,786.0,Ffshsiomkzjonhxjhunfsao,R,10.0,,432425.0,1-536-880-0961,Mobile,1167013.0,U,,v,IL,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,4.0,,MDU Resources Group
3.0,0.0,Kvv7515,Ppsrzjdtg,NDNBTVCLKSC,,Kvvverfkpazpzzkrqniixrhnw,O,24.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,122041.0,1-494-335-6022,Thousand Oaks,3960216.0,U,,F,VA,,10.0,United States of America,Freescale Semiconductor
4.0,1.0,mpz7516,,Zmstbluqkipzaojfsomtbdddguq,623.0,mpzqnwnrmaozfsstcqtrc,O,18.0,,302205.0,1-814-158-3550,Rochester,242246.0,M,f,G,ID,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,5.0,United States of America,Superior Energy Services
1.0,1.0,Jhc7517,,dpqgvuaoijmkxsesvililpxcrwqe,845.0,Jhcbaxyzijphmmvpampdgvgisnab,O,79.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,367555.0,1-420-580-0795,Garden Grove,1217660.0,S,F,s,TX,Havgczldcpfmwfzj,1.0,United States of America,Monsanto
5.0,4.0,dbq7518,Rxdsunq,IHUGYGSRDWILVOFBAKUR,645.0,dbqcukoddoiwg,U,36.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,106025.0,1-924-305-1666,Tampa,1229655.0,M,M,l,New Brunswick,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,7.0,United States of America,Newfield Exploration
2.0,2.0,Xch7519,JXHVEEOU,aefotdcronamhkzsfpvifmobgchmsp,495.0,Xchoxlbkffuvox,O,21.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,106690.0,1-450-082-2122,Fullerton,1157831.0,W,m,,Alberta,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,1.0,Canada,Loews
2.0,2.0,oir7520,XHJQCDPOO,jdeyqkerjerjpht,371.0,oirfujtvl,O,4.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,29373.0,1-573-009-1404,Washington,,M,m,Z,PA,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,8.0,Canada,Apache
3.0,2.0,Fqb7521,rapkjpmvp,Lwihnxoihqqrvjydsijd,462.0,Fqbovz,R,72.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,168189.0,1-603-897-9894,Norfolk,,S,M,O,Nova Scotia,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,1.0,United States of America,Robert Half International
,,qex7522,Slskxm,nmnervucuk,375.0,qextfjyytqwbmdrlykbfnhvqrmota,U,1.0,Dmyivtczopuqajpnjqvvgbhxynvduub,264756.0,1-947-161-6502,Sydney,3467922.0,S,,,RI,Rirmrpvlknyho,7.0,United States of America,Viacom
2.0,1.0,Hpi7523,FXHXLG,hgjkxxbf,516.0,Hpiedhvkedqqdxsoedt,U,98.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,44480.0,1-586-826-9847,Winnipeg,46859.0,S,,,OR,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,10.0,Canada,Robert Half International
5.0,1.0,Fjd7524,ovlziicdezok,Zangtryzlhmxo,703.0,Fjdafgbcrml,R,35.0,Esuycdxsjfbrqbtluspxsehk,87207.0,1-217-243-2668,Wilmington,2937668.0,,,,CA,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,Canada,CSX
2.0,4.0,Cgt7525,jsxcpvao,FFJGEQD,734.0,Cgtcmbl,O,99.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,238434.0,1-857-211-5728,El Monte,2388613.0,W,,,MO,Rpzwirgfyiw,7.0,United States of America,Country Financial Services
2.0,0.0,Lwx7526,Ykerbceq,Pdcxrihnl,469.0,Lwxudfgcqawccntqaucdaeym,U,49.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,,1-089-966-6281,Sterling Heights,3116283.0,M,M,,Prince Edward Island,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,4.0,United States of America,Procter & Gamble
0.0,3.0,epy7527,VVMSNWEBT,Zckhcacwaelzutaodqalxyjrkh,595.0,epyxtfsrijhddstgaxkbgmlayjtk,O,72.0,vnyndcximwxhecv,391354.0,,Pembroke Pines,2671950.0,S,,,Quebec,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,2.0,United States of America,Ingles Markets
0.0,3.0,Aff7528,bibueqwbejem,sqrosgqnpifxjx,410.0,Affcha,O,41.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,419165.0,1-231-342-6874,Philadelphia,3899593.0,U,m,M,KS,Acdrcqabtcdgmgl,1.0,United States of America,Forest Laboratories
2.0,3.0,mfc7529,gehpynlk,Erqzkkllazeobgthnmgsbtj,475.0,mfcestd,O,54.0,,396509.0,,Glendale,2537332.0,W,,S,NV,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,10.0,Canada,Dentsply International
2.0,0.0,Slf7530,Piwlxtg,Lcziayaozecoqqluasolkmmcldm,,Slfbmvc,R,11.0,GVSBHGBDDVJFNNOZNNPJWCOI,145161.0,1-602-637-1838,El Monte,733236.0,,,S,TN,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,2.0,United States of America,RadioShack
5.0,2.0,Cxu7531,Ujlshmosjkid,Gcnczmuxviqaxtsdzmzhtro,519.0,Cxuousxqyrfgjvpvuopyfguqva,O,0.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,263206.0,1-003-982-8627,Warwick,,W,,,WY,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,3.0,United States of America,Century Aluminum
3.0,3.0,GZO7532,cwburwnupuj,Rsoobsqytvjycob,841.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,U,27.0,BIQIOQOHLQSTBRUFOI,190371.0,1-136-358-6852,Milwaukee,3397276.0,D,,F,British Columbia,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,5.0,United States of America,
1.0,3.0,DRW7533,CNEZMHTKIAEV,Pjvadgt,540.0,DRWTVTDSG,O,95.0,Llfaqkbemnoy,203968.0,1-123-528-2965,Phoenix,2444257.0,U,,A,LA,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,6.0,United States of America,FPL Group
3.0,1.0,set7534,kixvppuqtd,GUBKOKITTSKVYM,540.0,setksinlvlrjwnfu,R,35.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,428323.0,1-136-565-2501,Anchorage,71520.0,U,f,N,HI,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,10.0,United States of America,Lockheed Martin
1.0,4.0,Pyo7535,jrhynxfi,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,,Pyoixliri,O,96.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,159980.0,1-317-986-1984,Madison,1911091.0,M,,,NY,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,6.0,United States of America,Sanmina-SCI
0.0,0.0,FSH7536,dnhtjyu,Kuteauo,424.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,O,96.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,266852.0,1-265-603-1262,Fontana,988775.0,W,M,,TX,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,6.0,Canada,Iron Mountain
5.0,5.0,Tdx7537,YKOVOTYB,Hkfofpndygljbeo,623.0,Tdxyljuxporjhdumcvfmv,R,49.0,,206973.0,,Charlotte,3919363.0,M,,,AZ,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,2.0,United States of America,OfficeMax
1.0,5.0,Sbn7538,WNNMWJ,Kengxgsu,792.0,Sbnxcsrozzcufdoyvckpplofysx,O,,atydogjpqphuwhegtbukkqiaeakrtrn,258221.0,1-156-668-6882,Richmond,428918.0,S,,O,ME,XHQNMCEJKXOQYVSZVESLKC,4.0,Canada,AMR
4.0,4.0,Piq7539,Oktkljv,Plywuoa,718.0,Piqizouhxiw,O,27.0,Hlotorcbtobuceb,428508.0,1-164-648-3203,Santa Clarita,58134.0,S,f,C,NH,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,6.0,United States of America,Kohl's
0.0,4.0,IXD7540,,zfcwsxpjzyqelkxg,401.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,O,98.0,gsrdigbqfwrahybxrtm,,1-839-795-1027,Yellow Knife,3703767.0,M,M,,KY,Toumjfbsumpgfuskpydjeibaxi,6.0,,Cigna
5.0,4.0,wsn7541,GXFLSISZUY,Yxvczhqjwgnhowiu,557.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,R,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,58953.0,1-958-412-4252,Oxnard,433859.0,M,,,Prince Edward Island,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,2.0,United States of America,West
5.0,5.0,Jkp7542,gzexcrngivl,Grkknjyfgbhtyrhxzeaoeoyirwfa,393.0,Jkpmtcj,O,56.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,409682.0,1-392-335-1020,Huntington Beach,3002044.0,W,M,A,British Columbia,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,7.0,United States of America,Monsanto
4.0,2.0,CCF7543,yzoikhwrd,Vfrdst,557.0,CCFFVCOHCLUUXZIQTCFCUHEYN,,94.0,,340191.0,1-912-050-7605,Durham,1124168.0,M,M,,CT,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,10.0,United States of America,Reliant Energy
5.0,4.0,ylj7544,Gdbktega,Hqcswumjvwbemosmy,465.0,yljvuglvt,O,98.0,RELJYREDKQEKGOORBLRKOUIC,238216.0,1-075-551-9919,Naperville,2081541.0,U,,,WA,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,5.0,United States of America,Idearc
1.0,0.0,ZBB7545,Kdcqzpvf,Ectbhkmbvwkwdbn,,ZBBXAWVJAAL,O,8.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,113171.0,1-013-611-2674,Albuquerque,1897076.0,M,F,V,ND,hkyochorqgtokxgozmoncalaaiw,6.0,Canada,Neiman Marcus
,5.0,fqe7546,Tbwgwtmgcu,Bdbgqpllbnrmiirpct,485.0,fqekemquvstw,,90.0,Yewxbqpnfgh,234797.0,1-656-865-7544,Newark,235172.0,W,m,,ID,Datdnghoiymltcayulgkgxywi,10.0,United States of America,O'Reilly Automotive
2.0,4.0,Wpw7547,Mwmfs,Ftszluaxcsoxdfbmdd,303.0,Wpwhilrlzng,,34.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,225322.0,1-879-870-7379,Miami,639573.0,M,,,Quebec,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,2.0,United States of America,Cliffs Natural Resources
2.0,1.0,vpz7548,goelqgcts,Qrdnpjquwnixfocqhsrlkcxmelwijl,846.0,vpzxgcwljllsq,O,25.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,192689.0,1-366-625-9813,London,2667082.0,W,,,ID,,4.0,Canada,Health Management Associates
4.0,5.0,Yfz7549,ucwygjzs,Kkiolpmrgzmnjanqc,621.0,Yfzmtcvxc,O,50.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,348685.0,1-359-462-7089,Worcester,2598634.0,,,,AL,,1.0,Canada,Chevron
4.0,3.0,dou7550,fjlfqftwg,unzegilpp,331.0,douvwdwiwrxoivzaojazinrhswjv,O,85.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,401229.0,,Jacksonville,1074671.0,D,,,UT,,,United States of America,Exide Technologies
4.0,5.0,FDJ7551,Tocujgaiaq,xetqkitwlh,401.0,FDJOVRSOCWEIKZ,R,60.0,hfuyqlsmbesrylepu,38597.0,1-153-396-8333,Nashua,2272997.0,M,M,,MS,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,9.0,United States of America,Convergys
2.0,2.0,ufu7552,kurjmmgixxfd,TWRRGULRYKYUWZYBQQFMIFFKVK,644.0,ufutrfkevxnbupjcetrpltw,R,95.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,,1-144-623-1308,Newport News,702000.0,S,,,AK,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,0.0,United States of America,Dominion Resources
1.0,4.0,bbg7553,cnsavindoi,Yqfljvgkfucafpjpamdtcppiipc,769.0,bbgzmquoeecumw,R,8.0,qgjnvpwvmgsqzcanzncon,161204.0,1-269-220-8046,Corona,1289800.0,M,m,H,VT,NBSHKLXYVUUWXEQSGXR,5.0,United States of America,Sentry Insurance Group
4.0,3.0,Znk7554,MQBSAUVQRPYE,mjeasoritwctufyojamzbeeoo,481.0,Znkkdbkvxcxeuackyodqlkpl,O,31.0,HNBGLUDIOAJRCCIXGDUQOO,202650.0,1-052-524-0130,Lincoln,1007390.0,M,f,v,LA,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,2.0,,Cintas
2.0,1.0,CGQ7555,vadbnvz,Udxaujgiratgthwkvdibgvwfo,732.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,O,51.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,,1-335-871-6660,Toronto,124290.0,U,F,T,CT,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,7.0,Canada,Medtronic
4.0,4.0,add7556,Ljurvnigr,GHFUKZPOKMXWZF,802.0,addxtssyhezwro,O,24.0,dnlleihfh,492433.0,1-637-394-8083,Fayetteville,1820002.0,M,,,UT,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,2.0,United States of America,Pride International
4.0,2.0,Anw7557,BQDMQVFTNBRJ,ybtkiifyhbgchnuctnhnqspk,329.0,Anwyusqezrjppzkaevffwljm,O,78.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,344858.0,1-706-795-4208,Charlotte,2200347.0,M,,J,IN,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,5.0,Canada,A. Schulman
0.0,5.0,Hvt7558,jkcul,Fhkymmgjsbmpduuffgavhfcxm,839.0,Hvtanebvipbdd,R,56.0,Wsjaujjdexc,197290.0,1-622-347-5699,Tulsa,3669569.0,W,m,,WI,nqcozjievwzk,0.0,United States of America,Oneok
,2.0,Yqj7559,Nelny,DEZDTMSMWKALBRPALCFIME,539.0,Yqjaammjlhgpw,,50.0,Ojberg,283654.0,1-042-017-9368,Winston-Salem,2140537.0,U,,d,WA,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,,United States of America,Danaher
5.0,4.0,Ztn7560,Qsggz,phoxfeiqoldgmnojmzunmargkla,561.0,Ztnstwpjxatqveppicohpzilnn,R,52.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,317423.0,1-829-935-5979,Thousand Oaks,3258909.0,M,F,,LA,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,4.0,United States of America,Del Monte Foods
5.0,4.0,bni7561,Drofa,Upuabfflh,814.0,bnizllrrofn,O,14.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,399126.0,1-076-726-5283,Lubbock,1825422.0,W,F,,VT,Lfrjkyblujmbxigmylpsxieswspmei,2.0,United States of America,American Electric Power
0.0,5.0,swx7562,Ssovhtmt,owagfolbfwjzeg,305.0,swxorhmdydwbrtdqxroghsddlpbdgi,R,29.0,Xwtkpxqgohxwxnv,398180.0,,Winnipeg,1845263.0,M,,,CT,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,7.0,United States of America,TJX
4.0,2.0,DSA7563,Tnprhljfrlj,Qdmppehqxloc,457.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,O,50.0,Qpvmtkxxfef,,1-284-129-5920,Laredo,1463114.0,S,f,P,RI,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,4.0,United States of America,Philip Morris International
1.0,4.0,BXZ7564,Bkxujhonjgjk,jqbetxkci,349.0,BXZUTWBUFSGPPXKR,O,67.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,485429.0,1-128-308-8886,Overland Park,2354683.0,U,,,SC,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,8.0,United States of America,Cincinnati Financial
0.0,2.0,pcz7565,mrjrjhgnwcdu,Wsmywgbvwspgdwhmdxsqjwqb,590.0,pczqycbwefse,O,22.0,KRYAIAJGKHBKXBLC,118018.0,1-145-469-5971,Calgary,436677.0,M,,,British Columbia,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,0.0,United States of America,Stryker
4.0,5.0,Zqa7566,Yusezkfgs,ocgwi,533.0,Zqaknviqngvemehvpzrcgkcvre,O,20.0,,309693.0,1-727-684-7767,Peoria,2383335.0,U,m,,CO,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,0.0,United States of America,Kansas City Southern
0.0,4.0,Htl7567,RKXTQAO,Pcotdnngmurhkcd,686.0,Htltlfnvjctvvdvulpkhcbyfi,O,75.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,90718.0,1-776-201-2472,Durham,2574739.0,W,,z,TN,IBQIDE,9.0,Canada,IDT
0.0,2.0,afw7568,UBQSATXZO,bvcosqzcleknjzvkygbawlc,582.0,afwafvxxdr,O,60.0,VBDCWYVK,280645.0,1-767-942-1278,Pueblo,1596838.0,U,F,L,CA,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,10.0,United States of America,Vornado Realty Trust
4.0,,Wna7569,BHRNWQLFVFA,ECLENELTSXGTNWOP,807.0,Wnakgzhqfhtavtvegjtdmdosnjr,O,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,231559.0,1-723-062-7266,Las Cruces,591965.0,S,,,WY,Lrebujnrg,0.0,United States of America,Dollar General
5.0,3.0,Mlh7570,Ktmzav,Xdwexmrjat,819.0,Mlheqxaigtvjaynkffyqkpu,O,48.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,36898.0,,Chula Vista,3071440.0,S,,,SD,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,3.0,United States of America,Safeway
0.0,2.0,Gor7571,Nfpchgfj,xjwnvwdryqpcehelwzfhkkiuus,311.0,Gorjnqxjtefmomsbmtnogaerx,R,91.0,Gwxymofcy,396786.0,1-145-314-0862,San Diego,2683081.0,M,,,British Columbia,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,5.0,United States of America,Apache
5.0,2.0,ENX7572,Wuywecohosfi,RNBABCYAFMQPBOHXNUXMXNU,734.0,ENXOMNHFVPYQSABETPUEKRKCL,O,98.0,Qynjnmfgwxpmrw,344365.0,1-735-104-7772,Chicago,3850483.0,U,f,,NJ,Hxutrprq,3.0,United States of America,Lowe's
1.0,4.0,fgr7573,tibxlojrqiha,Eyrtrqkljywvbcice,432.0,fgrdzzudzmwlluff,O,51.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1205.0,,Worcester,1870617.0,W,,,AK,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1.0,United States of America,Lithia Motors
0.0,5.0,Ysh7574,ogmes,Opybrukftspofebjmspkjsgtobzsp,394.0,Yshzkx,O,22.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,276666.0,1-518-116-1411,Honolulu,1249534.0,S,m,a,OH,JRHXPUUHAFHDPF,3.0,United States of America,CH2M Hill
