indirizzo_id,indirizzo,codice_postale,telefono,indirizzo2,città_id,distretto
529,600 Purnea (Purnia) Avenue,18043.0,638409958875,,571,Nghe An
232,754 Valencia Place,87911.0,594319417514,,406,Phnom Penh
466,118 Jaffna Loop,10447.0,325526730021,,182,Northern Mindanao
146,483 Ljubertsy Parkway,60562.0,581174211853,,149,Scotland
399,331 Bydgoszcz Parkway,966.0,537374465982,,181,Asturia
117,1079 Tel Aviv-Jaffa Boulevard,10885.0,358178933857,,132,Sucre
417,791 Salinas Street,40509.0,129953030512,,208,Punjab
125,211 Chiayi Drive,58186.0,665993880048,,164,Uttar Pradesh
10,1795 Santiago de Compostela Way,18743.0,860452626434,,295,Texas
183,1089 Iwatsuki Avenue,35109.0,866092335135,,270,Kirov
287,1405 Chisinau Place,8160.0,62781725285,,411,Ponce
274,920 Kumbakonam Loop,75090.0,685010736240,,446,California
243,47 Syktyvkar Lane,22236.0,63937119031,,118,West Java
234,1256 Bislig Boulevard,50598.0,479007229460,,86,Botosani
30,18 Duisburg Boulevard,58327.0,998009777982,,121,
480,421 Yaoundé Street,11363.0,726875628268,,385,Sumy
531,1986 Sivas Place,95775.0,182059202712,,551,Friuli-Venezia Giuli
571,1746 Faaa Way,32515.0,863080561151,,214,Huánuco
60,1668 Saint Louis Place,39072.0,347487831378,,397,Tahiti
361,45 Aparecida de Goiânia Place,7431.0,650496654258,,464,Madhya Pradesh
584,1819 Alessandria Loop,53829.0,377633994405,,103,Campeche
105,733 Mandaluyong Place,77459.0,196568435814,,2,Asir
598,42 Fontana Avenue,14684.0,437829801725,,512,Fejr
375,1049 Matamoros Parkway,69640.0,960505250340,,191,Karnataka
288,226 Halifax Street,58492.0,790651020929,,277,Xinxiang
575,1052 Pathankot Avenue,77397.0,128499386727,,299,Sichuan
279,1884 Shikarpur Avenue,85548.0,959949395183,,263,Haryana
581,186 Skikda Lane,89422.0,14465669789,,131,Morelos
181,146 Johannesburg Way,54132.0,953689007081,,330,Tamaulipas
236,885 Yingkou Manor,31390.0,588964509072,,596,Kaduna
83,586 Tete Way,1079.0,18581624103,,256,Kanagawa
229,1014 Loja Manor,66851.0,460795526514,,22,Tamil Nadu
578,1405 Hagonoy Avenue,86587.0,867287719310,,133,Slaskie
532,1427 Tabuk Place,31342.0,214756839122,,101,Florida
396,767 Pyongyang Drive,83536.0,667736124769,,229,Osaka
453,319 Springs Loop,99552.0,72524459905,,160,Baijeri
358,1698 Southport Loop,49009.0,754358349853,,393,Hidalgo
339,503 Sogamoso Loop,49812.0,834626715837,,505,Sumqayit
503,1416 San Juan Bautista Tuxtepec Avenue,50592.0,144206758053,,444,Zufar
301,951 Stara Zagora Manor,98573.0,429925609431,,400,Punjab
246,1246 Boksburg Parkway,28349.0,890283544295,,422,Hebei
459,251 Florencia Drive,16119.0,118011831565,,556,Michoacn de Ocampo
548,1658 Cumaná Loop,51309.0,784907335610,,396,Sumatera Selatan
5,1913 Hanoi Way,35200.0,28303384290,,463,Nagasaki
265,1158 Mandi Bahauddin Parkway,98484.0,276555730211,,136,Shanxi
544,183 Haiphong Street,69953.0,488600270038,,46,Jilin
432,259 Ipoh Drive,64964.0,419009857119,,189,São Paulo
298,44 Najafabad Way,61391.0,96604821070,,146,Baskimaa
481,1153 Allende Way,20336.0,856872225376,,179,Québec
231,430 Alessandria Loop,47446.0,669828224459,,439,Saarland
249,300 Junan Street,81314.0,890289150158,,553,Kyonggi
41,1440 Fukuyama Loop,47929.0,912257250465,,362,Henan
165,97 Shimoga Avenue,44660.0,177167004331,,533,Tel Aviv
327,1427 A Coruña (La Coruña) Place,85799.0,972574862516,,45,Buenos Aires
304,1635 Kuwana Boulevard,52137.0,710603868323,,205,Hiroshima
106,659 Vaduz Drive,49708.0,709935135487,,34,Ha Darom
394,753 Ilorin Avenue,3656.0,464511145118,,157,Sichuan
336,430 Kumbakonam Drive,28814.0,105470691550,,457,Santa Fé
15,1542 Tarlac Parkway,1027.0,635297277345,,440,Kanagawa
256,1497 Yuzhou Drive,3433.0,246810237916,,312,England
537,958 Sagamihara Lane,88408.0,427274926505,,287,Mie
496,775 Šostka Drive,22358.0,171973024401,,337,al-Daqahliya
345,68 Ponce Parkway,85926.0,870635127812,,201,Hanoi
543,43 Vilnius Manor,79814.0,484500282381,,42,Colorado
422,289 Santo André Manor,72410.0,214976066017,,16,al-Sharqiya
458,138 Caracas Boulevard,16790.0,974433019532,,326,Zulia
251,1473 Changhwa Parkway,75933.0,266798132374,,124,Mxico
576,1351 Sousse Lane,37815.0,203804046132,,341,Coahuila de Zaragoza
401,168 Cianjur Manor,73824.0,679095087143,,228,Saitama
551,182 Nuku´alofa Drive,15414.0,426346224043,,275,Sumy
385,1642 Charlotte Amalie Drive,75442.0,821476736117,,549,Slaskie
492,185 Mannheim Lane,23661.0,589377568313,,408,Stavropol
55,1135 Izumisano Parkway,48150.0,171822533480,,171,California
271,1587 Loja Manor,5410.0,621625204422,,447,Salzburg
22,320 Brest Avenue,43331.0,747791594069,,252,Kaduna
470,1088 Ibirité Place,88502.0,49084281333,,595,Jalisco
255,1966 Tonghae Street,36481.0,567359279425,,198,Anhalt Sachsen
136,898 Belém Manor,49757.0,707169393853,,87,Free State
45,42 Brindisi Place,16744.0,42384721397,,586,Yerevan
488,698 Jelets Boulevard,2596.0,975185523021,,142,Denizli
366,114 Jalib al-Shuyukh Manor,60440.0,845378657301,,585,Centre
353,381 Kabul Way,87272.0,55477302294,,209,Taipei
315,543 Bergamo Avenue,59686.0,103602195112,,215,Minas Gerais
53,725 Isesaki Place,74428.0,876295323994,,237,Mekka
493,184 Mandaluyong Street,94239.0,488425406814,,288,Baja California Sur
159,185 Novi Sad Place,41778.0,904253967161,,72,Bern
603,1103 Quilmes Boulevard,52137.0,644021380889,,503,Piura
512,1269 Ipoh Avenue,54674.0,402630109080,,163,Eskisehir
114,804 Elista Drive,61069.0,379804592943,,159,Hubei
460,659 Gatineau Boulevard,28587.0,205524798287,,153,La Paz
425,1866 al-Qatif Avenue,89420.0,546793516940,,155,California
188,741 Ambattur Manor,43310.0,302590383819,,438,Noord-Brabant
240,1479 Rustenburg Boulevard,18727.0,727785483194,,527,Southern Tagalog
24,1688 Okara Way,21954.0,144453869132,,327,Nothwest Border Prov
157,456 Escobar Way,36061.0,719202533520,,232,Jakarta Raya
429,1269 Botosani Manor,47394.0,736517327853,,468,Guangdong
77,1947 Poços de Caldas Boulevard,60951.0,427454485876,,114,Chiayi
452,207 Cuernavaca Loop,52671.0,782900030287,,352,Tatarstan
12,478 Joliet Way,77948.0,657282285970,,200,Hamilton
206,642 Nador Drive,3924.0,369050085652,,77,Maharashtra
542,193 Bhusawal Place,9750.0,745267607502,,539,Kang-won
596,1759 Niznekamsk Avenue,39414.0,864392582257,,14,al-Manama
457,535 Ahmadnagar Manor,41136.0,985109775584,,3,Abu Dhabi
32,1425 Shikarpur Manor,65599.0,678220867005,,346,Bihar
604,1331 Usak Boulevard,61960.0,145308717464,,296,Vaud
192,1166 Changhwa Street,58852.0,650752094490,,62,Caraga
308,687 Alessandria Parkway,57587.0,407218522294,,455,Sanaa
227,1820 Maringá Parkway,88307.0,99760893676,,324,Punjab
258,752 Ondo Loop,32474.0,134673576619,,338,Miyazaki
388,368 Huánuco Boulevard,17165.0,106439158941,,360,Namibe
74,1124 Buenaventura Drive,6856.0,407733804223,,13,Mekka
471,1322 Mosul Parkway,95400.0,268053970382,,145,Shandong
545,163 Augusta-Richmond County Loop,33030.0,754579047924,,561,Carabobo
424,1948 Bayugan Parkway,60622.0,987306329957,,264,Bihar
290,1336 Benin City Drive,46044.0,341242939532,,386,Shiga
37,127 Purnea (Purnia) Manor,79388.0,911872220378,,17,Piemonte
556,346 Cam Ranh Avenue,39976.0,978430786151,,599,Zhejiang
150,879 Newcastle Way,90732.0,206841104594,,499,Michigan
307,1908 Gaziantep Place,58979.0,108053751300,,536,Liaoning
149,999 Sanaa Loop,3439.0,918032330119,,491,Gauteng
18,770 Bydgoszcz Avenue,16266.0,517338314235,,120,California
400,1152 Citrus Heights Manor,5239.0,765957414528,,15,al-Qadarif
521,568 Dhule (Dhulia) Loop,92568.0,602101369463,,127,Coquimbo
332,663 Bahía Blanca Parkway,33463.0,834418779292,,5,Adana
389,500 Lincoln Parkway,95509.0,550306965159,,210,Ji´angsu
372,230 Urawa Drive,2738.0,166898395731,,8,Andhra Pradesh
33,786 Aurora Avenue,65750.0,18461860151,,474,Yamaguchi
553,1421 Quilmes Lane,19151.0,135407755975,,260,Ishikawa
321,651 Pathankot Loop,59811.0,139378397418,,336,Maharashtra
441,983 Santa Fé Way,47472.0,145720452260,,565,British Colombia
489,1297 Alvorada Parkway,11839.0,508348602835,,587,Ningxia
412,1639 Saarbrücken Drive,9827.0,328494873422,,437,North West
348,785 Vaduz Street,36170.0,895616862749,,335,Baja California
31,217 Botshabelo Place,49521.0,665356572025,,138,Southern Mindanao
85,320 Baiyin Parkway,37307.0,223664661973,,319,Mahajanga
305,41 El Alto Parkway,56883.0,51917807050,,398,Maharashtra
160,1367 Yantai Manor,21294.0,889538496300,,381,Ondo & Ekiti
262,771 Yaoundé Manor,86768.0,245477603573,,64,Sofala
426,1661 Abha Drive,14400.0,270456873752,,416,Tamil Nadu
564,505 Madiun Boulevard,97271.0,970638808606,,577,Dolnoslaskie
90,870 Ashqelon Loop,84931.0,135117278909,,489,Songkhla
272,1762 Paarl Parkway,53928.0,192459639410,,298,Hunan
356,1378 Beira Loop,40792.0,840957664136,,597,Krasnojarsk
501,1060 Tandil Lane,72349.0,211256301880,,432,Shandong
547,379 Lublin Parkway,74568.0,921960450089,,309,Toscana
289,1279 Udine Parkway,75860.0,195003555232,,69,Edo & Delta
310,913 Coacalco de Berriozábal Loop,42141.0,262088367001,,33,Texas
451,1704 Tambaram Manor,2834.0,39463554936,,554,West Bengali
374,433 Florencia Street,91330.0,561729882725,,250,Chihuahua
395,1337 Mit Ghamr Avenue,29810.0,175283210378,,358,Nakhon Sawan
350,1628 Nagareyama Lane,60079.0,20064292617,,453,Central
416,1445 Carmen Parkway,70809.0,598912394463,,117,West Java
124,241 Mosul Lane,76157.0,765345144779,,147,Risaralda
109,454 Nakhon Sawan Boulevard,76383.0,963887147572,,173,Funafuti
448,614 Denizli Parkway,29444.0,876491807547,,486,Rio Grande do Sul
330,981 Kumbakonam Place,87611.0,829116184079,,89,Distrito Federal
445,495 Bhimavaram Lane,3.0,82088937724,,144,Maharashtra
140,788 Atšinsk Street,81691.0,146497509724,,211,Karnataka
291,1155 Liaocheng Place,22650.0,558236142492,,152,Oyo & Osun
84,1888 Kabul Drive,20936.0,701457319790,,217,Oyo & Osun
219,1229 Valencia Parkway,99124.0,352679173732,,498,Haskovo
322,1359 Zhoushan Parkway,29763.0,46568045367,,545,Streymoyar
134,758 Junan Lane,82639.0,935448624185,,190,Gois
430,355 Vitória de Santo Antão Way,81758.0,548003849552,,452,Oaxaca
244,1148 Saarbrücken Parkway,1921.0,137773001988,,226,Fukushima
554,947 Tórshavn Place,841.0,50898428626,,528,Central Luzon
194,605 Rio Claro Parkway,49348.0,352469351088,,513,Tabora
58,1964 Allappuzha (Alleppey) Street,48980.0,920811325222,,227,Yamaguchi
533,556 Asunción Way,35364.0,338244023543,,339,Mogiljov
527,1993 0 Loop,41214.0,25865528181,,588,Liaoning
534,486 Ondo Parkway,35202.0,105882218332,,67,Benguela
444,231 Kaliningrad Place,57833.0,575081026569,,70,Lombardia
334,1816 Bydgoszcz Loop,64308.0,965273813662,,234,Dhaka
423,437 Chungho Drive,59489.0,491271355190,,450,Puerto Plata
514,1747 Rustenburg Place,51369.0,442673923363,,110,Bihar
23,1417 Lancaster Avenue,72192.0,272572357893,,267,Northern Cape
196,9 San Miguel de Tucumán Manor,90845.0,956188728558,,169,Uttar Pradesh
197,447 Surakarta Loop,10428.0,940830176580,,271,Nyanza
224,1842 Luziânia Boulevard,94420.0,706878974831,,593,Zanzibar West
148,1027 Songkhla Manor,30861.0,563660187896,,340,Minsk
597,32 Liaocheng Way,1944.0,410877354933,,248,Minas Gerais
552,390 Wroclaw Way,5753.0,357593328658,,462,Hainan
180,757 Rustenburg Avenue,89668.0,506134035434,,483,Skikda
526,617 Klerksdorp Place,94707.0,574973479129,,366,Khanh Hoa
311,715 São Bernardo do Campo Lane,84804.0,181179321332,,507,Kedah
3,23 Workhaven Lane,,14033335568,,300,Alberta
593,1402 Zanzibar Boulevard,71102.0,387448063440,,106,Guanajuato
318,1774 Yaoundé Place,91400.0,613124286867,,166,Hubei
524,680 A Coruña (La Coruña) Manor,49806.0,158326114853,,482,Sivas
379,1133 Rizhao Avenue,2800.0,600264533987,,572,Pernambuco
500,362 Rajkot Lane,98030.0,962020153680,,47,Gansu
391,1793 Meixian Place,33535.0,619966287415,,258,Hmelnytskyi
383,686 Donostia-San Sebastián Lane,97390.0,71857599858,,471,Guangdong
362,482 Kowloon and New Kowloon Manor,97056.0,738968474939,,90,Bratislava
477,1786 Salinas Place,66546.0,206060652238,,359,Nam Ha
26,28 Charlotte Amalie Street,37551.0,161968374323,,443,Rabat-Sal-Zammour-Z
225,1926 Gingoog Street,22824.0,469738825391,,511,Sisilia
171,1540 Wroclaw Drive,62686.0,182363341674,,107,Maharashtra
130,1666 Qomsheh Drive,66255.0,582835362905,,410,São Paulo
436,287 Cuautla Boulevard,72736.0,82619513349,,501,Chuquisaca
92,1942 Ciparay Parkway,82624.0,978987363654,,113,Cheju
418,126 Acuña Parkway,58888.0,480039662421,,71,West Bengali
435,740 Udaipur Lane,33505.0,497288595103,,150,Nizni Novgorod
566,1229 Varanasi (Benares) Manor,40195.0,817740355461,,43,Buenos Aires
309,827 Yuncheng Drive,79047.0,504434452842,,99,Callao
126,1175 Tanauan Way,64615.0,937222955822,,305,Lima
275,906 Goiânia Way,83565.0,701767622697,,255,Wielkopolskie
193,891 Novi Sad Manor,5379.0,247646995453,,383,Ontario
502,1515 Korla Way,57197.0,959467760895,,589,England
280,1980 Kamjanets-Podilskyi Street,89502.0,874337098891,,404,Illinois
414,1936 Lapu-Lapu Parkway,7122.0,653436985797,,141,Bauchi & Gombe
247,1483 Pathankot Street,37288.0,686015532180,,454,Tucumn
245,1103 Bilbays Parkway,87660.0,279979529227,,578,Hubei
213,43 Dadu Avenue,4855.0,95666951770,,74,Rajasthan
504,1 Valle de Santiago Avenue,86208.0,465897838272,,93,Apulia
328,479 San Felipe del Progreso Avenue,54949.0,869051782691,,130,Morelos
293,86 Higashiosaka Lane,33768.0,957128697225,,563,Guanajuato
14,1531 Salé Drive,53628.0,648856936185,,162,Esfahan
189,927 Barcelona Street,65121.0,951486492670,,467,Chaharmahal va Bakht
282,556 Baybay Manor,55802.0,363982224739,,374,Oyo & Osun
154,781 Shimonoseki Drive,95444.0,632316273199,,202,Michoacn de Ocampo
39,391 Callao Drive,34021.0,440512153169,,544,Midi-Pyrnes
344,1909 Benguela Lane,19913.0,624138001031,,581,Henan
101,1599 Plock Drive,71986.0,817248913162,,534,Tete
352,1673 Tangail Drive,26857.0,627924259271,,137,Daugavpils
295,544 Tarsus Boulevard,53145.0,892523334,,562,Gurico
313,1191 Sungai Petani Boulevard,9668.0,983259819766,,262,Missouri
78,1206 Dos Quebradas Place,20207.0,241832790687,,431,São Paulo
536,166 Jinchang Street,86760.0,717566026669,,165,Buenos Aires
331,1016 Iwakuni Street,49833.0,961370847344,,269,St George
326,470 Boksburg Street,97960.0,908029859266,,81,Central
170,710 San Felipe del Progreso Avenue,76901.0,843801144113,,304,Lilongwe
476,270 Tambaram Parkway,9668.0,248446668735,,244,Gauteng
530,1003 Qinhuangdao Street,25972.0,35533115997,,419,West Java
494,591 Sungai Petani Drive,46400.0,37247325001,,376,Okayama
177,1010 Klerksdorp Way,6802.0,493008546874,,186,Steiermark
381,1618 Olomouc Manor,26385.0,96846695220,,285,Kurgan
241,647 A Coruña (La Coruña) Street,36971.0,792557457753,,357,Chollanam
378,1191 Tandil Drive,6362.0,45554316010,,523,Southern Tagalog
132,1050 Garden Grove Avenue,4999.0,973047364353,,236,Slaskie
7,692 Joliet Street,83579.0,448477190408,,38,Attika
316,746 Joliet Lane,94878.0,688485191923,,286,Kursk
561,1497 Fengshan Drive,63022.0,368738360376,,112,KwaZulu-Natal
443,1836 Korla Parkway,55405.0,689681677428,,272,Copperbelt
538,1817 Livorno Way,79401.0,478380208348,,100,Khanh Hoa
523,608 Birgunj Parkway,400.0,627425618482,,116,Taipei
599,1895 Zhezqazghan Drive,36693.0,137809746111,,177,California
195,1077 San Felipe de Puerto Plata Place,65387.0,812824036424,,369,Rostov-na-Donu
200,1074 Binzhou Manor,36490.0,331132568928,,325,Baden-Wrttemberg
96,984 Effon-Alaiye Avenue,17119.0,132986892228,,183,Gois
559,1917 Kumbakonam Parkway,11892.0,698182547686,,368,Vojvodina
217,1001 Miyakonojo Lane,67924.0,584316724815,,518,Taizz
205,68 Molodetšno Manor,4662.0,146640639760,,575,Nordrhein-Westfalen
216,660 Jedda Boulevard,25053.0,168758068397,,65,Washington
16,808 Bhopal Manor,10672.0,465887807014,,582,Haryana
182,1891 Rizhao Boulevard,47288.0,391065549876,,456,São Paulo
238,346 Skikda Parkway,90628.0,630424482919,,233,Hawalli
36,176 Mandaluyong Place,65213.0,627705991774,,239,Uttar Pradesh
107,1177 Jelets Way,3305.0,484292626944,,220,Kwara & Kogi
46,1632 Bislig Avenue,61117.0,471675840679,,394,Nonthaburi
346,1217 Konotop Avenue,504.0,718917251754,,151,Gelderland
482,808 Naçala-Porto Parkway,41060.0,553452430707,,500,England
97,832 Nakhon Sawan Manor,49021.0,275595571388,,592,Inner Mongolia
421,966 Arecibo Loop,94018.0,15273765306,,134,Sind
303,898 Jining Lane,40070.0,161643343536,,387,Pohjois-Pohjanmaa
156,1963 Moscow Place,64863.0,761379480249,,354,Assam
525,1949 Sanya Street,61244.0,132100972047,,224,Gumma
28,96 Tafuna Way,99865.0,934730187245,,128,Córdoba
269,446 Kirovo-Tšepetsk Lane,19428.0,303967439816,,203,Osaka
314,1224 Huejutla de Reyes Boulevard,70923.0,806016930576,,91,Lombardia
550,1715 Okayama Street,55676.0,169352919175,,485,São Paulo
115,1378 Alvorada Avenue,75834.0,272234298332,,102,Distrito Federal
73,1031 Daugavpils Parkway,59025.0,107137400143,,63,Béchar
147,374 Bat Yam Boulevard,97700.0,923261616249,,266,Kilis
113,682 Junan Way,30418.0,622255216127,,273,North West
462,1485 Bratislava Place,83183.0,924663855568,,435,Illinois
415,432 Garden Grove Street,65630.0,615964523510,,430,Ontario
123,1987 Coacalco de Berriozábal Loop,96065.0,787654415858,,476,al-Qalyubiya
507,1197 Sokoto Boulevard,87687.0,868602816371,,478,West Bengali
86,927 Bahía Blanca Parkway,9495.0,821972242086,,479,Krim
380,1519 Santiago de los Caballeros Loop,22025.0,409315295763,,348,East Kasai
199,1792 Valle de la Pascua Place,15540.0,419419591240,,477,Nordrhein-Westfalen
19,419 Iligan Lane,72878.0,990911107354,,76,Madhya Pradesh
100,1308 Arecibo Way,30695.0,6171054059,,41,Georgia
577,1501 Pangkal Pinang Avenue,943.0,770864062795,,409,Mazowieckie
21,270 Toulon Boulevard,81766.0,407752414682,,156,Kalmykia
239,98 Stara Zagora Boulevard,76448.0,610173756082,,96,Valle
519,962 Tama Loop,65952.0,282667506728,,583,
151,1337 Lincoln Parkway,99457.0,597815221267,,555,Saitama
185,682 Garden Grove Place,67497.0,72136330362,,333,Tennessee
187,1839 Székesfehérvár Parkway,55709.0,947468818183,,317,Gois
270,682 Halisahar Place,20536.0,475553436330,,378,Severn Morava
133,1854 Tieli Street,15819.0,509492324775,,302,Shandong
222,1168 Najafabad Parkway,40301.0,886649065861,,251,Kabol
449,1289 Belém Boulevard,88306.0,237368926031,,530,Tartumaa
81,1692 Ede Loop,9223.0,918711376618,,30,São Paulo
294,1912 Allende Manor,58124.0,172262454487,,279,Kowloon and New Kowl
342,124 al-Manama Way,52368.0,647899404952,,382,Hiroshima
487,1785 São Bernardo do Campo Street,71182.0,684529463244,,125,Veracruz
474,1469 Plock Lane,95835.0,622884741180,,388,Galicia
469,1872 Toulon Loop,7939.0,928809465153,,428,OHiggins
264,1027 Banjul Place,50390.0,538241037443,,197,West Bengali
506,414 Mandaluyong Street,16370.0,52709222667,,314,Lubelskie
158,798 Cianjur Avenue,76990.0,499408708580,,590,Shanxi
491,1789 Saint-Denis Parkway,8268.0,936806643983,,4,Coahuila de Zaragoza
228,60 Poços de Caldas Street,82338.0,963063788669,,243,Rajasthan
587,760 Miyakonojo Drive,64682.0,294449058179,,246,Guerrero
465,734 Tanshui Avenue,70664.0,366776723320,,170,Caquet
570,415 Pune Avenue,44274.0,203202500108,,580,Shandong
9,53 Idfu Parkway,42399.0,10655648674,,361,Nantou
520,1778 Gijón Manor,35156.0,288910576761,,594,Hubei
297,1192 Tongliao Street,19065.0,350970907017,,470,Sharja
6,1121 Loja Avenue,17886.0,838635286649,,449,California
560,1447 Imus Place,12905.0,62127829280,,426,Gujarat
428,1727 Matamoros Place,78813.0,129673677866,,465,Sawhaj
296,1936 Cumaná Avenue,61195.0,976798660411,,433,Virginia
190,435 0 Way,74750.0,760171523969,,195,West Bengali
285,1006 Santa Bárbara d´Oeste Manor,36229.0,85059738746,,389,Ondo & Ekiti
478,1078 Stara Zagora Drive,69221.0,932992626595,,301,Aceh
214,751 Lima Loop,99405.0,756460337785,,7,Aden
341,1920 Weifang Avenue,15643.0,869507847714,,427,Uttar Pradesh
118,442 Rae Bareli Place,24321.0,886636413768,,148,Nordrhein-Westfalen
69,698 Otsu Street,71110.0,409983924481,,105,Cayenne
404,734 Béchar Place,30586.0,280578750435,,375,Punjab
484,98 Pyongyang Boulevard,88749.0,191958435142,,11,Ohio
8,1566 Inegöl Manor,53561.0,705814003527,,349,Mandalay
605,1325 Fukuyama Street,27107.0,288241215394,,537,Heilongjiang
376,1061 Ede Avenue,57810.0,333390595558,,98,Southern Tagalog
254,786 Stara Zagora Way,98332.0,716256596301,,390,Oyo & Osun
163,1440 Compton Place,81037.0,931059836497,,307,North Austria
455,1947 Paarl Way,23636.0,834061016202,,509,Central Java
191,140 Chiayi Parkway,38982.0,855863906434,,506,Sumy
440,722 Bradford Lane,90920.0,746251338300,,249,Shandong
446,1924 Shimonoseki Drive,52625.0,406784385440,,59,Batna
79,1551 Rampur Lane,72394.0,251164340471,,108,Changhwa
562,869 Shikarpur Way,57380.0,590764256785,,496,England
145,928 Jaffna Loop,93762.0,581852137991,,172,Hiroshima
142,1587 Sullana Lane,85769.0,468060467018,,207,Inner Mongolia
357,1641 Changhwa Place,37636.0,256546485220,,52,Nord-Ouest
467,1621 Tongliao Avenue,22173.0,209342540247,,558,Irkutsk
172,475 Atšinsk Way,59571.0,201705577290,,240,Gansu
528,1176 Southend-on-Sea Manor,81651.0,236679267178,,458,Southern Tagalog
66,1717 Guadalajara Lane,85505.0,914090181665,,441,Missouri
211,850 Salala Loop,10800.0,403404780639,,371,Kitaa
563,1059 Yuncheng Avenue,47498.0,107092893983,,570,Vilna
59,1697 Kowloon and New Kowloon Loop,57807.0,499352017190,,49,Moskova
475,434 Ourense (Orense) Manor,14122.0,562370137426,,206,Hodeida
363,604 Bern Place,5373.0,620719383725,,429,Jharkhand
89,1557 Kütahya Boulevard,88002.0,720998247660,,88,England
461,1889 Valparai Way,75559.0,670370974122,,600,Ziguinchor
573,1407 Surakarta Manor,33224.0,324346485054,,466,Moskova
202,955 Bamenda Way,1545.0,768481779568,,218,Ondo & Ekiti
138,765 Southampton Drive,4285.0,23712411567,,421,al-Qalyubiya
319,1957 Yantai Lane,59255.0,704948322302,,490,São Paulo
300,661 Chisinau Lane,8856.0,816436065431,,274,Pietari
438,596 Huixquilucan Place,65892.0,342709348083,,351,Nampula
335,587 Benguela Manor,91590.0,165450987037,,42,Illinois
349,1516 Escobar Drive,46069.0,64536069371,,370,Tongatapu
390,102 Chapra Drive,14073.0,776031833752,,521,Ibaragi
139,943 Johannesburg Avenue,5892.0,90921003005,,417,Maharashtra
354,953 Hodeida Street,18841.0,53912826864,,221,Southern Tagalog
61,943 Tokat Street,45428.0,889318963672,,560,Vaduz
167,1287 Xi´angfan Boulevard,57844.0,819416131190,,253,Gifu
215,1333 Haldia Street,82161.0,408304391718,,174,Jilin
377,154 Oshawa Manor,72771.0,440365973660,,415,East Java
355,469 Nakhon Sawan Street,58866.0,689199636560,,531,Tuvassia
102,669 Firozabad Loop,92265.0,412903167998,,12,Abu Dhabi
522,1768 Udine Loop,32347.0,448876499197,,60,Battambang
144,1666 Beni-Mellal Place,13377.0,9099941466,,123,Tennessee
91,1740 Portoviejo Avenue,29932.0,198123170793,,480,Sucre
565,1741 Hoshiarpur Boulevard,22372.0,855066328617,,79,al-Sharqiya
433,1823 Hoshiarpur Lane,33191.0,307133768620,,510,Komi
384,97 Mogiljov Lane,89294.0,924815207181,,73,Gujarat
162,369 Papeete Way,66639.0,170117068815,,187,North Carolina
442,1245 Ibirité Way,40926.0,331888642162,,290,La Romana
