prospect_mddlntl,prospect_ntwrth,prospect_mplr,prospect_ddrssln1,prospect_phn,prospect_cntr,prospect_crdtrtng,prospect_ddrssln2,prospect_pstlcd,prospect_lstnm,prospect_ncm,prospect_stt,prospect_wnrrntflg,prospect_ct,prospect_mrtlstts,prospect_nmbrcrs,prospect_g,prospect_gndr,prospect_frstnm,prospect_gncd,prospect_nmbrchldrn,prospect_nmbrcrdtcrds
,331799.0,Boise,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1-915-548-9541,United States of America,613.0,ucxdpiwilpxxhv,Oqnzttrldq,Wskjvrujdwku,,AR,R,Colorado Springs,D,4.0,8.0,m,Ccbccgvldfvoqtzestvkwunn,Wsk7513,1.0,4.0
v,1167013.0,MDU Resources Group,,1-536-880-0961,,786.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Lwbawk,Ffshsiomkzjonhxjhunfsao,432425.0,IL,R,Mobile,U,4.0,10.0,,nyakrhdyxravdnhgbtol,Ffs7514,1.0,4.0
F,3960216.0,Freescale Semiconductor,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,1-494-335-6022,United States of America,,,Ppsrzjdtg,Kvvverfkpazpzzkrqniixrhnw,122041.0,VA,O,Thousand Oaks,U,0.0,24.0,,NDNBTVCLKSC,Kvv7515,3.0,10.0
G,242246.0,Superior Energy Services,,1-814-158-3550,United States of America,623.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,,mpzqnwnrmaozfsstcqtrc,302205.0,ID,O,Rochester,M,1.0,18.0,f,Zmstbluqkipzaojfsomtbdddguq,mpz7516,4.0,5.0
s,1217660.0,Monsanto,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1-420-580-0795,United States of America,845.0,Havgczldcpfmwfzj,,Jhcbaxyzijphmmvpampdgvgisnab,367555.0,TX,O,Garden Grove,S,1.0,79.0,F,dpqgvuaoijmkxsesvililpxcrwqe,Jhc7517,1.0,1.0
l,1229655.0,Newfield Exploration,rpikmvtgwsrsoehxgmxwypaueiaheabrf,1-924-305-1666,United States of America,645.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Rxdsunq,dbqcukoddoiwg,106025.0,New Brunswick,U,Tampa,M,4.0,36.0,M,IHUGYGSRDWILVOFBAKUR,dbq7518,5.0,7.0
,1157831.0,Loews,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,1-450-082-2122,Canada,495.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,JXHVEEOU,Xchoxlbkffuvox,106690.0,Alberta,O,Fullerton,W,2.0,21.0,m,aefotdcronamhkzsfpvifmobgchmsp,Xch7519,2.0,1.0
Z,,Apache,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,1-573-009-1404,Canada,371.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,XHJQCDPOO,oirfujtvl,29373.0,PA,O,Washington,M,2.0,4.0,m,jdeyqkerjerjpht,oir7520,2.0,8.0
O,,Robert Half International,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,1-603-897-9894,United States of America,462.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,rapkjpmvp,Fqbovz,168189.0,Nova Scotia,R,Norfolk,S,2.0,72.0,M,Lwihnxoihqqrvjydsijd,Fqb7521,3.0,1.0
,3467922.0,Viacom,Dmyivtczopuqajpnjqvvgbhxynvduub,1-947-161-6502,United States of America,375.0,Rirmrpvlknyho,Slskxm,qextfjyytqwbmdrlykbfnhvqrmota,264756.0,RI,U,Sydney,S,,1.0,,nmnervucuk,qex7522,,7.0
,46859.0,Robert Half International,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,1-586-826-9847,Canada,516.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,FXHXLG,Hpiedhvkedqqdxsoedt,44480.0,OR,U,Winnipeg,S,1.0,98.0,,hgjkxxbf,Hpi7523,2.0,10.0
,2937668.0,CSX,Esuycdxsjfbrqbtluspxsehk,1-217-243-2668,Canada,703.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,ovlziicdezok,Fjdafgbcrml,87207.0,CA,R,Wilmington,,1.0,35.0,,Zangtryzlhmxo,Fjd7524,5.0,
,2388613.0,Country Financial Services,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,1-857-211-5728,United States of America,734.0,Rpzwirgfyiw,jsxcpvao,Cgtcmbl,238434.0,MO,O,El Monte,W,4.0,99.0,,FFJGEQD,Cgt7525,2.0,7.0
,3116283.0,Procter & Gamble,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,1-089-966-6281,United States of America,469.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Ykerbceq,Lwxudfgcqawccntqaucdaeym,,Prince Edward Island,U,Sterling Heights,M,0.0,49.0,M,Pdcxrihnl,Lwx7526,2.0,4.0
,2671950.0,Ingles Markets,vnyndcximwxhecv,,United States of America,595.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,VVMSNWEBT,epyxtfsrijhddstgaxkbgmlayjtk,391354.0,Quebec,O,Pembroke Pines,S,3.0,72.0,,Zckhcacwaelzutaodqalxyjrkh,epy7527,0.0,2.0
M,3899593.0,Forest Laboratories,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,1-231-342-6874,United States of America,410.0,Acdrcqabtcdgmgl,bibueqwbejem,Affcha,419165.0,KS,O,Philadelphia,U,3.0,41.0,m,sqrosgqnpifxjx,Aff7528,0.0,1.0
S,2537332.0,Dentsply International,,,Canada,475.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,gehpynlk,mfcestd,396509.0,NV,O,Glendale,W,3.0,54.0,,Erqzkkllazeobgthnmgsbtj,mfc7529,2.0,10.0
S,733236.0,RadioShack,GVSBHGBDDVJFNNOZNNPJWCOI,1-602-637-1838,United States of America,,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,Piwlxtg,Slfbmvc,145161.0,TN,R,El Monte,,0.0,11.0,,Lcziayaozecoqqluasolkmmcldm,Slf7530,2.0,2.0
,,Century Aluminum,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,1-003-982-8627,United States of America,519.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Ujlshmosjkid,Cxuousxqyrfgjvpvuopyfguqva,263206.0,WY,O,Warwick,W,2.0,0.0,,Gcnczmuxviqaxtsdzmzhtro,Cxu7531,5.0,3.0
F,3397276.0,,BIQIOQOHLQSTBRUFOI,1-136-358-6852,United States of America,841.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,cwburwnupuj,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,190371.0,British Columbia,U,Milwaukee,D,3.0,27.0,,Rsoobsqytvjycob,GZO7532,3.0,5.0
A,2444257.0,FPL Group,Llfaqkbemnoy,1-123-528-2965,United States of America,540.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,CNEZMHTKIAEV,DRWTVTDSG,203968.0,LA,O,Phoenix,U,3.0,95.0,,Pjvadgt,DRW7533,1.0,6.0
N,71520.0,Lockheed Martin,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,1-136-565-2501,United States of America,540.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,kixvppuqtd,setksinlvlrjwnfu,428323.0,HI,R,Anchorage,U,1.0,35.0,f,GUBKOKITTSKVYM,set7534,3.0,10.0
,1911091.0,Sanmina-SCI,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1-317-986-1984,United States of America,,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,jrhynxfi,Pyoixliri,159980.0,NY,O,Madison,M,4.0,96.0,,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Pyo7535,1.0,6.0
,988775.0,Iron Mountain,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,1-265-603-1262,Canada,424.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,dnhtjyu,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,266852.0,TX,O,Fontana,W,0.0,96.0,M,Kuteauo,FSH7536,0.0,6.0
,3919363.0,OfficeMax,,,United States of America,623.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,YKOVOTYB,Tdxyljuxporjhdumcvfmv,206973.0,AZ,R,Charlotte,M,5.0,49.0,,Hkfofpndygljbeo,Tdx7537,5.0,2.0
O,428918.0,AMR,atydogjpqphuwhegtbukkqiaeakrtrn,1-156-668-6882,Canada,792.0,XHQNMCEJKXOQYVSZVESLKC,WNNMWJ,Sbnxcsrozzcufdoyvckpplofysx,258221.0,ME,O,Richmond,S,5.0,,,Kengxgsu,Sbn7538,1.0,4.0
C,58134.0,Kohl's,Hlotorcbtobuceb,1-164-648-3203,United States of America,718.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Oktkljv,Piqizouhxiw,428508.0,NH,O,Santa Clarita,S,4.0,27.0,f,Plywuoa,Piq7539,4.0,6.0
,3703767.0,Cigna,gsrdigbqfwrahybxrtm,1-839-795-1027,,401.0,Toumjfbsumpgfuskpydjeibaxi,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,KY,O,Yellow Knife,M,4.0,98.0,M,zfcwsxpjzyqelkxg,IXD7540,0.0,6.0
,433859.0,West,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,1-958-412-4252,United States of America,557.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,GXFLSISZUY,wsnjomkxbtybfnmtcjhvmblfwamnwd,58953.0,Prince Edward Island,R,Oxnard,M,4.0,,,Yxvczhqjwgnhowiu,wsn7541,5.0,2.0
A,3002044.0,Monsanto,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,1-392-335-1020,United States of America,393.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,gzexcrngivl,Jkpmtcj,409682.0,British Columbia,O,Huntington Beach,W,5.0,56.0,M,Grkknjyfgbhtyrhxzeaoeoyirwfa,Jkp7542,5.0,7.0
,1124168.0,Reliant Energy,,1-912-050-7605,United States of America,557.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,yzoikhwrd,CCFFVCOHCLUUXZIQTCFCUHEYN,340191.0,CT,,Durham,M,2.0,94.0,M,Vfrdst,CCF7543,4.0,10.0
,2081541.0,Idearc,RELJYREDKQEKGOORBLRKOUIC,1-075-551-9919,United States of America,465.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Gdbktega,yljvuglvt,238216.0,WA,O,Naperville,U,4.0,98.0,,Hqcswumjvwbemosmy,ylj7544,5.0,5.0
V,1897076.0,Neiman Marcus,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1-013-611-2674,Canada,,hkyochorqgtokxgozmoncalaaiw,Kdcqzpvf,ZBBXAWVJAAL,113171.0,ND,O,Albuquerque,M,0.0,8.0,F,Ectbhkmbvwkwdbn,ZBB7545,1.0,6.0
,235172.0,O'Reilly Automotive,Yewxbqpnfgh,1-656-865-7544,United States of America,485.0,Datdnghoiymltcayulgkgxywi,Tbwgwtmgcu,fqekemquvstw,234797.0,ID,,Newark,W,5.0,90.0,m,Bdbgqpllbnrmiirpct,fqe7546,,10.0
,639573.0,Cliffs Natural Resources,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,1-879-870-7379,United States of America,303.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Mwmfs,Wpwhilrlzng,225322.0,Quebec,,Miami,M,4.0,34.0,,Ftszluaxcsoxdfbmdd,Wpw7547,2.0,2.0
,2667082.0,Health Management Associates,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,1-366-625-9813,Canada,846.0,,goelqgcts,vpzxgcwljllsq,192689.0,ID,O,London,W,1.0,25.0,,Qrdnpjquwnixfocqhsrlkcxmelwijl,vpz7548,2.0,4.0
,2598634.0,Chevron,VDBAVRMWFYBDZUILPKFXIVIYGFUU,1-359-462-7089,Canada,621.0,,ucwygjzs,Yfzmtcvxc,348685.0,AL,O,Worcester,,5.0,50.0,,Kkiolpmrgzmnjanqc,Yfz7549,4.0,1.0
,1074671.0,Exide Technologies,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,United States of America,331.0,,fjlfqftwg,douvwdwiwrxoivzaojazinrhswjv,401229.0,UT,O,Jacksonville,D,3.0,85.0,,unzegilpp,dou7550,4.0,
,2272997.0,Convergys,hfuyqlsmbesrylepu,1-153-396-8333,United States of America,401.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Tocujgaiaq,FDJOVRSOCWEIKZ,38597.0,MS,R,Nashua,M,5.0,60.0,M,xetqkitwlh,FDJ7551,4.0,9.0
,702000.0,Dominion Resources,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,1-144-623-1308,United States of America,644.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,kurjmmgixxfd,ufutrfkevxnbupjcetrpltw,,AK,R,Newport News,S,2.0,95.0,,TWRRGULRYKYUWZYBQQFMIFFKVK,ufu7552,2.0,0.0
H,1289800.0,Sentry Insurance Group,qgjnvpwvmgsqzcanzncon,1-269-220-8046,United States of America,769.0,NBSHKLXYVUUWXEQSGXR,cnsavindoi,bbgzmquoeecumw,161204.0,VT,R,Corona,M,4.0,8.0,m,Yqfljvgkfucafpjpamdtcppiipc,bbg7553,1.0,5.0
v,1007390.0,Cintas,HNBGLUDIOAJRCCIXGDUQOO,1-052-524-0130,,481.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,MQBSAUVQRPYE,Znkkdbkvxcxeuackyodqlkpl,202650.0,LA,O,Lincoln,M,3.0,31.0,f,mjeasoritwctufyojamzbeeoo,Znk7554,4.0,2.0
T,124290.0,Medtronic,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,1-335-871-6660,Canada,732.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,vadbnvz,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,,CT,O,Toronto,U,1.0,51.0,F,Udxaujgiratgthwkvdibgvwfo,CGQ7555,2.0,7.0
,1820002.0,Pride International,dnlleihfh,1-637-394-8083,United States of America,802.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Ljurvnigr,addxtssyhezwro,492433.0,UT,O,Fayetteville,M,4.0,24.0,,GHFUKZPOKMXWZF,add7556,4.0,2.0
J,2200347.0,A. Schulman,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,1-706-795-4208,Canada,329.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,BQDMQVFTNBRJ,Anwyusqezrjppzkaevffwljm,344858.0,IN,O,Charlotte,M,2.0,78.0,,ybtkiifyhbgchnuctnhnqspk,Anw7557,4.0,5.0
,3669569.0,Oneok,Wsjaujjdexc,1-622-347-5699,United States of America,839.0,nqcozjievwzk,jkcul,Hvtanebvipbdd,197290.0,WI,R,Tulsa,W,5.0,56.0,m,Fhkymmgjsbmpduuffgavhfcxm,Hvt7558,0.0,0.0
d,2140537.0,Danaher,Ojberg,1-042-017-9368,United States of America,539.0,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Nelny,Yqjaammjlhgpw,283654.0,WA,,Winston-Salem,U,2.0,50.0,,DEZDTMSMWKALBRPALCFIME,Yqj7559,,
,3258909.0,Del Monte Foods,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,1-829-935-5979,United States of America,561.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Qsggz,Ztnstwpjxatqveppicohpzilnn,317423.0,LA,R,Thousand Oaks,M,4.0,52.0,F,phoxfeiqoldgmnojmzunmargkla,Ztn7560,5.0,4.0
,1825422.0,American Electric Power,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,1-076-726-5283,United States of America,814.0,Lfrjkyblujmbxigmylpsxieswspmei,Drofa,bnizllrrofn,399126.0,VT,O,Lubbock,W,4.0,14.0,F,Upuabfflh,bni7561,5.0,2.0
,1845263.0,TJX,Xwtkpxqgohxwxnv,,United States of America,305.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Ssovhtmt,swxorhmdydwbrtdqxroghsddlpbdgi,398180.0,CT,R,Winnipeg,M,5.0,29.0,,owagfolbfwjzeg,swx7562,0.0,7.0
P,1463114.0,Philip Morris International,Qpvmtkxxfef,1-284-129-5920,United States of America,457.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Tnprhljfrlj,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,,RI,O,Laredo,S,2.0,50.0,f,Qdmppehqxloc,DSA7563,4.0,4.0
,2354683.0,Cincinnati Financial,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,1-128-308-8886,United States of America,349.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Bkxujhonjgjk,BXZUTWBUFSGPPXKR,485429.0,SC,O,Overland Park,U,4.0,67.0,,jqbetxkci,BXZ7564,1.0,8.0
,436677.0,Stryker,KRYAIAJGKHBKXBLC,1-145-469-5971,United States of America,590.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,mrjrjhgnwcdu,pczqycbwefse,118018.0,British Columbia,O,Calgary,M,2.0,22.0,,Wsmywgbvwspgdwhmdxsqjwqb,pcz7565,0.0,0.0
,2383335.0,Kansas City Southern,,1-727-684-7767,United States of America,533.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Yusezkfgs,Zqaknviqngvemehvpzrcgkcvre,309693.0,CO,O,Peoria,U,5.0,20.0,m,ocgwi,Zqa7566,4.0,0.0
z,2574739.0,IDT,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,1-776-201-2472,Canada,686.0,IBQIDE,RKXTQAO,Htltlfnvjctvvdvulpkhcbyfi,90718.0,TN,O,Durham,W,4.0,75.0,,Pcotdnngmurhkcd,Htl7567,0.0,9.0
L,1596838.0,Vornado Realty Trust,VBDCWYVK,1-767-942-1278,United States of America,582.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,UBQSATXZO,afwafvxxdr,280645.0,CA,O,Pueblo,U,2.0,60.0,F,bvcosqzcleknjzvkygbawlc,afw7568,0.0,10.0
,591965.0,Dollar General,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,1-723-062-7266,United States of America,807.0,Lrebujnrg,BHRNWQLFVFA,Wnakgzhqfhtavtvegjtdmdosnjr,231559.0,WY,O,Las Cruces,S,,,,ECLENELTSXGTNWOP,Wna7569,4.0,0.0
,3071440.0,Safeway,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,,United States of America,819.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Ktmzav,Mlheqxaigtvjaynkffyqkpu,36898.0,SD,O,Chula Vista,S,3.0,48.0,,Xdwexmrjat,Mlh7570,5.0,3.0
,2683081.0,Apache,Gwxymofcy,1-145-314-0862,United States of America,311.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,Nfpchgfj,Gorjnqxjtefmomsbmtnogaerx,396786.0,British Columbia,R,San Diego,M,2.0,91.0,,xjwnvwdryqpcehelwzfhkkiuus,Gor7571,0.0,5.0
,3850483.0,Lowe's,Qynjnmfgwxpmrw,1-735-104-7772,United States of America,734.0,Hxutrprq,Wuywecohosfi,ENXOMNHFVPYQSABETPUEKRKCL,344365.0,NJ,O,Chicago,U,2.0,98.0,f,RNBABCYAFMQPBOHXNUXMXNU,ENX7572,5.0,3.0
,1870617.0,Lithia Motors,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,,United States of America,432.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,tibxlojrqiha,fgrdzzudzmwlluff,1205.0,AK,O,Worcester,W,4.0,51.0,,Eyrtrqkljywvbcice,fgr7573,1.0,1.0
a,1249534.0,CH2M Hill,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,1-518-116-1411,United States of America,394.0,JRHXPUUHAFHDPF,ogmes,Yshzkx,276666.0,OH,O,Honolulu,S,5.0,22.0,m,Opybrukftspofebjmspkjsgtobzsp,Ysh7574,0.0,3.0
