prospect_AgeID,prospect_Co,prospect_C,prospect_Ag,prospect_St,prospect_NeWor,prospect_NumCreCar,prospect_Em,prospect_In,prospect_Ph,prospect_OwORF,prospect_AddrL2,prospect_PoC,prospect_NuCa,prospect_NuChi,prospect_MaSta,prospect_CrRat
epy7527,United States of America,Pembroke Pines,72.0,Quebec,2671950.0,2.0,Ingles Markets,391354.0,,O,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,VVMSNWEBT,3.0,0.0,S,595.0
Aff7528,United States of America,Philadelphia,41.0,KS,3899593.0,1.0,Forest Laboratories,419165.0,1-231-342-6874,O,Acdrcqabtcdgmgl,bibueqwbejem,3.0,0.0,U,410.0
mfc7529,Canada,Glendale,54.0,NV,2537332.0,10.0,Dentsply International,396509.0,,O,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,gehpynlk,3.0,2.0,W,475.0
Slf7530,United States of America,El Monte,11.0,TN,733236.0,2.0,RadioShack,145161.0,1-602-637-1838,R,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,Piwlxtg,0.0,2.0,,
Cxu7531,United States of America,Warwick,0.0,WY,,3.0,Century Aluminum,263206.0,1-003-982-8627,O,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Ujlshmosjkid,2.0,5.0,W,519.0
GZO7532,United States of America,Milwaukee,27.0,British Columbia,3397276.0,5.0,,190371.0,1-136-358-6852,U,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,cwburwnupuj,3.0,3.0,D,841.0
DRW7533,United States of America,Phoenix,95.0,LA,2444257.0,6.0,FPL Group,203968.0,1-123-528-2965,O,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,CNEZMHTKIAEV,3.0,1.0,U,540.0
set7534,United States of America,Anchorage,35.0,HI,71520.0,10.0,Lockheed Martin,428323.0,1-136-565-2501,R,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,kixvppuqtd,1.0,3.0,U,540.0
Pyo7535,United States of America,Madison,96.0,NY,1911091.0,6.0,Sanmina-SCI,159980.0,1-317-986-1984,O,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,jrhynxfi,4.0,1.0,M,
FSH7536,Canada,Fontana,96.0,TX,988775.0,6.0,Iron Mountain,266852.0,1-265-603-1262,O,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,dnhtjyu,0.0,0.0,W,424.0
Tdx7537,United States of America,Charlotte,49.0,AZ,3919363.0,2.0,OfficeMax,206973.0,,R,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,YKOVOTYB,5.0,5.0,M,623.0
Sbn7538,Canada,Richmond,,ME,428918.0,4.0,AMR,258221.0,1-156-668-6882,O,XHQNMCEJKXOQYVSZVESLKC,WNNMWJ,5.0,1.0,S,792.0
Piq7539,United States of America,Santa Clarita,27.0,NH,58134.0,6.0,Kohl's,428508.0,1-164-648-3203,O,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Oktkljv,4.0,4.0,S,718.0
IXD7540,,Yellow Knife,98.0,KY,3703767.0,6.0,Cigna,,1-839-795-1027,O,Toumjfbsumpgfuskpydjeibaxi,,4.0,0.0,M,401.0
wsn7541,United States of America,Oxnard,,Prince Edward Island,433859.0,2.0,West,58953.0,1-958-412-4252,R,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,GXFLSISZUY,4.0,5.0,M,557.0
Jkp7542,United States of America,Huntington Beach,56.0,British Columbia,3002044.0,7.0,Monsanto,409682.0,1-392-335-1020,O,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,gzexcrngivl,5.0,5.0,W,393.0
CCF7543,United States of America,Durham,94.0,CT,1124168.0,10.0,Reliant Energy,340191.0,1-912-050-7605,,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,yzoikhwrd,2.0,4.0,M,557.0
ylj7544,United States of America,Naperville,98.0,WA,2081541.0,5.0,Idearc,238216.0,1-075-551-9919,O,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Gdbktega,4.0,5.0,U,465.0
ZBB7545,Canada,Albuquerque,8.0,ND,1897076.0,6.0,Neiman Marcus,113171.0,1-013-611-2674,O,hkyochorqgtokxgozmoncalaaiw,Kdcqzpvf,0.0,1.0,M,
fqe7546,United States of America,Newark,90.0,ID,235172.0,10.0,O'Reilly Automotive,234797.0,1-656-865-7544,,Datdnghoiymltcayulgkgxywi,Tbwgwtmgcu,5.0,,W,485.0
Wpw7547,United States of America,Miami,34.0,Quebec,639573.0,2.0,Cliffs Natural Resources,225322.0,1-879-870-7379,,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Mwmfs,4.0,2.0,M,303.0
vpz7548,Canada,London,25.0,ID,2667082.0,4.0,Health Management Associates,192689.0,1-366-625-9813,O,,goelqgcts,1.0,2.0,W,846.0
Yfz7549,Canada,Worcester,50.0,AL,2598634.0,1.0,Chevron,348685.0,1-359-462-7089,O,,ucwygjzs,5.0,4.0,,621.0
dou7550,United States of America,Jacksonville,85.0,UT,1074671.0,,Exide Technologies,401229.0,,O,,fjlfqftwg,3.0,4.0,D,331.0
FDJ7551,United States of America,Nashua,60.0,MS,2272997.0,9.0,Convergys,38597.0,1-153-396-8333,R,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Tocujgaiaq,5.0,4.0,M,401.0
ufu7552,United States of America,Newport News,95.0,AK,702000.0,0.0,Dominion Resources,,1-144-623-1308,R,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,kurjmmgixxfd,2.0,2.0,S,644.0
bbg7553,United States of America,Corona,8.0,VT,1289800.0,5.0,Sentry Insurance Group,161204.0,1-269-220-8046,R,NBSHKLXYVUUWXEQSGXR,cnsavindoi,4.0,1.0,M,769.0
Znk7554,,Lincoln,31.0,LA,1007390.0,2.0,Cintas,202650.0,1-052-524-0130,O,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,MQBSAUVQRPYE,3.0,4.0,M,481.0
CGQ7555,Canada,Toronto,51.0,CT,124290.0,7.0,Medtronic,,1-335-871-6660,O,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,vadbnvz,1.0,2.0,U,732.0
add7556,United States of America,Fayetteville,24.0,UT,1820002.0,2.0,Pride International,492433.0,1-637-394-8083,O,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Ljurvnigr,4.0,4.0,M,802.0
Anw7557,Canada,Charlotte,78.0,IN,2200347.0,5.0,A. Schulman,344858.0,1-706-795-4208,O,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,BQDMQVFTNBRJ,2.0,4.0,M,329.0
Hvt7558,United States of America,Tulsa,56.0,WI,3669569.0,0.0,Oneok,197290.0,1-622-347-5699,R,nqcozjievwzk,jkcul,5.0,0.0,W,839.0
Yqj7559,United States of America,Winston-Salem,50.0,WA,2140537.0,,Danaher,283654.0,1-042-017-9368,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Nelny,2.0,,U,539.0
Ztn7560,United States of America,Thousand Oaks,52.0,LA,3258909.0,4.0,Del Monte Foods,317423.0,1-829-935-5979,R,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Qsggz,4.0,5.0,M,561.0
bni7561,United States of America,Lubbock,14.0,VT,1825422.0,2.0,American Electric Power,399126.0,1-076-726-5283,O,Lfrjkyblujmbxigmylpsxieswspmei,Drofa,4.0,5.0,W,814.0
swx7562,United States of America,Winnipeg,29.0,CT,1845263.0,7.0,TJX,398180.0,,R,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Ssovhtmt,5.0,0.0,M,305.0
DSA7563,United States of America,Laredo,50.0,RI,1463114.0,4.0,Philip Morris International,,1-284-129-5920,O,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Tnprhljfrlj,2.0,4.0,S,457.0
BXZ7564,United States of America,Overland Park,67.0,SC,2354683.0,8.0,Cincinnati Financial,485429.0,1-128-308-8886,O,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Bkxujhonjgjk,4.0,1.0,U,349.0
pcz7565,United States of America,Calgary,22.0,British Columbia,436677.0,0.0,Stryker,118018.0,1-145-469-5971,O,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,mrjrjhgnwcdu,2.0,0.0,M,590.0
Zqa7566,United States of America,Peoria,20.0,CO,2383335.0,0.0,Kansas City Southern,309693.0,1-727-684-7767,O,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Yusezkfgs,5.0,4.0,U,533.0
Htl7567,Canada,Durham,75.0,TN,2574739.0,9.0,IDT,90718.0,1-776-201-2472,O,IBQIDE,RKXTQAO,4.0,0.0,W,686.0
afw7568,United States of America,Pueblo,60.0,CA,1596838.0,10.0,Vornado Realty Trust,280645.0,1-767-942-1278,O,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,UBQSATXZO,2.0,0.0,U,582.0
Wna7569,United States of America,Las Cruces,,WY,591965.0,0.0,Dollar General,231559.0,1-723-062-7266,O,Lrebujnrg,BHRNWQLFVFA,,4.0,S,807.0
Mlh7570,United States of America,Chula Vista,48.0,SD,3071440.0,3.0,Safeway,36898.0,,O,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Ktmzav,3.0,5.0,S,819.0
Gor7571,United States of America,San Diego,91.0,British Columbia,2683081.0,5.0,Apache,396786.0,1-145-314-0862,R,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,Nfpchgfj,2.0,0.0,M,311.0
ENX7572,United States of America,Chicago,98.0,NJ,3850483.0,3.0,Lowe's,344365.0,1-735-104-7772,O,Hxutrprq,Wuywecohosfi,2.0,5.0,U,734.0
fgr7573,United States of America,Worcester,51.0,AK,1870617.0,1.0,Lithia Motors,1205.0,,O,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,tibxlojrqiha,4.0,1.0,W,432.0
Ysh7574,United States of America,Honolulu,22.0,OH,1249534.0,3.0,CH2M Hill,276666.0,1-518-116-1411,O,JRHXPUUHAFHDPF,ogmes,5.0,0.0,S,394.0
Mos7575,United States of America,Albuquerque,57.0,New Brunswick,3789880.0,1.0,Tellabs,497953.0,1-696-359-4829,O,yvntcqjqqmbftwetvbqgclcdbxspvk,JUBKXDKP,0.0,0.0,U,658.0
czu7576,Canada,Oakland,38.0,IL,3874445.0,3.0,Phillips-Van Heusen,156048.0,1-352-678-5471,O,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,Xbgykqm,1.0,2.0,M,348.0
Ghr7577,United States of America,Billings,68.0,AZ,437353.0,8.0,Wells Fargo,63617.0,1-906-600-9749,O,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,NNCXIBTCXZA,1.0,5.0,M,598.0
Rwk7578,United States of America,Pueblo,93.0,NY,2669917.0,9.0,Vornado Realty Trust,244849.0,1-093-018-2851,O,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,mfwuio,2.0,2.0,U,505.0
Uwi7579,United States of America,Sherbrooke,48.0,WA,1466537.0,7.0,New York Times,123585.0,1-302-096-9321,R,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,Utgwrun,4.0,3.0,S,839.0
VXZ7580,United States of America,Sacramento,96.0,GA,991860.0,2.0,Adobe Systems,391134.0,1-915-044-3154,U,CYQWJKJB,Wgulrhctjlg,1.0,1.0,S,672.0
Ayk7581,United States of America,Charlotte,58.0,AZ,,3.0,Valmont Industries,426759.0,1-040-274-3474,O,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,Srhxvxe,5.0,5.0,M,696.0
lho7582,United States of America,El Paso,63.0,NV,1816368.0,5.0,UAL,451737.0,1-678-397-2739,O,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,Dadkihaohc,5.0,3.0,W,448.0
rzi7583,United States of America,Mesa,18.0,TN,565246.0,9.0,AFLAC,180822.0,1-679-345-9939,O,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,Fpoleiod,2.0,1.0,S,549.0
Wds7584,United States of America,Simi Valley,40.0,AL,1899339.0,0.0,VeraSun Energy,205843.0,1-093-616-0613,O,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,Cuaieflmccqp,4.0,2.0,W,705.0
Xsj7585,United States of America,St. Catharines,29.0,TX,3873239.0,6.0,Magellan Health Services,470985.0,1-546-131-8988,O,ccfzcxohrhrcnypedmhjovjyjrxi,qiraymmapgf,4.0,3.0,M,387.0
Lux7586,United States of America,Washington,21.0,WV,767547.0,7.0,Emcor Group,318225.0,1-477-186-7432,,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,Tsynomgib,2.0,1.0,U,359.0
wxw7587,Canada,Chula Vista,41.0,ND,1027999.0,9.0,Peabody Energy,326044.0,1-965-848-6954,O,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,Amudllk,2.0,2.0,M,494.0
pfz7588,United States of America,Montpelier,56.0,Saskatchewan,3428495.0,10.0,State Farm Insurance Cos.,,1-622-866-0937,,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,ELQKT,1.0,1.0,M,345.0
hlx7589,United States of America,Mesa,33.0,VA,1827180.0,10.0,Humana,187282.0,1-040-217-2014,O,REHWDWEP,Oiwac,2.0,0.0,M,402.0
nyb7590,United States of America,New Haven,96.0,ND,2070007.0,3.0,News Corp.,,1-101-684-2373,O,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,Dqgzinvuxxy,2.0,0.0,M,579.0
Ltt7591,United States of America,Indianapolis,35.0,ND,,2.0,Torchmark,,1-386-426-5849,O,DIMPFMEBDNHBCT,Nchaajfkjvx,2.0,0.0,,569.0
gsz7592,United States of America,Stockton,40.0,MS,3596263.0,9.0,Rock-Tenn,306946.0,1-598-816-0126,O,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,XEDMBUAMGXKH,0.0,4.0,W,745.0
Kwp7593,,Louisville,10.0,WY,3719999.0,1.0,AGCO,99663.0,1-770-379-7700,U,DVYTEPWCABNSGPTLJEMPQLTEWM,crxbrlj,0.0,,D,320.0
AGM7594,United States of America,Atlanta,59.0,MA,3058439.0,4.0,,482013.0,,R,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,Eytubbwi,2.0,4.0,M,591.0
Ocn7595,United States of America,Milwaukee,70.0,AK,2592932.0,10.0,United Stationers,180476.0,1-628-245-6238,U,,Lwftldizl,1.0,0.0,M,
Cmw7596,United States of America,Fort Smith,69.0,PA,1471273.0,5.0,McCormick,285682.0,1-813-787-2611,,qlgnszfowrbrkuurrmjrfnfaeulhneecv,GSSFZNBZL,4.0,5.0,M,417.0
Dit7597,United States of America,Knoxville,96.0,MA,,8.0,National Life Group,455032.0,1-362-897-1162,R,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,Nrnqtmjz,0.0,5.0,M,338.0
Rmm7598,United States of America,Idaho Falls,9.0,DC,2410816.0,9.0,Hasbro,356141.0,1-952-919-4878,O,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,Rzjxvum,3.0,,S,340.0
ekj7599,Canada,Jacksonville,39.0,RI,1059543.0,5.0,Tupperware Brands,165667.0,1-145-214-8009,U,svisticqsjulrudmbisfvfrpddlemifeirzxpdcflhevzsrddatdhpzcrtucukwlqng,Accezkuzqrif,3.0,3.0,U,738.0
wcq7600,United States of America,Stockton,31.0,MA,379282.0,7.0,Covance,459767.0,1-328-944-9786,O,MIMWGPPF,LNZZPGOTEG,0.0,2.0,S,597.0
Klc7601,United States of America,Thousand Oaks,64.0,Alberta,3271265.0,4.0,Interactive Brokers Group,106459.0,1-899-864-9421,R,Xpannac,YINOHET,2.0,2.0,M,603.0
Jrd7602,,Nashua,38.0,AR,1530364.0,5.0,SkyWest,51021.0,1-877-997-8896,U,Pspmoftnashzvtfxfiuuzjpcvugdlvvezjgojjmvkgaqxqriw,ddgkyv,,1.0,D,662.0
GDQ7603,United States of America,Tallahassee,47.0,VA,3731860.0,0.0,Best Buy,494931.0,1-750-900-0823,R,RUVLQHPKIECWUMXVAJLEIVCCDFYFEMUNTJAJ,Seiksuhglhj,2.0,4.0,W,838.0
fnm7604,United States of America,Brownsville,,OR,2488858.0,9.0,Sears Holdings,429859.0,,O,Tgduloxjkccxdbsfdbssvgjtovxnpmmufkdwbhtgolrddejglsgeds,Ytgghhaxc,5.0,2.0,M,791.0
Ymu7605,Canada,Charlotte,76.0,ID,2301347.0,7.0,Frontier Oil,,1-347-704-7823,O,Axjkrkrawohwcuinpapcyjweaijfinacyiwajxirccyh,Ajlcdadx,1.0,4.0,S,692.0
Pxj7606,,Oakland,60.0,IA,1736571.0,8.0,Automatic Data Processing,464086.0,1-228-976-2888,O,WONBQPUKDIDRBXJQPKRNCTWJZIQEVS,Daivf,0.0,3.0,W,673.0
Rsd7607,Canada,Fort Wayne,73.0,TN,2399483.0,7.0,,207651.0,,O,Mbkljdwjmcmljajvikytmadyqikaodunvvwefxnbvjquurcokfmbhtjirkox,xrquzcptycg,3.0,,U,331.0
Qqh7608,United States of America,Chula Vista,37.0,Nova Scotia,2982744.0,2.0,Comerica,260418.0,1-760-429-1328,O,BPPKDY,shigmwk,4.0,,U,744.0
udq7609,United States of America,Peoria,50.0,Ontario,1611011.0,6.0,Baldor Electric,,1-253-879-8833,U,eapjgyvomnplzitwttydublguuocfdcksfgxlvoziqblbgdr,enehob,5.0,1.0,M,446.0
Ghl7610,Canada,Lexington,0.0,MD,2999167.0,0.0,Commercial Metals,316963.0,1-401-256-3483,O,Nbhshnkkfusbintuaomfozzlzlrqvcnszantpkgtdkpeezeygucvpain,RNLAKRXSPA,0.0,4.0,M,
mtk7611,Canada,Salem,,AR,,,,84046.0,1-175-910-8245,O,Xuqmcmxaigbk,Hlezt,5.0,,W,
QIY7612,United States of America,San Jose,,Saskatchewan,3307491.0,9.0,Molina Healthcare,368990.0,1-565-191-3419,O,cjnjhkatetnmjfhafbopqgnqxuyyigzhvcscq,Iyqmkpcjx,0.0,3.0,M,723.0
Ohz7613,Canada,Kansas City,81.0,OH,2057260.0,2.0,Plains All American Pipeline,124382.0,1-921-688-5401,O,HBKYXCKDWMWYBLFBULAVFJRDDWSJVEIRZWMRPJI,klgnkcaedht,2.0,0.0,S,348.0
djg7614,United States of America,Windsor,52.0,VA,53179.0,,Agilent Technologies,9263.0,1-925-155-0170,O,EECYCMJAJGNQBRSKW,Jsombikj,2.0,0.0,M,666.0
Iad7615,United States of America,Chicago,68.0,ID,690086.0,3.0,AutoZone,334181.0,1-185-691-2951,U,Gzqqapoggafoymlrsdrpgoprvegwwopsfzocffghlyukaydviarcohmehmyeirotvnrvtpi,Xtckbvng,2.0,4.0,M,
EMG7616,United States of America,Evansville,,WI,2025465.0,8.0,,314001.0,1-067-518-3854,R,hgandkyzsnb,YPUWSVRD,0.0,1.0,M,844.0
Hjn7617,Canada,Honolulu,36.0,MS,695307.0,8.0,Universal Health Services,168309.0,1-188-554-1671,O,Zdhvqoatgrajtuxyjelccetgjoccpfpsixd,Ifxvsnt,1.0,4.0,M,766.0
CYP7618,United States of America,Cleveland,31.0,OK,3238398.0,10.0,Time Warner,322765.0,1-168-215-2223,O,Qjlhsxmeblxszguipqhysmeugvxjfbogsljhnkjbyzofkptcvjsxjzk,EAOJPQVWBNZ,2.0,4.0,M,521.0
KPN7619,United States of America,Livonia,55.0,GA,1213578.0,7.0,Sealed Air,311253.0,1-228-022-3056,O,QTWXYHMLBYQ,fhirgl,1.0,5.0,W,306.0
Vbi7620,United States of America,Little Rock,66.0,TN,103708.0,9.0,Sprint Nextel,140296.0,1-926-766-1124,R,SDEAIMDWRSKXTFCPHWF,Lahfziy,5.0,5.0,W,411.0
ehb7621,United States of America,Halifax,22.0,SC,1086081.0,3.0,,439984.0,1-538-797-1948,O,Hvihqkuiruvwtepybhnojenudorriouchghugcvjufnkzunbsrmtbcrmps,tofdjef,1.0,5.0,M,
TMQ7622,United States of America,Peoria,51.0,AR,1349626.0,8.0,Quiksilver,454011.0,1-627-234-0841,O,DDYEJXZYQIMFMUBLREEDFORHJSISHQDDZPBMPYHNYWIFJDDOUOLVPBXWANDWWB,rckzx,5.0,0.0,U,702.0
