City,Income,Phone,Age,Country,Gender,State,NumberCars,AddressLine1,NetWorth,LastName,CreditRating,MaritalStatus,NumberCreditCards,NumberChildren,OwnOrRentFlag,MiddleInitial,AddressLine2,Employer,FirstName,PostalCode,AgencyID
Colorado Springs,,1-995-554-5056,5.0,United States of America,,IN,4.0,23822 marvin crescent,2231509.0,donovan,367.0,,5.0,0.0,U,S,,Illinois Tool Works,Aryn,35808,don23
Fontana,252031.0,1-090-303-3807,23.0,United States of America,,MD,1.0,2203 valita boulevard,3206409.0,Giallo,507.0,M,1.0,5.0,O,T,,Southern Union,Allisan,M5f 1v6,Gia24
St. Catharines,101800.0,1-492-968-0932,61.0,United States of America,M,KY,3.0,11538 COLLINWOOD AVENUE,3850037.0,SPRUELL,362.0,M,9.0,1.0,O,,,Moog,Ammamaria,99539,SPR25
Hayward,436977.0,1-960-227-2020,,United States of America,F,CA,0.0,7818 EAST STREET,528440.0,SKALSKI,527.0,D,7.0,1.0,O,,,Old Republic International,Mari,95055,SKA26
Palmdale,495334.0,1-431-122-8597,51.0,United States of America,m,FL,0.0,10013 shaw road,597140.0,Gargul,354.0,S,0.0,,O,,,,Anica,93686,Gar27
Phoenix,274685.0,1-822-836-7200,97.0,United States of America,,Newfoundland,1.0,6802 AMES STREET,146931.0,Dore,511.0,M,1.0,1.0,O,,,Great Plains Energy,Melba,75218,Dor28
Gary,320820.0,1-530-117-0497,52.0,United States of America,,TX,2.0,22501 SUMMIT RUE,353495.0,DIOGO,412.0,,7.0,2.0,,X,,Broadcom,Tracee,91174,DIO29
Beaumont,195835.0,1-051-257-2719,98.0,Canada,m,WA,4.0,291 frances rue,295647.0,Merrick,583.0,S,1.0,0.0,O,,,Discover Financial Services,CANADIAN,49515,Mer30
Nashua,108085.0,1-171-989-1363,47.0,United States of America,,MN,5.0,16264 sanders east,408941.0,Atchison,710.0,U,5.0,3.0,O,R,,UAL,Oue,16506,Atc31
San Jose,260185.0,1-042-705-3246,47.0,United States of America,m,WY,2.0,16068 cantey way,362523.0,Plamondon,380.0,M,9.0,1.0,O,X,,Charles Schwab,wallie,94383,Pla32
Nashua,258323.0,1-098-328-2026,9.0,United States of America,F,NY,0.0,21170 EDLOE BOULEVARD,2102359.0,SELCHOW,796.0,M,2.0,0.0,R,E,,Coach,Andromache,T6d 1b3,SEL33
Fort Smith,79476.0,1-209-754-5635,85.0,United States of America,f,SC,1.0,885 CROSBY LANE,3480265.0,shane,818.0,M,2.0,3.0,U,Z,,DaVita,THOR,25339,sha34
Lancaster,102156.0,1-498-781-3456,81.0,United States of America,,MS,5.0,12235 jay street,3648900.0,MERWIN,766.0,M,3.0,3.0,U,,,Marshall & Ilsley Corp.,SALAH,V6o 1v4,MER35
Colorado Springs,221481.0,1-615-241-0440,0.0,United States of America,,UT,2.0,20340 LOMBARD CRESCENT,1161790.0,conrad,359.0,M,2.0,3.0,O,,,Cablevision Systems,HOR-LAM,01852,con36
Washington,41836.0,1-995-449-5200,28.0,United States of America,M,PA,1.0,22074 dexter upper,2050587.0,onsiteteam,401.0,S,2.0,5.0,R,,,Barnes & Noble,Vania,78230,ons37
Lowell,72389.0,1-295-673-4452,65.0,Canada,M,OK,1.0,1540 MURIE RUE,3579198.0,Summerlin,609.0,U,0.0,1.0,O,,,EMC,Niel,93770,Sum38
Frederick,66486.0,1-914-675-2986,20.0,United States of America,,WY,3.0,7075 glen loch drive,889494.0,grooms,630.0,S,2.0,0.0,O,F,,Fluor,ziad,m4l 1n4,gro39
Mesa,200185.0,,55.0,United States of America,,RI,3.0,11237 balmoral way,2205682.0,dilkie,671.0,M,9.0,1.0,O,I,Apt. 382,Dollar General,Claude,22335,dil40
Lakewood,289215.0,1-825-739-0336,76.0,United States of America,,HI,0.0,8316 GARDEN BROOK NORTH,1140117.0,DOLSON,715.0,U,10.0,2.0,O,,,Lear,AVTAR,V6C 1T4,DOL41
Cleveland,322484.0,1-956-713-3802,1.0,United States of America,,VA,4.0,2240 clifton lower,1421319.0,Posthumus,707.0,M,9.0,1.0,O,,,J.P. Morgan Chase & Co.,Donny,M6t 1h3,Pos42
Grand Rapids,83458.0,1-814-932-1579,3.0,United States of America,,OK,4.0,20907 NOTINGHAM LOWER,3525204.0,Machika,329.0,M,0.0,2.0,O,,,Affinia Group Intermediate,Cocos,95263,Mac43
Peoria,,1-135-443-7282,100.0,United States of America,,Prince Edward Island,0.0,601 carroll lower,468976.0,chenoweth,601.0,D,8.0,3.0,R,,,,ruud,v5b 1p5,che44
Inglewood,492407.0,1-720-975-0667,81.0,United States of America,,SD,5.0,18267 state drive,1685443.0,holbrooks,623.0,W,2.0,1.0,O,,,Goldman Sachs Group,Belvia,32318,hol45
Akron,346630.0,1-871-598-3505,76.0,United States of America,f,OH,4.0,9270 LEAF SOUTH,337564.0,pfieffer,376.0,S,2.0,4.0,O,,,E*Trade Financial,ATHAR,93872,pfi46
Charlottetown,9572.0,1-607-222-4809,51.0,Canada,,MA,1.0,18582 PERIMETER BOULEVARD,84777.0,elkington,560.0,W,0.0,3.0,O,Y,,Pfizer,Cherey,92824,elk47
Bellevue,265369.0,1-965-046-0642,,United States of America,F,MD,1.0,9612 park stream upper,3146477.0,Labenek,693.0,,4.0,5.0,O,,,Safeway,RAZ,e4a 1r2,Lab48
Dover,104172.0,1-155-441-3579,58.0,United States of America,,Saskatchewan,1.0,2803 clearwater north,495277.0,laferriere,346.0,S,0.0,2.0,U,Y,,Simon Property Group,kishore,H7G 1V4,laf49
Fullerton,65550.0,,52.0,United States of America,,WA,0.0,11103 BISSONNET WEST,746904.0,Norment,342.0,M,0.0,3.0,O,I,,Trinity Industries,Nelleke,85039,Nor50
Denver,,1-544-132-7237,91.0,Canada,,OH,2.0,4652 outervale lane,1219620.0,hagar,563.0,M,8.0,0.0,R,,,Solutia,sibby,v6m 1q3,hag51
Dallas,,1-821-089-2089,17.0,United States of America,m,WY,2.0,341 dunbar west,1718910.0,Betcher,391.0,M,4.0,3.0,O,,,,ericha,X7j 1r1,Bet52
San Jose,66244.0,1-135-391-9787,6.0,United States of America,m,NJ,4.0,16176 vernon drive,,Van der,381.0,S,8.0,4.0,O,,,A.O. Smith,Janson,B8b 1z5,Van53
Bellevue,426954.0,1-776-182-6215,89.0,United States of America,F,ND,0.0,23131 clint way,2636424.0,O'LEARY,539.0,S,9.0,3.0,U,,,AptarGroup,Dorotea,t5d 1v4,O'L54
San Buenaventura,126891.0,1-079-780-7761,99.0,United States of America,m,NC,5.0,11640 baltic upper,1326305.0,anderson,497.0,M,0.0,4.0,O,,,Coca-Cola,Denice,V6t 1r2,and55
St. Louis,454196.0,1-504-346-4393,77.0,Canada,,WV,4.0,20796 dolores drive,2241997.0,starks,661.0,M,,2.0,O,,,Kimberly-Clark,Myron,91177,sta56
Pueblo,163940.0,1-985-538-4351,,United States of America,,GA,5.0,14359 COMMERCE WEST,1542891.0,CHASSE,558.0,S,0.0,3.0,R,,Apt. 275,Visteon,Barby,T5c 1t1,CHA57
Regina,365213.0,1-254-097-9398,90.0,Canada,R,Ontario,,21448 hampton boulevard,797918.0,ASING,534.0,W,,1.0,O,,,TECO Energy,Ariella,35862,ASI58
Saskatoon,428739.0,1-545-924-9552,82.0,United States of America,f,MA,0.0,7637 pershing way,347654.0,askins,373.0,M,6.0,0.0,U,,,Bemis,ADEY,96820,ask59
Jackson,142444.0,1-984-233-8818,,United States of America,,CA,4.0,11529 arcana boulevard,2456397.0,Kikuta,382.0,M,8.0,0.0,O,K,,Wyeth,GAYEL,75238,Kik60
St. Petersburg,416168.0,1-528-691-1642,15.0,United States of America,F,SD,3.0,2700 windwood north,1284229.0,Chane,475.0,S,10.0,3.0,O,,,United Technologies,Man,85769,Cha61
Scottsdale,291420.0,,,United States of America,m,Saskatchewan,2.0,22279 gramercy road,618787.0,KILLEN,539.0,D,3.0,0.0,O,U,,Clorox,Klara,H5i 1o9,KIL62
Charlotte,413501.0,1-171-807-8213,96.0,United States of America,f,RI,4.0,9828 west east,1171606.0,kinley,711.0,M,6.0,5.0,O,,,Discovery Communications,Abdalla,90849,kin63
Waterbury,,1-056-241-7009,38.0,United States of America,,NC,4.0,5935 mcafee park,3983261.0,MALAHER,606.0,M,1.0,,O,,,Williams-Sonoma,bal,43644,MAL64
Chesapeake,419143.0,1-389-414-0570,10.0,United States of America,,SD,3.0,12460 CLAYTON STREET,2328568.0,Odum,494.0,W,0.0,3.0,O,J,,Manitowoc,Romy,99213,Odu65
Hialeah,155057.0,1-583-542-1656,72.0,United States of America,,IL,1.0,275 3rd drive,2078600.0,DI NINNO,309.0,M,3.0,5.0,O,,,Henry Schein,KORAL,72226,DI 66
Charleston,313859.0,1-269-712-0672,97.0,United States of America,,OR,2.0,6907 FERNCLIFF CRESCENT,2986155.0,STUBBLEFIELD,630.0,M,3.0,5.0,O,K,,Trinity Industries,YUKIHIKO,V6Z 1Q9,STU67
Salem,265907.0,1-670-102-0463,48.0,United States of America,,Ontario,4.0,885 crosby lane,1864039.0,HAMBALI,330.0,S,10.0,1.0,O,,,Pepsi Bottling,Khanh,20082,HAM68
Sacramento,283481.0,1-699-726-3895,97.0,Canada,m,FL,,2344 kalani west,1293721.0,LIBRARIAN,710.0,S,9.0,0.0,O,,,UGI,Darnell,35827,LIB69
Santa Clarita,200635.0,1-640-666-2876,73.0,United States of America,M,NM,4.0,22870 LA CIENEGA STREET,3850114.0,ohsone,475.0,M,7.0,0.0,R,,,Greif,feridoun,99692,ohs70
Sherbrooke,434519.0,1-540-639-1311,71.0,United States of America,,NE,0.0,8478 green avenue,1618743.0,HUMMEL,596.0,U,3.0,1.0,O,O,APT. 143,Equifax,Magdy,V6c 1q5,HUM71
Colorado Springs,392315.0,1-285-874-8492,93.0,United States of America,,MI,5.0,23639 purdue rue,3383487.0,BRADD,670.0,W,9.0,1.0,O,,,,jiri,80158,BRA72
Berkeley,493829.0,1-121-904-0040,53.0,United States of America,,New Brunswick,5.0,19202 ansley park,2981876.0,Boarder,722.0,U,,3.0,O,X,,Freescale Semiconductor,AILA,t6d 1b6,Boa73
San Buenaventura,97489.0,1-017-842-3201,32.0,United States of America,,NJ,3.0,11319 devonshire rue,2109339.0,Mcnally,587.0,U,7.0,2.0,O,,,Aleris International,Vincenzo,33120,Mcn74
New Haven,,1-215-859-3206,1.0,United States of America,F,ND,4.0,23665 deerwood park,791803.0,MARKOVICH,609.0,S,4.0,3.0,O,,,,Minnnie,99742,MAR75
Shreveport,383046.0,1-764-520-7470,39.0,United States of America,f,Saskatchewan,0.0,4855 union north,3523678.0,Willekes,401.0,S,7.0,1.0,O,,,World Fuel Services,alfonzo,V6N 1T1,Wil76
Lansing,1190.0,1-414-130-0162,77.0,United States of America,m,KS,4.0,9466 SHADOWBRIAR WEST,1681902.0,Deacetis,335.0,M,0.0,0.0,,S,,R.R. Donnelley & Sons,Swandi,44104,Dea77
Pembroke Pines,85733.0,1-970-240-9990,18.0,United States of America,,SD,5.0,3504 regency avenue,3851455.0,Houk,569.0,U,7.0,5.0,O,,,Brinker International,Anya,14605,Hou78
Palmdale,387890.0,1-408-684-6459,70.0,Canada,,FL,0.0,7281 northland lower,2339382.0,Goyette,,M,9.0,2.0,R,,,Temple-Inland,Enrika,80076,Goy79
Savannah,16808.0,1-330-353-5908,26.0,United States of America,f,Saskatchewan,2.0,12481 hayden lower,,Mok-fung,679.0,S,7.0,0.0,O,Z,,Psychiatric Solutions,SONJA,V6I 1V6,Mok80
Amarillo,304589.0,1-766-726-2675,,United States of America,,FL,,2328 gracie avenue,2065016.0,Rundle,356.0,M,10.0,4.0,,I,,Nash-Finch,Liem,97307,Run81
Anchorage,48506.0,1-938-425-7509,58.0,United States of America,o,UT,2.0,4737 campbell street,2454049.0,BELLEY,308.0,S,9.0,5.0,R,,,AMR,COLLETTE,46237,BEL82
Louisville,,1-527-308-8874,43.0,United States of America,,WY,0.0,2401 stratmore lower,2423395.0,BAER,412.0,M,4.0,4.0,O,Y,,Spartan Stores,SIAMACK,V6B 1S6,BAE83
Hilo,358862.0,1-810-590-0635,65.0,United States of America,f,NH,2.0,21477 JUNIPER CRESCENT,1342045.0,MAULDIN,618.0,D,4.0,3.0,O,,,Cigna,Toshihiro,H2d 1x1,MAU84
Sudbury,477614.0,1-274-548-2512,24.0,United States of America,,AR,5.0,19214 YAUPON BOULEVARD,861756.0,Koohgoli,429.0,S,5.0,3.0,O,,,General Cable,Casey,95108,Koo85
Orlando,175414.0,1-649-754-4601,79.0,United States of America,,CT,3.0,7785 rusk boulevard,1215349.0,Lauriston,819.0,S,3.0,1.0,O,,,Dun & Bradstreet,Daryn,80050,Lau86
Missoula,427598.0,1-905-932-1785,48.0,Canada,F,VT,0.0,18002 cantrell upper,3981554.0,Mangum,552.0,M,7.0,1.0,O,L,,Casey's General Stores,Adrianna,90122,Man87
Abilene,368207.0,1-031-004-7697,69.0,United States of America,,Manitoba,0.0,23341 brookside upper,3865937.0,PIERCY,587.0,S,9.0,4.0,O,,,Jack in the Box,Cortney,43614,PIE88
Saskatoon,449944.0,1-994-812-4796,91.0,United States of America,M,NJ,3.0,20494 ROSS WEST,2804700.0,Buscaglia,304.0,S,6.0,1.0,O,,,Assurant,Duane,61110,Bus89
Irvine,166247.0,1-176-513-4041,75.0,United States of America,,KY,5.0,17552 SAVANNAH NORTH,3283558.0,BABIONE,795.0,,4.0,5.0,U,,,Psychiatric Solutions,Tele,70174,BAB90
Reno,391165.0,1-072-244-6337,85.0,United States of America,M,GA,1.0,4462 pace crescent,450524.0,Burkard,830.0,S,2.0,3.0,O,,APT. 373,Danaher,Ophelia,90324,Bur91
Sacramento,165854.0,1-924-669-9328,76.0,United States of America,,NJ,5.0,7161 tallowood upper,,Kinsella,709.0,M,3.0,3.0,R,,,Clorox,lorine,s7d 1n1,Kin92
Topeka,326181.0,1-598-488-3541,68.0,United States of America,,SC,2.0,3489 silver sage west,,POMMAINVILLE,493.0,S,8.0,1.0,O,,,Boyd Gaming,Viole,93829,POM93
Rancho Cucamonga,173387.0,1-295-539-3868,95.0,United States of America,M,TN,3.0,12481 hayden lower,633760.0,BOATWRIGHT,680.0,M,,,O,,,Eaton,Nani,89116,BOA94
Hilo,301127.0,1-554-020-0267,15.0,United States of America,,WY,1.0,13210 3RD DRIVE,3634954.0,Ronald,800.0,M,,5.0,R,R,,Dynegy,cherey,94315,Ron95
Saint John,487230.0,1-793-621-4566,17.0,United States of America,,Ontario,1.0,8899 starling lane,799268.0,weihs,614.0,M,4.0,5.0,R,A,,AmeriCredit,Redgie,T5b 1u9,wei96
Torrance,425747.0,1-787-267-4261,94.0,Canada,M,DC,4.0,11480 fennel south,39093.0,Helpb,763.0,,6.0,0.0,R,P,,SLM,Yousef,T6b 1a5,Hel97
Santa Clara,401946.0,1-668-247-1597,70.0,United States of America,m,Alberta,4.0,7266 cherry upper,2705353.0,moghe,561.0,S,3.0,4.0,O,,,NV Energy,Damaris,60699,mog98
Torrance,425422.0,1-901-346-8890,29.0,United States of America,,ME,1.0,10678 ENGLEWOOD WEST,3565153.0,bozicevich,569.0,S,4.0,2.0,O,,,Landstar System,Ilyssa,V6p 1s8,boz99
Stockton,208890.0,1-451-273-3803,52.0,United States of America,,MA,4.0,21181 2ND RUE,2832204.0,Zaharychuk,634.0,M,5.0,1.0,O,R,,Pacific Life,Moselle,v6i 1p1,Zah100
Paterson,67880.0,1-129-499-9136,51.0,United States of America,F,NV,5.0,22963 hanover road,2194345.0,Andric,488.0,U,10.0,3.0,O,,,Textron,Dulsea,79423,And101
Mesa,133412.0,1-899-319-0772,24.0,Canada,,WA,2.0,8268 cliffbrook boulevard,3737140.0,Bamfo,788.0,W,5.0,3.0,O,L,,Pfizer,Lyndsie,H5j 1o6,Bam102
Anchorage,144829.0,1-053-396-0441,98.0,United States of America,,WY,3.0,5118 montview court,464753.0,frondozo,333.0,D,8.0,4.0,O,,,Cigna,KESLEY,93761,fro103
Miami,,1-239-665-9540,59.0,United States of America,,NJ,1.0,17442 tallowood upper,596696.0,Caron,601.0,M,,1.0,U,J,,Ameren,LAUREL,76150,Car104
Great Falls,143682.0,1-605-888-3403,49.0,Canada,f,LA,3.0,4038 WEDGEWOOD STREET,1504753.0,muchow,595.0,U,2.0,4.0,O,V,,Consolidated Edison,Steen,99717,muc105
Erie,350020.0,1-630-604-2543,1.0,United States of America,,TX,0.0,20334 anaconda avenue,3049281.0,gateau,433.0,U,10.0,1.0,O,,,Occidental Petroleum,noel,60608,gat106
Hollywood,435103.0,1-851-862-7928,79.0,United States of America,F,SC,0.0,5385 young west,247478.0,Schaefer,403.0,U,10.0,,O,M,,Sherwin-Williams,Tracey,v6w 1u4,Sch107
Tulsa,207768.0,1-065-415-5724,6.0,United States of America,,TX,1.0,2747 SINCLAIR LANE,2750301.0,pomerleau,615.0,,3.0,5.0,R,,,Affiliated Computer Services,Sarajane,T5b 1t6,pom108
Tucson,407512.0,1-408-512-1007,70.0,United States of America,F,MN,0.0,8622 BROWNWAY PARK,721333.0,cucuzzella,735.0,M,1.0,4.0,O,K,,Valassis Communications,Geoffrey,23298,cuc109
Anchorage,403366.0,1-083-902-4184,23.0,United States of America,q,ID,3.0,18048 GREEN NORTH,669440.0,SUGARMAN,668.0,S,1.0,0.0,O,Z,,,loralyn,32803,SUG110
Sandy,384095.0,1-568-403-7081,78.0,Canada,,MI,3.0,18994 country boulevard,2473979.0,Pepe,349.0,M,,5.0,O,,,Smithfield Foods,andrei,64122,Pep111
Boston,288969.0,1-824-389-0618,79.0,United States of America,f,OK,4.0,16063 ashland road,3545170.0,Chandrashekar,654.0,S,,,,,SUITE 7,,javad,T6b 1h2,Cha112
Vancouver,233665.0,1-174-210-2058,72.0,United States of America,m,UT,2.0,19309 mcfarlin north,1494871.0,SEIFERS,361.0,U,6.0,3.0,O,U,Apt. 971,TD Ameritrade,Karna,22222,SEI113
Akron,147236.0,1-425-503-7952,31.0,Canada,F,PA,4.0,2454 cliffbrook west,436164.0,GARTLEY,427.0,S,1.0,0.0,U,S,,Comerica,Jocelyn,T6a 1d2,GAR114
Lancaster,452557.0,1-012-389-9089,86.0,United States of America,M,New Brunswick,0.0,15865 strand west,1069481.0,Touchette,322.0,W,1.0,3.0,O,,,Steel Dynamics,Elvera,v5d 1n9,Tou115
Concord,179305.0,1-909-472-6704,,United States of America,M,UT,2.0,13776 east boulevard,,Kurdziel,792.0,S,9.0,0.0,R,V,,Coca-Cola Enterprises,Nessy,23321,Kur116
Chesapeake,205817.0,1-622-167-5411,87.0,Canada,,VA,3.0,10570 WEIZMANN LOWER,2957261.0,Herod,478.0,U,2.0,0.0,O,,,News Corp.,lona,90505,Her117
Flint,262711.0,1-164-511-9338,92.0,United States of America,,NH,,15278 walnut hill road,228459.0,MCVICAR,477.0,M,1.0,5.0,O,P,,,RHEA,19066,MCV118
Chattanooga,84810.0,1-804-532-9163,4.0,Canada,F,VT,1.0,23007 WAKEFOREST WAY,67267.0,LABFIVE,449.0,M,6.0,5.0,O,,,Stater Bros. Holdings,Josefa,v6s 1r3,LAB119
Billings,96441.0,1-197-370-0297,8.0,United States of America,,FL,2.0,9088 rivas way,1087978.0,butta,466.0,U,2.0,4.0,O,,,BorgWarner,alikee,78769,but120
Scottsdale,462762.0,1-337-042-5687,97.0,United States of America,m,NC,0.0,18798 ullrich road,3885967.0,Projects,483.0,M,2.0,5.0,O,,,CB Richard Ellis Group,dolorita,53769,Pro121
Oshawa,141890.0,1-056-138-5321,,United States of America,,VA,5.0,18517 HULEN LOWER,3271101.0,Irc,588.0,D,4.0,4.0,O,,,Zimmer Holdings,Marilyn,H7E 1U6,Irc122
Naperville,156610.0,1-776-191-2031,40.0,Canada,,DC,5.0,11474 dodd lane,,Zivkovic,313.0,,2.0,5.0,O,G,,Mohawk Industries,robertson,e7o 1k1,Ziv123
Tampa,164752.0,1-280-696-2706,95.0,United States of America,,NC,1.0,9375 wood south,1999133.0,simser,647.0,U,1.0,4.0,R,H,,Berkshire Hathaway,Ilsa,90374,sim124
Jackson,278949.0,1-857-581-6346,92.0,United States of America,,MS,1.0,20479 wise avenue,1100786.0,keifer,430.0,S,2.0,5.0,O,I,,Saks,Pen,63169,kei125
Hay River,,,67.0,United States of America,f,SC,0.0,19918 ROGERS NORTH,563992.0,arvin,467.0,W,8.0,5.0,O,P,,Gardner Denver,AUBRETTE,16515,arv126
Irvine,463736.0,1-716-343-0884,24.0,United States of America,F,KS,3.0,9284 coffey lower,962397.0,Praeuner,399.0,M,7.0,2.0,O,,,Hasbro,Cole,85309,Pra127
Idaho Falls,,1-101-776-2496,26.0,United States of America,m,VT,2.0,2929 north crescent,1064169.0,lue,654.0,M,5.0,3.0,O,C,,CBS,liva,92158,lue128
Moreno Valley,86667.0,1-769-028-0589,62.0,United States of America,f,IL,2.0,15404 queen street,2100059.0,Przybycien,378.0,S,3.0,0.0,O,,,Synnex,Ayaz,33152,Prz129
Ontario,193470.0,1-005-833-8970,37.0,United States of America,f,FL,5.0,1619 greenspoint road,99025.0,penn,338.0,W,10.0,1.0,O,J,,Belden,YETTY,83729,pen130
Concord,406379.0,1-884-215-4243,71.0,United States of America,,MI,5.0,21477 WARREN PARK,3865481.0,Guay,695.0,S,10.0,0.0,R,S,,Broadcom,Mary-michelle,B8b 1z6,Gua131
Phoenix,480595.0,,29.0,Canada,F,Newfoundland,1.0,6503 ROBBINS STREET,804544.0,brennand,614.0,M,7.0,3.0,U,,,Reynolds American,agretha,53717,bre132
Coral Springs,181718.0,1-725-177-7815,89.0,United States of America,f,ME,4.0,3958 GLEN LOCH BOULEVARD,3143356.0,Savanh,307.0,S,7.0,5.0,O,X,,Wells Fargo,LOTTY,t5c 1w7,Sav133
Oxnard,468310.0,1-277-496-5396,11.0,United States of America,,AL,0.0,13640 ethridge lower,,ABBATANTUONO,331.0,M,2.0,3.0,O,Z,,Retail Ventures,Kassey,37245,ABB134
Brownsville,354987.0,1-756-463-2201,20.0,United States of America,M,IN,2.0,3981 imperial lower,2311953.0,OP,638.0,S,2.0,0.0,O,N,,AT&T,Adria,94401,OP135
Memphis,284539.0,1-261-338-7463,75.0,Canada,,NH,3.0,13210 3rd drive,3120608.0,Mersinger,703.0,W,3.0,5.0,O,,,Wynn Resorts,audivox,B8a 1y3,Mer136
Flint,213725.0,1-811-086-4675,95.0,United States of America,F,DC,0.0,9297 THROCKMORTON SOUTH,2058270.0,rutt,302.0,S,7.0,5.0,O,,,Eastman Kodak,SUE,t6b 1k2,rut137
Lafayette,74195.0,1-338-771-1185,0.0,United States of America,,DC,2.0,8935 YOUNG UPPER,1511983.0,bemis,522.0,U,,3.0,O,I,,Aramark,Lorenza,85306,bem138
Greensboro,169295.0,1-554-231-5318,73.0,United States of America,,MD,5.0,3797 RUTGERS PARK,439080.0,Pennington,,M,,1.0,O,,,ENSCO International,Enzo,V6R 1R7,Pen139
Sterling Heights,307832.0,1-733-886-5227,39.0,United States of America,M,Prince Edward Island,1.0,8285 tamarind crescent,921255.0,torok,833.0,W,5.0,0.0,R,Y,,Auto-Owners Insurance,claudina,68513,tor140
