prospect_AgencyID,prospect_Phone,prospect_NumberCars,prospect_CreditRating,prospect_NumberChildren,prospect_FirstName,prospect_City,prospect_NetWorth,prospect_MiddleInitial,prospect_AddressLine2,prospect_Gender,prospect_LastName,prospect_AddressLine1,prospect_State,prospect_OwnOrRentFlag,prospect_MaritalStatus,prospect_Age,prospect_Employer,prospect_NumberCreditCards
dgc7511,,5.0,,1.0,Zaijioc,Greensboro,490443.0,,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,m,dgcnbxfhc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Saskatchewan,O,M,72.0,Interstate Bakeries,3.0
lql7512,1-268-630-3843,4.0,318.0,5.0,Mdwdjpdfmbqjaygkfqzqx,Concord,3348923.0,,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,,lqlslgqsvyfxqnzuwbfg,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,NE,O,M,40.0,eBay,9.0
Wsk7513,1-915-548-9541,4.0,613.0,1.0,Ccbccgvldfvoqtzestvkwunn,Colorado Springs,331799.0,,ucxdpiwilpxxhv,m,Wskjvrujdwku,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,AR,R,D,8.0,Boise,4.0
Ffs7514,1-536-880-0961,4.0,786.0,1.0,nyakrhdyxravdnhgbtol,Mobile,1167013.0,v,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,,Ffshsiomkzjonhxjhunfsao,,IL,R,U,10.0,MDU Resources Group,4.0
Kvv7515,1-494-335-6022,0.0,,3.0,NDNBTVCLKSC,Thousand Oaks,3960216.0,F,,,Kvvverfkpazpzzkrqniixrhnw,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,VA,O,U,24.0,Freescale Semiconductor,10.0
mpz7516,1-814-158-3550,1.0,623.0,4.0,Zmstbluqkipzaojfsomtbdddguq,Rochester,242246.0,G,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,f,mpzqnwnrmaozfsstcqtrc,,ID,O,M,18.0,Superior Energy Services,5.0
Jhc7517,1-420-580-0795,1.0,845.0,1.0,dpqgvuaoijmkxsesvililpxcrwqe,Garden Grove,1217660.0,s,Havgczldcpfmwfzj,F,Jhcbaxyzijphmmvpampdgvgisnab,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,TX,O,S,79.0,Monsanto,1.0
dbq7518,1-924-305-1666,4.0,645.0,5.0,IHUGYGSRDWILVOFBAKUR,Tampa,1229655.0,l,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,M,dbqcukoddoiwg,rpikmvtgwsrsoehxgmxwypaueiaheabrf,New Brunswick,U,M,36.0,Newfield Exploration,7.0
Xch7519,1-450-082-2122,2.0,495.0,2.0,aefotdcronamhkzsfpvifmobgchmsp,Fullerton,1157831.0,,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,m,Xchoxlbkffuvox,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Alberta,O,W,21.0,Loews,1.0
oir7520,1-573-009-1404,2.0,371.0,2.0,jdeyqkerjerjpht,Washington,,Z,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,m,oirfujtvl,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,PA,O,M,4.0,Apache,8.0
Fqb7521,1-603-897-9894,2.0,462.0,3.0,Lwihnxoihqqrvjydsijd,Norfolk,,O,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,M,Fqbovz,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Nova Scotia,R,S,72.0,Robert Half International,1.0
qex7522,1-947-161-6502,,375.0,,nmnervucuk,Sydney,3467922.0,,Rirmrpvlknyho,,qextfjyytqwbmdrlykbfnhvqrmota,Dmyivtczopuqajpnjqvvgbhxynvduub,RI,U,S,1.0,Viacom,7.0
Hpi7523,1-586-826-9847,1.0,516.0,2.0,hgjkxxbf,Winnipeg,46859.0,,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,,Hpiedhvkedqqdxsoedt,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,OR,U,S,98.0,Robert Half International,10.0
Fjd7524,1-217-243-2668,1.0,703.0,5.0,Zangtryzlhmxo,Wilmington,2937668.0,,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,Fjdafgbcrml,Esuycdxsjfbrqbtluspxsehk,CA,R,,35.0,CSX,
Cgt7525,1-857-211-5728,4.0,734.0,2.0,FFJGEQD,El Monte,2388613.0,,Rpzwirgfyiw,,Cgtcmbl,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,MO,O,W,99.0,Country Financial Services,7.0
Lwx7526,1-089-966-6281,0.0,469.0,2.0,Pdcxrihnl,Sterling Heights,3116283.0,,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,M,Lwxudfgcqawccntqaucdaeym,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Prince Edward Island,U,M,49.0,Procter & Gamble,4.0
epy7527,,3.0,595.0,0.0,Zckhcacwaelzutaodqalxyjrkh,Pembroke Pines,2671950.0,,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,,epyxtfsrijhddstgaxkbgmlayjtk,vnyndcximwxhecv,Quebec,O,S,72.0,Ingles Markets,2.0
Aff7528,1-231-342-6874,3.0,410.0,0.0,sqrosgqnpifxjx,Philadelphia,3899593.0,M,Acdrcqabtcdgmgl,m,Affcha,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,KS,O,U,41.0,Forest Laboratories,1.0
mfc7529,,3.0,475.0,2.0,Erqzkkllazeobgthnmgsbtj,Glendale,2537332.0,S,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,,mfcestd,,NV,O,W,54.0,Dentsply International,10.0
Slf7530,1-602-637-1838,0.0,,2.0,Lcziayaozecoqqluasolkmmcldm,El Monte,733236.0,S,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,Slfbmvc,GVSBHGBDDVJFNNOZNNPJWCOI,TN,R,,11.0,RadioShack,2.0
Cxu7531,1-003-982-8627,2.0,519.0,5.0,Gcnczmuxviqaxtsdzmzhtro,Warwick,,,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,,Cxuousxqyrfgjvpvuopyfguqva,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,WY,O,W,0.0,Century Aluminum,3.0
GZO7532,1-136-358-6852,3.0,841.0,3.0,Rsoobsqytvjycob,Milwaukee,3397276.0,F,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,BIQIOQOHLQSTBRUFOI,British Columbia,U,D,27.0,,5.0
DRW7533,1-123-528-2965,3.0,540.0,1.0,Pjvadgt,Phoenix,2444257.0,A,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,,DRWTVTDSG,Llfaqkbemnoy,LA,O,U,95.0,FPL Group,6.0
set7534,1-136-565-2501,1.0,540.0,3.0,GUBKOKITTSKVYM,Anchorage,71520.0,N,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,f,setksinlvlrjwnfu,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,HI,R,U,35.0,Lockheed Martin,10.0
Pyo7535,1-317-986-1984,4.0,,1.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Madison,1911091.0,,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,Pyoixliri,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,NY,O,M,96.0,Sanmina-SCI,6.0
FSH7536,1-265-603-1262,0.0,424.0,0.0,Kuteauo,Fontana,988775.0,,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,M,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,TX,O,W,96.0,Iron Mountain,6.0
Tdx7537,,5.0,623.0,5.0,Hkfofpndygljbeo,Charlotte,3919363.0,,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,Tdxyljuxporjhdumcvfmv,,AZ,R,M,49.0,OfficeMax,2.0
Sbn7538,1-156-668-6882,5.0,792.0,1.0,Kengxgsu,Richmond,428918.0,O,XHQNMCEJKXOQYVSZVESLKC,,Sbnxcsrozzcufdoyvckpplofysx,atydogjpqphuwhegtbukkqiaeakrtrn,ME,O,S,,AMR,4.0
Piq7539,1-164-648-3203,4.0,718.0,4.0,Plywuoa,Santa Clarita,58134.0,C,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,f,Piqizouhxiw,Hlotorcbtobuceb,NH,O,S,27.0,Kohl's,6.0
IXD7540,1-839-795-1027,4.0,401.0,0.0,zfcwsxpjzyqelkxg,Yellow Knife,3703767.0,,Toumjfbsumpgfuskpydjeibaxi,M,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,gsrdigbqfwrahybxrtm,KY,O,M,98.0,Cigna,6.0
wsn7541,1-958-412-4252,4.0,557.0,5.0,Yxvczhqjwgnhowiu,Oxnard,433859.0,,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,wsnjomkxbtybfnmtcjhvmblfwamnwd,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,Prince Edward Island,R,M,,West,2.0
Jkp7542,1-392-335-1020,5.0,393.0,5.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,Huntington Beach,3002044.0,A,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,M,Jkpmtcj,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,British Columbia,O,W,56.0,Monsanto,7.0
CCF7543,1-912-050-7605,2.0,557.0,4.0,Vfrdst,Durham,1124168.0,,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,M,CCFFVCOHCLUUXZIQTCFCUHEYN,,CT,,M,94.0,Reliant Energy,10.0
ylj7544,1-075-551-9919,4.0,465.0,5.0,Hqcswumjvwbemosmy,Naperville,2081541.0,,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,,yljvuglvt,RELJYREDKQEKGOORBLRKOUIC,WA,O,U,98.0,Idearc,5.0
ZBB7545,1-013-611-2674,0.0,,1.0,Ectbhkmbvwkwdbn,Albuquerque,1897076.0,V,hkyochorqgtokxgozmoncalaaiw,F,ZBBXAWVJAAL,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,ND,O,M,8.0,Neiman Marcus,6.0
fqe7546,1-656-865-7544,5.0,485.0,,Bdbgqpllbnrmiirpct,Newark,235172.0,,Datdnghoiymltcayulgkgxywi,m,fqekemquvstw,Yewxbqpnfgh,ID,,W,90.0,O'Reilly Automotive,10.0
Wpw7547,1-879-870-7379,4.0,303.0,2.0,Ftszluaxcsoxdfbmdd,Miami,639573.0,,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,,Wpwhilrlzng,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Quebec,,M,34.0,Cliffs Natural Resources,2.0
vpz7548,1-366-625-9813,1.0,846.0,2.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,London,2667082.0,,,,vpzxgcwljllsq,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,ID,O,W,25.0,Health Management Associates,4.0
Yfz7549,1-359-462-7089,5.0,621.0,4.0,Kkiolpmrgzmnjanqc,Worcester,2598634.0,,,,Yfzmtcvxc,VDBAVRMWFYBDZUILPKFXIVIYGFUU,AL,O,,50.0,Chevron,1.0
dou7550,,3.0,331.0,4.0,unzegilpp,Jacksonville,1074671.0,,,,douvwdwiwrxoivzaojazinrhswjv,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,UT,O,D,85.0,Exide Technologies,
FDJ7551,1-153-396-8333,5.0,401.0,4.0,xetqkitwlh,Nashua,2272997.0,,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,M,FDJOVRSOCWEIKZ,hfuyqlsmbesrylepu,MS,R,M,60.0,Convergys,9.0
ufu7552,1-144-623-1308,2.0,644.0,2.0,TWRRGULRYKYUWZYBQQFMIFFKVK,Newport News,702000.0,,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,,ufutrfkevxnbupjcetrpltw,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,AK,R,S,95.0,Dominion Resources,0.0
bbg7553,1-269-220-8046,4.0,769.0,1.0,Yqfljvgkfucafpjpamdtcppiipc,Corona,1289800.0,H,NBSHKLXYVUUWXEQSGXR,m,bbgzmquoeecumw,qgjnvpwvmgsqzcanzncon,VT,R,M,8.0,Sentry Insurance Group,5.0
Znk7554,1-052-524-0130,3.0,481.0,4.0,mjeasoritwctufyojamzbeeoo,Lincoln,1007390.0,v,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,f,Znkkdbkvxcxeuackyodqlkpl,HNBGLUDIOAJRCCIXGDUQOO,LA,O,M,31.0,Cintas,2.0
CGQ7555,1-335-871-6660,1.0,732.0,2.0,Udxaujgiratgthwkvdibgvwfo,Toronto,124290.0,T,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,F,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,CT,O,U,51.0,Medtronic,7.0
add7556,1-637-394-8083,4.0,802.0,4.0,GHFUKZPOKMXWZF,Fayetteville,1820002.0,,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,,addxtssyhezwro,dnlleihfh,UT,O,M,24.0,Pride International,2.0
Anw7557,1-706-795-4208,2.0,329.0,4.0,ybtkiifyhbgchnuctnhnqspk,Charlotte,2200347.0,J,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,,Anwyusqezrjppzkaevffwljm,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,IN,O,M,78.0,A. Schulman,5.0
Hvt7558,1-622-347-5699,5.0,839.0,0.0,Fhkymmgjsbmpduuffgavhfcxm,Tulsa,3669569.0,,nqcozjievwzk,m,Hvtanebvipbdd,Wsjaujjdexc,WI,R,W,56.0,Oneok,0.0
Yqj7559,1-042-017-9368,2.0,539.0,,DEZDTMSMWKALBRPALCFIME,Winston-Salem,2140537.0,d,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,,Yqjaammjlhgpw,Ojberg,WA,,U,50.0,Danaher,
Ztn7560,1-829-935-5979,4.0,561.0,5.0,phoxfeiqoldgmnojmzunmargkla,Thousand Oaks,3258909.0,,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,F,Ztnstwpjxatqveppicohpzilnn,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,LA,R,M,52.0,Del Monte Foods,4.0
bni7561,1-076-726-5283,4.0,814.0,5.0,Upuabfflh,Lubbock,1825422.0,,Lfrjkyblujmbxigmylpsxieswspmei,F,bnizllrrofn,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,VT,O,W,14.0,American Electric Power,2.0
swx7562,,5.0,305.0,0.0,owagfolbfwjzeg,Winnipeg,1845263.0,,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,,swxorhmdydwbrtdqxroghsddlpbdgi,Xwtkpxqgohxwxnv,CT,R,M,29.0,TJX,7.0
DSA7563,1-284-129-5920,2.0,457.0,4.0,Qdmppehqxloc,Laredo,1463114.0,P,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,f,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qpvmtkxxfef,RI,O,S,50.0,Philip Morris International,4.0
BXZ7564,1-128-308-8886,4.0,349.0,1.0,jqbetxkci,Overland Park,2354683.0,,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,,BXZUTWBUFSGPPXKR,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,SC,O,U,67.0,Cincinnati Financial,8.0
pcz7565,1-145-469-5971,2.0,590.0,0.0,Wsmywgbvwspgdwhmdxsqjwqb,Calgary,436677.0,,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,,pczqycbwefse,KRYAIAJGKHBKXBLC,British Columbia,O,M,22.0,Stryker,0.0
Zqa7566,1-727-684-7767,5.0,533.0,4.0,ocgwi,Peoria,2383335.0,,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,m,Zqaknviqngvemehvpzrcgkcvre,,CO,O,U,20.0,Kansas City Southern,0.0
Htl7567,1-776-201-2472,4.0,686.0,0.0,Pcotdnngmurhkcd,Durham,2574739.0,z,IBQIDE,,Htltlfnvjctvvdvulpkhcbyfi,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,TN,O,W,75.0,IDT,9.0
afw7568,1-767-942-1278,2.0,582.0,0.0,bvcosqzcleknjzvkygbawlc,Pueblo,1596838.0,L,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,F,afwafvxxdr,VBDCWYVK,CA,O,U,60.0,Vornado Realty Trust,10.0
Wna7569,1-723-062-7266,,807.0,4.0,ECLENELTSXGTNWOP,Las Cruces,591965.0,,Lrebujnrg,,Wnakgzhqfhtavtvegjtdmdosnjr,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,WY,O,S,,Dollar General,0.0
Mlh7570,,3.0,819.0,5.0,Xdwexmrjat,Chula Vista,3071440.0,,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,,Mlheqxaigtvjaynkffyqkpu,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,SD,O,S,48.0,Safeway,3.0
Gor7571,1-145-314-0862,2.0,311.0,0.0,xjwnvwdryqpcehelwzfhkkiuus,San Diego,2683081.0,,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,,Gorjnqxjtefmomsbmtnogaerx,Gwxymofcy,British Columbia,R,M,91.0,Apache,5.0
ENX7572,1-735-104-7772,2.0,734.0,5.0,RNBABCYAFMQPBOHXNUXMXNU,Chicago,3850483.0,,Hxutrprq,f,ENXOMNHFVPYQSABETPUEKRKCL,Qynjnmfgwxpmrw,NJ,O,U,98.0,Lowe's,3.0
fgr7573,,4.0,432.0,1.0,Eyrtrqkljywvbcice,Worcester,1870617.0,,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,,fgrdzzudzmwlluff,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,AK,O,W,51.0,Lithia Motors,1.0
Ysh7574,1-518-116-1411,5.0,394.0,0.0,Opybrukftspofebjmspkjsgtobzsp,Honolulu,1249534.0,a,JRHXPUUHAFHDPF,m,Yshzkx,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,OH,O,S,22.0,CH2M Hill,3.0
Mos7575,1-696-359-4829,0.0,658.0,0.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,Albuquerque,3789880.0,I,yvntcqjqqmbftwetvbqgclcdbxspvk,,Mosqjrkdycyygfsljqadgfqoldb,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,New Brunswick,O,U,57.0,Tellabs,1.0
czu7576,1-352-678-5471,1.0,348.0,2.0,kpofwgtomgijnm,Oakland,3874445.0,,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,,czuvw,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,IL,O,M,38.0,Phillips-Van Heusen,3.0
Ghr7577,1-906-600-9749,1.0,598.0,5.0,Biflzgcqpqpbahquomftmjffohpwuy,Billings,437353.0,Z,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,,Ghrlcuscpesuzsdwqfwwbgh,BESJDYZDIOIXKDFEHBQXBPW,AZ,O,M,68.0,Wells Fargo,8.0
Rwk7578,1-093-018-2851,2.0,505.0,2.0,ybdlwlwxispyswbiegrbsqqtywxr,Pueblo,2669917.0,,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,,Rwkdeshuwhwvmvmdnckmuvdt,Ouopoqztakszwsfkthdbwndfjuqaelyd,NY,O,U,93.0,Vornado Realty Trust,9.0
Uwi7579,1-302-096-9321,4.0,839.0,3.0,Capzcewdt,Sherbrooke,1466537.0,,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,,Uwinnbtdd,Ivwhotvobwkshcixclfobqoljlaqohw,WA,R,S,48.0,New York Times,7.0
VXZ7580,1-915-044-3154,1.0,672.0,1.0,XKBLVBCCYKMIXABVTOTVPZCJRII,Sacramento,991860.0,,CYQWJKJB,,VXZTLDNZPYIFIKTIJRXS,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,GA,U,S,96.0,Adobe Systems,2.0
Ayk7581,1-040-274-3474,5.0,696.0,5.0,wmknfemsztimaphftadowlmbnp,Charlotte,,p,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,f,Aykkkc,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,AZ,O,M,58.0,Valmont Industries,3.0
lho7582,1-678-397-2739,5.0,448.0,3.0,DHLVITRFJDXLTPAGMPMJ,El Paso,1816368.0,,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,M,lhodktal,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,NV,O,W,63.0,UAL,5.0
