LastName,Income,Employer,AgencyID,FirstName,NumberCars,CreditRating,OwnOrRentFlag,NumberChildren,Age,Phone,NetWorth,MiddleInitial,Country,City,PostalCode,MaritalStatus,State,AddressLine2,AddressLine1,Gender,NumberCreditCards
Dinnin,266928.0,Macy's,Din17,KATTIE,5.0,441.0,R,4.0,87.0,,2787199.0,,United States of America,Bellevue,V6j 1q8,M,OK,,6106 ashland east,,0.0
De witte,72444.0,Gardner Denver,De 18,Roselle,2.0,848.0,O,3.0,85.0,1-357-207-6320,2789368.0,M,United States of America,Detroit,43207,M,Ontario,,1111 norden street,,6.0
Mckeegan,77290.0,Family Dollar Stores,Mck19,arlyne,3.0,843.0,R,3.0,86.0,1-462-774-1277,2784776.0,,United States of America,Omaha,V6t 1q8,U,KY,,2798 1st east,m,8.0
WINTERS,395066.0,,WIN20,Rong-chin,2.0,,R,0.0,59.0,1-702-382-2898,288747.0,P,United States of America,Costa Mesa,94467,U,PA,,11358 elle lee street,M,
BITTMAN,119283.0,Sun Microsystems,BIT21,Darlleen,5.0,300.0,O,3.0,94.0,1-909-554-7120,876575.0,,United States of America,Berkeley,94321,U,MD,,21074 MALLORY LOWER,,0.0
luzarraga,330991.0,Costco Wholesale,luz22,Radoslav,1.0,795.0,O,1.0,,1-752-296-7940,2041224.0,V,United States of America,St. Louis,C2a 4w7,U,TX,,16124 weyland park,f,8.0
donovan,,Illinois Tool Works,don23,Aryn,4.0,367.0,U,0.0,5.0,1-995-554-5056,2231509.0,S,United States of America,Colorado Springs,35808,,IN,,23822 marvin crescent,,5.0
Giallo,252031.0,Southern Union,Gia24,Allisan,1.0,507.0,O,5.0,23.0,1-090-303-3807,3206409.0,T,United States of America,Fontana,M5f 1v6,M,MD,,2203 valita boulevard,,1.0
SPRUELL,101800.0,Moog,SPR25,Ammamaria,3.0,362.0,O,1.0,61.0,1-492-968-0932,3850037.0,,United States of America,St. Catharines,99539,M,KY,,11538 COLLINWOOD AVENUE,M,9.0
SKALSKI,436977.0,Old Republic International,SKA26,Mari,0.0,527.0,O,1.0,,1-960-227-2020,528440.0,,United States of America,Hayward,95055,D,CA,,7818 EAST STREET,F,7.0
Gargul,495334.0,,Gar27,Anica,0.0,354.0,O,,51.0,1-431-122-8597,597140.0,,United States of America,Palmdale,93686,S,FL,,10013 shaw road,m,0.0
Dore,274685.0,Great Plains Energy,Dor28,Melba,1.0,511.0,O,1.0,97.0,1-822-836-7200,146931.0,,United States of America,Phoenix,75218,M,Newfoundland,,6802 AMES STREET,,1.0
DIOGO,320820.0,Broadcom,DIO29,Tracee,2.0,412.0,,2.0,52.0,1-530-117-0497,353495.0,X,United States of America,Gary,91174,,TX,,22501 SUMMIT RUE,,7.0
Merrick,195835.0,Discover Financial Services,Mer30,CANADIAN,4.0,583.0,O,0.0,98.0,1-051-257-2719,295647.0,,Canada,Beaumont,49515,S,WA,,291 frances rue,m,1.0
Atchison,108085.0,UAL,Atc31,Oue,5.0,710.0,O,3.0,47.0,1-171-989-1363,408941.0,R,United States of America,Nashua,16506,U,MN,,16264 sanders east,,5.0
Plamondon,260185.0,Charles Schwab,Pla32,wallie,2.0,380.0,O,1.0,47.0,1-042-705-3246,362523.0,X,United States of America,San Jose,94383,M,WY,,16068 cantey way,m,9.0
SELCHOW,258323.0,Coach,SEL33,Andromache,0.0,796.0,R,0.0,9.0,1-098-328-2026,2102359.0,E,United States of America,Nashua,T6d 1b3,M,NY,,21170 EDLOE BOULEVARD,F,2.0
shane,79476.0,DaVita,sha34,THOR,1.0,818.0,U,3.0,85.0,1-209-754-5635,3480265.0,Z,United States of America,Fort Smith,25339,M,SC,,885 CROSBY LANE,f,2.0
MERWIN,102156.0,Marshall & Ilsley Corp.,MER35,SALAH,5.0,766.0,U,3.0,81.0,1-498-781-3456,3648900.0,,United States of America,Lancaster,V6o 1v4,M,MS,,12235 jay street,,3.0
conrad,221481.0,Cablevision Systems,con36,HOR-LAM,2.0,359.0,O,3.0,0.0,1-615-241-0440,1161790.0,,United States of America,Colorado Springs,01852,M,UT,,20340 LOMBARD CRESCENT,,2.0
onsiteteam,41836.0,Barnes & Noble,ons37,Vania,1.0,401.0,R,5.0,28.0,1-995-449-5200,2050587.0,,United States of America,Washington,78230,S,PA,,22074 dexter upper,M,2.0
Summerlin,72389.0,EMC,Sum38,Niel,1.0,609.0,O,1.0,65.0,1-295-673-4452,3579198.0,,Canada,Lowell,93770,U,OK,,1540 MURIE RUE,M,0.0
grooms,66486.0,Fluor,gro39,ziad,3.0,630.0,O,0.0,20.0,1-914-675-2986,889494.0,F,United States of America,Frederick,m4l 1n4,S,WY,,7075 glen loch drive,,2.0
dilkie,200185.0,Dollar General,dil40,Claude,3.0,671.0,O,1.0,55.0,,2205682.0,I,United States of America,Mesa,22335,M,RI,Apt. 382,11237 balmoral way,,9.0
DOLSON,289215.0,Lear,DOL41,AVTAR,0.0,715.0,O,2.0,76.0,1-825-739-0336,1140117.0,,United States of America,Lakewood,V6C 1T4,U,HI,,8316 GARDEN BROOK NORTH,,10.0
Posthumus,322484.0,J.P. Morgan Chase & Co.,Pos42,Donny,4.0,707.0,O,1.0,1.0,1-956-713-3802,1421319.0,,United States of America,Cleveland,M6t 1h3,M,VA,,2240 clifton lower,,9.0
Machika,83458.0,Affinia Group Intermediate,Mac43,Cocos,4.0,329.0,O,2.0,3.0,1-814-932-1579,3525204.0,,United States of America,Grand Rapids,95263,M,OK,,20907 NOTINGHAM LOWER,,0.0
chenoweth,,,che44,ruud,0.0,601.0,R,3.0,100.0,1-135-443-7282,468976.0,,United States of America,Peoria,v5b 1p5,D,Prince Edward Island,,601 carroll lower,,8.0
holbrooks,492407.0,Goldman Sachs Group,hol45,Belvia,5.0,623.0,O,1.0,81.0,1-720-975-0667,1685443.0,,United States of America,Inglewood,32318,W,SD,,18267 state drive,,2.0
pfieffer,346630.0,E*Trade Financial,pfi46,ATHAR,4.0,376.0,O,4.0,76.0,1-871-598-3505,337564.0,,United States of America,Akron,93872,S,OH,,9270 LEAF SOUTH,f,2.0
elkington,9572.0,Pfizer,elk47,Cherey,1.0,560.0,O,3.0,51.0,1-607-222-4809,84777.0,Y,Canada,Charlottetown,92824,W,MA,,18582 PERIMETER BOULEVARD,,0.0
Labenek,265369.0,Safeway,Lab48,RAZ,1.0,693.0,O,5.0,,1-965-046-0642,3146477.0,,United States of America,Bellevue,e4a 1r2,,MD,,9612 park stream upper,F,4.0
laferriere,104172.0,Simon Property Group,laf49,kishore,1.0,346.0,U,2.0,58.0,1-155-441-3579,495277.0,Y,United States of America,Dover,H7G 1V4,S,Saskatchewan,,2803 clearwater north,,0.0
Norment,65550.0,Trinity Industries,Nor50,Nelleke,0.0,342.0,O,3.0,52.0,,746904.0,I,United States of America,Fullerton,85039,M,WA,,11103 BISSONNET WEST,,0.0
hagar,,Solutia,hag51,sibby,2.0,563.0,R,0.0,91.0,1-544-132-7237,1219620.0,,Canada,Denver,v6m 1q3,M,OH,,4652 outervale lane,,8.0
Betcher,,,Bet52,ericha,2.0,391.0,O,3.0,17.0,1-821-089-2089,1718910.0,,United States of America,Dallas,X7j 1r1,M,WY,,341 dunbar west,m,4.0
Van der,66244.0,A.O. Smith,Van53,Janson,4.0,381.0,O,4.0,6.0,1-135-391-9787,,,United States of America,San Jose,B8b 1z5,S,NJ,,16176 vernon drive,m,8.0
O'LEARY,426954.0,AptarGroup,O'L54,Dorotea,0.0,539.0,U,3.0,89.0,1-776-182-6215,2636424.0,,United States of America,Bellevue,t5d 1v4,S,ND,,23131 clint way,F,9.0
anderson,126891.0,Coca-Cola,and55,Denice,5.0,497.0,O,4.0,99.0,1-079-780-7761,1326305.0,,United States of America,San Buenaventura,V6t 1r2,M,NC,,11640 baltic upper,m,0.0
starks,454196.0,Kimberly-Clark,sta56,Myron,4.0,661.0,O,2.0,77.0,1-504-346-4393,2241997.0,,Canada,St. Louis,91177,M,WV,,20796 dolores drive,,
CHASSE,163940.0,Visteon,CHA57,Barby,5.0,558.0,R,3.0,,1-985-538-4351,1542891.0,,United States of America,Pueblo,T5c 1t1,S,GA,Apt. 275,14359 COMMERCE WEST,,0.0
ASING,365213.0,TECO Energy,ASI58,Ariella,,534.0,O,1.0,90.0,1-254-097-9398,797918.0,,Canada,Regina,35862,W,Ontario,,21448 hampton boulevard,R,
askins,428739.0,Bemis,ask59,ADEY,0.0,373.0,U,0.0,82.0,1-545-924-9552,347654.0,,United States of America,Saskatoon,96820,M,MA,,7637 pershing way,f,6.0
Kikuta,142444.0,Wyeth,Kik60,GAYEL,4.0,382.0,O,0.0,,1-984-233-8818,2456397.0,K,United States of America,Jackson,75238,M,CA,,11529 arcana boulevard,,8.0
Chane,416168.0,United Technologies,Cha61,Man,3.0,475.0,O,3.0,15.0,1-528-691-1642,1284229.0,,United States of America,St. Petersburg,85769,S,SD,,2700 windwood north,F,10.0
KILLEN,291420.0,Clorox,KIL62,Klara,2.0,539.0,O,0.0,,,618787.0,U,United States of America,Scottsdale,H5i 1o9,D,Saskatchewan,,22279 gramercy road,m,3.0
kinley,413501.0,Discovery Communications,kin63,Abdalla,4.0,711.0,O,5.0,96.0,1-171-807-8213,1171606.0,,United States of America,Charlotte,90849,M,RI,,9828 west east,f,6.0
MALAHER,,Williams-Sonoma,MAL64,bal,4.0,606.0,O,,38.0,1-056-241-7009,3983261.0,,United States of America,Waterbury,43644,M,NC,,5935 mcafee park,,1.0
Odum,419143.0,Manitowoc,Odu65,Romy,3.0,494.0,O,3.0,10.0,1-389-414-0570,2328568.0,J,United States of America,Chesapeake,99213,W,SD,,12460 CLAYTON STREET,,0.0
DI NINNO,155057.0,Henry Schein,DI 66,KORAL,1.0,309.0,O,5.0,72.0,1-583-542-1656,2078600.0,,United States of America,Hialeah,72226,M,IL,,275 3rd drive,,3.0
STUBBLEFIELD,313859.0,Trinity Industries,STU67,YUKIHIKO,2.0,630.0,O,5.0,97.0,1-269-712-0672,2986155.0,K,United States of America,Charleston,V6Z 1Q9,M,OR,,6907 FERNCLIFF CRESCENT,,3.0
HAMBALI,265907.0,Pepsi Bottling,HAM68,Khanh,4.0,330.0,O,1.0,48.0,1-670-102-0463,1864039.0,,United States of America,Salem,20082,S,Ontario,,885 crosby lane,,10.0
LIBRARIAN,283481.0,UGI,LIB69,Darnell,,710.0,O,0.0,97.0,1-699-726-3895,1293721.0,,Canada,Sacramento,35827,S,FL,,2344 kalani west,m,9.0
ohsone,200635.0,Greif,ohs70,feridoun,4.0,475.0,R,0.0,73.0,1-640-666-2876,3850114.0,,United States of America,Santa Clarita,99692,M,NM,,22870 LA CIENEGA STREET,M,7.0
HUMMEL,434519.0,Equifax,HUM71,Magdy,0.0,596.0,O,1.0,71.0,1-540-639-1311,1618743.0,O,United States of America,Sherbrooke,V6c 1q5,U,NE,APT. 143,8478 green avenue,,3.0
BRADD,392315.0,,BRA72,jiri,5.0,670.0,O,1.0,93.0,1-285-874-8492,3383487.0,,United States of America,Colorado Springs,80158,W,MI,,23639 purdue rue,,9.0
Boarder,493829.0,Freescale Semiconductor,Boa73,AILA,5.0,722.0,O,3.0,53.0,1-121-904-0040,2981876.0,X,United States of America,Berkeley,t6d 1b6,U,New Brunswick,,19202 ansley park,,
Mcnally,97489.0,Aleris International,Mcn74,Vincenzo,3.0,587.0,O,2.0,32.0,1-017-842-3201,2109339.0,,United States of America,San Buenaventura,33120,U,NJ,,11319 devonshire rue,,7.0
MARKOVICH,,,MAR75,Minnnie,4.0,609.0,O,3.0,1.0,1-215-859-3206,791803.0,,United States of America,New Haven,99742,S,ND,,23665 deerwood park,F,4.0
Willekes,383046.0,World Fuel Services,Wil76,alfonzo,0.0,401.0,O,1.0,39.0,1-764-520-7470,3523678.0,,United States of America,Shreveport,V6N 1T1,S,Saskatchewan,,4855 union north,f,7.0
Deacetis,1190.0,R.R. Donnelley & Sons,Dea77,Swandi,4.0,335.0,,0.0,77.0,1-414-130-0162,1681902.0,S,United States of America,Lansing,44104,M,KS,,9466 SHADOWBRIAR WEST,m,0.0
Houk,85733.0,Brinker International,Hou78,Anya,5.0,569.0,O,5.0,18.0,1-970-240-9990,3851455.0,,United States of America,Pembroke Pines,14605,U,SD,,3504 regency avenue,,7.0
Goyette,387890.0,Temple-Inland,Goy79,Enrika,0.0,,R,2.0,70.0,1-408-684-6459,2339382.0,,Canada,Palmdale,80076,M,FL,,7281 northland lower,,9.0
Mok-fung,16808.0,Psychiatric Solutions,Mok80,SONJA,2.0,679.0,O,0.0,26.0,1-330-353-5908,,Z,United States of America,Savannah,V6I 1V6,S,Saskatchewan,,12481 hayden lower,f,7.0
Rundle,304589.0,Nash-Finch,Run81,Liem,,356.0,,4.0,,1-766-726-2675,2065016.0,I,United States of America,Amarillo,97307,M,FL,,2328 gracie avenue,,10.0
BELLEY,48506.0,AMR,BEL82,COLLETTE,2.0,308.0,R,5.0,58.0,1-938-425-7509,2454049.0,,United States of America,Anchorage,46237,S,UT,,4737 campbell street,o,9.0
BAER,,Spartan Stores,BAE83,SIAMACK,0.0,412.0,O,4.0,43.0,1-527-308-8874,2423395.0,Y,United States of America,Louisville,V6B 1S6,M,WY,,2401 stratmore lower,,4.0
MAULDIN,358862.0,Cigna,MAU84,Toshihiro,2.0,618.0,O,3.0,65.0,1-810-590-0635,1342045.0,,United States of America,Hilo,H2d 1x1,D,NH,,21477 JUNIPER CRESCENT,f,4.0
Koohgoli,477614.0,General Cable,Koo85,Casey,5.0,429.0,O,3.0,24.0,1-274-548-2512,861756.0,,United States of America,Sudbury,95108,S,AR,,19214 YAUPON BOULEVARD,,5.0
Lauriston,175414.0,Dun & Bradstreet,Lau86,Daryn,3.0,819.0,O,1.0,79.0,1-649-754-4601,1215349.0,,United States of America,Orlando,80050,S,CT,,7785 rusk boulevard,,3.0
Mangum,427598.0,Casey's General Stores,Man87,Adrianna,0.0,552.0,O,1.0,48.0,1-905-932-1785,3981554.0,L,Canada,Missoula,90122,M,VT,,18002 cantrell upper,F,7.0
PIERCY,368207.0,Jack in the Box,PIE88,Cortney,0.0,587.0,O,4.0,69.0,1-031-004-7697,3865937.0,,United States of America,Abilene,43614,S,Manitoba,,23341 brookside upper,,9.0
Buscaglia,449944.0,Assurant,Bus89,Duane,3.0,304.0,O,1.0,91.0,1-994-812-4796,2804700.0,,United States of America,Saskatoon,61110,S,NJ,,20494 ROSS WEST,M,6.0
BABIONE,166247.0,Psychiatric Solutions,BAB90,Tele,5.0,795.0,U,5.0,75.0,1-176-513-4041,3283558.0,,United States of America,Irvine,70174,,KY,,17552 SAVANNAH NORTH,,4.0
Burkard,391165.0,Danaher,Bur91,Ophelia,1.0,830.0,O,3.0,85.0,1-072-244-6337,450524.0,,United States of America,Reno,90324,S,GA,APT. 373,4462 pace crescent,M,2.0
Kinsella,165854.0,Clorox,Kin92,lorine,5.0,709.0,R,3.0,76.0,1-924-669-9328,,,United States of America,Sacramento,s7d 1n1,M,NJ,,7161 tallowood upper,,3.0
POMMAINVILLE,326181.0,Boyd Gaming,POM93,Viole,2.0,493.0,O,1.0,68.0,1-598-488-3541,,,United States of America,Topeka,93829,S,SC,,3489 silver sage west,,8.0
BOATWRIGHT,173387.0,Eaton,BOA94,Nani,3.0,680.0,O,,95.0,1-295-539-3868,633760.0,,United States of America,Rancho Cucamonga,89116,M,TN,,12481 hayden lower,M,
Ronald,301127.0,Dynegy,Ron95,cherey,1.0,800.0,R,5.0,15.0,1-554-020-0267,3634954.0,R,United States of America,Hilo,94315,M,WY,,13210 3RD DRIVE,,
weihs,487230.0,AmeriCredit,wei96,Redgie,1.0,614.0,R,5.0,17.0,1-793-621-4566,799268.0,A,United States of America,Saint John,T5b 1u9,M,Ontario,,8899 starling lane,,4.0
Helpb,425747.0,SLM,Hel97,Yousef,4.0,763.0,R,0.0,94.0,1-787-267-4261,39093.0,P,Canada,Torrance,T6b 1a5,,DC,,11480 fennel south,M,6.0
moghe,401946.0,NV Energy,mog98,Damaris,4.0,561.0,O,4.0,70.0,1-668-247-1597,2705353.0,,United States of America,Santa Clara,60699,S,Alberta,,7266 cherry upper,m,3.0
bozicevich,425422.0,Landstar System,boz99,Ilyssa,1.0,569.0,O,2.0,29.0,1-901-346-8890,3565153.0,,United States of America,Torrance,V6p 1s8,S,ME,,10678 ENGLEWOOD WEST,,4.0
Zaharychuk,208890.0,Pacific Life,Zah100,Moselle,4.0,634.0,O,1.0,52.0,1-451-273-3803,2832204.0,R,United States of America,Stockton,v6i 1p1,M,MA,,21181 2ND RUE,,5.0
Andric,67880.0,Textron,And101,Dulsea,5.0,488.0,O,3.0,51.0,1-129-499-9136,2194345.0,,United States of America,Paterson,79423,U,NV,,22963 hanover road,F,10.0
Bamfo,133412.0,Pfizer,Bam102,Lyndsie,2.0,788.0,O,3.0,24.0,1-899-319-0772,3737140.0,L,Canada,Mesa,H5j 1o6,W,WA,,8268 cliffbrook boulevard,,5.0
frondozo,144829.0,Cigna,fro103,KESLEY,3.0,333.0,O,4.0,98.0,1-053-396-0441,464753.0,,United States of America,Anchorage,93761,D,WY,,5118 montview court,,8.0
Caron,,Ameren,Car104,LAUREL,1.0,601.0,U,1.0,59.0,1-239-665-9540,596696.0,J,United States of America,Miami,76150,M,NJ,,17442 tallowood upper,,
muchow,143682.0,Consolidated Edison,muc105,Steen,3.0,595.0,O,4.0,49.0,1-605-888-3403,1504753.0,V,Canada,Great Falls,99717,U,LA,,4038 WEDGEWOOD STREET,f,2.0
gateau,350020.0,Occidental Petroleum,gat106,noel,0.0,433.0,O,1.0,1.0,1-630-604-2543,3049281.0,,United States of America,Erie,60608,U,TX,,20334 anaconda avenue,,10.0
Schaefer,435103.0,Sherwin-Williams,Sch107,Tracey,0.0,403.0,O,,79.0,1-851-862-7928,247478.0,M,United States of America,Hollywood,v6w 1u4,U,SC,,5385 young west,F,10.0
pomerleau,207768.0,Affiliated Computer Services,pom108,Sarajane,1.0,615.0,R,5.0,6.0,1-065-415-5724,2750301.0,,United States of America,Tulsa,T5b 1t6,,TX,,2747 SINCLAIR LANE,,3.0
cucuzzella,407512.0,Valassis Communications,cuc109,Geoffrey,0.0,735.0,O,4.0,70.0,1-408-512-1007,721333.0,K,United States of America,Tucson,23298,M,MN,,8622 BROWNWAY PARK,F,1.0
SUGARMAN,403366.0,,SUG110,loralyn,3.0,668.0,O,0.0,23.0,1-083-902-4184,669440.0,Z,United States of America,Anchorage,32803,S,ID,,18048 GREEN NORTH,q,1.0
Pepe,384095.0,Smithfield Foods,Pep111,andrei,3.0,349.0,O,5.0,78.0,1-568-403-7081,2473979.0,,Canada,Sandy,64122,M,MI,,18994 country boulevard,,
Chandrashekar,288969.0,,Cha112,javad,4.0,654.0,,,79.0,1-824-389-0618,3545170.0,,United States of America,Boston,T6b 1h2,S,OK,SUITE 7,16063 ashland road,f,
SEIFERS,233665.0,TD Ameritrade,SEI113,Karna,2.0,361.0,O,3.0,72.0,1-174-210-2058,1494871.0,U,United States of America,Vancouver,22222,U,UT,Apt. 971,19309 mcfarlin north,m,6.0
GARTLEY,147236.0,Comerica,GAR114,Jocelyn,4.0,427.0,U,0.0,31.0,1-425-503-7952,436164.0,S,Canada,Akron,T6a 1d2,S,PA,,2454 cliffbrook west,F,1.0
Touchette,452557.0,Steel Dynamics,Tou115,Elvera,0.0,322.0,O,3.0,86.0,1-012-389-9089,1069481.0,,United States of America,Lancaster,v5d 1n9,W,New Brunswick,,15865 strand west,M,1.0
Kurdziel,179305.0,Coca-Cola Enterprises,Kur116,Nessy,2.0,792.0,R,0.0,,1-909-472-6704,,V,United States of America,Concord,23321,S,UT,,13776 east boulevard,M,9.0
Herod,205817.0,News Corp.,Her117,lona,3.0,478.0,O,0.0,87.0,1-622-167-5411,2957261.0,,Canada,Chesapeake,90505,U,VA,,10570 WEIZMANN LOWER,,2.0
MCVICAR,262711.0,,MCV118,RHEA,,477.0,O,5.0,92.0,1-164-511-9338,228459.0,P,United States of America,Flint,19066,M,NH,,15278 walnut hill road,,1.0
LABFIVE,84810.0,Stater Bros. Holdings,LAB119,Josefa,1.0,449.0,O,5.0,4.0,1-804-532-9163,67267.0,,Canada,Chattanooga,v6s 1r3,M,VT,,23007 WAKEFOREST WAY,F,6.0
butta,96441.0,BorgWarner,but120,alikee,2.0,466.0,O,4.0,8.0,1-197-370-0297,1087978.0,,United States of America,Billings,78769,U,FL,,9088 rivas way,,2.0
Projects,462762.0,CB Richard Ellis Group,Pro121,dolorita,0.0,483.0,O,5.0,97.0,1-337-042-5687,3885967.0,,United States of America,Scottsdale,53769,M,NC,,18798 ullrich road,m,2.0
Irc,141890.0,Zimmer Holdings,Irc122,Marilyn,5.0,588.0,O,4.0,,1-056-138-5321,3271101.0,,United States of America,Oshawa,H7E 1U6,D,VA,,18517 HULEN LOWER,,4.0
Zivkovic,156610.0,Mohawk Industries,Ziv123,robertson,5.0,313.0,O,5.0,40.0,1-776-191-2031,,G,Canada,Naperville,e7o 1k1,,DC,,11474 dodd lane,,2.0
simser,164752.0,Berkshire Hathaway,sim124,Ilsa,1.0,647.0,R,4.0,95.0,1-280-696-2706,1999133.0,H,United States of America,Tampa,90374,U,NC,,9375 wood south,,1.0
keifer,278949.0,Saks,kei125,Pen,1.0,430.0,O,5.0,92.0,1-857-581-6346,1100786.0,I,United States of America,Jackson,63169,S,MS,,20479 wise avenue,,2.0
arvin,,Gardner Denver,arv126,AUBRETTE,0.0,467.0,O,5.0,67.0,,563992.0,P,United States of America,Hay River,16515,W,SC,,19918 ROGERS NORTH,f,8.0
Praeuner,463736.0,Hasbro,Pra127,Cole,3.0,399.0,O,2.0,24.0,1-716-343-0884,962397.0,,United States of America,Irvine,85309,M,KS,,9284 coffey lower,F,7.0
lue,,CBS,lue128,liva,2.0,654.0,O,3.0,26.0,1-101-776-2496,1064169.0,C,United States of America,Idaho Falls,92158,M,VT,,2929 north crescent,m,5.0
Przybycien,86667.0,Synnex,Prz129,Ayaz,2.0,378.0,O,0.0,62.0,1-769-028-0589,2100059.0,,United States of America,Moreno Valley,33152,S,IL,,15404 queen street,f,3.0
penn,193470.0,Belden,pen130,YETTY,5.0,338.0,O,1.0,37.0,1-005-833-8970,99025.0,J,United States of America,Ontario,83729,W,FL,,1619 greenspoint road,f,10.0
Guay,406379.0,Broadcom,Gua131,Mary-michelle,5.0,695.0,R,0.0,71.0,1-884-215-4243,3865481.0,S,United States of America,Concord,B8b 1z6,S,MI,,21477 WARREN PARK,,10.0
brennand,480595.0,Reynolds American,bre132,agretha,1.0,614.0,U,3.0,29.0,,804544.0,,Canada,Phoenix,53717,M,Newfoundland,,6503 ROBBINS STREET,F,7.0
Savanh,181718.0,Wells Fargo,Sav133,LOTTY,4.0,307.0,O,5.0,89.0,1-725-177-7815,3143356.0,X,United States of America,Coral Springs,t5c 1w7,S,ME,,3958 GLEN LOCH BOULEVARD,f,7.0
ABBATANTUONO,468310.0,Retail Ventures,ABB134,Kassey,0.0,331.0,O,3.0,11.0,1-277-496-5396,,Z,United States of America,Oxnard,37245,M,AL,,13640 ethridge lower,,2.0
OP,354987.0,AT&T,OP135,Adria,2.0,638.0,O,0.0,20.0,1-756-463-2201,2311953.0,N,United States of America,Brownsville,94401,S,IN,,3981 imperial lower,M,2.0
Mersinger,284539.0,Wynn Resorts,Mer136,audivox,3.0,703.0,O,5.0,75.0,1-261-338-7463,3120608.0,,Canada,Memphis,B8a 1y3,W,NH,,13210 3rd drive,,3.0
rutt,213725.0,Eastman Kodak,rut137,SUE,0.0,302.0,O,5.0,95.0,1-811-086-4675,2058270.0,,United States of America,Flint,t6b 1k2,S,DC,,9297 THROCKMORTON SOUTH,F,7.0
bemis,74195.0,Aramark,bem138,Lorenza,2.0,522.0,O,3.0,0.0,1-338-771-1185,1511983.0,I,United States of America,Lafayette,85306,U,DC,,8935 YOUNG UPPER,,
Pennington,169295.0,ENSCO International,Pen139,Enzo,5.0,,O,1.0,73.0,1-554-231-5318,439080.0,,United States of America,Greensboro,V6R 1R7,M,MD,,3797 RUTGERS PARK,,
torok,307832.0,Auto-Owners Insurance,tor140,claudina,1.0,833.0,R,0.0,39.0,1-733-886-5227,921255.0,Y,United States of America,Sterling Heights,68513,W,Prince Edward Island,,8285 tamarind crescent,M,5.0
