pstlcd,ddrssln2,frstnm,ncm,nmbrchldrn,ntwrth,gndr,wnrrntflg,cntr,crdtrtng,ddrssln1,nmbrcrs,g,mrtlstts,nmbrcrdtcrds,ct,mddlntl,gncd,stt,lstnm,phn,mplr
rapkjpmvp,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Lwihnxoihqqrvjydsijd,168189.0,3.0,,M,R,United States of America,462.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,2.0,72.0,S,1.0,Norfolk,O,Fqb7521,Nova Scotia,Fqbovz,1-603-897-9894,Robert Half International
Slskxm,Rirmrpvlknyho,nmnervucuk,264756.0,,3467922.0,,U,United States of America,375.0,Dmyivtczopuqajpnjqvvgbhxynvduub,,1.0,S,7.0,Sydney,,qex7522,RI,qextfjyytqwbmdrlykbfnhvqrmota,1-947-161-6502,Viacom
FXHXLG,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,hgjkxxbf,44480.0,2.0,46859.0,,U,Canada,516.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,1.0,98.0,S,10.0,Winnipeg,,Hpi7523,OR,Hpiedhvkedqqdxsoedt,1-586-826-9847,Robert Half International
ovlziicdezok,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Zangtryzlhmxo,87207.0,5.0,2937668.0,,R,Canada,703.0,Esuycdxsjfbrqbtluspxsehk,1.0,35.0,,,Wilmington,,Fjd7524,CA,Fjdafgbcrml,1-217-243-2668,CSX
jsxcpvao,Rpzwirgfyiw,FFJGEQD,238434.0,2.0,2388613.0,,O,United States of America,734.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,4.0,99.0,W,7.0,El Monte,,Cgt7525,MO,Cgtcmbl,1-857-211-5728,Country Financial Services
Ykerbceq,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Pdcxrihnl,,2.0,3116283.0,M,U,United States of America,469.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,0.0,49.0,M,4.0,Sterling Heights,,Lwx7526,Prince Edward Island,Lwxudfgcqawccntqaucdaeym,1-089-966-6281,Procter & Gamble
VVMSNWEBT,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Zckhcacwaelzutaodqalxyjrkh,391354.0,0.0,2671950.0,,O,United States of America,595.0,vnyndcximwxhecv,3.0,72.0,S,2.0,Pembroke Pines,,epy7527,Quebec,epyxtfsrijhddstgaxkbgmlayjtk,,Ingles Markets
bibueqwbejem,Acdrcqabtcdgmgl,sqrosgqnpifxjx,419165.0,0.0,3899593.0,m,O,United States of America,410.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,3.0,41.0,U,1.0,Philadelphia,M,Aff7528,KS,Affcha,1-231-342-6874,Forest Laboratories
gehpynlk,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,Erqzkkllazeobgthnmgsbtj,396509.0,2.0,2537332.0,,O,Canada,475.0,,3.0,54.0,W,10.0,Glendale,S,mfc7529,NV,mfcestd,,Dentsply International
Piwlxtg,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,Lcziayaozecoqqluasolkmmcldm,145161.0,2.0,733236.0,,R,United States of America,,GVSBHGBDDVJFNNOZNNPJWCOI,0.0,11.0,,2.0,El Monte,S,Slf7530,TN,Slfbmvc,1-602-637-1838,RadioShack
Ujlshmosjkid,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Gcnczmuxviqaxtsdzmzhtro,263206.0,5.0,,,O,United States of America,519.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,2.0,0.0,W,3.0,Warwick,,Cxu7531,WY,Cxuousxqyrfgjvpvuopyfguqva,1-003-982-8627,Century Aluminum
cwburwnupuj,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,Rsoobsqytvjycob,190371.0,3.0,3397276.0,,U,United States of America,841.0,BIQIOQOHLQSTBRUFOI,3.0,27.0,D,5.0,Milwaukee,F,GZO7532,British Columbia,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,1-136-358-6852,
CNEZMHTKIAEV,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,Pjvadgt,203968.0,1.0,2444257.0,,O,United States of America,540.0,Llfaqkbemnoy,3.0,95.0,U,6.0,Phoenix,A,DRW7533,LA,DRWTVTDSG,1-123-528-2965,FPL Group
kixvppuqtd,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,GUBKOKITTSKVYM,428323.0,3.0,71520.0,f,R,United States of America,540.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,1.0,35.0,U,10.0,Anchorage,N,set7534,HI,setksinlvlrjwnfu,1-136-565-2501,Lockheed Martin
jrhynxfi,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,159980.0,1.0,1911091.0,,O,United States of America,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,4.0,96.0,M,6.0,Madison,,Pyo7535,NY,Pyoixliri,1-317-986-1984,Sanmina-SCI
dnhtjyu,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,Kuteauo,266852.0,0.0,988775.0,M,O,Canada,424.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,0.0,96.0,W,6.0,Fontana,,FSH7536,TX,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,1-265-603-1262,Iron Mountain
YKOVOTYB,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,Hkfofpndygljbeo,206973.0,5.0,3919363.0,,R,United States of America,623.0,,5.0,49.0,M,2.0,Charlotte,,Tdx7537,AZ,Tdxyljuxporjhdumcvfmv,,OfficeMax
WNNMWJ,XHQNMCEJKXOQYVSZVESLKC,Kengxgsu,258221.0,1.0,428918.0,,O,Canada,792.0,atydogjpqphuwhegtbukkqiaeakrtrn,5.0,,S,4.0,Richmond,O,Sbn7538,ME,Sbnxcsrozzcufdoyvckpplofysx,1-156-668-6882,AMR
Oktkljv,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Plywuoa,428508.0,4.0,58134.0,f,O,United States of America,718.0,Hlotorcbtobuceb,4.0,27.0,S,6.0,Santa Clarita,C,Piq7539,NH,Piqizouhxiw,1-164-648-3203,Kohl's
,Toumjfbsumpgfuskpydjeibaxi,zfcwsxpjzyqelkxg,,0.0,3703767.0,M,O,,401.0,gsrdigbqfwrahybxrtm,4.0,98.0,M,6.0,Yellow Knife,,IXD7540,KY,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,1-839-795-1027,Cigna
GXFLSISZUY,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Yxvczhqjwgnhowiu,58953.0,5.0,433859.0,,R,United States of America,557.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,4.0,,M,2.0,Oxnard,,wsn7541,Prince Edward Island,wsnjomkxbtybfnmtcjhvmblfwamnwd,1-958-412-4252,West
gzexcrngivl,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Grkknjyfgbhtyrhxzeaoeoyirwfa,409682.0,5.0,3002044.0,M,O,United States of America,393.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,5.0,56.0,W,7.0,Huntington Beach,A,Jkp7542,British Columbia,Jkpmtcj,1-392-335-1020,Monsanto
yzoikhwrd,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,Vfrdst,340191.0,4.0,1124168.0,M,,United States of America,557.0,,2.0,94.0,M,10.0,Durham,,CCF7543,CT,CCFFVCOHCLUUXZIQTCFCUHEYN,1-912-050-7605,Reliant Energy
Gdbktega,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Hqcswumjvwbemosmy,238216.0,5.0,2081541.0,,O,United States of America,465.0,RELJYREDKQEKGOORBLRKOUIC,4.0,98.0,U,5.0,Naperville,,ylj7544,WA,yljvuglvt,1-075-551-9919,Idearc
Kdcqzpvf,hkyochorqgtokxgozmoncalaaiw,Ectbhkmbvwkwdbn,113171.0,1.0,1897076.0,F,O,Canada,,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,0.0,8.0,M,6.0,Albuquerque,V,ZBB7545,ND,ZBBXAWVJAAL,1-013-611-2674,Neiman Marcus
Tbwgwtmgcu,Datdnghoiymltcayulgkgxywi,Bdbgqpllbnrmiirpct,234797.0,,235172.0,m,,United States of America,485.0,Yewxbqpnfgh,5.0,90.0,W,10.0,Newark,,fqe7546,ID,fqekemquvstw,1-656-865-7544,O'Reilly Automotive
Mwmfs,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Ftszluaxcsoxdfbmdd,225322.0,2.0,639573.0,,,United States of America,303.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,4.0,34.0,M,2.0,Miami,,Wpw7547,Quebec,Wpwhilrlzng,1-879-870-7379,Cliffs Natural Resources
goelqgcts,,Qrdnpjquwnixfocqhsrlkcxmelwijl,192689.0,2.0,2667082.0,,O,Canada,846.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,1.0,25.0,W,4.0,London,,vpz7548,ID,vpzxgcwljllsq,1-366-625-9813,Health Management Associates
ucwygjzs,,Kkiolpmrgzmnjanqc,348685.0,4.0,2598634.0,,O,Canada,621.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,5.0,50.0,,1.0,Worcester,,Yfz7549,AL,Yfzmtcvxc,1-359-462-7089,Chevron
fjlfqftwg,,unzegilpp,401229.0,4.0,1074671.0,,O,United States of America,331.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,3.0,85.0,D,,Jacksonville,,dou7550,UT,douvwdwiwrxoivzaojazinrhswjv,,Exide Technologies
Tocujgaiaq,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,xetqkitwlh,38597.0,4.0,2272997.0,M,R,United States of America,401.0,hfuyqlsmbesrylepu,5.0,60.0,M,9.0,Nashua,,FDJ7551,MS,FDJOVRSOCWEIKZ,1-153-396-8333,Convergys
kurjmmgixxfd,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,TWRRGULRYKYUWZYBQQFMIFFKVK,,2.0,702000.0,,R,United States of America,644.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,2.0,95.0,S,0.0,Newport News,,ufu7552,AK,ufutrfkevxnbupjcetrpltw,1-144-623-1308,Dominion Resources
cnsavindoi,NBSHKLXYVUUWXEQSGXR,Yqfljvgkfucafpjpamdtcppiipc,161204.0,1.0,1289800.0,m,R,United States of America,769.0,qgjnvpwvmgsqzcanzncon,4.0,8.0,M,5.0,Corona,H,bbg7553,VT,bbgzmquoeecumw,1-269-220-8046,Sentry Insurance Group
MQBSAUVQRPYE,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,mjeasoritwctufyojamzbeeoo,202650.0,4.0,1007390.0,f,O,,481.0,HNBGLUDIOAJRCCIXGDUQOO,3.0,31.0,M,2.0,Lincoln,v,Znk7554,LA,Znkkdbkvxcxeuackyodqlkpl,1-052-524-0130,Cintas
vadbnvz,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,Udxaujgiratgthwkvdibgvwfo,,2.0,124290.0,F,O,Canada,732.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,1.0,51.0,U,7.0,Toronto,T,CGQ7555,CT,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,1-335-871-6660,Medtronic
Ljurvnigr,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,GHFUKZPOKMXWZF,492433.0,4.0,1820002.0,,O,United States of America,802.0,dnlleihfh,4.0,24.0,M,2.0,Fayetteville,,add7556,UT,addxtssyhezwro,1-637-394-8083,Pride International
BQDMQVFTNBRJ,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,ybtkiifyhbgchnuctnhnqspk,344858.0,4.0,2200347.0,,O,Canada,329.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,2.0,78.0,M,5.0,Charlotte,J,Anw7557,IN,Anwyusqezrjppzkaevffwljm,1-706-795-4208,A. Schulman
jkcul,nqcozjievwzk,Fhkymmgjsbmpduuffgavhfcxm,197290.0,0.0,3669569.0,m,R,United States of America,839.0,Wsjaujjdexc,5.0,56.0,W,0.0,Tulsa,,Hvt7558,WI,Hvtanebvipbdd,1-622-347-5699,Oneok
Nelny,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,DEZDTMSMWKALBRPALCFIME,283654.0,,2140537.0,,,United States of America,539.0,Ojberg,2.0,50.0,U,,Winston-Salem,d,Yqj7559,WA,Yqjaammjlhgpw,1-042-017-9368,Danaher
Qsggz,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,phoxfeiqoldgmnojmzunmargkla,317423.0,5.0,3258909.0,F,R,United States of America,561.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,4.0,52.0,M,4.0,Thousand Oaks,,Ztn7560,LA,Ztnstwpjxatqveppicohpzilnn,1-829-935-5979,Del Monte Foods
Drofa,Lfrjkyblujmbxigmylpsxieswspmei,Upuabfflh,399126.0,5.0,1825422.0,F,O,United States of America,814.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,4.0,14.0,W,2.0,Lubbock,,bni7561,VT,bnizllrrofn,1-076-726-5283,American Electric Power
Ssovhtmt,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,owagfolbfwjzeg,398180.0,0.0,1845263.0,,R,United States of America,305.0,Xwtkpxqgohxwxnv,5.0,29.0,M,7.0,Winnipeg,,swx7562,CT,swxorhmdydwbrtdqxroghsddlpbdgi,,TJX
Tnprhljfrlj,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Qdmppehqxloc,,4.0,1463114.0,f,O,United States of America,457.0,Qpvmtkxxfef,2.0,50.0,S,4.0,Laredo,P,DSA7563,RI,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,1-284-129-5920,Philip Morris International
Bkxujhonjgjk,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,jqbetxkci,485429.0,1.0,2354683.0,,O,United States of America,349.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,4.0,67.0,U,8.0,Overland Park,,BXZ7564,SC,BXZUTWBUFSGPPXKR,1-128-308-8886,Cincinnati Financial
mrjrjhgnwcdu,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,Wsmywgbvwspgdwhmdxsqjwqb,118018.0,0.0,436677.0,,O,United States of America,590.0,KRYAIAJGKHBKXBLC,2.0,22.0,M,0.0,Calgary,,pcz7565,British Columbia,pczqycbwefse,1-145-469-5971,Stryker
Yusezkfgs,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,ocgwi,309693.0,4.0,2383335.0,m,O,United States of America,533.0,,5.0,20.0,U,0.0,Peoria,,Zqa7566,CO,Zqaknviqngvemehvpzrcgkcvre,1-727-684-7767,Kansas City Southern
RKXTQAO,IBQIDE,Pcotdnngmurhkcd,90718.0,0.0,2574739.0,,O,Canada,686.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,4.0,75.0,W,9.0,Durham,z,Htl7567,TN,Htltlfnvjctvvdvulpkhcbyfi,1-776-201-2472,IDT
UBQSATXZO,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,bvcosqzcleknjzvkygbawlc,280645.0,0.0,1596838.0,F,O,United States of America,582.0,VBDCWYVK,2.0,60.0,U,10.0,Pueblo,L,afw7568,CA,afwafvxxdr,1-767-942-1278,Vornado Realty Trust
BHRNWQLFVFA,Lrebujnrg,ECLENELTSXGTNWOP,231559.0,4.0,591965.0,,O,United States of America,807.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,,S,0.0,Las Cruces,,Wna7569,WY,Wnakgzhqfhtavtvegjtdmdosnjr,1-723-062-7266,Dollar General
Ktmzav,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Xdwexmrjat,36898.0,5.0,3071440.0,,O,United States of America,819.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,3.0,48.0,S,3.0,Chula Vista,,Mlh7570,SD,Mlheqxaigtvjaynkffyqkpu,,Safeway
Nfpchgfj,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,xjwnvwdryqpcehelwzfhkkiuus,396786.0,0.0,2683081.0,,R,United States of America,311.0,Gwxymofcy,2.0,91.0,M,5.0,San Diego,,Gor7571,British Columbia,Gorjnqxjtefmomsbmtnogaerx,1-145-314-0862,Apache
Wuywecohosfi,Hxutrprq,RNBABCYAFMQPBOHXNUXMXNU,344365.0,5.0,3850483.0,f,O,United States of America,734.0,Qynjnmfgwxpmrw,2.0,98.0,U,3.0,Chicago,,ENX7572,NJ,ENXOMNHFVPYQSABETPUEKRKCL,1-735-104-7772,Lowe's
tibxlojrqiha,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Eyrtrqkljywvbcice,1205.0,1.0,1870617.0,,O,United States of America,432.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,4.0,51.0,W,1.0,Worcester,,fgr7573,AK,fgrdzzudzmwlluff,,Lithia Motors
ogmes,JRHXPUUHAFHDPF,Opybrukftspofebjmspkjsgtobzsp,276666.0,0.0,1249534.0,m,O,United States of America,394.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,5.0,22.0,S,3.0,Honolulu,a,Ysh7574,OH,Yshzkx,1-518-116-1411,CH2M Hill
JUBKXDKP,yvntcqjqqmbftwetvbqgclcdbxspvk,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,497953.0,0.0,3789880.0,,O,United States of America,658.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,0.0,57.0,U,1.0,Albuquerque,I,Mos7575,New Brunswick,Mosqjrkdycyygfsljqadgfqoldb,1-696-359-4829,Tellabs
