AddressLine1,NumberCars,Country,Income,Age,MiddleInitial,LastName,Gender,FirstName,AddressLine2,OwnOrRentFlag,Phone,PostalCode,NetWorth,Employer,AgencyID,CreditRating,City,State,NumberCreditCards,MaritalStatus,NumberChildren
21181 2ND RUE,4.0,United States of America,208890.0,52.0,R,Zaharychuk,,Moselle,,O,1-451-273-3803,v6i 1p1,2832204.0,Pacific Life,Zah100,634.0,Stockton,MA,5.0,M,1.0
22963 hanover road,5.0,United States of America,67880.0,51.0,,Andric,F,Dulsea,,O,1-129-499-9136,79423,2194345.0,Textron,And101,488.0,Paterson,NV,10.0,U,3.0
8268 cliffbrook boulevard,2.0,Canada,133412.0,24.0,L,Bamfo,,Lyndsie,,O,1-899-319-0772,H5j 1o6,3737140.0,Pfizer,Bam102,788.0,Mesa,WA,5.0,W,3.0
5118 montview court,3.0,United States of America,144829.0,98.0,,frondozo,,KESLEY,,O,1-053-396-0441,93761,464753.0,Cigna,fro103,333.0,Anchorage,WY,8.0,D,4.0
17442 tallowood upper,1.0,United States of America,,59.0,J,Caron,,LAUREL,,U,1-239-665-9540,76150,596696.0,Ameren,Car104,601.0,Miami,NJ,,M,1.0
4038 WEDGEWOOD STREET,3.0,Canada,143682.0,49.0,V,muchow,f,Steen,,O,1-605-888-3403,99717,1504753.0,Consolidated Edison,muc105,595.0,Great Falls,LA,2.0,U,4.0
20334 anaconda avenue,0.0,United States of America,350020.0,1.0,,gateau,,noel,,O,1-630-604-2543,60608,3049281.0,Occidental Petroleum,gat106,433.0,Erie,TX,10.0,U,1.0
5385 young west,0.0,United States of America,435103.0,79.0,M,Schaefer,F,Tracey,,O,1-851-862-7928,v6w 1u4,247478.0,Sherwin-Williams,Sch107,403.0,Hollywood,SC,10.0,U,
2747 SINCLAIR LANE,1.0,United States of America,207768.0,6.0,,pomerleau,,Sarajane,,R,1-065-415-5724,T5b 1t6,2750301.0,Affiliated Computer Services,pom108,615.0,Tulsa,TX,3.0,,5.0
8622 BROWNWAY PARK,0.0,United States of America,407512.0,70.0,K,cucuzzella,F,Geoffrey,,O,1-408-512-1007,23298,721333.0,Valassis Communications,cuc109,735.0,Tucson,MN,1.0,M,4.0
18048 GREEN NORTH,3.0,United States of America,403366.0,23.0,Z,SUGARMAN,q,loralyn,,O,1-083-902-4184,32803,669440.0,,SUG110,668.0,Anchorage,ID,1.0,S,0.0
18994 country boulevard,3.0,Canada,384095.0,78.0,,Pepe,,andrei,,O,1-568-403-7081,64122,2473979.0,Smithfield Foods,Pep111,349.0,Sandy,MI,,M,5.0
16063 ashland road,4.0,United States of America,288969.0,79.0,,Chandrashekar,f,javad,SUITE 7,,1-824-389-0618,T6b 1h2,3545170.0,,Cha112,654.0,Boston,OK,,S,
19309 mcfarlin north,2.0,United States of America,233665.0,72.0,U,SEIFERS,m,Karna,Apt. 971,O,1-174-210-2058,22222,1494871.0,TD Ameritrade,SEI113,361.0,Vancouver,UT,6.0,U,3.0
2454 cliffbrook west,4.0,Canada,147236.0,31.0,S,GARTLEY,F,Jocelyn,,U,1-425-503-7952,T6a 1d2,436164.0,Comerica,GAR114,427.0,Akron,PA,1.0,S,0.0
15865 strand west,0.0,United States of America,452557.0,86.0,,Touchette,M,Elvera,,O,1-012-389-9089,v5d 1n9,1069481.0,Steel Dynamics,Tou115,322.0,Lancaster,New Brunswick,1.0,W,3.0
13776 east boulevard,2.0,United States of America,179305.0,,V,Kurdziel,M,Nessy,,R,1-909-472-6704,23321,,Coca-Cola Enterprises,Kur116,792.0,Concord,UT,9.0,S,0.0
10570 WEIZMANN LOWER,3.0,Canada,205817.0,87.0,,Herod,,lona,,O,1-622-167-5411,90505,2957261.0,News Corp.,Her117,478.0,Chesapeake,VA,2.0,U,0.0
15278 walnut hill road,,United States of America,262711.0,92.0,P,MCVICAR,,RHEA,,O,1-164-511-9338,19066,228459.0,,MCV118,477.0,Flint,NH,1.0,M,5.0
23007 WAKEFOREST WAY,1.0,Canada,84810.0,4.0,,LABFIVE,F,Josefa,,O,1-804-532-9163,v6s 1r3,67267.0,Stater Bros. Holdings,LAB119,449.0,Chattanooga,VT,6.0,M,5.0
9088 rivas way,2.0,United States of America,96441.0,8.0,,butta,,alikee,,O,1-197-370-0297,78769,1087978.0,BorgWarner,but120,466.0,Billings,FL,2.0,U,4.0
18798 ullrich road,0.0,United States of America,462762.0,97.0,,Projects,m,dolorita,,O,1-337-042-5687,53769,3885967.0,CB Richard Ellis Group,Pro121,483.0,Scottsdale,NC,2.0,M,5.0
18517 HULEN LOWER,5.0,United States of America,141890.0,,,Irc,,Marilyn,,O,1-056-138-5321,H7E 1U6,3271101.0,Zimmer Holdings,Irc122,588.0,Oshawa,VA,4.0,D,4.0
11474 dodd lane,5.0,Canada,156610.0,40.0,G,Zivkovic,,robertson,,O,1-776-191-2031,e7o 1k1,,Mohawk Industries,Ziv123,313.0,Naperville,DC,2.0,,5.0
9375 wood south,1.0,United States of America,164752.0,95.0,H,simser,,Ilsa,,R,1-280-696-2706,90374,1999133.0,Berkshire Hathaway,sim124,647.0,Tampa,NC,1.0,U,4.0
20479 wise avenue,1.0,United States of America,278949.0,92.0,I,keifer,,Pen,,O,1-857-581-6346,63169,1100786.0,Saks,kei125,430.0,Jackson,MS,2.0,S,5.0
19918 ROGERS NORTH,0.0,United States of America,,67.0,P,arvin,f,AUBRETTE,,O,,16515,563992.0,Gardner Denver,arv126,467.0,Hay River,SC,8.0,W,5.0
9284 coffey lower,3.0,United States of America,463736.0,24.0,,Praeuner,F,Cole,,O,1-716-343-0884,85309,962397.0,Hasbro,Pra127,399.0,Irvine,KS,7.0,M,2.0
2929 north crescent,2.0,United States of America,,26.0,C,lue,m,liva,,O,1-101-776-2496,92158,1064169.0,CBS,lue128,654.0,Idaho Falls,VT,5.0,M,3.0
15404 queen street,2.0,United States of America,86667.0,62.0,,Przybycien,f,Ayaz,,O,1-769-028-0589,33152,2100059.0,Synnex,Prz129,378.0,Moreno Valley,IL,3.0,S,0.0
1619 greenspoint road,5.0,United States of America,193470.0,37.0,J,penn,f,YETTY,,O,1-005-833-8970,83729,99025.0,Belden,pen130,338.0,Ontario,FL,10.0,W,1.0
21477 WARREN PARK,5.0,United States of America,406379.0,71.0,S,Guay,,Mary-michelle,,R,1-884-215-4243,B8b 1z6,3865481.0,Broadcom,Gua131,695.0,Concord,MI,10.0,S,0.0
6503 ROBBINS STREET,1.0,Canada,480595.0,29.0,,brennand,F,agretha,,U,,53717,804544.0,Reynolds American,bre132,614.0,Phoenix,Newfoundland,7.0,M,3.0
3958 GLEN LOCH BOULEVARD,4.0,United States of America,181718.0,89.0,X,Savanh,f,LOTTY,,O,1-725-177-7815,t5c 1w7,3143356.0,Wells Fargo,Sav133,307.0,Coral Springs,ME,7.0,S,5.0
13640 ethridge lower,0.0,United States of America,468310.0,11.0,Z,ABBATANTUONO,,Kassey,,O,1-277-496-5396,37245,,Retail Ventures,ABB134,331.0,Oxnard,AL,2.0,M,3.0
3981 imperial lower,2.0,United States of America,354987.0,20.0,N,OP,M,Adria,,O,1-756-463-2201,94401,2311953.0,AT&T,OP135,638.0,Brownsville,IN,2.0,S,0.0
13210 3rd drive,3.0,Canada,284539.0,75.0,,Mersinger,,audivox,,O,1-261-338-7463,B8a 1y3,3120608.0,Wynn Resorts,Mer136,703.0,Memphis,NH,3.0,W,5.0
9297 THROCKMORTON SOUTH,0.0,United States of America,213725.0,95.0,,rutt,F,SUE,,O,1-811-086-4675,t6b 1k2,2058270.0,Eastman Kodak,rut137,302.0,Flint,DC,7.0,S,5.0
8935 YOUNG UPPER,2.0,United States of America,74195.0,0.0,I,bemis,,Lorenza,,O,1-338-771-1185,85306,1511983.0,Aramark,bem138,522.0,Lafayette,DC,,U,3.0
3797 RUTGERS PARK,5.0,United States of America,169295.0,73.0,,Pennington,,Enzo,,O,1-554-231-5318,V6R 1R7,439080.0,ENSCO International,Pen139,,Greensboro,MD,,M,1.0
8285 tamarind crescent,1.0,United States of America,307832.0,39.0,Y,torok,M,claudina,,R,1-733-886-5227,68513,921255.0,Auto-Owners Insurance,tor140,833.0,Sterling Heights,Prince Edward Island,5.0,W,0.0
