AgID,FirN,MiIni,LN,AddLi1,NumCa,OORFl,AdL2,Gen,CreRa,Ci,NuChil,MariSta,Ag,Em,NumCrCar,NeWor
luz22,Radoslav,V,luzarraga,16124 weyland park,1.0,O,,f,795.0,St. Louis,1.0,U,,Costco Wholesale,8.0,2041224.0
don23,Aryn,S,donovan,23822 marvin crescent,4.0,U,,,367.0,Colorado Springs,0.0,,5.0,Illinois Tool Works,5.0,2231509.0
Gia24,Allisan,T,Giallo,2203 valita boulevard,1.0,O,,,507.0,Fontana,5.0,M,23.0,Southern Union,1.0,3206409.0
SPR25,Ammamaria,,SPRUELL,11538 COLLINWOOD AVENUE,3.0,O,,M,362.0,St. Catharines,1.0,M,61.0,Moog,9.0,3850037.0
SKA26,Mari,,SKALSKI,7818 EAST STREET,0.0,O,,F,527.0,Hayward,1.0,D,,Old Republic International,7.0,528440.0
Gar27,Anica,,Gargul,10013 shaw road,0.0,O,,m,354.0,Palmdale,,S,51.0,,0.0,597140.0
Dor28,Melba,,Dore,6802 AMES STREET,1.0,O,,,511.0,Phoenix,1.0,M,97.0,Great Plains Energy,1.0,146931.0
DIO29,Tracee,X,DIOGO,22501 SUMMIT RUE,2.0,,,,412.0,Gary,2.0,,52.0,Broadcom,7.0,353495.0
Mer30,CANADIAN,,Merrick,291 frances rue,4.0,O,,m,583.0,Beaumont,0.0,S,98.0,Discover Financial Services,1.0,295647.0
Atc31,Oue,R,Atchison,16264 sanders east,5.0,O,,,710.0,Nashua,3.0,U,47.0,UAL,5.0,408941.0
Pla32,wallie,X,Plamondon,16068 cantey way,2.0,O,,m,380.0,San Jose,1.0,M,47.0,Charles Schwab,9.0,362523.0
SEL33,Andromache,E,SELCHOW,21170 EDLOE BOULEVARD,0.0,R,,F,796.0,Nashua,0.0,M,9.0,Coach,2.0,2102359.0
sha34,THOR,Z,shane,885 CROSBY LANE,1.0,U,,f,818.0,Fort Smith,3.0,M,85.0,DaVita,2.0,3480265.0
MER35,SALAH,,MERWIN,12235 jay street,5.0,U,,,766.0,Lancaster,3.0,M,81.0,Marshall & Ilsley Corp.,3.0,3648900.0
con36,HOR-LAM,,conrad,20340 LOMBARD CRESCENT,2.0,O,,,359.0,Colorado Springs,3.0,M,0.0,Cablevision Systems,2.0,1161790.0
ons37,Vania,,onsiteteam,22074 dexter upper,1.0,R,,M,401.0,Washington,5.0,S,28.0,Barnes & Noble,2.0,2050587.0
Sum38,Niel,,Summerlin,1540 MURIE RUE,1.0,O,,M,609.0,Lowell,1.0,U,65.0,EMC,0.0,3579198.0
gro39,ziad,F,grooms,7075 glen loch drive,3.0,O,,,630.0,Frederick,0.0,S,20.0,Fluor,2.0,889494.0
dil40,Claude,I,dilkie,11237 balmoral way,3.0,O,Apt. 382,,671.0,Mesa,1.0,M,55.0,Dollar General,9.0,2205682.0
DOL41,AVTAR,,DOLSON,8316 GARDEN BROOK NORTH,0.0,O,,,715.0,Lakewood,2.0,U,76.0,Lear,10.0,1140117.0
Pos42,Donny,,Posthumus,2240 clifton lower,4.0,O,,,707.0,Cleveland,1.0,M,1.0,J.P. Morgan Chase & Co.,9.0,1421319.0
Mac43,Cocos,,Machika,20907 NOTINGHAM LOWER,4.0,O,,,329.0,Grand Rapids,2.0,M,3.0,Affinia Group Intermediate,0.0,3525204.0
che44,ruud,,chenoweth,601 carroll lower,0.0,R,,,601.0,Peoria,3.0,D,100.0,,8.0,468976.0
hol45,Belvia,,holbrooks,18267 state drive,5.0,O,,,623.0,Inglewood,1.0,W,81.0,Goldman Sachs Group,2.0,1685443.0
pfi46,ATHAR,,pfieffer,9270 LEAF SOUTH,4.0,O,,f,376.0,Akron,4.0,S,76.0,E*Trade Financial,2.0,337564.0
elk47,Cherey,Y,elkington,18582 PERIMETER BOULEVARD,1.0,O,,,560.0,Charlottetown,3.0,W,51.0,Pfizer,0.0,84777.0
Lab48,RAZ,,Labenek,9612 park stream upper,1.0,O,,F,693.0,Bellevue,5.0,,,Safeway,4.0,3146477.0
laf49,kishore,Y,laferriere,2803 clearwater north,1.0,U,,,346.0,Dover,2.0,S,58.0,Simon Property Group,0.0,495277.0
Nor50,Nelleke,I,Norment,11103 BISSONNET WEST,0.0,O,,,342.0,Fullerton,3.0,M,52.0,Trinity Industries,0.0,746904.0
hag51,sibby,,hagar,4652 outervale lane,2.0,R,,,563.0,Denver,0.0,M,91.0,Solutia,8.0,1219620.0
Bet52,ericha,,Betcher,341 dunbar west,2.0,O,,m,391.0,Dallas,3.0,M,17.0,,4.0,1718910.0
Van53,Janson,,Van der,16176 vernon drive,4.0,O,,m,381.0,San Jose,4.0,S,6.0,A.O. Smith,8.0,
O'L54,Dorotea,,O'LEARY,23131 clint way,0.0,U,,F,539.0,Bellevue,3.0,S,89.0,AptarGroup,9.0,2636424.0
and55,Denice,,anderson,11640 baltic upper,5.0,O,,m,497.0,San Buenaventura,4.0,M,99.0,Coca-Cola,0.0,1326305.0
sta56,Myron,,starks,20796 dolores drive,4.0,O,,,661.0,St. Louis,2.0,M,77.0,Kimberly-Clark,,2241997.0
CHA57,Barby,,CHASSE,14359 COMMERCE WEST,5.0,R,Apt. 275,,558.0,Pueblo,3.0,S,,Visteon,0.0,1542891.0
ASI58,Ariella,,ASING,21448 hampton boulevard,,O,,R,534.0,Regina,1.0,W,90.0,TECO Energy,,797918.0
ask59,ADEY,,askins,7637 pershing way,0.0,U,,f,373.0,Saskatoon,0.0,M,82.0,Bemis,6.0,347654.0
Kik60,GAYEL,K,Kikuta,11529 arcana boulevard,4.0,O,,,382.0,Jackson,0.0,M,,Wyeth,8.0,2456397.0
Cha61,Man,,Chane,2700 windwood north,3.0,O,,F,475.0,St. Petersburg,3.0,S,15.0,United Technologies,10.0,1284229.0
KIL62,Klara,U,KILLEN,22279 gramercy road,2.0,O,,m,539.0,Scottsdale,0.0,D,,Clorox,3.0,618787.0
kin63,Abdalla,,kinley,9828 west east,4.0,O,,f,711.0,Charlotte,5.0,M,96.0,Discovery Communications,6.0,1171606.0
MAL64,bal,,MALAHER,5935 mcafee park,4.0,O,,,606.0,Waterbury,,M,38.0,Williams-Sonoma,1.0,3983261.0
Odu65,Romy,J,Odum,12460 CLAYTON STREET,3.0,O,,,494.0,Chesapeake,3.0,W,10.0,Manitowoc,0.0,2328568.0
DI 66,KORAL,,DI NINNO,275 3rd drive,1.0,O,,,309.0,Hialeah,5.0,M,72.0,Henry Schein,3.0,2078600.0
STU67,YUKIHIKO,K,STUBBLEFIELD,6907 FERNCLIFF CRESCENT,2.0,O,,,630.0,Charleston,5.0,M,97.0,Trinity Industries,3.0,2986155.0
HAM68,Khanh,,HAMBALI,885 crosby lane,4.0,O,,,330.0,Salem,1.0,S,48.0,Pepsi Bottling,10.0,1864039.0
LIB69,Darnell,,LIBRARIAN,2344 kalani west,,O,,m,710.0,Sacramento,0.0,S,97.0,UGI,9.0,1293721.0
ohs70,feridoun,,ohsone,22870 LA CIENEGA STREET,4.0,R,,M,475.0,Santa Clarita,0.0,M,73.0,Greif,7.0,3850114.0
HUM71,Magdy,O,HUMMEL,8478 green avenue,0.0,O,APT. 143,,596.0,Sherbrooke,1.0,U,71.0,Equifax,3.0,1618743.0
BRA72,jiri,,BRADD,23639 purdue rue,5.0,O,,,670.0,Colorado Springs,1.0,W,93.0,,9.0,3383487.0
Boa73,AILA,X,Boarder,19202 ansley park,5.0,O,,,722.0,Berkeley,3.0,U,53.0,Freescale Semiconductor,,2981876.0
Mcn74,Vincenzo,,Mcnally,11319 devonshire rue,3.0,O,,,587.0,San Buenaventura,2.0,U,32.0,Aleris International,7.0,2109339.0
MAR75,Minnnie,,MARKOVICH,23665 deerwood park,4.0,O,,F,609.0,New Haven,3.0,S,1.0,,4.0,791803.0
Wil76,alfonzo,,Willekes,4855 union north,0.0,O,,f,401.0,Shreveport,1.0,S,39.0,World Fuel Services,7.0,3523678.0
Dea77,Swandi,S,Deacetis,9466 SHADOWBRIAR WEST,4.0,,,m,335.0,Lansing,0.0,M,77.0,R.R. Donnelley & Sons,0.0,1681902.0
Hou78,Anya,,Houk,3504 regency avenue,5.0,O,,,569.0,Pembroke Pines,5.0,U,18.0,Brinker International,7.0,3851455.0
Goy79,Enrika,,Goyette,7281 northland lower,0.0,R,,,,Palmdale,2.0,M,70.0,Temple-Inland,9.0,2339382.0
Mok80,SONJA,Z,Mok-fung,12481 hayden lower,2.0,O,,f,679.0,Savannah,0.0,S,26.0,Psychiatric Solutions,7.0,
Run81,Liem,I,Rundle,2328 gracie avenue,,,,,356.0,Amarillo,4.0,M,,Nash-Finch,10.0,2065016.0
BEL82,COLLETTE,,BELLEY,4737 campbell street,2.0,R,,o,308.0,Anchorage,5.0,S,58.0,AMR,9.0,2454049.0
BAE83,SIAMACK,Y,BAER,2401 stratmore lower,0.0,O,,,412.0,Louisville,4.0,M,43.0,Spartan Stores,4.0,2423395.0
MAU84,Toshihiro,,MAULDIN,21477 JUNIPER CRESCENT,2.0,O,,f,618.0,Hilo,3.0,D,65.0,Cigna,4.0,1342045.0
Koo85,Casey,,Koohgoli,19214 YAUPON BOULEVARD,5.0,O,,,429.0,Sudbury,3.0,S,24.0,General Cable,5.0,861756.0
Lau86,Daryn,,Lauriston,7785 rusk boulevard,3.0,O,,,819.0,Orlando,1.0,S,79.0,Dun & Bradstreet,3.0,1215349.0
Man87,Adrianna,L,Mangum,18002 cantrell upper,0.0,O,,F,552.0,Missoula,1.0,M,48.0,Casey's General Stores,7.0,3981554.0
PIE88,Cortney,,PIERCY,23341 brookside upper,0.0,O,,,587.0,Abilene,4.0,S,69.0,Jack in the Box,9.0,3865937.0
Bus89,Duane,,Buscaglia,20494 ROSS WEST,3.0,O,,M,304.0,Saskatoon,1.0,S,91.0,Assurant,6.0,2804700.0
BAB90,Tele,,BABIONE,17552 SAVANNAH NORTH,5.0,U,,,795.0,Irvine,5.0,,75.0,Psychiatric Solutions,4.0,3283558.0
Bur91,Ophelia,,Burkard,4462 pace crescent,1.0,O,APT. 373,M,830.0,Reno,3.0,S,85.0,Danaher,2.0,450524.0
Kin92,lorine,,Kinsella,7161 tallowood upper,5.0,R,,,709.0,Sacramento,3.0,M,76.0,Clorox,3.0,
POM93,Viole,,POMMAINVILLE,3489 silver sage west,2.0,O,,,493.0,Topeka,1.0,S,68.0,Boyd Gaming,8.0,
BOA94,Nani,,BOATWRIGHT,12481 hayden lower,3.0,O,,M,680.0,Rancho Cucamonga,,M,95.0,Eaton,,633760.0
Ron95,cherey,R,Ronald,13210 3RD DRIVE,1.0,R,,,800.0,Hilo,5.0,M,15.0,Dynegy,,3634954.0
wei96,Redgie,A,weihs,8899 starling lane,1.0,R,,,614.0,Saint John,5.0,M,17.0,AmeriCredit,4.0,799268.0
Hel97,Yousef,P,Helpb,11480 fennel south,4.0,R,,M,763.0,Torrance,0.0,,94.0,SLM,6.0,39093.0
mog98,Damaris,,moghe,7266 cherry upper,4.0,O,,m,561.0,Santa Clara,4.0,S,70.0,NV Energy,3.0,2705353.0
boz99,Ilyssa,,bozicevich,10678 ENGLEWOOD WEST,1.0,O,,,569.0,Torrance,2.0,S,29.0,Landstar System,4.0,3565153.0
Zah100,Moselle,R,Zaharychuk,21181 2ND RUE,4.0,O,,,634.0,Stockton,1.0,M,52.0,Pacific Life,5.0,2832204.0
And101,Dulsea,,Andric,22963 hanover road,5.0,O,,F,488.0,Paterson,3.0,U,51.0,Textron,10.0,2194345.0
Bam102,Lyndsie,L,Bamfo,8268 cliffbrook boulevard,2.0,O,,,788.0,Mesa,3.0,W,24.0,Pfizer,5.0,3737140.0
fro103,KESLEY,,frondozo,5118 montview court,3.0,O,,,333.0,Anchorage,4.0,D,98.0,Cigna,8.0,464753.0
Car104,LAUREL,J,Caron,17442 tallowood upper,1.0,U,,,601.0,Miami,1.0,M,59.0,Ameren,,596696.0
muc105,Steen,V,muchow,4038 WEDGEWOOD STREET,3.0,O,,f,595.0,Great Falls,4.0,U,49.0,Consolidated Edison,2.0,1504753.0
gat106,noel,,gateau,20334 anaconda avenue,0.0,O,,,433.0,Erie,1.0,U,1.0,Occidental Petroleum,10.0,3049281.0
Sch107,Tracey,M,Schaefer,5385 young west,0.0,O,,F,403.0,Hollywood,,U,79.0,Sherwin-Williams,10.0,247478.0
pom108,Sarajane,,pomerleau,2747 SINCLAIR LANE,1.0,R,,,615.0,Tulsa,5.0,,6.0,Affiliated Computer Services,3.0,2750301.0
cuc109,Geoffrey,K,cucuzzella,8622 BROWNWAY PARK,0.0,O,,F,735.0,Tucson,4.0,M,70.0,Valassis Communications,1.0,721333.0
SUG110,loralyn,Z,SUGARMAN,18048 GREEN NORTH,3.0,O,,q,668.0,Anchorage,0.0,S,23.0,,1.0,669440.0
Pep111,andrei,,Pepe,18994 country boulevard,3.0,O,,,349.0,Sandy,5.0,M,78.0,Smithfield Foods,,2473979.0
Cha112,javad,,Chandrashekar,16063 ashland road,4.0,,SUITE 7,f,654.0,Boston,,S,79.0,,,3545170.0
SEI113,Karna,U,SEIFERS,19309 mcfarlin north,2.0,O,Apt. 971,m,361.0,Vancouver,3.0,U,72.0,TD Ameritrade,6.0,1494871.0
GAR114,Jocelyn,S,GARTLEY,2454 cliffbrook west,4.0,U,,F,427.0,Akron,0.0,S,31.0,Comerica,1.0,436164.0
Tou115,Elvera,,Touchette,15865 strand west,0.0,O,,M,322.0,Lancaster,3.0,W,86.0,Steel Dynamics,1.0,1069481.0
Kur116,Nessy,V,Kurdziel,13776 east boulevard,2.0,R,,M,792.0,Concord,0.0,S,,Coca-Cola Enterprises,9.0,
Her117,lona,,Herod,10570 WEIZMANN LOWER,3.0,O,,,478.0,Chesapeake,0.0,U,87.0,News Corp.,2.0,2957261.0
MCV118,RHEA,P,MCVICAR,15278 walnut hill road,,O,,,477.0,Flint,5.0,M,92.0,,1.0,228459.0
LAB119,Josefa,,LABFIVE,23007 WAKEFOREST WAY,1.0,O,,F,449.0,Chattanooga,5.0,M,4.0,Stater Bros. Holdings,6.0,67267.0
but120,alikee,,butta,9088 rivas way,2.0,O,,,466.0,Billings,4.0,U,8.0,BorgWarner,2.0,1087978.0
Pro121,dolorita,,Projects,18798 ullrich road,0.0,O,,m,483.0,Scottsdale,5.0,M,97.0,CB Richard Ellis Group,2.0,3885967.0
Irc122,Marilyn,,Irc,18517 HULEN LOWER,5.0,O,,,588.0,Oshawa,4.0,D,,Zimmer Holdings,4.0,3271101.0
Ziv123,robertson,G,Zivkovic,11474 dodd lane,5.0,O,,,313.0,Naperville,5.0,,40.0,Mohawk Industries,2.0,
sim124,Ilsa,H,simser,9375 wood south,1.0,R,,,647.0,Tampa,4.0,U,95.0,Berkshire Hathaway,1.0,1999133.0
kei125,Pen,I,keifer,20479 wise avenue,1.0,O,,,430.0,Jackson,5.0,S,92.0,Saks,2.0,1100786.0
arv126,AUBRETTE,P,arvin,19918 ROGERS NORTH,0.0,O,,f,467.0,Hay River,5.0,W,67.0,Gardner Denver,8.0,563992.0
Pra127,Cole,,Praeuner,9284 coffey lower,3.0,O,,F,399.0,Irvine,2.0,M,24.0,Hasbro,7.0,962397.0
lue128,liva,C,lue,2929 north crescent,2.0,O,,m,654.0,Idaho Falls,3.0,M,26.0,CBS,5.0,1064169.0
Prz129,Ayaz,,Przybycien,15404 queen street,2.0,O,,f,378.0,Moreno Valley,0.0,S,62.0,Synnex,3.0,2100059.0
pen130,YETTY,J,penn,1619 greenspoint road,5.0,O,,f,338.0,Ontario,1.0,W,37.0,Belden,10.0,99025.0
Gua131,Mary-michelle,S,Guay,21477 WARREN PARK,5.0,R,,,695.0,Concord,0.0,S,71.0,Broadcom,10.0,3865481.0
bre132,agretha,,brennand,6503 ROBBINS STREET,1.0,U,,F,614.0,Phoenix,3.0,M,29.0,Reynolds American,7.0,804544.0
Sav133,LOTTY,X,Savanh,3958 GLEN LOCH BOULEVARD,4.0,O,,f,307.0,Coral Springs,5.0,S,89.0,Wells Fargo,7.0,3143356.0
ABB134,Kassey,Z,ABBATANTUONO,13640 ethridge lower,0.0,O,,,331.0,Oxnard,3.0,M,11.0,Retail Ventures,2.0,
OP135,Adria,N,OP,3981 imperial lower,2.0,O,,M,638.0,Brownsville,0.0,S,20.0,AT&T,2.0,2311953.0
Mer136,audivox,,Mersinger,13210 3rd drive,3.0,O,,,703.0,Memphis,5.0,W,75.0,Wynn Resorts,3.0,3120608.0
rut137,SUE,,rutt,9297 THROCKMORTON SOUTH,0.0,O,,F,302.0,Flint,5.0,S,95.0,Eastman Kodak,7.0,2058270.0
bem138,Lorenza,I,bemis,8935 YOUNG UPPER,2.0,O,,,522.0,Lafayette,3.0,U,0.0,Aramark,,1511983.0
Pen139,Enzo,,Pennington,3797 RUTGERS PARK,5.0,O,,,,Greensboro,1.0,M,73.0,ENSCO International,,439080.0
tor140,claudina,Y,torok,8285 tamarind crescent,1.0,R,,M,833.0,Sterling Heights,0.0,W,39.0,Auto-Owners Insurance,5.0,921255.0
law141,Otha,L,lawlis,20025 routh crescent,1.0,O,,m,,Costa Mesa,1.0,U,76.0,Bemis,2.0,3810365.0
Bee142,Rodie,D,Beebe,4144 LAKE PARK LANE,2.0,O,Suite 397,m,664.0,Houston,2.0,U,5.0,Securian Financial Group,6.0,2641938.0
sch143,DULCE,,schlange,3375 sakowitz lane,4.0,O,,m,789.0,Bakersfield,1.0,U,65.0,Ford Motor,7.0,3857323.0
Wit144,Win,,Witchlow,7255 berry way,5.0,U,,,803.0,Chesapeake,0.0,S,94.0,ConAgra Foods,0.0,1636212.0
MER145,Roselin,Q,MEREDITH,3131 WATHAN SOUTH,4.0,,,F,720.0,Sandy,4.0,M,95.0,Charter Communications,3.0,2999082.0
bia146,Malanie,,bialkenius,18440 RYAN NORTH,1.0,R,,m,839.0,Lewiston,0.0,M,28.0,Calpine,4.0,2280820.0
Swi147,TARYN,P,Swiat,13222 glen loch road,4.0,O,SUITE 464,m,621.0,Elizabeth,1.0,D,76.0,Crane,0.0,1050866.0
bul148,MALENA,,bullinger,7889 MURRAY WAY,5.0,O,,,628.0,Sudbury,4.0,D,81.0,Textron,3.0,
TYR149,Dorie,,TYRRELL,7527 whale drive,3.0,O,,F,813.0,Austin,5.0,W,38.0,Idearc,6.0,603001.0
Fyf150,Liese,,Fyfe,17788 eagle trace park,5.0,R,,,367.0,Salinas,3.0,W,25.0,Cabela's,3.0,3368239.0
Sic151,tele,,Sicard,7661 GRANT WAY,4.0,O,,,807.0,Peoria,2.0,D,0.0,EOG Resources,10.0,1042629.0
CAS152,astra,,CASTEN,4806 crystal hills street,3.0,O,,F,501.0,Sydney,4.0,U,61.0,,8.0,1948746.0
Cho153,marnia,S,Choy,4211 WILLS NORTH,0.0,O,,,490.0,San Antonio,2.0,U,3.0,Burlington Coat Factory,10.0,3113862.0
CHA154,AMY,,CHACKO,7524 linberg north,2.0,O,,,321.0,Oklahoma City,3.0,W,77.0,Southwest Airlines,3.0,2777290.0
bei155,HAMILTON,E,beil,14266 lemming south,1.0,R,,f,,Miami,0.0,U,8.0,RPM International,6.0,2210073.0
Ele156,Kuldip,J,Eleftheriou,1427 ADDAX LANE,4.0,O,,m,446.0,Yonkers,1.0,U,34.0,Amazon.com,7.0,1999684.0
o'g157,krystalle,,o'grady,1625 fernando court,5.0,O,,F,428.0,Columbia,5.0,M,15.0,Neiman Marcus,2.0,2119678.0
Kat158,Stella,,Katchmar,335 floresta north,0.0,O,,,423.0,Lubbock,0.0,S,66.0,Goldman Sachs Group,5.0,169808.0
Lui159,Marie-josee,O,Luin,22806 garson east,5.0,O,,,499.0,Chattanooga,4.0,U,55.0,Boeing,6.0,1072732.0
Kla160,Nashib,,Klavkalns,5524 vermack street,1.0,O,,f,342.0,Fargo,1.0,S,8.0,United Refining,7.0,2261442.0
Bru161,Annette,Z,Brunsting,18105 electra street,1.0,U,,,632.0,Omaha,3.0,M,7.0,D.R. Horton,1.0,2234368.0
Apt162,LENA,Q,Apter,719 holman court,3.0,O,,,525.0,Yonkers,1.0,M,97.0,Jarden,6.0,575288.0
sch163,Christian,,schuette,23553 MEMORIAL RUE,5.0,R,,f,371.0,Spokane,1.0,M,95.0,Systemax,9.0,1102479.0
Lan164,Morrie,,Lanava,16759 park avenue,1.0,O,,,699.0,Tulsa,3.0,U,92.0,Marriott International,4.0,2995388.0
Fus165,LYMAN,,Fusca,12296 WILLIAMS LOWER,3.0,O,,F,435.0,Garden Grove,2.0,M,17.0,Expeditors International,8.0,1147193.0
Nev166,REUBEN,R,Nevardauskis,9625 ALLEN BOULEVARD,1.0,U,,F,512.0,Fort Lauderdale,4.0,U,81.0,Great Plains Energy,2.0,1136540.0
SHA167,Hermon,,SHACKLEFORD,10340 jarvis road,5.0,O,,f,552.0,Philadelphia,,M,13.0,Danaher,6.0,1677669.0
Sau168,Paqs,P,Sauck,13143 goodwin lane,0.0,O,,,,Sydney,2.0,M,78.0,,8.0,2160706.0
fri169,GAETAN,,frischknecht,7160 BEATTY RUE,4.0,O,,,687.0,Waterbury,1.0,M,78.0,Watson Wyatt Worldwide,5.0,2525665.0
fer170,leese,O,fernandez,22679 chimney rock west,3.0,R,,,433.0,Tacoma,1.0,M,85.0,Yahoo,0.0,3517622.0
LAN171,Amelie,,LANDERS,6769 pasadena upper,1.0,,,M,746.0,Charlottetown,2.0,U,68.0,Convergys,7.0,
Bha172,TAMRA,,Bhasin,20622 MCAFEE COURT,0.0,R,,,405.0,Independence,0.0,M,1.0,Celanese,9.0,97675.0
Jor173,bang,,Jordan,10526 LINWOOD LANE,5.0,O,,M,805.0,Escondido,5.0,M,83.0,Dana Holding,,
KNU174,HILDEGARDE,,KNUDSEN,21088 vessey crescent,4.0,O,,F,819.0,Lansing,4.0,M,78.0,XTO Energy,5.0,3569070.0
Ham175,Carmody,,Hamelin,10884 ryan avenue,0.0,O,,F,648.0,Anaheim,5.0,M,,Alliance Data Systems,0.0,1507616.0
MAU176,Dareen,,MAUER,1481 gale court,5.0,R,,,401.0,Glendale,5.0,U,5.0,Franklin Resources,10.0,514151.0
Rez177,WEN,,Rezansoff,18390 martins east,2.0,U,Apt. 426,F,484.0,Chula Vista,0.0,U,43.0,Fidelity National Financial,8.0,2903408.0
Koa178,MOT,,Koa,23208 porter crescent,4.0,O,,,463.0,Orlando,4.0,U,53.0,FirstEnergy,1.0,1695814.0
HAN179,leese,B,HANNEMAN,17026 durand north,3.0,O,,m,335.0,Cleveland,0.0,U,13.0,Commercial Metals,5.0,868465.0
jak180,nettie,I,jakim,16533 devonshire park,5.0,O,,,,Huntington,4.0,U,7.0,Genzyme,10.0,2810709.0
ump181,AILEE,C,umphres,8965 griffin east,4.0,R,,,381.0,Fayetteville,5.0,M,17.0,US Airways Group,7.0,3593363.0
Wic182,chan,G,Wickham,22451 larner court,2.0,O,,,708.0,Riverside,2.0,M,67.0,Advanced Micro Devices,1.0,2607636.0
Gat183,RAY,,Gates,3681 HOLLY KNOLL CRESCENT,5.0,R,Apt. 540,F,354.0,Dayton,4.0,M,54.0,United Parcel Service,8.0,2735642.0
bot184,Robinette,,bott,5678 dayton street,1.0,,,,547.0,Corona,4.0,S,5.0,Fastenal,10.0,1501732.0
DAV185,Rocke,T,DAVID-YERUMO,15591 holgate lane,1.0,O,,,761.0,Oklahoma City,1.0,D,28.0,Core-Mark Holding,9.0,397072.0
HIL186,Suzette,,HILLARD,23477 havenridge rue,4.0,O,,F,659.0,Dallas,1.0,M,5.0,Boise,1.0,3399757.0
war187,Myla,,warburton,18267 cape lane,4.0,R,,,351.0,Durham,2.0,M,,DST Systems,9.0,2684548.0
MAC188,dacia,,MACHNICKI-HYNES,2928 POTOMAC UPPER,3.0,O,apt. 48,m,608.0,Tacoma,3.0,S,72.0,United States Steel,7.0,3041622.0
lev189,CHELSIE,A,levitin,14656 pasadena park,4.0,O,,F,706.0,Alexandria,2.0,S,12.0,Pepco Holdings,3.0,3211816.0
Goo190,abbas,,Gooderham,16983 flagler drive,0.0,O,apt. 968,,391.0,Hialeah,4.0,M,71.0,Acuity Brands,8.0,127026.0
Koh191,Rec,E,Kohalmi-hill,17212 LANDER SOUTH,5.0,R,,,461.0,Denver,4.0,W,90.0,Baker Hughes,2.0,588945.0
AYL192,Elaine,,AYLWIN,23764 sabine west,4.0,O,,M,510.0,Fort Lauderdale,4.0,U,20.0,Newell Rubbermaid,2.0,1962620.0
CHO193,Katharine,E,CHOUHAN,16271 vista south,,O,,F,805.0,Mesa,2.0,W,58.0,Westlake Chemical,5.0,178193.0
