CreditRating,MiddleInitial,OwnOrRentFlag,Age,NumberChildren,AddressLine2,City,NetWorth,Employer,Phone,NumberCars,State,NumberCreditCards,Gender,LastName,AgencyID,FirstName,AddressLine1,Country,MaritalStatus,Income,PostalCode
493.0,U,O,96.0,2.0,,West Covina,1528641.0,Iasis Healthcare,1-561-520-0611,2.0,TX,9.0,,mahendra,mah10,umakanth,18313 5th lane,Canada,M,79928.0,A2b 1w1
564.0,,R,46.0,0.0,,San Buenaventura,3752907.0,AMR,1-730-406-9727,1.0,NE,0.0,,Sizto,Siz11,terrie,13653 collier avenue,United States of America,M,109496.0,M5F 1W1
817.0,,U,6.0,4.0,,Lexington,582378.0,Embarq,,1.0,AR,0.0,,crawley,cra12,Mary-pat,15306 pike park,United States of America,U,267901.0,95118
653.0,,R,39.0,5.0,,Hay River,3458824.0,Advanced Micro Devices,1-207-867-4589,3.0,MI,8.0,m,dacal,dac13,Catherin,1540 crestmere north,United States of America,U,487273.0,H2f 1v7
587.0,W,O,73.0,4.0,,Toronto,469408.0,Cenveo,1-478-629-9641,3.0,MA,2.0,,HIVELY,HIV14,annissa,10790 bonita crescent,United States of America,M,34013.0,19217
472.0,,O,26.0,2.0,Apt. 290,Denver,1504480.0,Kelly Services,1-026-208-8595,0.0,TN,6.0,,Peschke,Pes15,Amour,24679 AIRPORT CRESCENT,United States of America,S,473462.0,21228
817.0,,O,54.0,4.0,,St. Paul,2763009.0,Viacom,1-432-681-4853,5.0,TN,4.0,,CHILDERHOSE,CHI16,jenica,7627 douglas road,Canada,M,499493.0,85097
441.0,,R,87.0,4.0,,Bellevue,2787199.0,Macy's,,5.0,OK,0.0,,Dinnin,Din17,KATTIE,6106 ashland east,United States of America,M,266928.0,V6j 1q8
848.0,M,O,85.0,3.0,,Detroit,2789368.0,Gardner Denver,1-357-207-6320,2.0,Ontario,6.0,,De witte,De 18,Roselle,1111 norden street,United States of America,M,72444.0,43207
843.0,,R,86.0,3.0,,Omaha,2784776.0,Family Dollar Stores,1-462-774-1277,3.0,KY,8.0,m,Mckeegan,Mck19,arlyne,2798 1st east,United States of America,U,77290.0,V6t 1q8
,P,R,59.0,0.0,,Costa Mesa,288747.0,,1-702-382-2898,2.0,PA,,M,WINTERS,WIN20,Rong-chin,11358 elle lee street,United States of America,U,395066.0,94467
300.0,,O,94.0,3.0,,Berkeley,876575.0,Sun Microsystems,1-909-554-7120,5.0,MD,0.0,,BITTMAN,BIT21,Darlleen,21074 MALLORY LOWER,United States of America,U,119283.0,94321
795.0,V,O,,1.0,,St. Louis,2041224.0,Costco Wholesale,1-752-296-7940,1.0,TX,8.0,f,luzarraga,luz22,Radoslav,16124 weyland park,United States of America,U,330991.0,C2a 4w7
367.0,S,U,5.0,0.0,,Colorado Springs,2231509.0,Illinois Tool Works,1-995-554-5056,4.0,IN,5.0,,donovan,don23,Aryn,23822 marvin crescent,United States of America,,,35808
507.0,T,O,23.0,5.0,,Fontana,3206409.0,Southern Union,1-090-303-3807,1.0,MD,1.0,,Giallo,Gia24,Allisan,2203 valita boulevard,United States of America,M,252031.0,M5f 1v6
362.0,,O,61.0,1.0,,St. Catharines,3850037.0,Moog,1-492-968-0932,3.0,KY,9.0,M,SPRUELL,SPR25,Ammamaria,11538 COLLINWOOD AVENUE,United States of America,M,101800.0,99539
527.0,,O,,1.0,,Hayward,528440.0,Old Republic International,1-960-227-2020,0.0,CA,7.0,F,SKALSKI,SKA26,Mari,7818 EAST STREET,United States of America,D,436977.0,95055
354.0,,O,51.0,,,Palmdale,597140.0,,1-431-122-8597,0.0,FL,0.0,m,Gargul,Gar27,Anica,10013 shaw road,United States of America,S,495334.0,93686
511.0,,O,97.0,1.0,,Phoenix,146931.0,Great Plains Energy,1-822-836-7200,1.0,Newfoundland,1.0,,Dore,Dor28,Melba,6802 AMES STREET,United States of America,M,274685.0,75218
412.0,X,,52.0,2.0,,Gary,353495.0,Broadcom,1-530-117-0497,2.0,TX,7.0,,DIOGO,DIO29,Tracee,22501 SUMMIT RUE,United States of America,,320820.0,91174
583.0,,O,98.0,0.0,,Beaumont,295647.0,Discover Financial Services,1-051-257-2719,4.0,WA,1.0,m,Merrick,Mer30,CANADIAN,291 frances rue,Canada,S,195835.0,49515
710.0,R,O,47.0,3.0,,Nashua,408941.0,UAL,1-171-989-1363,5.0,MN,5.0,,Atchison,Atc31,Oue,16264 sanders east,United States of America,U,108085.0,16506
380.0,X,O,47.0,1.0,,San Jose,362523.0,Charles Schwab,1-042-705-3246,2.0,WY,9.0,m,Plamondon,Pla32,wallie,16068 cantey way,United States of America,M,260185.0,94383
796.0,E,R,9.0,0.0,,Nashua,2102359.0,Coach,1-098-328-2026,0.0,NY,2.0,F,SELCHOW,SEL33,Andromache,21170 EDLOE BOULEVARD,United States of America,M,258323.0,T6d 1b3
818.0,Z,U,85.0,3.0,,Fort Smith,3480265.0,DaVita,1-209-754-5635,1.0,SC,2.0,f,shane,sha34,THOR,885 CROSBY LANE,United States of America,M,79476.0,25339
766.0,,U,81.0,3.0,,Lancaster,3648900.0,Marshall & Ilsley Corp.,1-498-781-3456,5.0,MS,3.0,,MERWIN,MER35,SALAH,12235 jay street,United States of America,M,102156.0,V6o 1v4
359.0,,O,0.0,3.0,,Colorado Springs,1161790.0,Cablevision Systems,1-615-241-0440,2.0,UT,2.0,,conrad,con36,HOR-LAM,20340 LOMBARD CRESCENT,United States of America,M,221481.0,01852
401.0,,R,28.0,5.0,,Washington,2050587.0,Barnes & Noble,1-995-449-5200,1.0,PA,2.0,M,onsiteteam,ons37,Vania,22074 dexter upper,United States of America,S,41836.0,78230
609.0,,O,65.0,1.0,,Lowell,3579198.0,EMC,1-295-673-4452,1.0,OK,0.0,M,Summerlin,Sum38,Niel,1540 MURIE RUE,Canada,U,72389.0,93770
630.0,F,O,20.0,0.0,,Frederick,889494.0,Fluor,1-914-675-2986,3.0,WY,2.0,,grooms,gro39,ziad,7075 glen loch drive,United States of America,S,66486.0,m4l 1n4
671.0,I,O,55.0,1.0,Apt. 382,Mesa,2205682.0,Dollar General,,3.0,RI,9.0,,dilkie,dil40,Claude,11237 balmoral way,United States of America,M,200185.0,22335
715.0,,O,76.0,2.0,,Lakewood,1140117.0,Lear,1-825-739-0336,0.0,HI,10.0,,DOLSON,DOL41,AVTAR,8316 GARDEN BROOK NORTH,United States of America,U,289215.0,V6C 1T4
707.0,,O,1.0,1.0,,Cleveland,1421319.0,J.P. Morgan Chase & Co.,1-956-713-3802,4.0,VA,9.0,,Posthumus,Pos42,Donny,2240 clifton lower,United States of America,M,322484.0,M6t 1h3
329.0,,O,3.0,2.0,,Grand Rapids,3525204.0,Affinia Group Intermediate,1-814-932-1579,4.0,OK,0.0,,Machika,Mac43,Cocos,20907 NOTINGHAM LOWER,United States of America,M,83458.0,95263
601.0,,R,100.0,3.0,,Peoria,468976.0,,1-135-443-7282,0.0,Prince Edward Island,8.0,,chenoweth,che44,ruud,601 carroll lower,United States of America,D,,v5b 1p5
623.0,,O,81.0,1.0,,Inglewood,1685443.0,Goldman Sachs Group,1-720-975-0667,5.0,SD,2.0,,holbrooks,hol45,Belvia,18267 state drive,United States of America,W,492407.0,32318
376.0,,O,76.0,4.0,,Akron,337564.0,E*Trade Financial,1-871-598-3505,4.0,OH,2.0,f,pfieffer,pfi46,ATHAR,9270 LEAF SOUTH,United States of America,S,346630.0,93872
560.0,Y,O,51.0,3.0,,Charlottetown,84777.0,Pfizer,1-607-222-4809,1.0,MA,0.0,,elkington,elk47,Cherey,18582 PERIMETER BOULEVARD,Canada,W,9572.0,92824
693.0,,O,,5.0,,Bellevue,3146477.0,Safeway,1-965-046-0642,1.0,MD,4.0,F,Labenek,Lab48,RAZ,9612 park stream upper,United States of America,,265369.0,e4a 1r2
346.0,Y,U,58.0,2.0,,Dover,495277.0,Simon Property Group,1-155-441-3579,1.0,Saskatchewan,0.0,,laferriere,laf49,kishore,2803 clearwater north,United States of America,S,104172.0,H7G 1V4
342.0,I,O,52.0,3.0,,Fullerton,746904.0,Trinity Industries,,0.0,WA,0.0,,Norment,Nor50,Nelleke,11103 BISSONNET WEST,United States of America,M,65550.0,85039
563.0,,R,91.0,0.0,,Denver,1219620.0,Solutia,1-544-132-7237,2.0,OH,8.0,,hagar,hag51,sibby,4652 outervale lane,Canada,M,,v6m 1q3
391.0,,O,17.0,3.0,,Dallas,1718910.0,,1-821-089-2089,2.0,WY,4.0,m,Betcher,Bet52,ericha,341 dunbar west,United States of America,M,,X7j 1r1
381.0,,O,6.0,4.0,,San Jose,,A.O. Smith,1-135-391-9787,4.0,NJ,8.0,m,Van der,Van53,Janson,16176 vernon drive,United States of America,S,66244.0,B8b 1z5
539.0,,U,89.0,3.0,,Bellevue,2636424.0,AptarGroup,1-776-182-6215,0.0,ND,9.0,F,O'LEARY,O'L54,Dorotea,23131 clint way,United States of America,S,426954.0,t5d 1v4
497.0,,O,99.0,4.0,,San Buenaventura,1326305.0,Coca-Cola,1-079-780-7761,5.0,NC,0.0,m,anderson,and55,Denice,11640 baltic upper,United States of America,M,126891.0,V6t 1r2
661.0,,O,77.0,2.0,,St. Louis,2241997.0,Kimberly-Clark,1-504-346-4393,4.0,WV,,,starks,sta56,Myron,20796 dolores drive,Canada,M,454196.0,91177
558.0,,R,,3.0,Apt. 275,Pueblo,1542891.0,Visteon,1-985-538-4351,5.0,GA,0.0,,CHASSE,CHA57,Barby,14359 COMMERCE WEST,United States of America,S,163940.0,T5c 1t1
534.0,,O,90.0,1.0,,Regina,797918.0,TECO Energy,1-254-097-9398,,Ontario,,R,ASING,ASI58,Ariella,21448 hampton boulevard,Canada,W,365213.0,35862
373.0,,U,82.0,0.0,,Saskatoon,347654.0,Bemis,1-545-924-9552,0.0,MA,6.0,f,askins,ask59,ADEY,7637 pershing way,United States of America,M,428739.0,96820
382.0,K,O,,0.0,,Jackson,2456397.0,Wyeth,1-984-233-8818,4.0,CA,8.0,,Kikuta,Kik60,GAYEL,11529 arcana boulevard,United States of America,M,142444.0,75238
475.0,,O,15.0,3.0,,St. Petersburg,1284229.0,United Technologies,1-528-691-1642,3.0,SD,10.0,F,Chane,Cha61,Man,2700 windwood north,United States of America,S,416168.0,85769
539.0,U,O,,0.0,,Scottsdale,618787.0,Clorox,,2.0,Saskatchewan,3.0,m,KILLEN,KIL62,Klara,22279 gramercy road,United States of America,D,291420.0,H5i 1o9
711.0,,O,96.0,5.0,,Charlotte,1171606.0,Discovery Communications,1-171-807-8213,4.0,RI,6.0,f,kinley,kin63,Abdalla,9828 west east,United States of America,M,413501.0,90849
606.0,,O,38.0,,,Waterbury,3983261.0,Williams-Sonoma,1-056-241-7009,4.0,NC,1.0,,MALAHER,MAL64,bal,5935 mcafee park,United States of America,M,,43644
494.0,J,O,10.0,3.0,,Chesapeake,2328568.0,Manitowoc,1-389-414-0570,3.0,SD,0.0,,Odum,Odu65,Romy,12460 CLAYTON STREET,United States of America,W,419143.0,99213
309.0,,O,72.0,5.0,,Hialeah,2078600.0,Henry Schein,1-583-542-1656,1.0,IL,3.0,,DI NINNO,DI 66,KORAL,275 3rd drive,United States of America,M,155057.0,72226
630.0,K,O,97.0,5.0,,Charleston,2986155.0,Trinity Industries,1-269-712-0672,2.0,OR,3.0,,STUBBLEFIELD,STU67,YUKIHIKO,6907 FERNCLIFF CRESCENT,United States of America,M,313859.0,V6Z 1Q9
330.0,,O,48.0,1.0,,Salem,1864039.0,Pepsi Bottling,1-670-102-0463,4.0,Ontario,10.0,,HAMBALI,HAM68,Khanh,885 crosby lane,United States of America,S,265907.0,20082
710.0,,O,97.0,0.0,,Sacramento,1293721.0,UGI,1-699-726-3895,,FL,9.0,m,LIBRARIAN,LIB69,Darnell,2344 kalani west,Canada,S,283481.0,35827
475.0,,R,73.0,0.0,,Santa Clarita,3850114.0,Greif,1-640-666-2876,4.0,NM,7.0,M,ohsone,ohs70,feridoun,22870 LA CIENEGA STREET,United States of America,M,200635.0,99692
596.0,O,O,71.0,1.0,APT. 143,Sherbrooke,1618743.0,Equifax,1-540-639-1311,0.0,NE,3.0,,HUMMEL,HUM71,Magdy,8478 green avenue,United States of America,U,434519.0,V6c 1q5
670.0,,O,93.0,1.0,,Colorado Springs,3383487.0,,1-285-874-8492,5.0,MI,9.0,,BRADD,BRA72,jiri,23639 purdue rue,United States of America,W,392315.0,80158
722.0,X,O,53.0,3.0,,Berkeley,2981876.0,Freescale Semiconductor,1-121-904-0040,5.0,New Brunswick,,,Boarder,Boa73,AILA,19202 ansley park,United States of America,U,493829.0,t6d 1b6
587.0,,O,32.0,2.0,,San Buenaventura,2109339.0,Aleris International,1-017-842-3201,3.0,NJ,7.0,,Mcnally,Mcn74,Vincenzo,11319 devonshire rue,United States of America,U,97489.0,33120
609.0,,O,1.0,3.0,,New Haven,791803.0,,1-215-859-3206,4.0,ND,4.0,F,MARKOVICH,MAR75,Minnnie,23665 deerwood park,United States of America,S,,99742
401.0,,O,39.0,1.0,,Shreveport,3523678.0,World Fuel Services,1-764-520-7470,0.0,Saskatchewan,7.0,f,Willekes,Wil76,alfonzo,4855 union north,United States of America,S,383046.0,V6N 1T1
335.0,S,,77.0,0.0,,Lansing,1681902.0,R.R. Donnelley & Sons,1-414-130-0162,4.0,KS,0.0,m,Deacetis,Dea77,Swandi,9466 SHADOWBRIAR WEST,United States of America,M,1190.0,44104
569.0,,O,18.0,5.0,,Pembroke Pines,3851455.0,Brinker International,1-970-240-9990,5.0,SD,7.0,,Houk,Hou78,Anya,3504 regency avenue,United States of America,U,85733.0,14605
,,R,70.0,2.0,,Palmdale,2339382.0,Temple-Inland,1-408-684-6459,0.0,FL,9.0,,Goyette,Goy79,Enrika,7281 northland lower,Canada,M,387890.0,80076
679.0,Z,O,26.0,0.0,,Savannah,,Psychiatric Solutions,1-330-353-5908,2.0,Saskatchewan,7.0,f,Mok-fung,Mok80,SONJA,12481 hayden lower,United States of America,S,16808.0,V6I 1V6
356.0,I,,,4.0,,Amarillo,2065016.0,Nash-Finch,1-766-726-2675,,FL,10.0,,Rundle,Run81,Liem,2328 gracie avenue,United States of America,M,304589.0,97307
308.0,,R,58.0,5.0,,Anchorage,2454049.0,AMR,1-938-425-7509,2.0,UT,9.0,o,BELLEY,BEL82,COLLETTE,4737 campbell street,United States of America,S,48506.0,46237
412.0,Y,O,43.0,4.0,,Louisville,2423395.0,Spartan Stores,1-527-308-8874,0.0,WY,4.0,,BAER,BAE83,SIAMACK,2401 stratmore lower,United States of America,M,,V6B 1S6
618.0,,O,65.0,3.0,,Hilo,1342045.0,Cigna,1-810-590-0635,2.0,NH,4.0,f,MAULDIN,MAU84,Toshihiro,21477 JUNIPER CRESCENT,United States of America,D,358862.0,H2d 1x1
429.0,,O,24.0,3.0,,Sudbury,861756.0,General Cable,1-274-548-2512,5.0,AR,5.0,,Koohgoli,Koo85,Casey,19214 YAUPON BOULEVARD,United States of America,S,477614.0,95108
819.0,,O,79.0,1.0,,Orlando,1215349.0,Dun & Bradstreet,1-649-754-4601,3.0,CT,3.0,,Lauriston,Lau86,Daryn,7785 rusk boulevard,United States of America,S,175414.0,80050
552.0,L,O,48.0,1.0,,Missoula,3981554.0,Casey's General Stores,1-905-932-1785,0.0,VT,7.0,F,Mangum,Man87,Adrianna,18002 cantrell upper,Canada,M,427598.0,90122
587.0,,O,69.0,4.0,,Abilene,3865937.0,Jack in the Box,1-031-004-7697,0.0,Manitoba,9.0,,PIERCY,PIE88,Cortney,23341 brookside upper,United States of America,S,368207.0,43614
304.0,,O,91.0,1.0,,Saskatoon,2804700.0,Assurant,1-994-812-4796,3.0,NJ,6.0,M,Buscaglia,Bus89,Duane,20494 ROSS WEST,United States of America,S,449944.0,61110
795.0,,U,75.0,5.0,,Irvine,3283558.0,Psychiatric Solutions,1-176-513-4041,5.0,KY,4.0,,BABIONE,BAB90,Tele,17552 SAVANNAH NORTH,United States of America,,166247.0,70174
830.0,,O,85.0,3.0,APT. 373,Reno,450524.0,Danaher,1-072-244-6337,1.0,GA,2.0,M,Burkard,Bur91,Ophelia,4462 pace crescent,United States of America,S,391165.0,90324
709.0,,R,76.0,3.0,,Sacramento,,Clorox,1-924-669-9328,5.0,NJ,3.0,,Kinsella,Kin92,lorine,7161 tallowood upper,United States of America,M,165854.0,s7d 1n1
493.0,,O,68.0,1.0,,Topeka,,Boyd Gaming,1-598-488-3541,2.0,SC,8.0,,POMMAINVILLE,POM93,Viole,3489 silver sage west,United States of America,S,326181.0,93829
680.0,,O,95.0,,,Rancho Cucamonga,633760.0,Eaton,1-295-539-3868,3.0,TN,,M,BOATWRIGHT,BOA94,Nani,12481 hayden lower,United States of America,M,173387.0,89116
800.0,R,R,15.0,5.0,,Hilo,3634954.0,Dynegy,1-554-020-0267,1.0,WY,,,Ronald,Ron95,cherey,13210 3RD DRIVE,United States of America,M,301127.0,94315
614.0,A,R,17.0,5.0,,Saint John,799268.0,AmeriCredit,1-793-621-4566,1.0,Ontario,4.0,,weihs,wei96,Redgie,8899 starling lane,United States of America,M,487230.0,T5b 1u9
763.0,P,R,94.0,0.0,,Torrance,39093.0,SLM,1-787-267-4261,4.0,DC,6.0,M,Helpb,Hel97,Yousef,11480 fennel south,Canada,,425747.0,T6b 1a5
561.0,,O,70.0,4.0,,Santa Clara,2705353.0,NV Energy,1-668-247-1597,4.0,Alberta,3.0,m,moghe,mog98,Damaris,7266 cherry upper,United States of America,S,401946.0,60699
569.0,,O,29.0,2.0,,Torrance,3565153.0,Landstar System,1-901-346-8890,1.0,ME,4.0,,bozicevich,boz99,Ilyssa,10678 ENGLEWOOD WEST,United States of America,S,425422.0,V6p 1s8
634.0,R,O,52.0,1.0,,Stockton,2832204.0,Pacific Life,1-451-273-3803,4.0,MA,5.0,,Zaharychuk,Zah100,Moselle,21181 2ND RUE,United States of America,M,208890.0,v6i 1p1
488.0,,O,51.0,3.0,,Paterson,2194345.0,Textron,1-129-499-9136,5.0,NV,10.0,F,Andric,And101,Dulsea,22963 hanover road,United States of America,U,67880.0,79423
788.0,L,O,24.0,3.0,,Mesa,3737140.0,Pfizer,1-899-319-0772,2.0,WA,5.0,,Bamfo,Bam102,Lyndsie,8268 cliffbrook boulevard,Canada,W,133412.0,H5j 1o6
333.0,,O,98.0,4.0,,Anchorage,464753.0,Cigna,1-053-396-0441,3.0,WY,8.0,,frondozo,fro103,KESLEY,5118 montview court,United States of America,D,144829.0,93761
601.0,J,U,59.0,1.0,,Miami,596696.0,Ameren,1-239-665-9540,1.0,NJ,,,Caron,Car104,LAUREL,17442 tallowood upper,United States of America,M,,76150
595.0,V,O,49.0,4.0,,Great Falls,1504753.0,Consolidated Edison,1-605-888-3403,3.0,LA,2.0,f,muchow,muc105,Steen,4038 WEDGEWOOD STREET,Canada,U,143682.0,99717
433.0,,O,1.0,1.0,,Erie,3049281.0,Occidental Petroleum,1-630-604-2543,0.0,TX,10.0,,gateau,gat106,noel,20334 anaconda avenue,United States of America,U,350020.0,60608
403.0,M,O,79.0,,,Hollywood,247478.0,Sherwin-Williams,1-851-862-7928,0.0,SC,10.0,F,Schaefer,Sch107,Tracey,5385 young west,United States of America,U,435103.0,v6w 1u4
615.0,,R,6.0,5.0,,Tulsa,2750301.0,Affiliated Computer Services,1-065-415-5724,1.0,TX,3.0,,pomerleau,pom108,Sarajane,2747 SINCLAIR LANE,United States of America,,207768.0,T5b 1t6
735.0,K,O,70.0,4.0,,Tucson,721333.0,Valassis Communications,1-408-512-1007,0.0,MN,1.0,F,cucuzzella,cuc109,Geoffrey,8622 BROWNWAY PARK,United States of America,M,407512.0,23298
668.0,Z,O,23.0,0.0,,Anchorage,669440.0,,1-083-902-4184,3.0,ID,1.0,q,SUGARMAN,SUG110,loralyn,18048 GREEN NORTH,United States of America,S,403366.0,32803
349.0,,O,78.0,5.0,,Sandy,2473979.0,Smithfield Foods,1-568-403-7081,3.0,MI,,,Pepe,Pep111,andrei,18994 country boulevard,Canada,M,384095.0,64122
654.0,,,79.0,,SUITE 7,Boston,3545170.0,,1-824-389-0618,4.0,OK,,f,Chandrashekar,Cha112,javad,16063 ashland road,United States of America,S,288969.0,T6b 1h2
361.0,U,O,72.0,3.0,Apt. 971,Vancouver,1494871.0,TD Ameritrade,1-174-210-2058,2.0,UT,6.0,m,SEIFERS,SEI113,Karna,19309 mcfarlin north,United States of America,U,233665.0,22222
427.0,S,U,31.0,0.0,,Akron,436164.0,Comerica,1-425-503-7952,4.0,PA,1.0,F,GARTLEY,GAR114,Jocelyn,2454 cliffbrook west,Canada,S,147236.0,T6a 1d2
322.0,,O,86.0,3.0,,Lancaster,1069481.0,Steel Dynamics,1-012-389-9089,0.0,New Brunswick,1.0,M,Touchette,Tou115,Elvera,15865 strand west,United States of America,W,452557.0,v5d 1n9
792.0,V,R,,0.0,,Concord,,Coca-Cola Enterprises,1-909-472-6704,2.0,UT,9.0,M,Kurdziel,Kur116,Nessy,13776 east boulevard,United States of America,S,179305.0,23321
478.0,,O,87.0,0.0,,Chesapeake,2957261.0,News Corp.,1-622-167-5411,3.0,VA,2.0,,Herod,Her117,lona,10570 WEIZMANN LOWER,Canada,U,205817.0,90505
477.0,P,O,92.0,5.0,,Flint,228459.0,,1-164-511-9338,,NH,1.0,,MCVICAR,MCV118,RHEA,15278 walnut hill road,United States of America,M,262711.0,19066
449.0,,O,4.0,5.0,,Chattanooga,67267.0,Stater Bros. Holdings,1-804-532-9163,1.0,VT,6.0,F,LABFIVE,LAB119,Josefa,23007 WAKEFOREST WAY,Canada,M,84810.0,v6s 1r3
466.0,,O,8.0,4.0,,Billings,1087978.0,BorgWarner,1-197-370-0297,2.0,FL,2.0,,butta,but120,alikee,9088 rivas way,United States of America,U,96441.0,78769
483.0,,O,97.0,5.0,,Scottsdale,3885967.0,CB Richard Ellis Group,1-337-042-5687,0.0,NC,2.0,m,Projects,Pro121,dolorita,18798 ullrich road,United States of America,M,462762.0,53769
588.0,,O,,4.0,,Oshawa,3271101.0,Zimmer Holdings,1-056-138-5321,5.0,VA,4.0,,Irc,Irc122,Marilyn,18517 HULEN LOWER,United States of America,D,141890.0,H7E 1U6
313.0,G,O,40.0,5.0,,Naperville,,Mohawk Industries,1-776-191-2031,5.0,DC,2.0,,Zivkovic,Ziv123,robertson,11474 dodd lane,Canada,,156610.0,e7o 1k1
647.0,H,R,95.0,4.0,,Tampa,1999133.0,Berkshire Hathaway,1-280-696-2706,1.0,NC,1.0,,simser,sim124,Ilsa,9375 wood south,United States of America,U,164752.0,90374
430.0,I,O,92.0,5.0,,Jackson,1100786.0,Saks,1-857-581-6346,1.0,MS,2.0,,keifer,kei125,Pen,20479 wise avenue,United States of America,S,278949.0,63169
467.0,P,O,67.0,5.0,,Hay River,563992.0,Gardner Denver,,0.0,SC,8.0,f,arvin,arv126,AUBRETTE,19918 ROGERS NORTH,United States of America,W,,16515
399.0,,O,24.0,2.0,,Irvine,962397.0,Hasbro,1-716-343-0884,3.0,KS,7.0,F,Praeuner,Pra127,Cole,9284 coffey lower,United States of America,M,463736.0,85309
654.0,C,O,26.0,3.0,,Idaho Falls,1064169.0,CBS,1-101-776-2496,2.0,VT,5.0,m,lue,lue128,liva,2929 north crescent,United States of America,M,,92158
378.0,,O,62.0,0.0,,Moreno Valley,2100059.0,Synnex,1-769-028-0589,2.0,IL,3.0,f,Przybycien,Prz129,Ayaz,15404 queen street,United States of America,S,86667.0,33152
338.0,J,O,37.0,1.0,,Ontario,99025.0,Belden,1-005-833-8970,5.0,FL,10.0,f,penn,pen130,YETTY,1619 greenspoint road,United States of America,W,193470.0,83729
695.0,S,R,71.0,0.0,,Concord,3865481.0,Broadcom,1-884-215-4243,5.0,MI,10.0,,Guay,Gua131,Mary-michelle,21477 WARREN PARK,United States of America,S,406379.0,B8b 1z6
614.0,,U,29.0,3.0,,Phoenix,804544.0,Reynolds American,,1.0,Newfoundland,7.0,F,brennand,bre132,agretha,6503 ROBBINS STREET,Canada,M,480595.0,53717
307.0,X,O,89.0,5.0,,Coral Springs,3143356.0,Wells Fargo,1-725-177-7815,4.0,ME,7.0,f,Savanh,Sav133,LOTTY,3958 GLEN LOCH BOULEVARD,United States of America,S,181718.0,t5c 1w7
331.0,Z,O,11.0,3.0,,Oxnard,,Retail Ventures,1-277-496-5396,0.0,AL,2.0,,ABBATANTUONO,ABB134,Kassey,13640 ethridge lower,United States of America,M,468310.0,37245
638.0,N,O,20.0,0.0,,Brownsville,2311953.0,AT&T,1-756-463-2201,2.0,IN,2.0,M,OP,OP135,Adria,3981 imperial lower,United States of America,S,354987.0,94401
703.0,,O,75.0,5.0,,Memphis,3120608.0,Wynn Resorts,1-261-338-7463,3.0,NH,3.0,,Mersinger,Mer136,audivox,13210 3rd drive,Canada,W,284539.0,B8a 1y3
302.0,,O,95.0,5.0,,Flint,2058270.0,Eastman Kodak,1-811-086-4675,0.0,DC,7.0,F,rutt,rut137,SUE,9297 THROCKMORTON SOUTH,United States of America,S,213725.0,t6b 1k2
522.0,I,O,0.0,3.0,,Lafayette,1511983.0,Aramark,1-338-771-1185,2.0,DC,,,bemis,bem138,Lorenza,8935 YOUNG UPPER,United States of America,U,74195.0,85306
,,O,73.0,1.0,,Greensboro,439080.0,ENSCO International,1-554-231-5318,5.0,MD,,,Pennington,Pen139,Enzo,3797 RUTGERS PARK,United States of America,M,169295.0,V6R 1R7
833.0,Y,R,39.0,0.0,,Sterling Heights,921255.0,Auto-Owners Insurance,1-733-886-5227,1.0,Prince Edward Island,5.0,M,torok,tor140,claudina,8285 tamarind crescent,United States of America,W,307832.0,68513
