indirizzo,città_id,email,data_creazione,nome,indirizzo2,telefono,cognome,negozio_id,cliente_id,indirizzo_id,codice_postale,attivo,distretto
217 Botshabelo Place,138,SHIRLEY.ALLEN@sakilacustomer.org,2006-02-14 22:04:36,SHIRLEY,,665356572025,ALLEN,2,27,31,49521,1,Southern Mindanao
1425 Shikarpur Manor,346,CYNTHIA.YOUNG@sakilacustomer.org,2006-02-14 22:04:36,CYNTHIA,,678220867005,YOUNG,1,28,32,65599,1,Bihar
786 Aurora Avenue,474,ANGELA.HERNANDEZ@sakilacustomer.org,2006-02-14 22:04:36,ANGELA,,18461860151,HERNANDEZ,2,29,33,65750,1,Yamaguchi
1668 Anápolis Street,316,MELISSA.KING@sakilacustomer.org,2006-02-14 22:04:36,MELISSA,,525255540978,KING,1,30,34,50199,1,Taipei
33 Gorontalo Way,257,BRENDA.WRIGHT@sakilacustomer.org,2006-02-14 22:04:36,BRENDA,,745994947458,WRIGHT,2,31,35,30348,1,West Bengali
176 Mandaluyong Place,239,AMY.LOPEZ@sakilacustomer.org,2006-02-14 22:04:36,AMY,,627705991774,LOPEZ,1,32,36,65213,1,Uttar Pradesh
127 Purnea (Purnia) Manor,17,ANNA.HILL@sakilacustomer.org,2006-02-14 22:04:36,ANNA,,911872220378,HILL,2,33,37,79388,1,Piemonte
61 Tama Street,284,REBECCA.SCOTT@sakilacustomer.org,2006-02-14 22:04:36,REBECCA,,708403338270,SCOTT,2,34,38,94065,1,Okayama
391 Callao Drive,544,VIRGINIA.GREEN@sakilacustomer.org,2006-02-14 22:04:36,VIRGINIA,,440512153169,GREEN,2,35,39,34021,1,Midi-Pyrnes
334 Munger (Monghyr) Lane,31,KATHLEEN.ADAMS@sakilacustomer.org,2006-02-14 22:04:36,KATHLEEN,,481183273622,ADAMS,2,36,40,38145,1,Markazi
1440 Fukuyama Loop,362,PAMELA.BAKER@sakilacustomer.org,2006-02-14 22:04:36,PAMELA,,912257250465,BAKER,1,37,41,47929,1,Henan
269 Cam Ranh Parkway,115,MARTHA.GONZALEZ@sakilacustomer.org,2006-02-14 22:04:36,MARTHA,,489783829737,GONZALEZ,1,38,42,34689,1,Chisinau
306 Antofagasta Place,569,DEBRA.NELSON@sakilacustomer.org,2006-02-14 22:04:36,DEBRA,,378318851631,NELSON,1,39,43,3989,1,Esprito Santo
671 Graz Street,353,AMANDA.CARTER@sakilacustomer.org,2006-02-14 22:04:36,AMANDA,,680768868518,CARTER,2,40,44,94399,1,Oriental
42 Brindisi Place,586,STEPHANIE.MITCHELL@sakilacustomer.org,2006-02-14 22:04:36,STEPHANIE,,42384721397,MITCHELL,1,41,45,16744,1,Yerevan
1632 Bislig Avenue,394,CAROLYN.PEREZ@sakilacustomer.org,2006-02-14 22:04:36,CAROLYN,,471675840679,PEREZ,2,42,46,61117,1,Nonthaburi
1447 Imus Way,167,CHRISTINE.ROBERTS@sakilacustomer.org,2006-02-14 22:04:36,CHRISTINE,,539758313890,ROBERTS,2,43,47,48942,1,Tahiti
1998 Halifax Drive,308,MARIE.TURNER@sakilacustomer.org,2006-02-14 22:04:36,MARIE,,177727722820,TURNER,1,44,48,76022,1,Lipetsk
1718 Valencia Street,27,JANET.PHILLIPS@sakilacustomer.org,2006-02-14 22:04:36,JANET,,675292816413,PHILLIPS,1,45,49,37359,1,Antofagasta
46 Pjatigorsk Lane,343,CATHERINE.CAMPBELL@sakilacustomer.org,2006-02-14 22:04:36,CATHERINE,,262076994845,CAMPBELL,2,46,50,23616,1,Moscow (City)
686 Garland Manor,247,FRANCES.PARKER@sakilacustomer.org,2006-02-14 22:04:36,FRANCES,,69493378813,PARKER,1,47,51,52535,1,Cear
909 Garland Manor,367,ANN.EVANS@sakilacustomer.org,2006-02-14 22:04:36,ANN,,705800322606,EVANS,1,48,52,69367,1,Tatarstan
725 Isesaki Place,237,JOYCE.EDWARDS@sakilacustomer.org,2006-02-14 22:04:36,JOYCE,,876295323994,EDWARDS,2,49,53,74428,1,Mekka
115 Hidalgo Parkway,379,DIANE.COLLINS@sakilacustomer.org,2006-02-14 22:04:36,DIANE,,307703950263,COLLINS,1,50,54,80168,1,Khartum
1135 Izumisano Parkway,171,ALICE.STEWART@sakilacustomer.org,2006-02-14 22:04:36,ALICE,,171822533480,STEWART,1,51,55,48150,1,California
939 Probolinggo Loop,1,JULIE.SANCHEZ@sakilacustomer.org,2006-02-14 22:04:36,JULIE,,680428310138,SANCHEZ,1,52,56,4166,1,Galicia
17 Kabul Boulevard,355,HEATHER.MORRIS@sakilacustomer.org,2006-02-14 22:04:36,HEATHER,,697760867968,MORRIS,1,53,57,38594,1,Chiba
1964 Allappuzha (Alleppey) Street,227,TERESA.ROGERS@sakilacustomer.org,2006-02-14 22:04:36,TERESA,,920811325222,ROGERS,1,54,58,48980,1,Yamaguchi
1697 Kowloon and New Kowloon Loop,49,DORIS.REED@sakilacustomer.org,2006-02-14 22:04:36,DORIS,,499352017190,REED,2,55,59,57807,1,Moskova
1668 Saint Louis Place,397,GLORIA.COOK@sakilacustomer.org,2006-02-14 22:04:36,GLORIA,,347487831378,COOK,1,56,60,39072,1,Tahiti
943 Tokat Street,560,EVELYN.MORGAN@sakilacustomer.org,2006-02-14 22:04:36,EVELYN,,889318963672,MORGAN,2,57,61,45428,1,Vaduz
1114 Liepaja Street,282,JEAN.BELL@sakilacustomer.org,2006-02-14 22:04:36,JEAN,,212869228936,BELL,1,58,62,69226,1,Sarawak
1213 Ranchi Parkway,350,CHERYL.MURPHY@sakilacustomer.org,2006-02-14 22:04:36,CHERYL,,800024380485,MURPHY,1,59,63,94352,1,Karnataka
81 Hodeida Way,231,MILDRED.BAILEY@sakilacustomer.org,2006-02-14 22:04:36,MILDRED,,250767749542,BAILEY,1,60,64,55561,1,Rajasthan
915 Ponce Place,56,KATHERINE.RIVERA@sakilacustomer.org,2006-02-14 22:04:36,KATHERINE,,1395251317,RIVERA,2,61,65,83980,1,Basel-Stadt
1717 Guadalajara Lane,441,JOAN.COOPER@sakilacustomer.org,2006-02-14 22:04:36,JOAN,,914090181665,COOPER,1,62,66,85505,1,Missouri
1214 Hanoi Way,306,ASHLEY.RICHARDSON@sakilacustomer.org,2006-02-14 22:04:36,ASHLEY,,491001136577,RICHARDSON,1,63,67,67055,1,Nebraska
1966 Amroha Avenue,139,JUDITH.COX@sakilacustomer.org,2006-02-14 22:04:36,JUDITH,,333489324603,COX,2,64,68,70385,0,Sichuan
698 Otsu Street,105,ROSE.HOWARD@sakilacustomer.org,2006-02-14 22:04:36,ROSE,,409983924481,HOWARD,2,65,69,71110,1,Cayenne
1150 Kimchon Manor,321,JANICE.WARD@sakilacustomer.org,2006-02-14 22:04:36,JANICE,,663449333709,WARD,2,66,70,96109,1,Skne ln
1586 Guarujá Place,579,KELLY.TORRES@sakilacustomer.org,2006-02-14 22:04:36,KELLY,,947233365992,TORRES,1,67,71,5135,1,Hunan
57 Arlington Manor,475,NICOLE.PETERSON@sakilacustomer.org,2006-02-14 22:04:36,NICOLE,,990214419142,PETERSON,1,68,72,48960,1,Madhya Pradesh
1031 Daugavpils Parkway,63,JUDY.GRAY@sakilacustomer.org,2006-02-14 22:04:36,JUDY,,107137400143,GRAY,2,69,73,59025,1,Béchar
1124 Buenaventura Drive,13,CHRISTINA.RAMIREZ@sakilacustomer.org,2006-02-14 22:04:36,CHRISTINA,,407733804223,RAMIREZ,2,70,74,6856,1,Mekka
492 Cam Ranh Street,61,KATHY.JAMES@sakilacustomer.org,2006-02-14 22:04:36,KATHY,,565018274456,JAMES,1,71,75,50805,1,Eastern Visayas
89 Allappuzha (Alleppey) Manor,517,THERESA.WATSON@sakilacustomer.org,2006-02-14 22:04:36,THERESA,,255800440636,WATSON,2,72,76,75444,1,National Capital Reg
1947 Poços de Caldas Boulevard,114,BEVERLY.BROOKS@sakilacustomer.org,2006-02-14 22:04:36,BEVERLY,,427454485876,BROOKS,2,73,77,60951,1,Chiayi
1206 Dos Quebradas Place,431,DENISE.KELLY@sakilacustomer.org,2006-02-14 22:04:36,DENISE,,241832790687,KELLY,1,74,78,20207,1,São Paulo
1551 Rampur Lane,108,TAMMY.SANDERS@sakilacustomer.org,2006-02-14 22:04:36,TAMMY,,251164340471,SANDERS,2,75,79,72394,1,Changhwa
602 Paarl Street,402,IRENE.PRICE@sakilacustomer.org,2006-02-14 22:04:36,IRENE,,896314772871,PRICE,2,76,80,98889,1,Pavlodar
1692 Ede Loop,30,JANE.BENNETT@sakilacustomer.org,2006-02-14 22:04:36,JANE,,918711376618,BENNETT,2,77,81,9223,1,São Paulo
936 Salzburg Lane,425,LORI.WOOD@sakilacustomer.org,2006-02-14 22:04:36,LORI,,875756771675,WOOD,1,78,82,96709,1,Uttar Pradesh
586 Tete Way,256,RACHEL.BARNES@sakilacustomer.org,2006-02-14 22:04:36,RACHEL,,18581624103,BARNES,1,79,83,1079,1,Kanagawa
1888 Kabul Drive,217,MARILYN.ROSS@sakilacustomer.org,2006-02-14 22:04:36,MARILYN,,701457319790,ROSS,1,80,84,20936,1,Oyo & Osun
320 Baiyin Parkway,319,ANDREA.HENDERSON@sakilacustomer.org,2006-02-14 22:04:36,ANDREA,,223664661973,HENDERSON,1,81,85,37307,1,Mahajanga
927 Bahía Blanca Parkway,479,KATHRYN.COLEMAN@sakilacustomer.org,2006-02-14 22:04:36,KATHRYN,,821972242086,COLEMAN,1,82,86,9495,1,Krim
929 Tallahassee Loop,497,LOUISE.JENKINS@sakilacustomer.org,2006-02-14 22:04:36,LOUISE,,800716535041,JENKINS,1,83,87,74671,1,Gauteng
125 Città del Vaticano Boulevard,40,SARA.PERRY@sakilacustomer.org,2006-02-14 22:04:36,SARA,,48417642933,PERRY,2,84,88,67912,1,Puebla
1557 Kütahya Boulevard,88,ANNE.POWELL@sakilacustomer.org,2006-02-14 22:04:36,ANNE,,720998247660,POWELL,2,85,89,88002,1,England
870 Ashqelon Loop,489,JACQUELINE.LONG@sakilacustomer.org,2006-02-14 22:04:36,JACQUELINE,,135117278909,LONG,2,86,90,84931,1,Songkhla
1740 Portoviejo Avenue,480,WANDA.PATTERSON@sakilacustomer.org,2006-02-14 22:04:36,WANDA,,198123170793,PATTERSON,1,87,91,29932,1,Sucre
1942 Ciparay Parkway,113,BONNIE.HUGHES@sakilacustomer.org,2006-02-14 22:04:36,BONNIE,,978987363654,HUGHES,2,88,92,82624,1,Cheju
1926 El Alto Avenue,289,JULIA.FLORES@sakilacustomer.org,2006-02-14 22:04:36,JULIA,,846225459260,FLORES,1,89,93,75543,1,Buenos Aires
1952 Chatsworth Drive,332,RUBY.WASHINGTON@sakilacustomer.org,2006-02-14 22:04:36,RUBY,,991562402283,WASHINGTON,2,90,94,25958,1,Guangdong
1370 Le Mans Avenue,53,LOIS.BUTLER@sakilacustomer.org,2006-02-14 22:04:36,LOIS,,345679835036,BUTLER,2,91,95,52163,1,Brunei and Muara
984 Effon-Alaiye Avenue,183,TINA.SIMMONS@sakilacustomer.org,2006-02-14 22:04:36,TINA,,132986892228,SIMMONS,2,92,96,17119,1,Gois
832 Nakhon Sawan Manor,592,PHYLLIS.FOSTER@sakilacustomer.org,2006-02-14 22:04:36,PHYLLIS,,275595571388,FOSTER,1,93,97,49021,1,Inner Mongolia
152 Kitwe Parkway,82,NORMA.GONZALES@sakilacustomer.org,2006-02-14 22:04:36,NORMA,,835433605312,GONZALES,1,94,98,53182,1,Caraga
1697 Tanauan Lane,399,PAULA.BRYANT@sakilacustomer.org,2006-02-14 22:04:36,PAULA,,4764773857,BRYANT,2,95,99,22870,1,Punjab
1308 Arecibo Way,41,DIANA.ALEXANDER@sakilacustomer.org,2006-02-14 22:04:36,DIANA,,6171054059,ALEXANDER,1,96,100,30695,1,Georgia
1599 Plock Drive,534,ANNIE.RUSSELL@sakilacustomer.org,2006-02-14 22:04:36,ANNIE,,817248913162,RUSSELL,2,97,101,71986,1,Tete
669 Firozabad Loop,12,LILLIAN.GRIFFIN@sakilacustomer.org,2006-02-14 22:04:36,LILLIAN,,412903167998,GRIFFIN,1,98,102,92265,1,Abu Dhabi
588 Vila Velha Manor,268,EMILY.DIAZ@sakilacustomer.org,2006-02-14 22:04:36,EMILY,,333339908719,DIAZ,2,99,103,51540,1,Kyongsangbuk
1913 Kamakura Place,238,ROBIN.HAYES@sakilacustomer.org,2006-02-14 22:04:36,ROBIN,,942570536750,HAYES,1,100,104,97287,1,Lipetsk
733 Mandaluyong Place,2,PEGGY.MYERS@sakilacustomer.org,2006-02-14 22:04:36,PEGGY,,196568435814,MYERS,1,101,105,77459,1,Asir
659 Vaduz Drive,34,CRYSTAL.FORD@sakilacustomer.org,2006-02-14 22:04:36,CRYSTAL,,709935135487,FORD,1,102,106,49708,1,Ha Darom
1177 Jelets Way,220,GLADYS.HAMILTON@sakilacustomer.org,2006-02-14 22:04:36,GLADYS,,484292626944,HAMILTON,1,103,107,3305,1,Kwara & Kogi
1386 Yangor Avenue,543,RITA.GRAHAM@sakilacustomer.org,2006-02-14 22:04:36,RITA,,449216226468,GRAHAM,1,104,108,80720,1,Provence-Alpes-Cte
454 Nakhon Sawan Boulevard,173,DAWN.SULLIVAN@sakilacustomer.org,2006-02-14 22:04:36,DAWN,,963887147572,SULLIVAN,1,105,109,76383,1,Funafuti
1867 San Juan Bautista Tuxtepec Avenue,225,CONNIE.WALLACE@sakilacustomer.org,2006-02-14 22:04:36,CONNIE,,547003310357,WALLACE,1,106,110,78311,1,Ivanovo
1532 Dzerzinsk Way,334,FLORENCE.WOODS@sakilacustomer.org,2006-02-14 22:04:36,FLORENCE,,330838016880,WOODS,1,107,111,9599,1,Buenos Aires
1002 Ahmadnagar Manor,213,TRACY.COLE@sakilacustomer.org,2006-02-14 22:04:36,TRACY,,371490777743,COLE,1,108,112,93026,1,Mxico
682 Junan Way,273,EDNA.WEST@sakilacustomer.org,2006-02-14 22:04:36,EDNA,,622255216127,WEST,2,109,113,30418,1,North West
804 Elista Drive,159,TIFFANY.JORDAN@sakilacustomer.org,2006-02-14 22:04:36,TIFFANY,,379804592943,JORDAN,2,110,114,61069,1,Hubei
1378 Alvorada Avenue,102,CARMEN.OWENS@sakilacustomer.org,2006-02-14 22:04:36,CARMEN,,272234298332,OWENS,1,111,115,75834,1,Distrito Federal
793 Cam Ranh Avenue,292,ROSA.REYNOLDS@sakilacustomer.org,2006-02-14 22:04:36,ROSA,,824370924746,REYNOLDS,2,112,116,87057,1,California
1079 Tel Aviv-Jaffa Boulevard,132,CINDY.FISHER@sakilacustomer.org,2006-02-14 22:04:36,CINDY,,358178933857,FISHER,2,113,117,10885,1,Sucre
442 Rae Bareli Place,148,GRACE.ELLIS@sakilacustomer.org,2006-02-14 22:04:36,GRACE,,886636413768,ELLIS,2,114,118,24321,1,Nordrhein-Westfalen
1107 Nakhon Sawan Avenue,365,WENDY.HARRISON@sakilacustomer.org,2006-02-14 22:04:36,WENDY,,867546627903,HARRISON,1,115,119,75149,1,Mxico
544 Malmö Parkway,403,VICTORIA.GIBSON@sakilacustomer.org,2006-02-14 22:04:36,VICTORIA,,386759646229,GIBSON,1,116,120,63502,1,Central Java
1967 Sincelejo Place,176,EDITH.MCDONALD@sakilacustomer.org,2006-02-14 22:04:36,EDITH,,577812616052,MCDONALD,1,117,121,73644,1,Gujarat
333 Goiânia Way,185,KIM.CRUZ@sakilacustomer.org,2006-02-14 22:04:36,KIM,,909029256431,CRUZ,1,118,122,78625,1,Texas
1987 Coacalco de Berriozábal Loop,476,SHERRY.MARSHALL@sakilacustomer.org,2006-02-14 22:04:36,SHERRY,,787654415858,MARSHALL,1,119,123,96065,1,al-Qalyubiya
241 Mosul Lane,147,SYLVIA.ORTIZ@sakilacustomer.org,2006-02-14 22:04:36,SYLVIA,,765345144779,ORTIZ,2,120,124,76157,1,Risaralda
211 Chiayi Drive,164,JOSEPHINE.GOMEZ@sakilacustomer.org,2006-02-14 22:04:36,JOSEPHINE,,665993880048,GOMEZ,1,121,125,58186,1,Uttar Pradesh
1175 Tanauan Way,305,THELMA.MURRAY@sakilacustomer.org,2006-02-14 22:04:36,THELMA,,937222955822,MURRAY,1,122,126,64615,1,Lima
117 Boa Vista Way,566,SHANNON.FREEMAN@sakilacustomer.org,2006-02-14 22:04:36,SHANNON,,677976133614,FREEMAN,2,123,127,6804,1,Uttar Pradesh
848 Tafuna Manor,281,SHEILA.WELLS@sakilacustomer.org,2006-02-14 22:04:36,SHEILA,,614935229095,WELLS,1,124,128,45142,0,Kütahya
569 Baicheng Lane,85,ETHEL.WEBB@sakilacustomer.org,2006-02-14 22:04:36,ETHEL,,490211944645,WEBB,1,125,129,60304,1,Gauteng
1666 Qomsheh Drive,410,ELLEN.SIMPSON@sakilacustomer.org,2006-02-14 22:04:36,ELLEN,,582835362905,SIMPSON,1,126,130,66255,1,São Paulo
801 Hagonoy Drive,484,ELAINE.STEVENS@sakilacustomer.org,2006-02-14 22:04:36,ELAINE,,237426099212,STEVENS,2,127,131,8439,1,Smolensk
1050 Garden Grove Avenue,236,MARJORIE.TUCKER@sakilacustomer.org,2006-02-14 22:04:36,MARJORIE,,973047364353,TUCKER,1,128,132,4999,1,Slaskie
1854 Tieli Street,302,CARRIE.PORTER@sakilacustomer.org,2006-02-14 22:04:36,CARRIE,,509492324775,PORTER,1,129,133,15819,1,Shandong
758 Junan Lane,190,CHARLOTTE.HUNTER@sakilacustomer.org,2006-02-14 22:04:36,CHARLOTTE,,935448624185,HUNTER,1,130,134,82639,1,Gois
1752 São Leopoldo Parkway,345,MONICA.HICKS@sakilacustomer.org,2006-02-14 22:04:36,MONICA,,252265130067,HICKS,2,131,135,14014,1,Taka-Karpatia
898 Belém Manor,87,ESTHER.CRAWFORD@sakilacustomer.org,2006-02-14 22:04:36,ESTHER,,707169393853,CRAWFORD,2,132,136,49757,1,Free State
261 Saint Louis Way,541,PAULINE.HENRY@sakilacustomer.org,2006-02-14 22:04:36,PAULINE,,321944036800,HENRY,1,133,137,83401,1,Coahuila de Zaragoza
765 Southampton Drive,421,EMMA.BOYD@sakilacustomer.org,2006-02-14 22:04:36,EMMA,,23712411567,BOYD,1,134,138,4285,1,al-Qalyubiya
943 Johannesburg Avenue,417,JUANITA.MASON@sakilacustomer.org,2006-02-14 22:04:36,JUANITA,,90921003005,MASON,2,135,139,5892,1,Maharashtra
788 Atšinsk Street,211,ANITA.MORALES@sakilacustomer.org,2006-02-14 22:04:36,ANITA,,146497509724,MORALES,2,136,140,81691,1,Karnataka
1749 Daxian Place,29,RHONDA.KENNEDY@sakilacustomer.org,2006-02-14 22:04:36,RHONDA,,963369996279,KENNEDY,2,137,141,11044,1,Gelderland
1587 Sullana Lane,207,HAZEL.WARREN@sakilacustomer.org,2006-02-14 22:04:36,HAZEL,,468060467018,WARREN,1,138,142,85769,1,Inner Mongolia
1029 Dzerzinsk Manor,542,AMBER.DIXON@sakilacustomer.org,2006-02-14 22:04:36,AMBER,,33173584456,DIXON,1,139,143,57519,1,Ynlin
1666 Beni-Mellal Place,123,EVA.RAMOS@sakilacustomer.org,2006-02-14 22:04:36,EVA,,9099941466,RAMOS,1,140,144,13377,1,Tennessee
928 Jaffna Loop,172,DEBBIE.REYES@sakilacustomer.org,2006-02-14 22:04:36,DEBBIE,,581852137991,REYES,1,141,145,93762,1,Hiroshima
483 Ljubertsy Parkway,149,APRIL.BURNS@sakilacustomer.org,2006-02-14 22:04:36,APRIL,,581174211853,BURNS,1,142,146,60562,1,Scotland
374 Bat Yam Boulevard,266,LESLIE.GORDON@sakilacustomer.org,2006-02-14 22:04:36,LESLIE,,923261616249,GORDON,1,143,147,97700,1,Kilis
1027 Songkhla Manor,340,CLARA.SHAW@sakilacustomer.org,2006-02-14 22:04:36,CLARA,,563660187896,SHAW,1,144,148,30861,1,Minsk
999 Sanaa Loop,491,LUCILLE.HOLMES@sakilacustomer.org,2006-02-14 22:04:36,LUCILLE,,918032330119,HOLMES,1,145,149,3439,1,Gauteng
879 Newcastle Way,499,JAMIE.RICE@sakilacustomer.org,2006-02-14 22:04:36,JAMIE,,206841104594,RICE,1,146,150,90732,1,Michigan
1337 Lincoln Parkway,555,JOANNE.ROBERTSON@sakilacustomer.org,2006-02-14 22:04:36,JOANNE,,597815221267,ROBERTSON,2,147,151,99457,1,Saitama
1952 Pune Lane,442,ELEANOR.HUNT@sakilacustomer.org,2006-02-14 22:04:36,ELEANOR,,354615066969,HUNT,1,148,152,92150,1,Saint-Denis
782 Mosul Street,94,VALERIE.BLACK@sakilacustomer.org,2006-02-14 22:04:36,VALERIE,,885899703621,BLACK,1,149,153,25545,1,Massachusetts
781 Shimonoseki Drive,202,DANIELLE.DANIELS@sakilacustomer.org,2006-02-14 22:04:36,DANIELLE,,632316273199,DANIELS,2,150,154,95444,1,Michoacn de Ocampo
1560 Jelets Boulevard,291,MEGAN.PALMER@sakilacustomer.org,2006-02-14 22:04:36,MEGAN,,189446090264,PALMER,2,151,155,77777,1,Shandong
1963 Moscow Place,354,ALICIA.MILLS@sakilacustomer.org,2006-02-14 22:04:36,ALICIA,,761379480249,MILLS,1,152,156,64863,1,Assam
456 Escobar Way,232,SUZANNE.NICHOLS@sakilacustomer.org,2006-02-14 22:04:36,SUZANNE,,719202533520,NICHOLS,2,153,157,36061,1,Jakarta Raya
798 Cianjur Avenue,590,MICHELE.GRANT@sakilacustomer.org,2006-02-14 22:04:36,MICHELE,,499408708580,GRANT,2,154,158,76990,1,Shanxi
185 Novi Sad Place,72,GAIL.KNIGHT@sakilacustomer.org,2006-02-14 22:04:36,GAIL,,904253967161,KNIGHT,1,155,159,41778,1,Bern
1367 Yantai Manor,381,BERTHA.FERGUSON@sakilacustomer.org,2006-02-14 22:04:36,BERTHA,,889538496300,FERGUSON,1,156,160,21294,1,Ondo & Ekiti
1386 Nakhon Sawan Boulevard,420,DARLENE.ROSE@sakilacustomer.org,2006-02-14 22:04:36,DARLENE,,368899174225,ROSE,2,157,161,53502,1,Pyongyang-si
369 Papeete Way,187,VERONICA.STONE@sakilacustomer.org,2006-02-14 22:04:36,VERONICA,,170117068815,STONE,1,158,162,66639,1,North Carolina
1440 Compton Place,307,JILL.HAWKINS@sakilacustomer.org,2006-02-14 22:04:36,JILL,,931059836497,HAWKINS,1,159,163,81037,1,North Austria
1623 Bahía Blanca Manor,310,ERIN.DUNN@sakilacustomer.org,2006-02-14 22:04:36,ERIN,,149981248346,DUNN,2,160,164,81511,1,Moskova
97 Shimoga Avenue,533,GERALDINE.PERKINS@sakilacustomer.org,2006-02-14 22:04:36,GERALDINE,,177167004331,PERKINS,1,161,165,44660,1,Tel Aviv
1740 Le Mans Loop,297,LAUREN.HUDSON@sakilacustomer.org,2006-02-14 22:04:36,LAUREN,,168476538960,HUDSON,2,162,166,22853,1,Pays de la Loire
1287 Xi´angfan Boulevard,253,CATHY.SPENCER@sakilacustomer.org,2006-02-14 22:04:36,CATHY,,819416131190,SPENCER,1,163,167,57844,1,Gifu
842 Salzburg Lane,529,JOANN.GARDNER@sakilacustomer.org,2006-02-14 22:04:36,JOANN,,697151428760,GARDNER,2,164,168,3313,1,Adana
154 Tallahassee Loop,199,LORRAINE.STEPHENS@sakilacustomer.org,2006-02-14 22:04:36,LORRAINE,,935508855935,STEPHENS,2,165,169,62250,1,Xinxiang
