prospect_AgeID,prospect_AddrLi2,prospect_NumCreCar,prospect_LaNa,prospect_MaSta,prospect_AddrL1,prospect_Ag,prospect_NuCa,prospect_C,prospect_PoCo,prospect_Co,prospect_In,prospect_NuCh,prospect_CreRat,prospect_OwORF,prospect_Em,prospect_NeWor
Cgt7525,Rpzwirgfyiw,7.0,Cgtcmbl,W,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,99.0,4.0,El Monte,jsxcpvao,United States of America,238434.0,2.0,734.0,O,Country Financial Services,2388613.0
Lwx7526,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,4.0,Lwxudfgcqawccntqaucdaeym,M,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,49.0,0.0,Sterling Heights,Ykerbceq,United States of America,,2.0,469.0,U,Procter & Gamble,3116283.0
epy7527,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,2.0,epyxtfsrijhddstgaxkbgmlayjtk,S,vnyndcximwxhecv,72.0,3.0,Pembroke Pines,VVMSNWEBT,United States of America,391354.0,0.0,595.0,O,Ingles Markets,2671950.0
Aff7528,Acdrcqabtcdgmgl,1.0,Affcha,U,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,41.0,3.0,Philadelphia,bibueqwbejem,United States of America,419165.0,0.0,410.0,O,Forest Laboratories,3899593.0
mfc7529,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,10.0,mfcestd,W,,54.0,3.0,Glendale,gehpynlk,Canada,396509.0,2.0,475.0,O,Dentsply International,2537332.0
Slf7530,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,2.0,Slfbmvc,,GVSBHGBDDVJFNNOZNNPJWCOI,11.0,0.0,El Monte,Piwlxtg,United States of America,145161.0,2.0,,R,RadioShack,733236.0
Cxu7531,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,3.0,Cxuousxqyrfgjvpvuopyfguqva,W,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,0.0,2.0,Warwick,Ujlshmosjkid,United States of America,263206.0,5.0,519.0,O,Century Aluminum,
GZO7532,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,5.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,D,BIQIOQOHLQSTBRUFOI,27.0,3.0,Milwaukee,cwburwnupuj,United States of America,190371.0,3.0,841.0,U,,3397276.0
DRW7533,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,6.0,DRWTVTDSG,U,Llfaqkbemnoy,95.0,3.0,Phoenix,CNEZMHTKIAEV,United States of America,203968.0,1.0,540.0,O,FPL Group,2444257.0
set7534,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,10.0,setksinlvlrjwnfu,U,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,35.0,1.0,Anchorage,kixvppuqtd,United States of America,428323.0,3.0,540.0,R,Lockheed Martin,71520.0
Pyo7535,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,6.0,Pyoixliri,M,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,96.0,4.0,Madison,jrhynxfi,United States of America,159980.0,1.0,,O,Sanmina-SCI,1911091.0
FSH7536,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,6.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,W,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,96.0,0.0,Fontana,dnhtjyu,Canada,266852.0,0.0,424.0,O,Iron Mountain,988775.0
Tdx7537,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,2.0,Tdxyljuxporjhdumcvfmv,M,,49.0,5.0,Charlotte,YKOVOTYB,United States of America,206973.0,5.0,623.0,R,OfficeMax,3919363.0
Sbn7538,XHQNMCEJKXOQYVSZVESLKC,4.0,Sbnxcsrozzcufdoyvckpplofysx,S,atydogjpqphuwhegtbukkqiaeakrtrn,,5.0,Richmond,WNNMWJ,Canada,258221.0,1.0,792.0,O,AMR,428918.0
Piq7539,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,6.0,Piqizouhxiw,S,Hlotorcbtobuceb,27.0,4.0,Santa Clarita,Oktkljv,United States of America,428508.0,4.0,718.0,O,Kohl's,58134.0
IXD7540,Toumjfbsumpgfuskpydjeibaxi,6.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,M,gsrdigbqfwrahybxrtm,98.0,4.0,Yellow Knife,,,,0.0,401.0,O,Cigna,3703767.0
wsn7541,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,2.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,M,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,,4.0,Oxnard,GXFLSISZUY,United States of America,58953.0,5.0,557.0,R,West,433859.0
Jkp7542,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,7.0,Jkpmtcj,W,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,56.0,5.0,Huntington Beach,gzexcrngivl,United States of America,409682.0,5.0,393.0,O,Monsanto,3002044.0
CCF7543,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,10.0,CCFFVCOHCLUUXZIQTCFCUHEYN,M,,94.0,2.0,Durham,yzoikhwrd,United States of America,340191.0,4.0,557.0,,Reliant Energy,1124168.0
ylj7544,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,5.0,yljvuglvt,U,RELJYREDKQEKGOORBLRKOUIC,98.0,4.0,Naperville,Gdbktega,United States of America,238216.0,5.0,465.0,O,Idearc,2081541.0
ZBB7545,hkyochorqgtokxgozmoncalaaiw,6.0,ZBBXAWVJAAL,M,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,8.0,0.0,Albuquerque,Kdcqzpvf,Canada,113171.0,1.0,,O,Neiman Marcus,1897076.0
fqe7546,Datdnghoiymltcayulgkgxywi,10.0,fqekemquvstw,W,Yewxbqpnfgh,90.0,5.0,Newark,Tbwgwtmgcu,United States of America,234797.0,,485.0,,O'Reilly Automotive,235172.0
Wpw7547,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,2.0,Wpwhilrlzng,M,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,34.0,4.0,Miami,Mwmfs,United States of America,225322.0,2.0,303.0,,Cliffs Natural Resources,639573.0
vpz7548,,4.0,vpzxgcwljllsq,W,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,25.0,1.0,London,goelqgcts,Canada,192689.0,2.0,846.0,O,Health Management Associates,2667082.0
Yfz7549,,1.0,Yfzmtcvxc,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,50.0,5.0,Worcester,ucwygjzs,Canada,348685.0,4.0,621.0,O,Chevron,2598634.0
dou7550,,,douvwdwiwrxoivzaojazinrhswjv,D,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,85.0,3.0,Jacksonville,fjlfqftwg,United States of America,401229.0,4.0,331.0,O,Exide Technologies,1074671.0
FDJ7551,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,9.0,FDJOVRSOCWEIKZ,M,hfuyqlsmbesrylepu,60.0,5.0,Nashua,Tocujgaiaq,United States of America,38597.0,4.0,401.0,R,Convergys,2272997.0
ufu7552,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,0.0,ufutrfkevxnbupjcetrpltw,S,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,95.0,2.0,Newport News,kurjmmgixxfd,United States of America,,2.0,644.0,R,Dominion Resources,702000.0
bbg7553,NBSHKLXYVUUWXEQSGXR,5.0,bbgzmquoeecumw,M,qgjnvpwvmgsqzcanzncon,8.0,4.0,Corona,cnsavindoi,United States of America,161204.0,1.0,769.0,R,Sentry Insurance Group,1289800.0
Znk7554,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,2.0,Znkkdbkvxcxeuackyodqlkpl,M,HNBGLUDIOAJRCCIXGDUQOO,31.0,3.0,Lincoln,MQBSAUVQRPYE,,202650.0,4.0,481.0,O,Cintas,1007390.0
CGQ7555,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,7.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,U,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,51.0,1.0,Toronto,vadbnvz,Canada,,2.0,732.0,O,Medtronic,124290.0
add7556,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,2.0,addxtssyhezwro,M,dnlleihfh,24.0,4.0,Fayetteville,Ljurvnigr,United States of America,492433.0,4.0,802.0,O,Pride International,1820002.0
Anw7557,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,5.0,Anwyusqezrjppzkaevffwljm,M,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,78.0,2.0,Charlotte,BQDMQVFTNBRJ,Canada,344858.0,4.0,329.0,O,A. Schulman,2200347.0
Hvt7558,nqcozjievwzk,0.0,Hvtanebvipbdd,W,Wsjaujjdexc,56.0,5.0,Tulsa,jkcul,United States of America,197290.0,0.0,839.0,R,Oneok,3669569.0
Yqj7559,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,,Yqjaammjlhgpw,U,Ojberg,50.0,2.0,Winston-Salem,Nelny,United States of America,283654.0,,539.0,,Danaher,2140537.0
Ztn7560,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,4.0,Ztnstwpjxatqveppicohpzilnn,M,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,52.0,4.0,Thousand Oaks,Qsggz,United States of America,317423.0,5.0,561.0,R,Del Monte Foods,3258909.0
bni7561,Lfrjkyblujmbxigmylpsxieswspmei,2.0,bnizllrrofn,W,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,14.0,4.0,Lubbock,Drofa,United States of America,399126.0,5.0,814.0,O,American Electric Power,1825422.0
swx7562,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,7.0,swxorhmdydwbrtdqxroghsddlpbdgi,M,Xwtkpxqgohxwxnv,29.0,5.0,Winnipeg,Ssovhtmt,United States of America,398180.0,0.0,305.0,R,TJX,1845263.0
DSA7563,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,4.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,S,Qpvmtkxxfef,50.0,2.0,Laredo,Tnprhljfrlj,United States of America,,4.0,457.0,O,Philip Morris International,1463114.0
BXZ7564,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,8.0,BXZUTWBUFSGPPXKR,U,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,67.0,4.0,Overland Park,Bkxujhonjgjk,United States of America,485429.0,1.0,349.0,O,Cincinnati Financial,2354683.0
pcz7565,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,0.0,pczqycbwefse,M,KRYAIAJGKHBKXBLC,22.0,2.0,Calgary,mrjrjhgnwcdu,United States of America,118018.0,0.0,590.0,O,Stryker,436677.0
Zqa7566,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,0.0,Zqaknviqngvemehvpzrcgkcvre,U,,20.0,5.0,Peoria,Yusezkfgs,United States of America,309693.0,4.0,533.0,O,Kansas City Southern,2383335.0
Htl7567,IBQIDE,9.0,Htltlfnvjctvvdvulpkhcbyfi,W,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,75.0,4.0,Durham,RKXTQAO,Canada,90718.0,0.0,686.0,O,IDT,2574739.0
afw7568,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,10.0,afwafvxxdr,U,VBDCWYVK,60.0,2.0,Pueblo,UBQSATXZO,United States of America,280645.0,0.0,582.0,O,Vornado Realty Trust,1596838.0
Wna7569,Lrebujnrg,0.0,Wnakgzhqfhtavtvegjtdmdosnjr,S,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,,Las Cruces,BHRNWQLFVFA,United States of America,231559.0,4.0,807.0,O,Dollar General,591965.0
Mlh7570,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,3.0,Mlheqxaigtvjaynkffyqkpu,S,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,48.0,3.0,Chula Vista,Ktmzav,United States of America,36898.0,5.0,819.0,O,Safeway,3071440.0
Gor7571,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,5.0,Gorjnqxjtefmomsbmtnogaerx,M,Gwxymofcy,91.0,2.0,San Diego,Nfpchgfj,United States of America,396786.0,0.0,311.0,R,Apache,2683081.0
ENX7572,Hxutrprq,3.0,ENXOMNHFVPYQSABETPUEKRKCL,U,Qynjnmfgwxpmrw,98.0,2.0,Chicago,Wuywecohosfi,United States of America,344365.0,5.0,734.0,O,Lowe's,3850483.0
fgr7573,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,1.0,fgrdzzudzmwlluff,W,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,51.0,4.0,Worcester,tibxlojrqiha,United States of America,1205.0,1.0,432.0,O,Lithia Motors,1870617.0
Ysh7574,JRHXPUUHAFHDPF,3.0,Yshzkx,S,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,22.0,5.0,Honolulu,ogmes,United States of America,276666.0,0.0,394.0,O,CH2M Hill,1249534.0
Mos7575,yvntcqjqqmbftwetvbqgclcdbxspvk,1.0,Mosqjrkdycyygfsljqadgfqoldb,U,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,57.0,0.0,Albuquerque,JUBKXDKP,United States of America,497953.0,0.0,658.0,O,Tellabs,3789880.0
czu7576,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,3.0,czuvw,M,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,38.0,1.0,Oakland,Xbgykqm,Canada,156048.0,2.0,348.0,O,Phillips-Van Heusen,3874445.0
Ghr7577,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,8.0,Ghrlcuscpesuzsdwqfwwbgh,M,BESJDYZDIOIXKDFEHBQXBPW,68.0,1.0,Billings,NNCXIBTCXZA,United States of America,63617.0,5.0,598.0,O,Wells Fargo,437353.0
Rwk7578,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,9.0,Rwkdeshuwhwvmvmdnckmuvdt,U,Ouopoqztakszwsfkthdbwndfjuqaelyd,93.0,2.0,Pueblo,mfwuio,United States of America,244849.0,2.0,505.0,O,Vornado Realty Trust,2669917.0
Uwi7579,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,7.0,Uwinnbtdd,S,Ivwhotvobwkshcixclfobqoljlaqohw,48.0,4.0,Sherbrooke,Utgwrun,United States of America,123585.0,3.0,839.0,R,New York Times,1466537.0
VXZ7580,CYQWJKJB,2.0,VXZTLDNZPYIFIKTIJRXS,S,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,96.0,1.0,Sacramento,Wgulrhctjlg,United States of America,391134.0,1.0,672.0,U,Adobe Systems,991860.0
Ayk7581,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,3.0,Aykkkc,M,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,58.0,5.0,Charlotte,Srhxvxe,United States of America,426759.0,5.0,696.0,O,Valmont Industries,
lho7582,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,5.0,lhodktal,W,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,63.0,5.0,El Paso,Dadkihaohc,United States of America,451737.0,3.0,448.0,O,UAL,1816368.0
rzi7583,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,9.0,rziprpcfwnirtuvrbfnuepq,S,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,18.0,2.0,Mesa,Fpoleiod,United States of America,180822.0,1.0,549.0,O,AFLAC,565246.0
Wds7584,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,0.0,Wdsuorykxmvfxupyyjl,W,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,40.0,4.0,Simi Valley,Cuaieflmccqp,United States of America,205843.0,2.0,705.0,O,VeraSun Energy,1899339.0
Xsj7585,ccfzcxohrhrcnypedmhjovjyjrxi,6.0,Xsjypvyfoqbiq,M,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,29.0,4.0,St. Catharines,qiraymmapgf,United States of America,470985.0,3.0,387.0,O,Magellan Health Services,3873239.0
Lux7586,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,7.0,Luxkby,U,Nhgrkzjzcrjcerkwrugwul,21.0,2.0,Washington,Tsynomgib,United States of America,318225.0,1.0,359.0,,Emcor Group,767547.0
wxw7587,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,9.0,wxwhwasadsmxchyhlgrvnurte,M,,41.0,2.0,Chula Vista,Amudllk,Canada,326044.0,2.0,494.0,O,Peabody Energy,1027999.0
pfz7588,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,10.0,pfzjoarqopfjtzjalxxxeq,M,uiaoi,56.0,1.0,Montpelier,ELQKT,United States of America,,1.0,345.0,,State Farm Insurance Cos.,3428495.0
hlx7589,REHWDWEP,10.0,hlxshqpvshstjerwclb,M,Wwonzdtvwkn,33.0,2.0,Mesa,Oiwac,United States of America,187282.0,0.0,402.0,O,Humana,1827180.0
nyb7590,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,3.0,nybiaaw,M,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,96.0,2.0,New Haven,Dqgzinvuxxy,United States of America,,0.0,579.0,O,News Corp.,2070007.0
Ltt7591,DIMPFMEBDNHBCT,2.0,Lttvvpjjavydrmbt,,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,35.0,2.0,Indianapolis,Nchaajfkjvx,United States of America,,0.0,569.0,O,Torchmark,
