prospect_gncd,prospect_nmbrchldrn,prospect_nmbrcrs,prospect_ct,prospect_crdtrtng,prospect_ntwrth,prospect_gndr,prospect_wnrrntflg,prospect_nmbrcrdtcrds,prospect_pstlcd,prospect_frstnm,prospect_cntr,prospect_phn,prospect_ncm,prospect_mrtlstts,prospect_g,prospect_mplr
Jkp7542,5.0,5.0,Huntington Beach,393.0,3002044.0,M,O,7.0,gzexcrngivl,Grkknjyfgbhtyrhxzeaoeoyirwfa,United States of America,1-392-335-1020,409682.0,W,56.0,Monsanto
CCF7543,4.0,2.0,Durham,557.0,1124168.0,M,,10.0,yzoikhwrd,Vfrdst,United States of America,1-912-050-7605,340191.0,M,94.0,Reliant Energy
ylj7544,5.0,4.0,Naperville,465.0,2081541.0,,O,5.0,Gdbktega,Hqcswumjvwbemosmy,United States of America,1-075-551-9919,238216.0,U,98.0,Idearc
ZBB7545,1.0,0.0,Albuquerque,,1897076.0,F,O,6.0,Kdcqzpvf,Ectbhkmbvwkwdbn,Canada,1-013-611-2674,113171.0,M,8.0,Neiman Marcus
fqe7546,,5.0,Newark,485.0,235172.0,m,,10.0,Tbwgwtmgcu,Bdbgqpllbnrmiirpct,United States of America,1-656-865-7544,234797.0,W,90.0,O'Reilly Automotive
Wpw7547,2.0,4.0,Miami,303.0,639573.0,,,2.0,Mwmfs,Ftszluaxcsoxdfbmdd,United States of America,1-879-870-7379,225322.0,M,34.0,Cliffs Natural Resources
vpz7548,2.0,1.0,London,846.0,2667082.0,,O,4.0,goelqgcts,Qrdnpjquwnixfocqhsrlkcxmelwijl,Canada,1-366-625-9813,192689.0,W,25.0,Health Management Associates
Yfz7549,4.0,5.0,Worcester,621.0,2598634.0,,O,1.0,ucwygjzs,Kkiolpmrgzmnjanqc,Canada,1-359-462-7089,348685.0,,50.0,Chevron
dou7550,4.0,3.0,Jacksonville,331.0,1074671.0,,O,,fjlfqftwg,unzegilpp,United States of America,,401229.0,D,85.0,Exide Technologies
FDJ7551,4.0,5.0,Nashua,401.0,2272997.0,M,R,9.0,Tocujgaiaq,xetqkitwlh,United States of America,1-153-396-8333,38597.0,M,60.0,Convergys
ufu7552,2.0,2.0,Newport News,644.0,702000.0,,R,0.0,kurjmmgixxfd,TWRRGULRYKYUWZYBQQFMIFFKVK,United States of America,1-144-623-1308,,S,95.0,Dominion Resources
bbg7553,1.0,4.0,Corona,769.0,1289800.0,m,R,5.0,cnsavindoi,Yqfljvgkfucafpjpamdtcppiipc,United States of America,1-269-220-8046,161204.0,M,8.0,Sentry Insurance Group
Znk7554,4.0,3.0,Lincoln,481.0,1007390.0,f,O,2.0,MQBSAUVQRPYE,mjeasoritwctufyojamzbeeoo,,1-052-524-0130,202650.0,M,31.0,Cintas
CGQ7555,2.0,1.0,Toronto,732.0,124290.0,F,O,7.0,vadbnvz,Udxaujgiratgthwkvdibgvwfo,Canada,1-335-871-6660,,U,51.0,Medtronic
add7556,4.0,4.0,Fayetteville,802.0,1820002.0,,O,2.0,Ljurvnigr,GHFUKZPOKMXWZF,United States of America,1-637-394-8083,492433.0,M,24.0,Pride International
Anw7557,4.0,2.0,Charlotte,329.0,2200347.0,,O,5.0,BQDMQVFTNBRJ,ybtkiifyhbgchnuctnhnqspk,Canada,1-706-795-4208,344858.0,M,78.0,A. Schulman
Hvt7558,0.0,5.0,Tulsa,839.0,3669569.0,m,R,0.0,jkcul,Fhkymmgjsbmpduuffgavhfcxm,United States of America,1-622-347-5699,197290.0,W,56.0,Oneok
Yqj7559,,2.0,Winston-Salem,539.0,2140537.0,,,,Nelny,DEZDTMSMWKALBRPALCFIME,United States of America,1-042-017-9368,283654.0,U,50.0,Danaher
Ztn7560,5.0,4.0,Thousand Oaks,561.0,3258909.0,F,R,4.0,Qsggz,phoxfeiqoldgmnojmzunmargkla,United States of America,1-829-935-5979,317423.0,M,52.0,Del Monte Foods
bni7561,5.0,4.0,Lubbock,814.0,1825422.0,F,O,2.0,Drofa,Upuabfflh,United States of America,1-076-726-5283,399126.0,W,14.0,American Electric Power
swx7562,0.0,5.0,Winnipeg,305.0,1845263.0,,R,7.0,Ssovhtmt,owagfolbfwjzeg,United States of America,,398180.0,M,29.0,TJX
DSA7563,4.0,2.0,Laredo,457.0,1463114.0,f,O,4.0,Tnprhljfrlj,Qdmppehqxloc,United States of America,1-284-129-5920,,S,50.0,Philip Morris International
BXZ7564,1.0,4.0,Overland Park,349.0,2354683.0,,O,8.0,Bkxujhonjgjk,jqbetxkci,United States of America,1-128-308-8886,485429.0,U,67.0,Cincinnati Financial
pcz7565,0.0,2.0,Calgary,590.0,436677.0,,O,0.0,mrjrjhgnwcdu,Wsmywgbvwspgdwhmdxsqjwqb,United States of America,1-145-469-5971,118018.0,M,22.0,Stryker
Zqa7566,4.0,5.0,Peoria,533.0,2383335.0,m,O,0.0,Yusezkfgs,ocgwi,United States of America,1-727-684-7767,309693.0,U,20.0,Kansas City Southern
Htl7567,0.0,4.0,Durham,686.0,2574739.0,,O,9.0,RKXTQAO,Pcotdnngmurhkcd,Canada,1-776-201-2472,90718.0,W,75.0,IDT
afw7568,0.0,2.0,Pueblo,582.0,1596838.0,F,O,10.0,UBQSATXZO,bvcosqzcleknjzvkygbawlc,United States of America,1-767-942-1278,280645.0,U,60.0,Vornado Realty Trust
Wna7569,4.0,,Las Cruces,807.0,591965.0,,O,0.0,BHRNWQLFVFA,ECLENELTSXGTNWOP,United States of America,1-723-062-7266,231559.0,S,,Dollar General
Mlh7570,5.0,3.0,Chula Vista,819.0,3071440.0,,O,3.0,Ktmzav,Xdwexmrjat,United States of America,,36898.0,S,48.0,Safeway
Gor7571,0.0,2.0,San Diego,311.0,2683081.0,,R,5.0,Nfpchgfj,xjwnvwdryqpcehelwzfhkkiuus,United States of America,1-145-314-0862,396786.0,M,91.0,Apache
ENX7572,5.0,2.0,Chicago,734.0,3850483.0,f,O,3.0,Wuywecohosfi,RNBABCYAFMQPBOHXNUXMXNU,United States of America,1-735-104-7772,344365.0,U,98.0,Lowe's
fgr7573,1.0,4.0,Worcester,432.0,1870617.0,,O,1.0,tibxlojrqiha,Eyrtrqkljywvbcice,United States of America,,1205.0,W,51.0,Lithia Motors
Ysh7574,0.0,5.0,Honolulu,394.0,1249534.0,m,O,3.0,ogmes,Opybrukftspofebjmspkjsgtobzsp,United States of America,1-518-116-1411,276666.0,S,22.0,CH2M Hill
Mos7575,0.0,0.0,Albuquerque,658.0,3789880.0,,O,1.0,JUBKXDKP,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,United States of America,1-696-359-4829,497953.0,U,57.0,Tellabs
czu7576,2.0,1.0,Oakland,348.0,3874445.0,,O,3.0,Xbgykqm,kpofwgtomgijnm,Canada,1-352-678-5471,156048.0,M,38.0,Phillips-Van Heusen
Ghr7577,5.0,1.0,Billings,598.0,437353.0,,O,8.0,NNCXIBTCXZA,Biflzgcqpqpbahquomftmjffohpwuy,United States of America,1-906-600-9749,63617.0,M,68.0,Wells Fargo
Rwk7578,2.0,2.0,Pueblo,505.0,2669917.0,,O,9.0,mfwuio,ybdlwlwxispyswbiegrbsqqtywxr,United States of America,1-093-018-2851,244849.0,U,93.0,Vornado Realty Trust
Uwi7579,3.0,4.0,Sherbrooke,839.0,1466537.0,,R,7.0,Utgwrun,Capzcewdt,United States of America,1-302-096-9321,123585.0,S,48.0,New York Times
VXZ7580,1.0,1.0,Sacramento,672.0,991860.0,,U,2.0,Wgulrhctjlg,XKBLVBCCYKMIXABVTOTVPZCJRII,United States of America,1-915-044-3154,391134.0,S,96.0,Adobe Systems
Ayk7581,5.0,5.0,Charlotte,696.0,,f,O,3.0,Srhxvxe,wmknfemsztimaphftadowlmbnp,United States of America,1-040-274-3474,426759.0,M,58.0,Valmont Industries
lho7582,3.0,5.0,El Paso,448.0,1816368.0,M,O,5.0,Dadkihaohc,DHLVITRFJDXLTPAGMPMJ,United States of America,1-678-397-2739,451737.0,W,63.0,UAL
rzi7583,1.0,2.0,Mesa,549.0,565246.0,,O,9.0,Fpoleiod,Jdpqutldftwykfyhukveiaimoyyk,United States of America,1-679-345-9939,180822.0,S,18.0,AFLAC
Wds7584,2.0,4.0,Simi Valley,705.0,1899339.0,,O,0.0,Cuaieflmccqp,Qiwemtdba,United States of America,1-093-616-0613,205843.0,W,40.0,VeraSun Energy
Xsj7585,3.0,4.0,St. Catharines,387.0,3873239.0,M,O,6.0,qiraymmapgf,JQKEDISZ,United States of America,1-546-131-8988,470985.0,M,29.0,Magellan Health Services
Lux7586,1.0,2.0,Washington,359.0,767547.0,,,7.0,Tsynomgib,Gfuwa,United States of America,1-477-186-7432,318225.0,U,21.0,Emcor Group
wxw7587,2.0,2.0,Chula Vista,494.0,1027999.0,f,O,9.0,Amudllk,CTTUYHUUMMDTX,Canada,1-965-848-6954,326044.0,M,41.0,Peabody Energy
pfz7588,1.0,1.0,Montpelier,345.0,3428495.0,m,,10.0,ELQKT,Wvtqm,United States of America,1-622-866-0937,,M,56.0,State Farm Insurance Cos.
hlx7589,0.0,2.0,Mesa,402.0,1827180.0,M,O,10.0,Oiwac,xuwgpsvzcpxtoerndtr,United States of America,1-040-217-2014,187282.0,M,33.0,Humana
nyb7590,0.0,2.0,New Haven,579.0,2070007.0,,O,3.0,Dqgzinvuxxy,Hnnzpokbygacjjgybkskf,United States of America,1-101-684-2373,,M,96.0,News Corp.
Ltt7591,0.0,2.0,Indianapolis,569.0,,,O,2.0,Nchaajfkjvx,qsnivsknktiwjpqwnrlgftnmsrxkjc,United States of America,1-386-426-5849,,,35.0,Torchmark
gsz7592,4.0,0.0,Stockton,745.0,3596263.0,,O,9.0,XEDMBUAMGXKH,pygsfvfpeofkdcugfvxdsqgmcgebfp,United States of America,1-598-816-0126,306946.0,W,40.0,Rock-Tenn
Kwp7593,,0.0,Louisville,320.0,3719999.0,,U,1.0,crxbrlj,Zgxsuo,,1-770-379-7700,99663.0,D,10.0,AGCO
AGM7594,4.0,2.0,Atlanta,591.0,3058439.0,,R,4.0,Eytubbwi,ganifmdaqbltccwbqijtkypcetuq,United States of America,,482013.0,M,59.0,
Ocn7595,0.0,1.0,Milwaukee,,2592932.0,m,U,10.0,Lwftldizl,IYCOMORWDFSEKN,United States of America,1-628-245-6238,180476.0,M,70.0,United Stationers
Cmw7596,5.0,4.0,Fort Smith,417.0,1471273.0,F,,5.0,GSSFZNBZL,vdvdlfz,United States of America,1-813-787-2611,285682.0,M,69.0,McCormick
Dit7597,5.0,0.0,Knoxville,338.0,,,R,8.0,Nrnqtmjz,Sbwymtnwzhffkwjczlsnvrtcv,United States of America,1-362-897-1162,455032.0,M,96.0,National Life Group
Rmm7598,,3.0,Idaho Falls,340.0,2410816.0,,O,9.0,Rzjxvum,qjjwbffbgxilxyarhjwdvo,United States of America,1-952-919-4878,356141.0,S,9.0,Hasbro
ekj7599,3.0,3.0,Jacksonville,738.0,1059543.0,,U,5.0,Accezkuzqrif,JIXUQX,Canada,1-145-214-8009,165667.0,U,39.0,Tupperware Brands
wcq7600,2.0,0.0,Stockton,597.0,379282.0,,O,7.0,LNZZPGOTEG,Eqrxuc,United States of America,1-328-944-9786,459767.0,S,31.0,Covance
Klc7601,2.0,2.0,Thousand Oaks,603.0,3271265.0,f,R,4.0,YINOHET,PDAXUXBMPOVTKJUR,United States of America,1-899-864-9421,106459.0,M,64.0,Interactive Brokers Group
Jrd7602,1.0,,Nashua,662.0,1530364.0,,U,5.0,ddgkyv,Adftxl,,1-877-997-8896,51021.0,D,38.0,SkyWest
GDQ7603,4.0,2.0,Tallahassee,838.0,3731860.0,,R,0.0,Seiksuhglhj,Gaksvvggpbleteofow,United States of America,1-750-900-0823,494931.0,W,47.0,Best Buy
fnm7604,2.0,5.0,Brownsville,791.0,2488858.0,,O,9.0,Ytgghhaxc,Ijstknxzfzsvqmy,United States of America,,429859.0,M,,Sears Holdings
Ymu7605,4.0,1.0,Charlotte,692.0,2301347.0,,O,7.0,Ajlcdadx,jvhwyzbcwdrrqmlbvpjwbohhemm,Canada,1-347-704-7823,,S,76.0,Frontier Oil
Pxj7606,3.0,0.0,Oakland,673.0,1736571.0,,O,8.0,Daivf,nhhjbqktsr,,1-228-976-2888,464086.0,W,60.0,Automatic Data Processing
Rsd7607,,3.0,Fort Wayne,331.0,2399483.0,,O,7.0,xrquzcptycg,Lmhtjwddyqbzlxgv,Canada,,207651.0,U,73.0,
Qqh7608,,4.0,Chula Vista,744.0,2982744.0,,O,2.0,shigmwk,BXFLGQTJSJDQAUCXXJXWHTQU,United States of America,1-760-429-1328,260418.0,U,37.0,Comerica
udq7609,1.0,5.0,Peoria,446.0,1611011.0,,U,6.0,enehob,Tlaihggmhfiuezhjgps,United States of America,1-253-879-8833,,M,50.0,Baldor Electric
Ghl7610,4.0,0.0,Lexington,,2999167.0,,O,0.0,RNLAKRXSPA,DSRXJZKFJTIVXLBAX,Canada,1-401-256-3483,316963.0,M,0.0,Commercial Metals
mtk7611,,5.0,Salem,,,f,O,,Hlezt,Annsrbdzywmpqvigpn,Canada,1-175-910-8245,84046.0,W,,
QIY7612,3.0,0.0,San Jose,723.0,3307491.0,,O,9.0,Iyqmkpcjx,Mrawpcvb,United States of America,1-565-191-3419,368990.0,M,,Molina Healthcare
Ohz7613,0.0,2.0,Kansas City,348.0,2057260.0,,O,2.0,klgnkcaedht,yociu,Canada,1-921-688-5401,124382.0,S,81.0,Plains All American Pipeline
djg7614,0.0,2.0,Windsor,666.0,53179.0,,O,,Jsombikj,DQNVNWPYSMLDGXJVBUHUKDLRSLN,United States of America,1-925-155-0170,9263.0,M,52.0,Agilent Technologies
Iad7615,4.0,2.0,Chicago,,690086.0,,U,3.0,Xtckbvng,wfnjfn,United States of America,1-185-691-2951,334181.0,M,68.0,AutoZone
EMG7616,1.0,0.0,Evansville,844.0,2025465.0,,R,8.0,YPUWSVRD,WWWEN,United States of America,1-067-518-3854,314001.0,M,,
Hjn7617,4.0,1.0,Honolulu,766.0,695307.0,,O,8.0,Ifxvsnt,Krjcfgq,Canada,1-188-554-1671,168309.0,M,36.0,Universal Health Services
CYP7618,4.0,2.0,Cleveland,521.0,3238398.0,M,O,10.0,EAOJPQVWBNZ,Fxmpengjsaf,United States of America,1-168-215-2223,322765.0,M,31.0,Time Warner
KPN7619,5.0,1.0,Livonia,306.0,1213578.0,,O,7.0,fhirgl,Eobtk,United States of America,1-228-022-3056,311253.0,W,55.0,Sealed Air
Vbi7620,5.0,5.0,Little Rock,411.0,103708.0,,R,9.0,Lahfziy,Abahrdfcbtscoblhaovnjkbx,United States of America,1-926-766-1124,140296.0,W,66.0,Sprint Nextel
ehb7621,5.0,1.0,Halifax,,1086081.0,F,O,3.0,tofdjef,bhephgijqbu,United States of America,1-538-797-1948,439984.0,M,22.0,
TMQ7622,0.0,5.0,Peoria,702.0,1349626.0,F,O,8.0,rckzx,KECNVVPGTOXHIGOUAWLHU,United States of America,1-627-234-0841,454011.0,U,51.0,Quiksilver
Lsb7623,5.0,1.0,San Jose,842.0,1083092.0,a,R,1.0,MMLJKBGXD,xppmtvztaifqynlbmofxonnus,United States of America,1-876-492-0782,191541.0,S,26.0,Valspar
Dpz7624,1.0,2.0,Charlotte,528.0,1662799.0,M,R,0.0,banusio,kzntoukktuqqfuyeo,United States of America,1-436-946-7319,,U,100.0,Timken
Zuj7625,3.0,3.0,Hilo,300.0,3548540.0,,R,5.0,Safkd,TDRLAQZARCGRAMDDMCWP,United States of America,1-281-780-2897,,W,13.0,
Jqk7626,1.0,2.0,Yonkers,752.0,881414.0,,O,7.0,DHTLWJDXLRW,shbaeyxyrjfietruntrdeyqkc,United States of America,1-421-286-4139,269215.0,S,11.0,Occidental Petroleum
ijb7627,4.0,0.0,Modesto,303.0,1712200.0,m,O,0.0,RORIUHK,Zururxrihusergiba,Canada,1-908-354-2709,193126.0,M,62.0,
NMO7628,5.0,3.0,Louisville,418.0,847446.0,F,O,10.0,bxgwhohh,QZLCPVRKZMTENMREVZT,United States of America,1-466-560-2530,462618.0,M,13.0,Massey Energy
Tef7629,3.0,3.0,Eugene,667.0,344294.0,f,O,4.0,SRARKMXOD,dvbflygvxrizbclmqwoajkvnzoufc,United States of America,1-578-686-8082,212026.0,W,23.0,Weyerhaeuser
Sdj7630,4.0,1.0,Buffalo,441.0,1534879.0,,U,7.0,hwugfvlttol,mtnubdnrdoivcuqmapqhtvzkixw,United States of America,1-166-077-1436,371024.0,D,51.0,National Fuel Gas
Pbr7631,2.0,3.0,Santa Fe,471.0,3897101.0,m,O,0.0,zgsllav,Nzljqsbgutsixlosfedpmlzl,United States of America,1-535-320-1881,235810.0,U,2.0,Pep Boys
Ice7632,,2.0,Springfield,701.0,3064442.0,m,O,9.0,Mszwfhpj,Ealrdsynhtadihmsl,United States of America,1-633-495-6478,347270.0,W,,Neiman Marcus
ZWG7633,2.0,5.0,Anchorage,323.0,2016524.0,,R,1.0,Yqfxb,xfjdwfentojva,United States of America,1-398-680-0278,399212.0,D,82.0,BlackRock
Evw7634,5.0,4.0,Winnipeg,846.0,37745.0,m,O,10.0,ypmuep,Zvowaelneuhpxzphpvtgvfz,United States of America,1-185-976-7770,439561.0,M,94.0,McGraw-Hill
Lhl7635,4.0,3.0,Waco,850.0,503752.0,m,O,8.0,Xthtecuu,fmdcjzjekrwrirumyvfuqnnkxzr,United States of America,1-490-238-8219,29980.0,M,16.0,Family Dollar Stores
LYB7636,5.0,2.0,Stockton,,2115180.0,,U,,Xjzpdio,Ohetzpmilrphnhnasiisaypdl,United States of America,1-891-741-2112,28693.0,M,43.0,Teleflex
Ijb7637,2.0,1.0,Boston,564.0,839222.0,M,O,3.0,Rgthehdvvlh,VAUWGMVOILXNGKB,Canada,1-849-918-0984,106794.0,M,76.0,
Zhf7638,5.0,3.0,Memphis,558.0,1851334.0,f,O,4.0,ysexit,Tnwgmuvaaqmxskkyqnvrmnmul,United States of America,1-426-168-3142,340598.0,S,0.0,Imation
PYU7639,,1.0,Sydney,417.0,1348251.0,m,O,0.0,Wscgcsbwlzj,mtovrkjvtfkennjujgpegknnck,United States of America,1-757-910-8931,490597.0,U,33.0,PPL
Iku7640,2.0,2.0,Shreveport,487.0,2722392.0,,O,6.0,AUQJTIMK,Lwxdv,Canada,1-468-325-0119,499685.0,U,62.0,Smithfield Foods
HBZ7641,0.0,2.0,Modesto,639.0,1785161.0,m,O,9.0,Weqnwrwrbcgx,Ftvuzjdzocqmcoxvrbqcna,United States of America,1-383-310-7894,62285.0,M,8.0,Macy's
Pco7642,5.0,5.0,Hull,625.0,2823578.0,M,O,3.0,facqrtjqjmd,Hnbgeuii,United States of America,1-353-727-2029,320885.0,U,4.0,Torchmark
Ybv7643,3.0,5.0,Yonkers,,2123972.0,,O,1.0,OCNCREZ,Fykbowmpxpbb,United States of America,1-028-849-5461,184669.0,D,39.0,Herman Miller
Rim7644,0.0,0.0,Atlanta,,112782.0,,R,3.0,JXOGSVJ,Ruagwhiorgizpmbphjerywjrr,United States of America,1-480-785-4021,126989.0,S,90.0,Kindred Healthcare
gnf7645,4.0,1.0,Hayward,460.0,248311.0,,,3.0,Iqtso,teldp,Canada,1-443-132-4138,48144.0,M,7.0,Arch Coal
Wxp7646,4.0,5.0,Savannah,793.0,3719851.0,F,O,8.0,Uxgvbwop,Tmhxnpfgyifx,United States of America,1-143-020-1234,377787.0,,95.0,Whirlpool
Dxh7647,5.0,5.0,Fullerton,821.0,1920385.0,m,O,8.0,Ovsiu,Fpchjcvsrkakkqqsojokdrg,Canada,1-475-304-3486,323782.0,U,59.0,Arrow Electronics
Aqo7648,2.0,3.0,Overland Park,,576903.0,,O,6.0,Frqdqbs,Heiehcgec,United States of America,1-677-882-6792,31880.0,S,13.0,Rock-Tenn
fen7649,3.0,5.0,Alexandria,643.0,1855037.0,,O,8.0,waiitdv,sgapkfrztiyyayezulvi,United States of America,1-151-067-7411,390190.0,D,58.0,R.H. Donnelley
