prospect_gncd,prospect_nmbrcrs,prospect_ddrssln2,prospect_ncm,prospect_g,prospect_ct,prospect_cntr,prospect_nmbrcrdtcrds,prospect_crdtrtng,prospect_ntwrth,prospect_phn,prospect_pstlcd,prospect_stt,prospect_nmbrchldrn,prospect_mrtlstts,prospect_wnrrntflg,prospect_mplr
gro39,3.0,,66486.0,20.0,Frederick,United States of America,2.0,630.0,889494.0,1-914-675-2986,m4l 1n4,WY,0.0,S,O,Fluor
dil40,3.0,Apt. 382,200185.0,55.0,Mesa,United States of America,9.0,671.0,2205682.0,,22335,RI,1.0,M,O,Dollar General
DOL41,0.0,,289215.0,76.0,Lakewood,United States of America,10.0,715.0,1140117.0,1-825-739-0336,V6C 1T4,HI,2.0,U,O,Lear
Pos42,4.0,,322484.0,1.0,Cleveland,United States of America,9.0,707.0,1421319.0,1-956-713-3802,M6t 1h3,VA,1.0,M,O,J.P. Morgan Chase & Co.
Mac43,4.0,,83458.0,3.0,Grand Rapids,United States of America,0.0,329.0,3525204.0,1-814-932-1579,95263,OK,2.0,M,O,Affinia Group Intermediate
che44,0.0,,,100.0,Peoria,United States of America,8.0,601.0,468976.0,1-135-443-7282,v5b 1p5,Prince Edward Island,3.0,D,R,
hol45,5.0,,492407.0,81.0,Inglewood,United States of America,2.0,623.0,1685443.0,1-720-975-0667,32318,SD,1.0,W,O,Goldman Sachs Group
pfi46,4.0,,346630.0,76.0,Akron,United States of America,2.0,376.0,337564.0,1-871-598-3505,93872,OH,4.0,S,O,E*Trade Financial
elk47,1.0,,9572.0,51.0,Charlottetown,Canada,0.0,560.0,84777.0,1-607-222-4809,92824,MA,3.0,W,O,Pfizer
Lab48,1.0,,265369.0,,Bellevue,United States of America,4.0,693.0,3146477.0,1-965-046-0642,e4a 1r2,MD,5.0,,O,Safeway
laf49,1.0,,104172.0,58.0,Dover,United States of America,0.0,346.0,495277.0,1-155-441-3579,H7G 1V4,Saskatchewan,2.0,S,U,Simon Property Group
Nor50,0.0,,65550.0,52.0,Fullerton,United States of America,0.0,342.0,746904.0,,85039,WA,3.0,M,O,Trinity Industries
hag51,2.0,,,91.0,Denver,Canada,8.0,563.0,1219620.0,1-544-132-7237,v6m 1q3,OH,0.0,M,R,Solutia
Bet52,2.0,,,17.0,Dallas,United States of America,4.0,391.0,1718910.0,1-821-089-2089,X7j 1r1,WY,3.0,M,O,
Van53,4.0,,66244.0,6.0,San Jose,United States of America,8.0,381.0,,1-135-391-9787,B8b 1z5,NJ,4.0,S,O,A.O. Smith
O'L54,0.0,,426954.0,89.0,Bellevue,United States of America,9.0,539.0,2636424.0,1-776-182-6215,t5d 1v4,ND,3.0,S,U,AptarGroup
and55,5.0,,126891.0,99.0,San Buenaventura,United States of America,0.0,497.0,1326305.0,1-079-780-7761,V6t 1r2,NC,4.0,M,O,Coca-Cola
sta56,4.0,,454196.0,77.0,St. Louis,Canada,,661.0,2241997.0,1-504-346-4393,91177,WV,2.0,M,O,Kimberly-Clark
CHA57,5.0,Apt. 275,163940.0,,Pueblo,United States of America,0.0,558.0,1542891.0,1-985-538-4351,T5c 1t1,GA,3.0,S,R,Visteon
ASI58,,,365213.0,90.0,Regina,Canada,,534.0,797918.0,1-254-097-9398,35862,Ontario,1.0,W,O,TECO Energy
ask59,0.0,,428739.0,82.0,Saskatoon,United States of America,6.0,373.0,347654.0,1-545-924-9552,96820,MA,0.0,M,U,Bemis
Kik60,4.0,,142444.0,,Jackson,United States of America,8.0,382.0,2456397.0,1-984-233-8818,75238,CA,0.0,M,O,Wyeth
Cha61,3.0,,416168.0,15.0,St. Petersburg,United States of America,10.0,475.0,1284229.0,1-528-691-1642,85769,SD,3.0,S,O,United Technologies
KIL62,2.0,,291420.0,,Scottsdale,United States of America,3.0,539.0,618787.0,,H5i 1o9,Saskatchewan,0.0,D,O,Clorox
kin63,4.0,,413501.0,96.0,Charlotte,United States of America,6.0,711.0,1171606.0,1-171-807-8213,90849,RI,5.0,M,O,Discovery Communications
MAL64,4.0,,,38.0,Waterbury,United States of America,1.0,606.0,3983261.0,1-056-241-7009,43644,NC,,M,O,Williams-Sonoma
Odu65,3.0,,419143.0,10.0,Chesapeake,United States of America,0.0,494.0,2328568.0,1-389-414-0570,99213,SD,3.0,W,O,Manitowoc
DI 66,1.0,,155057.0,72.0,Hialeah,United States of America,3.0,309.0,2078600.0,1-583-542-1656,72226,IL,5.0,M,O,Henry Schein
STU67,2.0,,313859.0,97.0,Charleston,United States of America,3.0,630.0,2986155.0,1-269-712-0672,V6Z 1Q9,OR,5.0,M,O,Trinity Industries
HAM68,4.0,,265907.0,48.0,Salem,United States of America,10.0,330.0,1864039.0,1-670-102-0463,20082,Ontario,1.0,S,O,Pepsi Bottling
LIB69,,,283481.0,97.0,Sacramento,Canada,9.0,710.0,1293721.0,1-699-726-3895,35827,FL,0.0,S,O,UGI
ohs70,4.0,,200635.0,73.0,Santa Clarita,United States of America,7.0,475.0,3850114.0,1-640-666-2876,99692,NM,0.0,M,R,Greif
HUM71,0.0,APT. 143,434519.0,71.0,Sherbrooke,United States of America,3.0,596.0,1618743.0,1-540-639-1311,V6c 1q5,NE,1.0,U,O,Equifax
BRA72,5.0,,392315.0,93.0,Colorado Springs,United States of America,9.0,670.0,3383487.0,1-285-874-8492,80158,MI,1.0,W,O,
Boa73,5.0,,493829.0,53.0,Berkeley,United States of America,,722.0,2981876.0,1-121-904-0040,t6d 1b6,New Brunswick,3.0,U,O,Freescale Semiconductor
Mcn74,3.0,,97489.0,32.0,San Buenaventura,United States of America,7.0,587.0,2109339.0,1-017-842-3201,33120,NJ,2.0,U,O,Aleris International
MAR75,4.0,,,1.0,New Haven,United States of America,4.0,609.0,791803.0,1-215-859-3206,99742,ND,3.0,S,O,
Wil76,0.0,,383046.0,39.0,Shreveport,United States of America,7.0,401.0,3523678.0,1-764-520-7470,V6N 1T1,Saskatchewan,1.0,S,O,World Fuel Services
Dea77,4.0,,1190.0,77.0,Lansing,United States of America,0.0,335.0,1681902.0,1-414-130-0162,44104,KS,0.0,M,,R.R. Donnelley & Sons
Hou78,5.0,,85733.0,18.0,Pembroke Pines,United States of America,7.0,569.0,3851455.0,1-970-240-9990,14605,SD,5.0,U,O,Brinker International
Goy79,0.0,,387890.0,70.0,Palmdale,Canada,9.0,,2339382.0,1-408-684-6459,80076,FL,2.0,M,R,Temple-Inland
Mok80,2.0,,16808.0,26.0,Savannah,United States of America,7.0,679.0,,1-330-353-5908,V6I 1V6,Saskatchewan,0.0,S,O,Psychiatric Solutions
Run81,,,304589.0,,Amarillo,United States of America,10.0,356.0,2065016.0,1-766-726-2675,97307,FL,4.0,M,,Nash-Finch
BEL82,2.0,,48506.0,58.0,Anchorage,United States of America,9.0,308.0,2454049.0,1-938-425-7509,46237,UT,5.0,S,R,AMR
BAE83,0.0,,,43.0,Louisville,United States of America,4.0,412.0,2423395.0,1-527-308-8874,V6B 1S6,WY,4.0,M,O,Spartan Stores
MAU84,2.0,,358862.0,65.0,Hilo,United States of America,4.0,618.0,1342045.0,1-810-590-0635,H2d 1x1,NH,3.0,D,O,Cigna
Koo85,5.0,,477614.0,24.0,Sudbury,United States of America,5.0,429.0,861756.0,1-274-548-2512,95108,AR,3.0,S,O,General Cable
Lau86,3.0,,175414.0,79.0,Orlando,United States of America,3.0,819.0,1215349.0,1-649-754-4601,80050,CT,1.0,S,O,Dun & Bradstreet
Man87,0.0,,427598.0,48.0,Missoula,Canada,7.0,552.0,3981554.0,1-905-932-1785,90122,VT,1.0,M,O,Casey's General Stores
PIE88,0.0,,368207.0,69.0,Abilene,United States of America,9.0,587.0,3865937.0,1-031-004-7697,43614,Manitoba,4.0,S,O,Jack in the Box
Bus89,3.0,,449944.0,91.0,Saskatoon,United States of America,6.0,304.0,2804700.0,1-994-812-4796,61110,NJ,1.0,S,O,Assurant
BAB90,5.0,,166247.0,75.0,Irvine,United States of America,4.0,795.0,3283558.0,1-176-513-4041,70174,KY,5.0,,U,Psychiatric Solutions
Bur91,1.0,APT. 373,391165.0,85.0,Reno,United States of America,2.0,830.0,450524.0,1-072-244-6337,90324,GA,3.0,S,O,Danaher
Kin92,5.0,,165854.0,76.0,Sacramento,United States of America,3.0,709.0,,1-924-669-9328,s7d 1n1,NJ,3.0,M,R,Clorox
POM93,2.0,,326181.0,68.0,Topeka,United States of America,8.0,493.0,,1-598-488-3541,93829,SC,1.0,S,O,Boyd Gaming
BOA94,3.0,,173387.0,95.0,Rancho Cucamonga,United States of America,,680.0,633760.0,1-295-539-3868,89116,TN,,M,O,Eaton
Ron95,1.0,,301127.0,15.0,Hilo,United States of America,,800.0,3634954.0,1-554-020-0267,94315,WY,5.0,M,R,Dynegy
wei96,1.0,,487230.0,17.0,Saint John,United States of America,4.0,614.0,799268.0,1-793-621-4566,T5b 1u9,Ontario,5.0,M,R,AmeriCredit
Hel97,4.0,,425747.0,94.0,Torrance,Canada,6.0,763.0,39093.0,1-787-267-4261,T6b 1a5,DC,0.0,,R,SLM
mog98,4.0,,401946.0,70.0,Santa Clara,United States of America,3.0,561.0,2705353.0,1-668-247-1597,60699,Alberta,4.0,S,O,NV Energy
boz99,1.0,,425422.0,29.0,Torrance,United States of America,4.0,569.0,3565153.0,1-901-346-8890,V6p 1s8,ME,2.0,S,O,Landstar System
Zah100,4.0,,208890.0,52.0,Stockton,United States of America,5.0,634.0,2832204.0,1-451-273-3803,v6i 1p1,MA,1.0,M,O,Pacific Life
And101,5.0,,67880.0,51.0,Paterson,United States of America,10.0,488.0,2194345.0,1-129-499-9136,79423,NV,3.0,U,O,Textron
Bam102,2.0,,133412.0,24.0,Mesa,Canada,5.0,788.0,3737140.0,1-899-319-0772,H5j 1o6,WA,3.0,W,O,Pfizer
fro103,3.0,,144829.0,98.0,Anchorage,United States of America,8.0,333.0,464753.0,1-053-396-0441,93761,WY,4.0,D,O,Cigna
Car104,1.0,,,59.0,Miami,United States of America,,601.0,596696.0,1-239-665-9540,76150,NJ,1.0,M,U,Ameren
muc105,3.0,,143682.0,49.0,Great Falls,Canada,2.0,595.0,1504753.0,1-605-888-3403,99717,LA,4.0,U,O,Consolidated Edison
gat106,0.0,,350020.0,1.0,Erie,United States of America,10.0,433.0,3049281.0,1-630-604-2543,60608,TX,1.0,U,O,Occidental Petroleum
Sch107,0.0,,435103.0,79.0,Hollywood,United States of America,10.0,403.0,247478.0,1-851-862-7928,v6w 1u4,SC,,U,O,Sherwin-Williams
pom108,1.0,,207768.0,6.0,Tulsa,United States of America,3.0,615.0,2750301.0,1-065-415-5724,T5b 1t6,TX,5.0,,R,Affiliated Computer Services
cuc109,0.0,,407512.0,70.0,Tucson,United States of America,1.0,735.0,721333.0,1-408-512-1007,23298,MN,4.0,M,O,Valassis Communications
SUG110,3.0,,403366.0,23.0,Anchorage,United States of America,1.0,668.0,669440.0,1-083-902-4184,32803,ID,0.0,S,O,
Pep111,3.0,,384095.0,78.0,Sandy,Canada,,349.0,2473979.0,1-568-403-7081,64122,MI,5.0,M,O,Smithfield Foods
Cha112,4.0,SUITE 7,288969.0,79.0,Boston,United States of America,,654.0,3545170.0,1-824-389-0618,T6b 1h2,OK,,S,,
SEI113,2.0,Apt. 971,233665.0,72.0,Vancouver,United States of America,6.0,361.0,1494871.0,1-174-210-2058,22222,UT,3.0,U,O,TD Ameritrade
GAR114,4.0,,147236.0,31.0,Akron,Canada,1.0,427.0,436164.0,1-425-503-7952,T6a 1d2,PA,0.0,S,U,Comerica
Tou115,0.0,,452557.0,86.0,Lancaster,United States of America,1.0,322.0,1069481.0,1-012-389-9089,v5d 1n9,New Brunswick,3.0,W,O,Steel Dynamics
Kur116,2.0,,179305.0,,Concord,United States of America,9.0,792.0,,1-909-472-6704,23321,UT,0.0,S,R,Coca-Cola Enterprises
Her117,3.0,,205817.0,87.0,Chesapeake,Canada,2.0,478.0,2957261.0,1-622-167-5411,90505,VA,0.0,U,O,News Corp.
MCV118,,,262711.0,92.0,Flint,United States of America,1.0,477.0,228459.0,1-164-511-9338,19066,NH,5.0,M,O,
LAB119,1.0,,84810.0,4.0,Chattanooga,Canada,6.0,449.0,67267.0,1-804-532-9163,v6s 1r3,VT,5.0,M,O,Stater Bros. Holdings
but120,2.0,,96441.0,8.0,Billings,United States of America,2.0,466.0,1087978.0,1-197-370-0297,78769,FL,4.0,U,O,BorgWarner
Pro121,0.0,,462762.0,97.0,Scottsdale,United States of America,2.0,483.0,3885967.0,1-337-042-5687,53769,NC,5.0,M,O,CB Richard Ellis Group
Irc122,5.0,,141890.0,,Oshawa,United States of America,4.0,588.0,3271101.0,1-056-138-5321,H7E 1U6,VA,4.0,D,O,Zimmer Holdings
Ziv123,5.0,,156610.0,40.0,Naperville,Canada,2.0,313.0,,1-776-191-2031,e7o 1k1,DC,5.0,,O,Mohawk Industries
sim124,1.0,,164752.0,95.0,Tampa,United States of America,1.0,647.0,1999133.0,1-280-696-2706,90374,NC,4.0,U,R,Berkshire Hathaway
kei125,1.0,,278949.0,92.0,Jackson,United States of America,2.0,430.0,1100786.0,1-857-581-6346,63169,MS,5.0,S,O,Saks
arv126,0.0,,,67.0,Hay River,United States of America,8.0,467.0,563992.0,,16515,SC,5.0,W,O,Gardner Denver
Pra127,3.0,,463736.0,24.0,Irvine,United States of America,7.0,399.0,962397.0,1-716-343-0884,85309,KS,2.0,M,O,Hasbro
lue128,2.0,,,26.0,Idaho Falls,United States of America,5.0,654.0,1064169.0,1-101-776-2496,92158,VT,3.0,M,O,CBS
Prz129,2.0,,86667.0,62.0,Moreno Valley,United States of America,3.0,378.0,2100059.0,1-769-028-0589,33152,IL,0.0,S,O,Synnex
pen130,5.0,,193470.0,37.0,Ontario,United States of America,10.0,338.0,99025.0,1-005-833-8970,83729,FL,1.0,W,O,Belden
Gua131,5.0,,406379.0,71.0,Concord,United States of America,10.0,695.0,3865481.0,1-884-215-4243,B8b 1z6,MI,0.0,S,R,Broadcom
bre132,1.0,,480595.0,29.0,Phoenix,Canada,7.0,614.0,804544.0,,53717,Newfoundland,3.0,M,U,Reynolds American
Sav133,4.0,,181718.0,89.0,Coral Springs,United States of America,7.0,307.0,3143356.0,1-725-177-7815,t5c 1w7,ME,5.0,S,O,Wells Fargo
ABB134,0.0,,468310.0,11.0,Oxnard,United States of America,2.0,331.0,,1-277-496-5396,37245,AL,3.0,M,O,Retail Ventures
OP135,2.0,,354987.0,20.0,Brownsville,United States of America,2.0,638.0,2311953.0,1-756-463-2201,94401,IN,0.0,S,O,AT&T
Mer136,3.0,,284539.0,75.0,Memphis,Canada,3.0,703.0,3120608.0,1-261-338-7463,B8a 1y3,NH,5.0,W,O,Wynn Resorts
rut137,0.0,,213725.0,95.0,Flint,United States of America,7.0,302.0,2058270.0,1-811-086-4675,t6b 1k2,DC,5.0,S,O,Eastman Kodak
bem138,2.0,,74195.0,0.0,Lafayette,United States of America,,522.0,1511983.0,1-338-771-1185,85306,DC,3.0,U,O,Aramark
Pen139,5.0,,169295.0,73.0,Greensboro,United States of America,,,439080.0,1-554-231-5318,V6R 1R7,MD,1.0,M,O,ENSCO International
tor140,1.0,,307832.0,39.0,Sterling Heights,United States of America,5.0,833.0,921255.0,1-733-886-5227,68513,Prince Edward Island,0.0,W,R,Auto-Owners Insurance
law141,1.0,,20397.0,76.0,Costa Mesa,United States of America,2.0,,3810365.0,1-267-357-1943,v6n 1v9,MD,1.0,U,O,Bemis
Bee142,2.0,Suite 397,463094.0,5.0,Houston,United States of America,6.0,664.0,2641938.0,1-602-756-7919,83702,New Brunswick,2.0,U,O,Securian Financial Group
sch143,4.0,,331900.0,65.0,Bakersfield,United States of America,7.0,789.0,3857323.0,1-793-864-7010,80125,HI,1.0,U,O,Ford Motor
Wit144,5.0,,8421.0,94.0,Chesapeake,United States of America,0.0,803.0,1636212.0,1-637-020-2921,M5G 1Y7,ND,0.0,S,U,ConAgra Foods
MER145,4.0,,35780.0,95.0,Sandy,United States of America,3.0,720.0,2999082.0,1-428-797-6325,80213,Nova Scotia,4.0,M,,Charter Communications
bia146,1.0,,139897.0,28.0,Lewiston,United States of America,4.0,839.0,2280820.0,1-011-549-5618,60737,ME,0.0,M,R,Calpine
Swi147,4.0,SUITE 464,414119.0,76.0,Elizabeth,United States of America,0.0,621.0,1050866.0,1-993-255-5481,90510,Alberta,1.0,D,O,Crane
bul148,5.0,,234035.0,81.0,Sudbury,United States of America,3.0,628.0,,1-487-749-4448,92882,VT,4.0,D,O,Textron
TYR149,3.0,,144405.0,38.0,Austin,Canada,6.0,813.0,603001.0,1-192-352-2184,98121,DE,5.0,W,O,Idearc
Fyf150,5.0,,55441.0,25.0,Salinas,United States of America,3.0,367.0,3368239.0,1-293-442-4224,H2e 1x9,MA,3.0,W,R,Cabela's
Sic151,4.0,,392869.0,0.0,Peoria,United States of America,10.0,807.0,1042629.0,1-078-502-6700,23503,CA,2.0,D,O,EOG Resources
CAS152,3.0,,402416.0,61.0,Sydney,United States of America,8.0,501.0,1948746.0,1-430-909-3001,40208,Manitoba,4.0,U,O,
Cho153,0.0,,89984.0,3.0,San Antonio,United States of America,10.0,490.0,3113862.0,1-392-455-0895,75201,TN,2.0,U,O,Burlington Coat Factory
CHA154,2.0,,395773.0,77.0,Oklahoma City,United States of America,3.0,321.0,2777290.0,1-273-921-9787,93852,FL,3.0,W,O,Southwest Airlines
bei155,1.0,,126662.0,8.0,Miami,United States of America,6.0,,2210073.0,1-012-993-4538,32312,CA,0.0,U,R,RPM International
Ele156,4.0,,132008.0,34.0,Yonkers,United States of America,7.0,446.0,1999684.0,1-890-859-4211,90059,CO,1.0,U,O,Amazon.com
o'g157,5.0,,417218.0,15.0,Columbia,United States of America,2.0,428.0,2119678.0,1-080-032-3031,77006,Saskatchewan,5.0,M,O,Neiman Marcus
Kat158,0.0,,360063.0,66.0,Lubbock,United States of America,5.0,423.0,169808.0,1-561-620-7173,23224,UT,0.0,S,O,Goldman Sachs Group
Lui159,5.0,,100516.0,55.0,Chattanooga,United States of America,6.0,499.0,1072732.0,1-017-439-0362,10055,ME,4.0,U,O,Boeing
Kla160,1.0,,16814.0,8.0,Fargo,United States of America,7.0,342.0,2261442.0,1-248-539-6621,35830,NH,1.0,S,O,United Refining
Bru161,1.0,,,7.0,Omaha,United States of America,1.0,632.0,2234368.0,1-611-789-5569,v6m 1s9,VA,3.0,M,U,D.R. Horton
Apt162,3.0,,315962.0,97.0,Yonkers,United States of America,6.0,525.0,575288.0,1-023-151-8130,22304,TX,1.0,M,O,Jarden
sch163,5.0,,299268.0,95.0,Spokane,United States of America,9.0,371.0,1102479.0,1-005-574-3523,06101,Saskatchewan,1.0,M,R,Systemax
Lan164,1.0,,301490.0,92.0,Tulsa,United States of America,4.0,699.0,2995388.0,1-550-487-1571,78756,NH,3.0,U,O,Marriott International
Fus165,3.0,,36052.0,17.0,Garden Grove,United States of America,8.0,435.0,1147193.0,1-280-494-1415,93003,VA,2.0,M,O,Expeditors International
Nev166,1.0,,437483.0,81.0,Fort Lauderdale,United States of America,2.0,512.0,1136540.0,1-803-438-4141,T5D 1P2,IA,4.0,U,U,Great Plains Energy
SHA167,5.0,,152971.0,13.0,Philadelphia,Canada,6.0,552.0,1677669.0,1-566-299-2351,10108,NC,,M,O,Danaher
Sau168,0.0,,449495.0,78.0,Sydney,Canada,8.0,,2160706.0,1-586-363-4189,t5c 1l3,NH,2.0,M,O,
fri169,4.0,,349827.0,78.0,Waterbury,United States of America,5.0,687.0,2525665.0,1-505-124-9029,M5B 1Z8,AL,1.0,M,O,Watson Wyatt Worldwide
fer170,3.0,,9562.0,85.0,Tacoma,United States of America,0.0,433.0,3517622.0,1-897-996-9812,V6H 1W2,British Columbia,1.0,M,R,Yahoo
LAN171,1.0,,24514.0,68.0,Charlottetown,United States of America,7.0,746.0,,1-922-919-5858,90308,MD,2.0,U,,Convergys
Bha172,0.0,,407985.0,1.0,Independence,Canada,9.0,405.0,97675.0,1-326-572-2988,M5e 1y2,IA,0.0,M,R,Celanese
Jor173,5.0,,,83.0,Escondido,United States of America,,805.0,,1-076-972-4311,80029,ND,5.0,M,O,Dana Holding
KNU174,4.0,,257897.0,78.0,Lansing,United States of America,5.0,819.0,3569070.0,1-341-595-8408,30350,NY,4.0,M,O,XTO Energy
Ham175,0.0,,261143.0,,Anaheim,United States of America,0.0,648.0,1507616.0,,97240,OR,5.0,M,O,Alliance Data Systems
MAU176,5.0,,110615.0,5.0,Glendale,United States of America,10.0,401.0,514151.0,1-536-952-5040,R3A 1M1,MO,5.0,U,R,Franklin Resources
Rez177,2.0,Apt. 426,407799.0,43.0,Chula Vista,United States of America,8.0,484.0,2903408.0,1-663-917-0422,73172,CT,0.0,U,U,Fidelity National Financial
Koa178,4.0,,195242.0,53.0,Orlando,Canada,1.0,463.0,1695814.0,1-843-773-1791,V6s 1p9,MO,4.0,U,O,FirstEnergy
HAN179,3.0,,315490.0,13.0,Cleveland,United States of America,5.0,335.0,868465.0,1-823-567-1252,90140,MN,0.0,U,O,Commercial Metals
jak180,5.0,,22201.0,7.0,Huntington,United States of America,10.0,,2810709.0,1-744-421-7512,94639,NC,4.0,U,O,Genzyme
ump181,4.0,,441579.0,17.0,Fayetteville,United States of America,7.0,381.0,3593363.0,1-621-744-1484,22307,TN,5.0,M,R,US Airways Group
Wic182,2.0,,342730.0,67.0,Riverside,Canada,1.0,708.0,2607636.0,1-973-214-3381,55116,NV,2.0,M,O,Advanced Micro Devices
Gat183,5.0,Apt. 540,117267.0,54.0,Dayton,Canada,8.0,354.0,2735642.0,1-428-266-1600,M6s 1i5,AL,4.0,M,R,United Parcel Service
