prospect_gncd,prospect_ntwrth,prospect_g,prospect_ddrssln1,prospect_crdtrtng,prospect_stt,prospect_mplr,prospect_mrtlstts,prospect_ncm,prospect_pstlcd,prospect_nmbrcrs,prospect_ct,prospect_cntr,prospect_phn,prospect_nmbrchldrn,prospect_wnrrntflg,prospect_nmbrcrdtcrds
Wpw7547,639573.0,34.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,303.0,Quebec,Cliffs Natural Resources,M,225322.0,Mwmfs,4.0,Miami,United States of America,1-879-870-7379,2.0,,2.0
vpz7548,2667082.0,25.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,846.0,ID,Health Management Associates,W,192689.0,goelqgcts,1.0,London,Canada,1-366-625-9813,2.0,O,4.0
Yfz7549,2598634.0,50.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,621.0,AL,Chevron,,348685.0,ucwygjzs,5.0,Worcester,Canada,1-359-462-7089,4.0,O,1.0
dou7550,1074671.0,85.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,331.0,UT,Exide Technologies,D,401229.0,fjlfqftwg,3.0,Jacksonville,United States of America,,4.0,O,
FDJ7551,2272997.0,60.0,hfuyqlsmbesrylepu,401.0,MS,Convergys,M,38597.0,Tocujgaiaq,5.0,Nashua,United States of America,1-153-396-8333,4.0,R,9.0
ufu7552,702000.0,95.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,644.0,AK,Dominion Resources,S,,kurjmmgixxfd,2.0,Newport News,United States of America,1-144-623-1308,2.0,R,0.0
bbg7553,1289800.0,8.0,qgjnvpwvmgsqzcanzncon,769.0,VT,Sentry Insurance Group,M,161204.0,cnsavindoi,4.0,Corona,United States of America,1-269-220-8046,1.0,R,5.0
Znk7554,1007390.0,31.0,HNBGLUDIOAJRCCIXGDUQOO,481.0,LA,Cintas,M,202650.0,MQBSAUVQRPYE,3.0,Lincoln,,1-052-524-0130,4.0,O,2.0
CGQ7555,124290.0,51.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,732.0,CT,Medtronic,U,,vadbnvz,1.0,Toronto,Canada,1-335-871-6660,2.0,O,7.0
add7556,1820002.0,24.0,dnlleihfh,802.0,UT,Pride International,M,492433.0,Ljurvnigr,4.0,Fayetteville,United States of America,1-637-394-8083,4.0,O,2.0
Anw7557,2200347.0,78.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,329.0,IN,A. Schulman,M,344858.0,BQDMQVFTNBRJ,2.0,Charlotte,Canada,1-706-795-4208,4.0,O,5.0
Hvt7558,3669569.0,56.0,Wsjaujjdexc,839.0,WI,Oneok,W,197290.0,jkcul,5.0,Tulsa,United States of America,1-622-347-5699,0.0,R,0.0
Yqj7559,2140537.0,50.0,Ojberg,539.0,WA,Danaher,U,283654.0,Nelny,2.0,Winston-Salem,United States of America,1-042-017-9368,,,
Ztn7560,3258909.0,52.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,561.0,LA,Del Monte Foods,M,317423.0,Qsggz,4.0,Thousand Oaks,United States of America,1-829-935-5979,5.0,R,4.0
bni7561,1825422.0,14.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,814.0,VT,American Electric Power,W,399126.0,Drofa,4.0,Lubbock,United States of America,1-076-726-5283,5.0,O,2.0
swx7562,1845263.0,29.0,Xwtkpxqgohxwxnv,305.0,CT,TJX,M,398180.0,Ssovhtmt,5.0,Winnipeg,United States of America,,0.0,R,7.0
DSA7563,1463114.0,50.0,Qpvmtkxxfef,457.0,RI,Philip Morris International,S,,Tnprhljfrlj,2.0,Laredo,United States of America,1-284-129-5920,4.0,O,4.0
BXZ7564,2354683.0,67.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,349.0,SC,Cincinnati Financial,U,485429.0,Bkxujhonjgjk,4.0,Overland Park,United States of America,1-128-308-8886,1.0,O,8.0
pcz7565,436677.0,22.0,KRYAIAJGKHBKXBLC,590.0,British Columbia,Stryker,M,118018.0,mrjrjhgnwcdu,2.0,Calgary,United States of America,1-145-469-5971,0.0,O,0.0
Zqa7566,2383335.0,20.0,,533.0,CO,Kansas City Southern,U,309693.0,Yusezkfgs,5.0,Peoria,United States of America,1-727-684-7767,4.0,O,0.0
Htl7567,2574739.0,75.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,686.0,TN,IDT,W,90718.0,RKXTQAO,4.0,Durham,Canada,1-776-201-2472,0.0,O,9.0
afw7568,1596838.0,60.0,VBDCWYVK,582.0,CA,Vornado Realty Trust,U,280645.0,UBQSATXZO,2.0,Pueblo,United States of America,1-767-942-1278,0.0,O,10.0
Wna7569,591965.0,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,807.0,WY,Dollar General,S,231559.0,BHRNWQLFVFA,,Las Cruces,United States of America,1-723-062-7266,4.0,O,0.0
Mlh7570,3071440.0,48.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,819.0,SD,Safeway,S,36898.0,Ktmzav,3.0,Chula Vista,United States of America,,5.0,O,3.0
Gor7571,2683081.0,91.0,Gwxymofcy,311.0,British Columbia,Apache,M,396786.0,Nfpchgfj,2.0,San Diego,United States of America,1-145-314-0862,0.0,R,5.0
ENX7572,3850483.0,98.0,Qynjnmfgwxpmrw,734.0,NJ,Lowe's,U,344365.0,Wuywecohosfi,2.0,Chicago,United States of America,1-735-104-7772,5.0,O,3.0
fgr7573,1870617.0,51.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,432.0,AK,Lithia Motors,W,1205.0,tibxlojrqiha,4.0,Worcester,United States of America,,1.0,O,1.0
Ysh7574,1249534.0,22.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,394.0,OH,CH2M Hill,S,276666.0,ogmes,5.0,Honolulu,United States of America,1-518-116-1411,0.0,O,3.0
Mos7575,3789880.0,57.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,658.0,New Brunswick,Tellabs,U,497953.0,JUBKXDKP,0.0,Albuquerque,United States of America,1-696-359-4829,0.0,O,1.0
czu7576,3874445.0,38.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,348.0,IL,Phillips-Van Heusen,M,156048.0,Xbgykqm,1.0,Oakland,Canada,1-352-678-5471,2.0,O,3.0
Ghr7577,437353.0,68.0,BESJDYZDIOIXKDFEHBQXBPW,598.0,AZ,Wells Fargo,M,63617.0,NNCXIBTCXZA,1.0,Billings,United States of America,1-906-600-9749,5.0,O,8.0
Rwk7578,2669917.0,93.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,505.0,NY,Vornado Realty Trust,U,244849.0,mfwuio,2.0,Pueblo,United States of America,1-093-018-2851,2.0,O,9.0
Uwi7579,1466537.0,48.0,Ivwhotvobwkshcixclfobqoljlaqohw,839.0,WA,New York Times,S,123585.0,Utgwrun,4.0,Sherbrooke,United States of America,1-302-096-9321,3.0,R,7.0
VXZ7580,991860.0,96.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,672.0,GA,Adobe Systems,S,391134.0,Wgulrhctjlg,1.0,Sacramento,United States of America,1-915-044-3154,1.0,U,2.0
Ayk7581,,58.0,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,696.0,AZ,Valmont Industries,M,426759.0,Srhxvxe,5.0,Charlotte,United States of America,1-040-274-3474,5.0,O,3.0
lho7582,1816368.0,63.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,448.0,NV,UAL,W,451737.0,Dadkihaohc,5.0,El Paso,United States of America,1-678-397-2739,3.0,O,5.0
rzi7583,565246.0,18.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,549.0,TN,AFLAC,S,180822.0,Fpoleiod,2.0,Mesa,United States of America,1-679-345-9939,1.0,O,9.0
Wds7584,1899339.0,40.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,705.0,AL,VeraSun Energy,W,205843.0,Cuaieflmccqp,4.0,Simi Valley,United States of America,1-093-616-0613,2.0,O,0.0
Xsj7585,3873239.0,29.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,387.0,TX,Magellan Health Services,M,470985.0,qiraymmapgf,4.0,St. Catharines,United States of America,1-546-131-8988,3.0,O,6.0
Lux7586,767547.0,21.0,Nhgrkzjzcrjcerkwrugwul,359.0,WV,Emcor Group,U,318225.0,Tsynomgib,2.0,Washington,United States of America,1-477-186-7432,1.0,,7.0
wxw7587,1027999.0,41.0,,494.0,ND,Peabody Energy,M,326044.0,Amudllk,2.0,Chula Vista,Canada,1-965-848-6954,2.0,O,9.0
pfz7588,3428495.0,56.0,uiaoi,345.0,Saskatchewan,State Farm Insurance Cos.,M,,ELQKT,1.0,Montpelier,United States of America,1-622-866-0937,1.0,,10.0
hlx7589,1827180.0,33.0,Wwonzdtvwkn,402.0,VA,Humana,M,187282.0,Oiwac,2.0,Mesa,United States of America,1-040-217-2014,0.0,O,10.0
nyb7590,2070007.0,96.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,579.0,ND,News Corp.,M,,Dqgzinvuxxy,2.0,New Haven,United States of America,1-101-684-2373,0.0,O,3.0
Ltt7591,,35.0,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,569.0,ND,Torchmark,,,Nchaajfkjvx,2.0,Indianapolis,United States of America,1-386-426-5849,0.0,O,2.0
gsz7592,3596263.0,40.0,cezvfwtftwlwfrgrpxtuejvrgucexe,745.0,MS,Rock-Tenn,W,306946.0,XEDMBUAMGXKH,0.0,Stockton,United States of America,1-598-816-0126,4.0,O,9.0
Kwp7593,3719999.0,10.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,320.0,WY,AGCO,D,99663.0,crxbrlj,0.0,Louisville,,1-770-379-7700,,U,1.0
AGM7594,3058439.0,59.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,591.0,MA,,M,482013.0,Eytubbwi,2.0,Atlanta,United States of America,,4.0,R,4.0
Ocn7595,2592932.0,70.0,Ctgihaqlm,,AK,United Stationers,M,180476.0,Lwftldizl,1.0,Milwaukee,United States of America,1-628-245-6238,0.0,U,10.0
Cmw7596,1471273.0,69.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,417.0,PA,McCormick,M,285682.0,GSSFZNBZL,4.0,Fort Smith,United States of America,1-813-787-2611,5.0,,5.0
Dit7597,,96.0,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,338.0,MA,National Life Group,M,455032.0,Nrnqtmjz,0.0,Knoxville,United States of America,1-362-897-1162,5.0,R,8.0
Rmm7598,2410816.0,9.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,340.0,DC,Hasbro,S,356141.0,Rzjxvum,3.0,Idaho Falls,United States of America,1-952-919-4878,,O,9.0
ekj7599,1059543.0,39.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,738.0,RI,Tupperware Brands,U,165667.0,Accezkuzqrif,3.0,Jacksonville,Canada,1-145-214-8009,3.0,U,5.0
wcq7600,379282.0,31.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,597.0,MA,Covance,S,459767.0,LNZZPGOTEG,0.0,Stockton,United States of America,1-328-944-9786,2.0,O,7.0
Klc7601,3271265.0,64.0,RSSNUTWWLOKIHRRTPEAFTLBF,603.0,Alberta,Interactive Brokers Group,M,106459.0,YINOHET,2.0,Thousand Oaks,United States of America,1-899-864-9421,2.0,R,4.0
Jrd7602,1530364.0,38.0,Sachwqwddeyfxvagihsjxtcsibaejb,662.0,AR,SkyWest,D,51021.0,ddgkyv,,Nashua,,1-877-997-8896,1.0,U,5.0
GDQ7603,3731860.0,47.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,838.0,VA,Best Buy,W,494931.0,Seiksuhglhj,2.0,Tallahassee,United States of America,1-750-900-0823,4.0,R,0.0
fnm7604,2488858.0,,Sbutxmtwkb,791.0,OR,Sears Holdings,M,429859.0,Ytgghhaxc,5.0,Brownsville,United States of America,,2.0,O,9.0
Ymu7605,2301347.0,76.0,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,692.0,ID,Frontier Oil,S,,Ajlcdadx,1.0,Charlotte,Canada,1-347-704-7823,4.0,O,7.0
Pxj7606,1736571.0,60.0,mnkidgiyajigobghpnkdvauwiubpjb,673.0,IA,Automatic Data Processing,W,464086.0,Daivf,0.0,Oakland,,1-228-976-2888,3.0,O,8.0
Rsd7607,2399483.0,73.0,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,331.0,TN,,U,207651.0,xrquzcptycg,3.0,Fort Wayne,Canada,,,O,7.0
Qqh7608,2982744.0,37.0,Fmrydeogisvvtrpsfonolelpnqcbkrr,744.0,Nova Scotia,Comerica,U,260418.0,shigmwk,4.0,Chula Vista,United States of America,1-760-429-1328,,O,2.0
udq7609,1611011.0,50.0,Xhggtfwyslxvgeiuzjfxewcsweefq,446.0,Ontario,Baldor Electric,M,,enehob,5.0,Peoria,United States of America,1-253-879-8833,1.0,U,6.0
Ghl7610,2999167.0,0.0,,,MD,Commercial Metals,M,316963.0,RNLAKRXSPA,0.0,Lexington,Canada,1-401-256-3483,4.0,O,0.0
mtk7611,,,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,,AR,,W,84046.0,Hlezt,5.0,Salem,Canada,1-175-910-8245,,O,
QIY7612,3307491.0,,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,723.0,Saskatchewan,Molina Healthcare,M,368990.0,Iyqmkpcjx,0.0,San Jose,United States of America,1-565-191-3419,3.0,O,9.0
Ohz7613,2057260.0,81.0,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,348.0,OH,Plains All American Pipeline,S,124382.0,klgnkcaedht,2.0,Kansas City,Canada,1-921-688-5401,0.0,O,2.0
djg7614,53179.0,52.0,Gvdteormavfflajkedaclod,666.0,VA,Agilent Technologies,M,9263.0,Jsombikj,2.0,Windsor,United States of America,1-925-155-0170,0.0,O,
Iad7615,690086.0,68.0,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,,ID,AutoZone,M,334181.0,Xtckbvng,2.0,Chicago,United States of America,1-185-691-2951,4.0,U,3.0
EMG7616,2025465.0,,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,844.0,WI,,M,314001.0,YPUWSVRD,0.0,Evansville,United States of America,1-067-518-3854,1.0,R,8.0
Hjn7617,695307.0,36.0,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,766.0,MS,Universal Health Services,M,168309.0,Ifxvsnt,1.0,Honolulu,Canada,1-188-554-1671,4.0,O,8.0
CYP7618,3238398.0,31.0,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,521.0,OK,Time Warner,M,322765.0,EAOJPQVWBNZ,2.0,Cleveland,United States of America,1-168-215-2223,4.0,O,10.0
KPN7619,1213578.0,55.0,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,306.0,GA,Sealed Air,W,311253.0,fhirgl,1.0,Livonia,United States of America,1-228-022-3056,5.0,O,7.0
Vbi7620,103708.0,66.0,Blsmawjjdmdamrhqyqgzmbkfa,411.0,TN,Sprint Nextel,W,140296.0,Lahfziy,5.0,Little Rock,United States of America,1-926-766-1124,5.0,R,9.0
ehb7621,1086081.0,22.0,Stofpzwyhkpmuq,,SC,,M,439984.0,tofdjef,1.0,Halifax,United States of America,1-538-797-1948,5.0,O,3.0
TMQ7622,1349626.0,51.0,LPPSVGKGAUQESCWZEDIMRDWXUAJHNNYZUGVANEOPQEJGBKDNSTJEXOJSJQJXLLZRREKKD,702.0,AR,Quiksilver,U,454011.0,rckzx,5.0,Peoria,United States of America,1-627-234-0841,0.0,O,8.0
