NumberCars,OwnOrRentFlag,CreditRating,NumberChildren,NumberCreditCards,MaritalStatus,Country,Gender,State,AddressLine1,Income,Phone,FirstName,City,NetWorth,AddressLine2,Employer,MiddleInitial,LastName,AgencyID,PostalCode,Age
3.0,O,362.0,1.0,9.0,M,United States of America,M,KY,11538 COLLINWOOD AVENUE,101800.0,1-492-968-0932,Ammamaria,St. Catharines,3850037.0,,Moog,,SPRUELL,SPR25,99539,61.0
0.0,O,527.0,1.0,7.0,D,United States of America,F,CA,7818 EAST STREET,436977.0,1-960-227-2020,Mari,Hayward,528440.0,,Old Republic International,,SKALSKI,SKA26,95055,
0.0,O,354.0,,0.0,S,United States of America,m,FL,10013 shaw road,495334.0,1-431-122-8597,Anica,Palmdale,597140.0,,,,Gargul,Gar27,93686,51.0
1.0,O,511.0,1.0,1.0,M,United States of America,,Newfoundland,6802 AMES STREET,274685.0,1-822-836-7200,Melba,Phoenix,146931.0,,Great Plains Energy,,Dore,Dor28,75218,97.0
2.0,,412.0,2.0,7.0,,United States of America,,TX,22501 SUMMIT RUE,320820.0,1-530-117-0497,Tracee,Gary,353495.0,,Broadcom,X,DIOGO,DIO29,91174,52.0
4.0,O,583.0,0.0,1.0,S,Canada,m,WA,291 frances rue,195835.0,1-051-257-2719,CANADIAN,Beaumont,295647.0,,Discover Financial Services,,Merrick,Mer30,49515,98.0
5.0,O,710.0,3.0,5.0,U,United States of America,,MN,16264 sanders east,108085.0,1-171-989-1363,Oue,Nashua,408941.0,,UAL,R,Atchison,Atc31,16506,47.0
2.0,O,380.0,1.0,9.0,M,United States of America,m,WY,16068 cantey way,260185.0,1-042-705-3246,wallie,San Jose,362523.0,,Charles Schwab,X,Plamondon,Pla32,94383,47.0
0.0,R,796.0,0.0,2.0,M,United States of America,F,NY,21170 EDLOE BOULEVARD,258323.0,1-098-328-2026,Andromache,Nashua,2102359.0,,Coach,E,SELCHOW,SEL33,T6d 1b3,9.0
1.0,U,818.0,3.0,2.0,M,United States of America,f,SC,885 CROSBY LANE,79476.0,1-209-754-5635,THOR,Fort Smith,3480265.0,,DaVita,Z,shane,sha34,25339,85.0
5.0,U,766.0,3.0,3.0,M,United States of America,,MS,12235 jay street,102156.0,1-498-781-3456,SALAH,Lancaster,3648900.0,,Marshall & Ilsley Corp.,,MERWIN,MER35,V6o 1v4,81.0
2.0,O,359.0,3.0,2.0,M,United States of America,,UT,20340 LOMBARD CRESCENT,221481.0,1-615-241-0440,HOR-LAM,Colorado Springs,1161790.0,,Cablevision Systems,,conrad,con36,01852,0.0
1.0,R,401.0,5.0,2.0,S,United States of America,M,PA,22074 dexter upper,41836.0,1-995-449-5200,Vania,Washington,2050587.0,,Barnes & Noble,,onsiteteam,ons37,78230,28.0
1.0,O,609.0,1.0,0.0,U,Canada,M,OK,1540 MURIE RUE,72389.0,1-295-673-4452,Niel,Lowell,3579198.0,,EMC,,Summerlin,Sum38,93770,65.0
3.0,O,630.0,0.0,2.0,S,United States of America,,WY,7075 glen loch drive,66486.0,1-914-675-2986,ziad,Frederick,889494.0,,Fluor,F,grooms,gro39,m4l 1n4,20.0
3.0,O,671.0,1.0,9.0,M,United States of America,,RI,11237 balmoral way,200185.0,,Claude,Mesa,2205682.0,Apt. 382,Dollar General,I,dilkie,dil40,22335,55.0
0.0,O,715.0,2.0,10.0,U,United States of America,,HI,8316 GARDEN BROOK NORTH,289215.0,1-825-739-0336,AVTAR,Lakewood,1140117.0,,Lear,,DOLSON,DOL41,V6C 1T4,76.0
4.0,O,707.0,1.0,9.0,M,United States of America,,VA,2240 clifton lower,322484.0,1-956-713-3802,Donny,Cleveland,1421319.0,,J.P. Morgan Chase & Co.,,Posthumus,Pos42,M6t 1h3,1.0
4.0,O,329.0,2.0,0.0,M,United States of America,,OK,20907 NOTINGHAM LOWER,83458.0,1-814-932-1579,Cocos,Grand Rapids,3525204.0,,Affinia Group Intermediate,,Machika,Mac43,95263,3.0
0.0,R,601.0,3.0,8.0,D,United States of America,,Prince Edward Island,601 carroll lower,,1-135-443-7282,ruud,Peoria,468976.0,,,,chenoweth,che44,v5b 1p5,100.0
5.0,O,623.0,1.0,2.0,W,United States of America,,SD,18267 state drive,492407.0,1-720-975-0667,Belvia,Inglewood,1685443.0,,Goldman Sachs Group,,holbrooks,hol45,32318,81.0
4.0,O,376.0,4.0,2.0,S,United States of America,f,OH,9270 LEAF SOUTH,346630.0,1-871-598-3505,ATHAR,Akron,337564.0,,E*Trade Financial,,pfieffer,pfi46,93872,76.0
1.0,O,560.0,3.0,0.0,W,Canada,,MA,18582 PERIMETER BOULEVARD,9572.0,1-607-222-4809,Cherey,Charlottetown,84777.0,,Pfizer,Y,elkington,elk47,92824,51.0
1.0,O,693.0,5.0,4.0,,United States of America,F,MD,9612 park stream upper,265369.0,1-965-046-0642,RAZ,Bellevue,3146477.0,,Safeway,,Labenek,Lab48,e4a 1r2,
1.0,U,346.0,2.0,0.0,S,United States of America,,Saskatchewan,2803 clearwater north,104172.0,1-155-441-3579,kishore,Dover,495277.0,,Simon Property Group,Y,laferriere,laf49,H7G 1V4,58.0
0.0,O,342.0,3.0,0.0,M,United States of America,,WA,11103 BISSONNET WEST,65550.0,,Nelleke,Fullerton,746904.0,,Trinity Industries,I,Norment,Nor50,85039,52.0
2.0,R,563.0,0.0,8.0,M,Canada,,OH,4652 outervale lane,,1-544-132-7237,sibby,Denver,1219620.0,,Solutia,,hagar,hag51,v6m 1q3,91.0
2.0,O,391.0,3.0,4.0,M,United States of America,m,WY,341 dunbar west,,1-821-089-2089,ericha,Dallas,1718910.0,,,,Betcher,Bet52,X7j 1r1,17.0
4.0,O,381.0,4.0,8.0,S,United States of America,m,NJ,16176 vernon drive,66244.0,1-135-391-9787,Janson,San Jose,,,A.O. Smith,,Van der,Van53,B8b 1z5,6.0
0.0,U,539.0,3.0,9.0,S,United States of America,F,ND,23131 clint way,426954.0,1-776-182-6215,Dorotea,Bellevue,2636424.0,,AptarGroup,,O'LEARY,O'L54,t5d 1v4,89.0
5.0,O,497.0,4.0,0.0,M,United States of America,m,NC,11640 baltic upper,126891.0,1-079-780-7761,Denice,San Buenaventura,1326305.0,,Coca-Cola,,anderson,and55,V6t 1r2,99.0
4.0,O,661.0,2.0,,M,Canada,,WV,20796 dolores drive,454196.0,1-504-346-4393,Myron,St. Louis,2241997.0,,Kimberly-Clark,,starks,sta56,91177,77.0
5.0,R,558.0,3.0,0.0,S,United States of America,,GA,14359 COMMERCE WEST,163940.0,1-985-538-4351,Barby,Pueblo,1542891.0,Apt. 275,Visteon,,CHASSE,CHA57,T5c 1t1,
,O,534.0,1.0,,W,Canada,R,Ontario,21448 hampton boulevard,365213.0,1-254-097-9398,Ariella,Regina,797918.0,,TECO Energy,,ASING,ASI58,35862,90.0
0.0,U,373.0,0.0,6.0,M,United States of America,f,MA,7637 pershing way,428739.0,1-545-924-9552,ADEY,Saskatoon,347654.0,,Bemis,,askins,ask59,96820,82.0
4.0,O,382.0,0.0,8.0,M,United States of America,,CA,11529 arcana boulevard,142444.0,1-984-233-8818,GAYEL,Jackson,2456397.0,,Wyeth,K,Kikuta,Kik60,75238,
3.0,O,475.0,3.0,10.0,S,United States of America,F,SD,2700 windwood north,416168.0,1-528-691-1642,Man,St. Petersburg,1284229.0,,United Technologies,,Chane,Cha61,85769,15.0
2.0,O,539.0,0.0,3.0,D,United States of America,m,Saskatchewan,22279 gramercy road,291420.0,,Klara,Scottsdale,618787.0,,Clorox,U,KILLEN,KIL62,H5i 1o9,
4.0,O,711.0,5.0,6.0,M,United States of America,f,RI,9828 west east,413501.0,1-171-807-8213,Abdalla,Charlotte,1171606.0,,Discovery Communications,,kinley,kin63,90849,96.0
4.0,O,606.0,,1.0,M,United States of America,,NC,5935 mcafee park,,1-056-241-7009,bal,Waterbury,3983261.0,,Williams-Sonoma,,MALAHER,MAL64,43644,38.0
3.0,O,494.0,3.0,0.0,W,United States of America,,SD,12460 CLAYTON STREET,419143.0,1-389-414-0570,Romy,Chesapeake,2328568.0,,Manitowoc,J,Odum,Odu65,99213,10.0
1.0,O,309.0,5.0,3.0,M,United States of America,,IL,275 3rd drive,155057.0,1-583-542-1656,KORAL,Hialeah,2078600.0,,Henry Schein,,DI NINNO,DI 66,72226,72.0
2.0,O,630.0,5.0,3.0,M,United States of America,,OR,6907 FERNCLIFF CRESCENT,313859.0,1-269-712-0672,YUKIHIKO,Charleston,2986155.0,,Trinity Industries,K,STUBBLEFIELD,STU67,V6Z 1Q9,97.0
4.0,O,330.0,1.0,10.0,S,United States of America,,Ontario,885 crosby lane,265907.0,1-670-102-0463,Khanh,Salem,1864039.0,,Pepsi Bottling,,HAMBALI,HAM68,20082,48.0
,O,710.0,0.0,9.0,S,Canada,m,FL,2344 kalani west,283481.0,1-699-726-3895,Darnell,Sacramento,1293721.0,,UGI,,LIBRARIAN,LIB69,35827,97.0
4.0,R,475.0,0.0,7.0,M,United States of America,M,NM,22870 LA CIENEGA STREET,200635.0,1-640-666-2876,feridoun,Santa Clarita,3850114.0,,Greif,,ohsone,ohs70,99692,73.0
0.0,O,596.0,1.0,3.0,U,United States of America,,NE,8478 green avenue,434519.0,1-540-639-1311,Magdy,Sherbrooke,1618743.0,APT. 143,Equifax,O,HUMMEL,HUM71,V6c 1q5,71.0
5.0,O,670.0,1.0,9.0,W,United States of America,,MI,23639 purdue rue,392315.0,1-285-874-8492,jiri,Colorado Springs,3383487.0,,,,BRADD,BRA72,80158,93.0
5.0,O,722.0,3.0,,U,United States of America,,New Brunswick,19202 ansley park,493829.0,1-121-904-0040,AILA,Berkeley,2981876.0,,Freescale Semiconductor,X,Boarder,Boa73,t6d 1b6,53.0
3.0,O,587.0,2.0,7.0,U,United States of America,,NJ,11319 devonshire rue,97489.0,1-017-842-3201,Vincenzo,San Buenaventura,2109339.0,,Aleris International,,Mcnally,Mcn74,33120,32.0
4.0,O,609.0,3.0,4.0,S,United States of America,F,ND,23665 deerwood park,,1-215-859-3206,Minnnie,New Haven,791803.0,,,,MARKOVICH,MAR75,99742,1.0
0.0,O,401.0,1.0,7.0,S,United States of America,f,Saskatchewan,4855 union north,383046.0,1-764-520-7470,alfonzo,Shreveport,3523678.0,,World Fuel Services,,Willekes,Wil76,V6N 1T1,39.0
4.0,,335.0,0.0,0.0,M,United States of America,m,KS,9466 SHADOWBRIAR WEST,1190.0,1-414-130-0162,Swandi,Lansing,1681902.0,,R.R. Donnelley & Sons,S,Deacetis,Dea77,44104,77.0
5.0,O,569.0,5.0,7.0,U,United States of America,,SD,3504 regency avenue,85733.0,1-970-240-9990,Anya,Pembroke Pines,3851455.0,,Brinker International,,Houk,Hou78,14605,18.0
0.0,R,,2.0,9.0,M,Canada,,FL,7281 northland lower,387890.0,1-408-684-6459,Enrika,Palmdale,2339382.0,,Temple-Inland,,Goyette,Goy79,80076,70.0
2.0,O,679.0,0.0,7.0,S,United States of America,f,Saskatchewan,12481 hayden lower,16808.0,1-330-353-5908,SONJA,Savannah,,,Psychiatric Solutions,Z,Mok-fung,Mok80,V6I 1V6,26.0
,,356.0,4.0,10.0,M,United States of America,,FL,2328 gracie avenue,304589.0,1-766-726-2675,Liem,Amarillo,2065016.0,,Nash-Finch,I,Rundle,Run81,97307,
2.0,R,308.0,5.0,9.0,S,United States of America,o,UT,4737 campbell street,48506.0,1-938-425-7509,COLLETTE,Anchorage,2454049.0,,AMR,,BELLEY,BEL82,46237,58.0
0.0,O,412.0,4.0,4.0,M,United States of America,,WY,2401 stratmore lower,,1-527-308-8874,SIAMACK,Louisville,2423395.0,,Spartan Stores,Y,BAER,BAE83,V6B 1S6,43.0
2.0,O,618.0,3.0,4.0,D,United States of America,f,NH,21477 JUNIPER CRESCENT,358862.0,1-810-590-0635,Toshihiro,Hilo,1342045.0,,Cigna,,MAULDIN,MAU84,H2d 1x1,65.0
5.0,O,429.0,3.0,5.0,S,United States of America,,AR,19214 YAUPON BOULEVARD,477614.0,1-274-548-2512,Casey,Sudbury,861756.0,,General Cable,,Koohgoli,Koo85,95108,24.0
3.0,O,819.0,1.0,3.0,S,United States of America,,CT,7785 rusk boulevard,175414.0,1-649-754-4601,Daryn,Orlando,1215349.0,,Dun & Bradstreet,,Lauriston,Lau86,80050,79.0
0.0,O,552.0,1.0,7.0,M,Canada,F,VT,18002 cantrell upper,427598.0,1-905-932-1785,Adrianna,Missoula,3981554.0,,Casey's General Stores,L,Mangum,Man87,90122,48.0
0.0,O,587.0,4.0,9.0,S,United States of America,,Manitoba,23341 brookside upper,368207.0,1-031-004-7697,Cortney,Abilene,3865937.0,,Jack in the Box,,PIERCY,PIE88,43614,69.0
3.0,O,304.0,1.0,6.0,S,United States of America,M,NJ,20494 ROSS WEST,449944.0,1-994-812-4796,Duane,Saskatoon,2804700.0,,Assurant,,Buscaglia,Bus89,61110,91.0
5.0,U,795.0,5.0,4.0,,United States of America,,KY,17552 SAVANNAH NORTH,166247.0,1-176-513-4041,Tele,Irvine,3283558.0,,Psychiatric Solutions,,BABIONE,BAB90,70174,75.0
1.0,O,830.0,3.0,2.0,S,United States of America,M,GA,4462 pace crescent,391165.0,1-072-244-6337,Ophelia,Reno,450524.0,APT. 373,Danaher,,Burkard,Bur91,90324,85.0
5.0,R,709.0,3.0,3.0,M,United States of America,,NJ,7161 tallowood upper,165854.0,1-924-669-9328,lorine,Sacramento,,,Clorox,,Kinsella,Kin92,s7d 1n1,76.0
2.0,O,493.0,1.0,8.0,S,United States of America,,SC,3489 silver sage west,326181.0,1-598-488-3541,Viole,Topeka,,,Boyd Gaming,,POMMAINVILLE,POM93,93829,68.0
3.0,O,680.0,,,M,United States of America,M,TN,12481 hayden lower,173387.0,1-295-539-3868,Nani,Rancho Cucamonga,633760.0,,Eaton,,BOATWRIGHT,BOA94,89116,95.0
1.0,R,800.0,5.0,,M,United States of America,,WY,13210 3RD DRIVE,301127.0,1-554-020-0267,cherey,Hilo,3634954.0,,Dynegy,R,Ronald,Ron95,94315,15.0
1.0,R,614.0,5.0,4.0,M,United States of America,,Ontario,8899 starling lane,487230.0,1-793-621-4566,Redgie,Saint John,799268.0,,AmeriCredit,A,weihs,wei96,T5b 1u9,17.0
4.0,R,763.0,0.0,6.0,,Canada,M,DC,11480 fennel south,425747.0,1-787-267-4261,Yousef,Torrance,39093.0,,SLM,P,Helpb,Hel97,T6b 1a5,94.0
4.0,O,561.0,4.0,3.0,S,United States of America,m,Alberta,7266 cherry upper,401946.0,1-668-247-1597,Damaris,Santa Clara,2705353.0,,NV Energy,,moghe,mog98,60699,70.0
1.0,O,569.0,2.0,4.0,S,United States of America,,ME,10678 ENGLEWOOD WEST,425422.0,1-901-346-8890,Ilyssa,Torrance,3565153.0,,Landstar System,,bozicevich,boz99,V6p 1s8,29.0
4.0,O,634.0,1.0,5.0,M,United States of America,,MA,21181 2ND RUE,208890.0,1-451-273-3803,Moselle,Stockton,2832204.0,,Pacific Life,R,Zaharychuk,Zah100,v6i 1p1,52.0
5.0,O,488.0,3.0,10.0,U,United States of America,F,NV,22963 hanover road,67880.0,1-129-499-9136,Dulsea,Paterson,2194345.0,,Textron,,Andric,And101,79423,51.0
2.0,O,788.0,3.0,5.0,W,Canada,,WA,8268 cliffbrook boulevard,133412.0,1-899-319-0772,Lyndsie,Mesa,3737140.0,,Pfizer,L,Bamfo,Bam102,H5j 1o6,24.0
3.0,O,333.0,4.0,8.0,D,United States of America,,WY,5118 montview court,144829.0,1-053-396-0441,KESLEY,Anchorage,464753.0,,Cigna,,frondozo,fro103,93761,98.0
1.0,U,601.0,1.0,,M,United States of America,,NJ,17442 tallowood upper,,1-239-665-9540,LAUREL,Miami,596696.0,,Ameren,J,Caron,Car104,76150,59.0
3.0,O,595.0,4.0,2.0,U,Canada,f,LA,4038 WEDGEWOOD STREET,143682.0,1-605-888-3403,Steen,Great Falls,1504753.0,,Consolidated Edison,V,muchow,muc105,99717,49.0
0.0,O,433.0,1.0,10.0,U,United States of America,,TX,20334 anaconda avenue,350020.0,1-630-604-2543,noel,Erie,3049281.0,,Occidental Petroleum,,gateau,gat106,60608,1.0
0.0,O,403.0,,10.0,U,United States of America,F,SC,5385 young west,435103.0,1-851-862-7928,Tracey,Hollywood,247478.0,,Sherwin-Williams,M,Schaefer,Sch107,v6w 1u4,79.0
1.0,R,615.0,5.0,3.0,,United States of America,,TX,2747 SINCLAIR LANE,207768.0,1-065-415-5724,Sarajane,Tulsa,2750301.0,,Affiliated Computer Services,,pomerleau,pom108,T5b 1t6,6.0
0.0,O,735.0,4.0,1.0,M,United States of America,F,MN,8622 BROWNWAY PARK,407512.0,1-408-512-1007,Geoffrey,Tucson,721333.0,,Valassis Communications,K,cucuzzella,cuc109,23298,70.0
3.0,O,668.0,0.0,1.0,S,United States of America,q,ID,18048 GREEN NORTH,403366.0,1-083-902-4184,loralyn,Anchorage,669440.0,,,Z,SUGARMAN,SUG110,32803,23.0
3.0,O,349.0,5.0,,M,Canada,,MI,18994 country boulevard,384095.0,1-568-403-7081,andrei,Sandy,2473979.0,,Smithfield Foods,,Pepe,Pep111,64122,78.0
4.0,,654.0,,,S,United States of America,f,OK,16063 ashland road,288969.0,1-824-389-0618,javad,Boston,3545170.0,SUITE 7,,,Chandrashekar,Cha112,T6b 1h2,79.0
2.0,O,361.0,3.0,6.0,U,United States of America,m,UT,19309 mcfarlin north,233665.0,1-174-210-2058,Karna,Vancouver,1494871.0,Apt. 971,TD Ameritrade,U,SEIFERS,SEI113,22222,72.0
4.0,U,427.0,0.0,1.0,S,Canada,F,PA,2454 cliffbrook west,147236.0,1-425-503-7952,Jocelyn,Akron,436164.0,,Comerica,S,GARTLEY,GAR114,T6a 1d2,31.0
0.0,O,322.0,3.0,1.0,W,United States of America,M,New Brunswick,15865 strand west,452557.0,1-012-389-9089,Elvera,Lancaster,1069481.0,,Steel Dynamics,,Touchette,Tou115,v5d 1n9,86.0
2.0,R,792.0,0.0,9.0,S,United States of America,M,UT,13776 east boulevard,179305.0,1-909-472-6704,Nessy,Concord,,,Coca-Cola Enterprises,V,Kurdziel,Kur116,23321,
3.0,O,478.0,0.0,2.0,U,Canada,,VA,10570 WEIZMANN LOWER,205817.0,1-622-167-5411,lona,Chesapeake,2957261.0,,News Corp.,,Herod,Her117,90505,87.0
,O,477.0,5.0,1.0,M,United States of America,,NH,15278 walnut hill road,262711.0,1-164-511-9338,RHEA,Flint,228459.0,,,P,MCVICAR,MCV118,19066,92.0
1.0,O,449.0,5.0,6.0,M,Canada,F,VT,23007 WAKEFOREST WAY,84810.0,1-804-532-9163,Josefa,Chattanooga,67267.0,,Stater Bros. Holdings,,LABFIVE,LAB119,v6s 1r3,4.0
2.0,O,466.0,4.0,2.0,U,United States of America,,FL,9088 rivas way,96441.0,1-197-370-0297,alikee,Billings,1087978.0,,BorgWarner,,butta,but120,78769,8.0
0.0,O,483.0,5.0,2.0,M,United States of America,m,NC,18798 ullrich road,462762.0,1-337-042-5687,dolorita,Scottsdale,3885967.0,,CB Richard Ellis Group,,Projects,Pro121,53769,97.0
5.0,O,588.0,4.0,4.0,D,United States of America,,VA,18517 HULEN LOWER,141890.0,1-056-138-5321,Marilyn,Oshawa,3271101.0,,Zimmer Holdings,,Irc,Irc122,H7E 1U6,
5.0,O,313.0,5.0,2.0,,Canada,,DC,11474 dodd lane,156610.0,1-776-191-2031,robertson,Naperville,,,Mohawk Industries,G,Zivkovic,Ziv123,e7o 1k1,40.0
1.0,R,647.0,4.0,1.0,U,United States of America,,NC,9375 wood south,164752.0,1-280-696-2706,Ilsa,Tampa,1999133.0,,Berkshire Hathaway,H,simser,sim124,90374,95.0
1.0,O,430.0,5.0,2.0,S,United States of America,,MS,20479 wise avenue,278949.0,1-857-581-6346,Pen,Jackson,1100786.0,,Saks,I,keifer,kei125,63169,92.0
0.0,O,467.0,5.0,8.0,W,United States of America,f,SC,19918 ROGERS NORTH,,,AUBRETTE,Hay River,563992.0,,Gardner Denver,P,arvin,arv126,16515,67.0
3.0,O,399.0,2.0,7.0,M,United States of America,F,KS,9284 coffey lower,463736.0,1-716-343-0884,Cole,Irvine,962397.0,,Hasbro,,Praeuner,Pra127,85309,24.0
2.0,O,654.0,3.0,5.0,M,United States of America,m,VT,2929 north crescent,,1-101-776-2496,liva,Idaho Falls,1064169.0,,CBS,C,lue,lue128,92158,26.0
2.0,O,378.0,0.0,3.0,S,United States of America,f,IL,15404 queen street,86667.0,1-769-028-0589,Ayaz,Moreno Valley,2100059.0,,Synnex,,Przybycien,Prz129,33152,62.0
5.0,O,338.0,1.0,10.0,W,United States of America,f,FL,1619 greenspoint road,193470.0,1-005-833-8970,YETTY,Ontario,99025.0,,Belden,J,penn,pen130,83729,37.0
5.0,R,695.0,0.0,10.0,S,United States of America,,MI,21477 WARREN PARK,406379.0,1-884-215-4243,Mary-michelle,Concord,3865481.0,,Broadcom,S,Guay,Gua131,B8b 1z6,71.0
1.0,U,614.0,3.0,7.0,M,Canada,F,Newfoundland,6503 ROBBINS STREET,480595.0,,agretha,Phoenix,804544.0,,Reynolds American,,brennand,bre132,53717,29.0
4.0,O,307.0,5.0,7.0,S,United States of America,f,ME,3958 GLEN LOCH BOULEVARD,181718.0,1-725-177-7815,LOTTY,Coral Springs,3143356.0,,Wells Fargo,X,Savanh,Sav133,t5c 1w7,89.0
0.0,O,331.0,3.0,2.0,M,United States of America,,AL,13640 ethridge lower,468310.0,1-277-496-5396,Kassey,Oxnard,,,Retail Ventures,Z,ABBATANTUONO,ABB134,37245,11.0
2.0,O,638.0,0.0,2.0,S,United States of America,M,IN,3981 imperial lower,354987.0,1-756-463-2201,Adria,Brownsville,2311953.0,,AT&T,N,OP,OP135,94401,20.0
3.0,O,703.0,5.0,3.0,W,Canada,,NH,13210 3rd drive,284539.0,1-261-338-7463,audivox,Memphis,3120608.0,,Wynn Resorts,,Mersinger,Mer136,B8a 1y3,75.0
0.0,O,302.0,5.0,7.0,S,United States of America,F,DC,9297 THROCKMORTON SOUTH,213725.0,1-811-086-4675,SUE,Flint,2058270.0,,Eastman Kodak,,rutt,rut137,t6b 1k2,95.0
2.0,O,522.0,3.0,,U,United States of America,,DC,8935 YOUNG UPPER,74195.0,1-338-771-1185,Lorenza,Lafayette,1511983.0,,Aramark,I,bemis,bem138,85306,0.0
5.0,O,,1.0,,M,United States of America,,MD,3797 RUTGERS PARK,169295.0,1-554-231-5318,Enzo,Greensboro,439080.0,,ENSCO International,,Pennington,Pen139,V6R 1R7,73.0
1.0,R,833.0,0.0,5.0,W,United States of America,M,Prince Edward Island,8285 tamarind crescent,307832.0,1-733-886-5227,claudina,Sterling Heights,921255.0,,Auto-Owners Insurance,Y,torok,tor140,68513,39.0
