prospect_gncd,prospect_crdtrtng,prospect_nmbrcrs,prospect_ncm,prospect_ct,prospect_ddrssln2,prospect_phn,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
don23,367.0,4.0,,Colorado Springs,,1-995-554-5056,0.0,,5.0,U,Illinois Tool Works,5.0,2231509.0
Gia24,507.0,1.0,252031.0,Fontana,,1-090-303-3807,5.0,M,23.0,O,Southern Union,1.0,3206409.0
SPR25,362.0,3.0,101800.0,St. Catharines,,1-492-968-0932,1.0,M,61.0,O,Moog,9.0,3850037.0
SKA26,527.0,0.0,436977.0,Hayward,,1-960-227-2020,1.0,D,,O,Old Republic International,7.0,528440.0
Gar27,354.0,0.0,495334.0,Palmdale,,1-431-122-8597,,S,51.0,O,,0.0,597140.0
Dor28,511.0,1.0,274685.0,Phoenix,,1-822-836-7200,1.0,M,97.0,O,Great Plains Energy,1.0,146931.0
DIO29,412.0,2.0,320820.0,Gary,,1-530-117-0497,2.0,,52.0,,Broadcom,7.0,353495.0
Mer30,583.0,4.0,195835.0,Beaumont,,1-051-257-2719,0.0,S,98.0,O,Discover Financial Services,1.0,295647.0
Atc31,710.0,5.0,108085.0,Nashua,,1-171-989-1363,3.0,U,47.0,O,UAL,5.0,408941.0
Pla32,380.0,2.0,260185.0,San Jose,,1-042-705-3246,1.0,M,47.0,O,Charles Schwab,9.0,362523.0
SEL33,796.0,0.0,258323.0,Nashua,,1-098-328-2026,0.0,M,9.0,R,Coach,2.0,2102359.0
sha34,818.0,1.0,79476.0,Fort Smith,,1-209-754-5635,3.0,M,85.0,U,DaVita,2.0,3480265.0
MER35,766.0,5.0,102156.0,Lancaster,,1-498-781-3456,3.0,M,81.0,U,Marshall & Ilsley Corp.,3.0,3648900.0
con36,359.0,2.0,221481.0,Colorado Springs,,1-615-241-0440,3.0,M,0.0,O,Cablevision Systems,2.0,1161790.0
ons37,401.0,1.0,41836.0,Washington,,1-995-449-5200,5.0,S,28.0,R,Barnes & Noble,2.0,2050587.0
Sum38,609.0,1.0,72389.0,Lowell,,1-295-673-4452,1.0,U,65.0,O,EMC,0.0,3579198.0
gro39,630.0,3.0,66486.0,Frederick,,1-914-675-2986,0.0,S,20.0,O,Fluor,2.0,889494.0
dil40,671.0,3.0,200185.0,Mesa,Apt. 382,,1.0,M,55.0,O,Dollar General,9.0,2205682.0
DOL41,715.0,0.0,289215.0,Lakewood,,1-825-739-0336,2.0,U,76.0,O,Lear,10.0,1140117.0
Pos42,707.0,4.0,322484.0,Cleveland,,1-956-713-3802,1.0,M,1.0,O,J.P. Morgan Chase & Co.,9.0,1421319.0
Mac43,329.0,4.0,83458.0,Grand Rapids,,1-814-932-1579,2.0,M,3.0,O,Affinia Group Intermediate,0.0,3525204.0
che44,601.0,0.0,,Peoria,,1-135-443-7282,3.0,D,100.0,R,,8.0,468976.0
hol45,623.0,5.0,492407.0,Inglewood,,1-720-975-0667,1.0,W,81.0,O,Goldman Sachs Group,2.0,1685443.0
pfi46,376.0,4.0,346630.0,Akron,,1-871-598-3505,4.0,S,76.0,O,E*Trade Financial,2.0,337564.0
elk47,560.0,1.0,9572.0,Charlottetown,,1-607-222-4809,3.0,W,51.0,O,Pfizer,0.0,84777.0
Lab48,693.0,1.0,265369.0,Bellevue,,1-965-046-0642,5.0,,,O,Safeway,4.0,3146477.0
laf49,346.0,1.0,104172.0,Dover,,1-155-441-3579,2.0,S,58.0,U,Simon Property Group,0.0,495277.0
Nor50,342.0,0.0,65550.0,Fullerton,,,3.0,M,52.0,O,Trinity Industries,0.0,746904.0
hag51,563.0,2.0,,Denver,,1-544-132-7237,0.0,M,91.0,R,Solutia,8.0,1219620.0
Bet52,391.0,2.0,,Dallas,,1-821-089-2089,3.0,M,17.0,O,,4.0,1718910.0
Van53,381.0,4.0,66244.0,San Jose,,1-135-391-9787,4.0,S,6.0,O,A.O. Smith,8.0,
O'L54,539.0,0.0,426954.0,Bellevue,,1-776-182-6215,3.0,S,89.0,U,AptarGroup,9.0,2636424.0
and55,497.0,5.0,126891.0,San Buenaventura,,1-079-780-7761,4.0,M,99.0,O,Coca-Cola,0.0,1326305.0
sta56,661.0,4.0,454196.0,St. Louis,,1-504-346-4393,2.0,M,77.0,O,Kimberly-Clark,,2241997.0
CHA57,558.0,5.0,163940.0,Pueblo,Apt. 275,1-985-538-4351,3.0,S,,R,Visteon,0.0,1542891.0
ASI58,534.0,,365213.0,Regina,,1-254-097-9398,1.0,W,90.0,O,TECO Energy,,797918.0
ask59,373.0,0.0,428739.0,Saskatoon,,1-545-924-9552,0.0,M,82.0,U,Bemis,6.0,347654.0
Kik60,382.0,4.0,142444.0,Jackson,,1-984-233-8818,0.0,M,,O,Wyeth,8.0,2456397.0
Cha61,475.0,3.0,416168.0,St. Petersburg,,1-528-691-1642,3.0,S,15.0,O,United Technologies,10.0,1284229.0
KIL62,539.0,2.0,291420.0,Scottsdale,,,0.0,D,,O,Clorox,3.0,618787.0
kin63,711.0,4.0,413501.0,Charlotte,,1-171-807-8213,5.0,M,96.0,O,Discovery Communications,6.0,1171606.0
MAL64,606.0,4.0,,Waterbury,,1-056-241-7009,,M,38.0,O,Williams-Sonoma,1.0,3983261.0
Odu65,494.0,3.0,419143.0,Chesapeake,,1-389-414-0570,3.0,W,10.0,O,Manitowoc,0.0,2328568.0
DI 66,309.0,1.0,155057.0,Hialeah,,1-583-542-1656,5.0,M,72.0,O,Henry Schein,3.0,2078600.0
STU67,630.0,2.0,313859.0,Charleston,,1-269-712-0672,5.0,M,97.0,O,Trinity Industries,3.0,2986155.0
HAM68,330.0,4.0,265907.0,Salem,,1-670-102-0463,1.0,S,48.0,O,Pepsi Bottling,10.0,1864039.0
LIB69,710.0,,283481.0,Sacramento,,1-699-726-3895,0.0,S,97.0,O,UGI,9.0,1293721.0
ohs70,475.0,4.0,200635.0,Santa Clarita,,1-640-666-2876,0.0,M,73.0,R,Greif,7.0,3850114.0
HUM71,596.0,0.0,434519.0,Sherbrooke,APT. 143,1-540-639-1311,1.0,U,71.0,O,Equifax,3.0,1618743.0
BRA72,670.0,5.0,392315.0,Colorado Springs,,1-285-874-8492,1.0,W,93.0,O,,9.0,3383487.0
Boa73,722.0,5.0,493829.0,Berkeley,,1-121-904-0040,3.0,U,53.0,O,Freescale Semiconductor,,2981876.0
Mcn74,587.0,3.0,97489.0,San Buenaventura,,1-017-842-3201,2.0,U,32.0,O,Aleris International,7.0,2109339.0
MAR75,609.0,4.0,,New Haven,,1-215-859-3206,3.0,S,1.0,O,,4.0,791803.0
Wil76,401.0,0.0,383046.0,Shreveport,,1-764-520-7470,1.0,S,39.0,O,World Fuel Services,7.0,3523678.0
Dea77,335.0,4.0,1190.0,Lansing,,1-414-130-0162,0.0,M,77.0,,R.R. Donnelley & Sons,0.0,1681902.0
Hou78,569.0,5.0,85733.0,Pembroke Pines,,1-970-240-9990,5.0,U,18.0,O,Brinker International,7.0,3851455.0
Goy79,,0.0,387890.0,Palmdale,,1-408-684-6459,2.0,M,70.0,R,Temple-Inland,9.0,2339382.0
Mok80,679.0,2.0,16808.0,Savannah,,1-330-353-5908,0.0,S,26.0,O,Psychiatric Solutions,7.0,
Run81,356.0,,304589.0,Amarillo,,1-766-726-2675,4.0,M,,,Nash-Finch,10.0,2065016.0
BEL82,308.0,2.0,48506.0,Anchorage,,1-938-425-7509,5.0,S,58.0,R,AMR,9.0,2454049.0
BAE83,412.0,0.0,,Louisville,,1-527-308-8874,4.0,M,43.0,O,Spartan Stores,4.0,2423395.0
MAU84,618.0,2.0,358862.0,Hilo,,1-810-590-0635,3.0,D,65.0,O,Cigna,4.0,1342045.0
Koo85,429.0,5.0,477614.0,Sudbury,,1-274-548-2512,3.0,S,24.0,O,General Cable,5.0,861756.0
Lau86,819.0,3.0,175414.0,Orlando,,1-649-754-4601,1.0,S,79.0,O,Dun & Bradstreet,3.0,1215349.0
Man87,552.0,0.0,427598.0,Missoula,,1-905-932-1785,1.0,M,48.0,O,Casey's General Stores,7.0,3981554.0
PIE88,587.0,0.0,368207.0,Abilene,,1-031-004-7697,4.0,S,69.0,O,Jack in the Box,9.0,3865937.0
Bus89,304.0,3.0,449944.0,Saskatoon,,1-994-812-4796,1.0,S,91.0,O,Assurant,6.0,2804700.0
BAB90,795.0,5.0,166247.0,Irvine,,1-176-513-4041,5.0,,75.0,U,Psychiatric Solutions,4.0,3283558.0
Bur91,830.0,1.0,391165.0,Reno,APT. 373,1-072-244-6337,3.0,S,85.0,O,Danaher,2.0,450524.0
Kin92,709.0,5.0,165854.0,Sacramento,,1-924-669-9328,3.0,M,76.0,R,Clorox,3.0,
POM93,493.0,2.0,326181.0,Topeka,,1-598-488-3541,1.0,S,68.0,O,Boyd Gaming,8.0,
BOA94,680.0,3.0,173387.0,Rancho Cucamonga,,1-295-539-3868,,M,95.0,O,Eaton,,633760.0
Ron95,800.0,1.0,301127.0,Hilo,,1-554-020-0267,5.0,M,15.0,R,Dynegy,,3634954.0
wei96,614.0,1.0,487230.0,Saint John,,1-793-621-4566,5.0,M,17.0,R,AmeriCredit,4.0,799268.0
Hel97,763.0,4.0,425747.0,Torrance,,1-787-267-4261,0.0,,94.0,R,SLM,6.0,39093.0
mog98,561.0,4.0,401946.0,Santa Clara,,1-668-247-1597,4.0,S,70.0,O,NV Energy,3.0,2705353.0
boz99,569.0,1.0,425422.0,Torrance,,1-901-346-8890,2.0,S,29.0,O,Landstar System,4.0,3565153.0
Zah100,634.0,4.0,208890.0,Stockton,,1-451-273-3803,1.0,M,52.0,O,Pacific Life,5.0,2832204.0
And101,488.0,5.0,67880.0,Paterson,,1-129-499-9136,3.0,U,51.0,O,Textron,10.0,2194345.0
Bam102,788.0,2.0,133412.0,Mesa,,1-899-319-0772,3.0,W,24.0,O,Pfizer,5.0,3737140.0
fro103,333.0,3.0,144829.0,Anchorage,,1-053-396-0441,4.0,D,98.0,O,Cigna,8.0,464753.0
Car104,601.0,1.0,,Miami,,1-239-665-9540,1.0,M,59.0,U,Ameren,,596696.0
muc105,595.0,3.0,143682.0,Great Falls,,1-605-888-3403,4.0,U,49.0,O,Consolidated Edison,2.0,1504753.0
gat106,433.0,0.0,350020.0,Erie,,1-630-604-2543,1.0,U,1.0,O,Occidental Petroleum,10.0,3049281.0
Sch107,403.0,0.0,435103.0,Hollywood,,1-851-862-7928,,U,79.0,O,Sherwin-Williams,10.0,247478.0
pom108,615.0,1.0,207768.0,Tulsa,,1-065-415-5724,5.0,,6.0,R,Affiliated Computer Services,3.0,2750301.0
cuc109,735.0,0.0,407512.0,Tucson,,1-408-512-1007,4.0,M,70.0,O,Valassis Communications,1.0,721333.0
SUG110,668.0,3.0,403366.0,Anchorage,,1-083-902-4184,0.0,S,23.0,O,,1.0,669440.0
Pep111,349.0,3.0,384095.0,Sandy,,1-568-403-7081,5.0,M,78.0,O,Smithfield Foods,,2473979.0
Cha112,654.0,4.0,288969.0,Boston,SUITE 7,1-824-389-0618,,S,79.0,,,,3545170.0
SEI113,361.0,2.0,233665.0,Vancouver,Apt. 971,1-174-210-2058,3.0,U,72.0,O,TD Ameritrade,6.0,1494871.0
GAR114,427.0,4.0,147236.0,Akron,,1-425-503-7952,0.0,S,31.0,U,Comerica,1.0,436164.0
Tou115,322.0,0.0,452557.0,Lancaster,,1-012-389-9089,3.0,W,86.0,O,Steel Dynamics,1.0,1069481.0
Kur116,792.0,2.0,179305.0,Concord,,1-909-472-6704,0.0,S,,R,Coca-Cola Enterprises,9.0,
Her117,478.0,3.0,205817.0,Chesapeake,,1-622-167-5411,0.0,U,87.0,O,News Corp.,2.0,2957261.0
MCV118,477.0,,262711.0,Flint,,1-164-511-9338,5.0,M,92.0,O,,1.0,228459.0
LAB119,449.0,1.0,84810.0,Chattanooga,,1-804-532-9163,5.0,M,4.0,O,Stater Bros. Holdings,6.0,67267.0
but120,466.0,2.0,96441.0,Billings,,1-197-370-0297,4.0,U,8.0,O,BorgWarner,2.0,1087978.0
Pro121,483.0,0.0,462762.0,Scottsdale,,1-337-042-5687,5.0,M,97.0,O,CB Richard Ellis Group,2.0,3885967.0
Irc122,588.0,5.0,141890.0,Oshawa,,1-056-138-5321,4.0,D,,O,Zimmer Holdings,4.0,3271101.0
Ziv123,313.0,5.0,156610.0,Naperville,,1-776-191-2031,5.0,,40.0,O,Mohawk Industries,2.0,
sim124,647.0,1.0,164752.0,Tampa,,1-280-696-2706,4.0,U,95.0,R,Berkshire Hathaway,1.0,1999133.0
kei125,430.0,1.0,278949.0,Jackson,,1-857-581-6346,5.0,S,92.0,O,Saks,2.0,1100786.0
arv126,467.0,0.0,,Hay River,,,5.0,W,67.0,O,Gardner Denver,8.0,563992.0
Pra127,399.0,3.0,463736.0,Irvine,,1-716-343-0884,2.0,M,24.0,O,Hasbro,7.0,962397.0
lue128,654.0,2.0,,Idaho Falls,,1-101-776-2496,3.0,M,26.0,O,CBS,5.0,1064169.0
Prz129,378.0,2.0,86667.0,Moreno Valley,,1-769-028-0589,0.0,S,62.0,O,Synnex,3.0,2100059.0
pen130,338.0,5.0,193470.0,Ontario,,1-005-833-8970,1.0,W,37.0,O,Belden,10.0,99025.0
Gua131,695.0,5.0,406379.0,Concord,,1-884-215-4243,0.0,S,71.0,R,Broadcom,10.0,3865481.0
bre132,614.0,1.0,480595.0,Phoenix,,,3.0,M,29.0,U,Reynolds American,7.0,804544.0
Sav133,307.0,4.0,181718.0,Coral Springs,,1-725-177-7815,5.0,S,89.0,O,Wells Fargo,7.0,3143356.0
ABB134,331.0,0.0,468310.0,Oxnard,,1-277-496-5396,3.0,M,11.0,O,Retail Ventures,2.0,
OP135,638.0,2.0,354987.0,Brownsville,,1-756-463-2201,0.0,S,20.0,O,AT&T,2.0,2311953.0
Mer136,703.0,3.0,284539.0,Memphis,,1-261-338-7463,5.0,W,75.0,O,Wynn Resorts,3.0,3120608.0
rut137,302.0,0.0,213725.0,Flint,,1-811-086-4675,5.0,S,95.0,O,Eastman Kodak,7.0,2058270.0
bem138,522.0,2.0,74195.0,Lafayette,,1-338-771-1185,3.0,U,0.0,O,Aramark,,1511983.0
Pen139,,5.0,169295.0,Greensboro,,1-554-231-5318,1.0,M,73.0,O,ENSCO International,,439080.0
tor140,833.0,1.0,307832.0,Sterling Heights,,1-733-886-5227,0.0,W,39.0,R,Auto-Owners Insurance,5.0,921255.0
law141,,1.0,20397.0,Costa Mesa,,1-267-357-1943,1.0,U,76.0,O,Bemis,2.0,3810365.0
Bee142,664.0,2.0,463094.0,Houston,Suite 397,1-602-756-7919,2.0,U,5.0,O,Securian Financial Group,6.0,2641938.0
sch143,789.0,4.0,331900.0,Bakersfield,,1-793-864-7010,1.0,U,65.0,O,Ford Motor,7.0,3857323.0
Wit144,803.0,5.0,8421.0,Chesapeake,,1-637-020-2921,0.0,S,94.0,U,ConAgra Foods,0.0,1636212.0
MER145,720.0,4.0,35780.0,Sandy,,1-428-797-6325,4.0,M,95.0,,Charter Communications,3.0,2999082.0
bia146,839.0,1.0,139897.0,Lewiston,,1-011-549-5618,0.0,M,28.0,R,Calpine,4.0,2280820.0
Swi147,621.0,4.0,414119.0,Elizabeth,SUITE 464,1-993-255-5481,1.0,D,76.0,O,Crane,0.0,1050866.0
bul148,628.0,5.0,234035.0,Sudbury,,1-487-749-4448,4.0,D,81.0,O,Textron,3.0,
TYR149,813.0,3.0,144405.0,Austin,,1-192-352-2184,5.0,W,38.0,O,Idearc,6.0,603001.0
Fyf150,367.0,5.0,55441.0,Salinas,,1-293-442-4224,3.0,W,25.0,R,Cabela's,3.0,3368239.0
Sic151,807.0,4.0,392869.0,Peoria,,1-078-502-6700,2.0,D,0.0,O,EOG Resources,10.0,1042629.0
CAS152,501.0,3.0,402416.0,Sydney,,1-430-909-3001,4.0,U,61.0,O,,8.0,1948746.0
Cho153,490.0,0.0,89984.0,San Antonio,,1-392-455-0895,2.0,U,3.0,O,Burlington Coat Factory,10.0,3113862.0
CHA154,321.0,2.0,395773.0,Oklahoma City,,1-273-921-9787,3.0,W,77.0,O,Southwest Airlines,3.0,2777290.0
bei155,,1.0,126662.0,Miami,,1-012-993-4538,0.0,U,8.0,R,RPM International,6.0,2210073.0
Ele156,446.0,4.0,132008.0,Yonkers,,1-890-859-4211,1.0,U,34.0,O,Amazon.com,7.0,1999684.0
o'g157,428.0,5.0,417218.0,Columbia,,1-080-032-3031,5.0,M,15.0,O,Neiman Marcus,2.0,2119678.0
Kat158,423.0,0.0,360063.0,Lubbock,,1-561-620-7173,0.0,S,66.0,O,Goldman Sachs Group,5.0,169808.0
Lui159,499.0,5.0,100516.0,Chattanooga,,1-017-439-0362,4.0,U,55.0,O,Boeing,6.0,1072732.0
Kla160,342.0,1.0,16814.0,Fargo,,1-248-539-6621,1.0,S,8.0,O,United Refining,7.0,2261442.0
Bru161,632.0,1.0,,Omaha,,1-611-789-5569,3.0,M,7.0,U,D.R. Horton,1.0,2234368.0
Apt162,525.0,3.0,315962.0,Yonkers,,1-023-151-8130,1.0,M,97.0,O,Jarden,6.0,575288.0
sch163,371.0,5.0,299268.0,Spokane,,1-005-574-3523,1.0,M,95.0,R,Systemax,9.0,1102479.0
Lan164,699.0,1.0,301490.0,Tulsa,,1-550-487-1571,3.0,U,92.0,O,Marriott International,4.0,2995388.0
Fus165,435.0,3.0,36052.0,Garden Grove,,1-280-494-1415,2.0,M,17.0,O,Expeditors International,8.0,1147193.0
Nev166,512.0,1.0,437483.0,Fort Lauderdale,,1-803-438-4141,4.0,U,81.0,U,Great Plains Energy,2.0,1136540.0
SHA167,552.0,5.0,152971.0,Philadelphia,,1-566-299-2351,,M,13.0,O,Danaher,6.0,1677669.0
Sau168,,0.0,449495.0,Sydney,,1-586-363-4189,2.0,M,78.0,O,,8.0,2160706.0
fri169,687.0,4.0,349827.0,Waterbury,,1-505-124-9029,1.0,M,78.0,O,Watson Wyatt Worldwide,5.0,2525665.0
fer170,433.0,3.0,9562.0,Tacoma,,1-897-996-9812,1.0,M,85.0,R,Yahoo,0.0,3517622.0
LAN171,746.0,1.0,24514.0,Charlottetown,,1-922-919-5858,2.0,U,68.0,,Convergys,7.0,
Bha172,405.0,0.0,407985.0,Independence,,1-326-572-2988,0.0,M,1.0,R,Celanese,9.0,97675.0
Jor173,805.0,5.0,,Escondido,,1-076-972-4311,5.0,M,83.0,O,Dana Holding,,
KNU174,819.0,4.0,257897.0,Lansing,,1-341-595-8408,4.0,M,78.0,O,XTO Energy,5.0,3569070.0
Ham175,648.0,0.0,261143.0,Anaheim,,,5.0,M,,O,Alliance Data Systems,0.0,1507616.0
MAU176,401.0,5.0,110615.0,Glendale,,1-536-952-5040,5.0,U,5.0,R,Franklin Resources,10.0,514151.0
Rez177,484.0,2.0,407799.0,Chula Vista,Apt. 426,1-663-917-0422,0.0,U,43.0,U,Fidelity National Financial,8.0,2903408.0
Koa178,463.0,4.0,195242.0,Orlando,,1-843-773-1791,4.0,U,53.0,O,FirstEnergy,1.0,1695814.0
HAN179,335.0,3.0,315490.0,Cleveland,,1-823-567-1252,0.0,U,13.0,O,Commercial Metals,5.0,868465.0
jak180,,5.0,22201.0,Huntington,,1-744-421-7512,4.0,U,7.0,O,Genzyme,10.0,2810709.0
ump181,381.0,4.0,441579.0,Fayetteville,,1-621-744-1484,5.0,M,17.0,R,US Airways Group,7.0,3593363.0
Wic182,708.0,2.0,342730.0,Riverside,,1-973-214-3381,2.0,M,67.0,O,Advanced Micro Devices,1.0,2607636.0
Gat183,354.0,5.0,117267.0,Dayton,Apt. 540,1-428-266-1600,4.0,M,54.0,R,United Parcel Service,8.0,2735642.0
bot184,547.0,1.0,260107.0,Corona,,1-334-466-5299,4.0,S,5.0,,Fastenal,10.0,1501732.0
DAV185,761.0,1.0,166760.0,Oklahoma City,,1-249-478-5643,1.0,D,28.0,O,Core-Mark Holding,9.0,397072.0
HIL186,659.0,4.0,401021.0,Dallas,,1-804-228-8548,1.0,M,5.0,O,Boise,1.0,3399757.0
war187,351.0,4.0,70945.0,Durham,,1-564-230-0062,2.0,M,,R,DST Systems,9.0,2684548.0
MAC188,608.0,3.0,389391.0,Tacoma,apt. 48,1-781-339-9073,3.0,S,72.0,O,United States Steel,7.0,3041622.0
lev189,706.0,4.0,63226.0,Alexandria,,1-096-116-9962,2.0,S,12.0,O,Pepco Holdings,3.0,3211816.0
Goo190,391.0,0.0,206220.0,Hialeah,apt. 968,1-914-194-6997,4.0,M,71.0,O,Acuity Brands,8.0,127026.0
Koh191,461.0,5.0,,Denver,,1-733-360-9116,4.0,W,90.0,R,Baker Hughes,2.0,588945.0
AYL192,510.0,4.0,337152.0,Fort Lauderdale,,1-591-402-8026,4.0,U,20.0,O,Newell Rubbermaid,2.0,1962620.0
CHO193,805.0,,312074.0,Mesa,,1-326-180-9322,2.0,W,58.0,O,Westlake Chemical,5.0,178193.0
DIT194,702.0,2.0,68551.0,Cleveland,,1-784-796-6844,4.0,M,57.0,O,Jones Lang LaSalle,7.0,2102811.0
EMI195,368.0,4.0,488800.0,Lewiston,,1-662-625-4671,1.0,W,43.0,O,Burger King Holdings,3.0,2246854.0
Ryd196,520.0,3.0,431633.0,Tallahassee,APT. 392,1-627-590-4931,2.0,W,39.0,R,Hovnanian Enterprises,8.0,1312448.0
mei197,666.0,0.0,72797.0,El Monte,,1-055-694-7984,3.0,S,87.0,O,Medical Mutual of Ohio,2.0,295993.0
Ceg198,587.0,0.0,260576.0,Sioux Falls,,1-166-844-7429,1.0,S,57.0,O,Lockheed Martin,9.0,1220003.0
hai199,643.0,4.0,200096.0,Columbia,,1-516-930-4640,5.0,U,58.0,O,Yum Brands,4.0,2400476.0
cle200,484.0,,,San Francisco,,1-261-215-4290,4.0,,28.0,R,Wesco International,5.0,2900897.0
Cie201,,3.0,267656.0,Santa Clara,,1-681-572-7662,1.0,U,95.0,R,Volt Information Sciences,3.0,3942140.0
Par202,676.0,1.0,35253.0,Greensboro,,1-288-967-5460,2.0,S,98.0,R,Western Union,8.0,2118119.0
LOZ203,300.0,5.0,113159.0,Waco,,1-315-022-2148,2.0,M,55.0,O,,4.0,338540.0
Pas204,,2.0,297444.0,Rochester,APT. 630,1-707-402-6121,3.0,,14.0,R,Lubrizol,8.0,2617116.0
Aul205,831.0,3.0,52092.0,Tampa,,1-186-893-7846,1.0,M,30.0,O,C.H. Robinson Worldwide,9.0,1459711.0
bar206,609.0,3.0,30249.0,Paterson,,1-571-918-3795,1.0,M,90.0,O,Celgene,7.0,1804959.0
ELL207,679.0,2.0,483052.0,Fullerton,,1-206-055-2128,0.0,S,69.0,O,Leggett & Platt,2.0,2957472.0
for208,634.0,4.0,287060.0,London,suite 344,1-963-724-8044,0.0,U,67.0,O,Fidelity National Information,6.0,2919293.0
Bur209,338.0,1.0,274154.0,Newark,,1-050-641-8503,1.0,W,41.0,O,Arch Coal,4.0,3610130.0
FOL210,332.0,5.0,379659.0,Buffalo,,1-020-258-1680,5.0,M,2.0,O,Affinia Group Intermediate,4.0,1209441.0
Led211,721.0,0.0,,El Paso,,,0.0,M,89.0,O,Kellogg,8.0,1058712.0
kop212,351.0,4.0,100796.0,Toledo,,1-886-961-7857,1.0,,88.0,O,PerkinElmer,3.0,1946028.0
pay213,564.0,1.0,128277.0,Sterling Heights,,1-999-799-7384,1.0,M,90.0,O,Limited Brands,6.0,1420984.0
PAL214,379.0,1.0,147414.0,New Haven,,1-362-078-4138,3.0,M,54.0,O,OfficeMax,9.0,213235.0
fel215,727.0,1.0,51559.0,Dallas,,1-174-723-5263,2.0,S,53.0,O,J.B. Hunt Transport Services,8.0,472425.0
ATW216,578.0,2.0,355622.0,Milwaukee,,1-898-789-3598,3.0,U,89.0,O,American Express,2.0,1160132.0
Mcb217,642.0,5.0,468116.0,Anaheim,,1-482-305-5399,1.0,W,31.0,O,Occidental Petroleum,10.0,2869995.0
Jal218,,1.0,276728.0,Huntington Beach,apt. 3,1-834-784-7657,0.0,M,1.0,O,Shaw Group,1.0,3727044.0
vem219,554.0,3.0,135306.0,Naperville,,1-864-555-5341,0.0,S,57.0,R,W.W. Grainger,,2293241.0
BAR220,733.0,1.0,99566.0,Iqaluit,,1-475-209-3369,0.0,U,10.0,U,IDT,6.0,2846515.0
PES221,345.0,2.0,263959.0,Winnipeg,,1-459-456-1848,4.0,M,74.0,O,General Mills,10.0,1619956.0
Sha222,644.0,2.0,441498.0,St. Petersburg,,1-802-797-1712,0.0,M,28.0,R,RBS Global,6.0,2367607.0
Sch223,564.0,3.0,429621.0,Waterbury,,,0.0,S,96.0,U,Realogy,3.0,3795566.0
