prospect_AgID,prospect_MaSt,prospect_CreRa,prospect_Co,prospect_In,prospect_St,prospect_OORFl,prospect_FiNa,prospect_LaNa,prospect_MidIn,prospect_Pho,prospect_NuChil,prospect_Ag,prospect_Ci,prospect_AddLi1,prospect_NuC,prospect_Em,prospect_NuCreCar,prospect_NeWor
Ffs7514,U,786.0,,432425.0,IL,R,nyakrhdyxravdnhgbtol,Ffshsiomkzjonhxjhunfsao,v,1-536-880-0961,1.0,10.0,Mobile,,4.0,MDU Resources Group,4.0,1167013.0
Kvv7515,U,,United States of America,122041.0,VA,O,NDNBTVCLKSC,Kvvverfkpazpzzkrqniixrhnw,F,1-494-335-6022,3.0,24.0,Thousand Oaks,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,0.0,Freescale Semiconductor,10.0,3960216.0
mpz7516,M,623.0,United States of America,302205.0,ID,O,Zmstbluqkipzaojfsomtbdddguq,mpzqnwnrmaozfsstcqtrc,G,1-814-158-3550,4.0,18.0,Rochester,,1.0,Superior Energy Services,5.0,242246.0
Jhc7517,S,845.0,United States of America,367555.0,TX,O,dpqgvuaoijmkxsesvililpxcrwqe,Jhcbaxyzijphmmvpampdgvgisnab,s,1-420-580-0795,1.0,79.0,Garden Grove,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,Monsanto,1.0,1217660.0
dbq7518,M,645.0,United States of America,106025.0,New Brunswick,U,IHUGYGSRDWILVOFBAKUR,dbqcukoddoiwg,l,1-924-305-1666,5.0,36.0,Tampa,rpikmvtgwsrsoehxgmxwypaueiaheabrf,4.0,Newfield Exploration,7.0,1229655.0
Xch7519,W,495.0,Canada,106690.0,Alberta,O,aefotdcronamhkzsfpvifmobgchmsp,Xchoxlbkffuvox,,1-450-082-2122,2.0,21.0,Fullerton,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,Loews,1.0,1157831.0
oir7520,M,371.0,Canada,29373.0,PA,O,jdeyqkerjerjpht,oirfujtvl,Z,1-573-009-1404,2.0,4.0,Washington,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,Apache,8.0,
Fqb7521,S,462.0,United States of America,168189.0,Nova Scotia,R,Lwihnxoihqqrvjydsijd,Fqbovz,O,1-603-897-9894,3.0,72.0,Norfolk,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,2.0,Robert Half International,1.0,
qex7522,S,375.0,United States of America,264756.0,RI,U,nmnervucuk,qextfjyytqwbmdrlykbfnhvqrmota,,1-947-161-6502,,1.0,Sydney,Dmyivtczopuqajpnjqvvgbhxynvduub,,Viacom,7.0,3467922.0
Hpi7523,S,516.0,Canada,44480.0,OR,U,hgjkxxbf,Hpiedhvkedqqdxsoedt,,1-586-826-9847,2.0,98.0,Winnipeg,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,1.0,Robert Half International,10.0,46859.0
Fjd7524,,703.0,Canada,87207.0,CA,R,Zangtryzlhmxo,Fjdafgbcrml,,1-217-243-2668,5.0,35.0,Wilmington,Esuycdxsjfbrqbtluspxsehk,1.0,CSX,,2937668.0
Cgt7525,W,734.0,United States of America,238434.0,MO,O,FFJGEQD,Cgtcmbl,,1-857-211-5728,2.0,99.0,El Monte,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,4.0,Country Financial Services,7.0,2388613.0
Lwx7526,M,469.0,United States of America,,Prince Edward Island,U,Pdcxrihnl,Lwxudfgcqawccntqaucdaeym,,1-089-966-6281,2.0,49.0,Sterling Heights,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,0.0,Procter & Gamble,4.0,3116283.0
epy7527,S,595.0,United States of America,391354.0,Quebec,O,Zckhcacwaelzutaodqalxyjrkh,epyxtfsrijhddstgaxkbgmlayjtk,,,0.0,72.0,Pembroke Pines,vnyndcximwxhecv,3.0,Ingles Markets,2.0,2671950.0
Aff7528,U,410.0,United States of America,419165.0,KS,O,sqrosgqnpifxjx,Affcha,M,1-231-342-6874,0.0,41.0,Philadelphia,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,3.0,Forest Laboratories,1.0,3899593.0
mfc7529,W,475.0,Canada,396509.0,NV,O,Erqzkkllazeobgthnmgsbtj,mfcestd,S,,2.0,54.0,Glendale,,3.0,Dentsply International,10.0,2537332.0
Slf7530,,,United States of America,145161.0,TN,R,Lcziayaozecoqqluasolkmmcldm,Slfbmvc,S,1-602-637-1838,2.0,11.0,El Monte,GVSBHGBDDVJFNNOZNNPJWCOI,0.0,RadioShack,2.0,733236.0
Cxu7531,W,519.0,United States of America,263206.0,WY,O,Gcnczmuxviqaxtsdzmzhtro,Cxuousxqyrfgjvpvuopyfguqva,,1-003-982-8627,5.0,0.0,Warwick,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,2.0,Century Aluminum,3.0,
GZO7532,D,841.0,United States of America,190371.0,British Columbia,U,Rsoobsqytvjycob,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,F,1-136-358-6852,3.0,27.0,Milwaukee,BIQIOQOHLQSTBRUFOI,3.0,,5.0,3397276.0
DRW7533,U,540.0,United States of America,203968.0,LA,O,Pjvadgt,DRWTVTDSG,A,1-123-528-2965,1.0,95.0,Phoenix,Llfaqkbemnoy,3.0,FPL Group,6.0,2444257.0
set7534,U,540.0,United States of America,428323.0,HI,R,GUBKOKITTSKVYM,setksinlvlrjwnfu,N,1-136-565-2501,3.0,35.0,Anchorage,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,1.0,Lockheed Martin,10.0,71520.0
Pyo7535,M,,United States of America,159980.0,NY,O,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Pyoixliri,,1-317-986-1984,1.0,96.0,Madison,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,4.0,Sanmina-SCI,6.0,1911091.0
FSH7536,W,424.0,Canada,266852.0,TX,O,Kuteauo,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,,1-265-603-1262,0.0,96.0,Fontana,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,0.0,Iron Mountain,6.0,988775.0
Tdx7537,M,623.0,United States of America,206973.0,AZ,R,Hkfofpndygljbeo,Tdxyljuxporjhdumcvfmv,,,5.0,49.0,Charlotte,,5.0,OfficeMax,2.0,3919363.0
Sbn7538,S,792.0,Canada,258221.0,ME,O,Kengxgsu,Sbnxcsrozzcufdoyvckpplofysx,O,1-156-668-6882,1.0,,Richmond,atydogjpqphuwhegtbukkqiaeakrtrn,5.0,AMR,4.0,428918.0
Piq7539,S,718.0,United States of America,428508.0,NH,O,Plywuoa,Piqizouhxiw,C,1-164-648-3203,4.0,27.0,Santa Clarita,Hlotorcbtobuceb,4.0,Kohl's,6.0,58134.0
IXD7540,M,401.0,,,KY,O,zfcwsxpjzyqelkxg,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,1-839-795-1027,0.0,98.0,Yellow Knife,gsrdigbqfwrahybxrtm,4.0,Cigna,6.0,3703767.0
wsn7541,M,557.0,United States of America,58953.0,Prince Edward Island,R,Yxvczhqjwgnhowiu,wsnjomkxbtybfnmtcjhvmblfwamnwd,,1-958-412-4252,5.0,,Oxnard,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,4.0,West,2.0,433859.0
Jkp7542,W,393.0,United States of America,409682.0,British Columbia,O,Grkknjyfgbhtyrhxzeaoeoyirwfa,Jkpmtcj,A,1-392-335-1020,5.0,56.0,Huntington Beach,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,5.0,Monsanto,7.0,3002044.0
CCF7543,M,557.0,United States of America,340191.0,CT,,Vfrdst,CCFFVCOHCLUUXZIQTCFCUHEYN,,1-912-050-7605,4.0,94.0,Durham,,2.0,Reliant Energy,10.0,1124168.0
ylj7544,U,465.0,United States of America,238216.0,WA,O,Hqcswumjvwbemosmy,yljvuglvt,,1-075-551-9919,5.0,98.0,Naperville,RELJYREDKQEKGOORBLRKOUIC,4.0,Idearc,5.0,2081541.0
ZBB7545,M,,Canada,113171.0,ND,O,Ectbhkmbvwkwdbn,ZBBXAWVJAAL,V,1-013-611-2674,1.0,8.0,Albuquerque,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,0.0,Neiman Marcus,6.0,1897076.0
fqe7546,W,485.0,United States of America,234797.0,ID,,Bdbgqpllbnrmiirpct,fqekemquvstw,,1-656-865-7544,,90.0,Newark,Yewxbqpnfgh,5.0,O'Reilly Automotive,10.0,235172.0
Wpw7547,M,303.0,United States of America,225322.0,Quebec,,Ftszluaxcsoxdfbmdd,Wpwhilrlzng,,1-879-870-7379,2.0,34.0,Miami,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,4.0,Cliffs Natural Resources,2.0,639573.0
vpz7548,W,846.0,Canada,192689.0,ID,O,Qrdnpjquwnixfocqhsrlkcxmelwijl,vpzxgcwljllsq,,1-366-625-9813,2.0,25.0,London,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,1.0,Health Management Associates,4.0,2667082.0
Yfz7549,,621.0,Canada,348685.0,AL,O,Kkiolpmrgzmnjanqc,Yfzmtcvxc,,1-359-462-7089,4.0,50.0,Worcester,VDBAVRMWFYBDZUILPKFXIVIYGFUU,5.0,Chevron,1.0,2598634.0
dou7550,D,331.0,United States of America,401229.0,UT,O,unzegilpp,douvwdwiwrxoivzaojazinrhswjv,,,4.0,85.0,Jacksonville,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,3.0,Exide Technologies,,1074671.0
FDJ7551,M,401.0,United States of America,38597.0,MS,R,xetqkitwlh,FDJOVRSOCWEIKZ,,1-153-396-8333,4.0,60.0,Nashua,hfuyqlsmbesrylepu,5.0,Convergys,9.0,2272997.0
ufu7552,S,644.0,United States of America,,AK,R,TWRRGULRYKYUWZYBQQFMIFFKVK,ufutrfkevxnbupjcetrpltw,,1-144-623-1308,2.0,95.0,Newport News,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,2.0,Dominion Resources,0.0,702000.0
bbg7553,M,769.0,United States of America,161204.0,VT,R,Yqfljvgkfucafpjpamdtcppiipc,bbgzmquoeecumw,H,1-269-220-8046,1.0,8.0,Corona,qgjnvpwvmgsqzcanzncon,4.0,Sentry Insurance Group,5.0,1289800.0
Znk7554,M,481.0,,202650.0,LA,O,mjeasoritwctufyojamzbeeoo,Znkkdbkvxcxeuackyodqlkpl,v,1-052-524-0130,4.0,31.0,Lincoln,HNBGLUDIOAJRCCIXGDUQOO,3.0,Cintas,2.0,1007390.0
CGQ7555,U,732.0,Canada,,CT,O,Udxaujgiratgthwkvdibgvwfo,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,T,1-335-871-6660,2.0,51.0,Toronto,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,1.0,Medtronic,7.0,124290.0
add7556,M,802.0,United States of America,492433.0,UT,O,GHFUKZPOKMXWZF,addxtssyhezwro,,1-637-394-8083,4.0,24.0,Fayetteville,dnlleihfh,4.0,Pride International,2.0,1820002.0
Anw7557,M,329.0,Canada,344858.0,IN,O,ybtkiifyhbgchnuctnhnqspk,Anwyusqezrjppzkaevffwljm,J,1-706-795-4208,4.0,78.0,Charlotte,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,2.0,A. Schulman,5.0,2200347.0
Hvt7558,W,839.0,United States of America,197290.0,WI,R,Fhkymmgjsbmpduuffgavhfcxm,Hvtanebvipbdd,,1-622-347-5699,0.0,56.0,Tulsa,Wsjaujjdexc,5.0,Oneok,0.0,3669569.0
Yqj7559,U,539.0,United States of America,283654.0,WA,,DEZDTMSMWKALBRPALCFIME,Yqjaammjlhgpw,d,1-042-017-9368,,50.0,Winston-Salem,Ojberg,2.0,Danaher,,2140537.0
Ztn7560,M,561.0,United States of America,317423.0,LA,R,phoxfeiqoldgmnojmzunmargkla,Ztnstwpjxatqveppicohpzilnn,,1-829-935-5979,5.0,52.0,Thousand Oaks,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,4.0,Del Monte Foods,4.0,3258909.0
bni7561,W,814.0,United States of America,399126.0,VT,O,Upuabfflh,bnizllrrofn,,1-076-726-5283,5.0,14.0,Lubbock,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,4.0,American Electric Power,2.0,1825422.0
swx7562,M,305.0,United States of America,398180.0,CT,R,owagfolbfwjzeg,swxorhmdydwbrtdqxroghsddlpbdgi,,,0.0,29.0,Winnipeg,Xwtkpxqgohxwxnv,5.0,TJX,7.0,1845263.0
DSA7563,S,457.0,United States of America,,RI,O,Qdmppehqxloc,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,P,1-284-129-5920,4.0,50.0,Laredo,Qpvmtkxxfef,2.0,Philip Morris International,4.0,1463114.0
BXZ7564,U,349.0,United States of America,485429.0,SC,O,jqbetxkci,BXZUTWBUFSGPPXKR,,1-128-308-8886,1.0,67.0,Overland Park,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,4.0,Cincinnati Financial,8.0,2354683.0
pcz7565,M,590.0,United States of America,118018.0,British Columbia,O,Wsmywgbvwspgdwhmdxsqjwqb,pczqycbwefse,,1-145-469-5971,0.0,22.0,Calgary,KRYAIAJGKHBKXBLC,2.0,Stryker,0.0,436677.0
Zqa7566,U,533.0,United States of America,309693.0,CO,O,ocgwi,Zqaknviqngvemehvpzrcgkcvre,,1-727-684-7767,4.0,20.0,Peoria,,5.0,Kansas City Southern,0.0,2383335.0
Htl7567,W,686.0,Canada,90718.0,TN,O,Pcotdnngmurhkcd,Htltlfnvjctvvdvulpkhcbyfi,z,1-776-201-2472,0.0,75.0,Durham,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,4.0,IDT,9.0,2574739.0
afw7568,U,582.0,United States of America,280645.0,CA,O,bvcosqzcleknjzvkygbawlc,afwafvxxdr,L,1-767-942-1278,0.0,60.0,Pueblo,VBDCWYVK,2.0,Vornado Realty Trust,10.0,1596838.0
Wna7569,S,807.0,United States of America,231559.0,WY,O,ECLENELTSXGTNWOP,Wnakgzhqfhtavtvegjtdmdosnjr,,1-723-062-7266,4.0,,Las Cruces,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,Dollar General,0.0,591965.0
Mlh7570,S,819.0,United States of America,36898.0,SD,O,Xdwexmrjat,Mlheqxaigtvjaynkffyqkpu,,,5.0,48.0,Chula Vista,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,3.0,Safeway,3.0,3071440.0
Gor7571,M,311.0,United States of America,396786.0,British Columbia,R,xjwnvwdryqpcehelwzfhkkiuus,Gorjnqxjtefmomsbmtnogaerx,,1-145-314-0862,0.0,91.0,San Diego,Gwxymofcy,2.0,Apache,5.0,2683081.0
ENX7572,U,734.0,United States of America,344365.0,NJ,O,RNBABCYAFMQPBOHXNUXMXNU,ENXOMNHFVPYQSABETPUEKRKCL,,1-735-104-7772,5.0,98.0,Chicago,Qynjnmfgwxpmrw,2.0,Lowe's,3.0,3850483.0
fgr7573,W,432.0,United States of America,1205.0,AK,O,Eyrtrqkljywvbcice,fgrdzzudzmwlluff,,,1.0,51.0,Worcester,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,4.0,Lithia Motors,1.0,1870617.0
Ysh7574,S,394.0,United States of America,276666.0,OH,O,Opybrukftspofebjmspkjsgtobzsp,Yshzkx,a,1-518-116-1411,0.0,22.0,Honolulu,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,5.0,CH2M Hill,3.0,1249534.0
Mos7575,U,658.0,United States of America,497953.0,New Brunswick,O,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,Mosqjrkdycyygfsljqadgfqoldb,I,1-696-359-4829,0.0,57.0,Albuquerque,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,0.0,Tellabs,1.0,3789880.0
czu7576,M,348.0,Canada,156048.0,IL,O,kpofwgtomgijnm,czuvw,,1-352-678-5471,2.0,38.0,Oakland,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,1.0,Phillips-Van Heusen,3.0,3874445.0
Ghr7577,M,598.0,United States of America,63617.0,AZ,O,Biflzgcqpqpbahquomftmjffohpwuy,Ghrlcuscpesuzsdwqfwwbgh,Z,1-906-600-9749,5.0,68.0,Billings,BESJDYZDIOIXKDFEHBQXBPW,1.0,Wells Fargo,8.0,437353.0
Rwk7578,U,505.0,United States of America,244849.0,NY,O,ybdlwlwxispyswbiegrbsqqtywxr,Rwkdeshuwhwvmvmdnckmuvdt,,1-093-018-2851,2.0,93.0,Pueblo,Ouopoqztakszwsfkthdbwndfjuqaelyd,2.0,Vornado Realty Trust,9.0,2669917.0
Uwi7579,S,839.0,United States of America,123585.0,WA,R,Capzcewdt,Uwinnbtdd,,1-302-096-9321,3.0,48.0,Sherbrooke,Ivwhotvobwkshcixclfobqoljlaqohw,4.0,New York Times,7.0,1466537.0
VXZ7580,S,672.0,United States of America,391134.0,GA,U,XKBLVBCCYKMIXABVTOTVPZCJRII,VXZTLDNZPYIFIKTIJRXS,,1-915-044-3154,1.0,96.0,Sacramento,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,1.0,Adobe Systems,2.0,991860.0
Ayk7581,M,696.0,United States of America,426759.0,AZ,O,wmknfemsztimaphftadowlmbnp,Aykkkc,p,1-040-274-3474,5.0,58.0,Charlotte,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,5.0,Valmont Industries,3.0,
lho7582,W,448.0,United States of America,451737.0,NV,O,DHLVITRFJDXLTPAGMPMJ,lhodktal,,1-678-397-2739,3.0,63.0,El Paso,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,5.0,UAL,5.0,1816368.0
rzi7583,S,549.0,United States of America,180822.0,TN,O,Jdpqutldftwykfyhukveiaimoyyk,rziprpcfwnirtuvrbfnuepq,,1-679-345-9939,1.0,18.0,Mesa,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,2.0,AFLAC,9.0,565246.0
Wds7584,W,705.0,United States of America,205843.0,AL,O,Qiwemtdba,Wdsuorykxmvfxupyyjl,,1-093-616-0613,2.0,40.0,Simi Valley,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,4.0,VeraSun Energy,0.0,1899339.0
Xsj7585,M,387.0,United States of America,470985.0,TX,O,JQKEDISZ,Xsjypvyfoqbiq,f,1-546-131-8988,3.0,29.0,St. Catharines,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,4.0,Magellan Health Services,6.0,3873239.0
Lux7586,U,359.0,United States of America,318225.0,WV,,Gfuwa,Luxkby,v,1-477-186-7432,1.0,21.0,Washington,Nhgrkzjzcrjcerkwrugwul,2.0,Emcor Group,7.0,767547.0
wxw7587,M,494.0,Canada,326044.0,ND,O,CTTUYHUUMMDTX,wxwhwasadsmxchyhlgrvnurte,,1-965-848-6954,2.0,41.0,Chula Vista,,2.0,Peabody Energy,9.0,1027999.0
pfz7588,M,345.0,United States of America,,Saskatchewan,,Wvtqm,pfzjoarqopfjtzjalxxxeq,e,1-622-866-0937,1.0,56.0,Montpelier,uiaoi,1.0,State Farm Insurance Cos.,10.0,3428495.0
hlx7589,M,402.0,United States of America,187282.0,VA,O,xuwgpsvzcpxtoerndtr,hlxshqpvshstjerwclb,,1-040-217-2014,0.0,33.0,Mesa,Wwonzdtvwkn,2.0,Humana,10.0,1827180.0
nyb7590,M,579.0,United States of America,,ND,O,Hnnzpokbygacjjgybkskf,nybiaaw,,1-101-684-2373,0.0,96.0,New Haven,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,2.0,News Corp.,3.0,2070007.0
Ltt7591,,569.0,United States of America,,ND,O,qsnivsknktiwjpqwnrlgftnmsrxkjc,Lttvvpjjavydrmbt,O,1-386-426-5849,0.0,35.0,Indianapolis,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,2.0,Torchmark,2.0,
gsz7592,W,745.0,United States of America,306946.0,MS,O,pygsfvfpeofkdcugfvxdsqgmcgebfp,gszunimggpyfjzmivbwizzftuen,,1-598-816-0126,4.0,40.0,Stockton,cezvfwtftwlwfrgrpxtuejvrgucexe,0.0,Rock-Tenn,9.0,3596263.0
Kwp7593,D,320.0,,99663.0,WY,U,Zgxsuo,Kwpztgkknktyvdks,,1-770-379-7700,,10.0,Louisville,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,0.0,AGCO,1.0,3719999.0
AGM7594,M,591.0,United States of America,482013.0,MA,R,ganifmdaqbltccwbqijtkypcetuq,AGMCLBCUEPVBRKDKWAGBCFOLYET,D,,4.0,59.0,Atlanta,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,2.0,,4.0,3058439.0
Ocn7595,M,,United States of America,180476.0,AK,U,IYCOMORWDFSEKN,Ocnds,u,1-628-245-6238,0.0,70.0,Milwaukee,Ctgihaqlm,1.0,United Stationers,10.0,2592932.0
Cmw7596,M,417.0,United States of America,285682.0,PA,,vdvdlfz,Cmweamsabhudajyhpsohkpzcy,,1-813-787-2611,5.0,69.0,Fort Smith,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,4.0,McCormick,5.0,1471273.0
Dit7597,M,338.0,United States of America,455032.0,MA,R,Sbwymtnwzhffkwjczlsnvrtcv,Ditjvpiidkjkvxssfnctzcczb,V,1-362-897-1162,5.0,96.0,Knoxville,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,0.0,National Life Group,8.0,
Rmm7598,S,340.0,United States of America,356141.0,DC,O,qjjwbffbgxilxyarhjwdvo,Rmmasnivkq,S,1-952-919-4878,,9.0,Idaho Falls,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,3.0,Hasbro,9.0,2410816.0
ekj7599,U,738.0,Canada,165667.0,RI,U,JIXUQX,ekjvgcmzgobzeerrpfgefwvxlvfcua,,1-145-214-8009,3.0,39.0,Jacksonville,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,3.0,Tupperware Brands,5.0,1059543.0
