gncd,wnrrntflg,frstnm,mrtlstts,pstlcd,ntwrth,phn,ncm,nmbrcrs,nmbrchldrn,g,crdtrtng,mplr,nmbrcrdtcrds
Hpi7523,U,hgjkxxbf,S,FXHXLG,46859.0,1-586-826-9847,44480.0,1.0,2.0,98.0,516.0,Robert Half International,10.0
Fjd7524,R,Zangtryzlhmxo,,ovlziicdezok,2937668.0,1-217-243-2668,87207.0,1.0,5.0,35.0,703.0,CSX,
Cgt7525,O,FFJGEQD,W,jsxcpvao,2388613.0,1-857-211-5728,238434.0,4.0,2.0,99.0,734.0,Country Financial Services,7.0
Lwx7526,U,Pdcxrihnl,M,Ykerbceq,3116283.0,1-089-966-6281,,0.0,2.0,49.0,469.0,Procter & Gamble,4.0
epy7527,O,Zckhcacwaelzutaodqalxyjrkh,S,VVMSNWEBT,2671950.0,,391354.0,3.0,0.0,72.0,595.0,Ingles Markets,2.0
Aff7528,O,sqrosgqnpifxjx,U,bibueqwbejem,3899593.0,1-231-342-6874,419165.0,3.0,0.0,41.0,410.0,Forest Laboratories,1.0
mfc7529,O,Erqzkkllazeobgthnmgsbtj,W,gehpynlk,2537332.0,,396509.0,3.0,2.0,54.0,475.0,Dentsply International,10.0
Slf7530,R,Lcziayaozecoqqluasolkmmcldm,,Piwlxtg,733236.0,1-602-637-1838,145161.0,0.0,2.0,11.0,,RadioShack,2.0
Cxu7531,O,Gcnczmuxviqaxtsdzmzhtro,W,Ujlshmosjkid,,1-003-982-8627,263206.0,2.0,5.0,0.0,519.0,Century Aluminum,3.0
GZO7532,U,Rsoobsqytvjycob,D,cwburwnupuj,3397276.0,1-136-358-6852,190371.0,3.0,3.0,27.0,841.0,,5.0
DRW7533,O,Pjvadgt,U,CNEZMHTKIAEV,2444257.0,1-123-528-2965,203968.0,3.0,1.0,95.0,540.0,FPL Group,6.0
set7534,R,GUBKOKITTSKVYM,U,kixvppuqtd,71520.0,1-136-565-2501,428323.0,1.0,3.0,35.0,540.0,Lockheed Martin,10.0
Pyo7535,O,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,M,jrhynxfi,1911091.0,1-317-986-1984,159980.0,4.0,1.0,96.0,,Sanmina-SCI,6.0
FSH7536,O,Kuteauo,W,dnhtjyu,988775.0,1-265-603-1262,266852.0,0.0,0.0,96.0,424.0,Iron Mountain,6.0
Tdx7537,R,Hkfofpndygljbeo,M,YKOVOTYB,3919363.0,,206973.0,5.0,5.0,49.0,623.0,OfficeMax,2.0
Sbn7538,O,Kengxgsu,S,WNNMWJ,428918.0,1-156-668-6882,258221.0,5.0,1.0,,792.0,AMR,4.0
Piq7539,O,Plywuoa,S,Oktkljv,58134.0,1-164-648-3203,428508.0,4.0,4.0,27.0,718.0,Kohl's,6.0
IXD7540,O,zfcwsxpjzyqelkxg,M,,3703767.0,1-839-795-1027,,4.0,0.0,98.0,401.0,Cigna,6.0
wsn7541,R,Yxvczhqjwgnhowiu,M,GXFLSISZUY,433859.0,1-958-412-4252,58953.0,4.0,5.0,,557.0,West,2.0
Jkp7542,O,Grkknjyfgbhtyrhxzeaoeoyirwfa,W,gzexcrngivl,3002044.0,1-392-335-1020,409682.0,5.0,5.0,56.0,393.0,Monsanto,7.0
CCF7543,,Vfrdst,M,yzoikhwrd,1124168.0,1-912-050-7605,340191.0,2.0,4.0,94.0,557.0,Reliant Energy,10.0
ylj7544,O,Hqcswumjvwbemosmy,U,Gdbktega,2081541.0,1-075-551-9919,238216.0,4.0,5.0,98.0,465.0,Idearc,5.0
ZBB7545,O,Ectbhkmbvwkwdbn,M,Kdcqzpvf,1897076.0,1-013-611-2674,113171.0,0.0,1.0,8.0,,Neiman Marcus,6.0
fqe7546,,Bdbgqpllbnrmiirpct,W,Tbwgwtmgcu,235172.0,1-656-865-7544,234797.0,5.0,,90.0,485.0,O'Reilly Automotive,10.0
Wpw7547,,Ftszluaxcsoxdfbmdd,M,Mwmfs,639573.0,1-879-870-7379,225322.0,4.0,2.0,34.0,303.0,Cliffs Natural Resources,2.0
vpz7548,O,Qrdnpjquwnixfocqhsrlkcxmelwijl,W,goelqgcts,2667082.0,1-366-625-9813,192689.0,1.0,2.0,25.0,846.0,Health Management Associates,4.0
Yfz7549,O,Kkiolpmrgzmnjanqc,,ucwygjzs,2598634.0,1-359-462-7089,348685.0,5.0,4.0,50.0,621.0,Chevron,1.0
dou7550,O,unzegilpp,D,fjlfqftwg,1074671.0,,401229.0,3.0,4.0,85.0,331.0,Exide Technologies,
FDJ7551,R,xetqkitwlh,M,Tocujgaiaq,2272997.0,1-153-396-8333,38597.0,5.0,4.0,60.0,401.0,Convergys,9.0
ufu7552,R,TWRRGULRYKYUWZYBQQFMIFFKVK,S,kurjmmgixxfd,702000.0,1-144-623-1308,,2.0,2.0,95.0,644.0,Dominion Resources,0.0
bbg7553,R,Yqfljvgkfucafpjpamdtcppiipc,M,cnsavindoi,1289800.0,1-269-220-8046,161204.0,4.0,1.0,8.0,769.0,Sentry Insurance Group,5.0
Znk7554,O,mjeasoritwctufyojamzbeeoo,M,MQBSAUVQRPYE,1007390.0,1-052-524-0130,202650.0,3.0,4.0,31.0,481.0,Cintas,2.0
CGQ7555,O,Udxaujgiratgthwkvdibgvwfo,U,vadbnvz,124290.0,1-335-871-6660,,1.0,2.0,51.0,732.0,Medtronic,7.0
add7556,O,GHFUKZPOKMXWZF,M,Ljurvnigr,1820002.0,1-637-394-8083,492433.0,4.0,4.0,24.0,802.0,Pride International,2.0
Anw7557,O,ybtkiifyhbgchnuctnhnqspk,M,BQDMQVFTNBRJ,2200347.0,1-706-795-4208,344858.0,2.0,4.0,78.0,329.0,A. Schulman,5.0
Hvt7558,R,Fhkymmgjsbmpduuffgavhfcxm,W,jkcul,3669569.0,1-622-347-5699,197290.0,5.0,0.0,56.0,839.0,Oneok,0.0
Yqj7559,,DEZDTMSMWKALBRPALCFIME,U,Nelny,2140537.0,1-042-017-9368,283654.0,2.0,,50.0,539.0,Danaher,
Ztn7560,R,phoxfeiqoldgmnojmzunmargkla,M,Qsggz,3258909.0,1-829-935-5979,317423.0,4.0,5.0,52.0,561.0,Del Monte Foods,4.0
bni7561,O,Upuabfflh,W,Drofa,1825422.0,1-076-726-5283,399126.0,4.0,5.0,14.0,814.0,American Electric Power,2.0
swx7562,R,owagfolbfwjzeg,M,Ssovhtmt,1845263.0,,398180.0,5.0,0.0,29.0,305.0,TJX,7.0
DSA7563,O,Qdmppehqxloc,S,Tnprhljfrlj,1463114.0,1-284-129-5920,,2.0,4.0,50.0,457.0,Philip Morris International,4.0
BXZ7564,O,jqbetxkci,U,Bkxujhonjgjk,2354683.0,1-128-308-8886,485429.0,4.0,1.0,67.0,349.0,Cincinnati Financial,8.0
pcz7565,O,Wsmywgbvwspgdwhmdxsqjwqb,M,mrjrjhgnwcdu,436677.0,1-145-469-5971,118018.0,2.0,0.0,22.0,590.0,Stryker,0.0
Zqa7566,O,ocgwi,U,Yusezkfgs,2383335.0,1-727-684-7767,309693.0,5.0,4.0,20.0,533.0,Kansas City Southern,0.0
Htl7567,O,Pcotdnngmurhkcd,W,RKXTQAO,2574739.0,1-776-201-2472,90718.0,4.0,0.0,75.0,686.0,IDT,9.0
afw7568,O,bvcosqzcleknjzvkygbawlc,U,UBQSATXZO,1596838.0,1-767-942-1278,280645.0,2.0,0.0,60.0,582.0,Vornado Realty Trust,10.0
Wna7569,O,ECLENELTSXGTNWOP,S,BHRNWQLFVFA,591965.0,1-723-062-7266,231559.0,,4.0,,807.0,Dollar General,0.0
Mlh7570,O,Xdwexmrjat,S,Ktmzav,3071440.0,,36898.0,3.0,5.0,48.0,819.0,Safeway,3.0
Gor7571,R,xjwnvwdryqpcehelwzfhkkiuus,M,Nfpchgfj,2683081.0,1-145-314-0862,396786.0,2.0,0.0,91.0,311.0,Apache,5.0
ENX7572,O,RNBABCYAFMQPBOHXNUXMXNU,U,Wuywecohosfi,3850483.0,1-735-104-7772,344365.0,2.0,5.0,98.0,734.0,Lowe's,3.0
fgr7573,O,Eyrtrqkljywvbcice,W,tibxlojrqiha,1870617.0,,1205.0,4.0,1.0,51.0,432.0,Lithia Motors,1.0
Ysh7574,O,Opybrukftspofebjmspkjsgtobzsp,S,ogmes,1249534.0,1-518-116-1411,276666.0,5.0,0.0,22.0,394.0,CH2M Hill,3.0
Mos7575,O,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,U,JUBKXDKP,3789880.0,1-696-359-4829,497953.0,0.0,0.0,57.0,658.0,Tellabs,1.0
czu7576,O,kpofwgtomgijnm,M,Xbgykqm,3874445.0,1-352-678-5471,156048.0,1.0,2.0,38.0,348.0,Phillips-Van Heusen,3.0
Ghr7577,O,Biflzgcqpqpbahquomftmjffohpwuy,M,NNCXIBTCXZA,437353.0,1-906-600-9749,63617.0,1.0,5.0,68.0,598.0,Wells Fargo,8.0
Rwk7578,O,ybdlwlwxispyswbiegrbsqqtywxr,U,mfwuio,2669917.0,1-093-018-2851,244849.0,2.0,2.0,93.0,505.0,Vornado Realty Trust,9.0
Uwi7579,R,Capzcewdt,S,Utgwrun,1466537.0,1-302-096-9321,123585.0,4.0,3.0,48.0,839.0,New York Times,7.0
VXZ7580,U,XKBLVBCCYKMIXABVTOTVPZCJRII,S,Wgulrhctjlg,991860.0,1-915-044-3154,391134.0,1.0,1.0,96.0,672.0,Adobe Systems,2.0
Ayk7581,O,wmknfemsztimaphftadowlmbnp,M,Srhxvxe,,1-040-274-3474,426759.0,5.0,5.0,58.0,696.0,Valmont Industries,3.0
lho7582,O,DHLVITRFJDXLTPAGMPMJ,W,Dadkihaohc,1816368.0,1-678-397-2739,451737.0,5.0,3.0,63.0,448.0,UAL,5.0
rzi7583,O,Jdpqutldftwykfyhukveiaimoyyk,S,Fpoleiod,565246.0,1-679-345-9939,180822.0,2.0,1.0,18.0,549.0,AFLAC,9.0
Wds7584,O,Qiwemtdba,W,Cuaieflmccqp,1899339.0,1-093-616-0613,205843.0,4.0,2.0,40.0,705.0,VeraSun Energy,0.0
Xsj7585,O,JQKEDISZ,M,qiraymmapgf,3873239.0,1-546-131-8988,470985.0,4.0,3.0,29.0,387.0,Magellan Health Services,6.0
Lux7586,,Gfuwa,U,Tsynomgib,767547.0,1-477-186-7432,318225.0,2.0,1.0,21.0,359.0,Emcor Group,7.0
wxw7587,O,CTTUYHUUMMDTX,M,Amudllk,1027999.0,1-965-848-6954,326044.0,2.0,2.0,41.0,494.0,Peabody Energy,9.0
pfz7588,,Wvtqm,M,ELQKT,3428495.0,1-622-866-0937,,1.0,1.0,56.0,345.0,State Farm Insurance Cos.,10.0
hlx7589,O,xuwgpsvzcpxtoerndtr,M,Oiwac,1827180.0,1-040-217-2014,187282.0,2.0,0.0,33.0,402.0,Humana,10.0
nyb7590,O,Hnnzpokbygacjjgybkskf,M,Dqgzinvuxxy,2070007.0,1-101-684-2373,,2.0,0.0,96.0,579.0,News Corp.,3.0
Ltt7591,O,qsnivsknktiwjpqwnrlgftnmsrxkjc,,Nchaajfkjvx,,1-386-426-5849,,2.0,0.0,35.0,569.0,Torchmark,2.0
gsz7592,O,pygsfvfpeofkdcugfvxdsqgmcgebfp,W,XEDMBUAMGXKH,3596263.0,1-598-816-0126,306946.0,0.0,4.0,40.0,745.0,Rock-Tenn,9.0
Kwp7593,U,Zgxsuo,D,crxbrlj,3719999.0,1-770-379-7700,99663.0,0.0,,10.0,320.0,AGCO,1.0
AGM7594,R,ganifmdaqbltccwbqijtkypcetuq,M,Eytubbwi,3058439.0,,482013.0,2.0,4.0,59.0,591.0,,4.0
Ocn7595,U,IYCOMORWDFSEKN,M,Lwftldizl,2592932.0,1-628-245-6238,180476.0,1.0,0.0,70.0,,United Stationers,10.0
Cmw7596,,vdvdlfz,M,GSSFZNBZL,1471273.0,1-813-787-2611,285682.0,4.0,5.0,69.0,417.0,McCormick,5.0
Dit7597,R,Sbwymtnwzhffkwjczlsnvrtcv,M,Nrnqtmjz,,1-362-897-1162,455032.0,0.0,5.0,96.0,338.0,National Life Group,8.0
Rmm7598,O,qjjwbffbgxilxyarhjwdvo,S,Rzjxvum,2410816.0,1-952-919-4878,356141.0,3.0,,9.0,340.0,Hasbro,9.0
ekj7599,U,JIXUQX,U,Accezkuzqrif,1059543.0,1-145-214-8009,165667.0,3.0,3.0,39.0,738.0,Tupperware Brands,5.0
wcq7600,O,Eqrxuc,S,LNZZPGOTEG,379282.0,1-328-944-9786,459767.0,0.0,2.0,31.0,597.0,Covance,7.0
Klc7601,R,PDAXUXBMPOVTKJUR,M,YINOHET,3271265.0,1-899-864-9421,106459.0,2.0,2.0,64.0,603.0,Interactive Brokers Group,4.0
Jrd7602,U,Adftxl,D,ddgkyv,1530364.0,1-877-997-8896,51021.0,,1.0,38.0,662.0,SkyWest,5.0
GDQ7603,R,Gaksvvggpbleteofow,W,Seiksuhglhj,3731860.0,1-750-900-0823,494931.0,2.0,4.0,47.0,838.0,Best Buy,0.0
fnm7604,O,Ijstknxzfzsvqmy,M,Ytgghhaxc,2488858.0,,429859.0,5.0,2.0,,791.0,Sears Holdings,9.0
Ymu7605,O,jvhwyzbcwdrrqmlbvpjwbohhemm,S,Ajlcdadx,2301347.0,1-347-704-7823,,1.0,4.0,76.0,692.0,Frontier Oil,7.0
Pxj7606,O,nhhjbqktsr,W,Daivf,1736571.0,1-228-976-2888,464086.0,0.0,3.0,60.0,673.0,Automatic Data Processing,8.0
Rsd7607,O,Lmhtjwddyqbzlxgv,U,xrquzcptycg,2399483.0,,207651.0,3.0,,73.0,331.0,,7.0
Qqh7608,O,BXFLGQTJSJDQAUCXXJXWHTQU,U,shigmwk,2982744.0,1-760-429-1328,260418.0,4.0,,37.0,744.0,Comerica,2.0
udq7609,U,Tlaihggmhfiuezhjgps,M,enehob,1611011.0,1-253-879-8833,,5.0,1.0,50.0,446.0,Baldor Electric,6.0
Ghl7610,O,DSRXJZKFJTIVXLBAX,M,RNLAKRXSPA,2999167.0,1-401-256-3483,316963.0,0.0,4.0,0.0,,Commercial Metals,0.0
mtk7611,O,Annsrbdzywmpqvigpn,W,Hlezt,,1-175-910-8245,84046.0,5.0,,,,,
QIY7612,O,Mrawpcvb,M,Iyqmkpcjx,3307491.0,1-565-191-3419,368990.0,0.0,3.0,,723.0,Molina Healthcare,9.0
Ohz7613,O,yociu,S,klgnkcaedht,2057260.0,1-921-688-5401,124382.0,2.0,0.0,81.0,348.0,Plains All American Pipeline,2.0
djg7614,O,DQNVNWPYSMLDGXJVBUHUKDLRSLN,M,Jsombikj,53179.0,1-925-155-0170,9263.0,2.0,0.0,52.0,666.0,Agilent Technologies,
Iad7615,U,wfnjfn,M,Xtckbvng,690086.0,1-185-691-2951,334181.0,2.0,4.0,68.0,,AutoZone,3.0
EMG7616,R,WWWEN,M,YPUWSVRD,2025465.0,1-067-518-3854,314001.0,0.0,1.0,,844.0,,8.0
Hjn7617,O,Krjcfgq,M,Ifxvsnt,695307.0,1-188-554-1671,168309.0,1.0,4.0,36.0,766.0,Universal Health Services,8.0
CYP7618,O,Fxmpengjsaf,M,EAOJPQVWBNZ,3238398.0,1-168-215-2223,322765.0,2.0,4.0,31.0,521.0,Time Warner,10.0
KPN7619,O,Eobtk,W,fhirgl,1213578.0,1-228-022-3056,311253.0,1.0,5.0,55.0,306.0,Sealed Air,7.0
Vbi7620,R,Abahrdfcbtscoblhaovnjkbx,W,Lahfziy,103708.0,1-926-766-1124,140296.0,5.0,5.0,66.0,411.0,Sprint Nextel,9.0
ehb7621,O,bhephgijqbu,M,tofdjef,1086081.0,1-538-797-1948,439984.0,1.0,5.0,22.0,,,3.0
TMQ7622,O,KECNVVPGTOXHIGOUAWLHU,U,rckzx,1349626.0,1-627-234-0841,454011.0,5.0,0.0,51.0,702.0,Quiksilver,8.0
Lsb7623,R,xppmtvztaifqynlbmofxonnus,S,MMLJKBGXD,1083092.0,1-876-492-0782,191541.0,1.0,5.0,26.0,842.0,Valspar,1.0
Dpz7624,R,kzntoukktuqqfuyeo,U,banusio,1662799.0,1-436-946-7319,,2.0,1.0,100.0,528.0,Timken,0.0
Zuj7625,R,TDRLAQZARCGRAMDDMCWP,W,Safkd,3548540.0,1-281-780-2897,,3.0,3.0,13.0,300.0,,5.0
Jqk7626,O,shbaeyxyrjfietruntrdeyqkc,S,DHTLWJDXLRW,881414.0,1-421-286-4139,269215.0,2.0,1.0,11.0,752.0,Occidental Petroleum,7.0
ijb7627,O,Zururxrihusergiba,M,RORIUHK,1712200.0,1-908-354-2709,193126.0,0.0,4.0,62.0,303.0,,0.0
NMO7628,O,QZLCPVRKZMTENMREVZT,M,bxgwhohh,847446.0,1-466-560-2530,462618.0,3.0,5.0,13.0,418.0,Massey Energy,10.0
Tef7629,O,dvbflygvxrizbclmqwoajkvnzoufc,W,SRARKMXOD,344294.0,1-578-686-8082,212026.0,3.0,3.0,23.0,667.0,Weyerhaeuser,4.0
Sdj7630,U,mtnubdnrdoivcuqmapqhtvzkixw,D,hwugfvlttol,1534879.0,1-166-077-1436,371024.0,1.0,4.0,51.0,441.0,National Fuel Gas,7.0
Pbr7631,O,Nzljqsbgutsixlosfedpmlzl,U,zgsllav,3897101.0,1-535-320-1881,235810.0,3.0,2.0,2.0,471.0,Pep Boys,0.0
Ice7632,O,Ealrdsynhtadihmsl,W,Mszwfhpj,3064442.0,1-633-495-6478,347270.0,2.0,,,701.0,Neiman Marcus,9.0
ZWG7633,R,xfjdwfentojva,D,Yqfxb,2016524.0,1-398-680-0278,399212.0,5.0,2.0,82.0,323.0,BlackRock,1.0
Evw7634,O,Zvowaelneuhpxzphpvtgvfz,M,ypmuep,37745.0,1-185-976-7770,439561.0,4.0,5.0,94.0,846.0,McGraw-Hill,10.0
Lhl7635,O,fmdcjzjekrwrirumyvfuqnnkxzr,M,Xthtecuu,503752.0,1-490-238-8219,29980.0,3.0,4.0,16.0,850.0,Family Dollar Stores,8.0
LYB7636,U,Ohetzpmilrphnhnasiisaypdl,M,Xjzpdio,2115180.0,1-891-741-2112,28693.0,2.0,5.0,43.0,,Teleflex,
Ijb7637,O,VAUWGMVOILXNGKB,M,Rgthehdvvlh,839222.0,1-849-918-0984,106794.0,1.0,2.0,76.0,564.0,,3.0
Zhf7638,O,Tnwgmuvaaqmxskkyqnvrmnmul,S,ysexit,1851334.0,1-426-168-3142,340598.0,3.0,5.0,0.0,558.0,Imation,4.0
PYU7639,O,mtovrkjvtfkennjujgpegknnck,U,Wscgcsbwlzj,1348251.0,1-757-910-8931,490597.0,1.0,,33.0,417.0,PPL,0.0
Iku7640,O,Lwxdv,U,AUQJTIMK,2722392.0,1-468-325-0119,499685.0,2.0,2.0,62.0,487.0,Smithfield Foods,6.0
HBZ7641,O,Ftvuzjdzocqmcoxvrbqcna,M,Weqnwrwrbcgx,1785161.0,1-383-310-7894,62285.0,2.0,0.0,8.0,639.0,Macy's,9.0
Pco7642,O,Hnbgeuii,U,facqrtjqjmd,2823578.0,1-353-727-2029,320885.0,5.0,5.0,4.0,625.0,Torchmark,3.0
Ybv7643,O,Fykbowmpxpbb,D,OCNCREZ,2123972.0,1-028-849-5461,184669.0,5.0,3.0,39.0,,Herman Miller,1.0
Rim7644,R,Ruagwhiorgizpmbphjerywjrr,S,JXOGSVJ,112782.0,1-480-785-4021,126989.0,0.0,0.0,90.0,,Kindred Healthcare,3.0
gnf7645,,teldp,M,Iqtso,248311.0,1-443-132-4138,48144.0,1.0,4.0,7.0,460.0,Arch Coal,3.0
Wxp7646,O,Tmhxnpfgyifx,,Uxgvbwop,3719851.0,1-143-020-1234,377787.0,5.0,4.0,95.0,793.0,Whirlpool,8.0
Dxh7647,O,Fpchjcvsrkakkqqsojokdrg,U,Ovsiu,1920385.0,1-475-304-3486,323782.0,5.0,5.0,59.0,821.0,Arrow Electronics,8.0
Aqo7648,O,Heiehcgec,S,Frqdqbs,576903.0,1-677-882-6792,31880.0,3.0,2.0,13.0,,Rock-Tenn,6.0
fen7649,O,sgapkfrztiyyayezulvi,D,waiitdv,1855037.0,1-151-067-7411,390190.0,5.0,3.0,58.0,643.0,R.H. Donnelley,8.0
CMQ7650,O,Nohjtayoycptngwoitqzhmuf,U,Vlmzifrfolfs,2954046.0,1-645-553-4591,413821.0,4.0,1.0,67.0,817.0,Pall,2.0
Yhb7651,O,QIGFYQTIPFYCR,,DKXNSUJQRKGM,952096.0,1-670-793-5351,301451.0,1.0,2.0,68.0,702.0,Burlington Coat Factory,10.0
mbw7652,O,evwjgjrsttnkbmhmmrswodkvwdqo,D,Vzvadviukgid,3382998.0,1-049-843-6473,5888.0,1.0,0.0,17.0,409.0,Forest Laboratories,2.0
xas7653,O,SMOQFUQUOWABMRDKJPFC,,Jjtgz,3772196.0,1-739-185-6579,254404.0,2.0,2.0,44.0,617.0,Moody's,6.0
MKM7654,O,Jzwgkirmjeznhbniytvkxnhhar,M,TMWLE,3180080.0,1-215-295-5893,290984.0,3.0,0.0,16.0,,Fidelity National Financial,5.0
Jgi7655,O,IMPCDEPQTVPBRBNJNLWAPSYUW,M,Lfmjqz,3971412.0,,441847.0,5.0,5.0,27.0,756.0,Amphenol,
Mwv7656,R,Ewwyolurheysjpusipgrmydspux,D,bserucmdlez,1488210.0,1-515-341-8405,373240.0,2.0,4.0,59.0,484.0,Int. Business Machines,5.0
YOY7657,O,Indhpnqswpoplupdlejxhjm,S,Nobgu,2621373.0,1-249-978-7278,461444.0,1.0,4.0,8.0,589.0,Int. Flavors & Fragrances,9.0
Gja7658,O,Dahur,S,Mynrhpyte,1021949.0,1-471-716-6210,255072.0,1.0,4.0,98.0,380.0,Gilead Sciences,0.0
rcx7659,R,JLZXMAOFICNNT,S,aqobdfbeu,2444319.0,,255019.0,1.0,1.0,35.0,541.0,United Rentals,10.0
IPA7660,,Rvrfuknkgeyb,M,jecwnfavowiu,362567.0,1-982-617-1421,330718.0,1.0,,57.0,474.0,Convergys,7.0
rbj7661,O,Ruihhbkdjniajgrvwos,,Nmemytq,462234.0,1-068-568-6056,245130.0,2.0,1.0,69.0,685.0,Mueller Water Products,4.0
ebw7662,R,Gkirgeljoajnkshohjinbooco,M,Vqvleqweftl,3936622.0,,19691.0,4.0,3.0,33.0,363.0,Shaw Group,10.0
SQY7663,O,cgqpaxicnbhaaufmao,M,ABCSQOCHEHK,2116904.0,1-772-155-4468,13490.0,1.0,1.0,33.0,605.0,Energy Future Holdings,9.0
nqw7664,,beidygiakhaztngnhqsrjhxs,W,NOQIRAGYH,63883.0,1-551-833-6226,90333.0,4.0,4.0,1.0,394.0,PHH,6.0
Fyz7665,R,XXILDDNLYSINLOGZNXHQKGLMEAR,U,Yqqldbrjvcqq,2747738.0,1-894-068-7775,210200.0,0.0,2.0,19.0,812.0,Simon Property Group,6.0
Hds7666,R,MLHCHSATXNEQIRSMEHAM,M,BSICQKYPBDT,938329.0,,195318.0,3.0,3.0,63.0,688.0,World Fuel Services,3.0
ksz7667,O,Qqgzzbefkm,M,enurwe,976093.0,1-942-682-4165,486627.0,5.0,5.0,27.0,808.0,Andersons,9.0
Wzm7668,O,qdjedjylsojhngornkkgmozdbb,,Qslfupidrch,2031908.0,,142918.0,,4.0,12.0,492.0,L-3 Communications,1.0
Xna7669,O,Vszkppbmlhgmjgeiss,D,VEKXFJRNX,660066.0,1-316-836-0322,243364.0,4.0,3.0,26.0,734.0,CACI International,6.0
ugr7670,O,Yizitnh,M,Dbkoxqpx,2777991.0,1-746-466-6593,208343.0,1.0,5.0,2.0,579.0,M&T Bank Corp.,7.0
Qao7671,U,Jkrhfalisxualvrritesxm,M,HPYTPNH,3148815.0,1-306-508-0916,26787.0,0.0,4.0,34.0,410.0,Family Dollar Stores,10.0
MXH7672,O,Hfhsubkrpir,D,rxcbiltuvzyh,3714775.0,1-049-405-9872,190609.0,0.0,4.0,86.0,743.0,Medco Health Solutions,7.0
KQU7673,O,Htbblpuiuynkio,M,jfrawlwjssge,2203195.0,1-539-901-1797,,1.0,,47.0,431.0,Crosstex Energy,9.0
