AgeID,Coun,NumC,LN,NumCreCa,AddLi1,FirN,Ge,CreRa,OwORFl,Inc,Ph,NumChil,MarSt,A,Em,NeWo
Wsk7513,United States of America,4.0,Wskjvrujdwku,4.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Ccbccgvldfvoqtzestvkwunn,m,613.0,R,,1-915-548-9541,1.0,D,8.0,Boise,331799.0
Ffs7514,,4.0,Ffshsiomkzjonhxjhunfsao,4.0,,nyakrhdyxravdnhgbtol,,786.0,R,432425.0,1-536-880-0961,1.0,U,10.0,MDU Resources Group,1167013.0
Kvv7515,United States of America,0.0,Kvvverfkpazpzzkrqniixrhnw,10.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,NDNBTVCLKSC,,,O,122041.0,1-494-335-6022,3.0,U,24.0,Freescale Semiconductor,3960216.0
mpz7516,United States of America,1.0,mpzqnwnrmaozfsstcqtrc,5.0,,Zmstbluqkipzaojfsomtbdddguq,f,623.0,O,302205.0,1-814-158-3550,4.0,M,18.0,Superior Energy Services,242246.0
Jhc7517,United States of America,1.0,Jhcbaxyzijphmmvpampdgvgisnab,1.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,dpqgvuaoijmkxsesvililpxcrwqe,F,845.0,O,367555.0,1-420-580-0795,1.0,S,79.0,Monsanto,1217660.0
dbq7518,United States of America,4.0,dbqcukoddoiwg,7.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,IHUGYGSRDWILVOFBAKUR,M,645.0,U,106025.0,1-924-305-1666,5.0,M,36.0,Newfield Exploration,1229655.0
Xch7519,Canada,2.0,Xchoxlbkffuvox,1.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,aefotdcronamhkzsfpvifmobgchmsp,m,495.0,O,106690.0,1-450-082-2122,2.0,W,21.0,Loews,1157831.0
oir7520,Canada,2.0,oirfujtvl,8.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,jdeyqkerjerjpht,m,371.0,O,29373.0,1-573-009-1404,2.0,M,4.0,Apache,
Fqb7521,United States of America,2.0,Fqbovz,1.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Lwihnxoihqqrvjydsijd,M,462.0,R,168189.0,1-603-897-9894,3.0,S,72.0,Robert Half International,
qex7522,United States of America,,qextfjyytqwbmdrlykbfnhvqrmota,7.0,Dmyivtczopuqajpnjqvvgbhxynvduub,nmnervucuk,,375.0,U,264756.0,1-947-161-6502,,S,1.0,Viacom,3467922.0
Hpi7523,Canada,1.0,Hpiedhvkedqqdxsoedt,10.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,hgjkxxbf,,516.0,U,44480.0,1-586-826-9847,2.0,S,98.0,Robert Half International,46859.0
Fjd7524,Canada,1.0,Fjdafgbcrml,,Esuycdxsjfbrqbtluspxsehk,Zangtryzlhmxo,,703.0,R,87207.0,1-217-243-2668,5.0,,35.0,CSX,2937668.0
Cgt7525,United States of America,4.0,Cgtcmbl,7.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,FFJGEQD,,734.0,O,238434.0,1-857-211-5728,2.0,W,99.0,Country Financial Services,2388613.0
Lwx7526,United States of America,0.0,Lwxudfgcqawccntqaucdaeym,4.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Pdcxrihnl,M,469.0,U,,1-089-966-6281,2.0,M,49.0,Procter & Gamble,3116283.0
epy7527,United States of America,3.0,epyxtfsrijhddstgaxkbgmlayjtk,2.0,vnyndcximwxhecv,Zckhcacwaelzutaodqalxyjrkh,,595.0,O,391354.0,,0.0,S,72.0,Ingles Markets,2671950.0
Aff7528,United States of America,3.0,Affcha,1.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,sqrosgqnpifxjx,m,410.0,O,419165.0,1-231-342-6874,0.0,U,41.0,Forest Laboratories,3899593.0
mfc7529,Canada,3.0,mfcestd,10.0,,Erqzkkllazeobgthnmgsbtj,,475.0,O,396509.0,,2.0,W,54.0,Dentsply International,2537332.0
Slf7530,United States of America,0.0,Slfbmvc,2.0,GVSBHGBDDVJFNNOZNNPJWCOI,Lcziayaozecoqqluasolkmmcldm,,,R,145161.0,1-602-637-1838,2.0,,11.0,RadioShack,733236.0
Cxu7531,United States of America,2.0,Cxuousxqyrfgjvpvuopyfguqva,3.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Gcnczmuxviqaxtsdzmzhtro,,519.0,O,263206.0,1-003-982-8627,5.0,W,0.0,Century Aluminum,
GZO7532,United States of America,3.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,5.0,BIQIOQOHLQSTBRUFOI,Rsoobsqytvjycob,,841.0,U,190371.0,1-136-358-6852,3.0,D,27.0,,3397276.0
DRW7533,United States of America,3.0,DRWTVTDSG,6.0,Llfaqkbemnoy,Pjvadgt,,540.0,O,203968.0,1-123-528-2965,1.0,U,95.0,FPL Group,2444257.0
set7534,United States of America,1.0,setksinlvlrjwnfu,10.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,GUBKOKITTSKVYM,f,540.0,R,428323.0,1-136-565-2501,3.0,U,35.0,Lockheed Martin,71520.0
Pyo7535,United States of America,4.0,Pyoixliri,6.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,,,O,159980.0,1-317-986-1984,1.0,M,96.0,Sanmina-SCI,1911091.0
FSH7536,Canada,0.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,6.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,Kuteauo,M,424.0,O,266852.0,1-265-603-1262,0.0,W,96.0,Iron Mountain,988775.0
Tdx7537,United States of America,5.0,Tdxyljuxporjhdumcvfmv,2.0,,Hkfofpndygljbeo,,623.0,R,206973.0,,5.0,M,49.0,OfficeMax,3919363.0
Sbn7538,Canada,5.0,Sbnxcsrozzcufdoyvckpplofysx,4.0,atydogjpqphuwhegtbukkqiaeakrtrn,Kengxgsu,,792.0,O,258221.0,1-156-668-6882,1.0,S,,AMR,428918.0
Piq7539,United States of America,4.0,Piqizouhxiw,6.0,Hlotorcbtobuceb,Plywuoa,f,718.0,O,428508.0,1-164-648-3203,4.0,S,27.0,Kohl's,58134.0
IXD7540,,4.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,6.0,gsrdigbqfwrahybxrtm,zfcwsxpjzyqelkxg,M,401.0,O,,1-839-795-1027,0.0,M,98.0,Cigna,3703767.0
wsn7541,United States of America,4.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,2.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,Yxvczhqjwgnhowiu,,557.0,R,58953.0,1-958-412-4252,5.0,M,,West,433859.0
Jkp7542,United States of America,5.0,Jkpmtcj,7.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Grkknjyfgbhtyrhxzeaoeoyirwfa,M,393.0,O,409682.0,1-392-335-1020,5.0,W,56.0,Monsanto,3002044.0
CCF7543,United States of America,2.0,CCFFVCOHCLUUXZIQTCFCUHEYN,10.0,,Vfrdst,M,557.0,,340191.0,1-912-050-7605,4.0,M,94.0,Reliant Energy,1124168.0
ylj7544,United States of America,4.0,yljvuglvt,5.0,RELJYREDKQEKGOORBLRKOUIC,Hqcswumjvwbemosmy,,465.0,O,238216.0,1-075-551-9919,5.0,U,98.0,Idearc,2081541.0
ZBB7545,Canada,0.0,ZBBXAWVJAAL,6.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,Ectbhkmbvwkwdbn,F,,O,113171.0,1-013-611-2674,1.0,M,8.0,Neiman Marcus,1897076.0
fqe7546,United States of America,5.0,fqekemquvstw,10.0,Yewxbqpnfgh,Bdbgqpllbnrmiirpct,m,485.0,,234797.0,1-656-865-7544,,W,90.0,O'Reilly Automotive,235172.0
Wpw7547,United States of America,4.0,Wpwhilrlzng,2.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Ftszluaxcsoxdfbmdd,,303.0,,225322.0,1-879-870-7379,2.0,M,34.0,Cliffs Natural Resources,639573.0
vpz7548,Canada,1.0,vpzxgcwljllsq,4.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,Qrdnpjquwnixfocqhsrlkcxmelwijl,,846.0,O,192689.0,1-366-625-9813,2.0,W,25.0,Health Management Associates,2667082.0
Yfz7549,Canada,5.0,Yfzmtcvxc,1.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Kkiolpmrgzmnjanqc,,621.0,O,348685.0,1-359-462-7089,4.0,,50.0,Chevron,2598634.0
dou7550,United States of America,3.0,douvwdwiwrxoivzaojazinrhswjv,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,unzegilpp,,331.0,O,401229.0,,4.0,D,85.0,Exide Technologies,1074671.0
FDJ7551,United States of America,5.0,FDJOVRSOCWEIKZ,9.0,hfuyqlsmbesrylepu,xetqkitwlh,M,401.0,R,38597.0,1-153-396-8333,4.0,M,60.0,Convergys,2272997.0
ufu7552,United States of America,2.0,ufutrfkevxnbupjcetrpltw,0.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,TWRRGULRYKYUWZYBQQFMIFFKVK,,644.0,R,,1-144-623-1308,2.0,S,95.0,Dominion Resources,702000.0
bbg7553,United States of America,4.0,bbgzmquoeecumw,5.0,qgjnvpwvmgsqzcanzncon,Yqfljvgkfucafpjpamdtcppiipc,m,769.0,R,161204.0,1-269-220-8046,1.0,M,8.0,Sentry Insurance Group,1289800.0
Znk7554,,3.0,Znkkdbkvxcxeuackyodqlkpl,2.0,HNBGLUDIOAJRCCIXGDUQOO,mjeasoritwctufyojamzbeeoo,f,481.0,O,202650.0,1-052-524-0130,4.0,M,31.0,Cintas,1007390.0
CGQ7555,Canada,1.0,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,7.0,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,Udxaujgiratgthwkvdibgvwfo,F,732.0,O,,1-335-871-6660,2.0,U,51.0,Medtronic,124290.0
add7556,United States of America,4.0,addxtssyhezwro,2.0,dnlleihfh,GHFUKZPOKMXWZF,,802.0,O,492433.0,1-637-394-8083,4.0,M,24.0,Pride International,1820002.0
Anw7557,Canada,2.0,Anwyusqezrjppzkaevffwljm,5.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,ybtkiifyhbgchnuctnhnqspk,,329.0,O,344858.0,1-706-795-4208,4.0,M,78.0,A. Schulman,2200347.0
Hvt7558,United States of America,5.0,Hvtanebvipbdd,0.0,Wsjaujjdexc,Fhkymmgjsbmpduuffgavhfcxm,m,839.0,R,197290.0,1-622-347-5699,0.0,W,56.0,Oneok,3669569.0
Yqj7559,United States of America,2.0,Yqjaammjlhgpw,,Ojberg,DEZDTMSMWKALBRPALCFIME,,539.0,,283654.0,1-042-017-9368,,U,50.0,Danaher,2140537.0
Ztn7560,United States of America,4.0,Ztnstwpjxatqveppicohpzilnn,4.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,phoxfeiqoldgmnojmzunmargkla,F,561.0,R,317423.0,1-829-935-5979,5.0,M,52.0,Del Monte Foods,3258909.0
bni7561,United States of America,4.0,bnizllrrofn,2.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,Upuabfflh,F,814.0,O,399126.0,1-076-726-5283,5.0,W,14.0,American Electric Power,1825422.0
swx7562,United States of America,5.0,swxorhmdydwbrtdqxroghsddlpbdgi,7.0,Xwtkpxqgohxwxnv,owagfolbfwjzeg,,305.0,R,398180.0,,0.0,M,29.0,TJX,1845263.0
DSA7563,United States of America,2.0,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,4.0,Qpvmtkxxfef,Qdmppehqxloc,f,457.0,O,,1-284-129-5920,4.0,S,50.0,Philip Morris International,1463114.0
BXZ7564,United States of America,4.0,BXZUTWBUFSGPPXKR,8.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,jqbetxkci,,349.0,O,485429.0,1-128-308-8886,1.0,U,67.0,Cincinnati Financial,2354683.0
pcz7565,United States of America,2.0,pczqycbwefse,0.0,KRYAIAJGKHBKXBLC,Wsmywgbvwspgdwhmdxsqjwqb,,590.0,O,118018.0,1-145-469-5971,0.0,M,22.0,Stryker,436677.0
Zqa7566,United States of America,5.0,Zqaknviqngvemehvpzrcgkcvre,0.0,,ocgwi,m,533.0,O,309693.0,1-727-684-7767,4.0,U,20.0,Kansas City Southern,2383335.0
Htl7567,Canada,4.0,Htltlfnvjctvvdvulpkhcbyfi,9.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Pcotdnngmurhkcd,,686.0,O,90718.0,1-776-201-2472,0.0,W,75.0,IDT,2574739.0
afw7568,United States of America,2.0,afwafvxxdr,10.0,VBDCWYVK,bvcosqzcleknjzvkygbawlc,F,582.0,O,280645.0,1-767-942-1278,0.0,U,60.0,Vornado Realty Trust,1596838.0
Wna7569,United States of America,,Wnakgzhqfhtavtvegjtdmdosnjr,0.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,ECLENELTSXGTNWOP,,807.0,O,231559.0,1-723-062-7266,4.0,S,,Dollar General,591965.0
Mlh7570,United States of America,3.0,Mlheqxaigtvjaynkffyqkpu,3.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Xdwexmrjat,,819.0,O,36898.0,,5.0,S,48.0,Safeway,3071440.0
Gor7571,United States of America,2.0,Gorjnqxjtefmomsbmtnogaerx,5.0,Gwxymofcy,xjwnvwdryqpcehelwzfhkkiuus,,311.0,R,396786.0,1-145-314-0862,0.0,M,91.0,Apache,2683081.0
ENX7572,United States of America,2.0,ENXOMNHFVPYQSABETPUEKRKCL,3.0,Qynjnmfgwxpmrw,RNBABCYAFMQPBOHXNUXMXNU,f,734.0,O,344365.0,1-735-104-7772,5.0,U,98.0,Lowe's,3850483.0
fgr7573,United States of America,4.0,fgrdzzudzmwlluff,1.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,Eyrtrqkljywvbcice,,432.0,O,1205.0,,1.0,W,51.0,Lithia Motors,1870617.0
Ysh7574,United States of America,5.0,Yshzkx,3.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,Opybrukftspofebjmspkjsgtobzsp,m,394.0,O,276666.0,1-518-116-1411,0.0,S,22.0,CH2M Hill,1249534.0
Mos7575,United States of America,0.0,Mosqjrkdycyygfsljqadgfqoldb,1.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,,658.0,O,497953.0,1-696-359-4829,0.0,U,57.0,Tellabs,3789880.0
czu7576,Canada,1.0,czuvw,3.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,kpofwgtomgijnm,,348.0,O,156048.0,1-352-678-5471,2.0,M,38.0,Phillips-Van Heusen,3874445.0
Ghr7577,United States of America,1.0,Ghrlcuscpesuzsdwqfwwbgh,8.0,BESJDYZDIOIXKDFEHBQXBPW,Biflzgcqpqpbahquomftmjffohpwuy,,598.0,O,63617.0,1-906-600-9749,5.0,M,68.0,Wells Fargo,437353.0
Rwk7578,United States of America,2.0,Rwkdeshuwhwvmvmdnckmuvdt,9.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,ybdlwlwxispyswbiegrbsqqtywxr,,505.0,O,244849.0,1-093-018-2851,2.0,U,93.0,Vornado Realty Trust,2669917.0
Uwi7579,United States of America,4.0,Uwinnbtdd,7.0,Ivwhotvobwkshcixclfobqoljlaqohw,Capzcewdt,,839.0,R,123585.0,1-302-096-9321,3.0,S,48.0,New York Times,1466537.0
VXZ7580,United States of America,1.0,VXZTLDNZPYIFIKTIJRXS,2.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,XKBLVBCCYKMIXABVTOTVPZCJRII,,672.0,U,391134.0,1-915-044-3154,1.0,S,96.0,Adobe Systems,991860.0
Ayk7581,United States of America,5.0,Aykkkc,3.0,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,wmknfemsztimaphftadowlmbnp,f,696.0,O,426759.0,1-040-274-3474,5.0,M,58.0,Valmont Industries,
lho7582,United States of America,5.0,lhodktal,5.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,DHLVITRFJDXLTPAGMPMJ,M,448.0,O,451737.0,1-678-397-2739,3.0,W,63.0,UAL,1816368.0
rzi7583,United States of America,2.0,rziprpcfwnirtuvrbfnuepq,9.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,Jdpqutldftwykfyhukveiaimoyyk,,549.0,O,180822.0,1-679-345-9939,1.0,S,18.0,AFLAC,565246.0
Wds7584,United States of America,4.0,Wdsuorykxmvfxupyyjl,0.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,Qiwemtdba,,705.0,O,205843.0,1-093-616-0613,2.0,W,40.0,VeraSun Energy,1899339.0
Xsj7585,United States of America,4.0,Xsjypvyfoqbiq,6.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,JQKEDISZ,M,387.0,O,470985.0,1-546-131-8988,3.0,M,29.0,Magellan Health Services,3873239.0
Lux7586,United States of America,2.0,Luxkby,7.0,Nhgrkzjzcrjcerkwrugwul,Gfuwa,,359.0,,318225.0,1-477-186-7432,1.0,U,21.0,Emcor Group,767547.0
wxw7587,Canada,2.0,wxwhwasadsmxchyhlgrvnurte,9.0,,CTTUYHUUMMDTX,f,494.0,O,326044.0,1-965-848-6954,2.0,M,41.0,Peabody Energy,1027999.0
pfz7588,United States of America,1.0,pfzjoarqopfjtzjalxxxeq,10.0,uiaoi,Wvtqm,m,345.0,,,1-622-866-0937,1.0,M,56.0,State Farm Insurance Cos.,3428495.0
hlx7589,United States of America,2.0,hlxshqpvshstjerwclb,10.0,Wwonzdtvwkn,xuwgpsvzcpxtoerndtr,M,402.0,O,187282.0,1-040-217-2014,0.0,M,33.0,Humana,1827180.0
nyb7590,United States of America,2.0,nybiaaw,3.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,Hnnzpokbygacjjgybkskf,,579.0,O,,1-101-684-2373,0.0,M,96.0,News Corp.,2070007.0
Ltt7591,United States of America,2.0,Lttvvpjjavydrmbt,2.0,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,qsnivsknktiwjpqwnrlgftnmsrxkjc,,569.0,O,,1-386-426-5849,0.0,,35.0,Torchmark,
gsz7592,United States of America,0.0,gszunimggpyfjzmivbwizzftuen,9.0,cezvfwtftwlwfrgrpxtuejvrgucexe,pygsfvfpeofkdcugfvxdsqgmcgebfp,,745.0,O,306946.0,1-598-816-0126,4.0,W,40.0,Rock-Tenn,3596263.0
Kwp7593,,0.0,Kwpztgkknktyvdks,1.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,Zgxsuo,,320.0,U,99663.0,1-770-379-7700,,D,10.0,AGCO,3719999.0
AGM7594,United States of America,2.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,4.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,ganifmdaqbltccwbqijtkypcetuq,,591.0,R,482013.0,,4.0,M,59.0,,3058439.0
Ocn7595,United States of America,1.0,Ocnds,10.0,Ctgihaqlm,IYCOMORWDFSEKN,m,,U,180476.0,1-628-245-6238,0.0,M,70.0,United Stationers,2592932.0
Cmw7596,United States of America,4.0,Cmweamsabhudajyhpsohkpzcy,5.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,vdvdlfz,F,417.0,,285682.0,1-813-787-2611,5.0,M,69.0,McCormick,1471273.0
Dit7597,United States of America,0.0,Ditjvpiidkjkvxssfnctzcczb,8.0,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,Sbwymtnwzhffkwjczlsnvrtcv,,338.0,R,455032.0,1-362-897-1162,5.0,M,96.0,National Life Group,
Rmm7598,United States of America,3.0,Rmmasnivkq,9.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,qjjwbffbgxilxyarhjwdvo,,340.0,O,356141.0,1-952-919-4878,,S,9.0,Hasbro,2410816.0
ekj7599,Canada,3.0,ekjvgcmzgobzeerrpfgefwvxlvfcua,5.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,JIXUQX,,738.0,U,165667.0,1-145-214-8009,3.0,U,39.0,Tupperware Brands,1059543.0
wcq7600,United States of America,0.0,wcqqbslcxugdqpbzbmbqvlahw,7.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,Eqrxuc,,597.0,O,459767.0,1-328-944-9786,2.0,S,31.0,Covance,379282.0
Klc7601,United States of America,2.0,Klcanpomjmuwosnasroukafsxtufz,4.0,RSSNUTWWLOKIHRRTPEAFTLBF,PDAXUXBMPOVTKJUR,f,603.0,R,106459.0,1-899-864-9421,2.0,M,64.0,Interactive Brokers Group,3271265.0
Jrd7602,,,Jrdmn,5.0,Sachwqwddeyfxvagihsjxtcsibaejb,Adftxl,,662.0,U,51021.0,1-877-997-8896,1.0,D,38.0,SkyWest,1530364.0
GDQ7603,United States of America,2.0,GDQESTOSFCKVLPZEQPNFIKQLTXB,0.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,Gaksvvggpbleteofow,,838.0,R,494931.0,1-750-900-0823,4.0,W,47.0,Best Buy,3731860.0
fnm7604,United States of America,5.0,fnmqzceohwapysohiuofkhjpwzgv,9.0,Sbutxmtwkb,Ijstknxzfzsvqmy,,791.0,O,429859.0,,2.0,M,,Sears Holdings,2488858.0
Ymu7605,Canada,1.0,Ymuvinagbzdhiwglzfacood,7.0,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,jvhwyzbcwdrrqmlbvpjwbohhemm,,692.0,O,,1-347-704-7823,4.0,S,76.0,Frontier Oil,2301347.0
Pxj7606,,0.0,Pxjmfwpwm,8.0,mnkidgiyajigobghpnkdvauwiubpjb,nhhjbqktsr,,673.0,O,464086.0,1-228-976-2888,3.0,W,60.0,Automatic Data Processing,1736571.0
Rsd7607,Canada,3.0,Rsdlvo,7.0,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,Lmhtjwddyqbzlxgv,,331.0,O,207651.0,,,U,73.0,,2399483.0
Qqh7608,United States of America,4.0,Qqhwdyopkfs,2.0,Fmrydeogisvvtrpsfonolelpnqcbkrr,BXFLGQTJSJDQAUCXXJXWHTQU,,744.0,O,260418.0,1-760-429-1328,,U,37.0,Comerica,2982744.0
