NumberCreditCards,LastName,MaritalStatus,NetWorth,Age,FirstName,NumberCars,NumberChildren,State,Country,CreditRating,Income,AddressLine2,Phone,Employer,City,Gender,MiddleInitial,PostalCode,AddressLine1,OwnOrRentFlag,AgencyID
7.0,SKALSKI,D,528440.0,,Mari,0.0,1.0,CA,United States of America,527.0,436977.0,,1-960-227-2020,Old Republic International,Hayward,F,,95055,7818 EAST STREET,O,SKA26
0.0,Gargul,S,597140.0,51.0,Anica,0.0,,FL,United States of America,354.0,495334.0,,1-431-122-8597,,Palmdale,m,,93686,10013 shaw road,O,Gar27
1.0,Dore,M,146931.0,97.0,Melba,1.0,1.0,Newfoundland,United States of America,511.0,274685.0,,1-822-836-7200,Great Plains Energy,Phoenix,,,75218,6802 AMES STREET,O,Dor28
7.0,DIOGO,,353495.0,52.0,Tracee,2.0,2.0,TX,United States of America,412.0,320820.0,,1-530-117-0497,Broadcom,Gary,,X,91174,22501 SUMMIT RUE,,DIO29
1.0,Merrick,S,295647.0,98.0,CANADIAN,4.0,0.0,WA,Canada,583.0,195835.0,,1-051-257-2719,Discover Financial Services,Beaumont,m,,49515,291 frances rue,O,Mer30
5.0,Atchison,U,408941.0,47.0,Oue,5.0,3.0,MN,United States of America,710.0,108085.0,,1-171-989-1363,UAL,Nashua,,R,16506,16264 sanders east,O,Atc31
9.0,Plamondon,M,362523.0,47.0,wallie,2.0,1.0,WY,United States of America,380.0,260185.0,,1-042-705-3246,Charles Schwab,San Jose,m,X,94383,16068 cantey way,O,Pla32
2.0,SELCHOW,M,2102359.0,9.0,Andromache,0.0,0.0,NY,United States of America,796.0,258323.0,,1-098-328-2026,Coach,Nashua,F,E,T6d 1b3,21170 EDLOE BOULEVARD,R,SEL33
2.0,shane,M,3480265.0,85.0,THOR,1.0,3.0,SC,United States of America,818.0,79476.0,,1-209-754-5635,DaVita,Fort Smith,f,Z,25339,885 CROSBY LANE,U,sha34
3.0,MERWIN,M,3648900.0,81.0,SALAH,5.0,3.0,MS,United States of America,766.0,102156.0,,1-498-781-3456,Marshall & Ilsley Corp.,Lancaster,,,V6o 1v4,12235 jay street,U,MER35
2.0,conrad,M,1161790.0,0.0,HOR-LAM,2.0,3.0,UT,United States of America,359.0,221481.0,,1-615-241-0440,Cablevision Systems,Colorado Springs,,,01852,20340 LOMBARD CRESCENT,O,con36
2.0,onsiteteam,S,2050587.0,28.0,Vania,1.0,5.0,PA,United States of America,401.0,41836.0,,1-995-449-5200,Barnes & Noble,Washington,M,,78230,22074 dexter upper,R,ons37
0.0,Summerlin,U,3579198.0,65.0,Niel,1.0,1.0,OK,Canada,609.0,72389.0,,1-295-673-4452,EMC,Lowell,M,,93770,1540 MURIE RUE,O,Sum38
2.0,grooms,S,889494.0,20.0,ziad,3.0,0.0,WY,United States of America,630.0,66486.0,,1-914-675-2986,Fluor,Frederick,,F,m4l 1n4,7075 glen loch drive,O,gro39
9.0,dilkie,M,2205682.0,55.0,Claude,3.0,1.0,RI,United States of America,671.0,200185.0,Apt. 382,,Dollar General,Mesa,,I,22335,11237 balmoral way,O,dil40
10.0,DOLSON,U,1140117.0,76.0,AVTAR,0.0,2.0,HI,United States of America,715.0,289215.0,,1-825-739-0336,Lear,Lakewood,,,V6C 1T4,8316 GARDEN BROOK NORTH,O,DOL41
9.0,Posthumus,M,1421319.0,1.0,Donny,4.0,1.0,VA,United States of America,707.0,322484.0,,1-956-713-3802,J.P. Morgan Chase & Co.,Cleveland,,,M6t 1h3,2240 clifton lower,O,Pos42
0.0,Machika,M,3525204.0,3.0,Cocos,4.0,2.0,OK,United States of America,329.0,83458.0,,1-814-932-1579,Affinia Group Intermediate,Grand Rapids,,,95263,20907 NOTINGHAM LOWER,O,Mac43
8.0,chenoweth,D,468976.0,100.0,ruud,0.0,3.0,Prince Edward Island,United States of America,601.0,,,1-135-443-7282,,Peoria,,,v5b 1p5,601 carroll lower,R,che44
2.0,holbrooks,W,1685443.0,81.0,Belvia,5.0,1.0,SD,United States of America,623.0,492407.0,,1-720-975-0667,Goldman Sachs Group,Inglewood,,,32318,18267 state drive,O,hol45
2.0,pfieffer,S,337564.0,76.0,ATHAR,4.0,4.0,OH,United States of America,376.0,346630.0,,1-871-598-3505,E*Trade Financial,Akron,f,,93872,9270 LEAF SOUTH,O,pfi46
0.0,elkington,W,84777.0,51.0,Cherey,1.0,3.0,MA,Canada,560.0,9572.0,,1-607-222-4809,Pfizer,Charlottetown,,Y,92824,18582 PERIMETER BOULEVARD,O,elk47
4.0,Labenek,,3146477.0,,RAZ,1.0,5.0,MD,United States of America,693.0,265369.0,,1-965-046-0642,Safeway,Bellevue,F,,e4a 1r2,9612 park stream upper,O,Lab48
0.0,laferriere,S,495277.0,58.0,kishore,1.0,2.0,Saskatchewan,United States of America,346.0,104172.0,,1-155-441-3579,Simon Property Group,Dover,,Y,H7G 1V4,2803 clearwater north,U,laf49
0.0,Norment,M,746904.0,52.0,Nelleke,0.0,3.0,WA,United States of America,342.0,65550.0,,,Trinity Industries,Fullerton,,I,85039,11103 BISSONNET WEST,O,Nor50
8.0,hagar,M,1219620.0,91.0,sibby,2.0,0.0,OH,Canada,563.0,,,1-544-132-7237,Solutia,Denver,,,v6m 1q3,4652 outervale lane,R,hag51
4.0,Betcher,M,1718910.0,17.0,ericha,2.0,3.0,WY,United States of America,391.0,,,1-821-089-2089,,Dallas,m,,X7j 1r1,341 dunbar west,O,Bet52
8.0,Van der,S,,6.0,Janson,4.0,4.0,NJ,United States of America,381.0,66244.0,,1-135-391-9787,A.O. Smith,San Jose,m,,B8b 1z5,16176 vernon drive,O,Van53
9.0,O'LEARY,S,2636424.0,89.0,Dorotea,0.0,3.0,ND,United States of America,539.0,426954.0,,1-776-182-6215,AptarGroup,Bellevue,F,,t5d 1v4,23131 clint way,U,O'L54
0.0,anderson,M,1326305.0,99.0,Denice,5.0,4.0,NC,United States of America,497.0,126891.0,,1-079-780-7761,Coca-Cola,San Buenaventura,m,,V6t 1r2,11640 baltic upper,O,and55
,starks,M,2241997.0,77.0,Myron,4.0,2.0,WV,Canada,661.0,454196.0,,1-504-346-4393,Kimberly-Clark,St. Louis,,,91177,20796 dolores drive,O,sta56
0.0,CHASSE,S,1542891.0,,Barby,5.0,3.0,GA,United States of America,558.0,163940.0,Apt. 275,1-985-538-4351,Visteon,Pueblo,,,T5c 1t1,14359 COMMERCE WEST,R,CHA57
,ASING,W,797918.0,90.0,Ariella,,1.0,Ontario,Canada,534.0,365213.0,,1-254-097-9398,TECO Energy,Regina,R,,35862,21448 hampton boulevard,O,ASI58
6.0,askins,M,347654.0,82.0,ADEY,0.0,0.0,MA,United States of America,373.0,428739.0,,1-545-924-9552,Bemis,Saskatoon,f,,96820,7637 pershing way,U,ask59
8.0,Kikuta,M,2456397.0,,GAYEL,4.0,0.0,CA,United States of America,382.0,142444.0,,1-984-233-8818,Wyeth,Jackson,,K,75238,11529 arcana boulevard,O,Kik60
10.0,Chane,S,1284229.0,15.0,Man,3.0,3.0,SD,United States of America,475.0,416168.0,,1-528-691-1642,United Technologies,St. Petersburg,F,,85769,2700 windwood north,O,Cha61
3.0,KILLEN,D,618787.0,,Klara,2.0,0.0,Saskatchewan,United States of America,539.0,291420.0,,,Clorox,Scottsdale,m,U,H5i 1o9,22279 gramercy road,O,KIL62
6.0,kinley,M,1171606.0,96.0,Abdalla,4.0,5.0,RI,United States of America,711.0,413501.0,,1-171-807-8213,Discovery Communications,Charlotte,f,,90849,9828 west east,O,kin63
1.0,MALAHER,M,3983261.0,38.0,bal,4.0,,NC,United States of America,606.0,,,1-056-241-7009,Williams-Sonoma,Waterbury,,,43644,5935 mcafee park,O,MAL64
0.0,Odum,W,2328568.0,10.0,Romy,3.0,3.0,SD,United States of America,494.0,419143.0,,1-389-414-0570,Manitowoc,Chesapeake,,J,99213,12460 CLAYTON STREET,O,Odu65
3.0,DI NINNO,M,2078600.0,72.0,KORAL,1.0,5.0,IL,United States of America,309.0,155057.0,,1-583-542-1656,Henry Schein,Hialeah,,,72226,275 3rd drive,O,DI 66
3.0,STUBBLEFIELD,M,2986155.0,97.0,YUKIHIKO,2.0,5.0,OR,United States of America,630.0,313859.0,,1-269-712-0672,Trinity Industries,Charleston,,K,V6Z 1Q9,6907 FERNCLIFF CRESCENT,O,STU67
10.0,HAMBALI,S,1864039.0,48.0,Khanh,4.0,1.0,Ontario,United States of America,330.0,265907.0,,1-670-102-0463,Pepsi Bottling,Salem,,,20082,885 crosby lane,O,HAM68
9.0,LIBRARIAN,S,1293721.0,97.0,Darnell,,0.0,FL,Canada,710.0,283481.0,,1-699-726-3895,UGI,Sacramento,m,,35827,2344 kalani west,O,LIB69
7.0,ohsone,M,3850114.0,73.0,feridoun,4.0,0.0,NM,United States of America,475.0,200635.0,,1-640-666-2876,Greif,Santa Clarita,M,,99692,22870 LA CIENEGA STREET,R,ohs70
3.0,HUMMEL,U,1618743.0,71.0,Magdy,0.0,1.0,NE,United States of America,596.0,434519.0,APT. 143,1-540-639-1311,Equifax,Sherbrooke,,O,V6c 1q5,8478 green avenue,O,HUM71
9.0,BRADD,W,3383487.0,93.0,jiri,5.0,1.0,MI,United States of America,670.0,392315.0,,1-285-874-8492,,Colorado Springs,,,80158,23639 purdue rue,O,BRA72
,Boarder,U,2981876.0,53.0,AILA,5.0,3.0,New Brunswick,United States of America,722.0,493829.0,,1-121-904-0040,Freescale Semiconductor,Berkeley,,X,t6d 1b6,19202 ansley park,O,Boa73
7.0,Mcnally,U,2109339.0,32.0,Vincenzo,3.0,2.0,NJ,United States of America,587.0,97489.0,,1-017-842-3201,Aleris International,San Buenaventura,,,33120,11319 devonshire rue,O,Mcn74
4.0,MARKOVICH,S,791803.0,1.0,Minnnie,4.0,3.0,ND,United States of America,609.0,,,1-215-859-3206,,New Haven,F,,99742,23665 deerwood park,O,MAR75
7.0,Willekes,S,3523678.0,39.0,alfonzo,0.0,1.0,Saskatchewan,United States of America,401.0,383046.0,,1-764-520-7470,World Fuel Services,Shreveport,f,,V6N 1T1,4855 union north,O,Wil76
0.0,Deacetis,M,1681902.0,77.0,Swandi,4.0,0.0,KS,United States of America,335.0,1190.0,,1-414-130-0162,R.R. Donnelley & Sons,Lansing,m,S,44104,9466 SHADOWBRIAR WEST,,Dea77
7.0,Houk,U,3851455.0,18.0,Anya,5.0,5.0,SD,United States of America,569.0,85733.0,,1-970-240-9990,Brinker International,Pembroke Pines,,,14605,3504 regency avenue,O,Hou78
9.0,Goyette,M,2339382.0,70.0,Enrika,0.0,2.0,FL,Canada,,387890.0,,1-408-684-6459,Temple-Inland,Palmdale,,,80076,7281 northland lower,R,Goy79
7.0,Mok-fung,S,,26.0,SONJA,2.0,0.0,Saskatchewan,United States of America,679.0,16808.0,,1-330-353-5908,Psychiatric Solutions,Savannah,f,Z,V6I 1V6,12481 hayden lower,O,Mok80
10.0,Rundle,M,2065016.0,,Liem,,4.0,FL,United States of America,356.0,304589.0,,1-766-726-2675,Nash-Finch,Amarillo,,I,97307,2328 gracie avenue,,Run81
9.0,BELLEY,S,2454049.0,58.0,COLLETTE,2.0,5.0,UT,United States of America,308.0,48506.0,,1-938-425-7509,AMR,Anchorage,o,,46237,4737 campbell street,R,BEL82
4.0,BAER,M,2423395.0,43.0,SIAMACK,0.0,4.0,WY,United States of America,412.0,,,1-527-308-8874,Spartan Stores,Louisville,,Y,V6B 1S6,2401 stratmore lower,O,BAE83
4.0,MAULDIN,D,1342045.0,65.0,Toshihiro,2.0,3.0,NH,United States of America,618.0,358862.0,,1-810-590-0635,Cigna,Hilo,f,,H2d 1x1,21477 JUNIPER CRESCENT,O,MAU84
5.0,Koohgoli,S,861756.0,24.0,Casey,5.0,3.0,AR,United States of America,429.0,477614.0,,1-274-548-2512,General Cable,Sudbury,,,95108,19214 YAUPON BOULEVARD,O,Koo85
3.0,Lauriston,S,1215349.0,79.0,Daryn,3.0,1.0,CT,United States of America,819.0,175414.0,,1-649-754-4601,Dun & Bradstreet,Orlando,,,80050,7785 rusk boulevard,O,Lau86
7.0,Mangum,M,3981554.0,48.0,Adrianna,0.0,1.0,VT,Canada,552.0,427598.0,,1-905-932-1785,Casey's General Stores,Missoula,F,L,90122,18002 cantrell upper,O,Man87
9.0,PIERCY,S,3865937.0,69.0,Cortney,0.0,4.0,Manitoba,United States of America,587.0,368207.0,,1-031-004-7697,Jack in the Box,Abilene,,,43614,23341 brookside upper,O,PIE88
6.0,Buscaglia,S,2804700.0,91.0,Duane,3.0,1.0,NJ,United States of America,304.0,449944.0,,1-994-812-4796,Assurant,Saskatoon,M,,61110,20494 ROSS WEST,O,Bus89
4.0,BABIONE,,3283558.0,75.0,Tele,5.0,5.0,KY,United States of America,795.0,166247.0,,1-176-513-4041,Psychiatric Solutions,Irvine,,,70174,17552 SAVANNAH NORTH,U,BAB90
2.0,Burkard,S,450524.0,85.0,Ophelia,1.0,3.0,GA,United States of America,830.0,391165.0,APT. 373,1-072-244-6337,Danaher,Reno,M,,90324,4462 pace crescent,O,Bur91
3.0,Kinsella,M,,76.0,lorine,5.0,3.0,NJ,United States of America,709.0,165854.0,,1-924-669-9328,Clorox,Sacramento,,,s7d 1n1,7161 tallowood upper,R,Kin92
8.0,POMMAINVILLE,S,,68.0,Viole,2.0,1.0,SC,United States of America,493.0,326181.0,,1-598-488-3541,Boyd Gaming,Topeka,,,93829,3489 silver sage west,O,POM93
,BOATWRIGHT,M,633760.0,95.0,Nani,3.0,,TN,United States of America,680.0,173387.0,,1-295-539-3868,Eaton,Rancho Cucamonga,M,,89116,12481 hayden lower,O,BOA94
,Ronald,M,3634954.0,15.0,cherey,1.0,5.0,WY,United States of America,800.0,301127.0,,1-554-020-0267,Dynegy,Hilo,,R,94315,13210 3RD DRIVE,R,Ron95
4.0,weihs,M,799268.0,17.0,Redgie,1.0,5.0,Ontario,United States of America,614.0,487230.0,,1-793-621-4566,AmeriCredit,Saint John,,A,T5b 1u9,8899 starling lane,R,wei96
6.0,Helpb,,39093.0,94.0,Yousef,4.0,0.0,DC,Canada,763.0,425747.0,,1-787-267-4261,SLM,Torrance,M,P,T6b 1a5,11480 fennel south,R,Hel97
3.0,moghe,S,2705353.0,70.0,Damaris,4.0,4.0,Alberta,United States of America,561.0,401946.0,,1-668-247-1597,NV Energy,Santa Clara,m,,60699,7266 cherry upper,O,mog98
4.0,bozicevich,S,3565153.0,29.0,Ilyssa,1.0,2.0,ME,United States of America,569.0,425422.0,,1-901-346-8890,Landstar System,Torrance,,,V6p 1s8,10678 ENGLEWOOD WEST,O,boz99
5.0,Zaharychuk,M,2832204.0,52.0,Moselle,4.0,1.0,MA,United States of America,634.0,208890.0,,1-451-273-3803,Pacific Life,Stockton,,R,v6i 1p1,21181 2ND RUE,O,Zah100
10.0,Andric,U,2194345.0,51.0,Dulsea,5.0,3.0,NV,United States of America,488.0,67880.0,,1-129-499-9136,Textron,Paterson,F,,79423,22963 hanover road,O,And101
5.0,Bamfo,W,3737140.0,24.0,Lyndsie,2.0,3.0,WA,Canada,788.0,133412.0,,1-899-319-0772,Pfizer,Mesa,,L,H5j 1o6,8268 cliffbrook boulevard,O,Bam102
8.0,frondozo,D,464753.0,98.0,KESLEY,3.0,4.0,WY,United States of America,333.0,144829.0,,1-053-396-0441,Cigna,Anchorage,,,93761,5118 montview court,O,fro103
,Caron,M,596696.0,59.0,LAUREL,1.0,1.0,NJ,United States of America,601.0,,,1-239-665-9540,Ameren,Miami,,J,76150,17442 tallowood upper,U,Car104
2.0,muchow,U,1504753.0,49.0,Steen,3.0,4.0,LA,Canada,595.0,143682.0,,1-605-888-3403,Consolidated Edison,Great Falls,f,V,99717,4038 WEDGEWOOD STREET,O,muc105
10.0,gateau,U,3049281.0,1.0,noel,0.0,1.0,TX,United States of America,433.0,350020.0,,1-630-604-2543,Occidental Petroleum,Erie,,,60608,20334 anaconda avenue,O,gat106
10.0,Schaefer,U,247478.0,79.0,Tracey,0.0,,SC,United States of America,403.0,435103.0,,1-851-862-7928,Sherwin-Williams,Hollywood,F,M,v6w 1u4,5385 young west,O,Sch107
3.0,pomerleau,,2750301.0,6.0,Sarajane,1.0,5.0,TX,United States of America,615.0,207768.0,,1-065-415-5724,Affiliated Computer Services,Tulsa,,,T5b 1t6,2747 SINCLAIR LANE,R,pom108
1.0,cucuzzella,M,721333.0,70.0,Geoffrey,0.0,4.0,MN,United States of America,735.0,407512.0,,1-408-512-1007,Valassis Communications,Tucson,F,K,23298,8622 BROWNWAY PARK,O,cuc109
1.0,SUGARMAN,S,669440.0,23.0,loralyn,3.0,0.0,ID,United States of America,668.0,403366.0,,1-083-902-4184,,Anchorage,q,Z,32803,18048 GREEN NORTH,O,SUG110
,Pepe,M,2473979.0,78.0,andrei,3.0,5.0,MI,Canada,349.0,384095.0,,1-568-403-7081,Smithfield Foods,Sandy,,,64122,18994 country boulevard,O,Pep111
,Chandrashekar,S,3545170.0,79.0,javad,4.0,,OK,United States of America,654.0,288969.0,SUITE 7,1-824-389-0618,,Boston,f,,T6b 1h2,16063 ashland road,,Cha112
6.0,SEIFERS,U,1494871.0,72.0,Karna,2.0,3.0,UT,United States of America,361.0,233665.0,Apt. 971,1-174-210-2058,TD Ameritrade,Vancouver,m,U,22222,19309 mcfarlin north,O,SEI113
1.0,GARTLEY,S,436164.0,31.0,Jocelyn,4.0,0.0,PA,Canada,427.0,147236.0,,1-425-503-7952,Comerica,Akron,F,S,T6a 1d2,2454 cliffbrook west,U,GAR114
1.0,Touchette,W,1069481.0,86.0,Elvera,0.0,3.0,New Brunswick,United States of America,322.0,452557.0,,1-012-389-9089,Steel Dynamics,Lancaster,M,,v5d 1n9,15865 strand west,O,Tou115
9.0,Kurdziel,S,,,Nessy,2.0,0.0,UT,United States of America,792.0,179305.0,,1-909-472-6704,Coca-Cola Enterprises,Concord,M,V,23321,13776 east boulevard,R,Kur116
2.0,Herod,U,2957261.0,87.0,lona,3.0,0.0,VA,Canada,478.0,205817.0,,1-622-167-5411,News Corp.,Chesapeake,,,90505,10570 WEIZMANN LOWER,O,Her117
1.0,MCVICAR,M,228459.0,92.0,RHEA,,5.0,NH,United States of America,477.0,262711.0,,1-164-511-9338,,Flint,,P,19066,15278 walnut hill road,O,MCV118
6.0,LABFIVE,M,67267.0,4.0,Josefa,1.0,5.0,VT,Canada,449.0,84810.0,,1-804-532-9163,Stater Bros. Holdings,Chattanooga,F,,v6s 1r3,23007 WAKEFOREST WAY,O,LAB119
2.0,butta,U,1087978.0,8.0,alikee,2.0,4.0,FL,United States of America,466.0,96441.0,,1-197-370-0297,BorgWarner,Billings,,,78769,9088 rivas way,O,but120
2.0,Projects,M,3885967.0,97.0,dolorita,0.0,5.0,NC,United States of America,483.0,462762.0,,1-337-042-5687,CB Richard Ellis Group,Scottsdale,m,,53769,18798 ullrich road,O,Pro121
4.0,Irc,D,3271101.0,,Marilyn,5.0,4.0,VA,United States of America,588.0,141890.0,,1-056-138-5321,Zimmer Holdings,Oshawa,,,H7E 1U6,18517 HULEN LOWER,O,Irc122
2.0,Zivkovic,,,40.0,robertson,5.0,5.0,DC,Canada,313.0,156610.0,,1-776-191-2031,Mohawk Industries,Naperville,,G,e7o 1k1,11474 dodd lane,O,Ziv123
1.0,simser,U,1999133.0,95.0,Ilsa,1.0,4.0,NC,United States of America,647.0,164752.0,,1-280-696-2706,Berkshire Hathaway,Tampa,,H,90374,9375 wood south,R,sim124
2.0,keifer,S,1100786.0,92.0,Pen,1.0,5.0,MS,United States of America,430.0,278949.0,,1-857-581-6346,Saks,Jackson,,I,63169,20479 wise avenue,O,kei125
8.0,arvin,W,563992.0,67.0,AUBRETTE,0.0,5.0,SC,United States of America,467.0,,,,Gardner Denver,Hay River,f,P,16515,19918 ROGERS NORTH,O,arv126
7.0,Praeuner,M,962397.0,24.0,Cole,3.0,2.0,KS,United States of America,399.0,463736.0,,1-716-343-0884,Hasbro,Irvine,F,,85309,9284 coffey lower,O,Pra127
5.0,lue,M,1064169.0,26.0,liva,2.0,3.0,VT,United States of America,654.0,,,1-101-776-2496,CBS,Idaho Falls,m,C,92158,2929 north crescent,O,lue128
3.0,Przybycien,S,2100059.0,62.0,Ayaz,2.0,0.0,IL,United States of America,378.0,86667.0,,1-769-028-0589,Synnex,Moreno Valley,f,,33152,15404 queen street,O,Prz129
10.0,penn,W,99025.0,37.0,YETTY,5.0,1.0,FL,United States of America,338.0,193470.0,,1-005-833-8970,Belden,Ontario,f,J,83729,1619 greenspoint road,O,pen130
10.0,Guay,S,3865481.0,71.0,Mary-michelle,5.0,0.0,MI,United States of America,695.0,406379.0,,1-884-215-4243,Broadcom,Concord,,S,B8b 1z6,21477 WARREN PARK,R,Gua131
7.0,brennand,M,804544.0,29.0,agretha,1.0,3.0,Newfoundland,Canada,614.0,480595.0,,,Reynolds American,Phoenix,F,,53717,6503 ROBBINS STREET,U,bre132
7.0,Savanh,S,3143356.0,89.0,LOTTY,4.0,5.0,ME,United States of America,307.0,181718.0,,1-725-177-7815,Wells Fargo,Coral Springs,f,X,t5c 1w7,3958 GLEN LOCH BOULEVARD,O,Sav133
2.0,ABBATANTUONO,M,,11.0,Kassey,0.0,3.0,AL,United States of America,331.0,468310.0,,1-277-496-5396,Retail Ventures,Oxnard,,Z,37245,13640 ethridge lower,O,ABB134
2.0,OP,S,2311953.0,20.0,Adria,2.0,0.0,IN,United States of America,638.0,354987.0,,1-756-463-2201,AT&T,Brownsville,M,N,94401,3981 imperial lower,O,OP135
3.0,Mersinger,W,3120608.0,75.0,audivox,3.0,5.0,NH,Canada,703.0,284539.0,,1-261-338-7463,Wynn Resorts,Memphis,,,B8a 1y3,13210 3rd drive,O,Mer136
7.0,rutt,S,2058270.0,95.0,SUE,0.0,5.0,DC,United States of America,302.0,213725.0,,1-811-086-4675,Eastman Kodak,Flint,F,,t6b 1k2,9297 THROCKMORTON SOUTH,O,rut137
,bemis,U,1511983.0,0.0,Lorenza,2.0,3.0,DC,United States of America,522.0,74195.0,,1-338-771-1185,Aramark,Lafayette,,I,85306,8935 YOUNG UPPER,O,bem138
,Pennington,M,439080.0,73.0,Enzo,5.0,1.0,MD,United States of America,,169295.0,,1-554-231-5318,ENSCO International,Greensboro,,,V6R 1R7,3797 RUTGERS PARK,O,Pen139
5.0,torok,W,921255.0,39.0,claudina,1.0,0.0,Prince Edward Island,United States of America,833.0,307832.0,,1-733-886-5227,Auto-Owners Insurance,Sterling Heights,M,Y,68513,8285 tamarind crescent,R,tor140
