AddressLine2,MaritalStatus,AddressLine1,OwnOrRentFlag,AgencyID,Age,Phone,LastName,State,City,Gender,CreditRating,NumberChildren,NumberCreditCards,MiddleInitial,FirstName,Income,NumberCars,Employer,PostalCode,Country,NetWorth
,S,10013 shaw road,O,Gar27,51.0,1-431-122-8597,Gargul,FL,Palmdale,m,354.0,,0.0,,Anica,495334.0,0.0,,93686,United States of America,597140.0
,M,6802 AMES STREET,O,Dor28,97.0,1-822-836-7200,Dore,Newfoundland,Phoenix,,511.0,1.0,1.0,,Melba,274685.0,1.0,Great Plains Energy,75218,United States of America,146931.0
,,22501 SUMMIT RUE,,DIO29,52.0,1-530-117-0497,DIOGO,TX,Gary,,412.0,2.0,7.0,X,Tracee,320820.0,2.0,Broadcom,91174,United States of America,353495.0
,S,291 frances rue,O,Mer30,98.0,1-051-257-2719,Merrick,WA,Beaumont,m,583.0,0.0,1.0,,CANADIAN,195835.0,4.0,Discover Financial Services,49515,Canada,295647.0
,U,16264 sanders east,O,Atc31,47.0,1-171-989-1363,Atchison,MN,Nashua,,710.0,3.0,5.0,R,Oue,108085.0,5.0,UAL,16506,United States of America,408941.0
,M,16068 cantey way,O,Pla32,47.0,1-042-705-3246,Plamondon,WY,San Jose,m,380.0,1.0,9.0,X,wallie,260185.0,2.0,Charles Schwab,94383,United States of America,362523.0
,M,21170 EDLOE BOULEVARD,R,SEL33,9.0,1-098-328-2026,SELCHOW,NY,Nashua,F,796.0,0.0,2.0,E,Andromache,258323.0,0.0,Coach,T6d 1b3,United States of America,2102359.0
,M,885 CROSBY LANE,U,sha34,85.0,1-209-754-5635,shane,SC,Fort Smith,f,818.0,3.0,2.0,Z,THOR,79476.0,1.0,DaVita,25339,United States of America,3480265.0
,M,12235 jay street,U,MER35,81.0,1-498-781-3456,MERWIN,MS,Lancaster,,766.0,3.0,3.0,,SALAH,102156.0,5.0,Marshall & Ilsley Corp.,V6o 1v4,United States of America,3648900.0
,M,20340 LOMBARD CRESCENT,O,con36,0.0,1-615-241-0440,conrad,UT,Colorado Springs,,359.0,3.0,2.0,,HOR-LAM,221481.0,2.0,Cablevision Systems,01852,United States of America,1161790.0
,S,22074 dexter upper,R,ons37,28.0,1-995-449-5200,onsiteteam,PA,Washington,M,401.0,5.0,2.0,,Vania,41836.0,1.0,Barnes & Noble,78230,United States of America,2050587.0
,U,1540 MURIE RUE,O,Sum38,65.0,1-295-673-4452,Summerlin,OK,Lowell,M,609.0,1.0,0.0,,Niel,72389.0,1.0,EMC,93770,Canada,3579198.0
,S,7075 glen loch drive,O,gro39,20.0,1-914-675-2986,grooms,WY,Frederick,,630.0,0.0,2.0,F,ziad,66486.0,3.0,Fluor,m4l 1n4,United States of America,889494.0
Apt. 382,M,11237 balmoral way,O,dil40,55.0,,dilkie,RI,Mesa,,671.0,1.0,9.0,I,Claude,200185.0,3.0,Dollar General,22335,United States of America,2205682.0
,U,8316 GARDEN BROOK NORTH,O,DOL41,76.0,1-825-739-0336,DOLSON,HI,Lakewood,,715.0,2.0,10.0,,AVTAR,289215.0,0.0,Lear,V6C 1T4,United States of America,1140117.0
,M,2240 clifton lower,O,Pos42,1.0,1-956-713-3802,Posthumus,VA,Cleveland,,707.0,1.0,9.0,,Donny,322484.0,4.0,J.P. Morgan Chase & Co.,M6t 1h3,United States of America,1421319.0
,M,20907 NOTINGHAM LOWER,O,Mac43,3.0,1-814-932-1579,Machika,OK,Grand Rapids,,329.0,2.0,0.0,,Cocos,83458.0,4.0,Affinia Group Intermediate,95263,United States of America,3525204.0
,D,601 carroll lower,R,che44,100.0,1-135-443-7282,chenoweth,Prince Edward Island,Peoria,,601.0,3.0,8.0,,ruud,,0.0,,v5b 1p5,United States of America,468976.0
,W,18267 state drive,O,hol45,81.0,1-720-975-0667,holbrooks,SD,Inglewood,,623.0,1.0,2.0,,Belvia,492407.0,5.0,Goldman Sachs Group,32318,United States of America,1685443.0
,S,9270 LEAF SOUTH,O,pfi46,76.0,1-871-598-3505,pfieffer,OH,Akron,f,376.0,4.0,2.0,,ATHAR,346630.0,4.0,E*Trade Financial,93872,United States of America,337564.0
,W,18582 PERIMETER BOULEVARD,O,elk47,51.0,1-607-222-4809,elkington,MA,Charlottetown,,560.0,3.0,0.0,Y,Cherey,9572.0,1.0,Pfizer,92824,Canada,84777.0
,,9612 park stream upper,O,Lab48,,1-965-046-0642,Labenek,MD,Bellevue,F,693.0,5.0,4.0,,RAZ,265369.0,1.0,Safeway,e4a 1r2,United States of America,3146477.0
,S,2803 clearwater north,U,laf49,58.0,1-155-441-3579,laferriere,Saskatchewan,Dover,,346.0,2.0,0.0,Y,kishore,104172.0,1.0,Simon Property Group,H7G 1V4,United States of America,495277.0
,M,11103 BISSONNET WEST,O,Nor50,52.0,,Norment,WA,Fullerton,,342.0,3.0,0.0,I,Nelleke,65550.0,0.0,Trinity Industries,85039,United States of America,746904.0
,M,4652 outervale lane,R,hag51,91.0,1-544-132-7237,hagar,OH,Denver,,563.0,0.0,8.0,,sibby,,2.0,Solutia,v6m 1q3,Canada,1219620.0
,M,341 dunbar west,O,Bet52,17.0,1-821-089-2089,Betcher,WY,Dallas,m,391.0,3.0,4.0,,ericha,,2.0,,X7j 1r1,United States of America,1718910.0
,S,16176 vernon drive,O,Van53,6.0,1-135-391-9787,Van der,NJ,San Jose,m,381.0,4.0,8.0,,Janson,66244.0,4.0,A.O. Smith,B8b 1z5,United States of America,
,S,23131 clint way,U,O'L54,89.0,1-776-182-6215,O'LEARY,ND,Bellevue,F,539.0,3.0,9.0,,Dorotea,426954.0,0.0,AptarGroup,t5d 1v4,United States of America,2636424.0
,M,11640 baltic upper,O,and55,99.0,1-079-780-7761,anderson,NC,San Buenaventura,m,497.0,4.0,0.0,,Denice,126891.0,5.0,Coca-Cola,V6t 1r2,United States of America,1326305.0
,M,20796 dolores drive,O,sta56,77.0,1-504-346-4393,starks,WV,St. Louis,,661.0,2.0,,,Myron,454196.0,4.0,Kimberly-Clark,91177,Canada,2241997.0
Apt. 275,S,14359 COMMERCE WEST,R,CHA57,,1-985-538-4351,CHASSE,GA,Pueblo,,558.0,3.0,0.0,,Barby,163940.0,5.0,Visteon,T5c 1t1,United States of America,1542891.0
,W,21448 hampton boulevard,O,ASI58,90.0,1-254-097-9398,ASING,Ontario,Regina,R,534.0,1.0,,,Ariella,365213.0,,TECO Energy,35862,Canada,797918.0
,M,7637 pershing way,U,ask59,82.0,1-545-924-9552,askins,MA,Saskatoon,f,373.0,0.0,6.0,,ADEY,428739.0,0.0,Bemis,96820,United States of America,347654.0
,M,11529 arcana boulevard,O,Kik60,,1-984-233-8818,Kikuta,CA,Jackson,,382.0,0.0,8.0,K,GAYEL,142444.0,4.0,Wyeth,75238,United States of America,2456397.0
,S,2700 windwood north,O,Cha61,15.0,1-528-691-1642,Chane,SD,St. Petersburg,F,475.0,3.0,10.0,,Man,416168.0,3.0,United Technologies,85769,United States of America,1284229.0
,D,22279 gramercy road,O,KIL62,,,KILLEN,Saskatchewan,Scottsdale,m,539.0,0.0,3.0,U,Klara,291420.0,2.0,Clorox,H5i 1o9,United States of America,618787.0
,M,9828 west east,O,kin63,96.0,1-171-807-8213,kinley,RI,Charlotte,f,711.0,5.0,6.0,,Abdalla,413501.0,4.0,Discovery Communications,90849,United States of America,1171606.0
,M,5935 mcafee park,O,MAL64,38.0,1-056-241-7009,MALAHER,NC,Waterbury,,606.0,,1.0,,bal,,4.0,Williams-Sonoma,43644,United States of America,3983261.0
,W,12460 CLAYTON STREET,O,Odu65,10.0,1-389-414-0570,Odum,SD,Chesapeake,,494.0,3.0,0.0,J,Romy,419143.0,3.0,Manitowoc,99213,United States of America,2328568.0
,M,275 3rd drive,O,DI 66,72.0,1-583-542-1656,DI NINNO,IL,Hialeah,,309.0,5.0,3.0,,KORAL,155057.0,1.0,Henry Schein,72226,United States of America,2078600.0
,M,6907 FERNCLIFF CRESCENT,O,STU67,97.0,1-269-712-0672,STUBBLEFIELD,OR,Charleston,,630.0,5.0,3.0,K,YUKIHIKO,313859.0,2.0,Trinity Industries,V6Z 1Q9,United States of America,2986155.0
,S,885 crosby lane,O,HAM68,48.0,1-670-102-0463,HAMBALI,Ontario,Salem,,330.0,1.0,10.0,,Khanh,265907.0,4.0,Pepsi Bottling,20082,United States of America,1864039.0
,S,2344 kalani west,O,LIB69,97.0,1-699-726-3895,LIBRARIAN,FL,Sacramento,m,710.0,0.0,9.0,,Darnell,283481.0,,UGI,35827,Canada,1293721.0
,M,22870 LA CIENEGA STREET,R,ohs70,73.0,1-640-666-2876,ohsone,NM,Santa Clarita,M,475.0,0.0,7.0,,feridoun,200635.0,4.0,Greif,99692,United States of America,3850114.0
APT. 143,U,8478 green avenue,O,HUM71,71.0,1-540-639-1311,HUMMEL,NE,Sherbrooke,,596.0,1.0,3.0,O,Magdy,434519.0,0.0,Equifax,V6c 1q5,United States of America,1618743.0
,W,23639 purdue rue,O,BRA72,93.0,1-285-874-8492,BRADD,MI,Colorado Springs,,670.0,1.0,9.0,,jiri,392315.0,5.0,,80158,United States of America,3383487.0
,U,19202 ansley park,O,Boa73,53.0,1-121-904-0040,Boarder,New Brunswick,Berkeley,,722.0,3.0,,X,AILA,493829.0,5.0,Freescale Semiconductor,t6d 1b6,United States of America,2981876.0
,U,11319 devonshire rue,O,Mcn74,32.0,1-017-842-3201,Mcnally,NJ,San Buenaventura,,587.0,2.0,7.0,,Vincenzo,97489.0,3.0,Aleris International,33120,United States of America,2109339.0
,S,23665 deerwood park,O,MAR75,1.0,1-215-859-3206,MARKOVICH,ND,New Haven,F,609.0,3.0,4.0,,Minnnie,,4.0,,99742,United States of America,791803.0
,S,4855 union north,O,Wil76,39.0,1-764-520-7470,Willekes,Saskatchewan,Shreveport,f,401.0,1.0,7.0,,alfonzo,383046.0,0.0,World Fuel Services,V6N 1T1,United States of America,3523678.0
,M,9466 SHADOWBRIAR WEST,,Dea77,77.0,1-414-130-0162,Deacetis,KS,Lansing,m,335.0,0.0,0.0,S,Swandi,1190.0,4.0,R.R. Donnelley & Sons,44104,United States of America,1681902.0
,U,3504 regency avenue,O,Hou78,18.0,1-970-240-9990,Houk,SD,Pembroke Pines,,569.0,5.0,7.0,,Anya,85733.0,5.0,Brinker International,14605,United States of America,3851455.0
,M,7281 northland lower,R,Goy79,70.0,1-408-684-6459,Goyette,FL,Palmdale,,,2.0,9.0,,Enrika,387890.0,0.0,Temple-Inland,80076,Canada,2339382.0
,S,12481 hayden lower,O,Mok80,26.0,1-330-353-5908,Mok-fung,Saskatchewan,Savannah,f,679.0,0.0,7.0,Z,SONJA,16808.0,2.0,Psychiatric Solutions,V6I 1V6,United States of America,
,M,2328 gracie avenue,,Run81,,1-766-726-2675,Rundle,FL,Amarillo,,356.0,4.0,10.0,I,Liem,304589.0,,Nash-Finch,97307,United States of America,2065016.0
,S,4737 campbell street,R,BEL82,58.0,1-938-425-7509,BELLEY,UT,Anchorage,o,308.0,5.0,9.0,,COLLETTE,48506.0,2.0,AMR,46237,United States of America,2454049.0
,M,2401 stratmore lower,O,BAE83,43.0,1-527-308-8874,BAER,WY,Louisville,,412.0,4.0,4.0,Y,SIAMACK,,0.0,Spartan Stores,V6B 1S6,United States of America,2423395.0
,D,21477 JUNIPER CRESCENT,O,MAU84,65.0,1-810-590-0635,MAULDIN,NH,Hilo,f,618.0,3.0,4.0,,Toshihiro,358862.0,2.0,Cigna,H2d 1x1,United States of America,1342045.0
,S,19214 YAUPON BOULEVARD,O,Koo85,24.0,1-274-548-2512,Koohgoli,AR,Sudbury,,429.0,3.0,5.0,,Casey,477614.0,5.0,General Cable,95108,United States of America,861756.0
,S,7785 rusk boulevard,O,Lau86,79.0,1-649-754-4601,Lauriston,CT,Orlando,,819.0,1.0,3.0,,Daryn,175414.0,3.0,Dun & Bradstreet,80050,United States of America,1215349.0
,M,18002 cantrell upper,O,Man87,48.0,1-905-932-1785,Mangum,VT,Missoula,F,552.0,1.0,7.0,L,Adrianna,427598.0,0.0,Casey's General Stores,90122,Canada,3981554.0
,S,23341 brookside upper,O,PIE88,69.0,1-031-004-7697,PIERCY,Manitoba,Abilene,,587.0,4.0,9.0,,Cortney,368207.0,0.0,Jack in the Box,43614,United States of America,3865937.0
,S,20494 ROSS WEST,O,Bus89,91.0,1-994-812-4796,Buscaglia,NJ,Saskatoon,M,304.0,1.0,6.0,,Duane,449944.0,3.0,Assurant,61110,United States of America,2804700.0
,,17552 SAVANNAH NORTH,U,BAB90,75.0,1-176-513-4041,BABIONE,KY,Irvine,,795.0,5.0,4.0,,Tele,166247.0,5.0,Psychiatric Solutions,70174,United States of America,3283558.0
APT. 373,S,4462 pace crescent,O,Bur91,85.0,1-072-244-6337,Burkard,GA,Reno,M,830.0,3.0,2.0,,Ophelia,391165.0,1.0,Danaher,90324,United States of America,450524.0
,M,7161 tallowood upper,R,Kin92,76.0,1-924-669-9328,Kinsella,NJ,Sacramento,,709.0,3.0,3.0,,lorine,165854.0,5.0,Clorox,s7d 1n1,United States of America,
,S,3489 silver sage west,O,POM93,68.0,1-598-488-3541,POMMAINVILLE,SC,Topeka,,493.0,1.0,8.0,,Viole,326181.0,2.0,Boyd Gaming,93829,United States of America,
,M,12481 hayden lower,O,BOA94,95.0,1-295-539-3868,BOATWRIGHT,TN,Rancho Cucamonga,M,680.0,,,,Nani,173387.0,3.0,Eaton,89116,United States of America,633760.0
,M,13210 3RD DRIVE,R,Ron95,15.0,1-554-020-0267,Ronald,WY,Hilo,,800.0,5.0,,R,cherey,301127.0,1.0,Dynegy,94315,United States of America,3634954.0
,M,8899 starling lane,R,wei96,17.0,1-793-621-4566,weihs,Ontario,Saint John,,614.0,5.0,4.0,A,Redgie,487230.0,1.0,AmeriCredit,T5b 1u9,United States of America,799268.0
,,11480 fennel south,R,Hel97,94.0,1-787-267-4261,Helpb,DC,Torrance,M,763.0,0.0,6.0,P,Yousef,425747.0,4.0,SLM,T6b 1a5,Canada,39093.0
,S,7266 cherry upper,O,mog98,70.0,1-668-247-1597,moghe,Alberta,Santa Clara,m,561.0,4.0,3.0,,Damaris,401946.0,4.0,NV Energy,60699,United States of America,2705353.0
,S,10678 ENGLEWOOD WEST,O,boz99,29.0,1-901-346-8890,bozicevich,ME,Torrance,,569.0,2.0,4.0,,Ilyssa,425422.0,1.0,Landstar System,V6p 1s8,United States of America,3565153.0
,M,21181 2ND RUE,O,Zah100,52.0,1-451-273-3803,Zaharychuk,MA,Stockton,,634.0,1.0,5.0,R,Moselle,208890.0,4.0,Pacific Life,v6i 1p1,United States of America,2832204.0
,U,22963 hanover road,O,And101,51.0,1-129-499-9136,Andric,NV,Paterson,F,488.0,3.0,10.0,,Dulsea,67880.0,5.0,Textron,79423,United States of America,2194345.0
,W,8268 cliffbrook boulevard,O,Bam102,24.0,1-899-319-0772,Bamfo,WA,Mesa,,788.0,3.0,5.0,L,Lyndsie,133412.0,2.0,Pfizer,H5j 1o6,Canada,3737140.0
,D,5118 montview court,O,fro103,98.0,1-053-396-0441,frondozo,WY,Anchorage,,333.0,4.0,8.0,,KESLEY,144829.0,3.0,Cigna,93761,United States of America,464753.0
,M,17442 tallowood upper,U,Car104,59.0,1-239-665-9540,Caron,NJ,Miami,,601.0,1.0,,J,LAUREL,,1.0,Ameren,76150,United States of America,596696.0
,U,4038 WEDGEWOOD STREET,O,muc105,49.0,1-605-888-3403,muchow,LA,Great Falls,f,595.0,4.0,2.0,V,Steen,143682.0,3.0,Consolidated Edison,99717,Canada,1504753.0
,U,20334 anaconda avenue,O,gat106,1.0,1-630-604-2543,gateau,TX,Erie,,433.0,1.0,10.0,,noel,350020.0,0.0,Occidental Petroleum,60608,United States of America,3049281.0
,U,5385 young west,O,Sch107,79.0,1-851-862-7928,Schaefer,SC,Hollywood,F,403.0,,10.0,M,Tracey,435103.0,0.0,Sherwin-Williams,v6w 1u4,United States of America,247478.0
,,2747 SINCLAIR LANE,R,pom108,6.0,1-065-415-5724,pomerleau,TX,Tulsa,,615.0,5.0,3.0,,Sarajane,207768.0,1.0,Affiliated Computer Services,T5b 1t6,United States of America,2750301.0
,M,8622 BROWNWAY PARK,O,cuc109,70.0,1-408-512-1007,cucuzzella,MN,Tucson,F,735.0,4.0,1.0,K,Geoffrey,407512.0,0.0,Valassis Communications,23298,United States of America,721333.0
,S,18048 GREEN NORTH,O,SUG110,23.0,1-083-902-4184,SUGARMAN,ID,Anchorage,q,668.0,0.0,1.0,Z,loralyn,403366.0,3.0,,32803,United States of America,669440.0
,M,18994 country boulevard,O,Pep111,78.0,1-568-403-7081,Pepe,MI,Sandy,,349.0,5.0,,,andrei,384095.0,3.0,Smithfield Foods,64122,Canada,2473979.0
SUITE 7,S,16063 ashland road,,Cha112,79.0,1-824-389-0618,Chandrashekar,OK,Boston,f,654.0,,,,javad,288969.0,4.0,,T6b 1h2,United States of America,3545170.0
Apt. 971,U,19309 mcfarlin north,O,SEI113,72.0,1-174-210-2058,SEIFERS,UT,Vancouver,m,361.0,3.0,6.0,U,Karna,233665.0,2.0,TD Ameritrade,22222,United States of America,1494871.0
,S,2454 cliffbrook west,U,GAR114,31.0,1-425-503-7952,GARTLEY,PA,Akron,F,427.0,0.0,1.0,S,Jocelyn,147236.0,4.0,Comerica,T6a 1d2,Canada,436164.0
,W,15865 strand west,O,Tou115,86.0,1-012-389-9089,Touchette,New Brunswick,Lancaster,M,322.0,3.0,1.0,,Elvera,452557.0,0.0,Steel Dynamics,v5d 1n9,United States of America,1069481.0
,S,13776 east boulevard,R,Kur116,,1-909-472-6704,Kurdziel,UT,Concord,M,792.0,0.0,9.0,V,Nessy,179305.0,2.0,Coca-Cola Enterprises,23321,United States of America,
,U,10570 WEIZMANN LOWER,O,Her117,87.0,1-622-167-5411,Herod,VA,Chesapeake,,478.0,0.0,2.0,,lona,205817.0,3.0,News Corp.,90505,Canada,2957261.0
,M,15278 walnut hill road,O,MCV118,92.0,1-164-511-9338,MCVICAR,NH,Flint,,477.0,5.0,1.0,P,RHEA,262711.0,,,19066,United States of America,228459.0
,M,23007 WAKEFOREST WAY,O,LAB119,4.0,1-804-532-9163,LABFIVE,VT,Chattanooga,F,449.0,5.0,6.0,,Josefa,84810.0,1.0,Stater Bros. Holdings,v6s 1r3,Canada,67267.0
,U,9088 rivas way,O,but120,8.0,1-197-370-0297,butta,FL,Billings,,466.0,4.0,2.0,,alikee,96441.0,2.0,BorgWarner,78769,United States of America,1087978.0
,M,18798 ullrich road,O,Pro121,97.0,1-337-042-5687,Projects,NC,Scottsdale,m,483.0,5.0,2.0,,dolorita,462762.0,0.0,CB Richard Ellis Group,53769,United States of America,3885967.0
,D,18517 HULEN LOWER,O,Irc122,,1-056-138-5321,Irc,VA,Oshawa,,588.0,4.0,4.0,,Marilyn,141890.0,5.0,Zimmer Holdings,H7E 1U6,United States of America,3271101.0
,,11474 dodd lane,O,Ziv123,40.0,1-776-191-2031,Zivkovic,DC,Naperville,,313.0,5.0,2.0,G,robertson,156610.0,5.0,Mohawk Industries,e7o 1k1,Canada,
,U,9375 wood south,R,sim124,95.0,1-280-696-2706,simser,NC,Tampa,,647.0,4.0,1.0,H,Ilsa,164752.0,1.0,Berkshire Hathaway,90374,United States of America,1999133.0
,S,20479 wise avenue,O,kei125,92.0,1-857-581-6346,keifer,MS,Jackson,,430.0,5.0,2.0,I,Pen,278949.0,1.0,Saks,63169,United States of America,1100786.0
,W,19918 ROGERS NORTH,O,arv126,67.0,,arvin,SC,Hay River,f,467.0,5.0,8.0,P,AUBRETTE,,0.0,Gardner Denver,16515,United States of America,563992.0
,M,9284 coffey lower,O,Pra127,24.0,1-716-343-0884,Praeuner,KS,Irvine,F,399.0,2.0,7.0,,Cole,463736.0,3.0,Hasbro,85309,United States of America,962397.0
,M,2929 north crescent,O,lue128,26.0,1-101-776-2496,lue,VT,Idaho Falls,m,654.0,3.0,5.0,C,liva,,2.0,CBS,92158,United States of America,1064169.0
,S,15404 queen street,O,Prz129,62.0,1-769-028-0589,Przybycien,IL,Moreno Valley,f,378.0,0.0,3.0,,Ayaz,86667.0,2.0,Synnex,33152,United States of America,2100059.0
,W,1619 greenspoint road,O,pen130,37.0,1-005-833-8970,penn,FL,Ontario,f,338.0,1.0,10.0,J,YETTY,193470.0,5.0,Belden,83729,United States of America,99025.0
,S,21477 WARREN PARK,R,Gua131,71.0,1-884-215-4243,Guay,MI,Concord,,695.0,0.0,10.0,S,Mary-michelle,406379.0,5.0,Broadcom,B8b 1z6,United States of America,3865481.0
,M,6503 ROBBINS STREET,U,bre132,29.0,,brennand,Newfoundland,Phoenix,F,614.0,3.0,7.0,,agretha,480595.0,1.0,Reynolds American,53717,Canada,804544.0
,S,3958 GLEN LOCH BOULEVARD,O,Sav133,89.0,1-725-177-7815,Savanh,ME,Coral Springs,f,307.0,5.0,7.0,X,LOTTY,181718.0,4.0,Wells Fargo,t5c 1w7,United States of America,3143356.0
,M,13640 ethridge lower,O,ABB134,11.0,1-277-496-5396,ABBATANTUONO,AL,Oxnard,,331.0,3.0,2.0,Z,Kassey,468310.0,0.0,Retail Ventures,37245,United States of America,
,S,3981 imperial lower,O,OP135,20.0,1-756-463-2201,OP,IN,Brownsville,M,638.0,0.0,2.0,N,Adria,354987.0,2.0,AT&T,94401,United States of America,2311953.0
,W,13210 3rd drive,O,Mer136,75.0,1-261-338-7463,Mersinger,NH,Memphis,,703.0,5.0,3.0,,audivox,284539.0,3.0,Wynn Resorts,B8a 1y3,Canada,3120608.0
,S,9297 THROCKMORTON SOUTH,O,rut137,95.0,1-811-086-4675,rutt,DC,Flint,F,302.0,5.0,7.0,,SUE,213725.0,0.0,Eastman Kodak,t6b 1k2,United States of America,2058270.0
,U,8935 YOUNG UPPER,O,bem138,0.0,1-338-771-1185,bemis,DC,Lafayette,,522.0,3.0,,I,Lorenza,74195.0,2.0,Aramark,85306,United States of America,1511983.0
,M,3797 RUTGERS PARK,O,Pen139,73.0,1-554-231-5318,Pennington,MD,Greensboro,,,1.0,,,Enzo,169295.0,5.0,ENSCO International,V6R 1R7,United States of America,439080.0
,W,8285 tamarind crescent,R,tor140,39.0,1-733-886-5227,torok,Prince Edward Island,Sterling Heights,M,833.0,0.0,5.0,Y,claudina,307832.0,1.0,Auto-Owners Insurance,68513,United States of America,921255.0
