NumberChildren,Phone,AddressLine2,MiddleInitial,NumberCreditCards,LastName,Income,FirstName,City,PostalCode,Country,Age,CreditRating,Gender,AgencyID,NumberCars,AddressLine1,OwnOrRentFlag,Employer,NetWorth,MaritalStatus,State
4.0,1-478-629-9641,,W,2.0,HIVELY,34013.0,annissa,Toronto,19217,United States of America,73.0,587.0,,HIV14,3.0,10790 bonita crescent,O,Cenveo,469408.0,M,MA
2.0,1-026-208-8595,Apt. 290,,6.0,Peschke,473462.0,Amour,Denver,21228,United States of America,26.0,472.0,,Pes15,0.0,24679 AIRPORT CRESCENT,O,Kelly Services,1504480.0,S,TN
4.0,1-432-681-4853,,,4.0,CHILDERHOSE,499493.0,jenica,St. Paul,85097,Canada,54.0,817.0,,CHI16,5.0,7627 douglas road,O,Viacom,2763009.0,M,TN
4.0,,,,0.0,Dinnin,266928.0,KATTIE,Bellevue,V6j 1q8,United States of America,87.0,441.0,,Din17,5.0,6106 ashland east,R,Macy's,2787199.0,M,OK
3.0,1-357-207-6320,,M,6.0,De witte,72444.0,Roselle,Detroit,43207,United States of America,85.0,848.0,,De 18,2.0,1111 norden street,O,Gardner Denver,2789368.0,M,Ontario
3.0,1-462-774-1277,,,8.0,Mckeegan,77290.0,arlyne,Omaha,V6t 1q8,United States of America,86.0,843.0,m,Mck19,3.0,2798 1st east,R,Family Dollar Stores,2784776.0,U,KY
0.0,1-702-382-2898,,P,,WINTERS,395066.0,Rong-chin,Costa Mesa,94467,United States of America,59.0,,M,WIN20,2.0,11358 elle lee street,R,,288747.0,U,PA
3.0,1-909-554-7120,,,0.0,BITTMAN,119283.0,Darlleen,Berkeley,94321,United States of America,94.0,300.0,,BIT21,5.0,21074 MALLORY LOWER,O,Sun Microsystems,876575.0,U,MD
1.0,1-752-296-7940,,V,8.0,luzarraga,330991.0,Radoslav,St. Louis,C2a 4w7,United States of America,,795.0,f,luz22,1.0,16124 weyland park,O,Costco Wholesale,2041224.0,U,TX
0.0,1-995-554-5056,,S,5.0,donovan,,Aryn,Colorado Springs,35808,United States of America,5.0,367.0,,don23,4.0,23822 marvin crescent,U,Illinois Tool Works,2231509.0,,IN
5.0,1-090-303-3807,,T,1.0,Giallo,252031.0,Allisan,Fontana,M5f 1v6,United States of America,23.0,507.0,,Gia24,1.0,2203 valita boulevard,O,Southern Union,3206409.0,M,MD
1.0,1-492-968-0932,,,9.0,SPRUELL,101800.0,Ammamaria,St. Catharines,99539,United States of America,61.0,362.0,M,SPR25,3.0,11538 COLLINWOOD AVENUE,O,Moog,3850037.0,M,KY
1.0,1-960-227-2020,,,7.0,SKALSKI,436977.0,Mari,Hayward,95055,United States of America,,527.0,F,SKA26,0.0,7818 EAST STREET,O,Old Republic International,528440.0,D,CA
,1-431-122-8597,,,0.0,Gargul,495334.0,Anica,Palmdale,93686,United States of America,51.0,354.0,m,Gar27,0.0,10013 shaw road,O,,597140.0,S,FL
1.0,1-822-836-7200,,,1.0,Dore,274685.0,Melba,Phoenix,75218,United States of America,97.0,511.0,,Dor28,1.0,6802 AMES STREET,O,Great Plains Energy,146931.0,M,Newfoundland
2.0,1-530-117-0497,,X,7.0,DIOGO,320820.0,Tracee,Gary,91174,United States of America,52.0,412.0,,DIO29,2.0,22501 SUMMIT RUE,,Broadcom,353495.0,,TX
0.0,1-051-257-2719,,,1.0,Merrick,195835.0,CANADIAN,Beaumont,49515,Canada,98.0,583.0,m,Mer30,4.0,291 frances rue,O,Discover Financial Services,295647.0,S,WA
3.0,1-171-989-1363,,R,5.0,Atchison,108085.0,Oue,Nashua,16506,United States of America,47.0,710.0,,Atc31,5.0,16264 sanders east,O,UAL,408941.0,U,MN
1.0,1-042-705-3246,,X,9.0,Plamondon,260185.0,wallie,San Jose,94383,United States of America,47.0,380.0,m,Pla32,2.0,16068 cantey way,O,Charles Schwab,362523.0,M,WY
0.0,1-098-328-2026,,E,2.0,SELCHOW,258323.0,Andromache,Nashua,T6d 1b3,United States of America,9.0,796.0,F,SEL33,0.0,21170 EDLOE BOULEVARD,R,Coach,2102359.0,M,NY
3.0,1-209-754-5635,,Z,2.0,shane,79476.0,THOR,Fort Smith,25339,United States of America,85.0,818.0,f,sha34,1.0,885 CROSBY LANE,U,DaVita,3480265.0,M,SC
3.0,1-498-781-3456,,,3.0,MERWIN,102156.0,SALAH,Lancaster,V6o 1v4,United States of America,81.0,766.0,,MER35,5.0,12235 jay street,U,Marshall & Ilsley Corp.,3648900.0,M,MS
3.0,1-615-241-0440,,,2.0,conrad,221481.0,HOR-LAM,Colorado Springs,01852,United States of America,0.0,359.0,,con36,2.0,20340 LOMBARD CRESCENT,O,Cablevision Systems,1161790.0,M,UT
5.0,1-995-449-5200,,,2.0,onsiteteam,41836.0,Vania,Washington,78230,United States of America,28.0,401.0,M,ons37,1.0,22074 dexter upper,R,Barnes & Noble,2050587.0,S,PA
1.0,1-295-673-4452,,,0.0,Summerlin,72389.0,Niel,Lowell,93770,Canada,65.0,609.0,M,Sum38,1.0,1540 MURIE RUE,O,EMC,3579198.0,U,OK
0.0,1-914-675-2986,,F,2.0,grooms,66486.0,ziad,Frederick,m4l 1n4,United States of America,20.0,630.0,,gro39,3.0,7075 glen loch drive,O,Fluor,889494.0,S,WY
1.0,,Apt. 382,I,9.0,dilkie,200185.0,Claude,Mesa,22335,United States of America,55.0,671.0,,dil40,3.0,11237 balmoral way,O,Dollar General,2205682.0,M,RI
2.0,1-825-739-0336,,,10.0,DOLSON,289215.0,AVTAR,Lakewood,V6C 1T4,United States of America,76.0,715.0,,DOL41,0.0,8316 GARDEN BROOK NORTH,O,Lear,1140117.0,U,HI
1.0,1-956-713-3802,,,9.0,Posthumus,322484.0,Donny,Cleveland,M6t 1h3,United States of America,1.0,707.0,,Pos42,4.0,2240 clifton lower,O,J.P. Morgan Chase & Co.,1421319.0,M,VA
2.0,1-814-932-1579,,,0.0,Machika,83458.0,Cocos,Grand Rapids,95263,United States of America,3.0,329.0,,Mac43,4.0,20907 NOTINGHAM LOWER,O,Affinia Group Intermediate,3525204.0,M,OK
3.0,1-135-443-7282,,,8.0,chenoweth,,ruud,Peoria,v5b 1p5,United States of America,100.0,601.0,,che44,0.0,601 carroll lower,R,,468976.0,D,Prince Edward Island
1.0,1-720-975-0667,,,2.0,holbrooks,492407.0,Belvia,Inglewood,32318,United States of America,81.0,623.0,,hol45,5.0,18267 state drive,O,Goldman Sachs Group,1685443.0,W,SD
4.0,1-871-598-3505,,,2.0,pfieffer,346630.0,ATHAR,Akron,93872,United States of America,76.0,376.0,f,pfi46,4.0,9270 LEAF SOUTH,O,E*Trade Financial,337564.0,S,OH
3.0,1-607-222-4809,,Y,0.0,elkington,9572.0,Cherey,Charlottetown,92824,Canada,51.0,560.0,,elk47,1.0,18582 PERIMETER BOULEVARD,O,Pfizer,84777.0,W,MA
5.0,1-965-046-0642,,,4.0,Labenek,265369.0,RAZ,Bellevue,e4a 1r2,United States of America,,693.0,F,Lab48,1.0,9612 park stream upper,O,Safeway,3146477.0,,MD
2.0,1-155-441-3579,,Y,0.0,laferriere,104172.0,kishore,Dover,H7G 1V4,United States of America,58.0,346.0,,laf49,1.0,2803 clearwater north,U,Simon Property Group,495277.0,S,Saskatchewan
3.0,,,I,0.0,Norment,65550.0,Nelleke,Fullerton,85039,United States of America,52.0,342.0,,Nor50,0.0,11103 BISSONNET WEST,O,Trinity Industries,746904.0,M,WA
0.0,1-544-132-7237,,,8.0,hagar,,sibby,Denver,v6m 1q3,Canada,91.0,563.0,,hag51,2.0,4652 outervale lane,R,Solutia,1219620.0,M,OH
3.0,1-821-089-2089,,,4.0,Betcher,,ericha,Dallas,X7j 1r1,United States of America,17.0,391.0,m,Bet52,2.0,341 dunbar west,O,,1718910.0,M,WY
4.0,1-135-391-9787,,,8.0,Van der,66244.0,Janson,San Jose,B8b 1z5,United States of America,6.0,381.0,m,Van53,4.0,16176 vernon drive,O,A.O. Smith,,S,NJ
3.0,1-776-182-6215,,,9.0,O'LEARY,426954.0,Dorotea,Bellevue,t5d 1v4,United States of America,89.0,539.0,F,O'L54,0.0,23131 clint way,U,AptarGroup,2636424.0,S,ND
4.0,1-079-780-7761,,,0.0,anderson,126891.0,Denice,San Buenaventura,V6t 1r2,United States of America,99.0,497.0,m,and55,5.0,11640 baltic upper,O,Coca-Cola,1326305.0,M,NC
2.0,1-504-346-4393,,,,starks,454196.0,Myron,St. Louis,91177,Canada,77.0,661.0,,sta56,4.0,20796 dolores drive,O,Kimberly-Clark,2241997.0,M,WV
3.0,1-985-538-4351,Apt. 275,,0.0,CHASSE,163940.0,Barby,Pueblo,T5c 1t1,United States of America,,558.0,,CHA57,5.0,14359 COMMERCE WEST,R,Visteon,1542891.0,S,GA
1.0,1-254-097-9398,,,,ASING,365213.0,Ariella,Regina,35862,Canada,90.0,534.0,R,ASI58,,21448 hampton boulevard,O,TECO Energy,797918.0,W,Ontario
0.0,1-545-924-9552,,,6.0,askins,428739.0,ADEY,Saskatoon,96820,United States of America,82.0,373.0,f,ask59,0.0,7637 pershing way,U,Bemis,347654.0,M,MA
0.0,1-984-233-8818,,K,8.0,Kikuta,142444.0,GAYEL,Jackson,75238,United States of America,,382.0,,Kik60,4.0,11529 arcana boulevard,O,Wyeth,2456397.0,M,CA
3.0,1-528-691-1642,,,10.0,Chane,416168.0,Man,St. Petersburg,85769,United States of America,15.0,475.0,F,Cha61,3.0,2700 windwood north,O,United Technologies,1284229.0,S,SD
0.0,,,U,3.0,KILLEN,291420.0,Klara,Scottsdale,H5i 1o9,United States of America,,539.0,m,KIL62,2.0,22279 gramercy road,O,Clorox,618787.0,D,Saskatchewan
5.0,1-171-807-8213,,,6.0,kinley,413501.0,Abdalla,Charlotte,90849,United States of America,96.0,711.0,f,kin63,4.0,9828 west east,O,Discovery Communications,1171606.0,M,RI
,1-056-241-7009,,,1.0,MALAHER,,bal,Waterbury,43644,United States of America,38.0,606.0,,MAL64,4.0,5935 mcafee park,O,Williams-Sonoma,3983261.0,M,NC
3.0,1-389-414-0570,,J,0.0,Odum,419143.0,Romy,Chesapeake,99213,United States of America,10.0,494.0,,Odu65,3.0,12460 CLAYTON STREET,O,Manitowoc,2328568.0,W,SD
5.0,1-583-542-1656,,,3.0,DI NINNO,155057.0,KORAL,Hialeah,72226,United States of America,72.0,309.0,,DI 66,1.0,275 3rd drive,O,Henry Schein,2078600.0,M,IL
5.0,1-269-712-0672,,K,3.0,STUBBLEFIELD,313859.0,YUKIHIKO,Charleston,V6Z 1Q9,United States of America,97.0,630.0,,STU67,2.0,6907 FERNCLIFF CRESCENT,O,Trinity Industries,2986155.0,M,OR
1.0,1-670-102-0463,,,10.0,HAMBALI,265907.0,Khanh,Salem,20082,United States of America,48.0,330.0,,HAM68,4.0,885 crosby lane,O,Pepsi Bottling,1864039.0,S,Ontario
0.0,1-699-726-3895,,,9.0,LIBRARIAN,283481.0,Darnell,Sacramento,35827,Canada,97.0,710.0,m,LIB69,,2344 kalani west,O,UGI,1293721.0,S,FL
0.0,1-640-666-2876,,,7.0,ohsone,200635.0,feridoun,Santa Clarita,99692,United States of America,73.0,475.0,M,ohs70,4.0,22870 LA CIENEGA STREET,R,Greif,3850114.0,M,NM
1.0,1-540-639-1311,APT. 143,O,3.0,HUMMEL,434519.0,Magdy,Sherbrooke,V6c 1q5,United States of America,71.0,596.0,,HUM71,0.0,8478 green avenue,O,Equifax,1618743.0,U,NE
1.0,1-285-874-8492,,,9.0,BRADD,392315.0,jiri,Colorado Springs,80158,United States of America,93.0,670.0,,BRA72,5.0,23639 purdue rue,O,,3383487.0,W,MI
3.0,1-121-904-0040,,X,,Boarder,493829.0,AILA,Berkeley,t6d 1b6,United States of America,53.0,722.0,,Boa73,5.0,19202 ansley park,O,Freescale Semiconductor,2981876.0,U,New Brunswick
2.0,1-017-842-3201,,,7.0,Mcnally,97489.0,Vincenzo,San Buenaventura,33120,United States of America,32.0,587.0,,Mcn74,3.0,11319 devonshire rue,O,Aleris International,2109339.0,U,NJ
3.0,1-215-859-3206,,,4.0,MARKOVICH,,Minnnie,New Haven,99742,United States of America,1.0,609.0,F,MAR75,4.0,23665 deerwood park,O,,791803.0,S,ND
1.0,1-764-520-7470,,,7.0,Willekes,383046.0,alfonzo,Shreveport,V6N 1T1,United States of America,39.0,401.0,f,Wil76,0.0,4855 union north,O,World Fuel Services,3523678.0,S,Saskatchewan
0.0,1-414-130-0162,,S,0.0,Deacetis,1190.0,Swandi,Lansing,44104,United States of America,77.0,335.0,m,Dea77,4.0,9466 SHADOWBRIAR WEST,,R.R. Donnelley & Sons,1681902.0,M,KS
5.0,1-970-240-9990,,,7.0,Houk,85733.0,Anya,Pembroke Pines,14605,United States of America,18.0,569.0,,Hou78,5.0,3504 regency avenue,O,Brinker International,3851455.0,U,SD
2.0,1-408-684-6459,,,9.0,Goyette,387890.0,Enrika,Palmdale,80076,Canada,70.0,,,Goy79,0.0,7281 northland lower,R,Temple-Inland,2339382.0,M,FL
0.0,1-330-353-5908,,Z,7.0,Mok-fung,16808.0,SONJA,Savannah,V6I 1V6,United States of America,26.0,679.0,f,Mok80,2.0,12481 hayden lower,O,Psychiatric Solutions,,S,Saskatchewan
4.0,1-766-726-2675,,I,10.0,Rundle,304589.0,Liem,Amarillo,97307,United States of America,,356.0,,Run81,,2328 gracie avenue,,Nash-Finch,2065016.0,M,FL
5.0,1-938-425-7509,,,9.0,BELLEY,48506.0,COLLETTE,Anchorage,46237,United States of America,58.0,308.0,o,BEL82,2.0,4737 campbell street,R,AMR,2454049.0,S,UT
4.0,1-527-308-8874,,Y,4.0,BAER,,SIAMACK,Louisville,V6B 1S6,United States of America,43.0,412.0,,BAE83,0.0,2401 stratmore lower,O,Spartan Stores,2423395.0,M,WY
3.0,1-810-590-0635,,,4.0,MAULDIN,358862.0,Toshihiro,Hilo,H2d 1x1,United States of America,65.0,618.0,f,MAU84,2.0,21477 JUNIPER CRESCENT,O,Cigna,1342045.0,D,NH
3.0,1-274-548-2512,,,5.0,Koohgoli,477614.0,Casey,Sudbury,95108,United States of America,24.0,429.0,,Koo85,5.0,19214 YAUPON BOULEVARD,O,General Cable,861756.0,S,AR
1.0,1-649-754-4601,,,3.0,Lauriston,175414.0,Daryn,Orlando,80050,United States of America,79.0,819.0,,Lau86,3.0,7785 rusk boulevard,O,Dun & Bradstreet,1215349.0,S,CT
1.0,1-905-932-1785,,L,7.0,Mangum,427598.0,Adrianna,Missoula,90122,Canada,48.0,552.0,F,Man87,0.0,18002 cantrell upper,O,Casey's General Stores,3981554.0,M,VT
4.0,1-031-004-7697,,,9.0,PIERCY,368207.0,Cortney,Abilene,43614,United States of America,69.0,587.0,,PIE88,0.0,23341 brookside upper,O,Jack in the Box,3865937.0,S,Manitoba
1.0,1-994-812-4796,,,6.0,Buscaglia,449944.0,Duane,Saskatoon,61110,United States of America,91.0,304.0,M,Bus89,3.0,20494 ROSS WEST,O,Assurant,2804700.0,S,NJ
5.0,1-176-513-4041,,,4.0,BABIONE,166247.0,Tele,Irvine,70174,United States of America,75.0,795.0,,BAB90,5.0,17552 SAVANNAH NORTH,U,Psychiatric Solutions,3283558.0,,KY
3.0,1-072-244-6337,APT. 373,,2.0,Burkard,391165.0,Ophelia,Reno,90324,United States of America,85.0,830.0,M,Bur91,1.0,4462 pace crescent,O,Danaher,450524.0,S,GA
3.0,1-924-669-9328,,,3.0,Kinsella,165854.0,lorine,Sacramento,s7d 1n1,United States of America,76.0,709.0,,Kin92,5.0,7161 tallowood upper,R,Clorox,,M,NJ
1.0,1-598-488-3541,,,8.0,POMMAINVILLE,326181.0,Viole,Topeka,93829,United States of America,68.0,493.0,,POM93,2.0,3489 silver sage west,O,Boyd Gaming,,S,SC
,1-295-539-3868,,,,BOATWRIGHT,173387.0,Nani,Rancho Cucamonga,89116,United States of America,95.0,680.0,M,BOA94,3.0,12481 hayden lower,O,Eaton,633760.0,M,TN
5.0,1-554-020-0267,,R,,Ronald,301127.0,cherey,Hilo,94315,United States of America,15.0,800.0,,Ron95,1.0,13210 3RD DRIVE,R,Dynegy,3634954.0,M,WY
5.0,1-793-621-4566,,A,4.0,weihs,487230.0,Redgie,Saint John,T5b 1u9,United States of America,17.0,614.0,,wei96,1.0,8899 starling lane,R,AmeriCredit,799268.0,M,Ontario
0.0,1-787-267-4261,,P,6.0,Helpb,425747.0,Yousef,Torrance,T6b 1a5,Canada,94.0,763.0,M,Hel97,4.0,11480 fennel south,R,SLM,39093.0,,DC
4.0,1-668-247-1597,,,3.0,moghe,401946.0,Damaris,Santa Clara,60699,United States of America,70.0,561.0,m,mog98,4.0,7266 cherry upper,O,NV Energy,2705353.0,S,Alberta
2.0,1-901-346-8890,,,4.0,bozicevich,425422.0,Ilyssa,Torrance,V6p 1s8,United States of America,29.0,569.0,,boz99,1.0,10678 ENGLEWOOD WEST,O,Landstar System,3565153.0,S,ME
1.0,1-451-273-3803,,R,5.0,Zaharychuk,208890.0,Moselle,Stockton,v6i 1p1,United States of America,52.0,634.0,,Zah100,4.0,21181 2ND RUE,O,Pacific Life,2832204.0,M,MA
3.0,1-129-499-9136,,,10.0,Andric,67880.0,Dulsea,Paterson,79423,United States of America,51.0,488.0,F,And101,5.0,22963 hanover road,O,Textron,2194345.0,U,NV
3.0,1-899-319-0772,,L,5.0,Bamfo,133412.0,Lyndsie,Mesa,H5j 1o6,Canada,24.0,788.0,,Bam102,2.0,8268 cliffbrook boulevard,O,Pfizer,3737140.0,W,WA
4.0,1-053-396-0441,,,8.0,frondozo,144829.0,KESLEY,Anchorage,93761,United States of America,98.0,333.0,,fro103,3.0,5118 montview court,O,Cigna,464753.0,D,WY
1.0,1-239-665-9540,,J,,Caron,,LAUREL,Miami,76150,United States of America,59.0,601.0,,Car104,1.0,17442 tallowood upper,U,Ameren,596696.0,M,NJ
4.0,1-605-888-3403,,V,2.0,muchow,143682.0,Steen,Great Falls,99717,Canada,49.0,595.0,f,muc105,3.0,4038 WEDGEWOOD STREET,O,Consolidated Edison,1504753.0,U,LA
1.0,1-630-604-2543,,,10.0,gateau,350020.0,noel,Erie,60608,United States of America,1.0,433.0,,gat106,0.0,20334 anaconda avenue,O,Occidental Petroleum,3049281.0,U,TX
,1-851-862-7928,,M,10.0,Schaefer,435103.0,Tracey,Hollywood,v6w 1u4,United States of America,79.0,403.0,F,Sch107,0.0,5385 young west,O,Sherwin-Williams,247478.0,U,SC
5.0,1-065-415-5724,,,3.0,pomerleau,207768.0,Sarajane,Tulsa,T5b 1t6,United States of America,6.0,615.0,,pom108,1.0,2747 SINCLAIR LANE,R,Affiliated Computer Services,2750301.0,,TX
4.0,1-408-512-1007,,K,1.0,cucuzzella,407512.0,Geoffrey,Tucson,23298,United States of America,70.0,735.0,F,cuc109,0.0,8622 BROWNWAY PARK,O,Valassis Communications,721333.0,M,MN
0.0,1-083-902-4184,,Z,1.0,SUGARMAN,403366.0,loralyn,Anchorage,32803,United States of America,23.0,668.0,q,SUG110,3.0,18048 GREEN NORTH,O,,669440.0,S,ID
5.0,1-568-403-7081,,,,Pepe,384095.0,andrei,Sandy,64122,Canada,78.0,349.0,,Pep111,3.0,18994 country boulevard,O,Smithfield Foods,2473979.0,M,MI
,1-824-389-0618,SUITE 7,,,Chandrashekar,288969.0,javad,Boston,T6b 1h2,United States of America,79.0,654.0,f,Cha112,4.0,16063 ashland road,,,3545170.0,S,OK
3.0,1-174-210-2058,Apt. 971,U,6.0,SEIFERS,233665.0,Karna,Vancouver,22222,United States of America,72.0,361.0,m,SEI113,2.0,19309 mcfarlin north,O,TD Ameritrade,1494871.0,U,UT
0.0,1-425-503-7952,,S,1.0,GARTLEY,147236.0,Jocelyn,Akron,T6a 1d2,Canada,31.0,427.0,F,GAR114,4.0,2454 cliffbrook west,U,Comerica,436164.0,S,PA
3.0,1-012-389-9089,,,1.0,Touchette,452557.0,Elvera,Lancaster,v5d 1n9,United States of America,86.0,322.0,M,Tou115,0.0,15865 strand west,O,Steel Dynamics,1069481.0,W,New Brunswick
0.0,1-909-472-6704,,V,9.0,Kurdziel,179305.0,Nessy,Concord,23321,United States of America,,792.0,M,Kur116,2.0,13776 east boulevard,R,Coca-Cola Enterprises,,S,UT
0.0,1-622-167-5411,,,2.0,Herod,205817.0,lona,Chesapeake,90505,Canada,87.0,478.0,,Her117,3.0,10570 WEIZMANN LOWER,O,News Corp.,2957261.0,U,VA
5.0,1-164-511-9338,,P,1.0,MCVICAR,262711.0,RHEA,Flint,19066,United States of America,92.0,477.0,,MCV118,,15278 walnut hill road,O,,228459.0,M,NH
5.0,1-804-532-9163,,,6.0,LABFIVE,84810.0,Josefa,Chattanooga,v6s 1r3,Canada,4.0,449.0,F,LAB119,1.0,23007 WAKEFOREST WAY,O,Stater Bros. Holdings,67267.0,M,VT
4.0,1-197-370-0297,,,2.0,butta,96441.0,alikee,Billings,78769,United States of America,8.0,466.0,,but120,2.0,9088 rivas way,O,BorgWarner,1087978.0,U,FL
5.0,1-337-042-5687,,,2.0,Projects,462762.0,dolorita,Scottsdale,53769,United States of America,97.0,483.0,m,Pro121,0.0,18798 ullrich road,O,CB Richard Ellis Group,3885967.0,M,NC
4.0,1-056-138-5321,,,4.0,Irc,141890.0,Marilyn,Oshawa,H7E 1U6,United States of America,,588.0,,Irc122,5.0,18517 HULEN LOWER,O,Zimmer Holdings,3271101.0,D,VA
5.0,1-776-191-2031,,G,2.0,Zivkovic,156610.0,robertson,Naperville,e7o 1k1,Canada,40.0,313.0,,Ziv123,5.0,11474 dodd lane,O,Mohawk Industries,,,DC
4.0,1-280-696-2706,,H,1.0,simser,164752.0,Ilsa,Tampa,90374,United States of America,95.0,647.0,,sim124,1.0,9375 wood south,R,Berkshire Hathaway,1999133.0,U,NC
5.0,1-857-581-6346,,I,2.0,keifer,278949.0,Pen,Jackson,63169,United States of America,92.0,430.0,,kei125,1.0,20479 wise avenue,O,Saks,1100786.0,S,MS
5.0,,,P,8.0,arvin,,AUBRETTE,Hay River,16515,United States of America,67.0,467.0,f,arv126,0.0,19918 ROGERS NORTH,O,Gardner Denver,563992.0,W,SC
2.0,1-716-343-0884,,,7.0,Praeuner,463736.0,Cole,Irvine,85309,United States of America,24.0,399.0,F,Pra127,3.0,9284 coffey lower,O,Hasbro,962397.0,M,KS
3.0,1-101-776-2496,,C,5.0,lue,,liva,Idaho Falls,92158,United States of America,26.0,654.0,m,lue128,2.0,2929 north crescent,O,CBS,1064169.0,M,VT
0.0,1-769-028-0589,,,3.0,Przybycien,86667.0,Ayaz,Moreno Valley,33152,United States of America,62.0,378.0,f,Prz129,2.0,15404 queen street,O,Synnex,2100059.0,S,IL
1.0,1-005-833-8970,,J,10.0,penn,193470.0,YETTY,Ontario,83729,United States of America,37.0,338.0,f,pen130,5.0,1619 greenspoint road,O,Belden,99025.0,W,FL
0.0,1-884-215-4243,,S,10.0,Guay,406379.0,Mary-michelle,Concord,B8b 1z6,United States of America,71.0,695.0,,Gua131,5.0,21477 WARREN PARK,R,Broadcom,3865481.0,S,MI
3.0,,,,7.0,brennand,480595.0,agretha,Phoenix,53717,Canada,29.0,614.0,F,bre132,1.0,6503 ROBBINS STREET,U,Reynolds American,804544.0,M,Newfoundland
5.0,1-725-177-7815,,X,7.0,Savanh,181718.0,LOTTY,Coral Springs,t5c 1w7,United States of America,89.0,307.0,f,Sav133,4.0,3958 GLEN LOCH BOULEVARD,O,Wells Fargo,3143356.0,S,ME
3.0,1-277-496-5396,,Z,2.0,ABBATANTUONO,468310.0,Kassey,Oxnard,37245,United States of America,11.0,331.0,,ABB134,0.0,13640 ethridge lower,O,Retail Ventures,,M,AL
0.0,1-756-463-2201,,N,2.0,OP,354987.0,Adria,Brownsville,94401,United States of America,20.0,638.0,M,OP135,2.0,3981 imperial lower,O,AT&T,2311953.0,S,IN
5.0,1-261-338-7463,,,3.0,Mersinger,284539.0,audivox,Memphis,B8a 1y3,Canada,75.0,703.0,,Mer136,3.0,13210 3rd drive,O,Wynn Resorts,3120608.0,W,NH
5.0,1-811-086-4675,,,7.0,rutt,213725.0,SUE,Flint,t6b 1k2,United States of America,95.0,302.0,F,rut137,0.0,9297 THROCKMORTON SOUTH,O,Eastman Kodak,2058270.0,S,DC
3.0,1-338-771-1185,,I,,bemis,74195.0,Lorenza,Lafayette,85306,United States of America,0.0,522.0,,bem138,2.0,8935 YOUNG UPPER,O,Aramark,1511983.0,U,DC
1.0,1-554-231-5318,,,,Pennington,169295.0,Enzo,Greensboro,V6R 1R7,United States of America,73.0,,,Pen139,5.0,3797 RUTGERS PARK,O,ENSCO International,439080.0,M,MD
0.0,1-733-886-5227,,Y,5.0,torok,307832.0,claudina,Sterling Heights,68513,United States of America,39.0,833.0,M,tor140,1.0,8285 tamarind crescent,R,Auto-Owners Insurance,921255.0,W,Prince Edward Island
