Employer,Age,NumberChildren,NumberCars,MaritalStatus,NetWorth,State,AddressLine1,Gender,FirstName,LastName,PostalCode,AgencyID,Income,MiddleInitial,Country,AddressLine2,OwnOrRentFlag,CreditRating,NumberCreditCards,City,Phone
Goldman Sachs Group,81.0,1.0,5.0,W,1685443.0,SD,18267 state drive,,Belvia,holbrooks,32318,hol45,492407.0,,United States of America,,O,623.0,2.0,Inglewood,1-720-975-0667
E*Trade Financial,76.0,4.0,4.0,S,337564.0,OH,9270 LEAF SOUTH,f,ATHAR,pfieffer,93872,pfi46,346630.0,,United States of America,,O,376.0,2.0,Akron,1-871-598-3505
Pfizer,51.0,3.0,1.0,W,84777.0,MA,18582 PERIMETER BOULEVARD,,Cherey,elkington,92824,elk47,9572.0,Y,Canada,,O,560.0,0.0,Charlottetown,1-607-222-4809
Safeway,,5.0,1.0,,3146477.0,MD,9612 park stream upper,F,RAZ,Labenek,e4a 1r2,Lab48,265369.0,,United States of America,,O,693.0,4.0,Bellevue,1-965-046-0642
Simon Property Group,58.0,2.0,1.0,S,495277.0,Saskatchewan,2803 clearwater north,,kishore,laferriere,H7G 1V4,laf49,104172.0,Y,United States of America,,U,346.0,0.0,Dover,1-155-441-3579
Trinity Industries,52.0,3.0,0.0,M,746904.0,WA,11103 BISSONNET WEST,,Nelleke,Norment,85039,Nor50,65550.0,I,United States of America,,O,342.0,0.0,Fullerton,
Solutia,91.0,0.0,2.0,M,1219620.0,OH,4652 outervale lane,,sibby,hagar,v6m 1q3,hag51,,,Canada,,R,563.0,8.0,Denver,1-544-132-7237
,17.0,3.0,2.0,M,1718910.0,WY,341 dunbar west,m,ericha,Betcher,X7j 1r1,Bet52,,,United States of America,,O,391.0,4.0,Dallas,1-821-089-2089
A.O. Smith,6.0,4.0,4.0,S,,NJ,16176 vernon drive,m,Janson,Van der,B8b 1z5,Van53,66244.0,,United States of America,,O,381.0,8.0,San Jose,1-135-391-9787
AptarGroup,89.0,3.0,0.0,S,2636424.0,ND,23131 clint way,F,Dorotea,O'LEARY,t5d 1v4,O'L54,426954.0,,United States of America,,U,539.0,9.0,Bellevue,1-776-182-6215
Coca-Cola,99.0,4.0,5.0,M,1326305.0,NC,11640 baltic upper,m,Denice,anderson,V6t 1r2,and55,126891.0,,United States of America,,O,497.0,0.0,San Buenaventura,1-079-780-7761
Kimberly-Clark,77.0,2.0,4.0,M,2241997.0,WV,20796 dolores drive,,Myron,starks,91177,sta56,454196.0,,Canada,,O,661.0,,St. Louis,1-504-346-4393
Visteon,,3.0,5.0,S,1542891.0,GA,14359 COMMERCE WEST,,Barby,CHASSE,T5c 1t1,CHA57,163940.0,,United States of America,Apt. 275,R,558.0,0.0,Pueblo,1-985-538-4351
TECO Energy,90.0,1.0,,W,797918.0,Ontario,21448 hampton boulevard,R,Ariella,ASING,35862,ASI58,365213.0,,Canada,,O,534.0,,Regina,1-254-097-9398
Bemis,82.0,0.0,0.0,M,347654.0,MA,7637 pershing way,f,ADEY,askins,96820,ask59,428739.0,,United States of America,,U,373.0,6.0,Saskatoon,1-545-924-9552
Wyeth,,0.0,4.0,M,2456397.0,CA,11529 arcana boulevard,,GAYEL,Kikuta,75238,Kik60,142444.0,K,United States of America,,O,382.0,8.0,Jackson,1-984-233-8818
United Technologies,15.0,3.0,3.0,S,1284229.0,SD,2700 windwood north,F,Man,Chane,85769,Cha61,416168.0,,United States of America,,O,475.0,10.0,St. Petersburg,1-528-691-1642
Clorox,,0.0,2.0,D,618787.0,Saskatchewan,22279 gramercy road,m,Klara,KILLEN,H5i 1o9,KIL62,291420.0,U,United States of America,,O,539.0,3.0,Scottsdale,
Discovery Communications,96.0,5.0,4.0,M,1171606.0,RI,9828 west east,f,Abdalla,kinley,90849,kin63,413501.0,,United States of America,,O,711.0,6.0,Charlotte,1-171-807-8213
Williams-Sonoma,38.0,,4.0,M,3983261.0,NC,5935 mcafee park,,bal,MALAHER,43644,MAL64,,,United States of America,,O,606.0,1.0,Waterbury,1-056-241-7009
Manitowoc,10.0,3.0,3.0,W,2328568.0,SD,12460 CLAYTON STREET,,Romy,Odum,99213,Odu65,419143.0,J,United States of America,,O,494.0,0.0,Chesapeake,1-389-414-0570
Henry Schein,72.0,5.0,1.0,M,2078600.0,IL,275 3rd drive,,KORAL,DI NINNO,72226,DI 66,155057.0,,United States of America,,O,309.0,3.0,Hialeah,1-583-542-1656
Trinity Industries,97.0,5.0,2.0,M,2986155.0,OR,6907 FERNCLIFF CRESCENT,,YUKIHIKO,STUBBLEFIELD,V6Z 1Q9,STU67,313859.0,K,United States of America,,O,630.0,3.0,Charleston,1-269-712-0672
Pepsi Bottling,48.0,1.0,4.0,S,1864039.0,Ontario,885 crosby lane,,Khanh,HAMBALI,20082,HAM68,265907.0,,United States of America,,O,330.0,10.0,Salem,1-670-102-0463
UGI,97.0,0.0,,S,1293721.0,FL,2344 kalani west,m,Darnell,LIBRARIAN,35827,LIB69,283481.0,,Canada,,O,710.0,9.0,Sacramento,1-699-726-3895
Greif,73.0,0.0,4.0,M,3850114.0,NM,22870 LA CIENEGA STREET,M,feridoun,ohsone,99692,ohs70,200635.0,,United States of America,,R,475.0,7.0,Santa Clarita,1-640-666-2876
Equifax,71.0,1.0,0.0,U,1618743.0,NE,8478 green avenue,,Magdy,HUMMEL,V6c 1q5,HUM71,434519.0,O,United States of America,APT. 143,O,596.0,3.0,Sherbrooke,1-540-639-1311
,93.0,1.0,5.0,W,3383487.0,MI,23639 purdue rue,,jiri,BRADD,80158,BRA72,392315.0,,United States of America,,O,670.0,9.0,Colorado Springs,1-285-874-8492
Freescale Semiconductor,53.0,3.0,5.0,U,2981876.0,New Brunswick,19202 ansley park,,AILA,Boarder,t6d 1b6,Boa73,493829.0,X,United States of America,,O,722.0,,Berkeley,1-121-904-0040
Aleris International,32.0,2.0,3.0,U,2109339.0,NJ,11319 devonshire rue,,Vincenzo,Mcnally,33120,Mcn74,97489.0,,United States of America,,O,587.0,7.0,San Buenaventura,1-017-842-3201
,1.0,3.0,4.0,S,791803.0,ND,23665 deerwood park,F,Minnnie,MARKOVICH,99742,MAR75,,,United States of America,,O,609.0,4.0,New Haven,1-215-859-3206
World Fuel Services,39.0,1.0,0.0,S,3523678.0,Saskatchewan,4855 union north,f,alfonzo,Willekes,V6N 1T1,Wil76,383046.0,,United States of America,,O,401.0,7.0,Shreveport,1-764-520-7470
R.R. Donnelley & Sons,77.0,0.0,4.0,M,1681902.0,KS,9466 SHADOWBRIAR WEST,m,Swandi,Deacetis,44104,Dea77,1190.0,S,United States of America,,,335.0,0.0,Lansing,1-414-130-0162
Brinker International,18.0,5.0,5.0,U,3851455.0,SD,3504 regency avenue,,Anya,Houk,14605,Hou78,85733.0,,United States of America,,O,569.0,7.0,Pembroke Pines,1-970-240-9990
Temple-Inland,70.0,2.0,0.0,M,2339382.0,FL,7281 northland lower,,Enrika,Goyette,80076,Goy79,387890.0,,Canada,,R,,9.0,Palmdale,1-408-684-6459
Psychiatric Solutions,26.0,0.0,2.0,S,,Saskatchewan,12481 hayden lower,f,SONJA,Mok-fung,V6I 1V6,Mok80,16808.0,Z,United States of America,,O,679.0,7.0,Savannah,1-330-353-5908
Nash-Finch,,4.0,,M,2065016.0,FL,2328 gracie avenue,,Liem,Rundle,97307,Run81,304589.0,I,United States of America,,,356.0,10.0,Amarillo,1-766-726-2675
AMR,58.0,5.0,2.0,S,2454049.0,UT,4737 campbell street,o,COLLETTE,BELLEY,46237,BEL82,48506.0,,United States of America,,R,308.0,9.0,Anchorage,1-938-425-7509
Spartan Stores,43.0,4.0,0.0,M,2423395.0,WY,2401 stratmore lower,,SIAMACK,BAER,V6B 1S6,BAE83,,Y,United States of America,,O,412.0,4.0,Louisville,1-527-308-8874
Cigna,65.0,3.0,2.0,D,1342045.0,NH,21477 JUNIPER CRESCENT,f,Toshihiro,MAULDIN,H2d 1x1,MAU84,358862.0,,United States of America,,O,618.0,4.0,Hilo,1-810-590-0635
General Cable,24.0,3.0,5.0,S,861756.0,AR,19214 YAUPON BOULEVARD,,Casey,Koohgoli,95108,Koo85,477614.0,,United States of America,,O,429.0,5.0,Sudbury,1-274-548-2512
Dun & Bradstreet,79.0,1.0,3.0,S,1215349.0,CT,7785 rusk boulevard,,Daryn,Lauriston,80050,Lau86,175414.0,,United States of America,,O,819.0,3.0,Orlando,1-649-754-4601
Casey's General Stores,48.0,1.0,0.0,M,3981554.0,VT,18002 cantrell upper,F,Adrianna,Mangum,90122,Man87,427598.0,L,Canada,,O,552.0,7.0,Missoula,1-905-932-1785
Jack in the Box,69.0,4.0,0.0,S,3865937.0,Manitoba,23341 brookside upper,,Cortney,PIERCY,43614,PIE88,368207.0,,United States of America,,O,587.0,9.0,Abilene,1-031-004-7697
Assurant,91.0,1.0,3.0,S,2804700.0,NJ,20494 ROSS WEST,M,Duane,Buscaglia,61110,Bus89,449944.0,,United States of America,,O,304.0,6.0,Saskatoon,1-994-812-4796
Psychiatric Solutions,75.0,5.0,5.0,,3283558.0,KY,17552 SAVANNAH NORTH,,Tele,BABIONE,70174,BAB90,166247.0,,United States of America,,U,795.0,4.0,Irvine,1-176-513-4041
Danaher,85.0,3.0,1.0,S,450524.0,GA,4462 pace crescent,M,Ophelia,Burkard,90324,Bur91,391165.0,,United States of America,APT. 373,O,830.0,2.0,Reno,1-072-244-6337
Clorox,76.0,3.0,5.0,M,,NJ,7161 tallowood upper,,lorine,Kinsella,s7d 1n1,Kin92,165854.0,,United States of America,,R,709.0,3.0,Sacramento,1-924-669-9328
Boyd Gaming,68.0,1.0,2.0,S,,SC,3489 silver sage west,,Viole,POMMAINVILLE,93829,POM93,326181.0,,United States of America,,O,493.0,8.0,Topeka,1-598-488-3541
Eaton,95.0,,3.0,M,633760.0,TN,12481 hayden lower,M,Nani,BOATWRIGHT,89116,BOA94,173387.0,,United States of America,,O,680.0,,Rancho Cucamonga,1-295-539-3868
Dynegy,15.0,5.0,1.0,M,3634954.0,WY,13210 3RD DRIVE,,cherey,Ronald,94315,Ron95,301127.0,R,United States of America,,R,800.0,,Hilo,1-554-020-0267
AmeriCredit,17.0,5.0,1.0,M,799268.0,Ontario,8899 starling lane,,Redgie,weihs,T5b 1u9,wei96,487230.0,A,United States of America,,R,614.0,4.0,Saint John,1-793-621-4566
SLM,94.0,0.0,4.0,,39093.0,DC,11480 fennel south,M,Yousef,Helpb,T6b 1a5,Hel97,425747.0,P,Canada,,R,763.0,6.0,Torrance,1-787-267-4261
NV Energy,70.0,4.0,4.0,S,2705353.0,Alberta,7266 cherry upper,m,Damaris,moghe,60699,mog98,401946.0,,United States of America,,O,561.0,3.0,Santa Clara,1-668-247-1597
Landstar System,29.0,2.0,1.0,S,3565153.0,ME,10678 ENGLEWOOD WEST,,Ilyssa,bozicevich,V6p 1s8,boz99,425422.0,,United States of America,,O,569.0,4.0,Torrance,1-901-346-8890
Pacific Life,52.0,1.0,4.0,M,2832204.0,MA,21181 2ND RUE,,Moselle,Zaharychuk,v6i 1p1,Zah100,208890.0,R,United States of America,,O,634.0,5.0,Stockton,1-451-273-3803
Textron,51.0,3.0,5.0,U,2194345.0,NV,22963 hanover road,F,Dulsea,Andric,79423,And101,67880.0,,United States of America,,O,488.0,10.0,Paterson,1-129-499-9136
Pfizer,24.0,3.0,2.0,W,3737140.0,WA,8268 cliffbrook boulevard,,Lyndsie,Bamfo,H5j 1o6,Bam102,133412.0,L,Canada,,O,788.0,5.0,Mesa,1-899-319-0772
Cigna,98.0,4.0,3.0,D,464753.0,WY,5118 montview court,,KESLEY,frondozo,93761,fro103,144829.0,,United States of America,,O,333.0,8.0,Anchorage,1-053-396-0441
Ameren,59.0,1.0,1.0,M,596696.0,NJ,17442 tallowood upper,,LAUREL,Caron,76150,Car104,,J,United States of America,,U,601.0,,Miami,1-239-665-9540
Consolidated Edison,49.0,4.0,3.0,U,1504753.0,LA,4038 WEDGEWOOD STREET,f,Steen,muchow,99717,muc105,143682.0,V,Canada,,O,595.0,2.0,Great Falls,1-605-888-3403
Occidental Petroleum,1.0,1.0,0.0,U,3049281.0,TX,20334 anaconda avenue,,noel,gateau,60608,gat106,350020.0,,United States of America,,O,433.0,10.0,Erie,1-630-604-2543
Sherwin-Williams,79.0,,0.0,U,247478.0,SC,5385 young west,F,Tracey,Schaefer,v6w 1u4,Sch107,435103.0,M,United States of America,,O,403.0,10.0,Hollywood,1-851-862-7928
Affiliated Computer Services,6.0,5.0,1.0,,2750301.0,TX,2747 SINCLAIR LANE,,Sarajane,pomerleau,T5b 1t6,pom108,207768.0,,United States of America,,R,615.0,3.0,Tulsa,1-065-415-5724
Valassis Communications,70.0,4.0,0.0,M,721333.0,MN,8622 BROWNWAY PARK,F,Geoffrey,cucuzzella,23298,cuc109,407512.0,K,United States of America,,O,735.0,1.0,Tucson,1-408-512-1007
,23.0,0.0,3.0,S,669440.0,ID,18048 GREEN NORTH,q,loralyn,SUGARMAN,32803,SUG110,403366.0,Z,United States of America,,O,668.0,1.0,Anchorage,1-083-902-4184
Smithfield Foods,78.0,5.0,3.0,M,2473979.0,MI,18994 country boulevard,,andrei,Pepe,64122,Pep111,384095.0,,Canada,,O,349.0,,Sandy,1-568-403-7081
,79.0,,4.0,S,3545170.0,OK,16063 ashland road,f,javad,Chandrashekar,T6b 1h2,Cha112,288969.0,,United States of America,SUITE 7,,654.0,,Boston,1-824-389-0618
TD Ameritrade,72.0,3.0,2.0,U,1494871.0,UT,19309 mcfarlin north,m,Karna,SEIFERS,22222,SEI113,233665.0,U,United States of America,Apt. 971,O,361.0,6.0,Vancouver,1-174-210-2058
Comerica,31.0,0.0,4.0,S,436164.0,PA,2454 cliffbrook west,F,Jocelyn,GARTLEY,T6a 1d2,GAR114,147236.0,S,Canada,,U,427.0,1.0,Akron,1-425-503-7952
Steel Dynamics,86.0,3.0,0.0,W,1069481.0,New Brunswick,15865 strand west,M,Elvera,Touchette,v5d 1n9,Tou115,452557.0,,United States of America,,O,322.0,1.0,Lancaster,1-012-389-9089
Coca-Cola Enterprises,,0.0,2.0,S,,UT,13776 east boulevard,M,Nessy,Kurdziel,23321,Kur116,179305.0,V,United States of America,,R,792.0,9.0,Concord,1-909-472-6704
News Corp.,87.0,0.0,3.0,U,2957261.0,VA,10570 WEIZMANN LOWER,,lona,Herod,90505,Her117,205817.0,,Canada,,O,478.0,2.0,Chesapeake,1-622-167-5411
,92.0,5.0,,M,228459.0,NH,15278 walnut hill road,,RHEA,MCVICAR,19066,MCV118,262711.0,P,United States of America,,O,477.0,1.0,Flint,1-164-511-9338
Stater Bros. Holdings,4.0,5.0,1.0,M,67267.0,VT,23007 WAKEFOREST WAY,F,Josefa,LABFIVE,v6s 1r3,LAB119,84810.0,,Canada,,O,449.0,6.0,Chattanooga,1-804-532-9163
BorgWarner,8.0,4.0,2.0,U,1087978.0,FL,9088 rivas way,,alikee,butta,78769,but120,96441.0,,United States of America,,O,466.0,2.0,Billings,1-197-370-0297
CB Richard Ellis Group,97.0,5.0,0.0,M,3885967.0,NC,18798 ullrich road,m,dolorita,Projects,53769,Pro121,462762.0,,United States of America,,O,483.0,2.0,Scottsdale,1-337-042-5687
Zimmer Holdings,,4.0,5.0,D,3271101.0,VA,18517 HULEN LOWER,,Marilyn,Irc,H7E 1U6,Irc122,141890.0,,United States of America,,O,588.0,4.0,Oshawa,1-056-138-5321
Mohawk Industries,40.0,5.0,5.0,,,DC,11474 dodd lane,,robertson,Zivkovic,e7o 1k1,Ziv123,156610.0,G,Canada,,O,313.0,2.0,Naperville,1-776-191-2031
Berkshire Hathaway,95.0,4.0,1.0,U,1999133.0,NC,9375 wood south,,Ilsa,simser,90374,sim124,164752.0,H,United States of America,,R,647.0,1.0,Tampa,1-280-696-2706
Saks,92.0,5.0,1.0,S,1100786.0,MS,20479 wise avenue,,Pen,keifer,63169,kei125,278949.0,I,United States of America,,O,430.0,2.0,Jackson,1-857-581-6346
Gardner Denver,67.0,5.0,0.0,W,563992.0,SC,19918 ROGERS NORTH,f,AUBRETTE,arvin,16515,arv126,,P,United States of America,,O,467.0,8.0,Hay River,
Hasbro,24.0,2.0,3.0,M,962397.0,KS,9284 coffey lower,F,Cole,Praeuner,85309,Pra127,463736.0,,United States of America,,O,399.0,7.0,Irvine,1-716-343-0884
CBS,26.0,3.0,2.0,M,1064169.0,VT,2929 north crescent,m,liva,lue,92158,lue128,,C,United States of America,,O,654.0,5.0,Idaho Falls,1-101-776-2496
Synnex,62.0,0.0,2.0,S,2100059.0,IL,15404 queen street,f,Ayaz,Przybycien,33152,Prz129,86667.0,,United States of America,,O,378.0,3.0,Moreno Valley,1-769-028-0589
Belden,37.0,1.0,5.0,W,99025.0,FL,1619 greenspoint road,f,YETTY,penn,83729,pen130,193470.0,J,United States of America,,O,338.0,10.0,Ontario,1-005-833-8970
Broadcom,71.0,0.0,5.0,S,3865481.0,MI,21477 WARREN PARK,,Mary-michelle,Guay,B8b 1z6,Gua131,406379.0,S,United States of America,,R,695.0,10.0,Concord,1-884-215-4243
Reynolds American,29.0,3.0,1.0,M,804544.0,Newfoundland,6503 ROBBINS STREET,F,agretha,brennand,53717,bre132,480595.0,,Canada,,U,614.0,7.0,Phoenix,
Wells Fargo,89.0,5.0,4.0,S,3143356.0,ME,3958 GLEN LOCH BOULEVARD,f,LOTTY,Savanh,t5c 1w7,Sav133,181718.0,X,United States of America,,O,307.0,7.0,Coral Springs,1-725-177-7815
Retail Ventures,11.0,3.0,0.0,M,,AL,13640 ethridge lower,,Kassey,ABBATANTUONO,37245,ABB134,468310.0,Z,United States of America,,O,331.0,2.0,Oxnard,1-277-496-5396
AT&T,20.0,0.0,2.0,S,2311953.0,IN,3981 imperial lower,M,Adria,OP,94401,OP135,354987.0,N,United States of America,,O,638.0,2.0,Brownsville,1-756-463-2201
Wynn Resorts,75.0,5.0,3.0,W,3120608.0,NH,13210 3rd drive,,audivox,Mersinger,B8a 1y3,Mer136,284539.0,,Canada,,O,703.0,3.0,Memphis,1-261-338-7463
Eastman Kodak,95.0,5.0,0.0,S,2058270.0,DC,9297 THROCKMORTON SOUTH,F,SUE,rutt,t6b 1k2,rut137,213725.0,,United States of America,,O,302.0,7.0,Flint,1-811-086-4675
Aramark,0.0,3.0,2.0,U,1511983.0,DC,8935 YOUNG UPPER,,Lorenza,bemis,85306,bem138,74195.0,I,United States of America,,O,522.0,,Lafayette,1-338-771-1185
ENSCO International,73.0,1.0,5.0,M,439080.0,MD,3797 RUTGERS PARK,,Enzo,Pennington,V6R 1R7,Pen139,169295.0,,United States of America,,O,,,Greensboro,1-554-231-5318
Auto-Owners Insurance,39.0,0.0,1.0,W,921255.0,Prince Edward Island,8285 tamarind crescent,M,claudina,torok,68513,tor140,307832.0,Y,United States of America,,R,833.0,5.0,Sterling Heights,1-733-886-5227
