prospect_AgeID,prospect_AddrL1,prospect_MiIni,prospect_NumCreCa,prospect_LN,prospect_Ph,prospect_NumC,prospect_NuCh,prospect_MaSta,prospect_Ag,prospect_CrRa,prospect_OORF,prospect_Em,prospect_NWo
luz22,16124 weyland park,V,8.0,luzarraga,1-752-296-7940,1.0,1.0,U,,795.0,O,Costco Wholesale,2041224.0
don23,23822 marvin crescent,S,5.0,donovan,1-995-554-5056,4.0,0.0,,5.0,367.0,U,Illinois Tool Works,2231509.0
Gia24,2203 valita boulevard,T,1.0,Giallo,1-090-303-3807,1.0,5.0,M,23.0,507.0,O,Southern Union,3206409.0
SPR25,11538 COLLINWOOD AVENUE,,9.0,SPRUELL,1-492-968-0932,3.0,1.0,M,61.0,362.0,O,Moog,3850037.0
SKA26,7818 EAST STREET,,7.0,SKALSKI,1-960-227-2020,0.0,1.0,D,,527.0,O,Old Republic International,528440.0
Gar27,10013 shaw road,,0.0,Gargul,1-431-122-8597,0.0,,S,51.0,354.0,O,,597140.0
Dor28,6802 AMES STREET,,1.0,Dore,1-822-836-7200,1.0,1.0,M,97.0,511.0,O,Great Plains Energy,146931.0
DIO29,22501 SUMMIT RUE,X,7.0,DIOGO,1-530-117-0497,2.0,2.0,,52.0,412.0,,Broadcom,353495.0
Mer30,291 frances rue,,1.0,Merrick,1-051-257-2719,4.0,0.0,S,98.0,583.0,O,Discover Financial Services,295647.0
Atc31,16264 sanders east,R,5.0,Atchison,1-171-989-1363,5.0,3.0,U,47.0,710.0,O,UAL,408941.0
Pla32,16068 cantey way,X,9.0,Plamondon,1-042-705-3246,2.0,1.0,M,47.0,380.0,O,Charles Schwab,362523.0
SEL33,21170 EDLOE BOULEVARD,E,2.0,SELCHOW,1-098-328-2026,0.0,0.0,M,9.0,796.0,R,Coach,2102359.0
sha34,885 CROSBY LANE,Z,2.0,shane,1-209-754-5635,1.0,3.0,M,85.0,818.0,U,DaVita,3480265.0
MER35,12235 jay street,,3.0,MERWIN,1-498-781-3456,5.0,3.0,M,81.0,766.0,U,Marshall & Ilsley Corp.,3648900.0
con36,20340 LOMBARD CRESCENT,,2.0,conrad,1-615-241-0440,2.0,3.0,M,0.0,359.0,O,Cablevision Systems,1161790.0
ons37,22074 dexter upper,,2.0,onsiteteam,1-995-449-5200,1.0,5.0,S,28.0,401.0,R,Barnes & Noble,2050587.0
Sum38,1540 MURIE RUE,,0.0,Summerlin,1-295-673-4452,1.0,1.0,U,65.0,609.0,O,EMC,3579198.0
gro39,7075 glen loch drive,F,2.0,grooms,1-914-675-2986,3.0,0.0,S,20.0,630.0,O,Fluor,889494.0
dil40,11237 balmoral way,I,9.0,dilkie,,3.0,1.0,M,55.0,671.0,O,Dollar General,2205682.0
DOL41,8316 GARDEN BROOK NORTH,,10.0,DOLSON,1-825-739-0336,0.0,2.0,U,76.0,715.0,O,Lear,1140117.0
Pos42,2240 clifton lower,,9.0,Posthumus,1-956-713-3802,4.0,1.0,M,1.0,707.0,O,J.P. Morgan Chase & Co.,1421319.0
Mac43,20907 NOTINGHAM LOWER,,0.0,Machika,1-814-932-1579,4.0,2.0,M,3.0,329.0,O,Affinia Group Intermediate,3525204.0
che44,601 carroll lower,,8.0,chenoweth,1-135-443-7282,0.0,3.0,D,100.0,601.0,R,,468976.0
hol45,18267 state drive,,2.0,holbrooks,1-720-975-0667,5.0,1.0,W,81.0,623.0,O,Goldman Sachs Group,1685443.0
pfi46,9270 LEAF SOUTH,,2.0,pfieffer,1-871-598-3505,4.0,4.0,S,76.0,376.0,O,E*Trade Financial,337564.0
elk47,18582 PERIMETER BOULEVARD,Y,0.0,elkington,1-607-222-4809,1.0,3.0,W,51.0,560.0,O,Pfizer,84777.0
Lab48,9612 park stream upper,,4.0,Labenek,1-965-046-0642,1.0,5.0,,,693.0,O,Safeway,3146477.0
laf49,2803 clearwater north,Y,0.0,laferriere,1-155-441-3579,1.0,2.0,S,58.0,346.0,U,Simon Property Group,495277.0
Nor50,11103 BISSONNET WEST,I,0.0,Norment,,0.0,3.0,M,52.0,342.0,O,Trinity Industries,746904.0
hag51,4652 outervale lane,,8.0,hagar,1-544-132-7237,2.0,0.0,M,91.0,563.0,R,Solutia,1219620.0
Bet52,341 dunbar west,,4.0,Betcher,1-821-089-2089,2.0,3.0,M,17.0,391.0,O,,1718910.0
Van53,16176 vernon drive,,8.0,Van der,1-135-391-9787,4.0,4.0,S,6.0,381.0,O,A.O. Smith,
O'L54,23131 clint way,,9.0,O'LEARY,1-776-182-6215,0.0,3.0,S,89.0,539.0,U,AptarGroup,2636424.0
and55,11640 baltic upper,,0.0,anderson,1-079-780-7761,5.0,4.0,M,99.0,497.0,O,Coca-Cola,1326305.0
sta56,20796 dolores drive,,,starks,1-504-346-4393,4.0,2.0,M,77.0,661.0,O,Kimberly-Clark,2241997.0
CHA57,14359 COMMERCE WEST,,0.0,CHASSE,1-985-538-4351,5.0,3.0,S,,558.0,R,Visteon,1542891.0
ASI58,21448 hampton boulevard,,,ASING,1-254-097-9398,,1.0,W,90.0,534.0,O,TECO Energy,797918.0
ask59,7637 pershing way,,6.0,askins,1-545-924-9552,0.0,0.0,M,82.0,373.0,U,Bemis,347654.0
Kik60,11529 arcana boulevard,K,8.0,Kikuta,1-984-233-8818,4.0,0.0,M,,382.0,O,Wyeth,2456397.0
Cha61,2700 windwood north,,10.0,Chane,1-528-691-1642,3.0,3.0,S,15.0,475.0,O,United Technologies,1284229.0
KIL62,22279 gramercy road,U,3.0,KILLEN,,2.0,0.0,D,,539.0,O,Clorox,618787.0
kin63,9828 west east,,6.0,kinley,1-171-807-8213,4.0,5.0,M,96.0,711.0,O,Discovery Communications,1171606.0
MAL64,5935 mcafee park,,1.0,MALAHER,1-056-241-7009,4.0,,M,38.0,606.0,O,Williams-Sonoma,3983261.0
Odu65,12460 CLAYTON STREET,J,0.0,Odum,1-389-414-0570,3.0,3.0,W,10.0,494.0,O,Manitowoc,2328568.0
DI 66,275 3rd drive,,3.0,DI NINNO,1-583-542-1656,1.0,5.0,M,72.0,309.0,O,Henry Schein,2078600.0
STU67,6907 FERNCLIFF CRESCENT,K,3.0,STUBBLEFIELD,1-269-712-0672,2.0,5.0,M,97.0,630.0,O,Trinity Industries,2986155.0
HAM68,885 crosby lane,,10.0,HAMBALI,1-670-102-0463,4.0,1.0,S,48.0,330.0,O,Pepsi Bottling,1864039.0
LIB69,2344 kalani west,,9.0,LIBRARIAN,1-699-726-3895,,0.0,S,97.0,710.0,O,UGI,1293721.0
ohs70,22870 LA CIENEGA STREET,,7.0,ohsone,1-640-666-2876,4.0,0.0,M,73.0,475.0,R,Greif,3850114.0
HUM71,8478 green avenue,O,3.0,HUMMEL,1-540-639-1311,0.0,1.0,U,71.0,596.0,O,Equifax,1618743.0
BRA72,23639 purdue rue,,9.0,BRADD,1-285-874-8492,5.0,1.0,W,93.0,670.0,O,,3383487.0
Boa73,19202 ansley park,X,,Boarder,1-121-904-0040,5.0,3.0,U,53.0,722.0,O,Freescale Semiconductor,2981876.0
Mcn74,11319 devonshire rue,,7.0,Mcnally,1-017-842-3201,3.0,2.0,U,32.0,587.0,O,Aleris International,2109339.0
MAR75,23665 deerwood park,,4.0,MARKOVICH,1-215-859-3206,4.0,3.0,S,1.0,609.0,O,,791803.0
Wil76,4855 union north,,7.0,Willekes,1-764-520-7470,0.0,1.0,S,39.0,401.0,O,World Fuel Services,3523678.0
Dea77,9466 SHADOWBRIAR WEST,S,0.0,Deacetis,1-414-130-0162,4.0,0.0,M,77.0,335.0,,R.R. Donnelley & Sons,1681902.0
Hou78,3504 regency avenue,,7.0,Houk,1-970-240-9990,5.0,5.0,U,18.0,569.0,O,Brinker International,3851455.0
Goy79,7281 northland lower,,9.0,Goyette,1-408-684-6459,0.0,2.0,M,70.0,,R,Temple-Inland,2339382.0
Mok80,12481 hayden lower,Z,7.0,Mok-fung,1-330-353-5908,2.0,0.0,S,26.0,679.0,O,Psychiatric Solutions,
Run81,2328 gracie avenue,I,10.0,Rundle,1-766-726-2675,,4.0,M,,356.0,,Nash-Finch,2065016.0
BEL82,4737 campbell street,,9.0,BELLEY,1-938-425-7509,2.0,5.0,S,58.0,308.0,R,AMR,2454049.0
BAE83,2401 stratmore lower,Y,4.0,BAER,1-527-308-8874,0.0,4.0,M,43.0,412.0,O,Spartan Stores,2423395.0
MAU84,21477 JUNIPER CRESCENT,,4.0,MAULDIN,1-810-590-0635,2.0,3.0,D,65.0,618.0,O,Cigna,1342045.0
Koo85,19214 YAUPON BOULEVARD,,5.0,Koohgoli,1-274-548-2512,5.0,3.0,S,24.0,429.0,O,General Cable,861756.0
Lau86,7785 rusk boulevard,,3.0,Lauriston,1-649-754-4601,3.0,1.0,S,79.0,819.0,O,Dun & Bradstreet,1215349.0
Man87,18002 cantrell upper,L,7.0,Mangum,1-905-932-1785,0.0,1.0,M,48.0,552.0,O,Casey's General Stores,3981554.0
PIE88,23341 brookside upper,,9.0,PIERCY,1-031-004-7697,0.0,4.0,S,69.0,587.0,O,Jack in the Box,3865937.0
Bus89,20494 ROSS WEST,,6.0,Buscaglia,1-994-812-4796,3.0,1.0,S,91.0,304.0,O,Assurant,2804700.0
BAB90,17552 SAVANNAH NORTH,,4.0,BABIONE,1-176-513-4041,5.0,5.0,,75.0,795.0,U,Psychiatric Solutions,3283558.0
Bur91,4462 pace crescent,,2.0,Burkard,1-072-244-6337,1.0,3.0,S,85.0,830.0,O,Danaher,450524.0
Kin92,7161 tallowood upper,,3.0,Kinsella,1-924-669-9328,5.0,3.0,M,76.0,709.0,R,Clorox,
POM93,3489 silver sage west,,8.0,POMMAINVILLE,1-598-488-3541,2.0,1.0,S,68.0,493.0,O,Boyd Gaming,
BOA94,12481 hayden lower,,,BOATWRIGHT,1-295-539-3868,3.0,,M,95.0,680.0,O,Eaton,633760.0
Ron95,13210 3RD DRIVE,R,,Ronald,1-554-020-0267,1.0,5.0,M,15.0,800.0,R,Dynegy,3634954.0
wei96,8899 starling lane,A,4.0,weihs,1-793-621-4566,1.0,5.0,M,17.0,614.0,R,AmeriCredit,799268.0
Hel97,11480 fennel south,P,6.0,Helpb,1-787-267-4261,4.0,0.0,,94.0,763.0,R,SLM,39093.0
mog98,7266 cherry upper,,3.0,moghe,1-668-247-1597,4.0,4.0,S,70.0,561.0,O,NV Energy,2705353.0
boz99,10678 ENGLEWOOD WEST,,4.0,bozicevich,1-901-346-8890,1.0,2.0,S,29.0,569.0,O,Landstar System,3565153.0
Zah100,21181 2ND RUE,R,5.0,Zaharychuk,1-451-273-3803,4.0,1.0,M,52.0,634.0,O,Pacific Life,2832204.0
And101,22963 hanover road,,10.0,Andric,1-129-499-9136,5.0,3.0,U,51.0,488.0,O,Textron,2194345.0
Bam102,8268 cliffbrook boulevard,L,5.0,Bamfo,1-899-319-0772,2.0,3.0,W,24.0,788.0,O,Pfizer,3737140.0
fro103,5118 montview court,,8.0,frondozo,1-053-396-0441,3.0,4.0,D,98.0,333.0,O,Cigna,464753.0
Car104,17442 tallowood upper,J,,Caron,1-239-665-9540,1.0,1.0,M,59.0,601.0,U,Ameren,596696.0
muc105,4038 WEDGEWOOD STREET,V,2.0,muchow,1-605-888-3403,3.0,4.0,U,49.0,595.0,O,Consolidated Edison,1504753.0
gat106,20334 anaconda avenue,,10.0,gateau,1-630-604-2543,0.0,1.0,U,1.0,433.0,O,Occidental Petroleum,3049281.0
Sch107,5385 young west,M,10.0,Schaefer,1-851-862-7928,0.0,,U,79.0,403.0,O,Sherwin-Williams,247478.0
pom108,2747 SINCLAIR LANE,,3.0,pomerleau,1-065-415-5724,1.0,5.0,,6.0,615.0,R,Affiliated Computer Services,2750301.0
cuc109,8622 BROWNWAY PARK,K,1.0,cucuzzella,1-408-512-1007,0.0,4.0,M,70.0,735.0,O,Valassis Communications,721333.0
SUG110,18048 GREEN NORTH,Z,1.0,SUGARMAN,1-083-902-4184,3.0,0.0,S,23.0,668.0,O,,669440.0
Pep111,18994 country boulevard,,,Pepe,1-568-403-7081,3.0,5.0,M,78.0,349.0,O,Smithfield Foods,2473979.0
Cha112,16063 ashland road,,,Chandrashekar,1-824-389-0618,4.0,,S,79.0,654.0,,,3545170.0
SEI113,19309 mcfarlin north,U,6.0,SEIFERS,1-174-210-2058,2.0,3.0,U,72.0,361.0,O,TD Ameritrade,1494871.0
GAR114,2454 cliffbrook west,S,1.0,GARTLEY,1-425-503-7952,4.0,0.0,S,31.0,427.0,U,Comerica,436164.0
Tou115,15865 strand west,,1.0,Touchette,1-012-389-9089,0.0,3.0,W,86.0,322.0,O,Steel Dynamics,1069481.0
Kur116,13776 east boulevard,V,9.0,Kurdziel,1-909-472-6704,2.0,0.0,S,,792.0,R,Coca-Cola Enterprises,
Her117,10570 WEIZMANN LOWER,,2.0,Herod,1-622-167-5411,3.0,0.0,U,87.0,478.0,O,News Corp.,2957261.0
MCV118,15278 walnut hill road,P,1.0,MCVICAR,1-164-511-9338,,5.0,M,92.0,477.0,O,,228459.0
LAB119,23007 WAKEFOREST WAY,,6.0,LABFIVE,1-804-532-9163,1.0,5.0,M,4.0,449.0,O,Stater Bros. Holdings,67267.0
but120,9088 rivas way,,2.0,butta,1-197-370-0297,2.0,4.0,U,8.0,466.0,O,BorgWarner,1087978.0
Pro121,18798 ullrich road,,2.0,Projects,1-337-042-5687,0.0,5.0,M,97.0,483.0,O,CB Richard Ellis Group,3885967.0
Irc122,18517 HULEN LOWER,,4.0,Irc,1-056-138-5321,5.0,4.0,D,,588.0,O,Zimmer Holdings,3271101.0
Ziv123,11474 dodd lane,G,2.0,Zivkovic,1-776-191-2031,5.0,5.0,,40.0,313.0,O,Mohawk Industries,
sim124,9375 wood south,H,1.0,simser,1-280-696-2706,1.0,4.0,U,95.0,647.0,R,Berkshire Hathaway,1999133.0
kei125,20479 wise avenue,I,2.0,keifer,1-857-581-6346,1.0,5.0,S,92.0,430.0,O,Saks,1100786.0
arv126,19918 ROGERS NORTH,P,8.0,arvin,,0.0,5.0,W,67.0,467.0,O,Gardner Denver,563992.0
Pra127,9284 coffey lower,,7.0,Praeuner,1-716-343-0884,3.0,2.0,M,24.0,399.0,O,Hasbro,962397.0
lue128,2929 north crescent,C,5.0,lue,1-101-776-2496,2.0,3.0,M,26.0,654.0,O,CBS,1064169.0
Prz129,15404 queen street,,3.0,Przybycien,1-769-028-0589,2.0,0.0,S,62.0,378.0,O,Synnex,2100059.0
pen130,1619 greenspoint road,J,10.0,penn,1-005-833-8970,5.0,1.0,W,37.0,338.0,O,Belden,99025.0
Gua131,21477 WARREN PARK,S,10.0,Guay,1-884-215-4243,5.0,0.0,S,71.0,695.0,R,Broadcom,3865481.0
bre132,6503 ROBBINS STREET,,7.0,brennand,,1.0,3.0,M,29.0,614.0,U,Reynolds American,804544.0
Sav133,3958 GLEN LOCH BOULEVARD,X,7.0,Savanh,1-725-177-7815,4.0,5.0,S,89.0,307.0,O,Wells Fargo,3143356.0
ABB134,13640 ethridge lower,Z,2.0,ABBATANTUONO,1-277-496-5396,0.0,3.0,M,11.0,331.0,O,Retail Ventures,
OP135,3981 imperial lower,N,2.0,OP,1-756-463-2201,2.0,0.0,S,20.0,638.0,O,AT&T,2311953.0
Mer136,13210 3rd drive,,3.0,Mersinger,1-261-338-7463,3.0,5.0,W,75.0,703.0,O,Wynn Resorts,3120608.0
rut137,9297 THROCKMORTON SOUTH,,7.0,rutt,1-811-086-4675,0.0,5.0,S,95.0,302.0,O,Eastman Kodak,2058270.0
bem138,8935 YOUNG UPPER,I,,bemis,1-338-771-1185,2.0,3.0,U,0.0,522.0,O,Aramark,1511983.0
Pen139,3797 RUTGERS PARK,,,Pennington,1-554-231-5318,5.0,1.0,M,73.0,,O,ENSCO International,439080.0
tor140,8285 tamarind crescent,Y,5.0,torok,1-733-886-5227,1.0,0.0,W,39.0,833.0,R,Auto-Owners Insurance,921255.0
law141,20025 routh crescent,L,2.0,lawlis,1-267-357-1943,1.0,1.0,U,76.0,,O,Bemis,3810365.0
Bee142,4144 LAKE PARK LANE,D,6.0,Beebe,1-602-756-7919,2.0,2.0,U,5.0,664.0,O,Securian Financial Group,2641938.0
sch143,3375 sakowitz lane,,7.0,schlange,1-793-864-7010,4.0,1.0,U,65.0,789.0,O,Ford Motor,3857323.0
Wit144,7255 berry way,,0.0,Witchlow,1-637-020-2921,5.0,0.0,S,94.0,803.0,U,ConAgra Foods,1636212.0
MER145,3131 WATHAN SOUTH,Q,3.0,MEREDITH,1-428-797-6325,4.0,4.0,M,95.0,720.0,,Charter Communications,2999082.0
bia146,18440 RYAN NORTH,,4.0,bialkenius,1-011-549-5618,1.0,0.0,M,28.0,839.0,R,Calpine,2280820.0
Swi147,13222 glen loch road,P,0.0,Swiat,1-993-255-5481,4.0,1.0,D,76.0,621.0,O,Crane,1050866.0
bul148,7889 MURRAY WAY,,3.0,bullinger,1-487-749-4448,5.0,4.0,D,81.0,628.0,O,Textron,
TYR149,7527 whale drive,,6.0,TYRRELL,1-192-352-2184,3.0,5.0,W,38.0,813.0,O,Idearc,603001.0
Fyf150,17788 eagle trace park,,3.0,Fyfe,1-293-442-4224,5.0,3.0,W,25.0,367.0,R,Cabela's,3368239.0
Sic151,7661 GRANT WAY,,10.0,Sicard,1-078-502-6700,4.0,2.0,D,0.0,807.0,O,EOG Resources,1042629.0
CAS152,4806 crystal hills street,,8.0,CASTEN,1-430-909-3001,3.0,4.0,U,61.0,501.0,O,,1948746.0
Cho153,4211 WILLS NORTH,S,10.0,Choy,1-392-455-0895,0.0,2.0,U,3.0,490.0,O,Burlington Coat Factory,3113862.0
CHA154,7524 linberg north,,3.0,CHACKO,1-273-921-9787,2.0,3.0,W,77.0,321.0,O,Southwest Airlines,2777290.0
bei155,14266 lemming south,E,6.0,beil,1-012-993-4538,1.0,0.0,U,8.0,,R,RPM International,2210073.0
Ele156,1427 ADDAX LANE,J,7.0,Eleftheriou,1-890-859-4211,4.0,1.0,U,34.0,446.0,O,Amazon.com,1999684.0
o'g157,1625 fernando court,,2.0,o'grady,1-080-032-3031,5.0,5.0,M,15.0,428.0,O,Neiman Marcus,2119678.0
Kat158,335 floresta north,,5.0,Katchmar,1-561-620-7173,0.0,0.0,S,66.0,423.0,O,Goldman Sachs Group,169808.0
Lui159,22806 garson east,O,6.0,Luin,1-017-439-0362,5.0,4.0,U,55.0,499.0,O,Boeing,1072732.0
Kla160,5524 vermack street,,7.0,Klavkalns,1-248-539-6621,1.0,1.0,S,8.0,342.0,O,United Refining,2261442.0
Bru161,18105 electra street,Z,1.0,Brunsting,1-611-789-5569,1.0,3.0,M,7.0,632.0,U,D.R. Horton,2234368.0
Apt162,719 holman court,Q,6.0,Apter,1-023-151-8130,3.0,1.0,M,97.0,525.0,O,Jarden,575288.0
sch163,23553 MEMORIAL RUE,,9.0,schuette,1-005-574-3523,5.0,1.0,M,95.0,371.0,R,Systemax,1102479.0
Lan164,16759 park avenue,,4.0,Lanava,1-550-487-1571,1.0,3.0,U,92.0,699.0,O,Marriott International,2995388.0
Fus165,12296 WILLIAMS LOWER,,8.0,Fusca,1-280-494-1415,3.0,2.0,M,17.0,435.0,O,Expeditors International,1147193.0
Nev166,9625 ALLEN BOULEVARD,R,2.0,Nevardauskis,1-803-438-4141,1.0,4.0,U,81.0,512.0,U,Great Plains Energy,1136540.0
SHA167,10340 jarvis road,,6.0,SHACKLEFORD,1-566-299-2351,5.0,,M,13.0,552.0,O,Danaher,1677669.0
Sau168,13143 goodwin lane,P,8.0,Sauck,1-586-363-4189,0.0,2.0,M,78.0,,O,,2160706.0
fri169,7160 BEATTY RUE,,5.0,frischknecht,1-505-124-9029,4.0,1.0,M,78.0,687.0,O,Watson Wyatt Worldwide,2525665.0
fer170,22679 chimney rock west,O,0.0,fernandez,1-897-996-9812,3.0,1.0,M,85.0,433.0,R,Yahoo,3517622.0
LAN171,6769 pasadena upper,,7.0,LANDERS,1-922-919-5858,1.0,2.0,U,68.0,746.0,,Convergys,
Bha172,20622 MCAFEE COURT,,9.0,Bhasin,1-326-572-2988,0.0,0.0,M,1.0,405.0,R,Celanese,97675.0
Jor173,10526 LINWOOD LANE,,,Jordan,1-076-972-4311,5.0,5.0,M,83.0,805.0,O,Dana Holding,
KNU174,21088 vessey crescent,,5.0,KNUDSEN,1-341-595-8408,4.0,4.0,M,78.0,819.0,O,XTO Energy,3569070.0
Ham175,10884 ryan avenue,,0.0,Hamelin,,0.0,5.0,M,,648.0,O,Alliance Data Systems,1507616.0
MAU176,1481 gale court,,10.0,MAUER,1-536-952-5040,5.0,5.0,U,5.0,401.0,R,Franklin Resources,514151.0
Rez177,18390 martins east,,8.0,Rezansoff,1-663-917-0422,2.0,0.0,U,43.0,484.0,U,Fidelity National Financial,2903408.0
Koa178,23208 porter crescent,,1.0,Koa,1-843-773-1791,4.0,4.0,U,53.0,463.0,O,FirstEnergy,1695814.0
HAN179,17026 durand north,B,5.0,HANNEMAN,1-823-567-1252,3.0,0.0,U,13.0,335.0,O,Commercial Metals,868465.0
jak180,16533 devonshire park,I,10.0,jakim,1-744-421-7512,5.0,4.0,U,7.0,,O,Genzyme,2810709.0
ump181,8965 griffin east,C,7.0,umphres,1-621-744-1484,4.0,5.0,M,17.0,381.0,R,US Airways Group,3593363.0
Wic182,22451 larner court,G,1.0,Wickham,1-973-214-3381,2.0,2.0,M,67.0,708.0,O,Advanced Micro Devices,2607636.0
Gat183,3681 HOLLY KNOLL CRESCENT,,8.0,Gates,1-428-266-1600,5.0,4.0,M,54.0,354.0,R,United Parcel Service,2735642.0
bot184,5678 dayton street,,10.0,bott,1-334-466-5299,1.0,4.0,S,5.0,547.0,,Fastenal,1501732.0
DAV185,15591 holgate lane,T,9.0,DAVID-YERUMO,1-249-478-5643,1.0,1.0,D,28.0,761.0,O,Core-Mark Holding,397072.0
HIL186,23477 havenridge rue,,1.0,HILLARD,1-804-228-8548,4.0,1.0,M,5.0,659.0,O,Boise,3399757.0
war187,18267 cape lane,,9.0,warburton,1-564-230-0062,4.0,2.0,M,,351.0,R,DST Systems,2684548.0
MAC188,2928 POTOMAC UPPER,,7.0,MACHNICKI-HYNES,1-781-339-9073,3.0,3.0,S,72.0,608.0,O,United States Steel,3041622.0
lev189,14656 pasadena park,A,3.0,levitin,1-096-116-9962,4.0,2.0,S,12.0,706.0,O,Pepco Holdings,3211816.0
Goo190,16983 flagler drive,,8.0,Gooderham,1-914-194-6997,0.0,4.0,M,71.0,391.0,O,Acuity Brands,127026.0
Koh191,17212 LANDER SOUTH,E,2.0,Kohalmi-hill,1-733-360-9116,5.0,4.0,W,90.0,461.0,R,Baker Hughes,588945.0
AYL192,23764 sabine west,,2.0,AYLWIN,1-591-402-8026,4.0,4.0,U,20.0,510.0,O,Newell Rubbermaid,1962620.0
CHO193,16271 vista south,E,5.0,CHOUHAN,1-326-180-9322,,2.0,W,58.0,805.0,O,Westlake Chemical,178193.0
DIT194,1080 LAVENDER LANE,G,7.0,DITKO,1-784-796-6844,2.0,4.0,M,57.0,702.0,O,Jones Lang LaSalle,2102811.0
EMI195,10856 summer street,,3.0,EMIG,1-662-625-4671,4.0,1.0,W,43.0,368.0,O,Burger King Holdings,2246854.0
Ryd196,17021 edwards crescent,,8.0,Ryder,1-627-590-4931,3.0,2.0,W,39.0,520.0,R,Hovnanian Enterprises,1312448.0
mei197,7726 TALLOWOOD UPPER,S,2.0,meisner,1-055-694-7984,0.0,3.0,S,87.0,666.0,O,Medical Mutual of Ohio,295993.0
Ceg198,19097 foxfire north,,9.0,Cegelski,1-166-844-7429,0.0,1.0,S,57.0,587.0,O,Lockheed Martin,1220003.0
hai199,8161 PINTO ROAD,Z,4.0,haigh,1-516-930-4640,4.0,5.0,U,58.0,643.0,O,Yum Brands,2400476.0
cle200,9659 sakowitz west,J,5.0,clendening,1-261-215-4290,,4.0,,28.0,484.0,R,Wesco International,2900897.0
Cie201,15306 pike park,W,3.0,Ciesielski,1-681-572-7662,3.0,1.0,U,95.0,,R,Volt Information Sciences,3942140.0
Par202,21891 dewey street,,8.0,Parypa,1-288-967-5460,1.0,2.0,S,98.0,676.0,R,Western Union,2118119.0
LOZ203,8155 storeywood road,K,4.0,LOZINSKI,1-315-022-2148,5.0,2.0,M,55.0,300.0,O,,338540.0
Pas204,20871 dewdrop street,,8.0,Pascal,1-707-402-6121,2.0,3.0,,14.0,,R,Lubrizol,2617116.0
Aul205,1121 GREENE PARK,,9.0,Aula,1-186-893-7846,3.0,1.0,M,30.0,831.0,O,C.H. Robinson Worldwide,1459711.0
bar206,23849 westerley south,N,7.0,barnes,1-571-918-3795,3.0,1.0,M,90.0,609.0,O,Celgene,1804959.0
