prospect_AgencyID,prospect_LastName,prospect_State,prospect_Phone,prospect_Country,prospect_OwnOrRentFlag,prospect_FirstName,prospect_PostalCode,prospect_AddressLine1,prospect_NumberChildren,prospect_AddressLine2,prospect_MaritalStatus,prospect_Age,prospect_CreditRating,prospect_Employer,prospect_NumberCreditCards,prospect_NetWorth
dgc7511,dgcnbxfhc,Saskatchewan,,United States of America,O,Zaijioc,NCEVKLQEEWTA,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,1.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,M,72.0,,Interstate Bakeries,3.0,490443.0
lql7512,lqlslgqsvyfxqnzuwbfg,NE,1-268-630-3843,Canada,O,Mdwdjpdfmbqjaygkfqzqx,DODDIDDHXS,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,5.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,M,40.0,318.0,eBay,9.0,3348923.0
Wsk7513,Wskjvrujdwku,AR,1-915-548-9541,United States of America,R,Ccbccgvldfvoqtzestvkwunn,Oqnzttrldq,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1.0,ucxdpiwilpxxhv,D,8.0,613.0,Boise,4.0,331799.0
Ffs7514,Ffshsiomkzjonhxjhunfsao,IL,1-536-880-0961,,R,nyakrhdyxravdnhgbtol,Lwbawk,,1.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,U,10.0,786.0,MDU Resources Group,4.0,1167013.0
Kvv7515,Kvvverfkpazpzzkrqniixrhnw,VA,1-494-335-6022,United States of America,O,NDNBTVCLKSC,Ppsrzjdtg,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,3.0,,U,24.0,,Freescale Semiconductor,10.0,3960216.0
mpz7516,mpzqnwnrmaozfsstcqtrc,ID,1-814-158-3550,United States of America,O,Zmstbluqkipzaojfsomtbdddguq,,,4.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,M,18.0,623.0,Superior Energy Services,5.0,242246.0
Jhc7517,Jhcbaxyzijphmmvpampdgvgisnab,TX,1-420-580-0795,United States of America,O,dpqgvuaoijmkxsesvililpxcrwqe,,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,Havgczldcpfmwfzj,S,79.0,845.0,Monsanto,1.0,1217660.0
dbq7518,dbqcukoddoiwg,New Brunswick,1-924-305-1666,United States of America,U,IHUGYGSRDWILVOFBAKUR,Rxdsunq,rpikmvtgwsrsoehxgmxwypaueiaheabrf,5.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,M,36.0,645.0,Newfield Exploration,7.0,1229655.0
Xch7519,Xchoxlbkffuvox,Alberta,1-450-082-2122,Canada,O,aefotdcronamhkzsfpvifmobgchmsp,JXHVEEOU,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,W,21.0,495.0,Loews,1.0,1157831.0
oir7520,oirfujtvl,PA,1-573-009-1404,Canada,O,jdeyqkerjerjpht,XHJQCDPOO,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,M,4.0,371.0,Apache,8.0,
Fqb7521,Fqbovz,Nova Scotia,1-603-897-9894,United States of America,R,Lwihnxoihqqrvjydsijd,rapkjpmvp,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,3.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,S,72.0,462.0,Robert Half International,1.0,
qex7522,qextfjyytqwbmdrlykbfnhvqrmota,RI,1-947-161-6502,United States of America,U,nmnervucuk,Slskxm,Dmyivtczopuqajpnjqvvgbhxynvduub,,Rirmrpvlknyho,S,1.0,375.0,Viacom,7.0,3467922.0
Hpi7523,Hpiedhvkedqqdxsoedt,OR,1-586-826-9847,Canada,U,hgjkxxbf,FXHXLG,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,2.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,S,98.0,516.0,Robert Half International,10.0,46859.0
Fjd7524,Fjdafgbcrml,CA,1-217-243-2668,Canada,R,Zangtryzlhmxo,ovlziicdezok,Esuycdxsjfbrqbtluspxsehk,5.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,35.0,703.0,CSX,,2937668.0
Cgt7525,Cgtcmbl,MO,1-857-211-5728,United States of America,O,FFJGEQD,jsxcpvao,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,2.0,Rpzwirgfyiw,W,99.0,734.0,Country Financial Services,7.0,2388613.0
Lwx7526,Lwxudfgcqawccntqaucdaeym,Prince Edward Island,1-089-966-6281,United States of America,U,Pdcxrihnl,Ykerbceq,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,2.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,M,49.0,469.0,Procter & Gamble,4.0,3116283.0
epy7527,epyxtfsrijhddstgaxkbgmlayjtk,Quebec,,United States of America,O,Zckhcacwaelzutaodqalxyjrkh,VVMSNWEBT,vnyndcximwxhecv,0.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,S,72.0,595.0,Ingles Markets,2.0,2671950.0
Aff7528,Affcha,KS,1-231-342-6874,United States of America,O,sqrosgqnpifxjx,bibueqwbejem,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,0.0,Acdrcqabtcdgmgl,U,41.0,410.0,Forest Laboratories,1.0,3899593.0
mfc7529,mfcestd,NV,,Canada,O,Erqzkkllazeobgthnmgsbtj,gehpynlk,,2.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,W,54.0,475.0,Dentsply International,10.0,2537332.0
Slf7530,Slfbmvc,TN,1-602-637-1838,United States of America,R,Lcziayaozecoqqluasolkmmcldm,Piwlxtg,GVSBHGBDDVJFNNOZNNPJWCOI,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,11.0,,RadioShack,2.0,733236.0
Cxu7531,Cxuousxqyrfgjvpvuopyfguqva,WY,1-003-982-8627,United States of America,O,Gcnczmuxviqaxtsdzmzhtro,Ujlshmosjkid,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,5.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,W,0.0,519.0,Century Aluminum,3.0,
GZO7532,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,British Columbia,1-136-358-6852,United States of America,U,Rsoobsqytvjycob,cwburwnupuj,BIQIOQOHLQSTBRUFOI,3.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,D,27.0,841.0,,5.0,3397276.0
DRW7533,DRWTVTDSG,LA,1-123-528-2965,United States of America,O,Pjvadgt,CNEZMHTKIAEV,Llfaqkbemnoy,1.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,U,95.0,540.0,FPL Group,6.0,2444257.0
set7534,setksinlvlrjwnfu,HI,1-136-565-2501,United States of America,R,GUBKOKITTSKVYM,kixvppuqtd,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,3.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,U,35.0,540.0,Lockheed Martin,10.0,71520.0
Pyo7535,Pyoixliri,NY,1-317-986-1984,United States of America,O,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,jrhynxfi,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,M,96.0,,Sanmina-SCI,6.0,1911091.0
FSH7536,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,TX,1-265-603-1262,Canada,O,Kuteauo,dnhtjyu,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,0.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,W,96.0,424.0,Iron Mountain,6.0,988775.0
Tdx7537,Tdxyljuxporjhdumcvfmv,AZ,,United States of America,R,Hkfofpndygljbeo,YKOVOTYB,,5.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,M,49.0,623.0,OfficeMax,2.0,3919363.0
Sbn7538,Sbnxcsrozzcufdoyvckpplofysx,ME,1-156-668-6882,Canada,O,Kengxgsu,WNNMWJ,atydogjpqphuwhegtbukkqiaeakrtrn,1.0,XHQNMCEJKXOQYVSZVESLKC,S,,792.0,AMR,4.0,428918.0
Piq7539,Piqizouhxiw,NH,1-164-648-3203,United States of America,O,Plywuoa,Oktkljv,Hlotorcbtobuceb,4.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,S,27.0,718.0,Kohl's,6.0,58134.0
IXD7540,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,KY,1-839-795-1027,,O,zfcwsxpjzyqelkxg,,gsrdigbqfwrahybxrtm,0.0,Toumjfbsumpgfuskpydjeibaxi,M,98.0,401.0,Cigna,6.0,3703767.0
wsn7541,wsnjomkxbtybfnmtcjhvmblfwamnwd,Prince Edward Island,1-958-412-4252,United States of America,R,Yxvczhqjwgnhowiu,GXFLSISZUY,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,5.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,M,,557.0,West,2.0,433859.0
Jkp7542,Jkpmtcj,British Columbia,1-392-335-1020,United States of America,O,Grkknjyfgbhtyrhxzeaoeoyirwfa,gzexcrngivl,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,5.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,W,56.0,393.0,Monsanto,7.0,3002044.0
CCF7543,CCFFVCOHCLUUXZIQTCFCUHEYN,CT,1-912-050-7605,United States of America,,Vfrdst,yzoikhwrd,,4.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,M,94.0,557.0,Reliant Energy,10.0,1124168.0
ylj7544,yljvuglvt,WA,1-075-551-9919,United States of America,O,Hqcswumjvwbemosmy,Gdbktega,RELJYREDKQEKGOORBLRKOUIC,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,U,98.0,465.0,Idearc,5.0,2081541.0
ZBB7545,ZBBXAWVJAAL,ND,1-013-611-2674,Canada,O,Ectbhkmbvwkwdbn,Kdcqzpvf,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1.0,hkyochorqgtokxgozmoncalaaiw,M,8.0,,Neiman Marcus,6.0,1897076.0
fqe7546,fqekemquvstw,ID,1-656-865-7544,United States of America,,Bdbgqpllbnrmiirpct,Tbwgwtmgcu,Yewxbqpnfgh,,Datdnghoiymltcayulgkgxywi,W,90.0,485.0,O'Reilly Automotive,10.0,235172.0
Wpw7547,Wpwhilrlzng,Quebec,1-879-870-7379,United States of America,,Ftszluaxcsoxdfbmdd,Mwmfs,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,M,34.0,303.0,Cliffs Natural Resources,2.0,639573.0
vpz7548,vpzxgcwljllsq,ID,1-366-625-9813,Canada,O,Qrdnpjquwnixfocqhsrlkcxmelwijl,goelqgcts,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,2.0,,W,25.0,846.0,Health Management Associates,4.0,2667082.0
Yfz7549,Yfzmtcvxc,AL,1-359-462-7089,Canada,O,Kkiolpmrgzmnjanqc,ucwygjzs,VDBAVRMWFYBDZUILPKFXIVIYGFUU,4.0,,,50.0,621.0,Chevron,1.0,2598634.0
dou7550,douvwdwiwrxoivzaojazinrhswjv,UT,,United States of America,O,unzegilpp,fjlfqftwg,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,4.0,,D,85.0,331.0,Exide Technologies,,1074671.0
FDJ7551,FDJOVRSOCWEIKZ,MS,1-153-396-8333,United States of America,R,xetqkitwlh,Tocujgaiaq,hfuyqlsmbesrylepu,4.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,M,60.0,401.0,Convergys,9.0,2272997.0
ufu7552,ufutrfkevxnbupjcetrpltw,AK,1-144-623-1308,United States of America,R,TWRRGULRYKYUWZYBQQFMIFFKVK,kurjmmgixxfd,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,2.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,S,95.0,644.0,Dominion Resources,0.0,702000.0
bbg7553,bbgzmquoeecumw,VT,1-269-220-8046,United States of America,R,Yqfljvgkfucafpjpamdtcppiipc,cnsavindoi,qgjnvpwvmgsqzcanzncon,1.0,NBSHKLXYVUUWXEQSGXR,M,8.0,769.0,Sentry Insurance Group,5.0,1289800.0
Znk7554,Znkkdbkvxcxeuackyodqlkpl,LA,1-052-524-0130,,O,mjeasoritwctufyojamzbeeoo,MQBSAUVQRPYE,HNBGLUDIOAJRCCIXGDUQOO,4.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,M,31.0,481.0,Cintas,2.0,1007390.0
CGQ7555,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,CT,1-335-871-6660,Canada,O,Udxaujgiratgthwkvdibgvwfo,vadbnvz,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,2.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,U,51.0,732.0,Medtronic,7.0,124290.0
add7556,addxtssyhezwro,UT,1-637-394-8083,United States of America,O,GHFUKZPOKMXWZF,Ljurvnigr,dnlleihfh,4.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,M,24.0,802.0,Pride International,2.0,1820002.0
Anw7557,Anwyusqezrjppzkaevffwljm,IN,1-706-795-4208,Canada,O,ybtkiifyhbgchnuctnhnqspk,BQDMQVFTNBRJ,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,4.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,M,78.0,329.0,A. Schulman,5.0,2200347.0
Hvt7558,Hvtanebvipbdd,WI,1-622-347-5699,United States of America,R,Fhkymmgjsbmpduuffgavhfcxm,jkcul,Wsjaujjdexc,0.0,nqcozjievwzk,W,56.0,839.0,Oneok,0.0,3669569.0
Yqj7559,Yqjaammjlhgpw,WA,1-042-017-9368,United States of America,,DEZDTMSMWKALBRPALCFIME,Nelny,Ojberg,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,U,50.0,539.0,Danaher,,2140537.0
Ztn7560,Ztnstwpjxatqveppicohpzilnn,LA,1-829-935-5979,United States of America,R,phoxfeiqoldgmnojmzunmargkla,Qsggz,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,5.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,M,52.0,561.0,Del Monte Foods,4.0,3258909.0
bni7561,bnizllrrofn,VT,1-076-726-5283,United States of America,O,Upuabfflh,Drofa,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,5.0,Lfrjkyblujmbxigmylpsxieswspmei,W,14.0,814.0,American Electric Power,2.0,1825422.0
swx7562,swxorhmdydwbrtdqxroghsddlpbdgi,CT,,United States of America,R,owagfolbfwjzeg,Ssovhtmt,Xwtkpxqgohxwxnv,0.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,M,29.0,305.0,TJX,7.0,1845263.0
DSA7563,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,RI,1-284-129-5920,United States of America,O,Qdmppehqxloc,Tnprhljfrlj,Qpvmtkxxfef,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,S,50.0,457.0,Philip Morris International,4.0,1463114.0
BXZ7564,BXZUTWBUFSGPPXKR,SC,1-128-308-8886,United States of America,O,jqbetxkci,Bkxujhonjgjk,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,1.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,U,67.0,349.0,Cincinnati Financial,8.0,2354683.0
pcz7565,pczqycbwefse,British Columbia,1-145-469-5971,United States of America,O,Wsmywgbvwspgdwhmdxsqjwqb,mrjrjhgnwcdu,KRYAIAJGKHBKXBLC,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,M,22.0,590.0,Stryker,0.0,436677.0
Zqa7566,Zqaknviqngvemehvpzrcgkcvre,CO,1-727-684-7767,United States of America,O,ocgwi,Yusezkfgs,,4.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,U,20.0,533.0,Kansas City Southern,0.0,2383335.0
Htl7567,Htltlfnvjctvvdvulpkhcbyfi,TN,1-776-201-2472,Canada,O,Pcotdnngmurhkcd,RKXTQAO,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,0.0,IBQIDE,W,75.0,686.0,IDT,9.0,2574739.0
afw7568,afwafvxxdr,CA,1-767-942-1278,United States of America,O,bvcosqzcleknjzvkygbawlc,UBQSATXZO,VBDCWYVK,0.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,U,60.0,582.0,Vornado Realty Trust,10.0,1596838.0
Wna7569,Wnakgzhqfhtavtvegjtdmdosnjr,WY,1-723-062-7266,United States of America,O,ECLENELTSXGTNWOP,BHRNWQLFVFA,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,4.0,Lrebujnrg,S,,807.0,Dollar General,0.0,591965.0
Mlh7570,Mlheqxaigtvjaynkffyqkpu,SD,,United States of America,O,Xdwexmrjat,Ktmzav,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,5.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,S,48.0,819.0,Safeway,3.0,3071440.0
Gor7571,Gorjnqxjtefmomsbmtnogaerx,British Columbia,1-145-314-0862,United States of America,R,xjwnvwdryqpcehelwzfhkkiuus,Nfpchgfj,Gwxymofcy,0.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,M,91.0,311.0,Apache,5.0,2683081.0
ENX7572,ENXOMNHFVPYQSABETPUEKRKCL,NJ,1-735-104-7772,United States of America,O,RNBABCYAFMQPBOHXNUXMXNU,Wuywecohosfi,Qynjnmfgwxpmrw,5.0,Hxutrprq,U,98.0,734.0,Lowe's,3.0,3850483.0
fgr7573,fgrdzzudzmwlluff,AK,,United States of America,O,Eyrtrqkljywvbcice,tibxlojrqiha,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,W,51.0,432.0,Lithia Motors,1.0,1870617.0
Ysh7574,Yshzkx,OH,1-518-116-1411,United States of America,O,Opybrukftspofebjmspkjsgtobzsp,ogmes,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,0.0,JRHXPUUHAFHDPF,S,22.0,394.0,CH2M Hill,3.0,1249534.0
Mos7575,Mosqjrkdycyygfsljqadgfqoldb,New Brunswick,1-696-359-4829,United States of America,O,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,JUBKXDKP,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,0.0,yvntcqjqqmbftwetvbqgclcdbxspvk,U,57.0,658.0,Tellabs,1.0,3789880.0
czu7576,czuvw,IL,1-352-678-5471,Canada,O,kpofwgtomgijnm,Xbgykqm,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,2.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,M,38.0,348.0,Phillips-Van Heusen,3.0,3874445.0
Ghr7577,Ghrlcuscpesuzsdwqfwwbgh,AZ,1-906-600-9749,United States of America,O,Biflzgcqpqpbahquomftmjffohpwuy,NNCXIBTCXZA,BESJDYZDIOIXKDFEHBQXBPW,5.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,M,68.0,598.0,Wells Fargo,8.0,437353.0
Rwk7578,Rwkdeshuwhwvmvmdnckmuvdt,NY,1-093-018-2851,United States of America,O,ybdlwlwxispyswbiegrbsqqtywxr,mfwuio,Ouopoqztakszwsfkthdbwndfjuqaelyd,2.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,U,93.0,505.0,Vornado Realty Trust,9.0,2669917.0
Uwi7579,Uwinnbtdd,WA,1-302-096-9321,United States of America,R,Capzcewdt,Utgwrun,Ivwhotvobwkshcixclfobqoljlaqohw,3.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,S,48.0,839.0,New York Times,7.0,1466537.0
VXZ7580,VXZTLDNZPYIFIKTIJRXS,GA,1-915-044-3154,United States of America,U,XKBLVBCCYKMIXABVTOTVPZCJRII,Wgulrhctjlg,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,1.0,CYQWJKJB,S,96.0,672.0,Adobe Systems,2.0,991860.0
Ayk7581,Aykkkc,AZ,1-040-274-3474,United States of America,O,wmknfemsztimaphftadowlmbnp,Srhxvxe,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,5.0,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,M,58.0,696.0,Valmont Industries,3.0,
lho7582,lhodktal,NV,1-678-397-2739,United States of America,O,DHLVITRFJDXLTPAGMPMJ,Dadkihaohc,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,3.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,W,63.0,448.0,UAL,5.0,1816368.0
