prospect_nmbrcrdtcrds,prospect_ncm,prospect_wnrrntflg,prospect_ntwrth,prospect_gndr,prospect_ddrssln1,prospect_nmbrchldrn,prospect_gncd,prospect_frstnm,prospect_nmbrcrs,prospect_g,prospect_mrtlstts,prospect_cntr,prospect_pstlcd,prospect_lstnm,prospect_ddrssln2,prospect_ct,prospect_mddlntl,prospect_mplr,prospect_crdtrtng,prospect_stt,prospect_phn
4.0,,R,331799.0,m,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1.0,Wsk7513,Ccbccgvldfvoqtzestvkwunn,4.0,8.0,D,United States of America,Oqnzttrldq,Wskjvrujdwku,ucxdpiwilpxxhv,Colorado Springs,,Boise,613.0,AR,1-915-548-9541
4.0,432425.0,R,1167013.0,,,1.0,Ffs7514,nyakrhdyxravdnhgbtol,4.0,10.0,U,,Lwbawk,Ffshsiomkzjonhxjhunfsao,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Mobile,v,MDU Resources Group,786.0,IL,1-536-880-0961
10.0,122041.0,O,3960216.0,,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,3.0,Kvv7515,NDNBTVCLKSC,0.0,24.0,U,United States of America,Ppsrzjdtg,Kvvverfkpazpzzkrqniixrhnw,,Thousand Oaks,F,Freescale Semiconductor,,VA,1-494-335-6022
5.0,302205.0,O,242246.0,f,,4.0,mpz7516,Zmstbluqkipzaojfsomtbdddguq,1.0,18.0,M,United States of America,,mpzqnwnrmaozfsstcqtrc,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,Rochester,G,Superior Energy Services,623.0,ID,1-814-158-3550
1.0,367555.0,O,1217660.0,F,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,Jhc7517,dpqgvuaoijmkxsesvililpxcrwqe,1.0,79.0,S,United States of America,,Jhcbaxyzijphmmvpampdgvgisnab,Havgczldcpfmwfzj,Garden Grove,s,Monsanto,845.0,TX,1-420-580-0795
7.0,106025.0,U,1229655.0,M,rpikmvtgwsrsoehxgmxwypaueiaheabrf,5.0,dbq7518,IHUGYGSRDWILVOFBAKUR,4.0,36.0,M,United States of America,Rxdsunq,dbqcukoddoiwg,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Tampa,l,Newfield Exploration,645.0,New Brunswick,1-924-305-1666
1.0,106690.0,O,1157831.0,m,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,2.0,Xch7519,aefotdcronamhkzsfpvifmobgchmsp,2.0,21.0,W,Canada,JXHVEEOU,Xchoxlbkffuvox,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Fullerton,,Loews,495.0,Alberta,1-450-082-2122
8.0,29373.0,O,,m,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,2.0,oir7520,jdeyqkerjerjpht,2.0,4.0,M,Canada,XHJQCDPOO,oirfujtvl,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Washington,Z,Apache,371.0,PA,1-573-009-1404
1.0,168189.0,R,,M,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,3.0,Fqb7521,Lwihnxoihqqrvjydsijd,2.0,72.0,S,United States of America,rapkjpmvp,Fqbovz,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Norfolk,O,Robert Half International,462.0,Nova Scotia,1-603-897-9894
7.0,264756.0,U,3467922.0,,Dmyivtczopuqajpnjqvvgbhxynvduub,,qex7522,nmnervucuk,,1.0,S,United States of America,Slskxm,qextfjyytqwbmdrlykbfnhvqrmota,Rirmrpvlknyho,Sydney,,Viacom,375.0,RI,1-947-161-6502
10.0,44480.0,U,46859.0,,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,2.0,Hpi7523,hgjkxxbf,1.0,98.0,S,Canada,FXHXLG,Hpiedhvkedqqdxsoedt,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Winnipeg,,Robert Half International,516.0,OR,1-586-826-9847
,87207.0,R,2937668.0,,Esuycdxsjfbrqbtluspxsehk,5.0,Fjd7524,Zangtryzlhmxo,1.0,35.0,,Canada,ovlziicdezok,Fjdafgbcrml,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Wilmington,,CSX,703.0,CA,1-217-243-2668
7.0,238434.0,O,2388613.0,,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,2.0,Cgt7525,FFJGEQD,4.0,99.0,W,United States of America,jsxcpvao,Cgtcmbl,Rpzwirgfyiw,El Monte,,Country Financial Services,734.0,MO,1-857-211-5728
4.0,,U,3116283.0,M,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,2.0,Lwx7526,Pdcxrihnl,0.0,49.0,M,United States of America,Ykerbceq,Lwxudfgcqawccntqaucdaeym,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Sterling Heights,,Procter & Gamble,469.0,Prince Edward Island,1-089-966-6281
2.0,391354.0,O,2671950.0,,vnyndcximwxhecv,0.0,epy7527,Zckhcacwaelzutaodqalxyjrkh,3.0,72.0,S,United States of America,VVMSNWEBT,epyxtfsrijhddstgaxkbgmlayjtk,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Pembroke Pines,,Ingles Markets,595.0,Quebec,
1.0,419165.0,O,3899593.0,m,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,0.0,Aff7528,sqrosgqnpifxjx,3.0,41.0,U,United States of America,bibueqwbejem,Affcha,Acdrcqabtcdgmgl,Philadelphia,M,Forest Laboratories,410.0,KS,1-231-342-6874
10.0,396509.0,O,2537332.0,,,2.0,mfc7529,Erqzkkllazeobgthnmgsbtj,3.0,54.0,W,Canada,gehpynlk,mfcestd,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,Glendale,S,Dentsply International,475.0,NV,
2.0,145161.0,R,733236.0,,GVSBHGBDDVJFNNOZNNPJWCOI,2.0,Slf7530,Lcziayaozecoqqluasolkmmcldm,0.0,11.0,,United States of America,Piwlxtg,Slfbmvc,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,El Monte,S,RadioShack,,TN,1-602-637-1838
3.0,263206.0,O,,,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,5.0,Cxu7531,Gcnczmuxviqaxtsdzmzhtro,2.0,0.0,W,United States of America,Ujlshmosjkid,Cxuousxqyrfgjvpvuopyfguqva,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Warwick,,Century Aluminum,519.0,WY,1-003-982-8627
5.0,190371.0,U,3397276.0,,BIQIOQOHLQSTBRUFOI,3.0,GZO7532,Rsoobsqytvjycob,3.0,27.0,D,United States of America,cwburwnupuj,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,Milwaukee,F,,841.0,British Columbia,1-136-358-6852
6.0,203968.0,O,2444257.0,,Llfaqkbemnoy,1.0,DRW7533,Pjvadgt,3.0,95.0,U,United States of America,CNEZMHTKIAEV,DRWTVTDSG,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,Phoenix,A,FPL Group,540.0,LA,1-123-528-2965
10.0,428323.0,R,71520.0,f,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,3.0,set7534,GUBKOKITTSKVYM,1.0,35.0,U,United States of America,kixvppuqtd,setksinlvlrjwnfu,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,Anchorage,N,Lockheed Martin,540.0,HI,1-136-565-2501
6.0,159980.0,O,1911091.0,,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,1.0,Pyo7535,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,4.0,96.0,M,United States of America,jrhynxfi,Pyoixliri,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Madison,,Sanmina-SCI,,NY,1-317-986-1984
6.0,266852.0,O,988775.0,M,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,0.0,FSH7536,Kuteauo,0.0,96.0,W,Canada,dnhtjyu,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,Fontana,,Iron Mountain,424.0,TX,1-265-603-1262
2.0,206973.0,R,3919363.0,,,5.0,Tdx7537,Hkfofpndygljbeo,5.0,49.0,M,United States of America,YKOVOTYB,Tdxyljuxporjhdumcvfmv,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,Charlotte,,OfficeMax,623.0,AZ,
4.0,258221.0,O,428918.0,,atydogjpqphuwhegtbukkqiaeakrtrn,1.0,Sbn7538,Kengxgsu,5.0,,S,Canada,WNNMWJ,Sbnxcsrozzcufdoyvckpplofysx,XHQNMCEJKXOQYVSZVESLKC,Richmond,O,AMR,792.0,ME,1-156-668-6882
6.0,428508.0,O,58134.0,f,Hlotorcbtobuceb,4.0,Piq7539,Plywuoa,4.0,27.0,S,United States of America,Oktkljv,Piqizouhxiw,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Santa Clarita,C,Kohl's,718.0,NH,1-164-648-3203
6.0,,O,3703767.0,M,gsrdigbqfwrahybxrtm,0.0,IXD7540,zfcwsxpjzyqelkxg,4.0,98.0,M,,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,Toumjfbsumpgfuskpydjeibaxi,Yellow Knife,,Cigna,401.0,KY,1-839-795-1027
2.0,58953.0,R,433859.0,,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,5.0,wsn7541,Yxvczhqjwgnhowiu,4.0,,M,United States of America,GXFLSISZUY,wsnjomkxbtybfnmtcjhvmblfwamnwd,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Oxnard,,West,557.0,Prince Edward Island,1-958-412-4252
7.0,409682.0,O,3002044.0,M,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,5.0,Jkp7542,Grkknjyfgbhtyrhxzeaoeoyirwfa,5.0,56.0,W,United States of America,gzexcrngivl,Jkpmtcj,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Huntington Beach,A,Monsanto,393.0,British Columbia,1-392-335-1020
10.0,340191.0,,1124168.0,M,,4.0,CCF7543,Vfrdst,2.0,94.0,M,United States of America,yzoikhwrd,CCFFVCOHCLUUXZIQTCFCUHEYN,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,Durham,,Reliant Energy,557.0,CT,1-912-050-7605
5.0,238216.0,O,2081541.0,,RELJYREDKQEKGOORBLRKOUIC,5.0,ylj7544,Hqcswumjvwbemosmy,4.0,98.0,U,United States of America,Gdbktega,yljvuglvt,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Naperville,,Idearc,465.0,WA,1-075-551-9919
6.0,113171.0,O,1897076.0,F,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,1.0,ZBB7545,Ectbhkmbvwkwdbn,0.0,8.0,M,Canada,Kdcqzpvf,ZBBXAWVJAAL,hkyochorqgtokxgozmoncalaaiw,Albuquerque,V,Neiman Marcus,,ND,1-013-611-2674
10.0,234797.0,,235172.0,m,Yewxbqpnfgh,,fqe7546,Bdbgqpllbnrmiirpct,5.0,90.0,W,United States of America,Tbwgwtmgcu,fqekemquvstw,Datdnghoiymltcayulgkgxywi,Newark,,O'Reilly Automotive,485.0,ID,1-656-865-7544
2.0,225322.0,,639573.0,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,2.0,Wpw7547,Ftszluaxcsoxdfbmdd,4.0,34.0,M,United States of America,Mwmfs,Wpwhilrlzng,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Miami,,Cliffs Natural Resources,303.0,Quebec,1-879-870-7379
4.0,192689.0,O,2667082.0,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,2.0,vpz7548,Qrdnpjquwnixfocqhsrlkcxmelwijl,1.0,25.0,W,Canada,goelqgcts,vpzxgcwljllsq,,London,,Health Management Associates,846.0,ID,1-366-625-9813
1.0,348685.0,O,2598634.0,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,4.0,Yfz7549,Kkiolpmrgzmnjanqc,5.0,50.0,,Canada,ucwygjzs,Yfzmtcvxc,,Worcester,,Chevron,621.0,AL,1-359-462-7089
,401229.0,O,1074671.0,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,4.0,dou7550,unzegilpp,3.0,85.0,D,United States of America,fjlfqftwg,douvwdwiwrxoivzaojazinrhswjv,,Jacksonville,,Exide Technologies,331.0,UT,
9.0,38597.0,R,2272997.0,M,hfuyqlsmbesrylepu,4.0,FDJ7551,xetqkitwlh,5.0,60.0,M,United States of America,Tocujgaiaq,FDJOVRSOCWEIKZ,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Nashua,,Convergys,401.0,MS,1-153-396-8333
0.0,,R,702000.0,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,2.0,ufu7552,TWRRGULRYKYUWZYBQQFMIFFKVK,2.0,95.0,S,United States of America,kurjmmgixxfd,ufutrfkevxnbupjcetrpltw,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,Newport News,,Dominion Resources,644.0,AK,1-144-623-1308
5.0,161204.0,R,1289800.0,m,qgjnvpwvmgsqzcanzncon,1.0,bbg7553,Yqfljvgkfucafpjpamdtcppiipc,4.0,8.0,M,United States of America,cnsavindoi,bbgzmquoeecumw,NBSHKLXYVUUWXEQSGXR,Corona,H,Sentry Insurance Group,769.0,VT,1-269-220-8046
2.0,202650.0,O,1007390.0,f,HNBGLUDIOAJRCCIXGDUQOO,4.0,Znk7554,mjeasoritwctufyojamzbeeoo,3.0,31.0,M,,MQBSAUVQRPYE,Znkkdbkvxcxeuackyodqlkpl,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,Lincoln,v,Cintas,481.0,LA,1-052-524-0130
7.0,,O,124290.0,F,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,2.0,CGQ7555,Udxaujgiratgthwkvdibgvwfo,1.0,51.0,U,Canada,vadbnvz,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,Toronto,T,Medtronic,732.0,CT,1-335-871-6660
2.0,492433.0,O,1820002.0,,dnlleihfh,4.0,add7556,GHFUKZPOKMXWZF,4.0,24.0,M,United States of America,Ljurvnigr,addxtssyhezwro,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Fayetteville,,Pride International,802.0,UT,1-637-394-8083
5.0,344858.0,O,2200347.0,,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,4.0,Anw7557,ybtkiifyhbgchnuctnhnqspk,2.0,78.0,M,Canada,BQDMQVFTNBRJ,Anwyusqezrjppzkaevffwljm,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,Charlotte,J,A. Schulman,329.0,IN,1-706-795-4208
0.0,197290.0,R,3669569.0,m,Wsjaujjdexc,0.0,Hvt7558,Fhkymmgjsbmpduuffgavhfcxm,5.0,56.0,W,United States of America,jkcul,Hvtanebvipbdd,nqcozjievwzk,Tulsa,,Oneok,839.0,WI,1-622-347-5699
,283654.0,,2140537.0,,Ojberg,,Yqj7559,DEZDTMSMWKALBRPALCFIME,2.0,50.0,U,United States of America,Nelny,Yqjaammjlhgpw,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Winston-Salem,d,Danaher,539.0,WA,1-042-017-9368
4.0,317423.0,R,3258909.0,F,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,5.0,Ztn7560,phoxfeiqoldgmnojmzunmargkla,4.0,52.0,M,United States of America,Qsggz,Ztnstwpjxatqveppicohpzilnn,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Thousand Oaks,,Del Monte Foods,561.0,LA,1-829-935-5979
2.0,399126.0,O,1825422.0,F,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,5.0,bni7561,Upuabfflh,4.0,14.0,W,United States of America,Drofa,bnizllrrofn,Lfrjkyblujmbxigmylpsxieswspmei,Lubbock,,American Electric Power,814.0,VT,1-076-726-5283
7.0,398180.0,R,1845263.0,,Xwtkpxqgohxwxnv,0.0,swx7562,owagfolbfwjzeg,5.0,29.0,M,United States of America,Ssovhtmt,swxorhmdydwbrtdqxroghsddlpbdgi,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Winnipeg,,TJX,305.0,CT,
4.0,,O,1463114.0,f,Qpvmtkxxfef,4.0,DSA7563,Qdmppehqxloc,2.0,50.0,S,United States of America,Tnprhljfrlj,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Laredo,P,Philip Morris International,457.0,RI,1-284-129-5920
8.0,485429.0,O,2354683.0,,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,1.0,BXZ7564,jqbetxkci,4.0,67.0,U,United States of America,Bkxujhonjgjk,BXZUTWBUFSGPPXKR,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Overland Park,,Cincinnati Financial,349.0,SC,1-128-308-8886
0.0,118018.0,O,436677.0,,KRYAIAJGKHBKXBLC,0.0,pcz7565,Wsmywgbvwspgdwhmdxsqjwqb,2.0,22.0,M,United States of America,mrjrjhgnwcdu,pczqycbwefse,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,Calgary,,Stryker,590.0,British Columbia,1-145-469-5971
0.0,309693.0,O,2383335.0,m,,4.0,Zqa7566,ocgwi,5.0,20.0,U,United States of America,Yusezkfgs,Zqaknviqngvemehvpzrcgkcvre,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Peoria,,Kansas City Southern,533.0,CO,1-727-684-7767
9.0,90718.0,O,2574739.0,,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,0.0,Htl7567,Pcotdnngmurhkcd,4.0,75.0,W,Canada,RKXTQAO,Htltlfnvjctvvdvulpkhcbyfi,IBQIDE,Durham,z,IDT,686.0,TN,1-776-201-2472
10.0,280645.0,O,1596838.0,F,VBDCWYVK,0.0,afw7568,bvcosqzcleknjzvkygbawlc,2.0,60.0,U,United States of America,UBQSATXZO,afwafvxxdr,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,Pueblo,L,Vornado Realty Trust,582.0,CA,1-767-942-1278
0.0,231559.0,O,591965.0,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,4.0,Wna7569,ECLENELTSXGTNWOP,,,S,United States of America,BHRNWQLFVFA,Wnakgzhqfhtavtvegjtdmdosnjr,Lrebujnrg,Las Cruces,,Dollar General,807.0,WY,1-723-062-7266
3.0,36898.0,O,3071440.0,,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,5.0,Mlh7570,Xdwexmrjat,3.0,48.0,S,United States of America,Ktmzav,Mlheqxaigtvjaynkffyqkpu,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Chula Vista,,Safeway,819.0,SD,
5.0,396786.0,R,2683081.0,,Gwxymofcy,0.0,Gor7571,xjwnvwdryqpcehelwzfhkkiuus,2.0,91.0,M,United States of America,Nfpchgfj,Gorjnqxjtefmomsbmtnogaerx,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,San Diego,,Apache,311.0,British Columbia,1-145-314-0862
3.0,344365.0,O,3850483.0,f,Qynjnmfgwxpmrw,5.0,ENX7572,RNBABCYAFMQPBOHXNUXMXNU,2.0,98.0,U,United States of America,Wuywecohosfi,ENXOMNHFVPYQSABETPUEKRKCL,Hxutrprq,Chicago,,Lowe's,734.0,NJ,1-735-104-7772
1.0,1205.0,O,1870617.0,,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,1.0,fgr7573,Eyrtrqkljywvbcice,4.0,51.0,W,United States of America,tibxlojrqiha,fgrdzzudzmwlluff,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Worcester,,Lithia Motors,432.0,AK,
3.0,276666.0,O,1249534.0,m,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,0.0,Ysh7574,Opybrukftspofebjmspkjsgtobzsp,5.0,22.0,S,United States of America,ogmes,Yshzkx,JRHXPUUHAFHDPF,Honolulu,a,CH2M Hill,394.0,OH,1-518-116-1411
