NeWo,FiN,Ci,Ag,AgeID,AdLi2,CrRat,MidInit,Ph,NuCreCa,Coun,PosC,NumC,Inc,NuCh,Ge,Em,Sta,LaN,MariSta,OOReFl,AdL1
46859.0,hgjkxxbf,Winnipeg,98.0,Hpi7523,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,516.0,,1-586-826-9847,10.0,Canada,FXHXLG,1.0,44480.0,2.0,,Robert Half International,OR,Hpiedhvkedqqdxsoedt,S,U,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc
2937668.0,Zangtryzlhmxo,Wilmington,35.0,Fjd7524,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,703.0,,1-217-243-2668,,Canada,ovlziicdezok,1.0,87207.0,5.0,,CSX,CA,Fjdafgbcrml,,R,Esuycdxsjfbrqbtluspxsehk
2388613.0,FFJGEQD,El Monte,99.0,Cgt7525,Rpzwirgfyiw,734.0,,1-857-211-5728,7.0,United States of America,jsxcpvao,4.0,238434.0,2.0,,Country Financial Services,MO,Cgtcmbl,W,O,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT
3116283.0,Pdcxrihnl,Sterling Heights,49.0,Lwx7526,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,469.0,,1-089-966-6281,4.0,United States of America,Ykerbceq,0.0,,2.0,M,Procter & Gamble,Prince Edward Island,Lwxudfgcqawccntqaucdaeym,M,U,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva
2671950.0,Zckhcacwaelzutaodqalxyjrkh,Pembroke Pines,72.0,epy7527,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,595.0,,,2.0,United States of America,VVMSNWEBT,3.0,391354.0,0.0,,Ingles Markets,Quebec,epyxtfsrijhddstgaxkbgmlayjtk,S,O,vnyndcximwxhecv
3899593.0,sqrosgqnpifxjx,Philadelphia,41.0,Aff7528,Acdrcqabtcdgmgl,410.0,M,1-231-342-6874,1.0,United States of America,bibueqwbejem,3.0,419165.0,0.0,m,Forest Laboratories,KS,Affcha,U,O,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof
2537332.0,Erqzkkllazeobgthnmgsbtj,Glendale,54.0,mfc7529,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,475.0,S,,10.0,Canada,gehpynlk,3.0,396509.0,2.0,,Dentsply International,NV,mfcestd,W,O,
733236.0,Lcziayaozecoqqluasolkmmcldm,El Monte,11.0,Slf7530,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,,S,1-602-637-1838,2.0,United States of America,Piwlxtg,0.0,145161.0,2.0,,RadioShack,TN,Slfbmvc,,R,GVSBHGBDDVJFNNOZNNPJWCOI
,Gcnczmuxviqaxtsdzmzhtro,Warwick,0.0,Cxu7531,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,519.0,,1-003-982-8627,3.0,United States of America,Ujlshmosjkid,2.0,263206.0,5.0,,Century Aluminum,WY,Cxuousxqyrfgjvpvuopyfguqva,W,O,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna
3397276.0,Rsoobsqytvjycob,Milwaukee,27.0,GZO7532,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,841.0,F,1-136-358-6852,5.0,United States of America,cwburwnupuj,3.0,190371.0,3.0,,,British Columbia,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,D,U,BIQIOQOHLQSTBRUFOI
2444257.0,Pjvadgt,Phoenix,95.0,DRW7533,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,540.0,A,1-123-528-2965,6.0,United States of America,CNEZMHTKIAEV,3.0,203968.0,1.0,,FPL Group,LA,DRWTVTDSG,U,O,Llfaqkbemnoy
71520.0,GUBKOKITTSKVYM,Anchorage,35.0,set7534,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,540.0,N,1-136-565-2501,10.0,United States of America,kixvppuqtd,1.0,428323.0,3.0,f,Lockheed Martin,HI,setksinlvlrjwnfu,U,R,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx
1911091.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,Madison,96.0,Pyo7535,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,,1-317-986-1984,6.0,United States of America,jrhynxfi,4.0,159980.0,1.0,,Sanmina-SCI,NY,Pyoixliri,M,O,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa
988775.0,Kuteauo,Fontana,96.0,FSH7536,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,424.0,,1-265-603-1262,6.0,Canada,dnhtjyu,0.0,266852.0,0.0,M,Iron Mountain,TX,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,W,O,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk
3919363.0,Hkfofpndygljbeo,Charlotte,49.0,Tdx7537,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,623.0,,,2.0,United States of America,YKOVOTYB,5.0,206973.0,5.0,,OfficeMax,AZ,Tdxyljuxporjhdumcvfmv,M,R,
428918.0,Kengxgsu,Richmond,,Sbn7538,XHQNMCEJKXOQYVSZVESLKC,792.0,O,1-156-668-6882,4.0,Canada,WNNMWJ,5.0,258221.0,1.0,,AMR,ME,Sbnxcsrozzcufdoyvckpplofysx,S,O,atydogjpqphuwhegtbukkqiaeakrtrn
58134.0,Plywuoa,Santa Clarita,27.0,Piq7539,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,718.0,C,1-164-648-3203,6.0,United States of America,Oktkljv,4.0,428508.0,4.0,f,Kohl's,NH,Piqizouhxiw,S,O,Hlotorcbtobuceb
3703767.0,zfcwsxpjzyqelkxg,Yellow Knife,98.0,IXD7540,Toumjfbsumpgfuskpydjeibaxi,401.0,,1-839-795-1027,6.0,,,4.0,,0.0,M,Cigna,KY,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,M,O,gsrdigbqfwrahybxrtm
433859.0,Yxvczhqjwgnhowiu,Oxnard,,wsn7541,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,557.0,,1-958-412-4252,2.0,United States of America,GXFLSISZUY,4.0,58953.0,5.0,,West,Prince Edward Island,wsnjomkxbtybfnmtcjhvmblfwamnwd,M,R,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe
3002044.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,Huntington Beach,56.0,Jkp7542,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,393.0,A,1-392-335-1020,7.0,United States of America,gzexcrngivl,5.0,409682.0,5.0,M,Monsanto,British Columbia,Jkpmtcj,W,O,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs
1124168.0,Vfrdst,Durham,94.0,CCF7543,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,557.0,,1-912-050-7605,10.0,United States of America,yzoikhwrd,2.0,340191.0,4.0,M,Reliant Energy,CT,CCFFVCOHCLUUXZIQTCFCUHEYN,M,,
2081541.0,Hqcswumjvwbemosmy,Naperville,98.0,ylj7544,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,465.0,,1-075-551-9919,5.0,United States of America,Gdbktega,4.0,238216.0,5.0,,Idearc,WA,yljvuglvt,U,O,RELJYREDKQEKGOORBLRKOUIC
1897076.0,Ectbhkmbvwkwdbn,Albuquerque,8.0,ZBB7545,hkyochorqgtokxgozmoncalaaiw,,V,1-013-611-2674,6.0,Canada,Kdcqzpvf,0.0,113171.0,1.0,F,Neiman Marcus,ND,ZBBXAWVJAAL,M,O,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr
235172.0,Bdbgqpllbnrmiirpct,Newark,90.0,fqe7546,Datdnghoiymltcayulgkgxywi,485.0,,1-656-865-7544,10.0,United States of America,Tbwgwtmgcu,5.0,234797.0,,m,O'Reilly Automotive,ID,fqekemquvstw,W,,Yewxbqpnfgh
639573.0,Ftszluaxcsoxdfbmdd,Miami,34.0,Wpw7547,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,303.0,,1-879-870-7379,2.0,United States of America,Mwmfs,4.0,225322.0,2.0,,Cliffs Natural Resources,Quebec,Wpwhilrlzng,M,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax
2667082.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,London,25.0,vpz7548,,846.0,,1-366-625-9813,4.0,Canada,goelqgcts,1.0,192689.0,2.0,,Health Management Associates,ID,vpzxgcwljllsq,W,O,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY
2598634.0,Kkiolpmrgzmnjanqc,Worcester,50.0,Yfz7549,,621.0,,1-359-462-7089,1.0,Canada,ucwygjzs,5.0,348685.0,4.0,,Chevron,AL,Yfzmtcvxc,,O,VDBAVRMWFYBDZUILPKFXIVIYGFUU
1074671.0,unzegilpp,Jacksonville,85.0,dou7550,,331.0,,,,United States of America,fjlfqftwg,3.0,401229.0,4.0,,Exide Technologies,UT,douvwdwiwrxoivzaojazinrhswjv,D,O,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf
2272997.0,xetqkitwlh,Nashua,60.0,FDJ7551,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,401.0,,1-153-396-8333,9.0,United States of America,Tocujgaiaq,5.0,38597.0,4.0,M,Convergys,MS,FDJOVRSOCWEIKZ,M,R,hfuyqlsmbesrylepu
702000.0,TWRRGULRYKYUWZYBQQFMIFFKVK,Newport News,95.0,ufu7552,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,644.0,,1-144-623-1308,0.0,United States of America,kurjmmgixxfd,2.0,,2.0,,Dominion Resources,AK,ufutrfkevxnbupjcetrpltw,S,R,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp
1289800.0,Yqfljvgkfucafpjpamdtcppiipc,Corona,8.0,bbg7553,NBSHKLXYVUUWXEQSGXR,769.0,H,1-269-220-8046,5.0,United States of America,cnsavindoi,4.0,161204.0,1.0,m,Sentry Insurance Group,VT,bbgzmquoeecumw,M,R,qgjnvpwvmgsqzcanzncon
1007390.0,mjeasoritwctufyojamzbeeoo,Lincoln,31.0,Znk7554,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,481.0,v,1-052-524-0130,2.0,,MQBSAUVQRPYE,3.0,202650.0,4.0,f,Cintas,LA,Znkkdbkvxcxeuackyodqlkpl,M,O,HNBGLUDIOAJRCCIXGDUQOO
124290.0,Udxaujgiratgthwkvdibgvwfo,Toronto,51.0,CGQ7555,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,732.0,T,1-335-871-6660,7.0,Canada,vadbnvz,1.0,,2.0,F,Medtronic,CT,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,U,O,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV
1820002.0,GHFUKZPOKMXWZF,Fayetteville,24.0,add7556,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,802.0,,1-637-394-8083,2.0,United States of America,Ljurvnigr,4.0,492433.0,4.0,,Pride International,UT,addxtssyhezwro,M,O,dnlleihfh
2200347.0,ybtkiifyhbgchnuctnhnqspk,Charlotte,78.0,Anw7557,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,329.0,J,1-706-795-4208,5.0,Canada,BQDMQVFTNBRJ,2.0,344858.0,4.0,,A. Schulman,IN,Anwyusqezrjppzkaevffwljm,M,O,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm
3669569.0,Fhkymmgjsbmpduuffgavhfcxm,Tulsa,56.0,Hvt7558,nqcozjievwzk,839.0,,1-622-347-5699,0.0,United States of America,jkcul,5.0,197290.0,0.0,m,Oneok,WI,Hvtanebvipbdd,W,R,Wsjaujjdexc
2140537.0,DEZDTMSMWKALBRPALCFIME,Winston-Salem,50.0,Yqj7559,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,539.0,d,1-042-017-9368,,United States of America,Nelny,2.0,283654.0,,,Danaher,WA,Yqjaammjlhgpw,U,,Ojberg
3258909.0,phoxfeiqoldgmnojmzunmargkla,Thousand Oaks,52.0,Ztn7560,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,561.0,,1-829-935-5979,4.0,United States of America,Qsggz,4.0,317423.0,5.0,F,Del Monte Foods,LA,Ztnstwpjxatqveppicohpzilnn,M,R,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw
1825422.0,Upuabfflh,Lubbock,14.0,bni7561,Lfrjkyblujmbxigmylpsxieswspmei,814.0,,1-076-726-5283,2.0,United States of America,Drofa,4.0,399126.0,5.0,F,American Electric Power,VT,bnizllrrofn,W,O,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno
1845263.0,owagfolbfwjzeg,Winnipeg,29.0,swx7562,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,305.0,,,7.0,United States of America,Ssovhtmt,5.0,398180.0,0.0,,TJX,CT,swxorhmdydwbrtdqxroghsddlpbdgi,M,R,Xwtkpxqgohxwxnv
1463114.0,Qdmppehqxloc,Laredo,50.0,DSA7563,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,457.0,P,1-284-129-5920,4.0,United States of America,Tnprhljfrlj,2.0,,4.0,f,Philip Morris International,RI,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,S,O,Qpvmtkxxfef
2354683.0,jqbetxkci,Overland Park,67.0,BXZ7564,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,349.0,,1-128-308-8886,8.0,United States of America,Bkxujhonjgjk,4.0,485429.0,1.0,,Cincinnati Financial,SC,BXZUTWBUFSGPPXKR,U,O,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE
436677.0,Wsmywgbvwspgdwhmdxsqjwqb,Calgary,22.0,pcz7565,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,590.0,,1-145-469-5971,0.0,United States of America,mrjrjhgnwcdu,2.0,118018.0,0.0,,Stryker,British Columbia,pczqycbwefse,M,O,KRYAIAJGKHBKXBLC
2383335.0,ocgwi,Peoria,20.0,Zqa7566,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,533.0,,1-727-684-7767,0.0,United States of America,Yusezkfgs,5.0,309693.0,4.0,m,Kansas City Southern,CO,Zqaknviqngvemehvpzrcgkcvre,U,O,
2574739.0,Pcotdnngmurhkcd,Durham,75.0,Htl7567,IBQIDE,686.0,z,1-776-201-2472,9.0,Canada,RKXTQAO,4.0,90718.0,0.0,,IDT,TN,Htltlfnvjctvvdvulpkhcbyfi,W,O,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj
1596838.0,bvcosqzcleknjzvkygbawlc,Pueblo,60.0,afw7568,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,582.0,L,1-767-942-1278,10.0,United States of America,UBQSATXZO,2.0,280645.0,0.0,F,Vornado Realty Trust,CA,afwafvxxdr,U,O,VBDCWYVK
591965.0,ECLENELTSXGTNWOP,Las Cruces,,Wna7569,Lrebujnrg,807.0,,1-723-062-7266,0.0,United States of America,BHRNWQLFVFA,,231559.0,4.0,,Dollar General,WY,Wnakgzhqfhtavtvegjtdmdosnjr,S,O,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ
3071440.0,Xdwexmrjat,Chula Vista,48.0,Mlh7570,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,819.0,,,3.0,United States of America,Ktmzav,3.0,36898.0,5.0,,Safeway,SD,Mlheqxaigtvjaynkffyqkpu,S,O,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx
2683081.0,xjwnvwdryqpcehelwzfhkkiuus,San Diego,91.0,Gor7571,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,311.0,,1-145-314-0862,5.0,United States of America,Nfpchgfj,2.0,396786.0,0.0,,Apache,British Columbia,Gorjnqxjtefmomsbmtnogaerx,M,R,Gwxymofcy
3850483.0,RNBABCYAFMQPBOHXNUXMXNU,Chicago,98.0,ENX7572,Hxutrprq,734.0,,1-735-104-7772,3.0,United States of America,Wuywecohosfi,2.0,344365.0,5.0,f,Lowe's,NJ,ENXOMNHFVPYQSABETPUEKRKCL,U,O,Qynjnmfgwxpmrw
1870617.0,Eyrtrqkljywvbcice,Worcester,51.0,fgr7573,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,432.0,,,1.0,United States of America,tibxlojrqiha,4.0,1205.0,1.0,,Lithia Motors,AK,fgrdzzudzmwlluff,W,O,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt
1249534.0,Opybrukftspofebjmspkjsgtobzsp,Honolulu,22.0,Ysh7574,JRHXPUUHAFHDPF,394.0,a,1-518-116-1411,3.0,United States of America,ogmes,5.0,276666.0,0.0,m,CH2M Hill,OH,Yshzkx,S,O,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK
3789880.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,Albuquerque,57.0,Mos7575,yvntcqjqqmbftwetvbqgclcdbxspvk,658.0,I,1-696-359-4829,1.0,United States of America,JUBKXDKP,0.0,497953.0,0.0,,Tellabs,New Brunswick,Mosqjrkdycyygfsljqadgfqoldb,U,O,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK
3874445.0,kpofwgtomgijnm,Oakland,38.0,czu7576,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,348.0,,1-352-678-5471,3.0,Canada,Xbgykqm,1.0,156048.0,2.0,,Phillips-Van Heusen,IL,czuvw,M,O,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun
