prospect_OwORF,prospect_NuCh,prospect_MarSta,prospect_AgID,prospect_Empl,prospect_Ge,prospect_NumCreCa,prospect_CrRat,prospect_FiN,prospect_Cou,prospect_AdL2,prospect_A,prospect_NuC,prospect_Ph,prospect_Ci,prospect_MidIni,prospect_PosC,prospect_AddrL1,prospect_LNa,prospect_St,prospect_NWor,prospect_Inc
O,5.0,M,lql7512,eBay,,9.0,318.0,Mdwdjpdfmbqjaygkfqzqx,Canada,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,40.0,4.0,1-268-630-3843,Concord,,DODDIDDHXS,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,lqlslgqsvyfxqnzuwbfg,NE,3348923.0,307402.0
R,1.0,D,Wsk7513,Boise,m,4.0,613.0,Ccbccgvldfvoqtzestvkwunn,United States of America,ucxdpiwilpxxhv,8.0,4.0,1-915-548-9541,Colorado Springs,,Oqnzttrldq,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Wskjvrujdwku,AR,331799.0,
R,1.0,U,Ffs7514,MDU Resources Group,,4.0,786.0,nyakrhdyxravdnhgbtol,,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,10.0,4.0,1-536-880-0961,Mobile,v,Lwbawk,,Ffshsiomkzjonhxjhunfsao,IL,1167013.0,432425.0
O,3.0,U,Kvv7515,Freescale Semiconductor,,10.0,,NDNBTVCLKSC,United States of America,,24.0,0.0,1-494-335-6022,Thousand Oaks,F,Ppsrzjdtg,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Kvvverfkpazpzzkrqniixrhnw,VA,3960216.0,122041.0
O,4.0,M,mpz7516,Superior Energy Services,f,5.0,623.0,Zmstbluqkipzaojfsomtbdddguq,United States of America,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,18.0,1.0,1-814-158-3550,Rochester,G,,,mpzqnwnrmaozfsstcqtrc,ID,242246.0,302205.0
O,1.0,S,Jhc7517,Monsanto,F,1.0,845.0,dpqgvuaoijmkxsesvililpxcrwqe,United States of America,Havgczldcpfmwfzj,79.0,1.0,1-420-580-0795,Garden Grove,s,,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Jhcbaxyzijphmmvpampdgvgisnab,TX,1217660.0,367555.0
U,5.0,M,dbq7518,Newfield Exploration,M,7.0,645.0,IHUGYGSRDWILVOFBAKUR,United States of America,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,36.0,4.0,1-924-305-1666,Tampa,l,Rxdsunq,rpikmvtgwsrsoehxgmxwypaueiaheabrf,dbqcukoddoiwg,New Brunswick,1229655.0,106025.0
O,2.0,W,Xch7519,Loews,m,1.0,495.0,aefotdcronamhkzsfpvifmobgchmsp,Canada,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,21.0,2.0,1-450-082-2122,Fullerton,,JXHVEEOU,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Xchoxlbkffuvox,Alberta,1157831.0,106690.0
O,2.0,M,oir7520,Apache,m,8.0,371.0,jdeyqkerjerjpht,Canada,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,4.0,2.0,1-573-009-1404,Washington,Z,XHJQCDPOO,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,oirfujtvl,PA,,29373.0
R,3.0,S,Fqb7521,Robert Half International,M,1.0,462.0,Lwihnxoihqqrvjydsijd,United States of America,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,72.0,2.0,1-603-897-9894,Norfolk,O,rapkjpmvp,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Fqbovz,Nova Scotia,,168189.0
U,,S,qex7522,Viacom,,7.0,375.0,nmnervucuk,United States of America,Rirmrpvlknyho,1.0,,1-947-161-6502,Sydney,,Slskxm,Dmyivtczopuqajpnjqvvgbhxynvduub,qextfjyytqwbmdrlykbfnhvqrmota,RI,3467922.0,264756.0
U,2.0,S,Hpi7523,Robert Half International,,10.0,516.0,hgjkxxbf,Canada,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,98.0,1.0,1-586-826-9847,Winnipeg,,FXHXLG,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Hpiedhvkedqqdxsoedt,OR,46859.0,44480.0
R,5.0,,Fjd7524,CSX,,,703.0,Zangtryzlhmxo,Canada,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,35.0,1.0,1-217-243-2668,Wilmington,,ovlziicdezok,Esuycdxsjfbrqbtluspxsehk,Fjdafgbcrml,CA,2937668.0,87207.0
O,2.0,W,Cgt7525,Country Financial Services,,7.0,734.0,FFJGEQD,United States of America,Rpzwirgfyiw,99.0,4.0,1-857-211-5728,El Monte,,jsxcpvao,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,Cgtcmbl,MO,2388613.0,238434.0
U,2.0,M,Lwx7526,Procter & Gamble,M,4.0,469.0,Pdcxrihnl,United States of America,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,49.0,0.0,1-089-966-6281,Sterling Heights,,Ykerbceq,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,Lwxudfgcqawccntqaucdaeym,Prince Edward Island,3116283.0,
O,0.0,S,epy7527,Ingles Markets,,2.0,595.0,Zckhcacwaelzutaodqalxyjrkh,United States of America,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,72.0,3.0,,Pembroke Pines,,VVMSNWEBT,vnyndcximwxhecv,epyxtfsrijhddstgaxkbgmlayjtk,Quebec,2671950.0,391354.0
O,0.0,U,Aff7528,Forest Laboratories,m,1.0,410.0,sqrosgqnpifxjx,United States of America,Acdrcqabtcdgmgl,41.0,3.0,1-231-342-6874,Philadelphia,M,bibueqwbejem,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,Affcha,KS,3899593.0,419165.0
O,2.0,W,mfc7529,Dentsply International,,10.0,475.0,Erqzkkllazeobgthnmgsbtj,Canada,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,54.0,3.0,,Glendale,S,gehpynlk,,mfcestd,NV,2537332.0,396509.0
R,2.0,,Slf7530,RadioShack,,2.0,,Lcziayaozecoqqluasolkmmcldm,United States of America,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,11.0,0.0,1-602-637-1838,El Monte,S,Piwlxtg,GVSBHGBDDVJFNNOZNNPJWCOI,Slfbmvc,TN,733236.0,145161.0
O,5.0,W,Cxu7531,Century Aluminum,,3.0,519.0,Gcnczmuxviqaxtsdzmzhtro,United States of America,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,0.0,2.0,1-003-982-8627,Warwick,,Ujlshmosjkid,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,Cxuousxqyrfgjvpvuopyfguqva,WY,,263206.0
U,3.0,D,GZO7532,,,5.0,841.0,Rsoobsqytvjycob,United States of America,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,27.0,3.0,1-136-358-6852,Milwaukee,F,cwburwnupuj,BIQIOQOHLQSTBRUFOI,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,British Columbia,3397276.0,190371.0
O,1.0,U,DRW7533,FPL Group,,6.0,540.0,Pjvadgt,United States of America,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,95.0,3.0,1-123-528-2965,Phoenix,A,CNEZMHTKIAEV,Llfaqkbemnoy,DRWTVTDSG,LA,2444257.0,203968.0
R,3.0,U,set7534,Lockheed Martin,f,10.0,540.0,GUBKOKITTSKVYM,United States of America,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,35.0,1.0,1-136-565-2501,Anchorage,N,kixvppuqtd,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,setksinlvlrjwnfu,HI,71520.0,428323.0
O,1.0,M,Pyo7535,Sanmina-SCI,,6.0,,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,United States of America,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,96.0,4.0,1-317-986-1984,Madison,,jrhynxfi,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,Pyoixliri,NY,1911091.0,159980.0
O,0.0,W,FSH7536,Iron Mountain,M,6.0,424.0,Kuteauo,Canada,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,96.0,0.0,1-265-603-1262,Fontana,,dnhtjyu,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,TX,988775.0,266852.0
R,5.0,M,Tdx7537,OfficeMax,,2.0,623.0,Hkfofpndygljbeo,United States of America,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,49.0,5.0,,Charlotte,,YKOVOTYB,,Tdxyljuxporjhdumcvfmv,AZ,3919363.0,206973.0
O,1.0,S,Sbn7538,AMR,,4.0,792.0,Kengxgsu,Canada,XHQNMCEJKXOQYVSZVESLKC,,5.0,1-156-668-6882,Richmond,O,WNNMWJ,atydogjpqphuwhegtbukkqiaeakrtrn,Sbnxcsrozzcufdoyvckpplofysx,ME,428918.0,258221.0
O,4.0,S,Piq7539,Kohl's,f,6.0,718.0,Plywuoa,United States of America,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,27.0,4.0,1-164-648-3203,Santa Clarita,C,Oktkljv,Hlotorcbtobuceb,Piqizouhxiw,NH,58134.0,428508.0
O,0.0,M,IXD7540,Cigna,M,6.0,401.0,zfcwsxpjzyqelkxg,,Toumjfbsumpgfuskpydjeibaxi,98.0,4.0,1-839-795-1027,Yellow Knife,,,gsrdigbqfwrahybxrtm,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,KY,3703767.0,
R,5.0,M,wsn7541,West,,2.0,557.0,Yxvczhqjwgnhowiu,United States of America,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,4.0,1-958-412-4252,Oxnard,,GXFLSISZUY,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,wsnjomkxbtybfnmtcjhvmblfwamnwd,Prince Edward Island,433859.0,58953.0
O,5.0,W,Jkp7542,Monsanto,M,7.0,393.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,United States of America,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,56.0,5.0,1-392-335-1020,Huntington Beach,A,gzexcrngivl,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Jkpmtcj,British Columbia,3002044.0,409682.0
,4.0,M,CCF7543,Reliant Energy,M,10.0,557.0,Vfrdst,United States of America,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,94.0,2.0,1-912-050-7605,Durham,,yzoikhwrd,,CCFFVCOHCLUUXZIQTCFCUHEYN,CT,1124168.0,340191.0
O,5.0,U,ylj7544,Idearc,,5.0,465.0,Hqcswumjvwbemosmy,United States of America,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,98.0,4.0,1-075-551-9919,Naperville,,Gdbktega,RELJYREDKQEKGOORBLRKOUIC,yljvuglvt,WA,2081541.0,238216.0
O,1.0,M,ZBB7545,Neiman Marcus,F,6.0,,Ectbhkmbvwkwdbn,Canada,hkyochorqgtokxgozmoncalaaiw,8.0,0.0,1-013-611-2674,Albuquerque,V,Kdcqzpvf,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,ZBBXAWVJAAL,ND,1897076.0,113171.0
,,W,fqe7546,O'Reilly Automotive,m,10.0,485.0,Bdbgqpllbnrmiirpct,United States of America,Datdnghoiymltcayulgkgxywi,90.0,5.0,1-656-865-7544,Newark,,Tbwgwtmgcu,Yewxbqpnfgh,fqekemquvstw,ID,235172.0,234797.0
,2.0,M,Wpw7547,Cliffs Natural Resources,,2.0,303.0,Ftszluaxcsoxdfbmdd,United States of America,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,34.0,4.0,1-879-870-7379,Miami,,Mwmfs,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Wpwhilrlzng,Quebec,639573.0,225322.0
O,2.0,W,vpz7548,Health Management Associates,,4.0,846.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,Canada,,25.0,1.0,1-366-625-9813,London,,goelqgcts,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,vpzxgcwljllsq,ID,2667082.0,192689.0
O,4.0,,Yfz7549,Chevron,,1.0,621.0,Kkiolpmrgzmnjanqc,Canada,,50.0,5.0,1-359-462-7089,Worcester,,ucwygjzs,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Yfzmtcvxc,AL,2598634.0,348685.0
O,4.0,D,dou7550,Exide Technologies,,,331.0,unzegilpp,United States of America,,85.0,3.0,,Jacksonville,,fjlfqftwg,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,douvwdwiwrxoivzaojazinrhswjv,UT,1074671.0,401229.0
R,4.0,M,FDJ7551,Convergys,M,9.0,401.0,xetqkitwlh,United States of America,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,60.0,5.0,1-153-396-8333,Nashua,,Tocujgaiaq,hfuyqlsmbesrylepu,FDJOVRSOCWEIKZ,MS,2272997.0,38597.0
R,2.0,S,ufu7552,Dominion Resources,,0.0,644.0,TWRRGULRYKYUWZYBQQFMIFFKVK,United States of America,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,95.0,2.0,1-144-623-1308,Newport News,,kurjmmgixxfd,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,ufutrfkevxnbupjcetrpltw,AK,702000.0,
R,1.0,M,bbg7553,Sentry Insurance Group,m,5.0,769.0,Yqfljvgkfucafpjpamdtcppiipc,United States of America,NBSHKLXYVUUWXEQSGXR,8.0,4.0,1-269-220-8046,Corona,H,cnsavindoi,qgjnvpwvmgsqzcanzncon,bbgzmquoeecumw,VT,1289800.0,161204.0
O,4.0,M,Znk7554,Cintas,f,2.0,481.0,mjeasoritwctufyojamzbeeoo,,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,31.0,3.0,1-052-524-0130,Lincoln,v,MQBSAUVQRPYE,HNBGLUDIOAJRCCIXGDUQOO,Znkkdbkvxcxeuackyodqlkpl,LA,1007390.0,202650.0
O,2.0,U,CGQ7555,Medtronic,F,7.0,732.0,Udxaujgiratgthwkvdibgvwfo,Canada,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,51.0,1.0,1-335-871-6660,Toronto,T,vadbnvz,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,CT,124290.0,
O,4.0,M,add7556,Pride International,,2.0,802.0,GHFUKZPOKMXWZF,United States of America,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,24.0,4.0,1-637-394-8083,Fayetteville,,Ljurvnigr,dnlleihfh,addxtssyhezwro,UT,1820002.0,492433.0
O,4.0,M,Anw7557,A. Schulman,,5.0,329.0,ybtkiifyhbgchnuctnhnqspk,Canada,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,78.0,2.0,1-706-795-4208,Charlotte,J,BQDMQVFTNBRJ,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,Anwyusqezrjppzkaevffwljm,IN,2200347.0,344858.0
R,0.0,W,Hvt7558,Oneok,m,0.0,839.0,Fhkymmgjsbmpduuffgavhfcxm,United States of America,nqcozjievwzk,56.0,5.0,1-622-347-5699,Tulsa,,jkcul,Wsjaujjdexc,Hvtanebvipbdd,WI,3669569.0,197290.0
,,U,Yqj7559,Danaher,,,539.0,DEZDTMSMWKALBRPALCFIME,United States of America,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,50.0,2.0,1-042-017-9368,Winston-Salem,d,Nelny,Ojberg,Yqjaammjlhgpw,WA,2140537.0,283654.0
R,5.0,M,Ztn7560,Del Monte Foods,F,4.0,561.0,phoxfeiqoldgmnojmzunmargkla,United States of America,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,52.0,4.0,1-829-935-5979,Thousand Oaks,,Qsggz,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Ztnstwpjxatqveppicohpzilnn,LA,3258909.0,317423.0
O,5.0,W,bni7561,American Electric Power,F,2.0,814.0,Upuabfflh,United States of America,Lfrjkyblujmbxigmylpsxieswspmei,14.0,4.0,1-076-726-5283,Lubbock,,Drofa,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,bnizllrrofn,VT,1825422.0,399126.0
R,0.0,M,swx7562,TJX,,7.0,305.0,owagfolbfwjzeg,United States of America,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,29.0,5.0,,Winnipeg,,Ssovhtmt,Xwtkpxqgohxwxnv,swxorhmdydwbrtdqxroghsddlpbdgi,CT,1845263.0,398180.0
O,4.0,S,DSA7563,Philip Morris International,f,4.0,457.0,Qdmppehqxloc,United States of America,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,50.0,2.0,1-284-129-5920,Laredo,P,Tnprhljfrlj,Qpvmtkxxfef,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,RI,1463114.0,
O,1.0,U,BXZ7564,Cincinnati Financial,,8.0,349.0,jqbetxkci,United States of America,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,67.0,4.0,1-128-308-8886,Overland Park,,Bkxujhonjgjk,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,BXZUTWBUFSGPPXKR,SC,2354683.0,485429.0
O,0.0,M,pcz7565,Stryker,,0.0,590.0,Wsmywgbvwspgdwhmdxsqjwqb,United States of America,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,22.0,2.0,1-145-469-5971,Calgary,,mrjrjhgnwcdu,KRYAIAJGKHBKXBLC,pczqycbwefse,British Columbia,436677.0,118018.0
O,4.0,U,Zqa7566,Kansas City Southern,m,0.0,533.0,ocgwi,United States of America,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,20.0,5.0,1-727-684-7767,Peoria,,Yusezkfgs,,Zqaknviqngvemehvpzrcgkcvre,CO,2383335.0,309693.0
O,0.0,W,Htl7567,IDT,,9.0,686.0,Pcotdnngmurhkcd,Canada,IBQIDE,75.0,4.0,1-776-201-2472,Durham,z,RKXTQAO,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Htltlfnvjctvvdvulpkhcbyfi,TN,2574739.0,90718.0
O,0.0,U,afw7568,Vornado Realty Trust,F,10.0,582.0,bvcosqzcleknjzvkygbawlc,United States of America,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,60.0,2.0,1-767-942-1278,Pueblo,L,UBQSATXZO,VBDCWYVK,afwafvxxdr,CA,1596838.0,280645.0
O,4.0,S,Wna7569,Dollar General,,0.0,807.0,ECLENELTSXGTNWOP,United States of America,Lrebujnrg,,,1-723-062-7266,Las Cruces,,BHRNWQLFVFA,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,Wnakgzhqfhtavtvegjtdmdosnjr,WY,591965.0,231559.0
O,5.0,S,Mlh7570,Safeway,,3.0,819.0,Xdwexmrjat,United States of America,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,48.0,3.0,,Chula Vista,,Ktmzav,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Mlheqxaigtvjaynkffyqkpu,SD,3071440.0,36898.0
R,0.0,M,Gor7571,Apache,,5.0,311.0,xjwnvwdryqpcehelwzfhkkiuus,United States of America,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,91.0,2.0,1-145-314-0862,San Diego,,Nfpchgfj,Gwxymofcy,Gorjnqxjtefmomsbmtnogaerx,British Columbia,2683081.0,396786.0
O,5.0,U,ENX7572,Lowe's,f,3.0,734.0,RNBABCYAFMQPBOHXNUXMXNU,United States of America,Hxutrprq,98.0,2.0,1-735-104-7772,Chicago,,Wuywecohosfi,Qynjnmfgwxpmrw,ENXOMNHFVPYQSABETPUEKRKCL,NJ,3850483.0,344365.0
O,1.0,W,fgr7573,Lithia Motors,,1.0,432.0,Eyrtrqkljywvbcice,United States of America,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,51.0,4.0,,Worcester,,tibxlojrqiha,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,fgrdzzudzmwlluff,AK,1870617.0,1205.0
O,0.0,S,Ysh7574,CH2M Hill,m,3.0,394.0,Opybrukftspofebjmspkjsgtobzsp,United States of America,JRHXPUUHAFHDPF,22.0,5.0,1-518-116-1411,Honolulu,a,ogmes,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,Yshzkx,OH,1249534.0,276666.0
O,0.0,U,Mos7575,Tellabs,,1.0,658.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,United States of America,yvntcqjqqmbftwetvbqgclcdbxspvk,57.0,0.0,1-696-359-4829,Albuquerque,I,JUBKXDKP,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,Mosqjrkdycyygfsljqadgfqoldb,New Brunswick,3789880.0,497953.0
