prospect_AddrL1,prospect_MaSt,prospect_Co,prospect_MidIn,prospect_OwOReF,prospect_Em,prospect_NumC,prospect_PoCo,prospect_NumChi,prospect_In,prospect_LaNa,prospect_A,prospect_AgeID,prospect_AdLi2,prospect_C,prospect_St,prospect_FiN,prospect_NeWo,prospect_CreRat,prospect_NuCreCar,prospect_Gen,prospect_Ph
Yrqckbldfgvltnlgolmyhnzpnfmxikgw,M,United States of America,,O,Interstate Bakeries,5.0,NCEVKLQEEWTA,1.0,210038.0,dgcnbxfhc,72.0,dgc7511,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Greensboro,Saskatchewan,Zaijioc,490443.0,,3.0,m,
Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,M,Canada,,O,eBay,4.0,DODDIDDHXS,5.0,307402.0,lqlslgqsvyfxqnzuwbfg,40.0,lql7512,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,Concord,NE,Mdwdjpdfmbqjaygkfqzqx,3348923.0,318.0,9.0,,1-268-630-3843
Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,D,United States of America,,R,Boise,4.0,Oqnzttrldq,1.0,,Wskjvrujdwku,8.0,Wsk7513,ucxdpiwilpxxhv,Colorado Springs,AR,Ccbccgvldfvoqtzestvkwunn,331799.0,613.0,4.0,m,1-915-548-9541
,U,,v,R,MDU Resources Group,4.0,Lwbawk,1.0,432425.0,Ffshsiomkzjonhxjhunfsao,10.0,Ffs7514,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Mobile,IL,nyakrhdyxravdnhgbtol,1167013.0,786.0,4.0,,1-536-880-0961
nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,U,United States of America,F,O,Freescale Semiconductor,0.0,Ppsrzjdtg,3.0,122041.0,Kvvverfkpazpzzkrqniixrhnw,24.0,Kvv7515,,Thousand Oaks,VA,NDNBTVCLKSC,3960216.0,,10.0,,1-494-335-6022
,M,United States of America,G,O,Superior Energy Services,1.0,,4.0,302205.0,mpzqnwnrmaozfsstcqtrc,18.0,mpz7516,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,Rochester,ID,Zmstbluqkipzaojfsomtbdddguq,242246.0,623.0,5.0,f,1-814-158-3550
RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,S,United States of America,s,O,Monsanto,1.0,,1.0,367555.0,Jhcbaxyzijphmmvpampdgvgisnab,79.0,Jhc7517,Havgczldcpfmwfzj,Garden Grove,TX,dpqgvuaoijmkxsesvililpxcrwqe,1217660.0,845.0,1.0,F,1-420-580-0795
rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,United States of America,l,U,Newfield Exploration,4.0,Rxdsunq,5.0,106025.0,dbqcukoddoiwg,36.0,dbq7518,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Tampa,New Brunswick,IHUGYGSRDWILVOFBAKUR,1229655.0,645.0,7.0,M,1-924-305-1666
Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,W,Canada,,O,Loews,2.0,JXHVEEOU,2.0,106690.0,Xchoxlbkffuvox,21.0,Xch7519,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Fullerton,Alberta,aefotdcronamhkzsfpvifmobgchmsp,1157831.0,495.0,1.0,m,1-450-082-2122
Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,M,Canada,Z,O,Apache,2.0,XHJQCDPOO,2.0,29373.0,oirfujtvl,4.0,oir7520,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Washington,PA,jdeyqkerjerjpht,,371.0,8.0,m,1-573-009-1404
Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,S,United States of America,O,R,Robert Half International,2.0,rapkjpmvp,3.0,168189.0,Fqbovz,72.0,Fqb7521,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Norfolk,Nova Scotia,Lwihnxoihqqrvjydsijd,,462.0,1.0,M,1-603-897-9894
Dmyivtczopuqajpnjqvvgbhxynvduub,S,United States of America,,U,Viacom,,Slskxm,,264756.0,qextfjyytqwbmdrlykbfnhvqrmota,1.0,qex7522,Rirmrpvlknyho,Sydney,RI,nmnervucuk,3467922.0,375.0,7.0,,1-947-161-6502
Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,S,Canada,,U,Robert Half International,1.0,FXHXLG,2.0,44480.0,Hpiedhvkedqqdxsoedt,98.0,Hpi7523,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Winnipeg,OR,hgjkxxbf,46859.0,516.0,10.0,,1-586-826-9847
Esuycdxsjfbrqbtluspxsehk,,Canada,,R,CSX,1.0,ovlziicdezok,5.0,87207.0,Fjdafgbcrml,35.0,Fjd7524,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Wilmington,CA,Zangtryzlhmxo,2937668.0,703.0,,,1-217-243-2668
AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,W,United States of America,,O,Country Financial Services,4.0,jsxcpvao,2.0,238434.0,Cgtcmbl,99.0,Cgt7525,Rpzwirgfyiw,El Monte,MO,FFJGEQD,2388613.0,734.0,7.0,,1-857-211-5728
oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,United States of America,,U,Procter & Gamble,0.0,Ykerbceq,2.0,,Lwxudfgcqawccntqaucdaeym,49.0,Lwx7526,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Sterling Heights,Prince Edward Island,Pdcxrihnl,3116283.0,469.0,4.0,M,1-089-966-6281
vnyndcximwxhecv,S,United States of America,,O,Ingles Markets,3.0,VVMSNWEBT,0.0,391354.0,epyxtfsrijhddstgaxkbgmlayjtk,72.0,epy7527,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,Pembroke Pines,Quebec,Zckhcacwaelzutaodqalxyjrkh,2671950.0,595.0,2.0,,
sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,U,United States of America,M,O,Forest Laboratories,3.0,bibueqwbejem,0.0,419165.0,Affcha,41.0,Aff7528,Acdrcqabtcdgmgl,Philadelphia,KS,sqrosgqnpifxjx,3899593.0,410.0,1.0,m,1-231-342-6874
,W,Canada,S,O,Dentsply International,3.0,gehpynlk,2.0,396509.0,mfcestd,54.0,mfc7529,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,Glendale,NV,Erqzkkllazeobgthnmgsbtj,2537332.0,475.0,10.0,,
GVSBHGBDDVJFNNOZNNPJWCOI,,United States of America,S,R,RadioShack,0.0,Piwlxtg,2.0,145161.0,Slfbmvc,11.0,Slf7530,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,El Monte,TN,Lcziayaozecoqqluasolkmmcldm,733236.0,,2.0,,1-602-637-1838
Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,W,United States of America,,O,Century Aluminum,2.0,Ujlshmosjkid,5.0,263206.0,Cxuousxqyrfgjvpvuopyfguqva,0.0,Cxu7531,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Warwick,WY,Gcnczmuxviqaxtsdzmzhtro,,519.0,3.0,,1-003-982-8627
BIQIOQOHLQSTBRUFOI,D,United States of America,F,U,,3.0,cwburwnupuj,3.0,190371.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,27.0,GZO7532,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,Milwaukee,British Columbia,Rsoobsqytvjycob,3397276.0,841.0,5.0,,1-136-358-6852
Llfaqkbemnoy,U,United States of America,A,O,FPL Group,3.0,CNEZMHTKIAEV,1.0,203968.0,DRWTVTDSG,95.0,DRW7533,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,Phoenix,LA,Pjvadgt,2444257.0,540.0,6.0,,1-123-528-2965
zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,U,United States of America,N,R,Lockheed Martin,1.0,kixvppuqtd,3.0,428323.0,setksinlvlrjwnfu,35.0,set7534,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,Anchorage,HI,GUBKOKITTSKVYM,71520.0,540.0,10.0,f,1-136-565-2501
Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,M,United States of America,,O,Sanmina-SCI,4.0,jrhynxfi,1.0,159980.0,Pyoixliri,96.0,Pyo7535,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Madison,NY,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,1911091.0,,6.0,,1-317-986-1984
elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,W,Canada,,O,Iron Mountain,0.0,dnhtjyu,0.0,266852.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,96.0,FSH7536,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,Fontana,TX,Kuteauo,988775.0,424.0,6.0,M,1-265-603-1262
,M,United States of America,,R,OfficeMax,5.0,YKOVOTYB,5.0,206973.0,Tdxyljuxporjhdumcvfmv,49.0,Tdx7537,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,Charlotte,AZ,Hkfofpndygljbeo,3919363.0,623.0,2.0,,
atydogjpqphuwhegtbukkqiaeakrtrn,S,Canada,O,O,AMR,5.0,WNNMWJ,1.0,258221.0,Sbnxcsrozzcufdoyvckpplofysx,,Sbn7538,XHQNMCEJKXOQYVSZVESLKC,Richmond,ME,Kengxgsu,428918.0,792.0,4.0,,1-156-668-6882
Hlotorcbtobuceb,S,United States of America,C,O,Kohl's,4.0,Oktkljv,4.0,428508.0,Piqizouhxiw,27.0,Piq7539,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Santa Clarita,NH,Plywuoa,58134.0,718.0,6.0,f,1-164-648-3203
gsrdigbqfwrahybxrtm,M,,,O,Cigna,4.0,,0.0,,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,98.0,IXD7540,Toumjfbsumpgfuskpydjeibaxi,Yellow Knife,KY,zfcwsxpjzyqelkxg,3703767.0,401.0,6.0,M,1-839-795-1027
Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,M,United States of America,,R,West,4.0,GXFLSISZUY,5.0,58953.0,wsnjomkxbtybfnmtcjhvmblfwamnwd,,wsn7541,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Oxnard,Prince Edward Island,Yxvczhqjwgnhowiu,433859.0,557.0,2.0,,1-958-412-4252
qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,W,United States of America,A,O,Monsanto,5.0,gzexcrngivl,5.0,409682.0,Jkpmtcj,56.0,Jkp7542,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,Huntington Beach,British Columbia,Grkknjyfgbhtyrhxzeaoeoyirwfa,3002044.0,393.0,7.0,M,1-392-335-1020
,M,United States of America,,,Reliant Energy,2.0,yzoikhwrd,4.0,340191.0,CCFFVCOHCLUUXZIQTCFCUHEYN,94.0,CCF7543,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,Durham,CT,Vfrdst,1124168.0,557.0,10.0,M,1-912-050-7605
RELJYREDKQEKGOORBLRKOUIC,U,United States of America,,O,Idearc,4.0,Gdbktega,5.0,238216.0,yljvuglvt,98.0,ylj7544,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,Naperville,WA,Hqcswumjvwbemosmy,2081541.0,465.0,5.0,,1-075-551-9919
Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,M,Canada,V,O,Neiman Marcus,0.0,Kdcqzpvf,1.0,113171.0,ZBBXAWVJAAL,8.0,ZBB7545,hkyochorqgtokxgozmoncalaaiw,Albuquerque,ND,Ectbhkmbvwkwdbn,1897076.0,,6.0,F,1-013-611-2674
Yewxbqpnfgh,W,United States of America,,,O'Reilly Automotive,5.0,Tbwgwtmgcu,,234797.0,fqekemquvstw,90.0,fqe7546,Datdnghoiymltcayulgkgxywi,Newark,ID,Bdbgqpllbnrmiirpct,235172.0,485.0,10.0,m,1-656-865-7544
Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,M,United States of America,,,Cliffs Natural Resources,4.0,Mwmfs,2.0,225322.0,Wpwhilrlzng,34.0,Wpw7547,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Miami,Quebec,Ftszluaxcsoxdfbmdd,639573.0,303.0,2.0,,1-879-870-7379
ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,W,Canada,,O,Health Management Associates,1.0,goelqgcts,2.0,192689.0,vpzxgcwljllsq,25.0,vpz7548,,London,ID,Qrdnpjquwnixfocqhsrlkcxmelwijl,2667082.0,846.0,4.0,,1-366-625-9813
VDBAVRMWFYBDZUILPKFXIVIYGFUU,,Canada,,O,Chevron,5.0,ucwygjzs,4.0,348685.0,Yfzmtcvxc,50.0,Yfz7549,,Worcester,AL,Kkiolpmrgzmnjanqc,2598634.0,621.0,1.0,,1-359-462-7089
Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,D,United States of America,,O,Exide Technologies,3.0,fjlfqftwg,4.0,401229.0,douvwdwiwrxoivzaojazinrhswjv,85.0,dou7550,,Jacksonville,UT,unzegilpp,1074671.0,331.0,,,
hfuyqlsmbesrylepu,M,United States of America,,R,Convergys,5.0,Tocujgaiaq,4.0,38597.0,FDJOVRSOCWEIKZ,60.0,FDJ7551,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,Nashua,MS,xetqkitwlh,2272997.0,401.0,9.0,M,1-153-396-8333
Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,S,United States of America,,R,Dominion Resources,2.0,kurjmmgixxfd,2.0,,ufutrfkevxnbupjcetrpltw,95.0,ufu7552,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,Newport News,AK,TWRRGULRYKYUWZYBQQFMIFFKVK,702000.0,644.0,0.0,,1-144-623-1308
qgjnvpwvmgsqzcanzncon,M,United States of America,H,R,Sentry Insurance Group,4.0,cnsavindoi,1.0,161204.0,bbgzmquoeecumw,8.0,bbg7553,NBSHKLXYVUUWXEQSGXR,Corona,VT,Yqfljvgkfucafpjpamdtcppiipc,1289800.0,769.0,5.0,m,1-269-220-8046
HNBGLUDIOAJRCCIXGDUQOO,M,,v,O,Cintas,3.0,MQBSAUVQRPYE,4.0,202650.0,Znkkdbkvxcxeuackyodqlkpl,31.0,Znk7554,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,Lincoln,LA,mjeasoritwctufyojamzbeeoo,1007390.0,481.0,2.0,f,1-052-524-0130
FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,U,Canada,T,O,Medtronic,1.0,vadbnvz,2.0,,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,51.0,CGQ7555,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,Toronto,CT,Udxaujgiratgthwkvdibgvwfo,124290.0,732.0,7.0,F,1-335-871-6660
dnlleihfh,M,United States of America,,O,Pride International,4.0,Ljurvnigr,4.0,492433.0,addxtssyhezwro,24.0,add7556,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,Fayetteville,UT,GHFUKZPOKMXWZF,1820002.0,802.0,2.0,,1-637-394-8083
ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,M,Canada,J,O,A. Schulman,2.0,BQDMQVFTNBRJ,4.0,344858.0,Anwyusqezrjppzkaevffwljm,78.0,Anw7557,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,Charlotte,IN,ybtkiifyhbgchnuctnhnqspk,2200347.0,329.0,5.0,,1-706-795-4208
Wsjaujjdexc,W,United States of America,,R,Oneok,5.0,jkcul,0.0,197290.0,Hvtanebvipbdd,56.0,Hvt7558,nqcozjievwzk,Tulsa,WI,Fhkymmgjsbmpduuffgavhfcxm,3669569.0,839.0,0.0,m,1-622-347-5699
Ojberg,U,United States of America,d,,Danaher,2.0,Nelny,,283654.0,Yqjaammjlhgpw,50.0,Yqj7559,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Winston-Salem,WA,DEZDTMSMWKALBRPALCFIME,2140537.0,539.0,,,1-042-017-9368
Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,M,United States of America,,R,Del Monte Foods,4.0,Qsggz,5.0,317423.0,Ztnstwpjxatqveppicohpzilnn,52.0,Ztn7560,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Thousand Oaks,LA,phoxfeiqoldgmnojmzunmargkla,3258909.0,561.0,4.0,F,1-829-935-5979
Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,W,United States of America,,O,American Electric Power,4.0,Drofa,5.0,399126.0,bnizllrrofn,14.0,bni7561,Lfrjkyblujmbxigmylpsxieswspmei,Lubbock,VT,Upuabfflh,1825422.0,814.0,2.0,F,1-076-726-5283
Xwtkpxqgohxwxnv,M,United States of America,,R,TJX,5.0,Ssovhtmt,0.0,398180.0,swxorhmdydwbrtdqxroghsddlpbdgi,29.0,swx7562,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Winnipeg,CT,owagfolbfwjzeg,1845263.0,305.0,7.0,,
Qpvmtkxxfef,S,United States of America,P,O,Philip Morris International,2.0,Tnprhljfrlj,4.0,,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,50.0,DSA7563,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Laredo,RI,Qdmppehqxloc,1463114.0,457.0,4.0,f,1-284-129-5920
QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,U,United States of America,,O,Cincinnati Financial,4.0,Bkxujhonjgjk,1.0,485429.0,BXZUTWBUFSGPPXKR,67.0,BXZ7564,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,Overland Park,SC,jqbetxkci,2354683.0,349.0,8.0,,1-128-308-8886
KRYAIAJGKHBKXBLC,M,United States of America,,O,Stryker,2.0,mrjrjhgnwcdu,0.0,118018.0,pczqycbwefse,22.0,pcz7565,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,Calgary,British Columbia,Wsmywgbvwspgdwhmdxsqjwqb,436677.0,590.0,0.0,,1-145-469-5971
,U,United States of America,,O,Kansas City Southern,5.0,Yusezkfgs,4.0,309693.0,Zqaknviqngvemehvpzrcgkcvre,20.0,Zqa7566,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,Peoria,CO,ocgwi,2383335.0,533.0,0.0,m,1-727-684-7767
Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,W,Canada,z,O,IDT,4.0,RKXTQAO,0.0,90718.0,Htltlfnvjctvvdvulpkhcbyfi,75.0,Htl7567,IBQIDE,Durham,TN,Pcotdnngmurhkcd,2574739.0,686.0,9.0,,1-776-201-2472
VBDCWYVK,U,United States of America,L,O,Vornado Realty Trust,2.0,UBQSATXZO,0.0,280645.0,afwafvxxdr,60.0,afw7568,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,Pueblo,CA,bvcosqzcleknjzvkygbawlc,1596838.0,582.0,10.0,F,1-767-942-1278
VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,S,United States of America,,O,Dollar General,,BHRNWQLFVFA,4.0,231559.0,Wnakgzhqfhtavtvegjtdmdosnjr,,Wna7569,Lrebujnrg,Las Cruces,WY,ECLENELTSXGTNWOP,591965.0,807.0,0.0,,1-723-062-7266
Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,S,United States of America,,O,Safeway,3.0,Ktmzav,5.0,36898.0,Mlheqxaigtvjaynkffyqkpu,48.0,Mlh7570,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Chula Vista,SD,Xdwexmrjat,3071440.0,819.0,3.0,,
Gwxymofcy,M,United States of America,,R,Apache,2.0,Nfpchgfj,0.0,396786.0,Gorjnqxjtefmomsbmtnogaerx,91.0,Gor7571,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,San Diego,British Columbia,xjwnvwdryqpcehelwzfhkkiuus,2683081.0,311.0,5.0,,1-145-314-0862
Qynjnmfgwxpmrw,U,United States of America,,O,Lowe's,2.0,Wuywecohosfi,5.0,344365.0,ENXOMNHFVPYQSABETPUEKRKCL,98.0,ENX7572,Hxutrprq,Chicago,NJ,RNBABCYAFMQPBOHXNUXMXNU,3850483.0,734.0,3.0,f,1-735-104-7772
Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,W,United States of America,,O,Lithia Motors,4.0,tibxlojrqiha,1.0,1205.0,fgrdzzudzmwlluff,51.0,fgr7573,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Worcester,AK,Eyrtrqkljywvbcice,1870617.0,432.0,1.0,,
SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,S,United States of America,a,O,CH2M Hill,5.0,ogmes,0.0,276666.0,Yshzkx,22.0,Ysh7574,JRHXPUUHAFHDPF,Honolulu,OH,Opybrukftspofebjmspkjsgtobzsp,1249534.0,394.0,3.0,m,1-518-116-1411
XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,U,United States of America,I,O,Tellabs,0.0,JUBKXDKP,0.0,497953.0,Mosqjrkdycyygfsljqadgfqoldb,57.0,Mos7575,yvntcqjqqmbftwetvbqgclcdbxspvk,Albuquerque,New Brunswick,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,3789880.0,658.0,1.0,,1-696-359-4829
