Age,NumberCreditCards,AgencyID,MaritalStatus,LastName,Country,CreditRating,Phone,Income,State,AddressLine1,OwnOrRentFlag,Gender,City,FirstName,NetWorth,Employer,NumberChildren,AddressLine2,MiddleInitial,PostalCode,NumberCars
96.0,9.0,mah10,M,mahendra,Canada,493.0,1-561-520-0611,79928.0,TX,18313 5th lane,O,,West Covina,umakanth,1528641.0,Iasis Healthcare,2.0,,U,A2b 1w1,2.0
46.0,0.0,Siz11,M,Sizto,United States of America,564.0,1-730-406-9727,109496.0,NE,13653 collier avenue,R,,San Buenaventura,terrie,3752907.0,AMR,0.0,,,M5F 1W1,1.0
6.0,0.0,cra12,U,crawley,United States of America,817.0,,267901.0,AR,15306 pike park,U,,Lexington,Mary-pat,582378.0,Embarq,4.0,,,95118,1.0
39.0,8.0,dac13,U,dacal,United States of America,653.0,1-207-867-4589,487273.0,MI,1540 crestmere north,R,m,Hay River,Catherin,3458824.0,Advanced Micro Devices,5.0,,,H2f 1v7,3.0
73.0,2.0,HIV14,M,HIVELY,United States of America,587.0,1-478-629-9641,34013.0,MA,10790 bonita crescent,O,,Toronto,annissa,469408.0,Cenveo,4.0,,W,19217,3.0
26.0,6.0,Pes15,S,Peschke,United States of America,472.0,1-026-208-8595,473462.0,TN,24679 AIRPORT CRESCENT,O,,Denver,Amour,1504480.0,Kelly Services,2.0,Apt. 290,,21228,0.0
54.0,4.0,CHI16,M,CHILDERHOSE,Canada,817.0,1-432-681-4853,499493.0,TN,7627 douglas road,O,,St. Paul,jenica,2763009.0,Viacom,4.0,,,85097,5.0
87.0,0.0,Din17,M,Dinnin,United States of America,441.0,,266928.0,OK,6106 ashland east,R,,Bellevue,KATTIE,2787199.0,Macy's,4.0,,,V6j 1q8,5.0
85.0,6.0,De 18,M,De witte,United States of America,848.0,1-357-207-6320,72444.0,Ontario,1111 norden street,O,,Detroit,Roselle,2789368.0,Gardner Denver,3.0,,M,43207,2.0
86.0,8.0,Mck19,U,Mckeegan,United States of America,843.0,1-462-774-1277,77290.0,KY,2798 1st east,R,m,Omaha,arlyne,2784776.0,Family Dollar Stores,3.0,,,V6t 1q8,3.0
59.0,,WIN20,U,WINTERS,United States of America,,1-702-382-2898,395066.0,PA,11358 elle lee street,R,M,Costa Mesa,Rong-chin,288747.0,,0.0,,P,94467,2.0
94.0,0.0,BIT21,U,BITTMAN,United States of America,300.0,1-909-554-7120,119283.0,MD,21074 MALLORY LOWER,O,,Berkeley,Darlleen,876575.0,Sun Microsystems,3.0,,,94321,5.0
,8.0,luz22,U,luzarraga,United States of America,795.0,1-752-296-7940,330991.0,TX,16124 weyland park,O,f,St. Louis,Radoslav,2041224.0,Costco Wholesale,1.0,,V,C2a 4w7,1.0
5.0,5.0,don23,,donovan,United States of America,367.0,1-995-554-5056,,IN,23822 marvin crescent,U,,Colorado Springs,Aryn,2231509.0,Illinois Tool Works,0.0,,S,35808,4.0
23.0,1.0,Gia24,M,Giallo,United States of America,507.0,1-090-303-3807,252031.0,MD,2203 valita boulevard,O,,Fontana,Allisan,3206409.0,Southern Union,5.0,,T,M5f 1v6,1.0
61.0,9.0,SPR25,M,SPRUELL,United States of America,362.0,1-492-968-0932,101800.0,KY,11538 COLLINWOOD AVENUE,O,M,St. Catharines,Ammamaria,3850037.0,Moog,1.0,,,99539,3.0
,7.0,SKA26,D,SKALSKI,United States of America,527.0,1-960-227-2020,436977.0,CA,7818 EAST STREET,O,F,Hayward,Mari,528440.0,Old Republic International,1.0,,,95055,0.0
51.0,0.0,Gar27,S,Gargul,United States of America,354.0,1-431-122-8597,495334.0,FL,10013 shaw road,O,m,Palmdale,Anica,597140.0,,,,,93686,0.0
97.0,1.0,Dor28,M,Dore,United States of America,511.0,1-822-836-7200,274685.0,Newfoundland,6802 AMES STREET,O,,Phoenix,Melba,146931.0,Great Plains Energy,1.0,,,75218,1.0
52.0,7.0,DIO29,,DIOGO,United States of America,412.0,1-530-117-0497,320820.0,TX,22501 SUMMIT RUE,,,Gary,Tracee,353495.0,Broadcom,2.0,,X,91174,2.0
98.0,1.0,Mer30,S,Merrick,Canada,583.0,1-051-257-2719,195835.0,WA,291 frances rue,O,m,Beaumont,CANADIAN,295647.0,Discover Financial Services,0.0,,,49515,4.0
47.0,5.0,Atc31,U,Atchison,United States of America,710.0,1-171-989-1363,108085.0,MN,16264 sanders east,O,,Nashua,Oue,408941.0,UAL,3.0,,R,16506,5.0
47.0,9.0,Pla32,M,Plamondon,United States of America,380.0,1-042-705-3246,260185.0,WY,16068 cantey way,O,m,San Jose,wallie,362523.0,Charles Schwab,1.0,,X,94383,2.0
9.0,2.0,SEL33,M,SELCHOW,United States of America,796.0,1-098-328-2026,258323.0,NY,21170 EDLOE BOULEVARD,R,F,Nashua,Andromache,2102359.0,Coach,0.0,,E,T6d 1b3,0.0
85.0,2.0,sha34,M,shane,United States of America,818.0,1-209-754-5635,79476.0,SC,885 CROSBY LANE,U,f,Fort Smith,THOR,3480265.0,DaVita,3.0,,Z,25339,1.0
81.0,3.0,MER35,M,MERWIN,United States of America,766.0,1-498-781-3456,102156.0,MS,12235 jay street,U,,Lancaster,SALAH,3648900.0,Marshall & Ilsley Corp.,3.0,,,V6o 1v4,5.0
0.0,2.0,con36,M,conrad,United States of America,359.0,1-615-241-0440,221481.0,UT,20340 LOMBARD CRESCENT,O,,Colorado Springs,HOR-LAM,1161790.0,Cablevision Systems,3.0,,,01852,2.0
28.0,2.0,ons37,S,onsiteteam,United States of America,401.0,1-995-449-5200,41836.0,PA,22074 dexter upper,R,M,Washington,Vania,2050587.0,Barnes & Noble,5.0,,,78230,1.0
65.0,0.0,Sum38,U,Summerlin,Canada,609.0,1-295-673-4452,72389.0,OK,1540 MURIE RUE,O,M,Lowell,Niel,3579198.0,EMC,1.0,,,93770,1.0
20.0,2.0,gro39,S,grooms,United States of America,630.0,1-914-675-2986,66486.0,WY,7075 glen loch drive,O,,Frederick,ziad,889494.0,Fluor,0.0,,F,m4l 1n4,3.0
55.0,9.0,dil40,M,dilkie,United States of America,671.0,,200185.0,RI,11237 balmoral way,O,,Mesa,Claude,2205682.0,Dollar General,1.0,Apt. 382,I,22335,3.0
76.0,10.0,DOL41,U,DOLSON,United States of America,715.0,1-825-739-0336,289215.0,HI,8316 GARDEN BROOK NORTH,O,,Lakewood,AVTAR,1140117.0,Lear,2.0,,,V6C 1T4,0.0
1.0,9.0,Pos42,M,Posthumus,United States of America,707.0,1-956-713-3802,322484.0,VA,2240 clifton lower,O,,Cleveland,Donny,1421319.0,J.P. Morgan Chase & Co.,1.0,,,M6t 1h3,4.0
3.0,0.0,Mac43,M,Machika,United States of America,329.0,1-814-932-1579,83458.0,OK,20907 NOTINGHAM LOWER,O,,Grand Rapids,Cocos,3525204.0,Affinia Group Intermediate,2.0,,,95263,4.0
100.0,8.0,che44,D,chenoweth,United States of America,601.0,1-135-443-7282,,Prince Edward Island,601 carroll lower,R,,Peoria,ruud,468976.0,,3.0,,,v5b 1p5,0.0
81.0,2.0,hol45,W,holbrooks,United States of America,623.0,1-720-975-0667,492407.0,SD,18267 state drive,O,,Inglewood,Belvia,1685443.0,Goldman Sachs Group,1.0,,,32318,5.0
76.0,2.0,pfi46,S,pfieffer,United States of America,376.0,1-871-598-3505,346630.0,OH,9270 LEAF SOUTH,O,f,Akron,ATHAR,337564.0,E*Trade Financial,4.0,,,93872,4.0
51.0,0.0,elk47,W,elkington,Canada,560.0,1-607-222-4809,9572.0,MA,18582 PERIMETER BOULEVARD,O,,Charlottetown,Cherey,84777.0,Pfizer,3.0,,Y,92824,1.0
,4.0,Lab48,,Labenek,United States of America,693.0,1-965-046-0642,265369.0,MD,9612 park stream upper,O,F,Bellevue,RAZ,3146477.0,Safeway,5.0,,,e4a 1r2,1.0
58.0,0.0,laf49,S,laferriere,United States of America,346.0,1-155-441-3579,104172.0,Saskatchewan,2803 clearwater north,U,,Dover,kishore,495277.0,Simon Property Group,2.0,,Y,H7G 1V4,1.0
52.0,0.0,Nor50,M,Norment,United States of America,342.0,,65550.0,WA,11103 BISSONNET WEST,O,,Fullerton,Nelleke,746904.0,Trinity Industries,3.0,,I,85039,0.0
91.0,8.0,hag51,M,hagar,Canada,563.0,1-544-132-7237,,OH,4652 outervale lane,R,,Denver,sibby,1219620.0,Solutia,0.0,,,v6m 1q3,2.0
17.0,4.0,Bet52,M,Betcher,United States of America,391.0,1-821-089-2089,,WY,341 dunbar west,O,m,Dallas,ericha,1718910.0,,3.0,,,X7j 1r1,2.0
6.0,8.0,Van53,S,Van der,United States of America,381.0,1-135-391-9787,66244.0,NJ,16176 vernon drive,O,m,San Jose,Janson,,A.O. Smith,4.0,,,B8b 1z5,4.0
89.0,9.0,O'L54,S,O'LEARY,United States of America,539.0,1-776-182-6215,426954.0,ND,23131 clint way,U,F,Bellevue,Dorotea,2636424.0,AptarGroup,3.0,,,t5d 1v4,0.0
99.0,0.0,and55,M,anderson,United States of America,497.0,1-079-780-7761,126891.0,NC,11640 baltic upper,O,m,San Buenaventura,Denice,1326305.0,Coca-Cola,4.0,,,V6t 1r2,5.0
77.0,,sta56,M,starks,Canada,661.0,1-504-346-4393,454196.0,WV,20796 dolores drive,O,,St. Louis,Myron,2241997.0,Kimberly-Clark,2.0,,,91177,4.0
,0.0,CHA57,S,CHASSE,United States of America,558.0,1-985-538-4351,163940.0,GA,14359 COMMERCE WEST,R,,Pueblo,Barby,1542891.0,Visteon,3.0,Apt. 275,,T5c 1t1,5.0
90.0,,ASI58,W,ASING,Canada,534.0,1-254-097-9398,365213.0,Ontario,21448 hampton boulevard,O,R,Regina,Ariella,797918.0,TECO Energy,1.0,,,35862,
82.0,6.0,ask59,M,askins,United States of America,373.0,1-545-924-9552,428739.0,MA,7637 pershing way,U,f,Saskatoon,ADEY,347654.0,Bemis,0.0,,,96820,0.0
,8.0,Kik60,M,Kikuta,United States of America,382.0,1-984-233-8818,142444.0,CA,11529 arcana boulevard,O,,Jackson,GAYEL,2456397.0,Wyeth,0.0,,K,75238,4.0
15.0,10.0,Cha61,S,Chane,United States of America,475.0,1-528-691-1642,416168.0,SD,2700 windwood north,O,F,St. Petersburg,Man,1284229.0,United Technologies,3.0,,,85769,3.0
,3.0,KIL62,D,KILLEN,United States of America,539.0,,291420.0,Saskatchewan,22279 gramercy road,O,m,Scottsdale,Klara,618787.0,Clorox,0.0,,U,H5i 1o9,2.0
96.0,6.0,kin63,M,kinley,United States of America,711.0,1-171-807-8213,413501.0,RI,9828 west east,O,f,Charlotte,Abdalla,1171606.0,Discovery Communications,5.0,,,90849,4.0
38.0,1.0,MAL64,M,MALAHER,United States of America,606.0,1-056-241-7009,,NC,5935 mcafee park,O,,Waterbury,bal,3983261.0,Williams-Sonoma,,,,43644,4.0
10.0,0.0,Odu65,W,Odum,United States of America,494.0,1-389-414-0570,419143.0,SD,12460 CLAYTON STREET,O,,Chesapeake,Romy,2328568.0,Manitowoc,3.0,,J,99213,3.0
72.0,3.0,DI 66,M,DI NINNO,United States of America,309.0,1-583-542-1656,155057.0,IL,275 3rd drive,O,,Hialeah,KORAL,2078600.0,Henry Schein,5.0,,,72226,1.0
97.0,3.0,STU67,M,STUBBLEFIELD,United States of America,630.0,1-269-712-0672,313859.0,OR,6907 FERNCLIFF CRESCENT,O,,Charleston,YUKIHIKO,2986155.0,Trinity Industries,5.0,,K,V6Z 1Q9,2.0
48.0,10.0,HAM68,S,HAMBALI,United States of America,330.0,1-670-102-0463,265907.0,Ontario,885 crosby lane,O,,Salem,Khanh,1864039.0,Pepsi Bottling,1.0,,,20082,4.0
97.0,9.0,LIB69,S,LIBRARIAN,Canada,710.0,1-699-726-3895,283481.0,FL,2344 kalani west,O,m,Sacramento,Darnell,1293721.0,UGI,0.0,,,35827,
73.0,7.0,ohs70,M,ohsone,United States of America,475.0,1-640-666-2876,200635.0,NM,22870 LA CIENEGA STREET,R,M,Santa Clarita,feridoun,3850114.0,Greif,0.0,,,99692,4.0
71.0,3.0,HUM71,U,HUMMEL,United States of America,596.0,1-540-639-1311,434519.0,NE,8478 green avenue,O,,Sherbrooke,Magdy,1618743.0,Equifax,1.0,APT. 143,O,V6c 1q5,0.0
93.0,9.0,BRA72,W,BRADD,United States of America,670.0,1-285-874-8492,392315.0,MI,23639 purdue rue,O,,Colorado Springs,jiri,3383487.0,,1.0,,,80158,5.0
53.0,,Boa73,U,Boarder,United States of America,722.0,1-121-904-0040,493829.0,New Brunswick,19202 ansley park,O,,Berkeley,AILA,2981876.0,Freescale Semiconductor,3.0,,X,t6d 1b6,5.0
32.0,7.0,Mcn74,U,Mcnally,United States of America,587.0,1-017-842-3201,97489.0,NJ,11319 devonshire rue,O,,San Buenaventura,Vincenzo,2109339.0,Aleris International,2.0,,,33120,3.0
1.0,4.0,MAR75,S,MARKOVICH,United States of America,609.0,1-215-859-3206,,ND,23665 deerwood park,O,F,New Haven,Minnnie,791803.0,,3.0,,,99742,4.0
39.0,7.0,Wil76,S,Willekes,United States of America,401.0,1-764-520-7470,383046.0,Saskatchewan,4855 union north,O,f,Shreveport,alfonzo,3523678.0,World Fuel Services,1.0,,,V6N 1T1,0.0
77.0,0.0,Dea77,M,Deacetis,United States of America,335.0,1-414-130-0162,1190.0,KS,9466 SHADOWBRIAR WEST,,m,Lansing,Swandi,1681902.0,R.R. Donnelley & Sons,0.0,,S,44104,4.0
18.0,7.0,Hou78,U,Houk,United States of America,569.0,1-970-240-9990,85733.0,SD,3504 regency avenue,O,,Pembroke Pines,Anya,3851455.0,Brinker International,5.0,,,14605,5.0
70.0,9.0,Goy79,M,Goyette,Canada,,1-408-684-6459,387890.0,FL,7281 northland lower,R,,Palmdale,Enrika,2339382.0,Temple-Inland,2.0,,,80076,0.0
26.0,7.0,Mok80,S,Mok-fung,United States of America,679.0,1-330-353-5908,16808.0,Saskatchewan,12481 hayden lower,O,f,Savannah,SONJA,,Psychiatric Solutions,0.0,,Z,V6I 1V6,2.0
,10.0,Run81,M,Rundle,United States of America,356.0,1-766-726-2675,304589.0,FL,2328 gracie avenue,,,Amarillo,Liem,2065016.0,Nash-Finch,4.0,,I,97307,
58.0,9.0,BEL82,S,BELLEY,United States of America,308.0,1-938-425-7509,48506.0,UT,4737 campbell street,R,o,Anchorage,COLLETTE,2454049.0,AMR,5.0,,,46237,2.0
43.0,4.0,BAE83,M,BAER,United States of America,412.0,1-527-308-8874,,WY,2401 stratmore lower,O,,Louisville,SIAMACK,2423395.0,Spartan Stores,4.0,,Y,V6B 1S6,0.0
65.0,4.0,MAU84,D,MAULDIN,United States of America,618.0,1-810-590-0635,358862.0,NH,21477 JUNIPER CRESCENT,O,f,Hilo,Toshihiro,1342045.0,Cigna,3.0,,,H2d 1x1,2.0
24.0,5.0,Koo85,S,Koohgoli,United States of America,429.0,1-274-548-2512,477614.0,AR,19214 YAUPON BOULEVARD,O,,Sudbury,Casey,861756.0,General Cable,3.0,,,95108,5.0
79.0,3.0,Lau86,S,Lauriston,United States of America,819.0,1-649-754-4601,175414.0,CT,7785 rusk boulevard,O,,Orlando,Daryn,1215349.0,Dun & Bradstreet,1.0,,,80050,3.0
48.0,7.0,Man87,M,Mangum,Canada,552.0,1-905-932-1785,427598.0,VT,18002 cantrell upper,O,F,Missoula,Adrianna,3981554.0,Casey's General Stores,1.0,,L,90122,0.0
69.0,9.0,PIE88,S,PIERCY,United States of America,587.0,1-031-004-7697,368207.0,Manitoba,23341 brookside upper,O,,Abilene,Cortney,3865937.0,Jack in the Box,4.0,,,43614,0.0
91.0,6.0,Bus89,S,Buscaglia,United States of America,304.0,1-994-812-4796,449944.0,NJ,20494 ROSS WEST,O,M,Saskatoon,Duane,2804700.0,Assurant,1.0,,,61110,3.0
75.0,4.0,BAB90,,BABIONE,United States of America,795.0,1-176-513-4041,166247.0,KY,17552 SAVANNAH NORTH,U,,Irvine,Tele,3283558.0,Psychiatric Solutions,5.0,,,70174,5.0
85.0,2.0,Bur91,S,Burkard,United States of America,830.0,1-072-244-6337,391165.0,GA,4462 pace crescent,O,M,Reno,Ophelia,450524.0,Danaher,3.0,APT. 373,,90324,1.0
76.0,3.0,Kin92,M,Kinsella,United States of America,709.0,1-924-669-9328,165854.0,NJ,7161 tallowood upper,R,,Sacramento,lorine,,Clorox,3.0,,,s7d 1n1,5.0
68.0,8.0,POM93,S,POMMAINVILLE,United States of America,493.0,1-598-488-3541,326181.0,SC,3489 silver sage west,O,,Topeka,Viole,,Boyd Gaming,1.0,,,93829,2.0
95.0,,BOA94,M,BOATWRIGHT,United States of America,680.0,1-295-539-3868,173387.0,TN,12481 hayden lower,O,M,Rancho Cucamonga,Nani,633760.0,Eaton,,,,89116,3.0
15.0,,Ron95,M,Ronald,United States of America,800.0,1-554-020-0267,301127.0,WY,13210 3RD DRIVE,R,,Hilo,cherey,3634954.0,Dynegy,5.0,,R,94315,1.0
17.0,4.0,wei96,M,weihs,United States of America,614.0,1-793-621-4566,487230.0,Ontario,8899 starling lane,R,,Saint John,Redgie,799268.0,AmeriCredit,5.0,,A,T5b 1u9,1.0
94.0,6.0,Hel97,,Helpb,Canada,763.0,1-787-267-4261,425747.0,DC,11480 fennel south,R,M,Torrance,Yousef,39093.0,SLM,0.0,,P,T6b 1a5,4.0
70.0,3.0,mog98,S,moghe,United States of America,561.0,1-668-247-1597,401946.0,Alberta,7266 cherry upper,O,m,Santa Clara,Damaris,2705353.0,NV Energy,4.0,,,60699,4.0
29.0,4.0,boz99,S,bozicevich,United States of America,569.0,1-901-346-8890,425422.0,ME,10678 ENGLEWOOD WEST,O,,Torrance,Ilyssa,3565153.0,Landstar System,2.0,,,V6p 1s8,1.0
52.0,5.0,Zah100,M,Zaharychuk,United States of America,634.0,1-451-273-3803,208890.0,MA,21181 2ND RUE,O,,Stockton,Moselle,2832204.0,Pacific Life,1.0,,R,v6i 1p1,4.0
51.0,10.0,And101,U,Andric,United States of America,488.0,1-129-499-9136,67880.0,NV,22963 hanover road,O,F,Paterson,Dulsea,2194345.0,Textron,3.0,,,79423,5.0
24.0,5.0,Bam102,W,Bamfo,Canada,788.0,1-899-319-0772,133412.0,WA,8268 cliffbrook boulevard,O,,Mesa,Lyndsie,3737140.0,Pfizer,3.0,,L,H5j 1o6,2.0
98.0,8.0,fro103,D,frondozo,United States of America,333.0,1-053-396-0441,144829.0,WY,5118 montview court,O,,Anchorage,KESLEY,464753.0,Cigna,4.0,,,93761,3.0
59.0,,Car104,M,Caron,United States of America,601.0,1-239-665-9540,,NJ,17442 tallowood upper,U,,Miami,LAUREL,596696.0,Ameren,1.0,,J,76150,1.0
49.0,2.0,muc105,U,muchow,Canada,595.0,1-605-888-3403,143682.0,LA,4038 WEDGEWOOD STREET,O,f,Great Falls,Steen,1504753.0,Consolidated Edison,4.0,,V,99717,3.0
1.0,10.0,gat106,U,gateau,United States of America,433.0,1-630-604-2543,350020.0,TX,20334 anaconda avenue,O,,Erie,noel,3049281.0,Occidental Petroleum,1.0,,,60608,0.0
79.0,10.0,Sch107,U,Schaefer,United States of America,403.0,1-851-862-7928,435103.0,SC,5385 young west,O,F,Hollywood,Tracey,247478.0,Sherwin-Williams,,,M,v6w 1u4,0.0
6.0,3.0,pom108,,pomerleau,United States of America,615.0,1-065-415-5724,207768.0,TX,2747 SINCLAIR LANE,R,,Tulsa,Sarajane,2750301.0,Affiliated Computer Services,5.0,,,T5b 1t6,1.0
70.0,1.0,cuc109,M,cucuzzella,United States of America,735.0,1-408-512-1007,407512.0,MN,8622 BROWNWAY PARK,O,F,Tucson,Geoffrey,721333.0,Valassis Communications,4.0,,K,23298,0.0
23.0,1.0,SUG110,S,SUGARMAN,United States of America,668.0,1-083-902-4184,403366.0,ID,18048 GREEN NORTH,O,q,Anchorage,loralyn,669440.0,,0.0,,Z,32803,3.0
78.0,,Pep111,M,Pepe,Canada,349.0,1-568-403-7081,384095.0,MI,18994 country boulevard,O,,Sandy,andrei,2473979.0,Smithfield Foods,5.0,,,64122,3.0
79.0,,Cha112,S,Chandrashekar,United States of America,654.0,1-824-389-0618,288969.0,OK,16063 ashland road,,f,Boston,javad,3545170.0,,,SUITE 7,,T6b 1h2,4.0
72.0,6.0,SEI113,U,SEIFERS,United States of America,361.0,1-174-210-2058,233665.0,UT,19309 mcfarlin north,O,m,Vancouver,Karna,1494871.0,TD Ameritrade,3.0,Apt. 971,U,22222,2.0
31.0,1.0,GAR114,S,GARTLEY,Canada,427.0,1-425-503-7952,147236.0,PA,2454 cliffbrook west,U,F,Akron,Jocelyn,436164.0,Comerica,0.0,,S,T6a 1d2,4.0
86.0,1.0,Tou115,W,Touchette,United States of America,322.0,1-012-389-9089,452557.0,New Brunswick,15865 strand west,O,M,Lancaster,Elvera,1069481.0,Steel Dynamics,3.0,,,v5d 1n9,0.0
,9.0,Kur116,S,Kurdziel,United States of America,792.0,1-909-472-6704,179305.0,UT,13776 east boulevard,R,M,Concord,Nessy,,Coca-Cola Enterprises,0.0,,V,23321,2.0
87.0,2.0,Her117,U,Herod,Canada,478.0,1-622-167-5411,205817.0,VA,10570 WEIZMANN LOWER,O,,Chesapeake,lona,2957261.0,News Corp.,0.0,,,90505,3.0
92.0,1.0,MCV118,M,MCVICAR,United States of America,477.0,1-164-511-9338,262711.0,NH,15278 walnut hill road,O,,Flint,RHEA,228459.0,,5.0,,P,19066,
4.0,6.0,LAB119,M,LABFIVE,Canada,449.0,1-804-532-9163,84810.0,VT,23007 WAKEFOREST WAY,O,F,Chattanooga,Josefa,67267.0,Stater Bros. Holdings,5.0,,,v6s 1r3,1.0
8.0,2.0,but120,U,butta,United States of America,466.0,1-197-370-0297,96441.0,FL,9088 rivas way,O,,Billings,alikee,1087978.0,BorgWarner,4.0,,,78769,2.0
97.0,2.0,Pro121,M,Projects,United States of America,483.0,1-337-042-5687,462762.0,NC,18798 ullrich road,O,m,Scottsdale,dolorita,3885967.0,CB Richard Ellis Group,5.0,,,53769,0.0
,4.0,Irc122,D,Irc,United States of America,588.0,1-056-138-5321,141890.0,VA,18517 HULEN LOWER,O,,Oshawa,Marilyn,3271101.0,Zimmer Holdings,4.0,,,H7E 1U6,5.0
40.0,2.0,Ziv123,,Zivkovic,Canada,313.0,1-776-191-2031,156610.0,DC,11474 dodd lane,O,,Naperville,robertson,,Mohawk Industries,5.0,,G,e7o 1k1,5.0
95.0,1.0,sim124,U,simser,United States of America,647.0,1-280-696-2706,164752.0,NC,9375 wood south,R,,Tampa,Ilsa,1999133.0,Berkshire Hathaway,4.0,,H,90374,1.0
92.0,2.0,kei125,S,keifer,United States of America,430.0,1-857-581-6346,278949.0,MS,20479 wise avenue,O,,Jackson,Pen,1100786.0,Saks,5.0,,I,63169,1.0
67.0,8.0,arv126,W,arvin,United States of America,467.0,,,SC,19918 ROGERS NORTH,O,f,Hay River,AUBRETTE,563992.0,Gardner Denver,5.0,,P,16515,0.0
24.0,7.0,Pra127,M,Praeuner,United States of America,399.0,1-716-343-0884,463736.0,KS,9284 coffey lower,O,F,Irvine,Cole,962397.0,Hasbro,2.0,,,85309,3.0
26.0,5.0,lue128,M,lue,United States of America,654.0,1-101-776-2496,,VT,2929 north crescent,O,m,Idaho Falls,liva,1064169.0,CBS,3.0,,C,92158,2.0
62.0,3.0,Prz129,S,Przybycien,United States of America,378.0,1-769-028-0589,86667.0,IL,15404 queen street,O,f,Moreno Valley,Ayaz,2100059.0,Synnex,0.0,,,33152,2.0
37.0,10.0,pen130,W,penn,United States of America,338.0,1-005-833-8970,193470.0,FL,1619 greenspoint road,O,f,Ontario,YETTY,99025.0,Belden,1.0,,J,83729,5.0
71.0,10.0,Gua131,S,Guay,United States of America,695.0,1-884-215-4243,406379.0,MI,21477 WARREN PARK,R,,Concord,Mary-michelle,3865481.0,Broadcom,0.0,,S,B8b 1z6,5.0
29.0,7.0,bre132,M,brennand,Canada,614.0,,480595.0,Newfoundland,6503 ROBBINS STREET,U,F,Phoenix,agretha,804544.0,Reynolds American,3.0,,,53717,1.0
89.0,7.0,Sav133,S,Savanh,United States of America,307.0,1-725-177-7815,181718.0,ME,3958 GLEN LOCH BOULEVARD,O,f,Coral Springs,LOTTY,3143356.0,Wells Fargo,5.0,,X,t5c 1w7,4.0
11.0,2.0,ABB134,M,ABBATANTUONO,United States of America,331.0,1-277-496-5396,468310.0,AL,13640 ethridge lower,O,,Oxnard,Kassey,,Retail Ventures,3.0,,Z,37245,0.0
20.0,2.0,OP135,S,OP,United States of America,638.0,1-756-463-2201,354987.0,IN,3981 imperial lower,O,M,Brownsville,Adria,2311953.0,AT&T,0.0,,N,94401,2.0
75.0,3.0,Mer136,W,Mersinger,Canada,703.0,1-261-338-7463,284539.0,NH,13210 3rd drive,O,,Memphis,audivox,3120608.0,Wynn Resorts,5.0,,,B8a 1y3,3.0
95.0,7.0,rut137,S,rutt,United States of America,302.0,1-811-086-4675,213725.0,DC,9297 THROCKMORTON SOUTH,O,F,Flint,SUE,2058270.0,Eastman Kodak,5.0,,,t6b 1k2,0.0
0.0,,bem138,U,bemis,United States of America,522.0,1-338-771-1185,74195.0,DC,8935 YOUNG UPPER,O,,Lafayette,Lorenza,1511983.0,Aramark,3.0,,I,85306,2.0
73.0,,Pen139,M,Pennington,United States of America,,1-554-231-5318,169295.0,MD,3797 RUTGERS PARK,O,,Greensboro,Enzo,439080.0,ENSCO International,1.0,,,V6R 1R7,5.0
39.0,5.0,tor140,W,torok,United States of America,833.0,1-733-886-5227,307832.0,Prince Edward Island,8285 tamarind crescent,R,M,Sterling Heights,claudina,921255.0,Auto-Owners Insurance,0.0,,Y,68513,1.0
