prospect_AgeID,prospect_NuCrCa,prospect_AddrL2,prospect_CreRat,prospect_Pho,prospect_A,prospect_MidIni,prospect_AddrL1,prospect_St,prospect_NuChi,prospect_PosCo,prospect_In,prospect_NumC,prospect_MariSta,prospect_OwORF,prospect_Em,prospect_NeWor
ylj7544,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,465.0,1-075-551-9919,98.0,,RELJYREDKQEKGOORBLRKOUIC,WA,5.0,Gdbktega,238216.0,4.0,U,O,Idearc,2081541.0
ZBB7545,6.0,hkyochorqgtokxgozmoncalaaiw,,1-013-611-2674,8.0,V,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,ND,1.0,Kdcqzpvf,113171.0,0.0,M,O,Neiman Marcus,1897076.0
fqe7546,10.0,Datdnghoiymltcayulgkgxywi,485.0,1-656-865-7544,90.0,,Yewxbqpnfgh,ID,,Tbwgwtmgcu,234797.0,5.0,W,,O'Reilly Automotive,235172.0
Wpw7547,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,303.0,1-879-870-7379,34.0,,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Quebec,2.0,Mwmfs,225322.0,4.0,M,,Cliffs Natural Resources,639573.0
vpz7548,4.0,,846.0,1-366-625-9813,25.0,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,ID,2.0,goelqgcts,192689.0,1.0,W,O,Health Management Associates,2667082.0
Yfz7549,1.0,,621.0,1-359-462-7089,50.0,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,AL,4.0,ucwygjzs,348685.0,5.0,,O,Chevron,2598634.0
dou7550,,,331.0,,85.0,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,UT,4.0,fjlfqftwg,401229.0,3.0,D,O,Exide Technologies,1074671.0
FDJ7551,9.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,401.0,1-153-396-8333,60.0,,hfuyqlsmbesrylepu,MS,4.0,Tocujgaiaq,38597.0,5.0,M,R,Convergys,2272997.0
ufu7552,0.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,644.0,1-144-623-1308,95.0,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,AK,2.0,kurjmmgixxfd,,2.0,S,R,Dominion Resources,702000.0
bbg7553,5.0,NBSHKLXYVUUWXEQSGXR,769.0,1-269-220-8046,8.0,H,qgjnvpwvmgsqzcanzncon,VT,1.0,cnsavindoi,161204.0,4.0,M,R,Sentry Insurance Group,1289800.0
Znk7554,2.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,481.0,1-052-524-0130,31.0,v,HNBGLUDIOAJRCCIXGDUQOO,LA,4.0,MQBSAUVQRPYE,202650.0,3.0,M,O,Cintas,1007390.0
CGQ7555,7.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,732.0,1-335-871-6660,51.0,T,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,CT,2.0,vadbnvz,,1.0,U,O,Medtronic,124290.0
add7556,2.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,802.0,1-637-394-8083,24.0,,dnlleihfh,UT,4.0,Ljurvnigr,492433.0,4.0,M,O,Pride International,1820002.0
Anw7557,5.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,329.0,1-706-795-4208,78.0,J,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,IN,4.0,BQDMQVFTNBRJ,344858.0,2.0,M,O,A. Schulman,2200347.0
Hvt7558,0.0,nqcozjievwzk,839.0,1-622-347-5699,56.0,,Wsjaujjdexc,WI,0.0,jkcul,197290.0,5.0,W,R,Oneok,3669569.0
Yqj7559,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,539.0,1-042-017-9368,50.0,d,Ojberg,WA,,Nelny,283654.0,2.0,U,,Danaher,2140537.0
Ztn7560,4.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,561.0,1-829-935-5979,52.0,,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,LA,5.0,Qsggz,317423.0,4.0,M,R,Del Monte Foods,3258909.0
bni7561,2.0,Lfrjkyblujmbxigmylpsxieswspmei,814.0,1-076-726-5283,14.0,,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,VT,5.0,Drofa,399126.0,4.0,W,O,American Electric Power,1825422.0
swx7562,7.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,305.0,,29.0,,Xwtkpxqgohxwxnv,CT,0.0,Ssovhtmt,398180.0,5.0,M,R,TJX,1845263.0
DSA7563,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,457.0,1-284-129-5920,50.0,P,Qpvmtkxxfef,RI,4.0,Tnprhljfrlj,,2.0,S,O,Philip Morris International,1463114.0
BXZ7564,8.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,349.0,1-128-308-8886,67.0,,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,SC,1.0,Bkxujhonjgjk,485429.0,4.0,U,O,Cincinnati Financial,2354683.0
pcz7565,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,590.0,1-145-469-5971,22.0,,KRYAIAJGKHBKXBLC,British Columbia,0.0,mrjrjhgnwcdu,118018.0,2.0,M,O,Stryker,436677.0
Zqa7566,0.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,533.0,1-727-684-7767,20.0,,,CO,4.0,Yusezkfgs,309693.0,5.0,U,O,Kansas City Southern,2383335.0
Htl7567,9.0,IBQIDE,686.0,1-776-201-2472,75.0,z,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,TN,0.0,RKXTQAO,90718.0,4.0,W,O,IDT,2574739.0
afw7568,10.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,582.0,1-767-942-1278,60.0,L,VBDCWYVK,CA,0.0,UBQSATXZO,280645.0,2.0,U,O,Vornado Realty Trust,1596838.0
Wna7569,0.0,Lrebujnrg,807.0,1-723-062-7266,,,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,WY,4.0,BHRNWQLFVFA,231559.0,,S,O,Dollar General,591965.0
Mlh7570,3.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,819.0,,48.0,,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,SD,5.0,Ktmzav,36898.0,3.0,S,O,Safeway,3071440.0
Gor7571,5.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,311.0,1-145-314-0862,91.0,,Gwxymofcy,British Columbia,0.0,Nfpchgfj,396786.0,2.0,M,R,Apache,2683081.0
ENX7572,3.0,Hxutrprq,734.0,1-735-104-7772,98.0,,Qynjnmfgwxpmrw,NJ,5.0,Wuywecohosfi,344365.0,2.0,U,O,Lowe's,3850483.0
fgr7573,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,432.0,,51.0,,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,AK,1.0,tibxlojrqiha,1205.0,4.0,W,O,Lithia Motors,1870617.0
Ysh7574,3.0,JRHXPUUHAFHDPF,394.0,1-518-116-1411,22.0,a,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,OH,0.0,ogmes,276666.0,5.0,S,O,CH2M Hill,1249534.0
Mos7575,1.0,yvntcqjqqmbftwetvbqgclcdbxspvk,658.0,1-696-359-4829,57.0,I,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,New Brunswick,0.0,JUBKXDKP,497953.0,0.0,U,O,Tellabs,3789880.0
czu7576,3.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,348.0,1-352-678-5471,38.0,,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,IL,2.0,Xbgykqm,156048.0,1.0,M,O,Phillips-Van Heusen,3874445.0
Ghr7577,8.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,598.0,1-906-600-9749,68.0,Z,BESJDYZDIOIXKDFEHBQXBPW,AZ,5.0,NNCXIBTCXZA,63617.0,1.0,M,O,Wells Fargo,437353.0
Rwk7578,9.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,505.0,1-093-018-2851,93.0,,Ouopoqztakszwsfkthdbwndfjuqaelyd,NY,2.0,mfwuio,244849.0,2.0,U,O,Vornado Realty Trust,2669917.0
Uwi7579,7.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,839.0,1-302-096-9321,48.0,,Ivwhotvobwkshcixclfobqoljlaqohw,WA,3.0,Utgwrun,123585.0,4.0,S,R,New York Times,1466537.0
VXZ7580,2.0,CYQWJKJB,672.0,1-915-044-3154,96.0,,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,GA,1.0,Wgulrhctjlg,391134.0,1.0,S,U,Adobe Systems,991860.0
Ayk7581,3.0,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,696.0,1-040-274-3474,58.0,p,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,AZ,5.0,Srhxvxe,426759.0,5.0,M,O,Valmont Industries,
lho7582,5.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,448.0,1-678-397-2739,63.0,,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,NV,3.0,Dadkihaohc,451737.0,5.0,W,O,UAL,1816368.0
rzi7583,9.0,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,549.0,1-679-345-9939,18.0,,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,TN,1.0,Fpoleiod,180822.0,2.0,S,O,AFLAC,565246.0
Wds7584,0.0,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,705.0,1-093-616-0613,40.0,,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,AL,2.0,Cuaieflmccqp,205843.0,4.0,W,O,VeraSun Energy,1899339.0
Xsj7585,6.0,ccfzcxohrhrcnypedmhjovjyjrxi,387.0,1-546-131-8988,29.0,f,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,TX,3.0,qiraymmapgf,470985.0,4.0,M,O,Magellan Health Services,3873239.0
Lux7586,7.0,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,359.0,1-477-186-7432,21.0,v,Nhgrkzjzcrjcerkwrugwul,WV,1.0,Tsynomgib,318225.0,2.0,U,,Emcor Group,767547.0
wxw7587,9.0,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,494.0,1-965-848-6954,41.0,,,ND,2.0,Amudllk,326044.0,2.0,M,O,Peabody Energy,1027999.0
pfz7588,10.0,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,345.0,1-622-866-0937,56.0,e,uiaoi,Saskatchewan,1.0,ELQKT,,1.0,M,,State Farm Insurance Cos.,3428495.0
hlx7589,10.0,REHWDWEP,402.0,1-040-217-2014,33.0,,Wwonzdtvwkn,VA,0.0,Oiwac,187282.0,2.0,M,O,Humana,1827180.0
nyb7590,3.0,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,579.0,1-101-684-2373,96.0,,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,ND,0.0,Dqgzinvuxxy,,2.0,M,O,News Corp.,2070007.0
Ltt7591,2.0,DIMPFMEBDNHBCT,569.0,1-386-426-5849,35.0,O,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,ND,0.0,Nchaajfkjvx,,2.0,,O,Torchmark,
gsz7592,9.0,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,745.0,1-598-816-0126,40.0,,cezvfwtftwlwfrgrpxtuejvrgucexe,MS,4.0,XEDMBUAMGXKH,306946.0,0.0,W,O,Rock-Tenn,3596263.0
Kwp7593,1.0,DVYTEPWCABNSGPTLJEMPQLTEWM,320.0,1-770-379-7700,10.0,,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,WY,,crxbrlj,99663.0,0.0,D,U,AGCO,3719999.0
AGM7594,4.0,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,591.0,,59.0,D,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,MA,4.0,Eytubbwi,482013.0,2.0,M,R,,3058439.0
Ocn7595,10.0,,,1-628-245-6238,70.0,u,Ctgihaqlm,AK,0.0,Lwftldizl,180476.0,1.0,M,U,United Stationers,2592932.0
Cmw7596,5.0,qlgnszfowrbrkuurrmjrfnfaeulhneecv,417.0,1-813-787-2611,69.0,,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,PA,5.0,GSSFZNBZL,285682.0,4.0,M,,McCormick,1471273.0
Dit7597,8.0,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,338.0,1-362-897-1162,96.0,V,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,MA,5.0,Nrnqtmjz,455032.0,0.0,M,R,National Life Group,
Rmm7598,9.0,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,340.0,1-952-919-4878,9.0,S,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,DC,,Rzjxvum,356141.0,3.0,S,O,Hasbro,2410816.0
ekj7599,5.0,svisticqsjulrudmbisfvfrpddlemifeirzxpdcflhevzsrddatdhpzcrtucukwlqng,738.0,1-145-214-8009,39.0,,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,RI,3.0,Accezkuzqrif,165667.0,3.0,U,U,Tupperware Brands,1059543.0
