NumberCars,OwnOrRentFlag,City,Gender,Phone,MiddleInitial,Employer,AddressLine1,AgencyID,Age,NumberChildren,MaritalStatus,Income,NumberCreditCards,NetWorth,PostalCode,AddressLine2,FirstName,Country,State,LastName,CreditRating
0.0,O,Hayward,F,1-960-227-2020,,Old Republic International,7818 EAST STREET,SKA26,,1.0,D,436977.0,7.0,528440.0,95055,,Mari,United States of America,CA,SKALSKI,527.0
0.0,O,Palmdale,m,1-431-122-8597,,,10013 shaw road,Gar27,51.0,,S,495334.0,0.0,597140.0,93686,,Anica,United States of America,FL,Gargul,354.0
1.0,O,Phoenix,,1-822-836-7200,,Great Plains Energy,6802 AMES STREET,Dor28,97.0,1.0,M,274685.0,1.0,146931.0,75218,,Melba,United States of America,Newfoundland,Dore,511.0
2.0,,Gary,,1-530-117-0497,X,Broadcom,22501 SUMMIT RUE,DIO29,52.0,2.0,,320820.0,7.0,353495.0,91174,,Tracee,United States of America,TX,DIOGO,412.0
4.0,O,Beaumont,m,1-051-257-2719,,Discover Financial Services,291 frances rue,Mer30,98.0,0.0,S,195835.0,1.0,295647.0,49515,,CANADIAN,Canada,WA,Merrick,583.0
5.0,O,Nashua,,1-171-989-1363,R,UAL,16264 sanders east,Atc31,47.0,3.0,U,108085.0,5.0,408941.0,16506,,Oue,United States of America,MN,Atchison,710.0
2.0,O,San Jose,m,1-042-705-3246,X,Charles Schwab,16068 cantey way,Pla32,47.0,1.0,M,260185.0,9.0,362523.0,94383,,wallie,United States of America,WY,Plamondon,380.0
0.0,R,Nashua,F,1-098-328-2026,E,Coach,21170 EDLOE BOULEVARD,SEL33,9.0,0.0,M,258323.0,2.0,2102359.0,T6d 1b3,,Andromache,United States of America,NY,SELCHOW,796.0
1.0,U,Fort Smith,f,1-209-754-5635,Z,DaVita,885 CROSBY LANE,sha34,85.0,3.0,M,79476.0,2.0,3480265.0,25339,,THOR,United States of America,SC,shane,818.0
5.0,U,Lancaster,,1-498-781-3456,,Marshall & Ilsley Corp.,12235 jay street,MER35,81.0,3.0,M,102156.0,3.0,3648900.0,V6o 1v4,,SALAH,United States of America,MS,MERWIN,766.0
2.0,O,Colorado Springs,,1-615-241-0440,,Cablevision Systems,20340 LOMBARD CRESCENT,con36,0.0,3.0,M,221481.0,2.0,1161790.0,01852,,HOR-LAM,United States of America,UT,conrad,359.0
1.0,R,Washington,M,1-995-449-5200,,Barnes & Noble,22074 dexter upper,ons37,28.0,5.0,S,41836.0,2.0,2050587.0,78230,,Vania,United States of America,PA,onsiteteam,401.0
1.0,O,Lowell,M,1-295-673-4452,,EMC,1540 MURIE RUE,Sum38,65.0,1.0,U,72389.0,0.0,3579198.0,93770,,Niel,Canada,OK,Summerlin,609.0
3.0,O,Frederick,,1-914-675-2986,F,Fluor,7075 glen loch drive,gro39,20.0,0.0,S,66486.0,2.0,889494.0,m4l 1n4,,ziad,United States of America,WY,grooms,630.0
3.0,O,Mesa,,,I,Dollar General,11237 balmoral way,dil40,55.0,1.0,M,200185.0,9.0,2205682.0,22335,Apt. 382,Claude,United States of America,RI,dilkie,671.0
0.0,O,Lakewood,,1-825-739-0336,,Lear,8316 GARDEN BROOK NORTH,DOL41,76.0,2.0,U,289215.0,10.0,1140117.0,V6C 1T4,,AVTAR,United States of America,HI,DOLSON,715.0
4.0,O,Cleveland,,1-956-713-3802,,J.P. Morgan Chase & Co.,2240 clifton lower,Pos42,1.0,1.0,M,322484.0,9.0,1421319.0,M6t 1h3,,Donny,United States of America,VA,Posthumus,707.0
4.0,O,Grand Rapids,,1-814-932-1579,,Affinia Group Intermediate,20907 NOTINGHAM LOWER,Mac43,3.0,2.0,M,83458.0,0.0,3525204.0,95263,,Cocos,United States of America,OK,Machika,329.0
0.0,R,Peoria,,1-135-443-7282,,,601 carroll lower,che44,100.0,3.0,D,,8.0,468976.0,v5b 1p5,,ruud,United States of America,Prince Edward Island,chenoweth,601.0
5.0,O,Inglewood,,1-720-975-0667,,Goldman Sachs Group,18267 state drive,hol45,81.0,1.0,W,492407.0,2.0,1685443.0,32318,,Belvia,United States of America,SD,holbrooks,623.0
4.0,O,Akron,f,1-871-598-3505,,E*Trade Financial,9270 LEAF SOUTH,pfi46,76.0,4.0,S,346630.0,2.0,337564.0,93872,,ATHAR,United States of America,OH,pfieffer,376.0
1.0,O,Charlottetown,,1-607-222-4809,Y,Pfizer,18582 PERIMETER BOULEVARD,elk47,51.0,3.0,W,9572.0,0.0,84777.0,92824,,Cherey,Canada,MA,elkington,560.0
1.0,O,Bellevue,F,1-965-046-0642,,Safeway,9612 park stream upper,Lab48,,5.0,,265369.0,4.0,3146477.0,e4a 1r2,,RAZ,United States of America,MD,Labenek,693.0
1.0,U,Dover,,1-155-441-3579,Y,Simon Property Group,2803 clearwater north,laf49,58.0,2.0,S,104172.0,0.0,495277.0,H7G 1V4,,kishore,United States of America,Saskatchewan,laferriere,346.0
0.0,O,Fullerton,,,I,Trinity Industries,11103 BISSONNET WEST,Nor50,52.0,3.0,M,65550.0,0.0,746904.0,85039,,Nelleke,United States of America,WA,Norment,342.0
2.0,R,Denver,,1-544-132-7237,,Solutia,4652 outervale lane,hag51,91.0,0.0,M,,8.0,1219620.0,v6m 1q3,,sibby,Canada,OH,hagar,563.0
2.0,O,Dallas,m,1-821-089-2089,,,341 dunbar west,Bet52,17.0,3.0,M,,4.0,1718910.0,X7j 1r1,,ericha,United States of America,WY,Betcher,391.0
4.0,O,San Jose,m,1-135-391-9787,,A.O. Smith,16176 vernon drive,Van53,6.0,4.0,S,66244.0,8.0,,B8b 1z5,,Janson,United States of America,NJ,Van der,381.0
0.0,U,Bellevue,F,1-776-182-6215,,AptarGroup,23131 clint way,O'L54,89.0,3.0,S,426954.0,9.0,2636424.0,t5d 1v4,,Dorotea,United States of America,ND,O'LEARY,539.0
5.0,O,San Buenaventura,m,1-079-780-7761,,Coca-Cola,11640 baltic upper,and55,99.0,4.0,M,126891.0,0.0,1326305.0,V6t 1r2,,Denice,United States of America,NC,anderson,497.0
4.0,O,St. Louis,,1-504-346-4393,,Kimberly-Clark,20796 dolores drive,sta56,77.0,2.0,M,454196.0,,2241997.0,91177,,Myron,Canada,WV,starks,661.0
5.0,R,Pueblo,,1-985-538-4351,,Visteon,14359 COMMERCE WEST,CHA57,,3.0,S,163940.0,0.0,1542891.0,T5c 1t1,Apt. 275,Barby,United States of America,GA,CHASSE,558.0
,O,Regina,R,1-254-097-9398,,TECO Energy,21448 hampton boulevard,ASI58,90.0,1.0,W,365213.0,,797918.0,35862,,Ariella,Canada,Ontario,ASING,534.0
0.0,U,Saskatoon,f,1-545-924-9552,,Bemis,7637 pershing way,ask59,82.0,0.0,M,428739.0,6.0,347654.0,96820,,ADEY,United States of America,MA,askins,373.0
4.0,O,Jackson,,1-984-233-8818,K,Wyeth,11529 arcana boulevard,Kik60,,0.0,M,142444.0,8.0,2456397.0,75238,,GAYEL,United States of America,CA,Kikuta,382.0
3.0,O,St. Petersburg,F,1-528-691-1642,,United Technologies,2700 windwood north,Cha61,15.0,3.0,S,416168.0,10.0,1284229.0,85769,,Man,United States of America,SD,Chane,475.0
2.0,O,Scottsdale,m,,U,Clorox,22279 gramercy road,KIL62,,0.0,D,291420.0,3.0,618787.0,H5i 1o9,,Klara,United States of America,Saskatchewan,KILLEN,539.0
4.0,O,Charlotte,f,1-171-807-8213,,Discovery Communications,9828 west east,kin63,96.0,5.0,M,413501.0,6.0,1171606.0,90849,,Abdalla,United States of America,RI,kinley,711.0
4.0,O,Waterbury,,1-056-241-7009,,Williams-Sonoma,5935 mcafee park,MAL64,38.0,,M,,1.0,3983261.0,43644,,bal,United States of America,NC,MALAHER,606.0
3.0,O,Chesapeake,,1-389-414-0570,J,Manitowoc,12460 CLAYTON STREET,Odu65,10.0,3.0,W,419143.0,0.0,2328568.0,99213,,Romy,United States of America,SD,Odum,494.0
1.0,O,Hialeah,,1-583-542-1656,,Henry Schein,275 3rd drive,DI 66,72.0,5.0,M,155057.0,3.0,2078600.0,72226,,KORAL,United States of America,IL,DI NINNO,309.0
2.0,O,Charleston,,1-269-712-0672,K,Trinity Industries,6907 FERNCLIFF CRESCENT,STU67,97.0,5.0,M,313859.0,3.0,2986155.0,V6Z 1Q9,,YUKIHIKO,United States of America,OR,STUBBLEFIELD,630.0
4.0,O,Salem,,1-670-102-0463,,Pepsi Bottling,885 crosby lane,HAM68,48.0,1.0,S,265907.0,10.0,1864039.0,20082,,Khanh,United States of America,Ontario,HAMBALI,330.0
,O,Sacramento,m,1-699-726-3895,,UGI,2344 kalani west,LIB69,97.0,0.0,S,283481.0,9.0,1293721.0,35827,,Darnell,Canada,FL,LIBRARIAN,710.0
4.0,R,Santa Clarita,M,1-640-666-2876,,Greif,22870 LA CIENEGA STREET,ohs70,73.0,0.0,M,200635.0,7.0,3850114.0,99692,,feridoun,United States of America,NM,ohsone,475.0
0.0,O,Sherbrooke,,1-540-639-1311,O,Equifax,8478 green avenue,HUM71,71.0,1.0,U,434519.0,3.0,1618743.0,V6c 1q5,APT. 143,Magdy,United States of America,NE,HUMMEL,596.0
5.0,O,Colorado Springs,,1-285-874-8492,,,23639 purdue rue,BRA72,93.0,1.0,W,392315.0,9.0,3383487.0,80158,,jiri,United States of America,MI,BRADD,670.0
5.0,O,Berkeley,,1-121-904-0040,X,Freescale Semiconductor,19202 ansley park,Boa73,53.0,3.0,U,493829.0,,2981876.0,t6d 1b6,,AILA,United States of America,New Brunswick,Boarder,722.0
3.0,O,San Buenaventura,,1-017-842-3201,,Aleris International,11319 devonshire rue,Mcn74,32.0,2.0,U,97489.0,7.0,2109339.0,33120,,Vincenzo,United States of America,NJ,Mcnally,587.0
4.0,O,New Haven,F,1-215-859-3206,,,23665 deerwood park,MAR75,1.0,3.0,S,,4.0,791803.0,99742,,Minnnie,United States of America,ND,MARKOVICH,609.0
0.0,O,Shreveport,f,1-764-520-7470,,World Fuel Services,4855 union north,Wil76,39.0,1.0,S,383046.0,7.0,3523678.0,V6N 1T1,,alfonzo,United States of America,Saskatchewan,Willekes,401.0
4.0,,Lansing,m,1-414-130-0162,S,R.R. Donnelley & Sons,9466 SHADOWBRIAR WEST,Dea77,77.0,0.0,M,1190.0,0.0,1681902.0,44104,,Swandi,United States of America,KS,Deacetis,335.0
5.0,O,Pembroke Pines,,1-970-240-9990,,Brinker International,3504 regency avenue,Hou78,18.0,5.0,U,85733.0,7.0,3851455.0,14605,,Anya,United States of America,SD,Houk,569.0
0.0,R,Palmdale,,1-408-684-6459,,Temple-Inland,7281 northland lower,Goy79,70.0,2.0,M,387890.0,9.0,2339382.0,80076,,Enrika,Canada,FL,Goyette,
2.0,O,Savannah,f,1-330-353-5908,Z,Psychiatric Solutions,12481 hayden lower,Mok80,26.0,0.0,S,16808.0,7.0,,V6I 1V6,,SONJA,United States of America,Saskatchewan,Mok-fung,679.0
,,Amarillo,,1-766-726-2675,I,Nash-Finch,2328 gracie avenue,Run81,,4.0,M,304589.0,10.0,2065016.0,97307,,Liem,United States of America,FL,Rundle,356.0
2.0,R,Anchorage,o,1-938-425-7509,,AMR,4737 campbell street,BEL82,58.0,5.0,S,48506.0,9.0,2454049.0,46237,,COLLETTE,United States of America,UT,BELLEY,308.0
0.0,O,Louisville,,1-527-308-8874,Y,Spartan Stores,2401 stratmore lower,BAE83,43.0,4.0,M,,4.0,2423395.0,V6B 1S6,,SIAMACK,United States of America,WY,BAER,412.0
2.0,O,Hilo,f,1-810-590-0635,,Cigna,21477 JUNIPER CRESCENT,MAU84,65.0,3.0,D,358862.0,4.0,1342045.0,H2d 1x1,,Toshihiro,United States of America,NH,MAULDIN,618.0
5.0,O,Sudbury,,1-274-548-2512,,General Cable,19214 YAUPON BOULEVARD,Koo85,24.0,3.0,S,477614.0,5.0,861756.0,95108,,Casey,United States of America,AR,Koohgoli,429.0
3.0,O,Orlando,,1-649-754-4601,,Dun & Bradstreet,7785 rusk boulevard,Lau86,79.0,1.0,S,175414.0,3.0,1215349.0,80050,,Daryn,United States of America,CT,Lauriston,819.0
0.0,O,Missoula,F,1-905-932-1785,L,Casey's General Stores,18002 cantrell upper,Man87,48.0,1.0,M,427598.0,7.0,3981554.0,90122,,Adrianna,Canada,VT,Mangum,552.0
0.0,O,Abilene,,1-031-004-7697,,Jack in the Box,23341 brookside upper,PIE88,69.0,4.0,S,368207.0,9.0,3865937.0,43614,,Cortney,United States of America,Manitoba,PIERCY,587.0
3.0,O,Saskatoon,M,1-994-812-4796,,Assurant,20494 ROSS WEST,Bus89,91.0,1.0,S,449944.0,6.0,2804700.0,61110,,Duane,United States of America,NJ,Buscaglia,304.0
5.0,U,Irvine,,1-176-513-4041,,Psychiatric Solutions,17552 SAVANNAH NORTH,BAB90,75.0,5.0,,166247.0,4.0,3283558.0,70174,,Tele,United States of America,KY,BABIONE,795.0
1.0,O,Reno,M,1-072-244-6337,,Danaher,4462 pace crescent,Bur91,85.0,3.0,S,391165.0,2.0,450524.0,90324,APT. 373,Ophelia,United States of America,GA,Burkard,830.0
5.0,R,Sacramento,,1-924-669-9328,,Clorox,7161 tallowood upper,Kin92,76.0,3.0,M,165854.0,3.0,,s7d 1n1,,lorine,United States of America,NJ,Kinsella,709.0
2.0,O,Topeka,,1-598-488-3541,,Boyd Gaming,3489 silver sage west,POM93,68.0,1.0,S,326181.0,8.0,,93829,,Viole,United States of America,SC,POMMAINVILLE,493.0
3.0,O,Rancho Cucamonga,M,1-295-539-3868,,Eaton,12481 hayden lower,BOA94,95.0,,M,173387.0,,633760.0,89116,,Nani,United States of America,TN,BOATWRIGHT,680.0
1.0,R,Hilo,,1-554-020-0267,R,Dynegy,13210 3RD DRIVE,Ron95,15.0,5.0,M,301127.0,,3634954.0,94315,,cherey,United States of America,WY,Ronald,800.0
1.0,R,Saint John,,1-793-621-4566,A,AmeriCredit,8899 starling lane,wei96,17.0,5.0,M,487230.0,4.0,799268.0,T5b 1u9,,Redgie,United States of America,Ontario,weihs,614.0
4.0,R,Torrance,M,1-787-267-4261,P,SLM,11480 fennel south,Hel97,94.0,0.0,,425747.0,6.0,39093.0,T6b 1a5,,Yousef,Canada,DC,Helpb,763.0
4.0,O,Santa Clara,m,1-668-247-1597,,NV Energy,7266 cherry upper,mog98,70.0,4.0,S,401946.0,3.0,2705353.0,60699,,Damaris,United States of America,Alberta,moghe,561.0
1.0,O,Torrance,,1-901-346-8890,,Landstar System,10678 ENGLEWOOD WEST,boz99,29.0,2.0,S,425422.0,4.0,3565153.0,V6p 1s8,,Ilyssa,United States of America,ME,bozicevich,569.0
4.0,O,Stockton,,1-451-273-3803,R,Pacific Life,21181 2ND RUE,Zah100,52.0,1.0,M,208890.0,5.0,2832204.0,v6i 1p1,,Moselle,United States of America,MA,Zaharychuk,634.0
5.0,O,Paterson,F,1-129-499-9136,,Textron,22963 hanover road,And101,51.0,3.0,U,67880.0,10.0,2194345.0,79423,,Dulsea,United States of America,NV,Andric,488.0
2.0,O,Mesa,,1-899-319-0772,L,Pfizer,8268 cliffbrook boulevard,Bam102,24.0,3.0,W,133412.0,5.0,3737140.0,H5j 1o6,,Lyndsie,Canada,WA,Bamfo,788.0
3.0,O,Anchorage,,1-053-396-0441,,Cigna,5118 montview court,fro103,98.0,4.0,D,144829.0,8.0,464753.0,93761,,KESLEY,United States of America,WY,frondozo,333.0
1.0,U,Miami,,1-239-665-9540,J,Ameren,17442 tallowood upper,Car104,59.0,1.0,M,,,596696.0,76150,,LAUREL,United States of America,NJ,Caron,601.0
3.0,O,Great Falls,f,1-605-888-3403,V,Consolidated Edison,4038 WEDGEWOOD STREET,muc105,49.0,4.0,U,143682.0,2.0,1504753.0,99717,,Steen,Canada,LA,muchow,595.0
0.0,O,Erie,,1-630-604-2543,,Occidental Petroleum,20334 anaconda avenue,gat106,1.0,1.0,U,350020.0,10.0,3049281.0,60608,,noel,United States of America,TX,gateau,433.0
0.0,O,Hollywood,F,1-851-862-7928,M,Sherwin-Williams,5385 young west,Sch107,79.0,,U,435103.0,10.0,247478.0,v6w 1u4,,Tracey,United States of America,SC,Schaefer,403.0
1.0,R,Tulsa,,1-065-415-5724,,Affiliated Computer Services,2747 SINCLAIR LANE,pom108,6.0,5.0,,207768.0,3.0,2750301.0,T5b 1t6,,Sarajane,United States of America,TX,pomerleau,615.0
0.0,O,Tucson,F,1-408-512-1007,K,Valassis Communications,8622 BROWNWAY PARK,cuc109,70.0,4.0,M,407512.0,1.0,721333.0,23298,,Geoffrey,United States of America,MN,cucuzzella,735.0
3.0,O,Anchorage,q,1-083-902-4184,Z,,18048 GREEN NORTH,SUG110,23.0,0.0,S,403366.0,1.0,669440.0,32803,,loralyn,United States of America,ID,SUGARMAN,668.0
3.0,O,Sandy,,1-568-403-7081,,Smithfield Foods,18994 country boulevard,Pep111,78.0,5.0,M,384095.0,,2473979.0,64122,,andrei,Canada,MI,Pepe,349.0
4.0,,Boston,f,1-824-389-0618,,,16063 ashland road,Cha112,79.0,,S,288969.0,,3545170.0,T6b 1h2,SUITE 7,javad,United States of America,OK,Chandrashekar,654.0
2.0,O,Vancouver,m,1-174-210-2058,U,TD Ameritrade,19309 mcfarlin north,SEI113,72.0,3.0,U,233665.0,6.0,1494871.0,22222,Apt. 971,Karna,United States of America,UT,SEIFERS,361.0
4.0,U,Akron,F,1-425-503-7952,S,Comerica,2454 cliffbrook west,GAR114,31.0,0.0,S,147236.0,1.0,436164.0,T6a 1d2,,Jocelyn,Canada,PA,GARTLEY,427.0
0.0,O,Lancaster,M,1-012-389-9089,,Steel Dynamics,15865 strand west,Tou115,86.0,3.0,W,452557.0,1.0,1069481.0,v5d 1n9,,Elvera,United States of America,New Brunswick,Touchette,322.0
2.0,R,Concord,M,1-909-472-6704,V,Coca-Cola Enterprises,13776 east boulevard,Kur116,,0.0,S,179305.0,9.0,,23321,,Nessy,United States of America,UT,Kurdziel,792.0
3.0,O,Chesapeake,,1-622-167-5411,,News Corp.,10570 WEIZMANN LOWER,Her117,87.0,0.0,U,205817.0,2.0,2957261.0,90505,,lona,Canada,VA,Herod,478.0
,O,Flint,,1-164-511-9338,P,,15278 walnut hill road,MCV118,92.0,5.0,M,262711.0,1.0,228459.0,19066,,RHEA,United States of America,NH,MCVICAR,477.0
1.0,O,Chattanooga,F,1-804-532-9163,,Stater Bros. Holdings,23007 WAKEFOREST WAY,LAB119,4.0,5.0,M,84810.0,6.0,67267.0,v6s 1r3,,Josefa,Canada,VT,LABFIVE,449.0
2.0,O,Billings,,1-197-370-0297,,BorgWarner,9088 rivas way,but120,8.0,4.0,U,96441.0,2.0,1087978.0,78769,,alikee,United States of America,FL,butta,466.0
0.0,O,Scottsdale,m,1-337-042-5687,,CB Richard Ellis Group,18798 ullrich road,Pro121,97.0,5.0,M,462762.0,2.0,3885967.0,53769,,dolorita,United States of America,NC,Projects,483.0
5.0,O,Oshawa,,1-056-138-5321,,Zimmer Holdings,18517 HULEN LOWER,Irc122,,4.0,D,141890.0,4.0,3271101.0,H7E 1U6,,Marilyn,United States of America,VA,Irc,588.0
5.0,O,Naperville,,1-776-191-2031,G,Mohawk Industries,11474 dodd lane,Ziv123,40.0,5.0,,156610.0,2.0,,e7o 1k1,,robertson,Canada,DC,Zivkovic,313.0
1.0,R,Tampa,,1-280-696-2706,H,Berkshire Hathaway,9375 wood south,sim124,95.0,4.0,U,164752.0,1.0,1999133.0,90374,,Ilsa,United States of America,NC,simser,647.0
1.0,O,Jackson,,1-857-581-6346,I,Saks,20479 wise avenue,kei125,92.0,5.0,S,278949.0,2.0,1100786.0,63169,,Pen,United States of America,MS,keifer,430.0
0.0,O,Hay River,f,,P,Gardner Denver,19918 ROGERS NORTH,arv126,67.0,5.0,W,,8.0,563992.0,16515,,AUBRETTE,United States of America,SC,arvin,467.0
3.0,O,Irvine,F,1-716-343-0884,,Hasbro,9284 coffey lower,Pra127,24.0,2.0,M,463736.0,7.0,962397.0,85309,,Cole,United States of America,KS,Praeuner,399.0
2.0,O,Idaho Falls,m,1-101-776-2496,C,CBS,2929 north crescent,lue128,26.0,3.0,M,,5.0,1064169.0,92158,,liva,United States of America,VT,lue,654.0
2.0,O,Moreno Valley,f,1-769-028-0589,,Synnex,15404 queen street,Prz129,62.0,0.0,S,86667.0,3.0,2100059.0,33152,,Ayaz,United States of America,IL,Przybycien,378.0
5.0,O,Ontario,f,1-005-833-8970,J,Belden,1619 greenspoint road,pen130,37.0,1.0,W,193470.0,10.0,99025.0,83729,,YETTY,United States of America,FL,penn,338.0
5.0,R,Concord,,1-884-215-4243,S,Broadcom,21477 WARREN PARK,Gua131,71.0,0.0,S,406379.0,10.0,3865481.0,B8b 1z6,,Mary-michelle,United States of America,MI,Guay,695.0
1.0,U,Phoenix,F,,,Reynolds American,6503 ROBBINS STREET,bre132,29.0,3.0,M,480595.0,7.0,804544.0,53717,,agretha,Canada,Newfoundland,brennand,614.0
4.0,O,Coral Springs,f,1-725-177-7815,X,Wells Fargo,3958 GLEN LOCH BOULEVARD,Sav133,89.0,5.0,S,181718.0,7.0,3143356.0,t5c 1w7,,LOTTY,United States of America,ME,Savanh,307.0
0.0,O,Oxnard,,1-277-496-5396,Z,Retail Ventures,13640 ethridge lower,ABB134,11.0,3.0,M,468310.0,2.0,,37245,,Kassey,United States of America,AL,ABBATANTUONO,331.0
2.0,O,Brownsville,M,1-756-463-2201,N,AT&T,3981 imperial lower,OP135,20.0,0.0,S,354987.0,2.0,2311953.0,94401,,Adria,United States of America,IN,OP,638.0
3.0,O,Memphis,,1-261-338-7463,,Wynn Resorts,13210 3rd drive,Mer136,75.0,5.0,W,284539.0,3.0,3120608.0,B8a 1y3,,audivox,Canada,NH,Mersinger,703.0
0.0,O,Flint,F,1-811-086-4675,,Eastman Kodak,9297 THROCKMORTON SOUTH,rut137,95.0,5.0,S,213725.0,7.0,2058270.0,t6b 1k2,,SUE,United States of America,DC,rutt,302.0
2.0,O,Lafayette,,1-338-771-1185,I,Aramark,8935 YOUNG UPPER,bem138,0.0,3.0,U,74195.0,,1511983.0,85306,,Lorenza,United States of America,DC,bemis,522.0
5.0,O,Greensboro,,1-554-231-5318,,ENSCO International,3797 RUTGERS PARK,Pen139,73.0,1.0,M,169295.0,,439080.0,V6R 1R7,,Enzo,United States of America,MD,Pennington,
1.0,R,Sterling Heights,M,1-733-886-5227,Y,Auto-Owners Insurance,8285 tamarind crescent,tor140,39.0,0.0,W,307832.0,5.0,921255.0,68513,,claudina,United States of America,Prince Edward Island,torok,833.0
