AgID,Pho,C,LaNa,In,NumC,NWo,FirN,A,MarSt,NumChi,Sta,Coun,CreRat,OwOReF,Em,NuCrCar
Lwx7526,1-089-966-6281,Sterling Heights,Lwxudfgcqawccntqaucdaeym,,0.0,3116283.0,Pdcxrihnl,49.0,M,2.0,Prince Edward Island,United States of America,469.0,U,Procter & Gamble,4.0
epy7527,,Pembroke Pines,epyxtfsrijhddstgaxkbgmlayjtk,391354.0,3.0,2671950.0,Zckhcacwaelzutaodqalxyjrkh,72.0,S,0.0,Quebec,United States of America,595.0,O,Ingles Markets,2.0
Aff7528,1-231-342-6874,Philadelphia,Affcha,419165.0,3.0,3899593.0,sqrosgqnpifxjx,41.0,U,0.0,KS,United States of America,410.0,O,Forest Laboratories,1.0
mfc7529,,Glendale,mfcestd,396509.0,3.0,2537332.0,Erqzkkllazeobgthnmgsbtj,54.0,W,2.0,NV,Canada,475.0,O,Dentsply International,10.0
Slf7530,1-602-637-1838,El Monte,Slfbmvc,145161.0,0.0,733236.0,Lcziayaozecoqqluasolkmmcldm,11.0,,2.0,TN,United States of America,,R,RadioShack,2.0
Cxu7531,1-003-982-8627,Warwick,Cxuousxqyrfgjvpvuopyfguqva,263206.0,2.0,,Gcnczmuxviqaxtsdzmzhtro,0.0,W,5.0,WY,United States of America,519.0,O,Century Aluminum,3.0
GZO7532,1-136-358-6852,Milwaukee,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,190371.0,3.0,3397276.0,Rsoobsqytvjycob,27.0,D,3.0,British Columbia,United States of America,841.0,U,,5.0
DRW7533,1-123-528-2965,Phoenix,DRWTVTDSG,203968.0,3.0,2444257.0,Pjvadgt,95.0,U,1.0,LA,United States of America,540.0,O,FPL Group,6.0
set7534,1-136-565-2501,Anchorage,setksinlvlrjwnfu,428323.0,1.0,71520.0,GUBKOKITTSKVYM,35.0,U,3.0,HI,United States of America,540.0,R,Lockheed Martin,10.0
Pyo7535,1-317-986-1984,Madison,Pyoixliri,159980.0,4.0,1911091.0,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,96.0,M,1.0,NY,United States of America,,O,Sanmina-SCI,6.0
FSH7536,1-265-603-1262,Fontana,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,266852.0,0.0,988775.0,Kuteauo,96.0,W,0.0,TX,Canada,424.0,O,Iron Mountain,6.0
Tdx7537,,Charlotte,Tdxyljuxporjhdumcvfmv,206973.0,5.0,3919363.0,Hkfofpndygljbeo,49.0,M,5.0,AZ,United States of America,623.0,R,OfficeMax,2.0
Sbn7538,1-156-668-6882,Richmond,Sbnxcsrozzcufdoyvckpplofysx,258221.0,5.0,428918.0,Kengxgsu,,S,1.0,ME,Canada,792.0,O,AMR,4.0
Piq7539,1-164-648-3203,Santa Clarita,Piqizouhxiw,428508.0,4.0,58134.0,Plywuoa,27.0,S,4.0,NH,United States of America,718.0,O,Kohl's,6.0
IXD7540,1-839-795-1027,Yellow Knife,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,,4.0,3703767.0,zfcwsxpjzyqelkxg,98.0,M,0.0,KY,,401.0,O,Cigna,6.0
wsn7541,1-958-412-4252,Oxnard,wsnjomkxbtybfnmtcjhvmblfwamnwd,58953.0,4.0,433859.0,Yxvczhqjwgnhowiu,,M,5.0,Prince Edward Island,United States of America,557.0,R,West,2.0
Jkp7542,1-392-335-1020,Huntington Beach,Jkpmtcj,409682.0,5.0,3002044.0,Grkknjyfgbhtyrhxzeaoeoyirwfa,56.0,W,5.0,British Columbia,United States of America,393.0,O,Monsanto,7.0
CCF7543,1-912-050-7605,Durham,CCFFVCOHCLUUXZIQTCFCUHEYN,340191.0,2.0,1124168.0,Vfrdst,94.0,M,4.0,CT,United States of America,557.0,,Reliant Energy,10.0
ylj7544,1-075-551-9919,Naperville,yljvuglvt,238216.0,4.0,2081541.0,Hqcswumjvwbemosmy,98.0,U,5.0,WA,United States of America,465.0,O,Idearc,5.0
ZBB7545,1-013-611-2674,Albuquerque,ZBBXAWVJAAL,113171.0,0.0,1897076.0,Ectbhkmbvwkwdbn,8.0,M,1.0,ND,Canada,,O,Neiman Marcus,6.0
fqe7546,1-656-865-7544,Newark,fqekemquvstw,234797.0,5.0,235172.0,Bdbgqpllbnrmiirpct,90.0,W,,ID,United States of America,485.0,,O'Reilly Automotive,10.0
Wpw7547,1-879-870-7379,Miami,Wpwhilrlzng,225322.0,4.0,639573.0,Ftszluaxcsoxdfbmdd,34.0,M,2.0,Quebec,United States of America,303.0,,Cliffs Natural Resources,2.0
vpz7548,1-366-625-9813,London,vpzxgcwljllsq,192689.0,1.0,2667082.0,Qrdnpjquwnixfocqhsrlkcxmelwijl,25.0,W,2.0,ID,Canada,846.0,O,Health Management Associates,4.0
Yfz7549,1-359-462-7089,Worcester,Yfzmtcvxc,348685.0,5.0,2598634.0,Kkiolpmrgzmnjanqc,50.0,,4.0,AL,Canada,621.0,O,Chevron,1.0
dou7550,,Jacksonville,douvwdwiwrxoivzaojazinrhswjv,401229.0,3.0,1074671.0,unzegilpp,85.0,D,4.0,UT,United States of America,331.0,O,Exide Technologies,
FDJ7551,1-153-396-8333,Nashua,FDJOVRSOCWEIKZ,38597.0,5.0,2272997.0,xetqkitwlh,60.0,M,4.0,MS,United States of America,401.0,R,Convergys,9.0
ufu7552,1-144-623-1308,Newport News,ufutrfkevxnbupjcetrpltw,,2.0,702000.0,TWRRGULRYKYUWZYBQQFMIFFKVK,95.0,S,2.0,AK,United States of America,644.0,R,Dominion Resources,0.0
bbg7553,1-269-220-8046,Corona,bbgzmquoeecumw,161204.0,4.0,1289800.0,Yqfljvgkfucafpjpamdtcppiipc,8.0,M,1.0,VT,United States of America,769.0,R,Sentry Insurance Group,5.0
Znk7554,1-052-524-0130,Lincoln,Znkkdbkvxcxeuackyodqlkpl,202650.0,3.0,1007390.0,mjeasoritwctufyojamzbeeoo,31.0,M,4.0,LA,,481.0,O,Cintas,2.0
CGQ7555,1-335-871-6660,Toronto,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,,1.0,124290.0,Udxaujgiratgthwkvdibgvwfo,51.0,U,2.0,CT,Canada,732.0,O,Medtronic,7.0
add7556,1-637-394-8083,Fayetteville,addxtssyhezwro,492433.0,4.0,1820002.0,GHFUKZPOKMXWZF,24.0,M,4.0,UT,United States of America,802.0,O,Pride International,2.0
Anw7557,1-706-795-4208,Charlotte,Anwyusqezrjppzkaevffwljm,344858.0,2.0,2200347.0,ybtkiifyhbgchnuctnhnqspk,78.0,M,4.0,IN,Canada,329.0,O,A. Schulman,5.0
Hvt7558,1-622-347-5699,Tulsa,Hvtanebvipbdd,197290.0,5.0,3669569.0,Fhkymmgjsbmpduuffgavhfcxm,56.0,W,0.0,WI,United States of America,839.0,R,Oneok,0.0
Yqj7559,1-042-017-9368,Winston-Salem,Yqjaammjlhgpw,283654.0,2.0,2140537.0,DEZDTMSMWKALBRPALCFIME,50.0,U,,WA,United States of America,539.0,,Danaher,
Ztn7560,1-829-935-5979,Thousand Oaks,Ztnstwpjxatqveppicohpzilnn,317423.0,4.0,3258909.0,phoxfeiqoldgmnojmzunmargkla,52.0,M,5.0,LA,United States of America,561.0,R,Del Monte Foods,4.0
bni7561,1-076-726-5283,Lubbock,bnizllrrofn,399126.0,4.0,1825422.0,Upuabfflh,14.0,W,5.0,VT,United States of America,814.0,O,American Electric Power,2.0
swx7562,,Winnipeg,swxorhmdydwbrtdqxroghsddlpbdgi,398180.0,5.0,1845263.0,owagfolbfwjzeg,29.0,M,0.0,CT,United States of America,305.0,R,TJX,7.0
DSA7563,1-284-129-5920,Laredo,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,,2.0,1463114.0,Qdmppehqxloc,50.0,S,4.0,RI,United States of America,457.0,O,Philip Morris International,4.0
BXZ7564,1-128-308-8886,Overland Park,BXZUTWBUFSGPPXKR,485429.0,4.0,2354683.0,jqbetxkci,67.0,U,1.0,SC,United States of America,349.0,O,Cincinnati Financial,8.0
pcz7565,1-145-469-5971,Calgary,pczqycbwefse,118018.0,2.0,436677.0,Wsmywgbvwspgdwhmdxsqjwqb,22.0,M,0.0,British Columbia,United States of America,590.0,O,Stryker,0.0
Zqa7566,1-727-684-7767,Peoria,Zqaknviqngvemehvpzrcgkcvre,309693.0,5.0,2383335.0,ocgwi,20.0,U,4.0,CO,United States of America,533.0,O,Kansas City Southern,0.0
Htl7567,1-776-201-2472,Durham,Htltlfnvjctvvdvulpkhcbyfi,90718.0,4.0,2574739.0,Pcotdnngmurhkcd,75.0,W,0.0,TN,Canada,686.0,O,IDT,9.0
afw7568,1-767-942-1278,Pueblo,afwafvxxdr,280645.0,2.0,1596838.0,bvcosqzcleknjzvkygbawlc,60.0,U,0.0,CA,United States of America,582.0,O,Vornado Realty Trust,10.0
Wna7569,1-723-062-7266,Las Cruces,Wnakgzhqfhtavtvegjtdmdosnjr,231559.0,,591965.0,ECLENELTSXGTNWOP,,S,4.0,WY,United States of America,807.0,O,Dollar General,0.0
Mlh7570,,Chula Vista,Mlheqxaigtvjaynkffyqkpu,36898.0,3.0,3071440.0,Xdwexmrjat,48.0,S,5.0,SD,United States of America,819.0,O,Safeway,3.0
Gor7571,1-145-314-0862,San Diego,Gorjnqxjtefmomsbmtnogaerx,396786.0,2.0,2683081.0,xjwnvwdryqpcehelwzfhkkiuus,91.0,M,0.0,British Columbia,United States of America,311.0,R,Apache,5.0
ENX7572,1-735-104-7772,Chicago,ENXOMNHFVPYQSABETPUEKRKCL,344365.0,2.0,3850483.0,RNBABCYAFMQPBOHXNUXMXNU,98.0,U,5.0,NJ,United States of America,734.0,O,Lowe's,3.0
fgr7573,,Worcester,fgrdzzudzmwlluff,1205.0,4.0,1870617.0,Eyrtrqkljywvbcice,51.0,W,1.0,AK,United States of America,432.0,O,Lithia Motors,1.0
Ysh7574,1-518-116-1411,Honolulu,Yshzkx,276666.0,5.0,1249534.0,Opybrukftspofebjmspkjsgtobzsp,22.0,S,0.0,OH,United States of America,394.0,O,CH2M Hill,3.0
Mos7575,1-696-359-4829,Albuquerque,Mosqjrkdycyygfsljqadgfqoldb,497953.0,0.0,3789880.0,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,57.0,U,0.0,New Brunswick,United States of America,658.0,O,Tellabs,1.0
czu7576,1-352-678-5471,Oakland,czuvw,156048.0,1.0,3874445.0,kpofwgtomgijnm,38.0,M,2.0,IL,Canada,348.0,O,Phillips-Van Heusen,3.0
Ghr7577,1-906-600-9749,Billings,Ghrlcuscpesuzsdwqfwwbgh,63617.0,1.0,437353.0,Biflzgcqpqpbahquomftmjffohpwuy,68.0,M,5.0,AZ,United States of America,598.0,O,Wells Fargo,8.0
Rwk7578,1-093-018-2851,Pueblo,Rwkdeshuwhwvmvmdnckmuvdt,244849.0,2.0,2669917.0,ybdlwlwxispyswbiegrbsqqtywxr,93.0,U,2.0,NY,United States of America,505.0,O,Vornado Realty Trust,9.0
Uwi7579,1-302-096-9321,Sherbrooke,Uwinnbtdd,123585.0,4.0,1466537.0,Capzcewdt,48.0,S,3.0,WA,United States of America,839.0,R,New York Times,7.0
VXZ7580,1-915-044-3154,Sacramento,VXZTLDNZPYIFIKTIJRXS,391134.0,1.0,991860.0,XKBLVBCCYKMIXABVTOTVPZCJRII,96.0,S,1.0,GA,United States of America,672.0,U,Adobe Systems,2.0
Ayk7581,1-040-274-3474,Charlotte,Aykkkc,426759.0,5.0,,wmknfemsztimaphftadowlmbnp,58.0,M,5.0,AZ,United States of America,696.0,O,Valmont Industries,3.0
lho7582,1-678-397-2739,El Paso,lhodktal,451737.0,5.0,1816368.0,DHLVITRFJDXLTPAGMPMJ,63.0,W,3.0,NV,United States of America,448.0,O,UAL,5.0
rzi7583,1-679-345-9939,Mesa,rziprpcfwnirtuvrbfnuepq,180822.0,2.0,565246.0,Jdpqutldftwykfyhukveiaimoyyk,18.0,S,1.0,TN,United States of America,549.0,O,AFLAC,9.0
Wds7584,1-093-616-0613,Simi Valley,Wdsuorykxmvfxupyyjl,205843.0,4.0,1899339.0,Qiwemtdba,40.0,W,2.0,AL,United States of America,705.0,O,VeraSun Energy,0.0
Xsj7585,1-546-131-8988,St. Catharines,Xsjypvyfoqbiq,470985.0,4.0,3873239.0,JQKEDISZ,29.0,M,3.0,TX,United States of America,387.0,O,Magellan Health Services,6.0
Lux7586,1-477-186-7432,Washington,Luxkby,318225.0,2.0,767547.0,Gfuwa,21.0,U,1.0,WV,United States of America,359.0,,Emcor Group,7.0
wxw7587,1-965-848-6954,Chula Vista,wxwhwasadsmxchyhlgrvnurte,326044.0,2.0,1027999.0,CTTUYHUUMMDTX,41.0,M,2.0,ND,Canada,494.0,O,Peabody Energy,9.0
pfz7588,1-622-866-0937,Montpelier,pfzjoarqopfjtzjalxxxeq,,1.0,3428495.0,Wvtqm,56.0,M,1.0,Saskatchewan,United States of America,345.0,,State Farm Insurance Cos.,10.0
hlx7589,1-040-217-2014,Mesa,hlxshqpvshstjerwclb,187282.0,2.0,1827180.0,xuwgpsvzcpxtoerndtr,33.0,M,0.0,VA,United States of America,402.0,O,Humana,10.0
nyb7590,1-101-684-2373,New Haven,nybiaaw,,2.0,2070007.0,Hnnzpokbygacjjgybkskf,96.0,M,0.0,ND,United States of America,579.0,O,News Corp.,3.0
Ltt7591,1-386-426-5849,Indianapolis,Lttvvpjjavydrmbt,,2.0,,qsnivsknktiwjpqwnrlgftnmsrxkjc,35.0,,0.0,ND,United States of America,569.0,O,Torchmark,2.0
gsz7592,1-598-816-0126,Stockton,gszunimggpyfjzmivbwizzftuen,306946.0,0.0,3596263.0,pygsfvfpeofkdcugfvxdsqgmcgebfp,40.0,W,4.0,MS,United States of America,745.0,O,Rock-Tenn,9.0
Kwp7593,1-770-379-7700,Louisville,Kwpztgkknktyvdks,99663.0,0.0,3719999.0,Zgxsuo,10.0,D,,WY,,320.0,U,AGCO,1.0
AGM7594,,Atlanta,AGMCLBCUEPVBRKDKWAGBCFOLYET,482013.0,2.0,3058439.0,ganifmdaqbltccwbqijtkypcetuq,59.0,M,4.0,MA,United States of America,591.0,R,,4.0
Ocn7595,1-628-245-6238,Milwaukee,Ocnds,180476.0,1.0,2592932.0,IYCOMORWDFSEKN,70.0,M,0.0,AK,United States of America,,U,United Stationers,10.0
Cmw7596,1-813-787-2611,Fort Smith,Cmweamsabhudajyhpsohkpzcy,285682.0,4.0,1471273.0,vdvdlfz,69.0,M,5.0,PA,United States of America,417.0,,McCormick,5.0
Dit7597,1-362-897-1162,Knoxville,Ditjvpiidkjkvxssfnctzcczb,455032.0,0.0,,Sbwymtnwzhffkwjczlsnvrtcv,96.0,M,5.0,MA,United States of America,338.0,R,National Life Group,8.0
Rmm7598,1-952-919-4878,Idaho Falls,Rmmasnivkq,356141.0,3.0,2410816.0,qjjwbffbgxilxyarhjwdvo,9.0,S,,DC,United States of America,340.0,O,Hasbro,9.0
ekj7599,1-145-214-8009,Jacksonville,ekjvgcmzgobzeerrpfgefwvxlvfcua,165667.0,3.0,1059543.0,JIXUQX,39.0,U,3.0,RI,Canada,738.0,U,Tupperware Brands,5.0
wcq7600,1-328-944-9786,Stockton,wcqqbslcxugdqpbzbmbqvlahw,459767.0,0.0,379282.0,Eqrxuc,31.0,S,2.0,MA,United States of America,597.0,O,Covance,7.0
Klc7601,1-899-864-9421,Thousand Oaks,Klcanpomjmuwosnasroukafsxtufz,106459.0,2.0,3271265.0,PDAXUXBMPOVTKJUR,64.0,M,2.0,Alberta,United States of America,603.0,R,Interactive Brokers Group,4.0
Jrd7602,1-877-997-8896,Nashua,Jrdmn,51021.0,,1530364.0,Adftxl,38.0,D,1.0,AR,,662.0,U,SkyWest,5.0
GDQ7603,1-750-900-0823,Tallahassee,GDQESTOSFCKVLPZEQPNFIKQLTXB,494931.0,2.0,3731860.0,Gaksvvggpbleteofow,47.0,W,4.0,VA,United States of America,838.0,R,Best Buy,0.0
fnm7604,,Brownsville,fnmqzceohwapysohiuofkhjpwzgv,429859.0,5.0,2488858.0,Ijstknxzfzsvqmy,,M,2.0,OR,United States of America,791.0,O,Sears Holdings,9.0
Ymu7605,1-347-704-7823,Charlotte,Ymuvinagbzdhiwglzfacood,,1.0,2301347.0,jvhwyzbcwdrrqmlbvpjwbohhemm,76.0,S,4.0,ID,Canada,692.0,O,Frontier Oil,7.0
Pxj7606,1-228-976-2888,Oakland,Pxjmfwpwm,464086.0,0.0,1736571.0,nhhjbqktsr,60.0,W,3.0,IA,,673.0,O,Automatic Data Processing,8.0
Rsd7607,,Fort Wayne,Rsdlvo,207651.0,3.0,2399483.0,Lmhtjwddyqbzlxgv,73.0,U,,TN,Canada,331.0,O,,7.0
Qqh7608,1-760-429-1328,Chula Vista,Qqhwdyopkfs,260418.0,4.0,2982744.0,BXFLGQTJSJDQAUCXXJXWHTQU,37.0,U,,Nova Scotia,United States of America,744.0,O,Comerica,2.0
udq7609,1-253-879-8833,Peoria,udqexswxytatsvxw,,5.0,1611011.0,Tlaihggmhfiuezhjgps,50.0,M,1.0,Ontario,United States of America,446.0,U,Baldor Electric,6.0
Ghl7610,1-401-256-3483,Lexington,Ghlflxgkavpsqvkpun,316963.0,0.0,2999167.0,DSRXJZKFJTIVXLBAX,0.0,M,4.0,MD,Canada,,O,Commercial Metals,0.0
mtk7611,1-175-910-8245,Salem,mtkfmxripistepftjaxfosviokgqsf,84046.0,5.0,,Annsrbdzywmpqvigpn,,W,,AR,Canada,,O,,
QIY7612,1-565-191-3419,San Jose,QIYQRALNIIONMKDZB,368990.0,0.0,3307491.0,Mrawpcvb,,M,3.0,Saskatchewan,United States of America,723.0,O,Molina Healthcare,9.0
Ohz7613,1-921-688-5401,Kansas City,Ohzpaqjtc,124382.0,2.0,2057260.0,yociu,81.0,S,0.0,OH,Canada,348.0,O,Plains All American Pipeline,2.0
djg7614,1-925-155-0170,Windsor,djgtucxplpftr,9263.0,2.0,53179.0,DQNVNWPYSMLDGXJVBUHUKDLRSLN,52.0,M,0.0,VA,United States of America,666.0,O,Agilent Technologies,
Iad7615,1-185-691-2951,Chicago,Iaduje,334181.0,2.0,690086.0,wfnjfn,68.0,M,4.0,ID,United States of America,,U,AutoZone,3.0
EMG7616,1-067-518-3854,Evansville,EMGQKGEOTCGAFGDZVTRUAVGZYPM,314001.0,0.0,2025465.0,WWWEN,,M,1.0,WI,United States of America,844.0,R,,8.0
Hjn7617,1-188-554-1671,Honolulu,Hjnljezrxojeaoustvawackahexa,168309.0,1.0,695307.0,Krjcfgq,36.0,M,4.0,MS,Canada,766.0,O,Universal Health Services,8.0
CYP7618,1-168-215-2223,Cleveland,CYPTBBGPWKKKFNOUHJ,322765.0,2.0,3238398.0,Fxmpengjsaf,31.0,M,4.0,OK,United States of America,521.0,O,Time Warner,10.0
KPN7619,1-228-022-3056,Livonia,KPNRNVLRFUTOWOERTCSIRQZ,311253.0,1.0,1213578.0,Eobtk,55.0,W,5.0,GA,United States of America,306.0,O,Sealed Air,7.0
Vbi7620,1-926-766-1124,Little Rock,Vbimifwtrtvb,140296.0,5.0,103708.0,Abahrdfcbtscoblhaovnjkbx,66.0,W,5.0,TN,United States of America,411.0,R,Sprint Nextel,9.0
ehb7621,1-538-797-1948,Halifax,ehbcbdctlcspuvwbqveohanmkolbw,439984.0,1.0,1086081.0,bhephgijqbu,22.0,M,5.0,SC,United States of America,,O,,3.0
TMQ7622,1-627-234-0841,Peoria,TMQACIIUMYYZHYX,454011.0,5.0,1349626.0,KECNVVPGTOXHIGOUAWLHU,51.0,U,0.0,AR,United States of America,702.0,O,Quiksilver,8.0
Lsb7623,1-876-492-0782,San Jose,Lsbutxufufshmkqnscnhx,191541.0,1.0,1083092.0,xppmtvztaifqynlbmofxonnus,26.0,S,5.0,MT,United States of America,842.0,R,Valspar,1.0
Dpz7624,1-436-946-7319,Charlotte,Dpzpfctp,,2.0,1662799.0,kzntoukktuqqfuyeo,100.0,U,1.0,WY,United States of America,528.0,R,Timken,0.0
Zuj7625,1-281-780-2897,Hilo,Zujmcfzznpfohsdp,,3.0,3548540.0,TDRLAQZARCGRAMDDMCWP,13.0,W,3.0,WY,United States of America,300.0,R,,5.0
Jqk7626,1-421-286-4139,Yonkers,Jqkozdva,269215.0,2.0,881414.0,shbaeyxyrjfietruntrdeyqkc,11.0,S,1.0,WV,United States of America,752.0,O,Occidental Petroleum,7.0
ijb7627,1-908-354-2709,Modesto,ijbcvbgglqupyentiqncsnswyygl,193126.0,0.0,1712200.0,Zururxrihusergiba,62.0,M,4.0,CA,Canada,303.0,O,,0.0
NMO7628,1-466-560-2530,Louisville,NMOXMHMVUDGY,462618.0,3.0,847446.0,QZLCPVRKZMTENMREVZT,13.0,M,5.0,Alberta,United States of America,418.0,O,Massey Energy,10.0
Tef7629,1-578-686-8082,Eugene,Tefewe,212026.0,3.0,344294.0,dvbflygvxrizbclmqwoajkvnzoufc,23.0,W,3.0,New Brunswick,United States of America,667.0,O,Weyerhaeuser,4.0
Sdj7630,1-166-077-1436,Buffalo,Sdjhq,371024.0,1.0,1534879.0,mtnubdnrdoivcuqmapqhtvzkixw,51.0,D,4.0,British Columbia,United States of America,441.0,U,National Fuel Gas,7.0
Pbr7631,1-535-320-1881,Santa Fe,Pbrfgfdwedgrmifitr,235810.0,3.0,3897101.0,Nzljqsbgutsixlosfedpmlzl,2.0,U,2.0,DE,United States of America,471.0,O,Pep Boys,0.0
Ice7632,1-633-495-6478,Springfield,Icejebxweavlnddpjz,347270.0,2.0,3064442.0,Ealrdsynhtadihmsl,,W,,CT,United States of America,701.0,O,Neiman Marcus,9.0
ZWG7633,1-398-680-0278,Anchorage,ZWGIV,399212.0,5.0,2016524.0,xfjdwfentojva,82.0,D,2.0,Quebec,United States of America,323.0,R,BlackRock,1.0
Evw7634,1-185-976-7770,Winnipeg,Evwthrqmqfpsbpdqojtqzpjmpoea,439561.0,4.0,37745.0,Zvowaelneuhpxzphpvtgvfz,94.0,M,5.0,NJ,United States of America,846.0,O,McGraw-Hill,10.0
Lhl7635,1-490-238-8219,Waco,Lhlatzfku,29980.0,3.0,503752.0,fmdcjzjekrwrirumyvfuqnnkxzr,16.0,M,4.0,MN,United States of America,850.0,O,Family Dollar Stores,8.0
LYB7636,1-891-741-2112,Stockton,LYBUGCXZYJSERVQKQJKNIIW,28693.0,2.0,2115180.0,Ohetzpmilrphnhnasiisaypdl,43.0,M,5.0,NE,United States of America,,U,Teleflex,
