prospect_AgID,prospect_Coun,prospect_Ag,prospect_Ge,prospect_Pho,prospect_Em,prospect_Sta,prospect_NumCrCar,prospect_MiInit,prospect_MarSt,prospect_NuCa,prospect_Ci,prospect_Inc,prospect_NumChi,prospect_CrRa,prospect_OORF,prospect_NWo
HIV14,United States of America,73.0,,1-478-629-9641,Cenveo,MA,2.0,W,M,3.0,Toronto,34013.0,4.0,587.0,O,469408.0
Pes15,United States of America,26.0,,1-026-208-8595,Kelly Services,TN,6.0,,S,0.0,Denver,473462.0,2.0,472.0,O,1504480.0
CHI16,Canada,54.0,,1-432-681-4853,Viacom,TN,4.0,,M,5.0,St. Paul,499493.0,4.0,817.0,O,2763009.0
Din17,United States of America,87.0,,,Macy's,OK,0.0,,M,5.0,Bellevue,266928.0,4.0,441.0,R,2787199.0
De 18,United States of America,85.0,,1-357-207-6320,Gardner Denver,Ontario,6.0,M,M,2.0,Detroit,72444.0,3.0,848.0,O,2789368.0
Mck19,United States of America,86.0,m,1-462-774-1277,Family Dollar Stores,KY,8.0,,U,3.0,Omaha,77290.0,3.0,843.0,R,2784776.0
WIN20,United States of America,59.0,M,1-702-382-2898,,PA,,P,U,2.0,Costa Mesa,395066.0,0.0,,R,288747.0
BIT21,United States of America,94.0,,1-909-554-7120,Sun Microsystems,MD,0.0,,U,5.0,Berkeley,119283.0,3.0,300.0,O,876575.0
luz22,United States of America,,f,1-752-296-7940,Costco Wholesale,TX,8.0,V,U,1.0,St. Louis,330991.0,1.0,795.0,O,2041224.0
don23,United States of America,5.0,,1-995-554-5056,Illinois Tool Works,IN,5.0,S,,4.0,Colorado Springs,,0.0,367.0,U,2231509.0
Gia24,United States of America,23.0,,1-090-303-3807,Southern Union,MD,1.0,T,M,1.0,Fontana,252031.0,5.0,507.0,O,3206409.0
SPR25,United States of America,61.0,M,1-492-968-0932,Moog,KY,9.0,,M,3.0,St. Catharines,101800.0,1.0,362.0,O,3850037.0
SKA26,United States of America,,F,1-960-227-2020,Old Republic International,CA,7.0,,D,0.0,Hayward,436977.0,1.0,527.0,O,528440.0
Gar27,United States of America,51.0,m,1-431-122-8597,,FL,0.0,,S,0.0,Palmdale,495334.0,,354.0,O,597140.0
Dor28,United States of America,97.0,,1-822-836-7200,Great Plains Energy,Newfoundland,1.0,,M,1.0,Phoenix,274685.0,1.0,511.0,O,146931.0
DIO29,United States of America,52.0,,1-530-117-0497,Broadcom,TX,7.0,X,,2.0,Gary,320820.0,2.0,412.0,,353495.0
Mer30,Canada,98.0,m,1-051-257-2719,Discover Financial Services,WA,1.0,,S,4.0,Beaumont,195835.0,0.0,583.0,O,295647.0
Atc31,United States of America,47.0,,1-171-989-1363,UAL,MN,5.0,R,U,5.0,Nashua,108085.0,3.0,710.0,O,408941.0
Pla32,United States of America,47.0,m,1-042-705-3246,Charles Schwab,WY,9.0,X,M,2.0,San Jose,260185.0,1.0,380.0,O,362523.0
SEL33,United States of America,9.0,F,1-098-328-2026,Coach,NY,2.0,E,M,0.0,Nashua,258323.0,0.0,796.0,R,2102359.0
sha34,United States of America,85.0,f,1-209-754-5635,DaVita,SC,2.0,Z,M,1.0,Fort Smith,79476.0,3.0,818.0,U,3480265.0
MER35,United States of America,81.0,,1-498-781-3456,Marshall & Ilsley Corp.,MS,3.0,,M,5.0,Lancaster,102156.0,3.0,766.0,U,3648900.0
con36,United States of America,0.0,,1-615-241-0440,Cablevision Systems,UT,2.0,,M,2.0,Colorado Springs,221481.0,3.0,359.0,O,1161790.0
ons37,United States of America,28.0,M,1-995-449-5200,Barnes & Noble,PA,2.0,,S,1.0,Washington,41836.0,5.0,401.0,R,2050587.0
Sum38,Canada,65.0,M,1-295-673-4452,EMC,OK,0.0,,U,1.0,Lowell,72389.0,1.0,609.0,O,3579198.0
gro39,United States of America,20.0,,1-914-675-2986,Fluor,WY,2.0,F,S,3.0,Frederick,66486.0,0.0,630.0,O,889494.0
dil40,United States of America,55.0,,,Dollar General,RI,9.0,I,M,3.0,Mesa,200185.0,1.0,671.0,O,2205682.0
DOL41,United States of America,76.0,,1-825-739-0336,Lear,HI,10.0,,U,0.0,Lakewood,289215.0,2.0,715.0,O,1140117.0
Pos42,United States of America,1.0,,1-956-713-3802,J.P. Morgan Chase & Co.,VA,9.0,,M,4.0,Cleveland,322484.0,1.0,707.0,O,1421319.0
Mac43,United States of America,3.0,,1-814-932-1579,Affinia Group Intermediate,OK,0.0,,M,4.0,Grand Rapids,83458.0,2.0,329.0,O,3525204.0
che44,United States of America,100.0,,1-135-443-7282,,Prince Edward Island,8.0,,D,0.0,Peoria,,3.0,601.0,R,468976.0
hol45,United States of America,81.0,,1-720-975-0667,Goldman Sachs Group,SD,2.0,,W,5.0,Inglewood,492407.0,1.0,623.0,O,1685443.0
pfi46,United States of America,76.0,f,1-871-598-3505,E*Trade Financial,OH,2.0,,S,4.0,Akron,346630.0,4.0,376.0,O,337564.0
elk47,Canada,51.0,,1-607-222-4809,Pfizer,MA,0.0,Y,W,1.0,Charlottetown,9572.0,3.0,560.0,O,84777.0
Lab48,United States of America,,F,1-965-046-0642,Safeway,MD,4.0,,,1.0,Bellevue,265369.0,5.0,693.0,O,3146477.0
laf49,United States of America,58.0,,1-155-441-3579,Simon Property Group,Saskatchewan,0.0,Y,S,1.0,Dover,104172.0,2.0,346.0,U,495277.0
Nor50,United States of America,52.0,,,Trinity Industries,WA,0.0,I,M,0.0,Fullerton,65550.0,3.0,342.0,O,746904.0
hag51,Canada,91.0,,1-544-132-7237,Solutia,OH,8.0,,M,2.0,Denver,,0.0,563.0,R,1219620.0
Bet52,United States of America,17.0,m,1-821-089-2089,,WY,4.0,,M,2.0,Dallas,,3.0,391.0,O,1718910.0
Van53,United States of America,6.0,m,1-135-391-9787,A.O. Smith,NJ,8.0,,S,4.0,San Jose,66244.0,4.0,381.0,O,
O'L54,United States of America,89.0,F,1-776-182-6215,AptarGroup,ND,9.0,,S,0.0,Bellevue,426954.0,3.0,539.0,U,2636424.0
and55,United States of America,99.0,m,1-079-780-7761,Coca-Cola,NC,0.0,,M,5.0,San Buenaventura,126891.0,4.0,497.0,O,1326305.0
sta56,Canada,77.0,,1-504-346-4393,Kimberly-Clark,WV,,,M,4.0,St. Louis,454196.0,2.0,661.0,O,2241997.0
CHA57,United States of America,,,1-985-538-4351,Visteon,GA,0.0,,S,5.0,Pueblo,163940.0,3.0,558.0,R,1542891.0
ASI58,Canada,90.0,R,1-254-097-9398,TECO Energy,Ontario,,,W,,Regina,365213.0,1.0,534.0,O,797918.0
ask59,United States of America,82.0,f,1-545-924-9552,Bemis,MA,6.0,,M,0.0,Saskatoon,428739.0,0.0,373.0,U,347654.0
Kik60,United States of America,,,1-984-233-8818,Wyeth,CA,8.0,K,M,4.0,Jackson,142444.0,0.0,382.0,O,2456397.0
Cha61,United States of America,15.0,F,1-528-691-1642,United Technologies,SD,10.0,,S,3.0,St. Petersburg,416168.0,3.0,475.0,O,1284229.0
KIL62,United States of America,,m,,Clorox,Saskatchewan,3.0,U,D,2.0,Scottsdale,291420.0,0.0,539.0,O,618787.0
kin63,United States of America,96.0,f,1-171-807-8213,Discovery Communications,RI,6.0,,M,4.0,Charlotte,413501.0,5.0,711.0,O,1171606.0
MAL64,United States of America,38.0,,1-056-241-7009,Williams-Sonoma,NC,1.0,,M,4.0,Waterbury,,,606.0,O,3983261.0
Odu65,United States of America,10.0,,1-389-414-0570,Manitowoc,SD,0.0,J,W,3.0,Chesapeake,419143.0,3.0,494.0,O,2328568.0
DI 66,United States of America,72.0,,1-583-542-1656,Henry Schein,IL,3.0,,M,1.0,Hialeah,155057.0,5.0,309.0,O,2078600.0
STU67,United States of America,97.0,,1-269-712-0672,Trinity Industries,OR,3.0,K,M,2.0,Charleston,313859.0,5.0,630.0,O,2986155.0
HAM68,United States of America,48.0,,1-670-102-0463,Pepsi Bottling,Ontario,10.0,,S,4.0,Salem,265907.0,1.0,330.0,O,1864039.0
LIB69,Canada,97.0,m,1-699-726-3895,UGI,FL,9.0,,S,,Sacramento,283481.0,0.0,710.0,O,1293721.0
ohs70,United States of America,73.0,M,1-640-666-2876,Greif,NM,7.0,,M,4.0,Santa Clarita,200635.0,0.0,475.0,R,3850114.0
HUM71,United States of America,71.0,,1-540-639-1311,Equifax,NE,3.0,O,U,0.0,Sherbrooke,434519.0,1.0,596.0,O,1618743.0
BRA72,United States of America,93.0,,1-285-874-8492,,MI,9.0,,W,5.0,Colorado Springs,392315.0,1.0,670.0,O,3383487.0
Boa73,United States of America,53.0,,1-121-904-0040,Freescale Semiconductor,New Brunswick,,X,U,5.0,Berkeley,493829.0,3.0,722.0,O,2981876.0
Mcn74,United States of America,32.0,,1-017-842-3201,Aleris International,NJ,7.0,,U,3.0,San Buenaventura,97489.0,2.0,587.0,O,2109339.0
MAR75,United States of America,1.0,F,1-215-859-3206,,ND,4.0,,S,4.0,New Haven,,3.0,609.0,O,791803.0
Wil76,United States of America,39.0,f,1-764-520-7470,World Fuel Services,Saskatchewan,7.0,,S,0.0,Shreveport,383046.0,1.0,401.0,O,3523678.0
Dea77,United States of America,77.0,m,1-414-130-0162,R.R. Donnelley & Sons,KS,0.0,S,M,4.0,Lansing,1190.0,0.0,335.0,,1681902.0
Hou78,United States of America,18.0,,1-970-240-9990,Brinker International,SD,7.0,,U,5.0,Pembroke Pines,85733.0,5.0,569.0,O,3851455.0
Goy79,Canada,70.0,,1-408-684-6459,Temple-Inland,FL,9.0,,M,0.0,Palmdale,387890.0,2.0,,R,2339382.0
Mok80,United States of America,26.0,f,1-330-353-5908,Psychiatric Solutions,Saskatchewan,7.0,Z,S,2.0,Savannah,16808.0,0.0,679.0,O,
Run81,United States of America,,,1-766-726-2675,Nash-Finch,FL,10.0,I,M,,Amarillo,304589.0,4.0,356.0,,2065016.0
BEL82,United States of America,58.0,o,1-938-425-7509,AMR,UT,9.0,,S,2.0,Anchorage,48506.0,5.0,308.0,R,2454049.0
BAE83,United States of America,43.0,,1-527-308-8874,Spartan Stores,WY,4.0,Y,M,0.0,Louisville,,4.0,412.0,O,2423395.0
MAU84,United States of America,65.0,f,1-810-590-0635,Cigna,NH,4.0,,D,2.0,Hilo,358862.0,3.0,618.0,O,1342045.0
Koo85,United States of America,24.0,,1-274-548-2512,General Cable,AR,5.0,,S,5.0,Sudbury,477614.0,3.0,429.0,O,861756.0
Lau86,United States of America,79.0,,1-649-754-4601,Dun & Bradstreet,CT,3.0,,S,3.0,Orlando,175414.0,1.0,819.0,O,1215349.0
Man87,Canada,48.0,F,1-905-932-1785,Casey's General Stores,VT,7.0,L,M,0.0,Missoula,427598.0,1.0,552.0,O,3981554.0
PIE88,United States of America,69.0,,1-031-004-7697,Jack in the Box,Manitoba,9.0,,S,0.0,Abilene,368207.0,4.0,587.0,O,3865937.0
Bus89,United States of America,91.0,M,1-994-812-4796,Assurant,NJ,6.0,,S,3.0,Saskatoon,449944.0,1.0,304.0,O,2804700.0
BAB90,United States of America,75.0,,1-176-513-4041,Psychiatric Solutions,KY,4.0,,,5.0,Irvine,166247.0,5.0,795.0,U,3283558.0
Bur91,United States of America,85.0,M,1-072-244-6337,Danaher,GA,2.0,,S,1.0,Reno,391165.0,3.0,830.0,O,450524.0
Kin92,United States of America,76.0,,1-924-669-9328,Clorox,NJ,3.0,,M,5.0,Sacramento,165854.0,3.0,709.0,R,
POM93,United States of America,68.0,,1-598-488-3541,Boyd Gaming,SC,8.0,,S,2.0,Topeka,326181.0,1.0,493.0,O,
BOA94,United States of America,95.0,M,1-295-539-3868,Eaton,TN,,,M,3.0,Rancho Cucamonga,173387.0,,680.0,O,633760.0
Ron95,United States of America,15.0,,1-554-020-0267,Dynegy,WY,,R,M,1.0,Hilo,301127.0,5.0,800.0,R,3634954.0
wei96,United States of America,17.0,,1-793-621-4566,AmeriCredit,Ontario,4.0,A,M,1.0,Saint John,487230.0,5.0,614.0,R,799268.0
Hel97,Canada,94.0,M,1-787-267-4261,SLM,DC,6.0,P,,4.0,Torrance,425747.0,0.0,763.0,R,39093.0
mog98,United States of America,70.0,m,1-668-247-1597,NV Energy,Alberta,3.0,,S,4.0,Santa Clara,401946.0,4.0,561.0,O,2705353.0
boz99,United States of America,29.0,,1-901-346-8890,Landstar System,ME,4.0,,S,1.0,Torrance,425422.0,2.0,569.0,O,3565153.0
Zah100,United States of America,52.0,,1-451-273-3803,Pacific Life,MA,5.0,R,M,4.0,Stockton,208890.0,1.0,634.0,O,2832204.0
And101,United States of America,51.0,F,1-129-499-9136,Textron,NV,10.0,,U,5.0,Paterson,67880.0,3.0,488.0,O,2194345.0
Bam102,Canada,24.0,,1-899-319-0772,Pfizer,WA,5.0,L,W,2.0,Mesa,133412.0,3.0,788.0,O,3737140.0
fro103,United States of America,98.0,,1-053-396-0441,Cigna,WY,8.0,,D,3.0,Anchorage,144829.0,4.0,333.0,O,464753.0
Car104,United States of America,59.0,,1-239-665-9540,Ameren,NJ,,J,M,1.0,Miami,,1.0,601.0,U,596696.0
muc105,Canada,49.0,f,1-605-888-3403,Consolidated Edison,LA,2.0,V,U,3.0,Great Falls,143682.0,4.0,595.0,O,1504753.0
gat106,United States of America,1.0,,1-630-604-2543,Occidental Petroleum,TX,10.0,,U,0.0,Erie,350020.0,1.0,433.0,O,3049281.0
Sch107,United States of America,79.0,F,1-851-862-7928,Sherwin-Williams,SC,10.0,M,U,0.0,Hollywood,435103.0,,403.0,O,247478.0
pom108,United States of America,6.0,,1-065-415-5724,Affiliated Computer Services,TX,3.0,,,1.0,Tulsa,207768.0,5.0,615.0,R,2750301.0
cuc109,United States of America,70.0,F,1-408-512-1007,Valassis Communications,MN,1.0,K,M,0.0,Tucson,407512.0,4.0,735.0,O,721333.0
SUG110,United States of America,23.0,q,1-083-902-4184,,ID,1.0,Z,S,3.0,Anchorage,403366.0,0.0,668.0,O,669440.0
Pep111,Canada,78.0,,1-568-403-7081,Smithfield Foods,MI,,,M,3.0,Sandy,384095.0,5.0,349.0,O,2473979.0
Cha112,United States of America,79.0,f,1-824-389-0618,,OK,,,S,4.0,Boston,288969.0,,654.0,,3545170.0
SEI113,United States of America,72.0,m,1-174-210-2058,TD Ameritrade,UT,6.0,U,U,2.0,Vancouver,233665.0,3.0,361.0,O,1494871.0
GAR114,Canada,31.0,F,1-425-503-7952,Comerica,PA,1.0,S,S,4.0,Akron,147236.0,0.0,427.0,U,436164.0
Tou115,United States of America,86.0,M,1-012-389-9089,Steel Dynamics,New Brunswick,1.0,,W,0.0,Lancaster,452557.0,3.0,322.0,O,1069481.0
Kur116,United States of America,,M,1-909-472-6704,Coca-Cola Enterprises,UT,9.0,V,S,2.0,Concord,179305.0,0.0,792.0,R,
Her117,Canada,87.0,,1-622-167-5411,News Corp.,VA,2.0,,U,3.0,Chesapeake,205817.0,0.0,478.0,O,2957261.0
MCV118,United States of America,92.0,,1-164-511-9338,,NH,1.0,P,M,,Flint,262711.0,5.0,477.0,O,228459.0
LAB119,Canada,4.0,F,1-804-532-9163,Stater Bros. Holdings,VT,6.0,,M,1.0,Chattanooga,84810.0,5.0,449.0,O,67267.0
but120,United States of America,8.0,,1-197-370-0297,BorgWarner,FL,2.0,,U,2.0,Billings,96441.0,4.0,466.0,O,1087978.0
Pro121,United States of America,97.0,m,1-337-042-5687,CB Richard Ellis Group,NC,2.0,,M,0.0,Scottsdale,462762.0,5.0,483.0,O,3885967.0
Irc122,United States of America,,,1-056-138-5321,Zimmer Holdings,VA,4.0,,D,5.0,Oshawa,141890.0,4.0,588.0,O,3271101.0
Ziv123,Canada,40.0,,1-776-191-2031,Mohawk Industries,DC,2.0,G,,5.0,Naperville,156610.0,5.0,313.0,O,
sim124,United States of America,95.0,,1-280-696-2706,Berkshire Hathaway,NC,1.0,H,U,1.0,Tampa,164752.0,4.0,647.0,R,1999133.0
kei125,United States of America,92.0,,1-857-581-6346,Saks,MS,2.0,I,S,1.0,Jackson,278949.0,5.0,430.0,O,1100786.0
arv126,United States of America,67.0,f,,Gardner Denver,SC,8.0,P,W,0.0,Hay River,,5.0,467.0,O,563992.0
Pra127,United States of America,24.0,F,1-716-343-0884,Hasbro,KS,7.0,,M,3.0,Irvine,463736.0,2.0,399.0,O,962397.0
lue128,United States of America,26.0,m,1-101-776-2496,CBS,VT,5.0,C,M,2.0,Idaho Falls,,3.0,654.0,O,1064169.0
Prz129,United States of America,62.0,f,1-769-028-0589,Synnex,IL,3.0,,S,2.0,Moreno Valley,86667.0,0.0,378.0,O,2100059.0
pen130,United States of America,37.0,f,1-005-833-8970,Belden,FL,10.0,J,W,5.0,Ontario,193470.0,1.0,338.0,O,99025.0
Gua131,United States of America,71.0,,1-884-215-4243,Broadcom,MI,10.0,S,S,5.0,Concord,406379.0,0.0,695.0,R,3865481.0
bre132,Canada,29.0,F,,Reynolds American,Newfoundland,7.0,,M,1.0,Phoenix,480595.0,3.0,614.0,U,804544.0
Sav133,United States of America,89.0,f,1-725-177-7815,Wells Fargo,ME,7.0,X,S,4.0,Coral Springs,181718.0,5.0,307.0,O,3143356.0
ABB134,United States of America,11.0,,1-277-496-5396,Retail Ventures,AL,2.0,Z,M,0.0,Oxnard,468310.0,3.0,331.0,O,
OP135,United States of America,20.0,M,1-756-463-2201,AT&T,IN,2.0,N,S,2.0,Brownsville,354987.0,0.0,638.0,O,2311953.0
Mer136,Canada,75.0,,1-261-338-7463,Wynn Resorts,NH,3.0,,W,3.0,Memphis,284539.0,5.0,703.0,O,3120608.0
rut137,United States of America,95.0,F,1-811-086-4675,Eastman Kodak,DC,7.0,,S,0.0,Flint,213725.0,5.0,302.0,O,2058270.0
bem138,United States of America,0.0,,1-338-771-1185,Aramark,DC,,I,U,2.0,Lafayette,74195.0,3.0,522.0,O,1511983.0
Pen139,United States of America,73.0,,1-554-231-5318,ENSCO International,MD,,,M,5.0,Greensboro,169295.0,1.0,,O,439080.0
tor140,United States of America,39.0,M,1-733-886-5227,Auto-Owners Insurance,Prince Edward Island,5.0,Y,W,1.0,Sterling Heights,307832.0,0.0,833.0,R,921255.0
law141,United States of America,76.0,m,1-267-357-1943,Bemis,MD,2.0,L,U,1.0,Costa Mesa,20397.0,1.0,,O,3810365.0
Bee142,United States of America,5.0,m,1-602-756-7919,Securian Financial Group,New Brunswick,6.0,D,U,2.0,Houston,463094.0,2.0,664.0,O,2641938.0
sch143,United States of America,65.0,m,1-793-864-7010,Ford Motor,HI,7.0,,U,4.0,Bakersfield,331900.0,1.0,789.0,O,3857323.0
Wit144,United States of America,94.0,,1-637-020-2921,ConAgra Foods,ND,0.0,,S,5.0,Chesapeake,8421.0,0.0,803.0,U,1636212.0
MER145,United States of America,95.0,F,1-428-797-6325,Charter Communications,Nova Scotia,3.0,Q,M,4.0,Sandy,35780.0,4.0,720.0,,2999082.0
bia146,United States of America,28.0,m,1-011-549-5618,Calpine,ME,4.0,,M,1.0,Lewiston,139897.0,0.0,839.0,R,2280820.0
Swi147,United States of America,76.0,m,1-993-255-5481,Crane,Alberta,0.0,P,D,4.0,Elizabeth,414119.0,1.0,621.0,O,1050866.0
bul148,United States of America,81.0,,1-487-749-4448,Textron,VT,3.0,,D,5.0,Sudbury,234035.0,4.0,628.0,O,
TYR149,Canada,38.0,F,1-192-352-2184,Idearc,DE,6.0,,W,3.0,Austin,144405.0,5.0,813.0,O,603001.0
Fyf150,United States of America,25.0,,1-293-442-4224,Cabela's,MA,3.0,,W,5.0,Salinas,55441.0,3.0,367.0,R,3368239.0
Sic151,United States of America,0.0,,1-078-502-6700,EOG Resources,CA,10.0,,D,4.0,Peoria,392869.0,2.0,807.0,O,1042629.0
CAS152,United States of America,61.0,F,1-430-909-3001,,Manitoba,8.0,,U,3.0,Sydney,402416.0,4.0,501.0,O,1948746.0
Cho153,United States of America,3.0,,1-392-455-0895,Burlington Coat Factory,TN,10.0,S,U,0.0,San Antonio,89984.0,2.0,490.0,O,3113862.0
CHA154,United States of America,77.0,,1-273-921-9787,Southwest Airlines,FL,3.0,,W,2.0,Oklahoma City,395773.0,3.0,321.0,O,2777290.0
bei155,United States of America,8.0,f,1-012-993-4538,RPM International,CA,6.0,E,U,1.0,Miami,126662.0,0.0,,R,2210073.0
Ele156,United States of America,34.0,m,1-890-859-4211,Amazon.com,CO,7.0,J,U,4.0,Yonkers,132008.0,1.0,446.0,O,1999684.0
o'g157,United States of America,15.0,F,1-080-032-3031,Neiman Marcus,Saskatchewan,2.0,,M,5.0,Columbia,417218.0,5.0,428.0,O,2119678.0
Kat158,United States of America,66.0,,1-561-620-7173,Goldman Sachs Group,UT,5.0,,S,0.0,Lubbock,360063.0,0.0,423.0,O,169808.0
Lui159,United States of America,55.0,,1-017-439-0362,Boeing,ME,6.0,O,U,5.0,Chattanooga,100516.0,4.0,499.0,O,1072732.0
Kla160,United States of America,8.0,f,1-248-539-6621,United Refining,NH,7.0,,S,1.0,Fargo,16814.0,1.0,342.0,O,2261442.0
Bru161,United States of America,7.0,,1-611-789-5569,D.R. Horton,VA,1.0,Z,M,1.0,Omaha,,3.0,632.0,U,2234368.0
Apt162,United States of America,97.0,,1-023-151-8130,Jarden,TX,6.0,Q,M,3.0,Yonkers,315962.0,1.0,525.0,O,575288.0
sch163,United States of America,95.0,f,1-005-574-3523,Systemax,Saskatchewan,9.0,,M,5.0,Spokane,299268.0,1.0,371.0,R,1102479.0
Lan164,United States of America,92.0,,1-550-487-1571,Marriott International,NH,4.0,,U,1.0,Tulsa,301490.0,3.0,699.0,O,2995388.0
Fus165,United States of America,17.0,F,1-280-494-1415,Expeditors International,VA,8.0,,M,3.0,Garden Grove,36052.0,2.0,435.0,O,1147193.0
Nev166,United States of America,81.0,F,1-803-438-4141,Great Plains Energy,IA,2.0,R,U,1.0,Fort Lauderdale,437483.0,4.0,512.0,U,1136540.0
SHA167,Canada,13.0,f,1-566-299-2351,Danaher,NC,6.0,,M,5.0,Philadelphia,152971.0,,552.0,O,1677669.0
Sau168,Canada,78.0,,1-586-363-4189,,NH,8.0,P,M,0.0,Sydney,449495.0,2.0,,O,2160706.0
fri169,United States of America,78.0,,1-505-124-9029,Watson Wyatt Worldwide,AL,5.0,,M,4.0,Waterbury,349827.0,1.0,687.0,O,2525665.0
fer170,United States of America,85.0,,1-897-996-9812,Yahoo,British Columbia,0.0,O,M,3.0,Tacoma,9562.0,1.0,433.0,R,3517622.0
LAN171,United States of America,68.0,M,1-922-919-5858,Convergys,MD,7.0,,U,1.0,Charlottetown,24514.0,2.0,746.0,,
Bha172,Canada,1.0,,1-326-572-2988,Celanese,IA,9.0,,M,0.0,Independence,407985.0,0.0,405.0,R,97675.0
Jor173,United States of America,83.0,M,1-076-972-4311,Dana Holding,ND,,,M,5.0,Escondido,,5.0,805.0,O,
KNU174,United States of America,78.0,F,1-341-595-8408,XTO Energy,NY,5.0,,M,4.0,Lansing,257897.0,4.0,819.0,O,3569070.0
Ham175,United States of America,,F,,Alliance Data Systems,OR,0.0,,M,0.0,Anaheim,261143.0,5.0,648.0,O,1507616.0
MAU176,United States of America,5.0,,1-536-952-5040,Franklin Resources,MO,10.0,,U,5.0,Glendale,110615.0,5.0,401.0,R,514151.0
Rez177,United States of America,43.0,F,1-663-917-0422,Fidelity National Financial,CT,8.0,,U,2.0,Chula Vista,407799.0,0.0,484.0,U,2903408.0
Koa178,Canada,53.0,,1-843-773-1791,FirstEnergy,MO,1.0,,U,4.0,Orlando,195242.0,4.0,463.0,O,1695814.0
HAN179,United States of America,13.0,m,1-823-567-1252,Commercial Metals,MN,5.0,B,U,3.0,Cleveland,315490.0,0.0,335.0,O,868465.0
jak180,United States of America,7.0,,1-744-421-7512,Genzyme,NC,10.0,I,U,5.0,Huntington,22201.0,4.0,,O,2810709.0
ump181,United States of America,17.0,,1-621-744-1484,US Airways Group,TN,7.0,C,M,4.0,Fayetteville,441579.0,5.0,381.0,R,3593363.0
Wic182,Canada,67.0,,1-973-214-3381,Advanced Micro Devices,NV,1.0,G,M,2.0,Riverside,342730.0,2.0,708.0,O,2607636.0
Gat183,Canada,54.0,F,1-428-266-1600,United Parcel Service,AL,8.0,,M,5.0,Dayton,117267.0,4.0,354.0,R,2735642.0
bot184,United States of America,5.0,,1-334-466-5299,Fastenal,NE,10.0,,S,1.0,Corona,260107.0,4.0,547.0,,1501732.0
DAV185,United States of America,28.0,,1-249-478-5643,Core-Mark Holding,KS,9.0,T,D,1.0,Oklahoma City,166760.0,1.0,761.0,O,397072.0
HIL186,United States of America,5.0,F,1-804-228-8548,Boise,NY,1.0,,M,4.0,Dallas,401021.0,1.0,659.0,O,3399757.0
war187,United States of America,,,1-564-230-0062,DST Systems,NY,9.0,,M,4.0,Durham,70945.0,2.0,351.0,R,2684548.0
MAC188,United States of America,72.0,m,1-781-339-9073,United States Steel,Saskatchewan,7.0,,S,3.0,Tacoma,389391.0,3.0,608.0,O,3041622.0
lev189,United States of America,12.0,F,1-096-116-9962,Pepco Holdings,Prince Edward Island,3.0,A,S,4.0,Alexandria,63226.0,2.0,706.0,O,3211816.0
Goo190,United States of America,71.0,,1-914-194-6997,Acuity Brands,Alberta,8.0,,M,0.0,Hialeah,206220.0,4.0,391.0,O,127026.0
Koh191,United States of America,90.0,,1-733-360-9116,Baker Hughes,Ontario,2.0,E,W,5.0,Denver,,4.0,461.0,R,588945.0
AYL192,United States of America,20.0,M,1-591-402-8026,Newell Rubbermaid,TN,2.0,,U,4.0,Fort Lauderdale,337152.0,4.0,510.0,O,1962620.0
