gncd,crdtrtng,ct,gndr,pstlcd,phn,nmbrchldrn,wnrrntflg,ncm,ddrssln1,lstnm,mddlntl,mplr,cntr,ntwrth,nmbrcrs,mrtlstts,g,nmbrcrdtcrds
Jkp7542,393.0,Huntington Beach,M,gzexcrngivl,1-392-335-1020,5.0,O,409682.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,Jkpmtcj,A,Monsanto,United States of America,3002044.0,5.0,W,56.0,7.0
CCF7543,557.0,Durham,M,yzoikhwrd,1-912-050-7605,4.0,,340191.0,,CCFFVCOHCLUUXZIQTCFCUHEYN,,Reliant Energy,United States of America,1124168.0,2.0,M,94.0,10.0
ylj7544,465.0,Naperville,,Gdbktega,1-075-551-9919,5.0,O,238216.0,RELJYREDKQEKGOORBLRKOUIC,yljvuglvt,,Idearc,United States of America,2081541.0,4.0,U,98.0,5.0
ZBB7545,,Albuquerque,F,Kdcqzpvf,1-013-611-2674,1.0,O,113171.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,ZBBXAWVJAAL,V,Neiman Marcus,Canada,1897076.0,0.0,M,8.0,6.0
fqe7546,485.0,Newark,m,Tbwgwtmgcu,1-656-865-7544,,,234797.0,Yewxbqpnfgh,fqekemquvstw,,O'Reilly Automotive,United States of America,235172.0,5.0,W,90.0,10.0
Wpw7547,303.0,Miami,,Mwmfs,1-879-870-7379,2.0,,225322.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,Wpwhilrlzng,,Cliffs Natural Resources,United States of America,639573.0,4.0,M,34.0,2.0
vpz7548,846.0,London,,goelqgcts,1-366-625-9813,2.0,O,192689.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,vpzxgcwljllsq,,Health Management Associates,Canada,2667082.0,1.0,W,25.0,4.0
Yfz7549,621.0,Worcester,,ucwygjzs,1-359-462-7089,4.0,O,348685.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,Yfzmtcvxc,,Chevron,Canada,2598634.0,5.0,,50.0,1.0
dou7550,331.0,Jacksonville,,fjlfqftwg,,4.0,O,401229.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,douvwdwiwrxoivzaojazinrhswjv,,Exide Technologies,United States of America,1074671.0,3.0,D,85.0,
FDJ7551,401.0,Nashua,M,Tocujgaiaq,1-153-396-8333,4.0,R,38597.0,hfuyqlsmbesrylepu,FDJOVRSOCWEIKZ,,Convergys,United States of America,2272997.0,5.0,M,60.0,9.0
ufu7552,644.0,Newport News,,kurjmmgixxfd,1-144-623-1308,2.0,R,,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,ufutrfkevxnbupjcetrpltw,,Dominion Resources,United States of America,702000.0,2.0,S,95.0,0.0
bbg7553,769.0,Corona,m,cnsavindoi,1-269-220-8046,1.0,R,161204.0,qgjnvpwvmgsqzcanzncon,bbgzmquoeecumw,H,Sentry Insurance Group,United States of America,1289800.0,4.0,M,8.0,5.0
Znk7554,481.0,Lincoln,f,MQBSAUVQRPYE,1-052-524-0130,4.0,O,202650.0,HNBGLUDIOAJRCCIXGDUQOO,Znkkdbkvxcxeuackyodqlkpl,v,Cintas,,1007390.0,3.0,M,31.0,2.0
CGQ7555,732.0,Toronto,F,vadbnvz,1-335-871-6660,2.0,O,,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,T,Medtronic,Canada,124290.0,1.0,U,51.0,7.0
add7556,802.0,Fayetteville,,Ljurvnigr,1-637-394-8083,4.0,O,492433.0,dnlleihfh,addxtssyhezwro,,Pride International,United States of America,1820002.0,4.0,M,24.0,2.0
Anw7557,329.0,Charlotte,,BQDMQVFTNBRJ,1-706-795-4208,4.0,O,344858.0,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,Anwyusqezrjppzkaevffwljm,J,A. Schulman,Canada,2200347.0,2.0,M,78.0,5.0
Hvt7558,839.0,Tulsa,m,jkcul,1-622-347-5699,0.0,R,197290.0,Wsjaujjdexc,Hvtanebvipbdd,,Oneok,United States of America,3669569.0,5.0,W,56.0,0.0
Yqj7559,539.0,Winston-Salem,,Nelny,1-042-017-9368,,,283654.0,Ojberg,Yqjaammjlhgpw,d,Danaher,United States of America,2140537.0,2.0,U,50.0,
Ztn7560,561.0,Thousand Oaks,F,Qsggz,1-829-935-5979,5.0,R,317423.0,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,Ztnstwpjxatqveppicohpzilnn,,Del Monte Foods,United States of America,3258909.0,4.0,M,52.0,4.0
bni7561,814.0,Lubbock,F,Drofa,1-076-726-5283,5.0,O,399126.0,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,bnizllrrofn,,American Electric Power,United States of America,1825422.0,4.0,W,14.0,2.0
swx7562,305.0,Winnipeg,,Ssovhtmt,,0.0,R,398180.0,Xwtkpxqgohxwxnv,swxorhmdydwbrtdqxroghsddlpbdgi,,TJX,United States of America,1845263.0,5.0,M,29.0,7.0
DSA7563,457.0,Laredo,f,Tnprhljfrlj,1-284-129-5920,4.0,O,,Qpvmtkxxfef,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,P,Philip Morris International,United States of America,1463114.0,2.0,S,50.0,4.0
BXZ7564,349.0,Overland Park,,Bkxujhonjgjk,1-128-308-8886,1.0,O,485429.0,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,BXZUTWBUFSGPPXKR,,Cincinnati Financial,United States of America,2354683.0,4.0,U,67.0,8.0
pcz7565,590.0,Calgary,,mrjrjhgnwcdu,1-145-469-5971,0.0,O,118018.0,KRYAIAJGKHBKXBLC,pczqycbwefse,,Stryker,United States of America,436677.0,2.0,M,22.0,0.0
Zqa7566,533.0,Peoria,m,Yusezkfgs,1-727-684-7767,4.0,O,309693.0,,Zqaknviqngvemehvpzrcgkcvre,,Kansas City Southern,United States of America,2383335.0,5.0,U,20.0,0.0
Htl7567,686.0,Durham,,RKXTQAO,1-776-201-2472,0.0,O,90718.0,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,Htltlfnvjctvvdvulpkhcbyfi,z,IDT,Canada,2574739.0,4.0,W,75.0,9.0
afw7568,582.0,Pueblo,F,UBQSATXZO,1-767-942-1278,0.0,O,280645.0,VBDCWYVK,afwafvxxdr,L,Vornado Realty Trust,United States of America,1596838.0,2.0,U,60.0,10.0
Wna7569,807.0,Las Cruces,,BHRNWQLFVFA,1-723-062-7266,4.0,O,231559.0,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,Wnakgzhqfhtavtvegjtdmdosnjr,,Dollar General,United States of America,591965.0,,S,,0.0
Mlh7570,819.0,Chula Vista,,Ktmzav,,5.0,O,36898.0,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,Mlheqxaigtvjaynkffyqkpu,,Safeway,United States of America,3071440.0,3.0,S,48.0,3.0
Gor7571,311.0,San Diego,,Nfpchgfj,1-145-314-0862,0.0,R,396786.0,Gwxymofcy,Gorjnqxjtefmomsbmtnogaerx,,Apache,United States of America,2683081.0,2.0,M,91.0,5.0
ENX7572,734.0,Chicago,f,Wuywecohosfi,1-735-104-7772,5.0,O,344365.0,Qynjnmfgwxpmrw,ENXOMNHFVPYQSABETPUEKRKCL,,Lowe's,United States of America,3850483.0,2.0,U,98.0,3.0
fgr7573,432.0,Worcester,,tibxlojrqiha,,1.0,O,1205.0,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,fgrdzzudzmwlluff,,Lithia Motors,United States of America,1870617.0,4.0,W,51.0,1.0
Ysh7574,394.0,Honolulu,m,ogmes,1-518-116-1411,0.0,O,276666.0,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,Yshzkx,a,CH2M Hill,United States of America,1249534.0,5.0,S,22.0,3.0
Mos7575,658.0,Albuquerque,,JUBKXDKP,1-696-359-4829,0.0,O,497953.0,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,Mosqjrkdycyygfsljqadgfqoldb,I,Tellabs,United States of America,3789880.0,0.0,U,57.0,1.0
czu7576,348.0,Oakland,,Xbgykqm,1-352-678-5471,2.0,O,156048.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,czuvw,,Phillips-Van Heusen,Canada,3874445.0,1.0,M,38.0,3.0
Ghr7577,598.0,Billings,,NNCXIBTCXZA,1-906-600-9749,5.0,O,63617.0,BESJDYZDIOIXKDFEHBQXBPW,Ghrlcuscpesuzsdwqfwwbgh,Z,Wells Fargo,United States of America,437353.0,1.0,M,68.0,8.0
Rwk7578,505.0,Pueblo,,mfwuio,1-093-018-2851,2.0,O,244849.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,Rwkdeshuwhwvmvmdnckmuvdt,,Vornado Realty Trust,United States of America,2669917.0,2.0,U,93.0,9.0
Uwi7579,839.0,Sherbrooke,,Utgwrun,1-302-096-9321,3.0,R,123585.0,Ivwhotvobwkshcixclfobqoljlaqohw,Uwinnbtdd,,New York Times,United States of America,1466537.0,4.0,S,48.0,7.0
VXZ7580,672.0,Sacramento,,Wgulrhctjlg,1-915-044-3154,1.0,U,391134.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,VXZTLDNZPYIFIKTIJRXS,,Adobe Systems,United States of America,991860.0,1.0,S,96.0,2.0
Ayk7581,696.0,Charlotte,f,Srhxvxe,1-040-274-3474,5.0,O,426759.0,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,Aykkkc,p,Valmont Industries,United States of America,,5.0,M,58.0,3.0
lho7582,448.0,El Paso,M,Dadkihaohc,1-678-397-2739,3.0,O,451737.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,lhodktal,,UAL,United States of America,1816368.0,5.0,W,63.0,5.0
rzi7583,549.0,Mesa,,Fpoleiod,1-679-345-9939,1.0,O,180822.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,rziprpcfwnirtuvrbfnuepq,,AFLAC,United States of America,565246.0,2.0,S,18.0,9.0
Wds7584,705.0,Simi Valley,,Cuaieflmccqp,1-093-616-0613,2.0,O,205843.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,Wdsuorykxmvfxupyyjl,,VeraSun Energy,United States of America,1899339.0,4.0,W,40.0,0.0
Xsj7585,387.0,St. Catharines,M,qiraymmapgf,1-546-131-8988,3.0,O,470985.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,Xsjypvyfoqbiq,f,Magellan Health Services,United States of America,3873239.0,4.0,M,29.0,6.0
Lux7586,359.0,Washington,,Tsynomgib,1-477-186-7432,1.0,,318225.0,Nhgrkzjzcrjcerkwrugwul,Luxkby,v,Emcor Group,United States of America,767547.0,2.0,U,21.0,7.0
wxw7587,494.0,Chula Vista,f,Amudllk,1-965-848-6954,2.0,O,326044.0,,wxwhwasadsmxchyhlgrvnurte,,Peabody Energy,Canada,1027999.0,2.0,M,41.0,9.0
pfz7588,345.0,Montpelier,m,ELQKT,1-622-866-0937,1.0,,,uiaoi,pfzjoarqopfjtzjalxxxeq,e,State Farm Insurance Cos.,United States of America,3428495.0,1.0,M,56.0,10.0
hlx7589,402.0,Mesa,M,Oiwac,1-040-217-2014,0.0,O,187282.0,Wwonzdtvwkn,hlxshqpvshstjerwclb,,Humana,United States of America,1827180.0,2.0,M,33.0,10.0
nyb7590,579.0,New Haven,,Dqgzinvuxxy,1-101-684-2373,0.0,O,,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,nybiaaw,,News Corp.,United States of America,2070007.0,2.0,M,96.0,3.0
Ltt7591,569.0,Indianapolis,,Nchaajfkjvx,1-386-426-5849,0.0,O,,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,Lttvvpjjavydrmbt,O,Torchmark,United States of America,,2.0,,35.0,2.0
gsz7592,745.0,Stockton,,XEDMBUAMGXKH,1-598-816-0126,4.0,O,306946.0,cezvfwtftwlwfrgrpxtuejvrgucexe,gszunimggpyfjzmivbwizzftuen,,Rock-Tenn,United States of America,3596263.0,0.0,W,40.0,9.0
Kwp7593,320.0,Louisville,,crxbrlj,1-770-379-7700,,U,99663.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,Kwpztgkknktyvdks,,AGCO,,3719999.0,0.0,D,10.0,1.0
AGM7594,591.0,Atlanta,,Eytubbwi,,4.0,R,482013.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,AGMCLBCUEPVBRKDKWAGBCFOLYET,D,,United States of America,3058439.0,2.0,M,59.0,4.0
Ocn7595,,Milwaukee,m,Lwftldizl,1-628-245-6238,0.0,U,180476.0,Ctgihaqlm,Ocnds,u,United Stationers,United States of America,2592932.0,1.0,M,70.0,10.0
Cmw7596,417.0,Fort Smith,F,GSSFZNBZL,1-813-787-2611,5.0,,285682.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,Cmweamsabhudajyhpsohkpzcy,,McCormick,United States of America,1471273.0,4.0,M,69.0,5.0
Dit7597,338.0,Knoxville,,Nrnqtmjz,1-362-897-1162,5.0,R,455032.0,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,Ditjvpiidkjkvxssfnctzcczb,V,National Life Group,United States of America,,0.0,M,96.0,8.0
Rmm7598,340.0,Idaho Falls,,Rzjxvum,1-952-919-4878,,O,356141.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,Rmmasnivkq,S,Hasbro,United States of America,2410816.0,3.0,S,9.0,9.0
ekj7599,738.0,Jacksonville,,Accezkuzqrif,1-145-214-8009,3.0,U,165667.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,ekjvgcmzgobzeerrpfgefwvxlvfcua,,Tupperware Brands,Canada,1059543.0,3.0,U,39.0,5.0
wcq7600,597.0,Stockton,,LNZZPGOTEG,1-328-944-9786,2.0,O,459767.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,wcqqbslcxugdqpbzbmbqvlahw,A,Covance,United States of America,379282.0,0.0,S,31.0,7.0
Klc7601,603.0,Thousand Oaks,f,YINOHET,1-899-864-9421,2.0,R,106459.0,RSSNUTWWLOKIHRRTPEAFTLBF,Klcanpomjmuwosnasroukafsxtufz,,Interactive Brokers Group,United States of America,3271265.0,2.0,M,64.0,4.0
Jrd7602,662.0,Nashua,,ddgkyv,1-877-997-8896,1.0,U,51021.0,Sachwqwddeyfxvagihsjxtcsibaejb,Jrdmn,,SkyWest,,1530364.0,,D,38.0,5.0
GDQ7603,838.0,Tallahassee,,Seiksuhglhj,1-750-900-0823,4.0,R,494931.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,GDQESTOSFCKVLPZEQPNFIKQLTXB,,Best Buy,United States of America,3731860.0,2.0,W,47.0,0.0
fnm7604,791.0,Brownsville,,Ytgghhaxc,,2.0,O,429859.0,Sbutxmtwkb,fnmqzceohwapysohiuofkhjpwzgv,,Sears Holdings,United States of America,2488858.0,5.0,M,,9.0
Ymu7605,692.0,Charlotte,,Ajlcdadx,1-347-704-7823,4.0,O,,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,Ymuvinagbzdhiwglzfacood,e,Frontier Oil,Canada,2301347.0,1.0,S,76.0,7.0
Pxj7606,673.0,Oakland,,Daivf,1-228-976-2888,3.0,O,464086.0,mnkidgiyajigobghpnkdvauwiubpjb,Pxjmfwpwm,R,Automatic Data Processing,,1736571.0,0.0,W,60.0,8.0
Rsd7607,331.0,Fort Wayne,,xrquzcptycg,,,O,207651.0,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,Rsdlvo,M,,Canada,2399483.0,3.0,U,73.0,7.0
Qqh7608,744.0,Chula Vista,,shigmwk,1-760-429-1328,,O,260418.0,Fmrydeogisvvtrpsfonolelpnqcbkrr,Qqhwdyopkfs,,Comerica,United States of America,2982744.0,4.0,U,37.0,2.0
