LastName,AddressLine1,City,FirstName,Age,PostalCode,OwnOrRentFlag,Employer,AddressLine2,MiddleInitial,CreditRating,NumberCreditCards,State,Gender,AgencyID,NumberCars,Country,Income,NumberChildren,MaritalStatus,NetWorth,Phone
Dinnin,6106 ashland east,Bellevue,KATTIE,87.0,V6j 1q8,R,Macy's,,,441.0,0.0,OK,,Din17,5.0,United States of America,266928.0,4.0,M,2787199.0,
De witte,1111 norden street,Detroit,Roselle,85.0,43207,O,Gardner Denver,,M,848.0,6.0,Ontario,,De 18,2.0,United States of America,72444.0,3.0,M,2789368.0,1-357-207-6320
Mckeegan,2798 1st east,Omaha,arlyne,86.0,V6t 1q8,R,Family Dollar Stores,,,843.0,8.0,KY,m,Mck19,3.0,United States of America,77290.0,3.0,U,2784776.0,1-462-774-1277
WINTERS,11358 elle lee street,Costa Mesa,Rong-chin,59.0,94467,R,,,P,,,PA,M,WIN20,2.0,United States of America,395066.0,0.0,U,288747.0,1-702-382-2898
BITTMAN,21074 MALLORY LOWER,Berkeley,Darlleen,94.0,94321,O,Sun Microsystems,,,300.0,0.0,MD,,BIT21,5.0,United States of America,119283.0,3.0,U,876575.0,1-909-554-7120
luzarraga,16124 weyland park,St. Louis,Radoslav,,C2a 4w7,O,Costco Wholesale,,V,795.0,8.0,TX,f,luz22,1.0,United States of America,330991.0,1.0,U,2041224.0,1-752-296-7940
donovan,23822 marvin crescent,Colorado Springs,Aryn,5.0,35808,U,Illinois Tool Works,,S,367.0,5.0,IN,,don23,4.0,United States of America,,0.0,,2231509.0,1-995-554-5056
Giallo,2203 valita boulevard,Fontana,Allisan,23.0,M5f 1v6,O,Southern Union,,T,507.0,1.0,MD,,Gia24,1.0,United States of America,252031.0,5.0,M,3206409.0,1-090-303-3807
SPRUELL,11538 COLLINWOOD AVENUE,St. Catharines,Ammamaria,61.0,99539,O,Moog,,,362.0,9.0,KY,M,SPR25,3.0,United States of America,101800.0,1.0,M,3850037.0,1-492-968-0932
SKALSKI,7818 EAST STREET,Hayward,Mari,,95055,O,Old Republic International,,,527.0,7.0,CA,F,SKA26,0.0,United States of America,436977.0,1.0,D,528440.0,1-960-227-2020
Gargul,10013 shaw road,Palmdale,Anica,51.0,93686,O,,,,354.0,0.0,FL,m,Gar27,0.0,United States of America,495334.0,,S,597140.0,1-431-122-8597
Dore,6802 AMES STREET,Phoenix,Melba,97.0,75218,O,Great Plains Energy,,,511.0,1.0,Newfoundland,,Dor28,1.0,United States of America,274685.0,1.0,M,146931.0,1-822-836-7200
DIOGO,22501 SUMMIT RUE,Gary,Tracee,52.0,91174,,Broadcom,,X,412.0,7.0,TX,,DIO29,2.0,United States of America,320820.0,2.0,,353495.0,1-530-117-0497
Merrick,291 frances rue,Beaumont,CANADIAN,98.0,49515,O,Discover Financial Services,,,583.0,1.0,WA,m,Mer30,4.0,Canada,195835.0,0.0,S,295647.0,1-051-257-2719
Atchison,16264 sanders east,Nashua,Oue,47.0,16506,O,UAL,,R,710.0,5.0,MN,,Atc31,5.0,United States of America,108085.0,3.0,U,408941.0,1-171-989-1363
Plamondon,16068 cantey way,San Jose,wallie,47.0,94383,O,Charles Schwab,,X,380.0,9.0,WY,m,Pla32,2.0,United States of America,260185.0,1.0,M,362523.0,1-042-705-3246
SELCHOW,21170 EDLOE BOULEVARD,Nashua,Andromache,9.0,T6d 1b3,R,Coach,,E,796.0,2.0,NY,F,SEL33,0.0,United States of America,258323.0,0.0,M,2102359.0,1-098-328-2026
shane,885 CROSBY LANE,Fort Smith,THOR,85.0,25339,U,DaVita,,Z,818.0,2.0,SC,f,sha34,1.0,United States of America,79476.0,3.0,M,3480265.0,1-209-754-5635
MERWIN,12235 jay street,Lancaster,SALAH,81.0,V6o 1v4,U,Marshall & Ilsley Corp.,,,766.0,3.0,MS,,MER35,5.0,United States of America,102156.0,3.0,M,3648900.0,1-498-781-3456
conrad,20340 LOMBARD CRESCENT,Colorado Springs,HOR-LAM,0.0,01852,O,Cablevision Systems,,,359.0,2.0,UT,,con36,2.0,United States of America,221481.0,3.0,M,1161790.0,1-615-241-0440
onsiteteam,22074 dexter upper,Washington,Vania,28.0,78230,R,Barnes & Noble,,,401.0,2.0,PA,M,ons37,1.0,United States of America,41836.0,5.0,S,2050587.0,1-995-449-5200
Summerlin,1540 MURIE RUE,Lowell,Niel,65.0,93770,O,EMC,,,609.0,0.0,OK,M,Sum38,1.0,Canada,72389.0,1.0,U,3579198.0,1-295-673-4452
grooms,7075 glen loch drive,Frederick,ziad,20.0,m4l 1n4,O,Fluor,,F,630.0,2.0,WY,,gro39,3.0,United States of America,66486.0,0.0,S,889494.0,1-914-675-2986
dilkie,11237 balmoral way,Mesa,Claude,55.0,22335,O,Dollar General,Apt. 382,I,671.0,9.0,RI,,dil40,3.0,United States of America,200185.0,1.0,M,2205682.0,
DOLSON,8316 GARDEN BROOK NORTH,Lakewood,AVTAR,76.0,V6C 1T4,O,Lear,,,715.0,10.0,HI,,DOL41,0.0,United States of America,289215.0,2.0,U,1140117.0,1-825-739-0336
Posthumus,2240 clifton lower,Cleveland,Donny,1.0,M6t 1h3,O,J.P. Morgan Chase & Co.,,,707.0,9.0,VA,,Pos42,4.0,United States of America,322484.0,1.0,M,1421319.0,1-956-713-3802
Machika,20907 NOTINGHAM LOWER,Grand Rapids,Cocos,3.0,95263,O,Affinia Group Intermediate,,,329.0,0.0,OK,,Mac43,4.0,United States of America,83458.0,2.0,M,3525204.0,1-814-932-1579
chenoweth,601 carroll lower,Peoria,ruud,100.0,v5b 1p5,R,,,,601.0,8.0,Prince Edward Island,,che44,0.0,United States of America,,3.0,D,468976.0,1-135-443-7282
holbrooks,18267 state drive,Inglewood,Belvia,81.0,32318,O,Goldman Sachs Group,,,623.0,2.0,SD,,hol45,5.0,United States of America,492407.0,1.0,W,1685443.0,1-720-975-0667
pfieffer,9270 LEAF SOUTH,Akron,ATHAR,76.0,93872,O,E*Trade Financial,,,376.0,2.0,OH,f,pfi46,4.0,United States of America,346630.0,4.0,S,337564.0,1-871-598-3505
elkington,18582 PERIMETER BOULEVARD,Charlottetown,Cherey,51.0,92824,O,Pfizer,,Y,560.0,0.0,MA,,elk47,1.0,Canada,9572.0,3.0,W,84777.0,1-607-222-4809
Labenek,9612 park stream upper,Bellevue,RAZ,,e4a 1r2,O,Safeway,,,693.0,4.0,MD,F,Lab48,1.0,United States of America,265369.0,5.0,,3146477.0,1-965-046-0642
laferriere,2803 clearwater north,Dover,kishore,58.0,H7G 1V4,U,Simon Property Group,,Y,346.0,0.0,Saskatchewan,,laf49,1.0,United States of America,104172.0,2.0,S,495277.0,1-155-441-3579
Norment,11103 BISSONNET WEST,Fullerton,Nelleke,52.0,85039,O,Trinity Industries,,I,342.0,0.0,WA,,Nor50,0.0,United States of America,65550.0,3.0,M,746904.0,
hagar,4652 outervale lane,Denver,sibby,91.0,v6m 1q3,R,Solutia,,,563.0,8.0,OH,,hag51,2.0,Canada,,0.0,M,1219620.0,1-544-132-7237
Betcher,341 dunbar west,Dallas,ericha,17.0,X7j 1r1,O,,,,391.0,4.0,WY,m,Bet52,2.0,United States of America,,3.0,M,1718910.0,1-821-089-2089
Van der,16176 vernon drive,San Jose,Janson,6.0,B8b 1z5,O,A.O. Smith,,,381.0,8.0,NJ,m,Van53,4.0,United States of America,66244.0,4.0,S,,1-135-391-9787
O'LEARY,23131 clint way,Bellevue,Dorotea,89.0,t5d 1v4,U,AptarGroup,,,539.0,9.0,ND,F,O'L54,0.0,United States of America,426954.0,3.0,S,2636424.0,1-776-182-6215
anderson,11640 baltic upper,San Buenaventura,Denice,99.0,V6t 1r2,O,Coca-Cola,,,497.0,0.0,NC,m,and55,5.0,United States of America,126891.0,4.0,M,1326305.0,1-079-780-7761
starks,20796 dolores drive,St. Louis,Myron,77.0,91177,O,Kimberly-Clark,,,661.0,,WV,,sta56,4.0,Canada,454196.0,2.0,M,2241997.0,1-504-346-4393
CHASSE,14359 COMMERCE WEST,Pueblo,Barby,,T5c 1t1,R,Visteon,Apt. 275,,558.0,0.0,GA,,CHA57,5.0,United States of America,163940.0,3.0,S,1542891.0,1-985-538-4351
ASING,21448 hampton boulevard,Regina,Ariella,90.0,35862,O,TECO Energy,,,534.0,,Ontario,R,ASI58,,Canada,365213.0,1.0,W,797918.0,1-254-097-9398
askins,7637 pershing way,Saskatoon,ADEY,82.0,96820,U,Bemis,,,373.0,6.0,MA,f,ask59,0.0,United States of America,428739.0,0.0,M,347654.0,1-545-924-9552
Kikuta,11529 arcana boulevard,Jackson,GAYEL,,75238,O,Wyeth,,K,382.0,8.0,CA,,Kik60,4.0,United States of America,142444.0,0.0,M,2456397.0,1-984-233-8818
Chane,2700 windwood north,St. Petersburg,Man,15.0,85769,O,United Technologies,,,475.0,10.0,SD,F,Cha61,3.0,United States of America,416168.0,3.0,S,1284229.0,1-528-691-1642
KILLEN,22279 gramercy road,Scottsdale,Klara,,H5i 1o9,O,Clorox,,U,539.0,3.0,Saskatchewan,m,KIL62,2.0,United States of America,291420.0,0.0,D,618787.0,
kinley,9828 west east,Charlotte,Abdalla,96.0,90849,O,Discovery Communications,,,711.0,6.0,RI,f,kin63,4.0,United States of America,413501.0,5.0,M,1171606.0,1-171-807-8213
MALAHER,5935 mcafee park,Waterbury,bal,38.0,43644,O,Williams-Sonoma,,,606.0,1.0,NC,,MAL64,4.0,United States of America,,,M,3983261.0,1-056-241-7009
Odum,12460 CLAYTON STREET,Chesapeake,Romy,10.0,99213,O,Manitowoc,,J,494.0,0.0,SD,,Odu65,3.0,United States of America,419143.0,3.0,W,2328568.0,1-389-414-0570
DI NINNO,275 3rd drive,Hialeah,KORAL,72.0,72226,O,Henry Schein,,,309.0,3.0,IL,,DI 66,1.0,United States of America,155057.0,5.0,M,2078600.0,1-583-542-1656
STUBBLEFIELD,6907 FERNCLIFF CRESCENT,Charleston,YUKIHIKO,97.0,V6Z 1Q9,O,Trinity Industries,,K,630.0,3.0,OR,,STU67,2.0,United States of America,313859.0,5.0,M,2986155.0,1-269-712-0672
HAMBALI,885 crosby lane,Salem,Khanh,48.0,20082,O,Pepsi Bottling,,,330.0,10.0,Ontario,,HAM68,4.0,United States of America,265907.0,1.0,S,1864039.0,1-670-102-0463
LIBRARIAN,2344 kalani west,Sacramento,Darnell,97.0,35827,O,UGI,,,710.0,9.0,FL,m,LIB69,,Canada,283481.0,0.0,S,1293721.0,1-699-726-3895
ohsone,22870 LA CIENEGA STREET,Santa Clarita,feridoun,73.0,99692,R,Greif,,,475.0,7.0,NM,M,ohs70,4.0,United States of America,200635.0,0.0,M,3850114.0,1-640-666-2876
HUMMEL,8478 green avenue,Sherbrooke,Magdy,71.0,V6c 1q5,O,Equifax,APT. 143,O,596.0,3.0,NE,,HUM71,0.0,United States of America,434519.0,1.0,U,1618743.0,1-540-639-1311
BRADD,23639 purdue rue,Colorado Springs,jiri,93.0,80158,O,,,,670.0,9.0,MI,,BRA72,5.0,United States of America,392315.0,1.0,W,3383487.0,1-285-874-8492
Boarder,19202 ansley park,Berkeley,AILA,53.0,t6d 1b6,O,Freescale Semiconductor,,X,722.0,,New Brunswick,,Boa73,5.0,United States of America,493829.0,3.0,U,2981876.0,1-121-904-0040
Mcnally,11319 devonshire rue,San Buenaventura,Vincenzo,32.0,33120,O,Aleris International,,,587.0,7.0,NJ,,Mcn74,3.0,United States of America,97489.0,2.0,U,2109339.0,1-017-842-3201
MARKOVICH,23665 deerwood park,New Haven,Minnnie,1.0,99742,O,,,,609.0,4.0,ND,F,MAR75,4.0,United States of America,,3.0,S,791803.0,1-215-859-3206
Willekes,4855 union north,Shreveport,alfonzo,39.0,V6N 1T1,O,World Fuel Services,,,401.0,7.0,Saskatchewan,f,Wil76,0.0,United States of America,383046.0,1.0,S,3523678.0,1-764-520-7470
Deacetis,9466 SHADOWBRIAR WEST,Lansing,Swandi,77.0,44104,,R.R. Donnelley & Sons,,S,335.0,0.0,KS,m,Dea77,4.0,United States of America,1190.0,0.0,M,1681902.0,1-414-130-0162
Houk,3504 regency avenue,Pembroke Pines,Anya,18.0,14605,O,Brinker International,,,569.0,7.0,SD,,Hou78,5.0,United States of America,85733.0,5.0,U,3851455.0,1-970-240-9990
Goyette,7281 northland lower,Palmdale,Enrika,70.0,80076,R,Temple-Inland,,,,9.0,FL,,Goy79,0.0,Canada,387890.0,2.0,M,2339382.0,1-408-684-6459
Mok-fung,12481 hayden lower,Savannah,SONJA,26.0,V6I 1V6,O,Psychiatric Solutions,,Z,679.0,7.0,Saskatchewan,f,Mok80,2.0,United States of America,16808.0,0.0,S,,1-330-353-5908
Rundle,2328 gracie avenue,Amarillo,Liem,,97307,,Nash-Finch,,I,356.0,10.0,FL,,Run81,,United States of America,304589.0,4.0,M,2065016.0,1-766-726-2675
BELLEY,4737 campbell street,Anchorage,COLLETTE,58.0,46237,R,AMR,,,308.0,9.0,UT,o,BEL82,2.0,United States of America,48506.0,5.0,S,2454049.0,1-938-425-7509
BAER,2401 stratmore lower,Louisville,SIAMACK,43.0,V6B 1S6,O,Spartan Stores,,Y,412.0,4.0,WY,,BAE83,0.0,United States of America,,4.0,M,2423395.0,1-527-308-8874
MAULDIN,21477 JUNIPER CRESCENT,Hilo,Toshihiro,65.0,H2d 1x1,O,Cigna,,,618.0,4.0,NH,f,MAU84,2.0,United States of America,358862.0,3.0,D,1342045.0,1-810-590-0635
Koohgoli,19214 YAUPON BOULEVARD,Sudbury,Casey,24.0,95108,O,General Cable,,,429.0,5.0,AR,,Koo85,5.0,United States of America,477614.0,3.0,S,861756.0,1-274-548-2512
Lauriston,7785 rusk boulevard,Orlando,Daryn,79.0,80050,O,Dun & Bradstreet,,,819.0,3.0,CT,,Lau86,3.0,United States of America,175414.0,1.0,S,1215349.0,1-649-754-4601
Mangum,18002 cantrell upper,Missoula,Adrianna,48.0,90122,O,Casey's General Stores,,L,552.0,7.0,VT,F,Man87,0.0,Canada,427598.0,1.0,M,3981554.0,1-905-932-1785
PIERCY,23341 brookside upper,Abilene,Cortney,69.0,43614,O,Jack in the Box,,,587.0,9.0,Manitoba,,PIE88,0.0,United States of America,368207.0,4.0,S,3865937.0,1-031-004-7697
Buscaglia,20494 ROSS WEST,Saskatoon,Duane,91.0,61110,O,Assurant,,,304.0,6.0,NJ,M,Bus89,3.0,United States of America,449944.0,1.0,S,2804700.0,1-994-812-4796
BABIONE,17552 SAVANNAH NORTH,Irvine,Tele,75.0,70174,U,Psychiatric Solutions,,,795.0,4.0,KY,,BAB90,5.0,United States of America,166247.0,5.0,,3283558.0,1-176-513-4041
Burkard,4462 pace crescent,Reno,Ophelia,85.0,90324,O,Danaher,APT. 373,,830.0,2.0,GA,M,Bur91,1.0,United States of America,391165.0,3.0,S,450524.0,1-072-244-6337
Kinsella,7161 tallowood upper,Sacramento,lorine,76.0,s7d 1n1,R,Clorox,,,709.0,3.0,NJ,,Kin92,5.0,United States of America,165854.0,3.0,M,,1-924-669-9328
POMMAINVILLE,3489 silver sage west,Topeka,Viole,68.0,93829,O,Boyd Gaming,,,493.0,8.0,SC,,POM93,2.0,United States of America,326181.0,1.0,S,,1-598-488-3541
BOATWRIGHT,12481 hayden lower,Rancho Cucamonga,Nani,95.0,89116,O,Eaton,,,680.0,,TN,M,BOA94,3.0,United States of America,173387.0,,M,633760.0,1-295-539-3868
Ronald,13210 3RD DRIVE,Hilo,cherey,15.0,94315,R,Dynegy,,R,800.0,,WY,,Ron95,1.0,United States of America,301127.0,5.0,M,3634954.0,1-554-020-0267
weihs,8899 starling lane,Saint John,Redgie,17.0,T5b 1u9,R,AmeriCredit,,A,614.0,4.0,Ontario,,wei96,1.0,United States of America,487230.0,5.0,M,799268.0,1-793-621-4566
Helpb,11480 fennel south,Torrance,Yousef,94.0,T6b 1a5,R,SLM,,P,763.0,6.0,DC,M,Hel97,4.0,Canada,425747.0,0.0,,39093.0,1-787-267-4261
moghe,7266 cherry upper,Santa Clara,Damaris,70.0,60699,O,NV Energy,,,561.0,3.0,Alberta,m,mog98,4.0,United States of America,401946.0,4.0,S,2705353.0,1-668-247-1597
bozicevich,10678 ENGLEWOOD WEST,Torrance,Ilyssa,29.0,V6p 1s8,O,Landstar System,,,569.0,4.0,ME,,boz99,1.0,United States of America,425422.0,2.0,S,3565153.0,1-901-346-8890
Zaharychuk,21181 2ND RUE,Stockton,Moselle,52.0,v6i 1p1,O,Pacific Life,,R,634.0,5.0,MA,,Zah100,4.0,United States of America,208890.0,1.0,M,2832204.0,1-451-273-3803
Andric,22963 hanover road,Paterson,Dulsea,51.0,79423,O,Textron,,,488.0,10.0,NV,F,And101,5.0,United States of America,67880.0,3.0,U,2194345.0,1-129-499-9136
Bamfo,8268 cliffbrook boulevard,Mesa,Lyndsie,24.0,H5j 1o6,O,Pfizer,,L,788.0,5.0,WA,,Bam102,2.0,Canada,133412.0,3.0,W,3737140.0,1-899-319-0772
frondozo,5118 montview court,Anchorage,KESLEY,98.0,93761,O,Cigna,,,333.0,8.0,WY,,fro103,3.0,United States of America,144829.0,4.0,D,464753.0,1-053-396-0441
Caron,17442 tallowood upper,Miami,LAUREL,59.0,76150,U,Ameren,,J,601.0,,NJ,,Car104,1.0,United States of America,,1.0,M,596696.0,1-239-665-9540
muchow,4038 WEDGEWOOD STREET,Great Falls,Steen,49.0,99717,O,Consolidated Edison,,V,595.0,2.0,LA,f,muc105,3.0,Canada,143682.0,4.0,U,1504753.0,1-605-888-3403
gateau,20334 anaconda avenue,Erie,noel,1.0,60608,O,Occidental Petroleum,,,433.0,10.0,TX,,gat106,0.0,United States of America,350020.0,1.0,U,3049281.0,1-630-604-2543
Schaefer,5385 young west,Hollywood,Tracey,79.0,v6w 1u4,O,Sherwin-Williams,,M,403.0,10.0,SC,F,Sch107,0.0,United States of America,435103.0,,U,247478.0,1-851-862-7928
pomerleau,2747 SINCLAIR LANE,Tulsa,Sarajane,6.0,T5b 1t6,R,Affiliated Computer Services,,,615.0,3.0,TX,,pom108,1.0,United States of America,207768.0,5.0,,2750301.0,1-065-415-5724
cucuzzella,8622 BROWNWAY PARK,Tucson,Geoffrey,70.0,23298,O,Valassis Communications,,K,735.0,1.0,MN,F,cuc109,0.0,United States of America,407512.0,4.0,M,721333.0,1-408-512-1007
SUGARMAN,18048 GREEN NORTH,Anchorage,loralyn,23.0,32803,O,,,Z,668.0,1.0,ID,q,SUG110,3.0,United States of America,403366.0,0.0,S,669440.0,1-083-902-4184
Pepe,18994 country boulevard,Sandy,andrei,78.0,64122,O,Smithfield Foods,,,349.0,,MI,,Pep111,3.0,Canada,384095.0,5.0,M,2473979.0,1-568-403-7081
Chandrashekar,16063 ashland road,Boston,javad,79.0,T6b 1h2,,,SUITE 7,,654.0,,OK,f,Cha112,4.0,United States of America,288969.0,,S,3545170.0,1-824-389-0618
SEIFERS,19309 mcfarlin north,Vancouver,Karna,72.0,22222,O,TD Ameritrade,Apt. 971,U,361.0,6.0,UT,m,SEI113,2.0,United States of America,233665.0,3.0,U,1494871.0,1-174-210-2058
GARTLEY,2454 cliffbrook west,Akron,Jocelyn,31.0,T6a 1d2,U,Comerica,,S,427.0,1.0,PA,F,GAR114,4.0,Canada,147236.0,0.0,S,436164.0,1-425-503-7952
Touchette,15865 strand west,Lancaster,Elvera,86.0,v5d 1n9,O,Steel Dynamics,,,322.0,1.0,New Brunswick,M,Tou115,0.0,United States of America,452557.0,3.0,W,1069481.0,1-012-389-9089
Kurdziel,13776 east boulevard,Concord,Nessy,,23321,R,Coca-Cola Enterprises,,V,792.0,9.0,UT,M,Kur116,2.0,United States of America,179305.0,0.0,S,,1-909-472-6704
Herod,10570 WEIZMANN LOWER,Chesapeake,lona,87.0,90505,O,News Corp.,,,478.0,2.0,VA,,Her117,3.0,Canada,205817.0,0.0,U,2957261.0,1-622-167-5411
MCVICAR,15278 walnut hill road,Flint,RHEA,92.0,19066,O,,,P,477.0,1.0,NH,,MCV118,,United States of America,262711.0,5.0,M,228459.0,1-164-511-9338
LABFIVE,23007 WAKEFOREST WAY,Chattanooga,Josefa,4.0,v6s 1r3,O,Stater Bros. Holdings,,,449.0,6.0,VT,F,LAB119,1.0,Canada,84810.0,5.0,M,67267.0,1-804-532-9163
butta,9088 rivas way,Billings,alikee,8.0,78769,O,BorgWarner,,,466.0,2.0,FL,,but120,2.0,United States of America,96441.0,4.0,U,1087978.0,1-197-370-0297
Projects,18798 ullrich road,Scottsdale,dolorita,97.0,53769,O,CB Richard Ellis Group,,,483.0,2.0,NC,m,Pro121,0.0,United States of America,462762.0,5.0,M,3885967.0,1-337-042-5687
Irc,18517 HULEN LOWER,Oshawa,Marilyn,,H7E 1U6,O,Zimmer Holdings,,,588.0,4.0,VA,,Irc122,5.0,United States of America,141890.0,4.0,D,3271101.0,1-056-138-5321
Zivkovic,11474 dodd lane,Naperville,robertson,40.0,e7o 1k1,O,Mohawk Industries,,G,313.0,2.0,DC,,Ziv123,5.0,Canada,156610.0,5.0,,,1-776-191-2031
simser,9375 wood south,Tampa,Ilsa,95.0,90374,R,Berkshire Hathaway,,H,647.0,1.0,NC,,sim124,1.0,United States of America,164752.0,4.0,U,1999133.0,1-280-696-2706
keifer,20479 wise avenue,Jackson,Pen,92.0,63169,O,Saks,,I,430.0,2.0,MS,,kei125,1.0,United States of America,278949.0,5.0,S,1100786.0,1-857-581-6346
arvin,19918 ROGERS NORTH,Hay River,AUBRETTE,67.0,16515,O,Gardner Denver,,P,467.0,8.0,SC,f,arv126,0.0,United States of America,,5.0,W,563992.0,
Praeuner,9284 coffey lower,Irvine,Cole,24.0,85309,O,Hasbro,,,399.0,7.0,KS,F,Pra127,3.0,United States of America,463736.0,2.0,M,962397.0,1-716-343-0884
lue,2929 north crescent,Idaho Falls,liva,26.0,92158,O,CBS,,C,654.0,5.0,VT,m,lue128,2.0,United States of America,,3.0,M,1064169.0,1-101-776-2496
Przybycien,15404 queen street,Moreno Valley,Ayaz,62.0,33152,O,Synnex,,,378.0,3.0,IL,f,Prz129,2.0,United States of America,86667.0,0.0,S,2100059.0,1-769-028-0589
penn,1619 greenspoint road,Ontario,YETTY,37.0,83729,O,Belden,,J,338.0,10.0,FL,f,pen130,5.0,United States of America,193470.0,1.0,W,99025.0,1-005-833-8970
Guay,21477 WARREN PARK,Concord,Mary-michelle,71.0,B8b 1z6,R,Broadcom,,S,695.0,10.0,MI,,Gua131,5.0,United States of America,406379.0,0.0,S,3865481.0,1-884-215-4243
brennand,6503 ROBBINS STREET,Phoenix,agretha,29.0,53717,U,Reynolds American,,,614.0,7.0,Newfoundland,F,bre132,1.0,Canada,480595.0,3.0,M,804544.0,
Savanh,3958 GLEN LOCH BOULEVARD,Coral Springs,LOTTY,89.0,t5c 1w7,O,Wells Fargo,,X,307.0,7.0,ME,f,Sav133,4.0,United States of America,181718.0,5.0,S,3143356.0,1-725-177-7815
ABBATANTUONO,13640 ethridge lower,Oxnard,Kassey,11.0,37245,O,Retail Ventures,,Z,331.0,2.0,AL,,ABB134,0.0,United States of America,468310.0,3.0,M,,1-277-496-5396
OP,3981 imperial lower,Brownsville,Adria,20.0,94401,O,AT&T,,N,638.0,2.0,IN,M,OP135,2.0,United States of America,354987.0,0.0,S,2311953.0,1-756-463-2201
Mersinger,13210 3rd drive,Memphis,audivox,75.0,B8a 1y3,O,Wynn Resorts,,,703.0,3.0,NH,,Mer136,3.0,Canada,284539.0,5.0,W,3120608.0,1-261-338-7463
rutt,9297 THROCKMORTON SOUTH,Flint,SUE,95.0,t6b 1k2,O,Eastman Kodak,,,302.0,7.0,DC,F,rut137,0.0,United States of America,213725.0,5.0,S,2058270.0,1-811-086-4675
bemis,8935 YOUNG UPPER,Lafayette,Lorenza,0.0,85306,O,Aramark,,I,522.0,,DC,,bem138,2.0,United States of America,74195.0,3.0,U,1511983.0,1-338-771-1185
Pennington,3797 RUTGERS PARK,Greensboro,Enzo,73.0,V6R 1R7,O,ENSCO International,,,,,MD,,Pen139,5.0,United States of America,169295.0,1.0,M,439080.0,1-554-231-5318
torok,8285 tamarind crescent,Sterling Heights,claudina,39.0,68513,R,Auto-Owners Insurance,,Y,833.0,5.0,Prince Edward Island,M,tor140,1.0,United States of America,307832.0,0.0,W,921255.0,1-733-886-5227
