AgencyID,FirstName,Age,MiddleInitial,MaritalStatus,NumberCreditCards,NumberChildren,OwnOrRentFlag,LastName,CreditRating,NumberCars,State,Country,Phone,Income,Employer,NetWorth
Dea77,Swandi,77.0,S,M,0.0,0.0,,Deacetis,335.0,4.0,KS,United States of America,1-414-130-0162,1190.0,R.R. Donnelley & Sons,1681902.0
Hou78,Anya,18.0,,U,7.0,5.0,O,Houk,569.0,5.0,SD,United States of America,1-970-240-9990,85733.0,Brinker International,3851455.0
Goy79,Enrika,70.0,,M,9.0,2.0,R,Goyette,,0.0,FL,Canada,1-408-684-6459,387890.0,Temple-Inland,2339382.0
Mok80,SONJA,26.0,Z,S,7.0,0.0,O,Mok-fung,679.0,2.0,Saskatchewan,United States of America,1-330-353-5908,16808.0,Psychiatric Solutions,
Run81,Liem,,I,M,10.0,4.0,,Rundle,356.0,,FL,United States of America,1-766-726-2675,304589.0,Nash-Finch,2065016.0
BEL82,COLLETTE,58.0,,S,9.0,5.0,R,BELLEY,308.0,2.0,UT,United States of America,1-938-425-7509,48506.0,AMR,2454049.0
BAE83,SIAMACK,43.0,Y,M,4.0,4.0,O,BAER,412.0,0.0,WY,United States of America,1-527-308-8874,,Spartan Stores,2423395.0
MAU84,Toshihiro,65.0,,D,4.0,3.0,O,MAULDIN,618.0,2.0,NH,United States of America,1-810-590-0635,358862.0,Cigna,1342045.0
Koo85,Casey,24.0,,S,5.0,3.0,O,Koohgoli,429.0,5.0,AR,United States of America,1-274-548-2512,477614.0,General Cable,861756.0
Lau86,Daryn,79.0,,S,3.0,1.0,O,Lauriston,819.0,3.0,CT,United States of America,1-649-754-4601,175414.0,Dun & Bradstreet,1215349.0
Man87,Adrianna,48.0,L,M,7.0,1.0,O,Mangum,552.0,0.0,VT,Canada,1-905-932-1785,427598.0,Casey's General Stores,3981554.0
PIE88,Cortney,69.0,,S,9.0,4.0,O,PIERCY,587.0,0.0,Manitoba,United States of America,1-031-004-7697,368207.0,Jack in the Box,3865937.0
Bus89,Duane,91.0,,S,6.0,1.0,O,Buscaglia,304.0,3.0,NJ,United States of America,1-994-812-4796,449944.0,Assurant,2804700.0
BAB90,Tele,75.0,,,4.0,5.0,U,BABIONE,795.0,5.0,KY,United States of America,1-176-513-4041,166247.0,Psychiatric Solutions,3283558.0
Bur91,Ophelia,85.0,,S,2.0,3.0,O,Burkard,830.0,1.0,GA,United States of America,1-072-244-6337,391165.0,Danaher,450524.0
Kin92,lorine,76.0,,M,3.0,3.0,R,Kinsella,709.0,5.0,NJ,United States of America,1-924-669-9328,165854.0,Clorox,
POM93,Viole,68.0,,S,8.0,1.0,O,POMMAINVILLE,493.0,2.0,SC,United States of America,1-598-488-3541,326181.0,Boyd Gaming,
BOA94,Nani,95.0,,M,,,O,BOATWRIGHT,680.0,3.0,TN,United States of America,1-295-539-3868,173387.0,Eaton,633760.0
Ron95,cherey,15.0,R,M,,5.0,R,Ronald,800.0,1.0,WY,United States of America,1-554-020-0267,301127.0,Dynegy,3634954.0
wei96,Redgie,17.0,A,M,4.0,5.0,R,weihs,614.0,1.0,Ontario,United States of America,1-793-621-4566,487230.0,AmeriCredit,799268.0
Hel97,Yousef,94.0,P,,6.0,0.0,R,Helpb,763.0,4.0,DC,Canada,1-787-267-4261,425747.0,SLM,39093.0
mog98,Damaris,70.0,,S,3.0,4.0,O,moghe,561.0,4.0,Alberta,United States of America,1-668-247-1597,401946.0,NV Energy,2705353.0
boz99,Ilyssa,29.0,,S,4.0,2.0,O,bozicevich,569.0,1.0,ME,United States of America,1-901-346-8890,425422.0,Landstar System,3565153.0
Zah100,Moselle,52.0,R,M,5.0,1.0,O,Zaharychuk,634.0,4.0,MA,United States of America,1-451-273-3803,208890.0,Pacific Life,2832204.0
And101,Dulsea,51.0,,U,10.0,3.0,O,Andric,488.0,5.0,NV,United States of America,1-129-499-9136,67880.0,Textron,2194345.0
Bam102,Lyndsie,24.0,L,W,5.0,3.0,O,Bamfo,788.0,2.0,WA,Canada,1-899-319-0772,133412.0,Pfizer,3737140.0
fro103,KESLEY,98.0,,D,8.0,4.0,O,frondozo,333.0,3.0,WY,United States of America,1-053-396-0441,144829.0,Cigna,464753.0
Car104,LAUREL,59.0,J,M,,1.0,U,Caron,601.0,1.0,NJ,United States of America,1-239-665-9540,,Ameren,596696.0
muc105,Steen,49.0,V,U,2.0,4.0,O,muchow,595.0,3.0,LA,Canada,1-605-888-3403,143682.0,Consolidated Edison,1504753.0
gat106,noel,1.0,,U,10.0,1.0,O,gateau,433.0,0.0,TX,United States of America,1-630-604-2543,350020.0,Occidental Petroleum,3049281.0
Sch107,Tracey,79.0,M,U,10.0,,O,Schaefer,403.0,0.0,SC,United States of America,1-851-862-7928,435103.0,Sherwin-Williams,247478.0
pom108,Sarajane,6.0,,,3.0,5.0,R,pomerleau,615.0,1.0,TX,United States of America,1-065-415-5724,207768.0,Affiliated Computer Services,2750301.0
cuc109,Geoffrey,70.0,K,M,1.0,4.0,O,cucuzzella,735.0,0.0,MN,United States of America,1-408-512-1007,407512.0,Valassis Communications,721333.0
SUG110,loralyn,23.0,Z,S,1.0,0.0,O,SUGARMAN,668.0,3.0,ID,United States of America,1-083-902-4184,403366.0,,669440.0
Pep111,andrei,78.0,,M,,5.0,O,Pepe,349.0,3.0,MI,Canada,1-568-403-7081,384095.0,Smithfield Foods,2473979.0
Cha112,javad,79.0,,S,,,,Chandrashekar,654.0,4.0,OK,United States of America,1-824-389-0618,288969.0,,3545170.0
SEI113,Karna,72.0,U,U,6.0,3.0,O,SEIFERS,361.0,2.0,UT,United States of America,1-174-210-2058,233665.0,TD Ameritrade,1494871.0
GAR114,Jocelyn,31.0,S,S,1.0,0.0,U,GARTLEY,427.0,4.0,PA,Canada,1-425-503-7952,147236.0,Comerica,436164.0
Tou115,Elvera,86.0,,W,1.0,3.0,O,Touchette,322.0,0.0,New Brunswick,United States of America,1-012-389-9089,452557.0,Steel Dynamics,1069481.0
Kur116,Nessy,,V,S,9.0,0.0,R,Kurdziel,792.0,2.0,UT,United States of America,1-909-472-6704,179305.0,Coca-Cola Enterprises,
Her117,lona,87.0,,U,2.0,0.0,O,Herod,478.0,3.0,VA,Canada,1-622-167-5411,205817.0,News Corp.,2957261.0
MCV118,RHEA,92.0,P,M,1.0,5.0,O,MCVICAR,477.0,,NH,United States of America,1-164-511-9338,262711.0,,228459.0
LAB119,Josefa,4.0,,M,6.0,5.0,O,LABFIVE,449.0,1.0,VT,Canada,1-804-532-9163,84810.0,Stater Bros. Holdings,67267.0
but120,alikee,8.0,,U,2.0,4.0,O,butta,466.0,2.0,FL,United States of America,1-197-370-0297,96441.0,BorgWarner,1087978.0
Pro121,dolorita,97.0,,M,2.0,5.0,O,Projects,483.0,0.0,NC,United States of America,1-337-042-5687,462762.0,CB Richard Ellis Group,3885967.0
Irc122,Marilyn,,,D,4.0,4.0,O,Irc,588.0,5.0,VA,United States of America,1-056-138-5321,141890.0,Zimmer Holdings,3271101.0
Ziv123,robertson,40.0,G,,2.0,5.0,O,Zivkovic,313.0,5.0,DC,Canada,1-776-191-2031,156610.0,Mohawk Industries,
sim124,Ilsa,95.0,H,U,1.0,4.0,R,simser,647.0,1.0,NC,United States of America,1-280-696-2706,164752.0,Berkshire Hathaway,1999133.0
kei125,Pen,92.0,I,S,2.0,5.0,O,keifer,430.0,1.0,MS,United States of America,1-857-581-6346,278949.0,Saks,1100786.0
arv126,AUBRETTE,67.0,P,W,8.0,5.0,O,arvin,467.0,0.0,SC,United States of America,,,Gardner Denver,563992.0
Pra127,Cole,24.0,,M,7.0,2.0,O,Praeuner,399.0,3.0,KS,United States of America,1-716-343-0884,463736.0,Hasbro,962397.0
lue128,liva,26.0,C,M,5.0,3.0,O,lue,654.0,2.0,VT,United States of America,1-101-776-2496,,CBS,1064169.0
Prz129,Ayaz,62.0,,S,3.0,0.0,O,Przybycien,378.0,2.0,IL,United States of America,1-769-028-0589,86667.0,Synnex,2100059.0
pen130,YETTY,37.0,J,W,10.0,1.0,O,penn,338.0,5.0,FL,United States of America,1-005-833-8970,193470.0,Belden,99025.0
Gua131,Mary-michelle,71.0,S,S,10.0,0.0,R,Guay,695.0,5.0,MI,United States of America,1-884-215-4243,406379.0,Broadcom,3865481.0
bre132,agretha,29.0,,M,7.0,3.0,U,brennand,614.0,1.0,Newfoundland,Canada,,480595.0,Reynolds American,804544.0
Sav133,LOTTY,89.0,X,S,7.0,5.0,O,Savanh,307.0,4.0,ME,United States of America,1-725-177-7815,181718.0,Wells Fargo,3143356.0
ABB134,Kassey,11.0,Z,M,2.0,3.0,O,ABBATANTUONO,331.0,0.0,AL,United States of America,1-277-496-5396,468310.0,Retail Ventures,
OP135,Adria,20.0,N,S,2.0,0.0,O,OP,638.0,2.0,IN,United States of America,1-756-463-2201,354987.0,AT&T,2311953.0
Mer136,audivox,75.0,,W,3.0,5.0,O,Mersinger,703.0,3.0,NH,Canada,1-261-338-7463,284539.0,Wynn Resorts,3120608.0
rut137,SUE,95.0,,S,7.0,5.0,O,rutt,302.0,0.0,DC,United States of America,1-811-086-4675,213725.0,Eastman Kodak,2058270.0
bem138,Lorenza,0.0,I,U,,3.0,O,bemis,522.0,2.0,DC,United States of America,1-338-771-1185,74195.0,Aramark,1511983.0
Pen139,Enzo,73.0,,M,,1.0,O,Pennington,,5.0,MD,United States of America,1-554-231-5318,169295.0,ENSCO International,439080.0
tor140,claudina,39.0,Y,W,5.0,0.0,R,torok,833.0,1.0,Prince Edward Island,United States of America,1-733-886-5227,307832.0,Auto-Owners Insurance,921255.0
law141,Otha,76.0,L,U,2.0,1.0,O,lawlis,,1.0,MD,United States of America,1-267-357-1943,20397.0,Bemis,3810365.0
Bee142,Rodie,5.0,D,U,6.0,2.0,O,Beebe,664.0,2.0,New Brunswick,United States of America,1-602-756-7919,463094.0,Securian Financial Group,2641938.0
sch143,DULCE,65.0,,U,7.0,1.0,O,schlange,789.0,4.0,HI,United States of America,1-793-864-7010,331900.0,Ford Motor,3857323.0
Wit144,Win,94.0,,S,0.0,0.0,U,Witchlow,803.0,5.0,ND,United States of America,1-637-020-2921,8421.0,ConAgra Foods,1636212.0
MER145,Roselin,95.0,Q,M,3.0,4.0,,MEREDITH,720.0,4.0,Nova Scotia,United States of America,1-428-797-6325,35780.0,Charter Communications,2999082.0
bia146,Malanie,28.0,,M,4.0,0.0,R,bialkenius,839.0,1.0,ME,United States of America,1-011-549-5618,139897.0,Calpine,2280820.0
Swi147,TARYN,76.0,P,D,0.0,1.0,O,Swiat,621.0,4.0,Alberta,United States of America,1-993-255-5481,414119.0,Crane,1050866.0
bul148,MALENA,81.0,,D,3.0,4.0,O,bullinger,628.0,5.0,VT,United States of America,1-487-749-4448,234035.0,Textron,
TYR149,Dorie,38.0,,W,6.0,5.0,O,TYRRELL,813.0,3.0,DE,Canada,1-192-352-2184,144405.0,Idearc,603001.0
Fyf150,Liese,25.0,,W,3.0,3.0,R,Fyfe,367.0,5.0,MA,United States of America,1-293-442-4224,55441.0,Cabela's,3368239.0
Sic151,tele,0.0,,D,10.0,2.0,O,Sicard,807.0,4.0,CA,United States of America,1-078-502-6700,392869.0,EOG Resources,1042629.0
CAS152,astra,61.0,,U,8.0,4.0,O,CASTEN,501.0,3.0,Manitoba,United States of America,1-430-909-3001,402416.0,,1948746.0
Cho153,marnia,3.0,S,U,10.0,2.0,O,Choy,490.0,0.0,TN,United States of America,1-392-455-0895,89984.0,Burlington Coat Factory,3113862.0
CHA154,AMY,77.0,,W,3.0,3.0,O,CHACKO,321.0,2.0,FL,United States of America,1-273-921-9787,395773.0,Southwest Airlines,2777290.0
bei155,HAMILTON,8.0,E,U,6.0,0.0,R,beil,,1.0,CA,United States of America,1-012-993-4538,126662.0,RPM International,2210073.0
Ele156,Kuldip,34.0,J,U,7.0,1.0,O,Eleftheriou,446.0,4.0,CO,United States of America,1-890-859-4211,132008.0,Amazon.com,1999684.0
o'g157,krystalle,15.0,,M,2.0,5.0,O,o'grady,428.0,5.0,Saskatchewan,United States of America,1-080-032-3031,417218.0,Neiman Marcus,2119678.0
Kat158,Stella,66.0,,S,5.0,0.0,O,Katchmar,423.0,0.0,UT,United States of America,1-561-620-7173,360063.0,Goldman Sachs Group,169808.0
Lui159,Marie-josee,55.0,O,U,6.0,4.0,O,Luin,499.0,5.0,ME,United States of America,1-017-439-0362,100516.0,Boeing,1072732.0
Kla160,Nashib,8.0,,S,7.0,1.0,O,Klavkalns,342.0,1.0,NH,United States of America,1-248-539-6621,16814.0,United Refining,2261442.0
Bru161,Annette,7.0,Z,M,1.0,3.0,U,Brunsting,632.0,1.0,VA,United States of America,1-611-789-5569,,D.R. Horton,2234368.0
Apt162,LENA,97.0,Q,M,6.0,1.0,O,Apter,525.0,3.0,TX,United States of America,1-023-151-8130,315962.0,Jarden,575288.0
sch163,Christian,95.0,,M,9.0,1.0,R,schuette,371.0,5.0,Saskatchewan,United States of America,1-005-574-3523,299268.0,Systemax,1102479.0
Lan164,Morrie,92.0,,U,4.0,3.0,O,Lanava,699.0,1.0,NH,United States of America,1-550-487-1571,301490.0,Marriott International,2995388.0
Fus165,LYMAN,17.0,,M,8.0,2.0,O,Fusca,435.0,3.0,VA,United States of America,1-280-494-1415,36052.0,Expeditors International,1147193.0
Nev166,REUBEN,81.0,R,U,2.0,4.0,U,Nevardauskis,512.0,1.0,IA,United States of America,1-803-438-4141,437483.0,Great Plains Energy,1136540.0
SHA167,Hermon,13.0,,M,6.0,,O,SHACKLEFORD,552.0,5.0,NC,Canada,1-566-299-2351,152971.0,Danaher,1677669.0
Sau168,Paqs,78.0,P,M,8.0,2.0,O,Sauck,,0.0,NH,Canada,1-586-363-4189,449495.0,,2160706.0
fri169,GAETAN,78.0,,M,5.0,1.0,O,frischknecht,687.0,4.0,AL,United States of America,1-505-124-9029,349827.0,Watson Wyatt Worldwide,2525665.0
fer170,leese,85.0,O,M,0.0,1.0,R,fernandez,433.0,3.0,British Columbia,United States of America,1-897-996-9812,9562.0,Yahoo,3517622.0
LAN171,Amelie,68.0,,U,7.0,2.0,,LANDERS,746.0,1.0,MD,United States of America,1-922-919-5858,24514.0,Convergys,
Bha172,TAMRA,1.0,,M,9.0,0.0,R,Bhasin,405.0,0.0,IA,Canada,1-326-572-2988,407985.0,Celanese,97675.0
Jor173,bang,83.0,,M,,5.0,O,Jordan,805.0,5.0,ND,United States of America,1-076-972-4311,,Dana Holding,
KNU174,HILDEGARDE,78.0,,M,5.0,4.0,O,KNUDSEN,819.0,4.0,NY,United States of America,1-341-595-8408,257897.0,XTO Energy,3569070.0
Ham175,Carmody,,,M,0.0,5.0,O,Hamelin,648.0,0.0,OR,United States of America,,261143.0,Alliance Data Systems,1507616.0
MAU176,Dareen,5.0,,U,10.0,5.0,R,MAUER,401.0,5.0,MO,United States of America,1-536-952-5040,110615.0,Franklin Resources,514151.0
Rez177,WEN,43.0,,U,8.0,0.0,U,Rezansoff,484.0,2.0,CT,United States of America,1-663-917-0422,407799.0,Fidelity National Financial,2903408.0
Koa178,MOT,53.0,,U,1.0,4.0,O,Koa,463.0,4.0,MO,Canada,1-843-773-1791,195242.0,FirstEnergy,1695814.0
HAN179,leese,13.0,B,U,5.0,0.0,O,HANNEMAN,335.0,3.0,MN,United States of America,1-823-567-1252,315490.0,Commercial Metals,868465.0
jak180,nettie,7.0,I,U,10.0,4.0,O,jakim,,5.0,NC,United States of America,1-744-421-7512,22201.0,Genzyme,2810709.0
ump181,AILEE,17.0,C,M,7.0,5.0,R,umphres,381.0,4.0,TN,United States of America,1-621-744-1484,441579.0,US Airways Group,3593363.0
Wic182,chan,67.0,G,M,1.0,2.0,O,Wickham,708.0,2.0,NV,Canada,1-973-214-3381,342730.0,Advanced Micro Devices,2607636.0
Gat183,RAY,54.0,,M,8.0,4.0,R,Gates,354.0,5.0,AL,Canada,1-428-266-1600,117267.0,United Parcel Service,2735642.0
bot184,Robinette,5.0,,S,10.0,4.0,,bott,547.0,1.0,NE,United States of America,1-334-466-5299,260107.0,Fastenal,1501732.0
DAV185,Rocke,28.0,T,D,9.0,1.0,O,DAVID-YERUMO,761.0,1.0,KS,United States of America,1-249-478-5643,166760.0,Core-Mark Holding,397072.0
