prospect_gncd,prospect_pstlcd,prospect_nmbrchldrn,prospect_ddrssln2,prospect_ddrssln1,prospect_gndr,prospect_nmbrcrdtcrds,prospect_ct,prospect_ntwrth,prospect_mddlntl,prospect_mplr,prospect_crdtrtng,prospect_phn,prospect_lstnm,prospect_nmbrcrs,prospect_ncm,prospect_mrtlstts,prospect_g,prospect_wnrrntflg
dgc7511,NCEVKLQEEWTA,1.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,m,3.0,Greensboro,490443.0,,Interstate Bakeries,,,dgcnbxfhc,5.0,210038.0,M,72.0,O
lql7512,DODDIDDHXS,5.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,,9.0,Concord,3348923.0,,eBay,318.0,1-268-630-3843,lqlslgqsvyfxqnzuwbfg,4.0,307402.0,M,40.0,O
Wsk7513,Oqnzttrldq,1.0,ucxdpiwilpxxhv,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,m,4.0,Colorado Springs,331799.0,,Boise,613.0,1-915-548-9541,Wskjvrujdwku,4.0,,D,8.0,R
Ffs7514,Lwbawk,1.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,,,4.0,Mobile,1167013.0,v,MDU Resources Group,786.0,1-536-880-0961,Ffshsiomkzjonhxjhunfsao,4.0,432425.0,U,10.0,R
Kvv7515,Ppsrzjdtg,3.0,,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,,10.0,Thousand Oaks,3960216.0,F,Freescale Semiconductor,,1-494-335-6022,Kvvverfkpazpzzkrqniixrhnw,0.0,122041.0,U,24.0,O
mpz7516,,4.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,,f,5.0,Rochester,242246.0,G,Superior Energy Services,623.0,1-814-158-3550,mpzqnwnrmaozfsstcqtrc,1.0,302205.0,M,18.0,O
Jhc7517,,1.0,Havgczldcpfmwfzj,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,F,1.0,Garden Grove,1217660.0,s,Monsanto,845.0,1-420-580-0795,Jhcbaxyzijphmmvpampdgvgisnab,1.0,367555.0,S,79.0,O
dbq7518,Rxdsunq,5.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,7.0,Tampa,1229655.0,l,Newfield Exploration,645.0,1-924-305-1666,dbqcukoddoiwg,4.0,106025.0,M,36.0,U
Xch7519,JXHVEEOU,2.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,m,1.0,Fullerton,1157831.0,,Loews,495.0,1-450-082-2122,Xchoxlbkffuvox,2.0,106690.0,W,21.0,O
oir7520,XHJQCDPOO,2.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,m,8.0,Washington,,Z,Apache,371.0,1-573-009-1404,oirfujtvl,2.0,29373.0,M,4.0,O
Fqb7521,rapkjpmvp,3.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,M,1.0,Norfolk,,O,Robert Half International,462.0,1-603-897-9894,Fqbovz,2.0,168189.0,S,72.0,R
qex7522,Slskxm,,Rirmrpvlknyho,Dmyivtczopuqajpnjqvvgbhxynvduub,,7.0,Sydney,3467922.0,,Viacom,375.0,1-947-161-6502,qextfjyytqwbmdrlykbfnhvqrmota,,264756.0,S,1.0,U
Hpi7523,FXHXLG,2.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,,10.0,Winnipeg,46859.0,,Robert Half International,516.0,1-586-826-9847,Hpiedhvkedqqdxsoedt,1.0,44480.0,S,98.0,U
Fjd7524,ovlziicdezok,5.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,Esuycdxsjfbrqbtluspxsehk,,,Wilmington,2937668.0,,CSX,703.0,1-217-243-2668,Fjdafgbcrml,1.0,87207.0,,35.0,R
Cgt7525,jsxcpvao,2.0,Rpzwirgfyiw,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,,7.0,El Monte,2388613.0,,Country Financial Services,734.0,1-857-211-5728,Cgtcmbl,4.0,238434.0,W,99.0,O
Lwx7526,Ykerbceq,2.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,4.0,Sterling Heights,3116283.0,,Procter & Gamble,469.0,1-089-966-6281,Lwxudfgcqawccntqaucdaeym,0.0,,M,49.0,U
epy7527,VVMSNWEBT,0.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,vnyndcximwxhecv,,2.0,Pembroke Pines,2671950.0,,Ingles Markets,595.0,,epyxtfsrijhddstgaxkbgmlayjtk,3.0,391354.0,S,72.0,O
Aff7528,bibueqwbejem,0.0,Acdrcqabtcdgmgl,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,m,1.0,Philadelphia,3899593.0,M,Forest Laboratories,410.0,1-231-342-6874,Affcha,3.0,419165.0,U,41.0,O
mfc7529,gehpynlk,2.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,,,10.0,Glendale,2537332.0,S,Dentsply International,475.0,,mfcestd,3.0,396509.0,W,54.0,O
Slf7530,Piwlxtg,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,GVSBHGBDDVJFNNOZNNPJWCOI,,2.0,El Monte,733236.0,S,RadioShack,,1-602-637-1838,Slfbmvc,0.0,145161.0,,11.0,R
Cxu7531,Ujlshmosjkid,5.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,,3.0,Warwick,,,Century Aluminum,519.0,1-003-982-8627,Cxuousxqyrfgjvpvuopyfguqva,2.0,263206.0,W,0.0,O
GZO7532,cwburwnupuj,3.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,BIQIOQOHLQSTBRUFOI,,5.0,Milwaukee,3397276.0,F,,841.0,1-136-358-6852,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,3.0,190371.0,D,27.0,U
DRW7533,CNEZMHTKIAEV,1.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,Llfaqkbemnoy,,6.0,Phoenix,2444257.0,A,FPL Group,540.0,1-123-528-2965,DRWTVTDSG,3.0,203968.0,U,95.0,O
set7534,kixvppuqtd,3.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,f,10.0,Anchorage,71520.0,N,Lockheed Martin,540.0,1-136-565-2501,setksinlvlrjwnfu,1.0,428323.0,U,35.0,R
Pyo7535,jrhynxfi,1.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,6.0,Madison,1911091.0,,Sanmina-SCI,,1-317-986-1984,Pyoixliri,4.0,159980.0,M,96.0,O
FSH7536,dnhtjyu,0.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,M,6.0,Fontana,988775.0,,Iron Mountain,424.0,1-265-603-1262,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,0.0,266852.0,W,96.0,O
Tdx7537,YKOVOTYB,5.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,,2.0,Charlotte,3919363.0,,OfficeMax,623.0,,Tdxyljuxporjhdumcvfmv,5.0,206973.0,M,49.0,R
Sbn7538,WNNMWJ,1.0,XHQNMCEJKXOQYVSZVESLKC,atydogjpqphuwhegtbukkqiaeakrtrn,,4.0,Richmond,428918.0,O,AMR,792.0,1-156-668-6882,Sbnxcsrozzcufdoyvckpplofysx,5.0,258221.0,S,,O
Piq7539,Oktkljv,4.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,Hlotorcbtobuceb,f,6.0,Santa Clarita,58134.0,C,Kohl's,718.0,1-164-648-3203,Piqizouhxiw,4.0,428508.0,S,27.0,O
IXD7540,,0.0,Toumjfbsumpgfuskpydjeibaxi,gsrdigbqfwrahybxrtm,M,6.0,Yellow Knife,3703767.0,,Cigna,401.0,1-839-795-1027,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,4.0,,M,98.0,O
wsn7541,GXFLSISZUY,5.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,,2.0,Oxnard,433859.0,,West,557.0,1-958-412-4252,wsnjomkxbtybfnmtcjhvmblfwamnwd,4.0,58953.0,M,,R
Jkp7542,gzexcrngivl,5.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,M,7.0,Huntington Beach,3002044.0,A,Monsanto,393.0,1-392-335-1020,Jkpmtcj,5.0,409682.0,W,56.0,O
CCF7543,yzoikhwrd,4.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,,M,10.0,Durham,1124168.0,,Reliant Energy,557.0,1-912-050-7605,CCFFVCOHCLUUXZIQTCFCUHEYN,2.0,340191.0,M,94.0,
ylj7544,Gdbktega,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,RELJYREDKQEKGOORBLRKOUIC,,5.0,Naperville,2081541.0,,Idearc,465.0,1-075-551-9919,yljvuglvt,4.0,238216.0,U,98.0,O
ZBB7545,Kdcqzpvf,1.0,hkyochorqgtokxgozmoncalaaiw,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,F,6.0,Albuquerque,1897076.0,V,Neiman Marcus,,1-013-611-2674,ZBBXAWVJAAL,0.0,113171.0,M,8.0,O
fqe7546,Tbwgwtmgcu,,Datdnghoiymltcayulgkgxywi,Yewxbqpnfgh,m,10.0,Newark,235172.0,,O'Reilly Automotive,485.0,1-656-865-7544,fqekemquvstw,5.0,234797.0,W,90.0,
Wpw7547,Mwmfs,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,,2.0,Miami,639573.0,,Cliffs Natural Resources,303.0,1-879-870-7379,Wpwhilrlzng,4.0,225322.0,M,34.0,
vpz7548,goelqgcts,2.0,,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,,4.0,London,2667082.0,,Health Management Associates,846.0,1-366-625-9813,vpzxgcwljllsq,1.0,192689.0,W,25.0,O
Yfz7549,ucwygjzs,4.0,,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,1.0,Worcester,2598634.0,,Chevron,621.0,1-359-462-7089,Yfzmtcvxc,5.0,348685.0,,50.0,O
dou7550,fjlfqftwg,4.0,,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,,Jacksonville,1074671.0,,Exide Technologies,331.0,,douvwdwiwrxoivzaojazinrhswjv,3.0,401229.0,D,85.0,O
FDJ7551,Tocujgaiaq,4.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,hfuyqlsmbesrylepu,M,9.0,Nashua,2272997.0,,Convergys,401.0,1-153-396-8333,FDJOVRSOCWEIKZ,5.0,38597.0,M,60.0,R
ufu7552,kurjmmgixxfd,2.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,,0.0,Newport News,702000.0,,Dominion Resources,644.0,1-144-623-1308,ufutrfkevxnbupjcetrpltw,2.0,,S,95.0,R
bbg7553,cnsavindoi,1.0,NBSHKLXYVUUWXEQSGXR,qgjnvpwvmgsqzcanzncon,m,5.0,Corona,1289800.0,H,Sentry Insurance Group,769.0,1-269-220-8046,bbgzmquoeecumw,4.0,161204.0,M,8.0,R
Znk7554,MQBSAUVQRPYE,4.0,jaxpxxcjpqnmhujzeryywtaqfibrvjuuhgihamgeozylueonpssxppzubaiszvrsdnli,HNBGLUDIOAJRCCIXGDUQOO,f,2.0,Lincoln,1007390.0,v,Cintas,481.0,1-052-524-0130,Znkkdbkvxcxeuackyodqlkpl,3.0,202650.0,M,31.0,O
CGQ7555,vadbnvz,2.0,Fybefboxxpctrjbukylnapoyrwblhkedslpgmv,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,F,7.0,Toronto,124290.0,T,Medtronic,732.0,1-335-871-6660,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,1.0,,U,51.0,O
add7556,Ljurvnigr,4.0,Jwnmnrgaorhevoeuouzzflzrqbvbepxshkroqtsatorgyq,dnlleihfh,,2.0,Fayetteville,1820002.0,,Pride International,802.0,1-637-394-8083,addxtssyhezwro,4.0,492433.0,M,24.0,O
Anw7557,BQDMQVFTNBRJ,4.0,oirwzdfgqxansutunbvjetsjmwaporydypbmkytmkxtudhykhlfxwyfienshpga,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,,5.0,Charlotte,2200347.0,J,A. Schulman,329.0,1-706-795-4208,Anwyusqezrjppzkaevffwljm,2.0,344858.0,M,78.0,O
Hvt7558,jkcul,0.0,nqcozjievwzk,Wsjaujjdexc,m,0.0,Tulsa,3669569.0,,Oneok,839.0,1-622-347-5699,Hvtanebvipbdd,5.0,197290.0,W,56.0,R
Yqj7559,Nelny,,IPHMQTVCTWHKZTTEXVGBZIMXKQPRTMOMQGMKULQYVFKMJIXBYCFJ,Ojberg,,,Winston-Salem,2140537.0,d,Danaher,539.0,1-042-017-9368,Yqjaammjlhgpw,2.0,283654.0,U,50.0,
Ztn7560,Qsggz,5.0,ykqmdxnjptruzfrtrxuzliegrjoukbbngeivjuyo,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,F,4.0,Thousand Oaks,3258909.0,,Del Monte Foods,561.0,1-829-935-5979,Ztnstwpjxatqveppicohpzilnn,4.0,317423.0,M,52.0,R
bni7561,Drofa,5.0,Lfrjkyblujmbxigmylpsxieswspmei,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,F,2.0,Lubbock,1825422.0,,American Electric Power,814.0,1-076-726-5283,bnizllrrofn,4.0,399126.0,W,14.0,O
swx7562,Ssovhtmt,0.0,Fjqtbijoqcwhabljushhschaxdqtzjhbxfgnrhg,Xwtkpxqgohxwxnv,,7.0,Winnipeg,1845263.0,,TJX,305.0,,swxorhmdydwbrtdqxroghsddlpbdgi,5.0,398180.0,M,29.0,R
DSA7563,Tnprhljfrlj,4.0,Kteeeexlhuihtzqagxidvmwnyjrhkquamdymfabfshjeciqttmtpxskqoaqdlcikisbcxgenkmvlbi,Qpvmtkxxfef,f,4.0,Laredo,1463114.0,P,Philip Morris International,457.0,1-284-129-5920,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,2.0,,S,50.0,O
BXZ7564,Bkxujhonjgjk,1.0,Syzekstuevpshdzfvcjodcagverxpkwlrufknrwclcbaejmemrylewqmwkcnjdofdjjro,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,,8.0,Overland Park,2354683.0,,Cincinnati Financial,349.0,1-128-308-8886,BXZUTWBUFSGPPXKR,4.0,485429.0,U,67.0,O
pcz7565,mrjrjhgnwcdu,0.0,Plirpkclrgfnwowuockevefnpxkpcsofgaqjyipndgjpvskjoqjq,KRYAIAJGKHBKXBLC,,0.0,Calgary,436677.0,,Stryker,590.0,1-145-469-5971,pczqycbwefse,2.0,118018.0,M,22.0,O
Zqa7566,Yusezkfgs,4.0,PGJMEIGJJJOIUBDZWSAYZUBZDNHYRZYNIQKMPYSEBTHYHMRXMTUONNZEJXXRT,,m,0.0,Peoria,2383335.0,,Kansas City Southern,533.0,1-727-684-7767,Zqaknviqngvemehvpzrcgkcvre,5.0,309693.0,U,20.0,O
Htl7567,RKXTQAO,0.0,IBQIDE,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,,9.0,Durham,2574739.0,z,IDT,686.0,1-776-201-2472,Htltlfnvjctvvdvulpkhcbyfi,4.0,90718.0,W,75.0,O
afw7568,UBQSATXZO,0.0,TWGMPVQQVGNHMQHBATGNIWESBBIIBLSZQJGKHMWYBLXEFLIUDYMUKQKTJHQBHMQEUHRIAFWAXGHEMK,VBDCWYVK,F,10.0,Pueblo,1596838.0,L,Vornado Realty Trust,582.0,1-767-942-1278,afwafvxxdr,2.0,280645.0,U,60.0,O
Wna7569,BHRNWQLFVFA,4.0,Lrebujnrg,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,0.0,Las Cruces,591965.0,,Dollar General,807.0,1-723-062-7266,Wnakgzhqfhtavtvegjtdmdosnjr,,231559.0,S,,O
Mlh7570,Ktmzav,5.0,sajoxoumuinhbxrvfxfjsbgsovpttpxgqpzmwqfuokjfisqrh,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,,3.0,Chula Vista,3071440.0,,Safeway,819.0,,Mlheqxaigtvjaynkffyqkpu,3.0,36898.0,S,48.0,O
Gor7571,Nfpchgfj,0.0,LCMZKYZFSDMYWBUXWFKZFVTCVWQTBUPLEQTDYFBMMYCXU,Gwxymofcy,,5.0,San Diego,2683081.0,,Apache,311.0,1-145-314-0862,Gorjnqxjtefmomsbmtnogaerx,2.0,396786.0,M,91.0,R
ENX7572,Wuywecohosfi,5.0,Hxutrprq,Qynjnmfgwxpmrw,f,3.0,Chicago,3850483.0,,Lowe's,734.0,1-735-104-7772,ENXOMNHFVPYQSABETPUEKRKCL,2.0,344365.0,U,98.0,O
fgr7573,tibxlojrqiha,1.0,TBNJAUXZROMGQKLALIZLLPXFRECDDTY,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,,1.0,Worcester,1870617.0,,Lithia Motors,432.0,,fgrdzzudzmwlluff,4.0,1205.0,W,51.0,O
Ysh7574,ogmes,0.0,JRHXPUUHAFHDPF,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,m,3.0,Honolulu,1249534.0,a,CH2M Hill,394.0,1-518-116-1411,Yshzkx,5.0,276666.0,S,22.0,O
Mos7575,JUBKXDKP,0.0,yvntcqjqqmbftwetvbqgclcdbxspvk,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,,1.0,Albuquerque,3789880.0,I,Tellabs,658.0,1-696-359-4829,Mosqjrkdycyygfsljqadgfqoldb,0.0,497953.0,U,57.0,O
czu7576,Xbgykqm,2.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,,3.0,Oakland,3874445.0,,Phillips-Van Heusen,348.0,1-352-678-5471,czuvw,1.0,156048.0,M,38.0,O
Ghr7577,NNCXIBTCXZA,5.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,BESJDYZDIOIXKDFEHBQXBPW,,8.0,Billings,437353.0,Z,Wells Fargo,598.0,1-906-600-9749,Ghrlcuscpesuzsdwqfwwbgh,1.0,63617.0,M,68.0,O
Rwk7578,mfwuio,2.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,Ouopoqztakszwsfkthdbwndfjuqaelyd,,9.0,Pueblo,2669917.0,,Vornado Realty Trust,505.0,1-093-018-2851,Rwkdeshuwhwvmvmdnckmuvdt,2.0,244849.0,U,93.0,O
Uwi7579,Utgwrun,3.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,Ivwhotvobwkshcixclfobqoljlaqohw,,7.0,Sherbrooke,1466537.0,,New York Times,839.0,1-302-096-9321,Uwinnbtdd,4.0,123585.0,S,48.0,R
VXZ7580,Wgulrhctjlg,1.0,CYQWJKJB,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,,2.0,Sacramento,991860.0,,Adobe Systems,672.0,1-915-044-3154,VXZTLDNZPYIFIKTIJRXS,1.0,391134.0,S,96.0,U
Ayk7581,Srhxvxe,5.0,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,f,3.0,Charlotte,,p,Valmont Industries,696.0,1-040-274-3474,Aykkkc,5.0,426759.0,M,58.0,O
lho7582,Dadkihaohc,3.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,M,5.0,El Paso,1816368.0,,UAL,448.0,1-678-397-2739,lhodktal,5.0,451737.0,W,63.0,O
rzi7583,Fpoleiod,1.0,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,,9.0,Mesa,565246.0,,AFLAC,549.0,1-679-345-9939,rziprpcfwnirtuvrbfnuepq,2.0,180822.0,S,18.0,O
Wds7584,Cuaieflmccqp,2.0,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,,0.0,Simi Valley,1899339.0,,VeraSun Energy,705.0,1-093-616-0613,Wdsuorykxmvfxupyyjl,4.0,205843.0,W,40.0,O
Xsj7585,qiraymmapgf,3.0,ccfzcxohrhrcnypedmhjovjyjrxi,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,M,6.0,St. Catharines,3873239.0,f,Magellan Health Services,387.0,1-546-131-8988,Xsjypvyfoqbiq,4.0,470985.0,M,29.0,O
Lux7586,Tsynomgib,1.0,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,Nhgrkzjzcrjcerkwrugwul,,7.0,Washington,767547.0,v,Emcor Group,359.0,1-477-186-7432,Luxkby,2.0,318225.0,U,21.0,
