Age,Country,AgencyID,NetWorth,Income,FirstName,NumberChildren,LastName,AddressLine1,NumberCars,OwnOrRentFlag,City,Gender,MiddleInitial,CreditRating,AddressLine2,State,Employer,MaritalStatus,Phone,NumberCreditCards,PostalCode
26.0,United States of America,Pes15,1504480.0,473462.0,Amour,2.0,Peschke,24679 AIRPORT CRESCENT,0.0,O,Denver,,,472.0,Apt. 290,TN,Kelly Services,S,1-026-208-8595,6.0,21228
54.0,Canada,CHI16,2763009.0,499493.0,jenica,4.0,CHILDERHOSE,7627 douglas road,5.0,O,St. Paul,,,817.0,,TN,Viacom,M,1-432-681-4853,4.0,85097
87.0,United States of America,Din17,2787199.0,266928.0,KATTIE,4.0,Dinnin,6106 ashland east,5.0,R,Bellevue,,,441.0,,OK,Macy's,M,,0.0,V6j 1q8
85.0,United States of America,De 18,2789368.0,72444.0,Roselle,3.0,De witte,1111 norden street,2.0,O,Detroit,,M,848.0,,Ontario,Gardner Denver,M,1-357-207-6320,6.0,43207
86.0,United States of America,Mck19,2784776.0,77290.0,arlyne,3.0,Mckeegan,2798 1st east,3.0,R,Omaha,m,,843.0,,KY,Family Dollar Stores,U,1-462-774-1277,8.0,V6t 1q8
59.0,United States of America,WIN20,288747.0,395066.0,Rong-chin,0.0,WINTERS,11358 elle lee street,2.0,R,Costa Mesa,M,P,,,PA,,U,1-702-382-2898,,94467
94.0,United States of America,BIT21,876575.0,119283.0,Darlleen,3.0,BITTMAN,21074 MALLORY LOWER,5.0,O,Berkeley,,,300.0,,MD,Sun Microsystems,U,1-909-554-7120,0.0,94321
,United States of America,luz22,2041224.0,330991.0,Radoslav,1.0,luzarraga,16124 weyland park,1.0,O,St. Louis,f,V,795.0,,TX,Costco Wholesale,U,1-752-296-7940,8.0,C2a 4w7
5.0,United States of America,don23,2231509.0,,Aryn,0.0,donovan,23822 marvin crescent,4.0,U,Colorado Springs,,S,367.0,,IN,Illinois Tool Works,,1-995-554-5056,5.0,35808
23.0,United States of America,Gia24,3206409.0,252031.0,Allisan,5.0,Giallo,2203 valita boulevard,1.0,O,Fontana,,T,507.0,,MD,Southern Union,M,1-090-303-3807,1.0,M5f 1v6
61.0,United States of America,SPR25,3850037.0,101800.0,Ammamaria,1.0,SPRUELL,11538 COLLINWOOD AVENUE,3.0,O,St. Catharines,M,,362.0,,KY,Moog,M,1-492-968-0932,9.0,99539
,United States of America,SKA26,528440.0,436977.0,Mari,1.0,SKALSKI,7818 EAST STREET,0.0,O,Hayward,F,,527.0,,CA,Old Republic International,D,1-960-227-2020,7.0,95055
51.0,United States of America,Gar27,597140.0,495334.0,Anica,,Gargul,10013 shaw road,0.0,O,Palmdale,m,,354.0,,FL,,S,1-431-122-8597,0.0,93686
97.0,United States of America,Dor28,146931.0,274685.0,Melba,1.0,Dore,6802 AMES STREET,1.0,O,Phoenix,,,511.0,,Newfoundland,Great Plains Energy,M,1-822-836-7200,1.0,75218
52.0,United States of America,DIO29,353495.0,320820.0,Tracee,2.0,DIOGO,22501 SUMMIT RUE,2.0,,Gary,,X,412.0,,TX,Broadcom,,1-530-117-0497,7.0,91174
98.0,Canada,Mer30,295647.0,195835.0,CANADIAN,0.0,Merrick,291 frances rue,4.0,O,Beaumont,m,,583.0,,WA,Discover Financial Services,S,1-051-257-2719,1.0,49515
47.0,United States of America,Atc31,408941.0,108085.0,Oue,3.0,Atchison,16264 sanders east,5.0,O,Nashua,,R,710.0,,MN,UAL,U,1-171-989-1363,5.0,16506
47.0,United States of America,Pla32,362523.0,260185.0,wallie,1.0,Plamondon,16068 cantey way,2.0,O,San Jose,m,X,380.0,,WY,Charles Schwab,M,1-042-705-3246,9.0,94383
9.0,United States of America,SEL33,2102359.0,258323.0,Andromache,0.0,SELCHOW,21170 EDLOE BOULEVARD,0.0,R,Nashua,F,E,796.0,,NY,Coach,M,1-098-328-2026,2.0,T6d 1b3
85.0,United States of America,sha34,3480265.0,79476.0,THOR,3.0,shane,885 CROSBY LANE,1.0,U,Fort Smith,f,Z,818.0,,SC,DaVita,M,1-209-754-5635,2.0,25339
81.0,United States of America,MER35,3648900.0,102156.0,SALAH,3.0,MERWIN,12235 jay street,5.0,U,Lancaster,,,766.0,,MS,Marshall & Ilsley Corp.,M,1-498-781-3456,3.0,V6o 1v4
0.0,United States of America,con36,1161790.0,221481.0,HOR-LAM,3.0,conrad,20340 LOMBARD CRESCENT,2.0,O,Colorado Springs,,,359.0,,UT,Cablevision Systems,M,1-615-241-0440,2.0,01852
28.0,United States of America,ons37,2050587.0,41836.0,Vania,5.0,onsiteteam,22074 dexter upper,1.0,R,Washington,M,,401.0,,PA,Barnes & Noble,S,1-995-449-5200,2.0,78230
65.0,Canada,Sum38,3579198.0,72389.0,Niel,1.0,Summerlin,1540 MURIE RUE,1.0,O,Lowell,M,,609.0,,OK,EMC,U,1-295-673-4452,0.0,93770
20.0,United States of America,gro39,889494.0,66486.0,ziad,0.0,grooms,7075 glen loch drive,3.0,O,Frederick,,F,630.0,,WY,Fluor,S,1-914-675-2986,2.0,m4l 1n4
55.0,United States of America,dil40,2205682.0,200185.0,Claude,1.0,dilkie,11237 balmoral way,3.0,O,Mesa,,I,671.0,Apt. 382,RI,Dollar General,M,,9.0,22335
76.0,United States of America,DOL41,1140117.0,289215.0,AVTAR,2.0,DOLSON,8316 GARDEN BROOK NORTH,0.0,O,Lakewood,,,715.0,,HI,Lear,U,1-825-739-0336,10.0,V6C 1T4
1.0,United States of America,Pos42,1421319.0,322484.0,Donny,1.0,Posthumus,2240 clifton lower,4.0,O,Cleveland,,,707.0,,VA,J.P. Morgan Chase & Co.,M,1-956-713-3802,9.0,M6t 1h3
3.0,United States of America,Mac43,3525204.0,83458.0,Cocos,2.0,Machika,20907 NOTINGHAM LOWER,4.0,O,Grand Rapids,,,329.0,,OK,Affinia Group Intermediate,M,1-814-932-1579,0.0,95263
100.0,United States of America,che44,468976.0,,ruud,3.0,chenoweth,601 carroll lower,0.0,R,Peoria,,,601.0,,Prince Edward Island,,D,1-135-443-7282,8.0,v5b 1p5
81.0,United States of America,hol45,1685443.0,492407.0,Belvia,1.0,holbrooks,18267 state drive,5.0,O,Inglewood,,,623.0,,SD,Goldman Sachs Group,W,1-720-975-0667,2.0,32318
76.0,United States of America,pfi46,337564.0,346630.0,ATHAR,4.0,pfieffer,9270 LEAF SOUTH,4.0,O,Akron,f,,376.0,,OH,E*Trade Financial,S,1-871-598-3505,2.0,93872
51.0,Canada,elk47,84777.0,9572.0,Cherey,3.0,elkington,18582 PERIMETER BOULEVARD,1.0,O,Charlottetown,,Y,560.0,,MA,Pfizer,W,1-607-222-4809,0.0,92824
,United States of America,Lab48,3146477.0,265369.0,RAZ,5.0,Labenek,9612 park stream upper,1.0,O,Bellevue,F,,693.0,,MD,Safeway,,1-965-046-0642,4.0,e4a 1r2
58.0,United States of America,laf49,495277.0,104172.0,kishore,2.0,laferriere,2803 clearwater north,1.0,U,Dover,,Y,346.0,,Saskatchewan,Simon Property Group,S,1-155-441-3579,0.0,H7G 1V4
52.0,United States of America,Nor50,746904.0,65550.0,Nelleke,3.0,Norment,11103 BISSONNET WEST,0.0,O,Fullerton,,I,342.0,,WA,Trinity Industries,M,,0.0,85039
91.0,Canada,hag51,1219620.0,,sibby,0.0,hagar,4652 outervale lane,2.0,R,Denver,,,563.0,,OH,Solutia,M,1-544-132-7237,8.0,v6m 1q3
17.0,United States of America,Bet52,1718910.0,,ericha,3.0,Betcher,341 dunbar west,2.0,O,Dallas,m,,391.0,,WY,,M,1-821-089-2089,4.0,X7j 1r1
6.0,United States of America,Van53,,66244.0,Janson,4.0,Van der,16176 vernon drive,4.0,O,San Jose,m,,381.0,,NJ,A.O. Smith,S,1-135-391-9787,8.0,B8b 1z5
89.0,United States of America,O'L54,2636424.0,426954.0,Dorotea,3.0,O'LEARY,23131 clint way,0.0,U,Bellevue,F,,539.0,,ND,AptarGroup,S,1-776-182-6215,9.0,t5d 1v4
99.0,United States of America,and55,1326305.0,126891.0,Denice,4.0,anderson,11640 baltic upper,5.0,O,San Buenaventura,m,,497.0,,NC,Coca-Cola,M,1-079-780-7761,0.0,V6t 1r2
77.0,Canada,sta56,2241997.0,454196.0,Myron,2.0,starks,20796 dolores drive,4.0,O,St. Louis,,,661.0,,WV,Kimberly-Clark,M,1-504-346-4393,,91177
,United States of America,CHA57,1542891.0,163940.0,Barby,3.0,CHASSE,14359 COMMERCE WEST,5.0,R,Pueblo,,,558.0,Apt. 275,GA,Visteon,S,1-985-538-4351,0.0,T5c 1t1
90.0,Canada,ASI58,797918.0,365213.0,Ariella,1.0,ASING,21448 hampton boulevard,,O,Regina,R,,534.0,,Ontario,TECO Energy,W,1-254-097-9398,,35862
82.0,United States of America,ask59,347654.0,428739.0,ADEY,0.0,askins,7637 pershing way,0.0,U,Saskatoon,f,,373.0,,MA,Bemis,M,1-545-924-9552,6.0,96820
,United States of America,Kik60,2456397.0,142444.0,GAYEL,0.0,Kikuta,11529 arcana boulevard,4.0,O,Jackson,,K,382.0,,CA,Wyeth,M,1-984-233-8818,8.0,75238
15.0,United States of America,Cha61,1284229.0,416168.0,Man,3.0,Chane,2700 windwood north,3.0,O,St. Petersburg,F,,475.0,,SD,United Technologies,S,1-528-691-1642,10.0,85769
,United States of America,KIL62,618787.0,291420.0,Klara,0.0,KILLEN,22279 gramercy road,2.0,O,Scottsdale,m,U,539.0,,Saskatchewan,Clorox,D,,3.0,H5i 1o9
96.0,United States of America,kin63,1171606.0,413501.0,Abdalla,5.0,kinley,9828 west east,4.0,O,Charlotte,f,,711.0,,RI,Discovery Communications,M,1-171-807-8213,6.0,90849
38.0,United States of America,MAL64,3983261.0,,bal,,MALAHER,5935 mcafee park,4.0,O,Waterbury,,,606.0,,NC,Williams-Sonoma,M,1-056-241-7009,1.0,43644
10.0,United States of America,Odu65,2328568.0,419143.0,Romy,3.0,Odum,12460 CLAYTON STREET,3.0,O,Chesapeake,,J,494.0,,SD,Manitowoc,W,1-389-414-0570,0.0,99213
72.0,United States of America,DI 66,2078600.0,155057.0,KORAL,5.0,DI NINNO,275 3rd drive,1.0,O,Hialeah,,,309.0,,IL,Henry Schein,M,1-583-542-1656,3.0,72226
97.0,United States of America,STU67,2986155.0,313859.0,YUKIHIKO,5.0,STUBBLEFIELD,6907 FERNCLIFF CRESCENT,2.0,O,Charleston,,K,630.0,,OR,Trinity Industries,M,1-269-712-0672,3.0,V6Z 1Q9
48.0,United States of America,HAM68,1864039.0,265907.0,Khanh,1.0,HAMBALI,885 crosby lane,4.0,O,Salem,,,330.0,,Ontario,Pepsi Bottling,S,1-670-102-0463,10.0,20082
97.0,Canada,LIB69,1293721.0,283481.0,Darnell,0.0,LIBRARIAN,2344 kalani west,,O,Sacramento,m,,710.0,,FL,UGI,S,1-699-726-3895,9.0,35827
73.0,United States of America,ohs70,3850114.0,200635.0,feridoun,0.0,ohsone,22870 LA CIENEGA STREET,4.0,R,Santa Clarita,M,,475.0,,NM,Greif,M,1-640-666-2876,7.0,99692
71.0,United States of America,HUM71,1618743.0,434519.0,Magdy,1.0,HUMMEL,8478 green avenue,0.0,O,Sherbrooke,,O,596.0,APT. 143,NE,Equifax,U,1-540-639-1311,3.0,V6c 1q5
93.0,United States of America,BRA72,3383487.0,392315.0,jiri,1.0,BRADD,23639 purdue rue,5.0,O,Colorado Springs,,,670.0,,MI,,W,1-285-874-8492,9.0,80158
53.0,United States of America,Boa73,2981876.0,493829.0,AILA,3.0,Boarder,19202 ansley park,5.0,O,Berkeley,,X,722.0,,New Brunswick,Freescale Semiconductor,U,1-121-904-0040,,t6d 1b6
32.0,United States of America,Mcn74,2109339.0,97489.0,Vincenzo,2.0,Mcnally,11319 devonshire rue,3.0,O,San Buenaventura,,,587.0,,NJ,Aleris International,U,1-017-842-3201,7.0,33120
1.0,United States of America,MAR75,791803.0,,Minnnie,3.0,MARKOVICH,23665 deerwood park,4.0,O,New Haven,F,,609.0,,ND,,S,1-215-859-3206,4.0,99742
39.0,United States of America,Wil76,3523678.0,383046.0,alfonzo,1.0,Willekes,4855 union north,0.0,O,Shreveport,f,,401.0,,Saskatchewan,World Fuel Services,S,1-764-520-7470,7.0,V6N 1T1
77.0,United States of America,Dea77,1681902.0,1190.0,Swandi,0.0,Deacetis,9466 SHADOWBRIAR WEST,4.0,,Lansing,m,S,335.0,,KS,R.R. Donnelley & Sons,M,1-414-130-0162,0.0,44104
18.0,United States of America,Hou78,3851455.0,85733.0,Anya,5.0,Houk,3504 regency avenue,5.0,O,Pembroke Pines,,,569.0,,SD,Brinker International,U,1-970-240-9990,7.0,14605
70.0,Canada,Goy79,2339382.0,387890.0,Enrika,2.0,Goyette,7281 northland lower,0.0,R,Palmdale,,,,,FL,Temple-Inland,M,1-408-684-6459,9.0,80076
26.0,United States of America,Mok80,,16808.0,SONJA,0.0,Mok-fung,12481 hayden lower,2.0,O,Savannah,f,Z,679.0,,Saskatchewan,Psychiatric Solutions,S,1-330-353-5908,7.0,V6I 1V6
,United States of America,Run81,2065016.0,304589.0,Liem,4.0,Rundle,2328 gracie avenue,,,Amarillo,,I,356.0,,FL,Nash-Finch,M,1-766-726-2675,10.0,97307
58.0,United States of America,BEL82,2454049.0,48506.0,COLLETTE,5.0,BELLEY,4737 campbell street,2.0,R,Anchorage,o,,308.0,,UT,AMR,S,1-938-425-7509,9.0,46237
43.0,United States of America,BAE83,2423395.0,,SIAMACK,4.0,BAER,2401 stratmore lower,0.0,O,Louisville,,Y,412.0,,WY,Spartan Stores,M,1-527-308-8874,4.0,V6B 1S6
65.0,United States of America,MAU84,1342045.0,358862.0,Toshihiro,3.0,MAULDIN,21477 JUNIPER CRESCENT,2.0,O,Hilo,f,,618.0,,NH,Cigna,D,1-810-590-0635,4.0,H2d 1x1
24.0,United States of America,Koo85,861756.0,477614.0,Casey,3.0,Koohgoli,19214 YAUPON BOULEVARD,5.0,O,Sudbury,,,429.0,,AR,General Cable,S,1-274-548-2512,5.0,95108
79.0,United States of America,Lau86,1215349.0,175414.0,Daryn,1.0,Lauriston,7785 rusk boulevard,3.0,O,Orlando,,,819.0,,CT,Dun & Bradstreet,S,1-649-754-4601,3.0,80050
48.0,Canada,Man87,3981554.0,427598.0,Adrianna,1.0,Mangum,18002 cantrell upper,0.0,O,Missoula,F,L,552.0,,VT,Casey's General Stores,M,1-905-932-1785,7.0,90122
69.0,United States of America,PIE88,3865937.0,368207.0,Cortney,4.0,PIERCY,23341 brookside upper,0.0,O,Abilene,,,587.0,,Manitoba,Jack in the Box,S,1-031-004-7697,9.0,43614
91.0,United States of America,Bus89,2804700.0,449944.0,Duane,1.0,Buscaglia,20494 ROSS WEST,3.0,O,Saskatoon,M,,304.0,,NJ,Assurant,S,1-994-812-4796,6.0,61110
75.0,United States of America,BAB90,3283558.0,166247.0,Tele,5.0,BABIONE,17552 SAVANNAH NORTH,5.0,U,Irvine,,,795.0,,KY,Psychiatric Solutions,,1-176-513-4041,4.0,70174
85.0,United States of America,Bur91,450524.0,391165.0,Ophelia,3.0,Burkard,4462 pace crescent,1.0,O,Reno,M,,830.0,APT. 373,GA,Danaher,S,1-072-244-6337,2.0,90324
76.0,United States of America,Kin92,,165854.0,lorine,3.0,Kinsella,7161 tallowood upper,5.0,R,Sacramento,,,709.0,,NJ,Clorox,M,1-924-669-9328,3.0,s7d 1n1
68.0,United States of America,POM93,,326181.0,Viole,1.0,POMMAINVILLE,3489 silver sage west,2.0,O,Topeka,,,493.0,,SC,Boyd Gaming,S,1-598-488-3541,8.0,93829
95.0,United States of America,BOA94,633760.0,173387.0,Nani,,BOATWRIGHT,12481 hayden lower,3.0,O,Rancho Cucamonga,M,,680.0,,TN,Eaton,M,1-295-539-3868,,89116
15.0,United States of America,Ron95,3634954.0,301127.0,cherey,5.0,Ronald,13210 3RD DRIVE,1.0,R,Hilo,,R,800.0,,WY,Dynegy,M,1-554-020-0267,,94315
17.0,United States of America,wei96,799268.0,487230.0,Redgie,5.0,weihs,8899 starling lane,1.0,R,Saint John,,A,614.0,,Ontario,AmeriCredit,M,1-793-621-4566,4.0,T5b 1u9
94.0,Canada,Hel97,39093.0,425747.0,Yousef,0.0,Helpb,11480 fennel south,4.0,R,Torrance,M,P,763.0,,DC,SLM,,1-787-267-4261,6.0,T6b 1a5
70.0,United States of America,mog98,2705353.0,401946.0,Damaris,4.0,moghe,7266 cherry upper,4.0,O,Santa Clara,m,,561.0,,Alberta,NV Energy,S,1-668-247-1597,3.0,60699
29.0,United States of America,boz99,3565153.0,425422.0,Ilyssa,2.0,bozicevich,10678 ENGLEWOOD WEST,1.0,O,Torrance,,,569.0,,ME,Landstar System,S,1-901-346-8890,4.0,V6p 1s8
52.0,United States of America,Zah100,2832204.0,208890.0,Moselle,1.0,Zaharychuk,21181 2ND RUE,4.0,O,Stockton,,R,634.0,,MA,Pacific Life,M,1-451-273-3803,5.0,v6i 1p1
51.0,United States of America,And101,2194345.0,67880.0,Dulsea,3.0,Andric,22963 hanover road,5.0,O,Paterson,F,,488.0,,NV,Textron,U,1-129-499-9136,10.0,79423
24.0,Canada,Bam102,3737140.0,133412.0,Lyndsie,3.0,Bamfo,8268 cliffbrook boulevard,2.0,O,Mesa,,L,788.0,,WA,Pfizer,W,1-899-319-0772,5.0,H5j 1o6
98.0,United States of America,fro103,464753.0,144829.0,KESLEY,4.0,frondozo,5118 montview court,3.0,O,Anchorage,,,333.0,,WY,Cigna,D,1-053-396-0441,8.0,93761
59.0,United States of America,Car104,596696.0,,LAUREL,1.0,Caron,17442 tallowood upper,1.0,U,Miami,,J,601.0,,NJ,Ameren,M,1-239-665-9540,,76150
49.0,Canada,muc105,1504753.0,143682.0,Steen,4.0,muchow,4038 WEDGEWOOD STREET,3.0,O,Great Falls,f,V,595.0,,LA,Consolidated Edison,U,1-605-888-3403,2.0,99717
1.0,United States of America,gat106,3049281.0,350020.0,noel,1.0,gateau,20334 anaconda avenue,0.0,O,Erie,,,433.0,,TX,Occidental Petroleum,U,1-630-604-2543,10.0,60608
79.0,United States of America,Sch107,247478.0,435103.0,Tracey,,Schaefer,5385 young west,0.0,O,Hollywood,F,M,403.0,,SC,Sherwin-Williams,U,1-851-862-7928,10.0,v6w 1u4
6.0,United States of America,pom108,2750301.0,207768.0,Sarajane,5.0,pomerleau,2747 SINCLAIR LANE,1.0,R,Tulsa,,,615.0,,TX,Affiliated Computer Services,,1-065-415-5724,3.0,T5b 1t6
70.0,United States of America,cuc109,721333.0,407512.0,Geoffrey,4.0,cucuzzella,8622 BROWNWAY PARK,0.0,O,Tucson,F,K,735.0,,MN,Valassis Communications,M,1-408-512-1007,1.0,23298
23.0,United States of America,SUG110,669440.0,403366.0,loralyn,0.0,SUGARMAN,18048 GREEN NORTH,3.0,O,Anchorage,q,Z,668.0,,ID,,S,1-083-902-4184,1.0,32803
78.0,Canada,Pep111,2473979.0,384095.0,andrei,5.0,Pepe,18994 country boulevard,3.0,O,Sandy,,,349.0,,MI,Smithfield Foods,M,1-568-403-7081,,64122
79.0,United States of America,Cha112,3545170.0,288969.0,javad,,Chandrashekar,16063 ashland road,4.0,,Boston,f,,654.0,SUITE 7,OK,,S,1-824-389-0618,,T6b 1h2
72.0,United States of America,SEI113,1494871.0,233665.0,Karna,3.0,SEIFERS,19309 mcfarlin north,2.0,O,Vancouver,m,U,361.0,Apt. 971,UT,TD Ameritrade,U,1-174-210-2058,6.0,22222
31.0,Canada,GAR114,436164.0,147236.0,Jocelyn,0.0,GARTLEY,2454 cliffbrook west,4.0,U,Akron,F,S,427.0,,PA,Comerica,S,1-425-503-7952,1.0,T6a 1d2
86.0,United States of America,Tou115,1069481.0,452557.0,Elvera,3.0,Touchette,15865 strand west,0.0,O,Lancaster,M,,322.0,,New Brunswick,Steel Dynamics,W,1-012-389-9089,1.0,v5d 1n9
,United States of America,Kur116,,179305.0,Nessy,0.0,Kurdziel,13776 east boulevard,2.0,R,Concord,M,V,792.0,,UT,Coca-Cola Enterprises,S,1-909-472-6704,9.0,23321
87.0,Canada,Her117,2957261.0,205817.0,lona,0.0,Herod,10570 WEIZMANN LOWER,3.0,O,Chesapeake,,,478.0,,VA,News Corp.,U,1-622-167-5411,2.0,90505
92.0,United States of America,MCV118,228459.0,262711.0,RHEA,5.0,MCVICAR,15278 walnut hill road,,O,Flint,,P,477.0,,NH,,M,1-164-511-9338,1.0,19066
4.0,Canada,LAB119,67267.0,84810.0,Josefa,5.0,LABFIVE,23007 WAKEFOREST WAY,1.0,O,Chattanooga,F,,449.0,,VT,Stater Bros. Holdings,M,1-804-532-9163,6.0,v6s 1r3
8.0,United States of America,but120,1087978.0,96441.0,alikee,4.0,butta,9088 rivas way,2.0,O,Billings,,,466.0,,FL,BorgWarner,U,1-197-370-0297,2.0,78769
97.0,United States of America,Pro121,3885967.0,462762.0,dolorita,5.0,Projects,18798 ullrich road,0.0,O,Scottsdale,m,,483.0,,NC,CB Richard Ellis Group,M,1-337-042-5687,2.0,53769
,United States of America,Irc122,3271101.0,141890.0,Marilyn,4.0,Irc,18517 HULEN LOWER,5.0,O,Oshawa,,,588.0,,VA,Zimmer Holdings,D,1-056-138-5321,4.0,H7E 1U6
40.0,Canada,Ziv123,,156610.0,robertson,5.0,Zivkovic,11474 dodd lane,5.0,O,Naperville,,G,313.0,,DC,Mohawk Industries,,1-776-191-2031,2.0,e7o 1k1
95.0,United States of America,sim124,1999133.0,164752.0,Ilsa,4.0,simser,9375 wood south,1.0,R,Tampa,,H,647.0,,NC,Berkshire Hathaway,U,1-280-696-2706,1.0,90374
92.0,United States of America,kei125,1100786.0,278949.0,Pen,5.0,keifer,20479 wise avenue,1.0,O,Jackson,,I,430.0,,MS,Saks,S,1-857-581-6346,2.0,63169
67.0,United States of America,arv126,563992.0,,AUBRETTE,5.0,arvin,19918 ROGERS NORTH,0.0,O,Hay River,f,P,467.0,,SC,Gardner Denver,W,,8.0,16515
24.0,United States of America,Pra127,962397.0,463736.0,Cole,2.0,Praeuner,9284 coffey lower,3.0,O,Irvine,F,,399.0,,KS,Hasbro,M,1-716-343-0884,7.0,85309
26.0,United States of America,lue128,1064169.0,,liva,3.0,lue,2929 north crescent,2.0,O,Idaho Falls,m,C,654.0,,VT,CBS,M,1-101-776-2496,5.0,92158
62.0,United States of America,Prz129,2100059.0,86667.0,Ayaz,0.0,Przybycien,15404 queen street,2.0,O,Moreno Valley,f,,378.0,,IL,Synnex,S,1-769-028-0589,3.0,33152
37.0,United States of America,pen130,99025.0,193470.0,YETTY,1.0,penn,1619 greenspoint road,5.0,O,Ontario,f,J,338.0,,FL,Belden,W,1-005-833-8970,10.0,83729
71.0,United States of America,Gua131,3865481.0,406379.0,Mary-michelle,0.0,Guay,21477 WARREN PARK,5.0,R,Concord,,S,695.0,,MI,Broadcom,S,1-884-215-4243,10.0,B8b 1z6
29.0,Canada,bre132,804544.0,480595.0,agretha,3.0,brennand,6503 ROBBINS STREET,1.0,U,Phoenix,F,,614.0,,Newfoundland,Reynolds American,M,,7.0,53717
89.0,United States of America,Sav133,3143356.0,181718.0,LOTTY,5.0,Savanh,3958 GLEN LOCH BOULEVARD,4.0,O,Coral Springs,f,X,307.0,,ME,Wells Fargo,S,1-725-177-7815,7.0,t5c 1w7
11.0,United States of America,ABB134,,468310.0,Kassey,3.0,ABBATANTUONO,13640 ethridge lower,0.0,O,Oxnard,,Z,331.0,,AL,Retail Ventures,M,1-277-496-5396,2.0,37245
20.0,United States of America,OP135,2311953.0,354987.0,Adria,0.0,OP,3981 imperial lower,2.0,O,Brownsville,M,N,638.0,,IN,AT&T,S,1-756-463-2201,2.0,94401
75.0,Canada,Mer136,3120608.0,284539.0,audivox,5.0,Mersinger,13210 3rd drive,3.0,O,Memphis,,,703.0,,NH,Wynn Resorts,W,1-261-338-7463,3.0,B8a 1y3
95.0,United States of America,rut137,2058270.0,213725.0,SUE,5.0,rutt,9297 THROCKMORTON SOUTH,0.0,O,Flint,F,,302.0,,DC,Eastman Kodak,S,1-811-086-4675,7.0,t6b 1k2
0.0,United States of America,bem138,1511983.0,74195.0,Lorenza,3.0,bemis,8935 YOUNG UPPER,2.0,O,Lafayette,,I,522.0,,DC,Aramark,U,1-338-771-1185,,85306
73.0,United States of America,Pen139,439080.0,169295.0,Enzo,1.0,Pennington,3797 RUTGERS PARK,5.0,O,Greensboro,,,,,MD,ENSCO International,M,1-554-231-5318,,V6R 1R7
39.0,United States of America,tor140,921255.0,307832.0,claudina,0.0,torok,8285 tamarind crescent,1.0,R,Sterling Heights,M,Y,833.0,,Prince Edward Island,Auto-Owners Insurance,W,1-733-886-5227,5.0,68513
