AgencyID,AddressLine2,NumberChildren,NumberCars,Gender,PostalCode,Income,MaritalStatus,Age,CreditRating,OwnOrRentFlag,Employer,NumberCreditCards,NetWorth
SEL33,,0.0,0.0,F,T6d 1b3,258323.0,M,9.0,796.0,R,Coach,2.0,2102359.0
sha34,,3.0,1.0,f,25339,79476.0,M,85.0,818.0,U,DaVita,2.0,3480265.0
MER35,,3.0,5.0,,V6o 1v4,102156.0,M,81.0,766.0,U,Marshall & Ilsley Corp.,3.0,3648900.0
con36,,3.0,2.0,,01852,221481.0,M,0.0,359.0,O,Cablevision Systems,2.0,1161790.0
ons37,,5.0,1.0,M,78230,41836.0,S,28.0,401.0,R,Barnes & Noble,2.0,2050587.0
Sum38,,1.0,1.0,M,93770,72389.0,U,65.0,609.0,O,EMC,0.0,3579198.0
gro39,,0.0,3.0,,m4l 1n4,66486.0,S,20.0,630.0,O,Fluor,2.0,889494.0
dil40,Apt. 382,1.0,3.0,,22335,200185.0,M,55.0,671.0,O,Dollar General,9.0,2205682.0
DOL41,,2.0,0.0,,V6C 1T4,289215.0,U,76.0,715.0,O,Lear,10.0,1140117.0
Pos42,,1.0,4.0,,M6t 1h3,322484.0,M,1.0,707.0,O,J.P. Morgan Chase & Co.,9.0,1421319.0
Mac43,,2.0,4.0,,95263,83458.0,M,3.0,329.0,O,Affinia Group Intermediate,0.0,3525204.0
che44,,3.0,0.0,,v5b 1p5,,D,100.0,601.0,R,,8.0,468976.0
hol45,,1.0,5.0,,32318,492407.0,W,81.0,623.0,O,Goldman Sachs Group,2.0,1685443.0
pfi46,,4.0,4.0,f,93872,346630.0,S,76.0,376.0,O,E*Trade Financial,2.0,337564.0
elk47,,3.0,1.0,,92824,9572.0,W,51.0,560.0,O,Pfizer,0.0,84777.0
Lab48,,5.0,1.0,F,e4a 1r2,265369.0,,,693.0,O,Safeway,4.0,3146477.0
laf49,,2.0,1.0,,H7G 1V4,104172.0,S,58.0,346.0,U,Simon Property Group,0.0,495277.0
Nor50,,3.0,0.0,,85039,65550.0,M,52.0,342.0,O,Trinity Industries,0.0,746904.0
hag51,,0.0,2.0,,v6m 1q3,,M,91.0,563.0,R,Solutia,8.0,1219620.0
Bet52,,3.0,2.0,m,X7j 1r1,,M,17.0,391.0,O,,4.0,1718910.0
Van53,,4.0,4.0,m,B8b 1z5,66244.0,S,6.0,381.0,O,A.O. Smith,8.0,
O'L54,,3.0,0.0,F,t5d 1v4,426954.0,S,89.0,539.0,U,AptarGroup,9.0,2636424.0
and55,,4.0,5.0,m,V6t 1r2,126891.0,M,99.0,497.0,O,Coca-Cola,0.0,1326305.0
sta56,,2.0,4.0,,91177,454196.0,M,77.0,661.0,O,Kimberly-Clark,,2241997.0
CHA57,Apt. 275,3.0,5.0,,T5c 1t1,163940.0,S,,558.0,R,Visteon,0.0,1542891.0
ASI58,,1.0,,R,35862,365213.0,W,90.0,534.0,O,TECO Energy,,797918.0
ask59,,0.0,0.0,f,96820,428739.0,M,82.0,373.0,U,Bemis,6.0,347654.0
Kik60,,0.0,4.0,,75238,142444.0,M,,382.0,O,Wyeth,8.0,2456397.0
Cha61,,3.0,3.0,F,85769,416168.0,S,15.0,475.0,O,United Technologies,10.0,1284229.0
KIL62,,0.0,2.0,m,H5i 1o9,291420.0,D,,539.0,O,Clorox,3.0,618787.0
kin63,,5.0,4.0,f,90849,413501.0,M,96.0,711.0,O,Discovery Communications,6.0,1171606.0
MAL64,,,4.0,,43644,,M,38.0,606.0,O,Williams-Sonoma,1.0,3983261.0
Odu65,,3.0,3.0,,99213,419143.0,W,10.0,494.0,O,Manitowoc,0.0,2328568.0
DI 66,,5.0,1.0,,72226,155057.0,M,72.0,309.0,O,Henry Schein,3.0,2078600.0
STU67,,5.0,2.0,,V6Z 1Q9,313859.0,M,97.0,630.0,O,Trinity Industries,3.0,2986155.0
HAM68,,1.0,4.0,,20082,265907.0,S,48.0,330.0,O,Pepsi Bottling,10.0,1864039.0
LIB69,,0.0,,m,35827,283481.0,S,97.0,710.0,O,UGI,9.0,1293721.0
ohs70,,0.0,4.0,M,99692,200635.0,M,73.0,475.0,R,Greif,7.0,3850114.0
HUM71,APT. 143,1.0,0.0,,V6c 1q5,434519.0,U,71.0,596.0,O,Equifax,3.0,1618743.0
BRA72,,1.0,5.0,,80158,392315.0,W,93.0,670.0,O,,9.0,3383487.0
Boa73,,3.0,5.0,,t6d 1b6,493829.0,U,53.0,722.0,O,Freescale Semiconductor,,2981876.0
Mcn74,,2.0,3.0,,33120,97489.0,U,32.0,587.0,O,Aleris International,7.0,2109339.0
MAR75,,3.0,4.0,F,99742,,S,1.0,609.0,O,,4.0,791803.0
Wil76,,1.0,0.0,f,V6N 1T1,383046.0,S,39.0,401.0,O,World Fuel Services,7.0,3523678.0
Dea77,,0.0,4.0,m,44104,1190.0,M,77.0,335.0,,R.R. Donnelley & Sons,0.0,1681902.0
Hou78,,5.0,5.0,,14605,85733.0,U,18.0,569.0,O,Brinker International,7.0,3851455.0
Goy79,,2.0,0.0,,80076,387890.0,M,70.0,,R,Temple-Inland,9.0,2339382.0
Mok80,,0.0,2.0,f,V6I 1V6,16808.0,S,26.0,679.0,O,Psychiatric Solutions,7.0,
Run81,,4.0,,,97307,304589.0,M,,356.0,,Nash-Finch,10.0,2065016.0
BEL82,,5.0,2.0,o,46237,48506.0,S,58.0,308.0,R,AMR,9.0,2454049.0
BAE83,,4.0,0.0,,V6B 1S6,,M,43.0,412.0,O,Spartan Stores,4.0,2423395.0
MAU84,,3.0,2.0,f,H2d 1x1,358862.0,D,65.0,618.0,O,Cigna,4.0,1342045.0
Koo85,,3.0,5.0,,95108,477614.0,S,24.0,429.0,O,General Cable,5.0,861756.0
Lau86,,1.0,3.0,,80050,175414.0,S,79.0,819.0,O,Dun & Bradstreet,3.0,1215349.0
Man87,,1.0,0.0,F,90122,427598.0,M,48.0,552.0,O,Casey's General Stores,7.0,3981554.0
PIE88,,4.0,0.0,,43614,368207.0,S,69.0,587.0,O,Jack in the Box,9.0,3865937.0
Bus89,,1.0,3.0,M,61110,449944.0,S,91.0,304.0,O,Assurant,6.0,2804700.0
BAB90,,5.0,5.0,,70174,166247.0,,75.0,795.0,U,Psychiatric Solutions,4.0,3283558.0
Bur91,APT. 373,3.0,1.0,M,90324,391165.0,S,85.0,830.0,O,Danaher,2.0,450524.0
Kin92,,3.0,5.0,,s7d 1n1,165854.0,M,76.0,709.0,R,Clorox,3.0,
POM93,,1.0,2.0,,93829,326181.0,S,68.0,493.0,O,Boyd Gaming,8.0,
BOA94,,,3.0,M,89116,173387.0,M,95.0,680.0,O,Eaton,,633760.0
Ron95,,5.0,1.0,,94315,301127.0,M,15.0,800.0,R,Dynegy,,3634954.0
wei96,,5.0,1.0,,T5b 1u9,487230.0,M,17.0,614.0,R,AmeriCredit,4.0,799268.0
Hel97,,0.0,4.0,M,T6b 1a5,425747.0,,94.0,763.0,R,SLM,6.0,39093.0
mog98,,4.0,4.0,m,60699,401946.0,S,70.0,561.0,O,NV Energy,3.0,2705353.0
boz99,,2.0,1.0,,V6p 1s8,425422.0,S,29.0,569.0,O,Landstar System,4.0,3565153.0
Zah100,,1.0,4.0,,v6i 1p1,208890.0,M,52.0,634.0,O,Pacific Life,5.0,2832204.0
And101,,3.0,5.0,F,79423,67880.0,U,51.0,488.0,O,Textron,10.0,2194345.0
Bam102,,3.0,2.0,,H5j 1o6,133412.0,W,24.0,788.0,O,Pfizer,5.0,3737140.0
fro103,,4.0,3.0,,93761,144829.0,D,98.0,333.0,O,Cigna,8.0,464753.0
Car104,,1.0,1.0,,76150,,M,59.0,601.0,U,Ameren,,596696.0
muc105,,4.0,3.0,f,99717,143682.0,U,49.0,595.0,O,Consolidated Edison,2.0,1504753.0
gat106,,1.0,0.0,,60608,350020.0,U,1.0,433.0,O,Occidental Petroleum,10.0,3049281.0
Sch107,,,0.0,F,v6w 1u4,435103.0,U,79.0,403.0,O,Sherwin-Williams,10.0,247478.0
pom108,,5.0,1.0,,T5b 1t6,207768.0,,6.0,615.0,R,Affiliated Computer Services,3.0,2750301.0
cuc109,,4.0,0.0,F,23298,407512.0,M,70.0,735.0,O,Valassis Communications,1.0,721333.0
SUG110,,0.0,3.0,q,32803,403366.0,S,23.0,668.0,O,,1.0,669440.0
Pep111,,5.0,3.0,,64122,384095.0,M,78.0,349.0,O,Smithfield Foods,,2473979.0
Cha112,SUITE 7,,4.0,f,T6b 1h2,288969.0,S,79.0,654.0,,,,3545170.0
SEI113,Apt. 971,3.0,2.0,m,22222,233665.0,U,72.0,361.0,O,TD Ameritrade,6.0,1494871.0
GAR114,,0.0,4.0,F,T6a 1d2,147236.0,S,31.0,427.0,U,Comerica,1.0,436164.0
Tou115,,3.0,0.0,M,v5d 1n9,452557.0,W,86.0,322.0,O,Steel Dynamics,1.0,1069481.0
Kur116,,0.0,2.0,M,23321,179305.0,S,,792.0,R,Coca-Cola Enterprises,9.0,
Her117,,0.0,3.0,,90505,205817.0,U,87.0,478.0,O,News Corp.,2.0,2957261.0
MCV118,,5.0,,,19066,262711.0,M,92.0,477.0,O,,1.0,228459.0
LAB119,,5.0,1.0,F,v6s 1r3,84810.0,M,4.0,449.0,O,Stater Bros. Holdings,6.0,67267.0
but120,,4.0,2.0,,78769,96441.0,U,8.0,466.0,O,BorgWarner,2.0,1087978.0
Pro121,,5.0,0.0,m,53769,462762.0,M,97.0,483.0,O,CB Richard Ellis Group,2.0,3885967.0
Irc122,,4.0,5.0,,H7E 1U6,141890.0,D,,588.0,O,Zimmer Holdings,4.0,3271101.0
Ziv123,,5.0,5.0,,e7o 1k1,156610.0,,40.0,313.0,O,Mohawk Industries,2.0,
sim124,,4.0,1.0,,90374,164752.0,U,95.0,647.0,R,Berkshire Hathaway,1.0,1999133.0
kei125,,5.0,1.0,,63169,278949.0,S,92.0,430.0,O,Saks,2.0,1100786.0
arv126,,5.0,0.0,f,16515,,W,67.0,467.0,O,Gardner Denver,8.0,563992.0
Pra127,,2.0,3.0,F,85309,463736.0,M,24.0,399.0,O,Hasbro,7.0,962397.0
lue128,,3.0,2.0,m,92158,,M,26.0,654.0,O,CBS,5.0,1064169.0
Prz129,,0.0,2.0,f,33152,86667.0,S,62.0,378.0,O,Synnex,3.0,2100059.0
pen130,,1.0,5.0,f,83729,193470.0,W,37.0,338.0,O,Belden,10.0,99025.0
Gua131,,0.0,5.0,,B8b 1z6,406379.0,S,71.0,695.0,R,Broadcom,10.0,3865481.0
bre132,,3.0,1.0,F,53717,480595.0,M,29.0,614.0,U,Reynolds American,7.0,804544.0
Sav133,,5.0,4.0,f,t5c 1w7,181718.0,S,89.0,307.0,O,Wells Fargo,7.0,3143356.0
ABB134,,3.0,0.0,,37245,468310.0,M,11.0,331.0,O,Retail Ventures,2.0,
OP135,,0.0,2.0,M,94401,354987.0,S,20.0,638.0,O,AT&T,2.0,2311953.0
Mer136,,5.0,3.0,,B8a 1y3,284539.0,W,75.0,703.0,O,Wynn Resorts,3.0,3120608.0
rut137,,5.0,0.0,F,t6b 1k2,213725.0,S,95.0,302.0,O,Eastman Kodak,7.0,2058270.0
bem138,,3.0,2.0,,85306,74195.0,U,0.0,522.0,O,Aramark,,1511983.0
Pen139,,1.0,5.0,,V6R 1R7,169295.0,M,73.0,,O,ENSCO International,,439080.0
tor140,,0.0,1.0,M,68513,307832.0,W,39.0,833.0,R,Auto-Owners Insurance,5.0,921255.0
law141,,1.0,1.0,m,v6n 1v9,20397.0,U,76.0,,O,Bemis,2.0,3810365.0
Bee142,Suite 397,2.0,2.0,m,83702,463094.0,U,5.0,664.0,O,Securian Financial Group,6.0,2641938.0
sch143,,1.0,4.0,m,80125,331900.0,U,65.0,789.0,O,Ford Motor,7.0,3857323.0
Wit144,,0.0,5.0,,M5G 1Y7,8421.0,S,94.0,803.0,U,ConAgra Foods,0.0,1636212.0
MER145,,4.0,4.0,F,80213,35780.0,M,95.0,720.0,,Charter Communications,3.0,2999082.0
bia146,,0.0,1.0,m,60737,139897.0,M,28.0,839.0,R,Calpine,4.0,2280820.0
Swi147,SUITE 464,1.0,4.0,m,90510,414119.0,D,76.0,621.0,O,Crane,0.0,1050866.0
bul148,,4.0,5.0,,92882,234035.0,D,81.0,628.0,O,Textron,3.0,
TYR149,,5.0,3.0,F,98121,144405.0,W,38.0,813.0,O,Idearc,6.0,603001.0
Fyf150,,3.0,5.0,,H2e 1x9,55441.0,W,25.0,367.0,R,Cabela's,3.0,3368239.0
Sic151,,2.0,4.0,,23503,392869.0,D,0.0,807.0,O,EOG Resources,10.0,1042629.0
CAS152,,4.0,3.0,F,40208,402416.0,U,61.0,501.0,O,,8.0,1948746.0
Cho153,,2.0,0.0,,75201,89984.0,U,3.0,490.0,O,Burlington Coat Factory,10.0,3113862.0
CHA154,,3.0,2.0,,93852,395773.0,W,77.0,321.0,O,Southwest Airlines,3.0,2777290.0
bei155,,0.0,1.0,f,32312,126662.0,U,8.0,,R,RPM International,6.0,2210073.0
Ele156,,1.0,4.0,m,90059,132008.0,U,34.0,446.0,O,Amazon.com,7.0,1999684.0
o'g157,,5.0,5.0,F,77006,417218.0,M,15.0,428.0,O,Neiman Marcus,2.0,2119678.0
Kat158,,0.0,0.0,,23224,360063.0,S,66.0,423.0,O,Goldman Sachs Group,5.0,169808.0
Lui159,,4.0,5.0,,10055,100516.0,U,55.0,499.0,O,Boeing,6.0,1072732.0
Kla160,,1.0,1.0,f,35830,16814.0,S,8.0,342.0,O,United Refining,7.0,2261442.0
Bru161,,3.0,1.0,,v6m 1s9,,M,7.0,632.0,U,D.R. Horton,1.0,2234368.0
Apt162,,1.0,3.0,,22304,315962.0,M,97.0,525.0,O,Jarden,6.0,575288.0
sch163,,1.0,5.0,f,06101,299268.0,M,95.0,371.0,R,Systemax,9.0,1102479.0
Lan164,,3.0,1.0,,78756,301490.0,U,92.0,699.0,O,Marriott International,4.0,2995388.0
Fus165,,2.0,3.0,F,93003,36052.0,M,17.0,435.0,O,Expeditors International,8.0,1147193.0
Nev166,,4.0,1.0,F,T5D 1P2,437483.0,U,81.0,512.0,U,Great Plains Energy,2.0,1136540.0
SHA167,,,5.0,f,10108,152971.0,M,13.0,552.0,O,Danaher,6.0,1677669.0
Sau168,,2.0,0.0,,t5c 1l3,449495.0,M,78.0,,O,,8.0,2160706.0
fri169,,1.0,4.0,,M5B 1Z8,349827.0,M,78.0,687.0,O,Watson Wyatt Worldwide,5.0,2525665.0
fer170,,1.0,3.0,,V6H 1W2,9562.0,M,85.0,433.0,R,Yahoo,0.0,3517622.0
LAN171,,2.0,1.0,M,90308,24514.0,U,68.0,746.0,,Convergys,7.0,
Bha172,,0.0,0.0,,M5e 1y2,407985.0,M,1.0,405.0,R,Celanese,9.0,97675.0
Jor173,,5.0,5.0,M,80029,,M,83.0,805.0,O,Dana Holding,,
KNU174,,4.0,4.0,F,30350,257897.0,M,78.0,819.0,O,XTO Energy,5.0,3569070.0
Ham175,,5.0,0.0,F,97240,261143.0,M,,648.0,O,Alliance Data Systems,0.0,1507616.0
MAU176,,5.0,5.0,,R3A 1M1,110615.0,U,5.0,401.0,R,Franklin Resources,10.0,514151.0
Rez177,Apt. 426,0.0,2.0,F,73172,407799.0,U,43.0,484.0,U,Fidelity National Financial,8.0,2903408.0
Koa178,,4.0,4.0,,V6s 1p9,195242.0,U,53.0,463.0,O,FirstEnergy,1.0,1695814.0
HAN179,,0.0,3.0,m,90140,315490.0,U,13.0,335.0,O,Commercial Metals,5.0,868465.0
jak180,,4.0,5.0,,94639,22201.0,U,7.0,,O,Genzyme,10.0,2810709.0
ump181,,5.0,4.0,,22307,441579.0,M,17.0,381.0,R,US Airways Group,7.0,3593363.0
Wic182,,2.0,2.0,,55116,342730.0,M,67.0,708.0,O,Advanced Micro Devices,1.0,2607636.0
Gat183,Apt. 540,4.0,5.0,F,M6s 1i5,117267.0,M,54.0,354.0,R,United Parcel Service,8.0,2735642.0
bot184,,4.0,1.0,,92708,260107.0,S,5.0,547.0,,Fastenal,10.0,1501732.0
DAV185,,1.0,1.0,,V6r 1q6,166760.0,D,28.0,761.0,O,Core-Mark Holding,9.0,397072.0
HIL186,,1.0,4.0,F,63178,401021.0,M,5.0,659.0,O,Boise,1.0,3399757.0
war187,,2.0,4.0,,x7j 1r5,70945.0,M,,351.0,R,DST Systems,9.0,2684548.0
MAC188,apt. 48,3.0,3.0,m,M5e 1y7,389391.0,S,72.0,608.0,O,United States Steel,7.0,3041622.0
lev189,,2.0,4.0,F,23257,63226.0,S,12.0,706.0,O,Pepco Holdings,3.0,3211816.0
Goo190,apt. 968,4.0,0.0,,V6I 1U7,206220.0,M,71.0,391.0,O,Acuity Brands,8.0,127026.0
Koh191,,4.0,5.0,,94539,,W,90.0,461.0,R,Baker Hughes,2.0,588945.0
AYL192,,4.0,4.0,M,H7h 1v4,337152.0,U,20.0,510.0,O,Newell Rubbermaid,2.0,1962620.0
CHO193,,2.0,,F,15201,312074.0,W,58.0,805.0,O,Westlake Chemical,5.0,178193.0
DIT194,,4.0,2.0,,t5a 1n6,68551.0,M,57.0,702.0,O,Jones Lang LaSalle,7.0,2102811.0
EMI195,,1.0,4.0,,78784,488800.0,W,43.0,368.0,O,Burger King Holdings,3.0,2246854.0
Ryd196,APT. 392,2.0,3.0,m,H6d 1w8,431633.0,W,39.0,520.0,R,Hovnanian Enterprises,8.0,1312448.0
mei197,,3.0,0.0,,06705,72797.0,S,87.0,666.0,O,Medical Mutual of Ohio,2.0,295993.0
Ceg198,,1.0,0.0,,M5c 1v9,260576.0,S,57.0,587.0,O,Lockheed Martin,9.0,1220003.0
hai199,,5.0,4.0,,90759,200096.0,U,58.0,643.0,O,Yum Brands,4.0,2400476.0
cle200,,4.0,,,22301,,,28.0,484.0,R,Wesco International,5.0,2900897.0
Cie201,,1.0,3.0,,19165,267656.0,U,95.0,,R,Volt Information Sciences,3.0,3942140.0
Par202,,2.0,1.0,f,75007,35253.0,S,98.0,676.0,R,Western Union,8.0,2118119.0
LOZ203,,2.0,5.0,f,90302,113159.0,M,55.0,300.0,O,,4.0,338540.0
Pas204,APT. 630,3.0,2.0,,84092,297444.0,,14.0,,R,Lubrizol,8.0,2617116.0
Aul205,,1.0,3.0,,v6d 1u1,52092.0,M,30.0,831.0,O,C.H. Robinson Worldwide,9.0,1459711.0
bar206,,1.0,3.0,F,99503,30249.0,M,90.0,609.0,O,Celgene,7.0,1804959.0
ELL207,,0.0,2.0,,80960,483052.0,S,69.0,679.0,O,Leggett & Platt,2.0,2957472.0
for208,suite 344,0.0,4.0,m,53743,287060.0,U,67.0,634.0,O,Fidelity National Information,6.0,2919293.0
Bur209,,1.0,1.0,,t6d 1k1,274154.0,W,41.0,338.0,O,Arch Coal,4.0,3610130.0
FOL210,,5.0,5.0,F,91350,379659.0,M,2.0,332.0,O,Affinia Group Intermediate,4.0,1209441.0
Led211,,0.0,0.0,m,37916,,M,89.0,721.0,O,Kellogg,8.0,1058712.0
kop212,,1.0,4.0,,22329,100796.0,,88.0,351.0,O,PerkinElmer,3.0,1946028.0
pay213,,1.0,1.0,,M1i 1r8,128277.0,M,90.0,564.0,O,Limited Brands,6.0,1420984.0
PAL214,,3.0,1.0,,h5i 1p1,147414.0,M,54.0,379.0,O,OfficeMax,9.0,213235.0
fel215,,2.0,1.0,,M1I 1R5,51559.0,S,53.0,727.0,O,J.B. Hunt Transport Services,8.0,472425.0
ATW216,,3.0,2.0,,53739,355622.0,U,89.0,578.0,O,American Express,2.0,1160132.0
Mcb217,,1.0,5.0,M,06603,468116.0,W,31.0,642.0,O,Occidental Petroleum,10.0,2869995.0
Jal218,apt. 3,0.0,1.0,M,28247,276728.0,M,1.0,,O,Shaw Group,1.0,3727044.0
vem219,,0.0,3.0,,h7g 1u9,135306.0,S,57.0,554.0,R,W.W. Grainger,,2293241.0
BAR220,,0.0,1.0,,90831,99566.0,U,10.0,733.0,U,IDT,6.0,2846515.0
PES221,,4.0,2.0,M,M4j 1o7,263959.0,M,74.0,345.0,O,General Mills,10.0,1619956.0
Sha222,,0.0,2.0,F,77288,441498.0,M,28.0,644.0,R,RBS Global,6.0,2367607.0
Sch223,,0.0,3.0,M,77117,429621.0,S,96.0,564.0,U,Realogy,3.0,3795566.0
Mat224,,3.0,1.0,,45263,181214.0,M,42.0,465.0,O,ArvinMeritor,10.0,734762.0
JAI225,,4.0,,,v6g 1p4,212502.0,D,64.0,652.0,O,Amkor Technology,8.0,908994.0
KAR226,,4.0,5.0,,72247,244545.0,M,,714.0,O,Lear,6.0,2561296.0
gus227,APT. 587,4.0,5.0,,E7n 1j9,218681.0,M,49.0,383.0,R,Asbury Automotive Group,10.0,3181069.0
Ann228,,5.0,,,45272,296916.0,,81.0,336.0,O,Limited Brands,7.0,2632226.0
lab229,,2.0,0.0,,x7j 1q2,453659.0,,57.0,626.0,O,Beazer Homes USA,9.0,
fli230,,0.0,3.0,f,80952,194450.0,S,42.0,549.0,U,,0.0,1151333.0
sat231,,4.0,5.0,,38157,49533.0,U,30.0,492.0,O,Acuity Brands,0.0,2763939.0
tho232,,4.0,2.0,,06703,394819.0,M,56.0,327.0,O,ABM Industries,0.0,370710.0
CRI233,,3.0,3.0,m,v6u 1r8,342754.0,S,3.0,545.0,O,,10.0,1192164.0
Gas234,,0.0,1.0,M,28231,224435.0,M,53.0,571.0,O,Southwestern Energy,0.0,223487.0
Cha235,,2.0,0.0,f,63107,37717.0,W,67.0,423.0,O,Delta Air Lines,7.0,2341143.0
Net236,,0.0,1.0,,H2g 1w7,286483.0,,94.0,655.0,O,ITT,4.0,1774784.0
WOO237,,5.0,0.0,m,55416,185412.0,M,37.0,488.0,O,Health Management Associates,0.0,3951308.0
val238,,,4.0,,V6d 1u5,472518.0,M,75.0,352.0,,Western Union,6.0,2756025.0
Ber239,,1.0,,f,93782,425307.0,M,51.0,810.0,O,Family Insurance Group,0.0,1833112.0
lab240,,2.0,2.0,,90252,304909.0,D,74.0,686.0,O,Advance Auto Parts,8.0,698884.0
VRE241,,2.0,0.0,m,85759,231226.0,M,100.0,389.0,R,J.P. Morgan Chase & Co.,0.0,3287261.0
GOO242,,0.0,0.0,F,M5g 1x8,219026.0,M,,761.0,U,Fidelity National Financial,,3337290.0
cha243,,1.0,0.0,,78746,414993.0,D,28.0,589.0,O,Toro,4.0,2963197.0
TAM244,,0.0,0.0,F,H2f 1z1,24837.0,M,18.0,492.0,O,Mueller Water Products,1.0,1487009.0
CUM245,Suite 463,5.0,2.0,M,77288,200645.0,D,77.0,442.0,U,Energy Future Holdings,10.0,3177428.0
SIM246,,3.0,4.0,,35277,22605.0,S,14.0,649.0,O,Weis Markets,8.0,1886280.0
Est247,,0.0,0.0,,36134,,U,23.0,337.0,O,MasterCard,8.0,1853087.0
han248,,,4.0,F,V6t 1u3,389524.0,D,1.0,572.0,R,Oracle,8.0,195847.0
Pee249,,3.0,4.0,,99597,232945.0,M,58.0,666.0,U,Mutual of America Life,0.0,3727580.0
bli250,,3.0,2.0,M,V6N 1V1,390626.0,D,98.0,567.0,O,JetBlue Airways,4.0,2993662.0
Lea251,,3.0,5.0,,T6d 1h7,286207.0,,76.0,574.0,O,Western Refining,5.0,2886788.0
Wil252,,0.0,5.0,F,M7o 1c5,391468.0,S,59.0,498.0,,Western Refining,2.0,3672610.0
kom253,,2.0,5.0,f,M2q 1e8,171326.0,U,81.0,836.0,R,Bristol-Myers Squibb,9.0,3245637.0
Wel254,,3.0,2.0,,64172,294972.0,M,31.0,759.0,,AutoNation,8.0,959636.0
Lac255,,5.0,3.0,,85265,131039.0,S,1.0,563.0,O,Boeing,6.0,1037702.0
Hon256,,5.0,1.0,f,h5k 1p8,480287.0,S,28.0,313.0,U,Advanced Micro Devices,8.0,69141.0
Con257,,4.0,0.0,,M2P 1F6,276404.0,M,36.0,771.0,O,Unitrin,6.0,2818725.0
han258,,5.0,0.0,,V6U 1U9,435481.0,S,47.0,717.0,O,Liberty Media,1.0,3153373.0
WOJ259,,4.0,4.0,,V6F 1W7,,D,77.0,355.0,O,Jarden,2.0,616608.0
