prospect_AgID,prospect_Ge,prospect_MidInit,prospect_Emp,prospect_St,prospect_A,prospect_AddL2,prospect_OORFl,prospect_In,prospect_Ci,prospect_NuCa,prospect_NumCreCar,prospect_NWor,prospect_MaSta,prospect_FirN,prospect_Coun,prospect_Ph,prospect_NumChil,prospect_CrRat
dac13,m,,Advanced Micro Devices,MI,39.0,,R,487273.0,Hay River,3.0,8.0,3458824.0,U,Catherin,United States of America,1-207-867-4589,5.0,653.0
HIV14,,W,Cenveo,MA,73.0,,O,34013.0,Toronto,3.0,2.0,469408.0,M,annissa,United States of America,1-478-629-9641,4.0,587.0
Pes15,,,Kelly Services,TN,26.0,Apt. 290,O,473462.0,Denver,0.0,6.0,1504480.0,S,Amour,United States of America,1-026-208-8595,2.0,472.0
CHI16,,,Viacom,TN,54.0,,O,499493.0,St. Paul,5.0,4.0,2763009.0,M,jenica,Canada,1-432-681-4853,4.0,817.0
Din17,,,Macy's,OK,87.0,,R,266928.0,Bellevue,5.0,0.0,2787199.0,M,KATTIE,United States of America,,4.0,441.0
De 18,,M,Gardner Denver,Ontario,85.0,,O,72444.0,Detroit,2.0,6.0,2789368.0,M,Roselle,United States of America,1-357-207-6320,3.0,848.0
Mck19,m,,Family Dollar Stores,KY,86.0,,R,77290.0,Omaha,3.0,8.0,2784776.0,U,arlyne,United States of America,1-462-774-1277,3.0,843.0
WIN20,M,P,,PA,59.0,,R,395066.0,Costa Mesa,2.0,,288747.0,U,Rong-chin,United States of America,1-702-382-2898,0.0,
BIT21,,,Sun Microsystems,MD,94.0,,O,119283.0,Berkeley,5.0,0.0,876575.0,U,Darlleen,United States of America,1-909-554-7120,3.0,300.0
luz22,f,V,Costco Wholesale,TX,,,O,330991.0,St. Louis,1.0,8.0,2041224.0,U,Radoslav,United States of America,1-752-296-7940,1.0,795.0
don23,,S,Illinois Tool Works,IN,5.0,,U,,Colorado Springs,4.0,5.0,2231509.0,,Aryn,United States of America,1-995-554-5056,0.0,367.0
Gia24,,T,Southern Union,MD,23.0,,O,252031.0,Fontana,1.0,1.0,3206409.0,M,Allisan,United States of America,1-090-303-3807,5.0,507.0
SPR25,M,,Moog,KY,61.0,,O,101800.0,St. Catharines,3.0,9.0,3850037.0,M,Ammamaria,United States of America,1-492-968-0932,1.0,362.0
SKA26,F,,Old Republic International,CA,,,O,436977.0,Hayward,0.0,7.0,528440.0,D,Mari,United States of America,1-960-227-2020,1.0,527.0
Gar27,m,,,FL,51.0,,O,495334.0,Palmdale,0.0,0.0,597140.0,S,Anica,United States of America,1-431-122-8597,,354.0
Dor28,,,Great Plains Energy,Newfoundland,97.0,,O,274685.0,Phoenix,1.0,1.0,146931.0,M,Melba,United States of America,1-822-836-7200,1.0,511.0
DIO29,,X,Broadcom,TX,52.0,,,320820.0,Gary,2.0,7.0,353495.0,,Tracee,United States of America,1-530-117-0497,2.0,412.0
Mer30,m,,Discover Financial Services,WA,98.0,,O,195835.0,Beaumont,4.0,1.0,295647.0,S,CANADIAN,Canada,1-051-257-2719,0.0,583.0
Atc31,,R,UAL,MN,47.0,,O,108085.0,Nashua,5.0,5.0,408941.0,U,Oue,United States of America,1-171-989-1363,3.0,710.0
Pla32,m,X,Charles Schwab,WY,47.0,,O,260185.0,San Jose,2.0,9.0,362523.0,M,wallie,United States of America,1-042-705-3246,1.0,380.0
SEL33,F,E,Coach,NY,9.0,,R,258323.0,Nashua,0.0,2.0,2102359.0,M,Andromache,United States of America,1-098-328-2026,0.0,796.0
sha34,f,Z,DaVita,SC,85.0,,U,79476.0,Fort Smith,1.0,2.0,3480265.0,M,THOR,United States of America,1-209-754-5635,3.0,818.0
MER35,,,Marshall & Ilsley Corp.,MS,81.0,,U,102156.0,Lancaster,5.0,3.0,3648900.0,M,SALAH,United States of America,1-498-781-3456,3.0,766.0
con36,,,Cablevision Systems,UT,0.0,,O,221481.0,Colorado Springs,2.0,2.0,1161790.0,M,HOR-LAM,United States of America,1-615-241-0440,3.0,359.0
ons37,M,,Barnes & Noble,PA,28.0,,R,41836.0,Washington,1.0,2.0,2050587.0,S,Vania,United States of America,1-995-449-5200,5.0,401.0
Sum38,M,,EMC,OK,65.0,,O,72389.0,Lowell,1.0,0.0,3579198.0,U,Niel,Canada,1-295-673-4452,1.0,609.0
gro39,,F,Fluor,WY,20.0,,O,66486.0,Frederick,3.0,2.0,889494.0,S,ziad,United States of America,1-914-675-2986,0.0,630.0
dil40,,I,Dollar General,RI,55.0,Apt. 382,O,200185.0,Mesa,3.0,9.0,2205682.0,M,Claude,United States of America,,1.0,671.0
DOL41,,,Lear,HI,76.0,,O,289215.0,Lakewood,0.0,10.0,1140117.0,U,AVTAR,United States of America,1-825-739-0336,2.0,715.0
Pos42,,,J.P. Morgan Chase & Co.,VA,1.0,,O,322484.0,Cleveland,4.0,9.0,1421319.0,M,Donny,United States of America,1-956-713-3802,1.0,707.0
Mac43,,,Affinia Group Intermediate,OK,3.0,,O,83458.0,Grand Rapids,4.0,0.0,3525204.0,M,Cocos,United States of America,1-814-932-1579,2.0,329.0
che44,,,,Prince Edward Island,100.0,,R,,Peoria,0.0,8.0,468976.0,D,ruud,United States of America,1-135-443-7282,3.0,601.0
hol45,,,Goldman Sachs Group,SD,81.0,,O,492407.0,Inglewood,5.0,2.0,1685443.0,W,Belvia,United States of America,1-720-975-0667,1.0,623.0
pfi46,f,,E*Trade Financial,OH,76.0,,O,346630.0,Akron,4.0,2.0,337564.0,S,ATHAR,United States of America,1-871-598-3505,4.0,376.0
elk47,,Y,Pfizer,MA,51.0,,O,9572.0,Charlottetown,1.0,0.0,84777.0,W,Cherey,Canada,1-607-222-4809,3.0,560.0
Lab48,F,,Safeway,MD,,,O,265369.0,Bellevue,1.0,4.0,3146477.0,,RAZ,United States of America,1-965-046-0642,5.0,693.0
laf49,,Y,Simon Property Group,Saskatchewan,58.0,,U,104172.0,Dover,1.0,0.0,495277.0,S,kishore,United States of America,1-155-441-3579,2.0,346.0
Nor50,,I,Trinity Industries,WA,52.0,,O,65550.0,Fullerton,0.0,0.0,746904.0,M,Nelleke,United States of America,,3.0,342.0
hag51,,,Solutia,OH,91.0,,R,,Denver,2.0,8.0,1219620.0,M,sibby,Canada,1-544-132-7237,0.0,563.0
Bet52,m,,,WY,17.0,,O,,Dallas,2.0,4.0,1718910.0,M,ericha,United States of America,1-821-089-2089,3.0,391.0
Van53,m,,A.O. Smith,NJ,6.0,,O,66244.0,San Jose,4.0,8.0,,S,Janson,United States of America,1-135-391-9787,4.0,381.0
O'L54,F,,AptarGroup,ND,89.0,,U,426954.0,Bellevue,0.0,9.0,2636424.0,S,Dorotea,United States of America,1-776-182-6215,3.0,539.0
and55,m,,Coca-Cola,NC,99.0,,O,126891.0,San Buenaventura,5.0,0.0,1326305.0,M,Denice,United States of America,1-079-780-7761,4.0,497.0
sta56,,,Kimberly-Clark,WV,77.0,,O,454196.0,St. Louis,4.0,,2241997.0,M,Myron,Canada,1-504-346-4393,2.0,661.0
CHA57,,,Visteon,GA,,Apt. 275,R,163940.0,Pueblo,5.0,0.0,1542891.0,S,Barby,United States of America,1-985-538-4351,3.0,558.0
ASI58,R,,TECO Energy,Ontario,90.0,,O,365213.0,Regina,,,797918.0,W,Ariella,Canada,1-254-097-9398,1.0,534.0
ask59,f,,Bemis,MA,82.0,,U,428739.0,Saskatoon,0.0,6.0,347654.0,M,ADEY,United States of America,1-545-924-9552,0.0,373.0
Kik60,,K,Wyeth,CA,,,O,142444.0,Jackson,4.0,8.0,2456397.0,M,GAYEL,United States of America,1-984-233-8818,0.0,382.0
Cha61,F,,United Technologies,SD,15.0,,O,416168.0,St. Petersburg,3.0,10.0,1284229.0,S,Man,United States of America,1-528-691-1642,3.0,475.0
KIL62,m,U,Clorox,Saskatchewan,,,O,291420.0,Scottsdale,2.0,3.0,618787.0,D,Klara,United States of America,,0.0,539.0
kin63,f,,Discovery Communications,RI,96.0,,O,413501.0,Charlotte,4.0,6.0,1171606.0,M,Abdalla,United States of America,1-171-807-8213,5.0,711.0
MAL64,,,Williams-Sonoma,NC,38.0,,O,,Waterbury,4.0,1.0,3983261.0,M,bal,United States of America,1-056-241-7009,,606.0
Odu65,,J,Manitowoc,SD,10.0,,O,419143.0,Chesapeake,3.0,0.0,2328568.0,W,Romy,United States of America,1-389-414-0570,3.0,494.0
DI 66,,,Henry Schein,IL,72.0,,O,155057.0,Hialeah,1.0,3.0,2078600.0,M,KORAL,United States of America,1-583-542-1656,5.0,309.0
STU67,,K,Trinity Industries,OR,97.0,,O,313859.0,Charleston,2.0,3.0,2986155.0,M,YUKIHIKO,United States of America,1-269-712-0672,5.0,630.0
HAM68,,,Pepsi Bottling,Ontario,48.0,,O,265907.0,Salem,4.0,10.0,1864039.0,S,Khanh,United States of America,1-670-102-0463,1.0,330.0
LIB69,m,,UGI,FL,97.0,,O,283481.0,Sacramento,,9.0,1293721.0,S,Darnell,Canada,1-699-726-3895,0.0,710.0
ohs70,M,,Greif,NM,73.0,,R,200635.0,Santa Clarita,4.0,7.0,3850114.0,M,feridoun,United States of America,1-640-666-2876,0.0,475.0
HUM71,,O,Equifax,NE,71.0,APT. 143,O,434519.0,Sherbrooke,0.0,3.0,1618743.0,U,Magdy,United States of America,1-540-639-1311,1.0,596.0
BRA72,,,,MI,93.0,,O,392315.0,Colorado Springs,5.0,9.0,3383487.0,W,jiri,United States of America,1-285-874-8492,1.0,670.0
Boa73,,X,Freescale Semiconductor,New Brunswick,53.0,,O,493829.0,Berkeley,5.0,,2981876.0,U,AILA,United States of America,1-121-904-0040,3.0,722.0
Mcn74,,,Aleris International,NJ,32.0,,O,97489.0,San Buenaventura,3.0,7.0,2109339.0,U,Vincenzo,United States of America,1-017-842-3201,2.0,587.0
MAR75,F,,,ND,1.0,,O,,New Haven,4.0,4.0,791803.0,S,Minnnie,United States of America,1-215-859-3206,3.0,609.0
Wil76,f,,World Fuel Services,Saskatchewan,39.0,,O,383046.0,Shreveport,0.0,7.0,3523678.0,S,alfonzo,United States of America,1-764-520-7470,1.0,401.0
Dea77,m,S,R.R. Donnelley & Sons,KS,77.0,,,1190.0,Lansing,4.0,0.0,1681902.0,M,Swandi,United States of America,1-414-130-0162,0.0,335.0
Hou78,,,Brinker International,SD,18.0,,O,85733.0,Pembroke Pines,5.0,7.0,3851455.0,U,Anya,United States of America,1-970-240-9990,5.0,569.0
Goy79,,,Temple-Inland,FL,70.0,,R,387890.0,Palmdale,0.0,9.0,2339382.0,M,Enrika,Canada,1-408-684-6459,2.0,
Mok80,f,Z,Psychiatric Solutions,Saskatchewan,26.0,,O,16808.0,Savannah,2.0,7.0,,S,SONJA,United States of America,1-330-353-5908,0.0,679.0
Run81,,I,Nash-Finch,FL,,,,304589.0,Amarillo,,10.0,2065016.0,M,Liem,United States of America,1-766-726-2675,4.0,356.0
BEL82,o,,AMR,UT,58.0,,R,48506.0,Anchorage,2.0,9.0,2454049.0,S,COLLETTE,United States of America,1-938-425-7509,5.0,308.0
BAE83,,Y,Spartan Stores,WY,43.0,,O,,Louisville,0.0,4.0,2423395.0,M,SIAMACK,United States of America,1-527-308-8874,4.0,412.0
MAU84,f,,Cigna,NH,65.0,,O,358862.0,Hilo,2.0,4.0,1342045.0,D,Toshihiro,United States of America,1-810-590-0635,3.0,618.0
Koo85,,,General Cable,AR,24.0,,O,477614.0,Sudbury,5.0,5.0,861756.0,S,Casey,United States of America,1-274-548-2512,3.0,429.0
Lau86,,,Dun & Bradstreet,CT,79.0,,O,175414.0,Orlando,3.0,3.0,1215349.0,S,Daryn,United States of America,1-649-754-4601,1.0,819.0
Man87,F,L,Casey's General Stores,VT,48.0,,O,427598.0,Missoula,0.0,7.0,3981554.0,M,Adrianna,Canada,1-905-932-1785,1.0,552.0
PIE88,,,Jack in the Box,Manitoba,69.0,,O,368207.0,Abilene,0.0,9.0,3865937.0,S,Cortney,United States of America,1-031-004-7697,4.0,587.0
Bus89,M,,Assurant,NJ,91.0,,O,449944.0,Saskatoon,3.0,6.0,2804700.0,S,Duane,United States of America,1-994-812-4796,1.0,304.0
BAB90,,,Psychiatric Solutions,KY,75.0,,U,166247.0,Irvine,5.0,4.0,3283558.0,,Tele,United States of America,1-176-513-4041,5.0,795.0
Bur91,M,,Danaher,GA,85.0,APT. 373,O,391165.0,Reno,1.0,2.0,450524.0,S,Ophelia,United States of America,1-072-244-6337,3.0,830.0
Kin92,,,Clorox,NJ,76.0,,R,165854.0,Sacramento,5.0,3.0,,M,lorine,United States of America,1-924-669-9328,3.0,709.0
POM93,,,Boyd Gaming,SC,68.0,,O,326181.0,Topeka,2.0,8.0,,S,Viole,United States of America,1-598-488-3541,1.0,493.0
BOA94,M,,Eaton,TN,95.0,,O,173387.0,Rancho Cucamonga,3.0,,633760.0,M,Nani,United States of America,1-295-539-3868,,680.0
Ron95,,R,Dynegy,WY,15.0,,R,301127.0,Hilo,1.0,,3634954.0,M,cherey,United States of America,1-554-020-0267,5.0,800.0
wei96,,A,AmeriCredit,Ontario,17.0,,R,487230.0,Saint John,1.0,4.0,799268.0,M,Redgie,United States of America,1-793-621-4566,5.0,614.0
Hel97,M,P,SLM,DC,94.0,,R,425747.0,Torrance,4.0,6.0,39093.0,,Yousef,Canada,1-787-267-4261,0.0,763.0
mog98,m,,NV Energy,Alberta,70.0,,O,401946.0,Santa Clara,4.0,3.0,2705353.0,S,Damaris,United States of America,1-668-247-1597,4.0,561.0
boz99,,,Landstar System,ME,29.0,,O,425422.0,Torrance,1.0,4.0,3565153.0,S,Ilyssa,United States of America,1-901-346-8890,2.0,569.0
Zah100,,R,Pacific Life,MA,52.0,,O,208890.0,Stockton,4.0,5.0,2832204.0,M,Moselle,United States of America,1-451-273-3803,1.0,634.0
And101,F,,Textron,NV,51.0,,O,67880.0,Paterson,5.0,10.0,2194345.0,U,Dulsea,United States of America,1-129-499-9136,3.0,488.0
Bam102,,L,Pfizer,WA,24.0,,O,133412.0,Mesa,2.0,5.0,3737140.0,W,Lyndsie,Canada,1-899-319-0772,3.0,788.0
fro103,,,Cigna,WY,98.0,,O,144829.0,Anchorage,3.0,8.0,464753.0,D,KESLEY,United States of America,1-053-396-0441,4.0,333.0
Car104,,J,Ameren,NJ,59.0,,U,,Miami,1.0,,596696.0,M,LAUREL,United States of America,1-239-665-9540,1.0,601.0
muc105,f,V,Consolidated Edison,LA,49.0,,O,143682.0,Great Falls,3.0,2.0,1504753.0,U,Steen,Canada,1-605-888-3403,4.0,595.0
gat106,,,Occidental Petroleum,TX,1.0,,O,350020.0,Erie,0.0,10.0,3049281.0,U,noel,United States of America,1-630-604-2543,1.0,433.0
Sch107,F,M,Sherwin-Williams,SC,79.0,,O,435103.0,Hollywood,0.0,10.0,247478.0,U,Tracey,United States of America,1-851-862-7928,,403.0
pom108,,,Affiliated Computer Services,TX,6.0,,R,207768.0,Tulsa,1.0,3.0,2750301.0,,Sarajane,United States of America,1-065-415-5724,5.0,615.0
cuc109,F,K,Valassis Communications,MN,70.0,,O,407512.0,Tucson,0.0,1.0,721333.0,M,Geoffrey,United States of America,1-408-512-1007,4.0,735.0
SUG110,q,Z,,ID,23.0,,O,403366.0,Anchorage,3.0,1.0,669440.0,S,loralyn,United States of America,1-083-902-4184,0.0,668.0
Pep111,,,Smithfield Foods,MI,78.0,,O,384095.0,Sandy,3.0,,2473979.0,M,andrei,Canada,1-568-403-7081,5.0,349.0
Cha112,f,,,OK,79.0,SUITE 7,,288969.0,Boston,4.0,,3545170.0,S,javad,United States of America,1-824-389-0618,,654.0
SEI113,m,U,TD Ameritrade,UT,72.0,Apt. 971,O,233665.0,Vancouver,2.0,6.0,1494871.0,U,Karna,United States of America,1-174-210-2058,3.0,361.0
GAR114,F,S,Comerica,PA,31.0,,U,147236.0,Akron,4.0,1.0,436164.0,S,Jocelyn,Canada,1-425-503-7952,0.0,427.0
Tou115,M,,Steel Dynamics,New Brunswick,86.0,,O,452557.0,Lancaster,0.0,1.0,1069481.0,W,Elvera,United States of America,1-012-389-9089,3.0,322.0
Kur116,M,V,Coca-Cola Enterprises,UT,,,R,179305.0,Concord,2.0,9.0,,S,Nessy,United States of America,1-909-472-6704,0.0,792.0
Her117,,,News Corp.,VA,87.0,,O,205817.0,Chesapeake,3.0,2.0,2957261.0,U,lona,Canada,1-622-167-5411,0.0,478.0
MCV118,,P,,NH,92.0,,O,262711.0,Flint,,1.0,228459.0,M,RHEA,United States of America,1-164-511-9338,5.0,477.0
LAB119,F,,Stater Bros. Holdings,VT,4.0,,O,84810.0,Chattanooga,1.0,6.0,67267.0,M,Josefa,Canada,1-804-532-9163,5.0,449.0
but120,,,BorgWarner,FL,8.0,,O,96441.0,Billings,2.0,2.0,1087978.0,U,alikee,United States of America,1-197-370-0297,4.0,466.0
Pro121,m,,CB Richard Ellis Group,NC,97.0,,O,462762.0,Scottsdale,0.0,2.0,3885967.0,M,dolorita,United States of America,1-337-042-5687,5.0,483.0
Irc122,,,Zimmer Holdings,VA,,,O,141890.0,Oshawa,5.0,4.0,3271101.0,D,Marilyn,United States of America,1-056-138-5321,4.0,588.0
Ziv123,,G,Mohawk Industries,DC,40.0,,O,156610.0,Naperville,5.0,2.0,,,robertson,Canada,1-776-191-2031,5.0,313.0
sim124,,H,Berkshire Hathaway,NC,95.0,,R,164752.0,Tampa,1.0,1.0,1999133.0,U,Ilsa,United States of America,1-280-696-2706,4.0,647.0
kei125,,I,Saks,MS,92.0,,O,278949.0,Jackson,1.0,2.0,1100786.0,S,Pen,United States of America,1-857-581-6346,5.0,430.0
arv126,f,P,Gardner Denver,SC,67.0,,O,,Hay River,0.0,8.0,563992.0,W,AUBRETTE,United States of America,,5.0,467.0
Pra127,F,,Hasbro,KS,24.0,,O,463736.0,Irvine,3.0,7.0,962397.0,M,Cole,United States of America,1-716-343-0884,2.0,399.0
lue128,m,C,CBS,VT,26.0,,O,,Idaho Falls,2.0,5.0,1064169.0,M,liva,United States of America,1-101-776-2496,3.0,654.0
Prz129,f,,Synnex,IL,62.0,,O,86667.0,Moreno Valley,2.0,3.0,2100059.0,S,Ayaz,United States of America,1-769-028-0589,0.0,378.0
pen130,f,J,Belden,FL,37.0,,O,193470.0,Ontario,5.0,10.0,99025.0,W,YETTY,United States of America,1-005-833-8970,1.0,338.0
Gua131,,S,Broadcom,MI,71.0,,R,406379.0,Concord,5.0,10.0,3865481.0,S,Mary-michelle,United States of America,1-884-215-4243,0.0,695.0
bre132,F,,Reynolds American,Newfoundland,29.0,,U,480595.0,Phoenix,1.0,7.0,804544.0,M,agretha,Canada,,3.0,614.0
Sav133,f,X,Wells Fargo,ME,89.0,,O,181718.0,Coral Springs,4.0,7.0,3143356.0,S,LOTTY,United States of America,1-725-177-7815,5.0,307.0
ABB134,,Z,Retail Ventures,AL,11.0,,O,468310.0,Oxnard,0.0,2.0,,M,Kassey,United States of America,1-277-496-5396,3.0,331.0
OP135,M,N,AT&T,IN,20.0,,O,354987.0,Brownsville,2.0,2.0,2311953.0,S,Adria,United States of America,1-756-463-2201,0.0,638.0
Mer136,,,Wynn Resorts,NH,75.0,,O,284539.0,Memphis,3.0,3.0,3120608.0,W,audivox,Canada,1-261-338-7463,5.0,703.0
rut137,F,,Eastman Kodak,DC,95.0,,O,213725.0,Flint,0.0,7.0,2058270.0,S,SUE,United States of America,1-811-086-4675,5.0,302.0
bem138,,I,Aramark,DC,0.0,,O,74195.0,Lafayette,2.0,,1511983.0,U,Lorenza,United States of America,1-338-771-1185,3.0,522.0
Pen139,,,ENSCO International,MD,73.0,,O,169295.0,Greensboro,5.0,,439080.0,M,Enzo,United States of America,1-554-231-5318,1.0,
tor140,M,Y,Auto-Owners Insurance,Prince Edward Island,39.0,,R,307832.0,Sterling Heights,1.0,5.0,921255.0,W,claudina,United States of America,1-733-886-5227,0.0,833.0
law141,m,L,Bemis,MD,76.0,,O,20397.0,Costa Mesa,1.0,2.0,3810365.0,U,Otha,United States of America,1-267-357-1943,1.0,
Bee142,m,D,Securian Financial Group,New Brunswick,5.0,Suite 397,O,463094.0,Houston,2.0,6.0,2641938.0,U,Rodie,United States of America,1-602-756-7919,2.0,664.0
sch143,m,,Ford Motor,HI,65.0,,O,331900.0,Bakersfield,4.0,7.0,3857323.0,U,DULCE,United States of America,1-793-864-7010,1.0,789.0
Wit144,,,ConAgra Foods,ND,94.0,,U,8421.0,Chesapeake,5.0,0.0,1636212.0,S,Win,United States of America,1-637-020-2921,0.0,803.0
MER145,F,Q,Charter Communications,Nova Scotia,95.0,,,35780.0,Sandy,4.0,3.0,2999082.0,M,Roselin,United States of America,1-428-797-6325,4.0,720.0
bia146,m,,Calpine,ME,28.0,,R,139897.0,Lewiston,1.0,4.0,2280820.0,M,Malanie,United States of America,1-011-549-5618,0.0,839.0
Swi147,m,P,Crane,Alberta,76.0,SUITE 464,O,414119.0,Elizabeth,4.0,0.0,1050866.0,D,TARYN,United States of America,1-993-255-5481,1.0,621.0
bul148,,,Textron,VT,81.0,,O,234035.0,Sudbury,5.0,3.0,,D,MALENA,United States of America,1-487-749-4448,4.0,628.0
TYR149,F,,Idearc,DE,38.0,,O,144405.0,Austin,3.0,6.0,603001.0,W,Dorie,Canada,1-192-352-2184,5.0,813.0
Fyf150,,,Cabela's,MA,25.0,,R,55441.0,Salinas,5.0,3.0,3368239.0,W,Liese,United States of America,1-293-442-4224,3.0,367.0
Sic151,,,EOG Resources,CA,0.0,,O,392869.0,Peoria,4.0,10.0,1042629.0,D,tele,United States of America,1-078-502-6700,2.0,807.0
CAS152,F,,,Manitoba,61.0,,O,402416.0,Sydney,3.0,8.0,1948746.0,U,astra,United States of America,1-430-909-3001,4.0,501.0
Cho153,,S,Burlington Coat Factory,TN,3.0,,O,89984.0,San Antonio,0.0,10.0,3113862.0,U,marnia,United States of America,1-392-455-0895,2.0,490.0
CHA154,,,Southwest Airlines,FL,77.0,,O,395773.0,Oklahoma City,2.0,3.0,2777290.0,W,AMY,United States of America,1-273-921-9787,3.0,321.0
bei155,f,E,RPM International,CA,8.0,,R,126662.0,Miami,1.0,6.0,2210073.0,U,HAMILTON,United States of America,1-012-993-4538,0.0,
Ele156,m,J,Amazon.com,CO,34.0,,O,132008.0,Yonkers,4.0,7.0,1999684.0,U,Kuldip,United States of America,1-890-859-4211,1.0,446.0
o'g157,F,,Neiman Marcus,Saskatchewan,15.0,,O,417218.0,Columbia,5.0,2.0,2119678.0,M,krystalle,United States of America,1-080-032-3031,5.0,428.0
Kat158,,,Goldman Sachs Group,UT,66.0,,O,360063.0,Lubbock,0.0,5.0,169808.0,S,Stella,United States of America,1-561-620-7173,0.0,423.0
Lui159,,O,Boeing,ME,55.0,,O,100516.0,Chattanooga,5.0,6.0,1072732.0,U,Marie-josee,United States of America,1-017-439-0362,4.0,499.0
Kla160,f,,United Refining,NH,8.0,,O,16814.0,Fargo,1.0,7.0,2261442.0,S,Nashib,United States of America,1-248-539-6621,1.0,342.0
Bru161,,Z,D.R. Horton,VA,7.0,,U,,Omaha,1.0,1.0,2234368.0,M,Annette,United States of America,1-611-789-5569,3.0,632.0
Apt162,,Q,Jarden,TX,97.0,,O,315962.0,Yonkers,3.0,6.0,575288.0,M,LENA,United States of America,1-023-151-8130,1.0,525.0
sch163,f,,Systemax,Saskatchewan,95.0,,R,299268.0,Spokane,5.0,9.0,1102479.0,M,Christian,United States of America,1-005-574-3523,1.0,371.0
Lan164,,,Marriott International,NH,92.0,,O,301490.0,Tulsa,1.0,4.0,2995388.0,U,Morrie,United States of America,1-550-487-1571,3.0,699.0
Fus165,F,,Expeditors International,VA,17.0,,O,36052.0,Garden Grove,3.0,8.0,1147193.0,M,LYMAN,United States of America,1-280-494-1415,2.0,435.0
Nev166,F,R,Great Plains Energy,IA,81.0,,U,437483.0,Fort Lauderdale,1.0,2.0,1136540.0,U,REUBEN,United States of America,1-803-438-4141,4.0,512.0
SHA167,f,,Danaher,NC,13.0,,O,152971.0,Philadelphia,5.0,6.0,1677669.0,M,Hermon,Canada,1-566-299-2351,,552.0
Sau168,,P,,NH,78.0,,O,449495.0,Sydney,0.0,8.0,2160706.0,M,Paqs,Canada,1-586-363-4189,2.0,
fri169,,,Watson Wyatt Worldwide,AL,78.0,,O,349827.0,Waterbury,4.0,5.0,2525665.0,M,GAETAN,United States of America,1-505-124-9029,1.0,687.0
fer170,,O,Yahoo,British Columbia,85.0,,R,9562.0,Tacoma,3.0,0.0,3517622.0,M,leese,United States of America,1-897-996-9812,1.0,433.0
LAN171,M,,Convergys,MD,68.0,,,24514.0,Charlottetown,1.0,7.0,,U,Amelie,United States of America,1-922-919-5858,2.0,746.0
Bha172,,,Celanese,IA,1.0,,R,407985.0,Independence,0.0,9.0,97675.0,M,TAMRA,Canada,1-326-572-2988,0.0,405.0
Jor173,M,,Dana Holding,ND,83.0,,O,,Escondido,5.0,,,M,bang,United States of America,1-076-972-4311,5.0,805.0
KNU174,F,,XTO Energy,NY,78.0,,O,257897.0,Lansing,4.0,5.0,3569070.0,M,HILDEGARDE,United States of America,1-341-595-8408,4.0,819.0
Ham175,F,,Alliance Data Systems,OR,,,O,261143.0,Anaheim,0.0,0.0,1507616.0,M,Carmody,United States of America,,5.0,648.0
MAU176,,,Franklin Resources,MO,5.0,,R,110615.0,Glendale,5.0,10.0,514151.0,U,Dareen,United States of America,1-536-952-5040,5.0,401.0
