AgID,OwORFl,LaNa,Ci,CreRa,Inc,MiInit,Empl,Ph,A,Cou,AddLi1,NumChi,PosC,NumCreCar,Sta,NuC,MaSt,NeWor
sha34,U,shane,Fort Smith,818.0,79476.0,Z,DaVita,1-209-754-5635,85.0,United States of America,885 CROSBY LANE,3.0,25339,2.0,SC,1.0,M,3480265.0
MER35,U,MERWIN,Lancaster,766.0,102156.0,,Marshall & Ilsley Corp.,1-498-781-3456,81.0,United States of America,12235 jay street,3.0,V6o 1v4,3.0,MS,5.0,M,3648900.0
con36,O,conrad,Colorado Springs,359.0,221481.0,,Cablevision Systems,1-615-241-0440,0.0,United States of America,20340 LOMBARD CRESCENT,3.0,01852,2.0,UT,2.0,M,1161790.0
ons37,R,onsiteteam,Washington,401.0,41836.0,,Barnes & Noble,1-995-449-5200,28.0,United States of America,22074 dexter upper,5.0,78230,2.0,PA,1.0,S,2050587.0
Sum38,O,Summerlin,Lowell,609.0,72389.0,,EMC,1-295-673-4452,65.0,Canada,1540 MURIE RUE,1.0,93770,0.0,OK,1.0,U,3579198.0
gro39,O,grooms,Frederick,630.0,66486.0,F,Fluor,1-914-675-2986,20.0,United States of America,7075 glen loch drive,0.0,m4l 1n4,2.0,WY,3.0,S,889494.0
dil40,O,dilkie,Mesa,671.0,200185.0,I,Dollar General,,55.0,United States of America,11237 balmoral way,1.0,22335,9.0,RI,3.0,M,2205682.0
DOL41,O,DOLSON,Lakewood,715.0,289215.0,,Lear,1-825-739-0336,76.0,United States of America,8316 GARDEN BROOK NORTH,2.0,V6C 1T4,10.0,HI,0.0,U,1140117.0
Pos42,O,Posthumus,Cleveland,707.0,322484.0,,J.P. Morgan Chase & Co.,1-956-713-3802,1.0,United States of America,2240 clifton lower,1.0,M6t 1h3,9.0,VA,4.0,M,1421319.0
Mac43,O,Machika,Grand Rapids,329.0,83458.0,,Affinia Group Intermediate,1-814-932-1579,3.0,United States of America,20907 NOTINGHAM LOWER,2.0,95263,0.0,OK,4.0,M,3525204.0
che44,R,chenoweth,Peoria,601.0,,,,1-135-443-7282,100.0,United States of America,601 carroll lower,3.0,v5b 1p5,8.0,Prince Edward Island,0.0,D,468976.0
hol45,O,holbrooks,Inglewood,623.0,492407.0,,Goldman Sachs Group,1-720-975-0667,81.0,United States of America,18267 state drive,1.0,32318,2.0,SD,5.0,W,1685443.0
pfi46,O,pfieffer,Akron,376.0,346630.0,,E*Trade Financial,1-871-598-3505,76.0,United States of America,9270 LEAF SOUTH,4.0,93872,2.0,OH,4.0,S,337564.0
elk47,O,elkington,Charlottetown,560.0,9572.0,Y,Pfizer,1-607-222-4809,51.0,Canada,18582 PERIMETER BOULEVARD,3.0,92824,0.0,MA,1.0,W,84777.0
Lab48,O,Labenek,Bellevue,693.0,265369.0,,Safeway,1-965-046-0642,,United States of America,9612 park stream upper,5.0,e4a 1r2,4.0,MD,1.0,,3146477.0
laf49,U,laferriere,Dover,346.0,104172.0,Y,Simon Property Group,1-155-441-3579,58.0,United States of America,2803 clearwater north,2.0,H7G 1V4,0.0,Saskatchewan,1.0,S,495277.0
Nor50,O,Norment,Fullerton,342.0,65550.0,I,Trinity Industries,,52.0,United States of America,11103 BISSONNET WEST,3.0,85039,0.0,WA,0.0,M,746904.0
hag51,R,hagar,Denver,563.0,,,Solutia,1-544-132-7237,91.0,Canada,4652 outervale lane,0.0,v6m 1q3,8.0,OH,2.0,M,1219620.0
Bet52,O,Betcher,Dallas,391.0,,,,1-821-089-2089,17.0,United States of America,341 dunbar west,3.0,X7j 1r1,4.0,WY,2.0,M,1718910.0
Van53,O,Van der,San Jose,381.0,66244.0,,A.O. Smith,1-135-391-9787,6.0,United States of America,16176 vernon drive,4.0,B8b 1z5,8.0,NJ,4.0,S,
O'L54,U,O'LEARY,Bellevue,539.0,426954.0,,AptarGroup,1-776-182-6215,89.0,United States of America,23131 clint way,3.0,t5d 1v4,9.0,ND,0.0,S,2636424.0
and55,O,anderson,San Buenaventura,497.0,126891.0,,Coca-Cola,1-079-780-7761,99.0,United States of America,11640 baltic upper,4.0,V6t 1r2,0.0,NC,5.0,M,1326305.0
sta56,O,starks,St. Louis,661.0,454196.0,,Kimberly-Clark,1-504-346-4393,77.0,Canada,20796 dolores drive,2.0,91177,,WV,4.0,M,2241997.0
CHA57,R,CHASSE,Pueblo,558.0,163940.0,,Visteon,1-985-538-4351,,United States of America,14359 COMMERCE WEST,3.0,T5c 1t1,0.0,GA,5.0,S,1542891.0
ASI58,O,ASING,Regina,534.0,365213.0,,TECO Energy,1-254-097-9398,90.0,Canada,21448 hampton boulevard,1.0,35862,,Ontario,,W,797918.0
ask59,U,askins,Saskatoon,373.0,428739.0,,Bemis,1-545-924-9552,82.0,United States of America,7637 pershing way,0.0,96820,6.0,MA,0.0,M,347654.0
Kik60,O,Kikuta,Jackson,382.0,142444.0,K,Wyeth,1-984-233-8818,,United States of America,11529 arcana boulevard,0.0,75238,8.0,CA,4.0,M,2456397.0
Cha61,O,Chane,St. Petersburg,475.0,416168.0,,United Technologies,1-528-691-1642,15.0,United States of America,2700 windwood north,3.0,85769,10.0,SD,3.0,S,1284229.0
KIL62,O,KILLEN,Scottsdale,539.0,291420.0,U,Clorox,,,United States of America,22279 gramercy road,0.0,H5i 1o9,3.0,Saskatchewan,2.0,D,618787.0
kin63,O,kinley,Charlotte,711.0,413501.0,,Discovery Communications,1-171-807-8213,96.0,United States of America,9828 west east,5.0,90849,6.0,RI,4.0,M,1171606.0
MAL64,O,MALAHER,Waterbury,606.0,,,Williams-Sonoma,1-056-241-7009,38.0,United States of America,5935 mcafee park,,43644,1.0,NC,4.0,M,3983261.0
Odu65,O,Odum,Chesapeake,494.0,419143.0,J,Manitowoc,1-389-414-0570,10.0,United States of America,12460 CLAYTON STREET,3.0,99213,0.0,SD,3.0,W,2328568.0
DI 66,O,DI NINNO,Hialeah,309.0,155057.0,,Henry Schein,1-583-542-1656,72.0,United States of America,275 3rd drive,5.0,72226,3.0,IL,1.0,M,2078600.0
STU67,O,STUBBLEFIELD,Charleston,630.0,313859.0,K,Trinity Industries,1-269-712-0672,97.0,United States of America,6907 FERNCLIFF CRESCENT,5.0,V6Z 1Q9,3.0,OR,2.0,M,2986155.0
HAM68,O,HAMBALI,Salem,330.0,265907.0,,Pepsi Bottling,1-670-102-0463,48.0,United States of America,885 crosby lane,1.0,20082,10.0,Ontario,4.0,S,1864039.0
LIB69,O,LIBRARIAN,Sacramento,710.0,283481.0,,UGI,1-699-726-3895,97.0,Canada,2344 kalani west,0.0,35827,9.0,FL,,S,1293721.0
ohs70,R,ohsone,Santa Clarita,475.0,200635.0,,Greif,1-640-666-2876,73.0,United States of America,22870 LA CIENEGA STREET,0.0,99692,7.0,NM,4.0,M,3850114.0
HUM71,O,HUMMEL,Sherbrooke,596.0,434519.0,O,Equifax,1-540-639-1311,71.0,United States of America,8478 green avenue,1.0,V6c 1q5,3.0,NE,0.0,U,1618743.0
BRA72,O,BRADD,Colorado Springs,670.0,392315.0,,,1-285-874-8492,93.0,United States of America,23639 purdue rue,1.0,80158,9.0,MI,5.0,W,3383487.0
Boa73,O,Boarder,Berkeley,722.0,493829.0,X,Freescale Semiconductor,1-121-904-0040,53.0,United States of America,19202 ansley park,3.0,t6d 1b6,,New Brunswick,5.0,U,2981876.0
Mcn74,O,Mcnally,San Buenaventura,587.0,97489.0,,Aleris International,1-017-842-3201,32.0,United States of America,11319 devonshire rue,2.0,33120,7.0,NJ,3.0,U,2109339.0
MAR75,O,MARKOVICH,New Haven,609.0,,,,1-215-859-3206,1.0,United States of America,23665 deerwood park,3.0,99742,4.0,ND,4.0,S,791803.0
Wil76,O,Willekes,Shreveport,401.0,383046.0,,World Fuel Services,1-764-520-7470,39.0,United States of America,4855 union north,1.0,V6N 1T1,7.0,Saskatchewan,0.0,S,3523678.0
Dea77,,Deacetis,Lansing,335.0,1190.0,S,R.R. Donnelley & Sons,1-414-130-0162,77.0,United States of America,9466 SHADOWBRIAR WEST,0.0,44104,0.0,KS,4.0,M,1681902.0
Hou78,O,Houk,Pembroke Pines,569.0,85733.0,,Brinker International,1-970-240-9990,18.0,United States of America,3504 regency avenue,5.0,14605,7.0,SD,5.0,U,3851455.0
Goy79,R,Goyette,Palmdale,,387890.0,,Temple-Inland,1-408-684-6459,70.0,Canada,7281 northland lower,2.0,80076,9.0,FL,0.0,M,2339382.0
Mok80,O,Mok-fung,Savannah,679.0,16808.0,Z,Psychiatric Solutions,1-330-353-5908,26.0,United States of America,12481 hayden lower,0.0,V6I 1V6,7.0,Saskatchewan,2.0,S,
Run81,,Rundle,Amarillo,356.0,304589.0,I,Nash-Finch,1-766-726-2675,,United States of America,2328 gracie avenue,4.0,97307,10.0,FL,,M,2065016.0
BEL82,R,BELLEY,Anchorage,308.0,48506.0,,AMR,1-938-425-7509,58.0,United States of America,4737 campbell street,5.0,46237,9.0,UT,2.0,S,2454049.0
BAE83,O,BAER,Louisville,412.0,,Y,Spartan Stores,1-527-308-8874,43.0,United States of America,2401 stratmore lower,4.0,V6B 1S6,4.0,WY,0.0,M,2423395.0
MAU84,O,MAULDIN,Hilo,618.0,358862.0,,Cigna,1-810-590-0635,65.0,United States of America,21477 JUNIPER CRESCENT,3.0,H2d 1x1,4.0,NH,2.0,D,1342045.0
Koo85,O,Koohgoli,Sudbury,429.0,477614.0,,General Cable,1-274-548-2512,24.0,United States of America,19214 YAUPON BOULEVARD,3.0,95108,5.0,AR,5.0,S,861756.0
Lau86,O,Lauriston,Orlando,819.0,175414.0,,Dun & Bradstreet,1-649-754-4601,79.0,United States of America,7785 rusk boulevard,1.0,80050,3.0,CT,3.0,S,1215349.0
Man87,O,Mangum,Missoula,552.0,427598.0,L,Casey's General Stores,1-905-932-1785,48.0,Canada,18002 cantrell upper,1.0,90122,7.0,VT,0.0,M,3981554.0
PIE88,O,PIERCY,Abilene,587.0,368207.0,,Jack in the Box,1-031-004-7697,69.0,United States of America,23341 brookside upper,4.0,43614,9.0,Manitoba,0.0,S,3865937.0
Bus89,O,Buscaglia,Saskatoon,304.0,449944.0,,Assurant,1-994-812-4796,91.0,United States of America,20494 ROSS WEST,1.0,61110,6.0,NJ,3.0,S,2804700.0
BAB90,U,BABIONE,Irvine,795.0,166247.0,,Psychiatric Solutions,1-176-513-4041,75.0,United States of America,17552 SAVANNAH NORTH,5.0,70174,4.0,KY,5.0,,3283558.0
Bur91,O,Burkard,Reno,830.0,391165.0,,Danaher,1-072-244-6337,85.0,United States of America,4462 pace crescent,3.0,90324,2.0,GA,1.0,S,450524.0
Kin92,R,Kinsella,Sacramento,709.0,165854.0,,Clorox,1-924-669-9328,76.0,United States of America,7161 tallowood upper,3.0,s7d 1n1,3.0,NJ,5.0,M,
POM93,O,POMMAINVILLE,Topeka,493.0,326181.0,,Boyd Gaming,1-598-488-3541,68.0,United States of America,3489 silver sage west,1.0,93829,8.0,SC,2.0,S,
BOA94,O,BOATWRIGHT,Rancho Cucamonga,680.0,173387.0,,Eaton,1-295-539-3868,95.0,United States of America,12481 hayden lower,,89116,,TN,3.0,M,633760.0
Ron95,R,Ronald,Hilo,800.0,301127.0,R,Dynegy,1-554-020-0267,15.0,United States of America,13210 3RD DRIVE,5.0,94315,,WY,1.0,M,3634954.0
wei96,R,weihs,Saint John,614.0,487230.0,A,AmeriCredit,1-793-621-4566,17.0,United States of America,8899 starling lane,5.0,T5b 1u9,4.0,Ontario,1.0,M,799268.0
Hel97,R,Helpb,Torrance,763.0,425747.0,P,SLM,1-787-267-4261,94.0,Canada,11480 fennel south,0.0,T6b 1a5,6.0,DC,4.0,,39093.0
mog98,O,moghe,Santa Clara,561.0,401946.0,,NV Energy,1-668-247-1597,70.0,United States of America,7266 cherry upper,4.0,60699,3.0,Alberta,4.0,S,2705353.0
boz99,O,bozicevich,Torrance,569.0,425422.0,,Landstar System,1-901-346-8890,29.0,United States of America,10678 ENGLEWOOD WEST,2.0,V6p 1s8,4.0,ME,1.0,S,3565153.0
Zah100,O,Zaharychuk,Stockton,634.0,208890.0,R,Pacific Life,1-451-273-3803,52.0,United States of America,21181 2ND RUE,1.0,v6i 1p1,5.0,MA,4.0,M,2832204.0
And101,O,Andric,Paterson,488.0,67880.0,,Textron,1-129-499-9136,51.0,United States of America,22963 hanover road,3.0,79423,10.0,NV,5.0,U,2194345.0
Bam102,O,Bamfo,Mesa,788.0,133412.0,L,Pfizer,1-899-319-0772,24.0,Canada,8268 cliffbrook boulevard,3.0,H5j 1o6,5.0,WA,2.0,W,3737140.0
fro103,O,frondozo,Anchorage,333.0,144829.0,,Cigna,1-053-396-0441,98.0,United States of America,5118 montview court,4.0,93761,8.0,WY,3.0,D,464753.0
Car104,U,Caron,Miami,601.0,,J,Ameren,1-239-665-9540,59.0,United States of America,17442 tallowood upper,1.0,76150,,NJ,1.0,M,596696.0
muc105,O,muchow,Great Falls,595.0,143682.0,V,Consolidated Edison,1-605-888-3403,49.0,Canada,4038 WEDGEWOOD STREET,4.0,99717,2.0,LA,3.0,U,1504753.0
gat106,O,gateau,Erie,433.0,350020.0,,Occidental Petroleum,1-630-604-2543,1.0,United States of America,20334 anaconda avenue,1.0,60608,10.0,TX,0.0,U,3049281.0
Sch107,O,Schaefer,Hollywood,403.0,435103.0,M,Sherwin-Williams,1-851-862-7928,79.0,United States of America,5385 young west,,v6w 1u4,10.0,SC,0.0,U,247478.0
pom108,R,pomerleau,Tulsa,615.0,207768.0,,Affiliated Computer Services,1-065-415-5724,6.0,United States of America,2747 SINCLAIR LANE,5.0,T5b 1t6,3.0,TX,1.0,,2750301.0
cuc109,O,cucuzzella,Tucson,735.0,407512.0,K,Valassis Communications,1-408-512-1007,70.0,United States of America,8622 BROWNWAY PARK,4.0,23298,1.0,MN,0.0,M,721333.0
SUG110,O,SUGARMAN,Anchorage,668.0,403366.0,Z,,1-083-902-4184,23.0,United States of America,18048 GREEN NORTH,0.0,32803,1.0,ID,3.0,S,669440.0
Pep111,O,Pepe,Sandy,349.0,384095.0,,Smithfield Foods,1-568-403-7081,78.0,Canada,18994 country boulevard,5.0,64122,,MI,3.0,M,2473979.0
Cha112,,Chandrashekar,Boston,654.0,288969.0,,,1-824-389-0618,79.0,United States of America,16063 ashland road,,T6b 1h2,,OK,4.0,S,3545170.0
SEI113,O,SEIFERS,Vancouver,361.0,233665.0,U,TD Ameritrade,1-174-210-2058,72.0,United States of America,19309 mcfarlin north,3.0,22222,6.0,UT,2.0,U,1494871.0
GAR114,U,GARTLEY,Akron,427.0,147236.0,S,Comerica,1-425-503-7952,31.0,Canada,2454 cliffbrook west,0.0,T6a 1d2,1.0,PA,4.0,S,436164.0
Tou115,O,Touchette,Lancaster,322.0,452557.0,,Steel Dynamics,1-012-389-9089,86.0,United States of America,15865 strand west,3.0,v5d 1n9,1.0,New Brunswick,0.0,W,1069481.0
Kur116,R,Kurdziel,Concord,792.0,179305.0,V,Coca-Cola Enterprises,1-909-472-6704,,United States of America,13776 east boulevard,0.0,23321,9.0,UT,2.0,S,
Her117,O,Herod,Chesapeake,478.0,205817.0,,News Corp.,1-622-167-5411,87.0,Canada,10570 WEIZMANN LOWER,0.0,90505,2.0,VA,3.0,U,2957261.0
MCV118,O,MCVICAR,Flint,477.0,262711.0,P,,1-164-511-9338,92.0,United States of America,15278 walnut hill road,5.0,19066,1.0,NH,,M,228459.0
LAB119,O,LABFIVE,Chattanooga,449.0,84810.0,,Stater Bros. Holdings,1-804-532-9163,4.0,Canada,23007 WAKEFOREST WAY,5.0,v6s 1r3,6.0,VT,1.0,M,67267.0
but120,O,butta,Billings,466.0,96441.0,,BorgWarner,1-197-370-0297,8.0,United States of America,9088 rivas way,4.0,78769,2.0,FL,2.0,U,1087978.0
Pro121,O,Projects,Scottsdale,483.0,462762.0,,CB Richard Ellis Group,1-337-042-5687,97.0,United States of America,18798 ullrich road,5.0,53769,2.0,NC,0.0,M,3885967.0
Irc122,O,Irc,Oshawa,588.0,141890.0,,Zimmer Holdings,1-056-138-5321,,United States of America,18517 HULEN LOWER,4.0,H7E 1U6,4.0,VA,5.0,D,3271101.0
Ziv123,O,Zivkovic,Naperville,313.0,156610.0,G,Mohawk Industries,1-776-191-2031,40.0,Canada,11474 dodd lane,5.0,e7o 1k1,2.0,DC,5.0,,
sim124,R,simser,Tampa,647.0,164752.0,H,Berkshire Hathaway,1-280-696-2706,95.0,United States of America,9375 wood south,4.0,90374,1.0,NC,1.0,U,1999133.0
kei125,O,keifer,Jackson,430.0,278949.0,I,Saks,1-857-581-6346,92.0,United States of America,20479 wise avenue,5.0,63169,2.0,MS,1.0,S,1100786.0
arv126,O,arvin,Hay River,467.0,,P,Gardner Denver,,67.0,United States of America,19918 ROGERS NORTH,5.0,16515,8.0,SC,0.0,W,563992.0
Pra127,O,Praeuner,Irvine,399.0,463736.0,,Hasbro,1-716-343-0884,24.0,United States of America,9284 coffey lower,2.0,85309,7.0,KS,3.0,M,962397.0
lue128,O,lue,Idaho Falls,654.0,,C,CBS,1-101-776-2496,26.0,United States of America,2929 north crescent,3.0,92158,5.0,VT,2.0,M,1064169.0
Prz129,O,Przybycien,Moreno Valley,378.0,86667.0,,Synnex,1-769-028-0589,62.0,United States of America,15404 queen street,0.0,33152,3.0,IL,2.0,S,2100059.0
pen130,O,penn,Ontario,338.0,193470.0,J,Belden,1-005-833-8970,37.0,United States of America,1619 greenspoint road,1.0,83729,10.0,FL,5.0,W,99025.0
Gua131,R,Guay,Concord,695.0,406379.0,S,Broadcom,1-884-215-4243,71.0,United States of America,21477 WARREN PARK,0.0,B8b 1z6,10.0,MI,5.0,S,3865481.0
bre132,U,brennand,Phoenix,614.0,480595.0,,Reynolds American,,29.0,Canada,6503 ROBBINS STREET,3.0,53717,7.0,Newfoundland,1.0,M,804544.0
Sav133,O,Savanh,Coral Springs,307.0,181718.0,X,Wells Fargo,1-725-177-7815,89.0,United States of America,3958 GLEN LOCH BOULEVARD,5.0,t5c 1w7,7.0,ME,4.0,S,3143356.0
ABB134,O,ABBATANTUONO,Oxnard,331.0,468310.0,Z,Retail Ventures,1-277-496-5396,11.0,United States of America,13640 ethridge lower,3.0,37245,2.0,AL,0.0,M,
OP135,O,OP,Brownsville,638.0,354987.0,N,AT&T,1-756-463-2201,20.0,United States of America,3981 imperial lower,0.0,94401,2.0,IN,2.0,S,2311953.0
Mer136,O,Mersinger,Memphis,703.0,284539.0,,Wynn Resorts,1-261-338-7463,75.0,Canada,13210 3rd drive,5.0,B8a 1y3,3.0,NH,3.0,W,3120608.0
rut137,O,rutt,Flint,302.0,213725.0,,Eastman Kodak,1-811-086-4675,95.0,United States of America,9297 THROCKMORTON SOUTH,5.0,t6b 1k2,7.0,DC,0.0,S,2058270.0
bem138,O,bemis,Lafayette,522.0,74195.0,I,Aramark,1-338-771-1185,0.0,United States of America,8935 YOUNG UPPER,3.0,85306,,DC,2.0,U,1511983.0
Pen139,O,Pennington,Greensboro,,169295.0,,ENSCO International,1-554-231-5318,73.0,United States of America,3797 RUTGERS PARK,1.0,V6R 1R7,,MD,5.0,M,439080.0
tor140,R,torok,Sterling Heights,833.0,307832.0,Y,Auto-Owners Insurance,1-733-886-5227,39.0,United States of America,8285 tamarind crescent,0.0,68513,5.0,Prince Edward Island,1.0,W,921255.0
law141,O,lawlis,Costa Mesa,,20397.0,L,Bemis,1-267-357-1943,76.0,United States of America,20025 routh crescent,1.0,v6n 1v9,2.0,MD,1.0,U,3810365.0
Bee142,O,Beebe,Houston,664.0,463094.0,D,Securian Financial Group,1-602-756-7919,5.0,United States of America,4144 LAKE PARK LANE,2.0,83702,6.0,New Brunswick,2.0,U,2641938.0
sch143,O,schlange,Bakersfield,789.0,331900.0,,Ford Motor,1-793-864-7010,65.0,United States of America,3375 sakowitz lane,1.0,80125,7.0,HI,4.0,U,3857323.0
Wit144,U,Witchlow,Chesapeake,803.0,8421.0,,ConAgra Foods,1-637-020-2921,94.0,United States of America,7255 berry way,0.0,M5G 1Y7,0.0,ND,5.0,S,1636212.0
MER145,,MEREDITH,Sandy,720.0,35780.0,Q,Charter Communications,1-428-797-6325,95.0,United States of America,3131 WATHAN SOUTH,4.0,80213,3.0,Nova Scotia,4.0,M,2999082.0
bia146,R,bialkenius,Lewiston,839.0,139897.0,,Calpine,1-011-549-5618,28.0,United States of America,18440 RYAN NORTH,0.0,60737,4.0,ME,1.0,M,2280820.0
Swi147,O,Swiat,Elizabeth,621.0,414119.0,P,Crane,1-993-255-5481,76.0,United States of America,13222 glen loch road,1.0,90510,0.0,Alberta,4.0,D,1050866.0
bul148,O,bullinger,Sudbury,628.0,234035.0,,Textron,1-487-749-4448,81.0,United States of America,7889 MURRAY WAY,4.0,92882,3.0,VT,5.0,D,
TYR149,O,TYRRELL,Austin,813.0,144405.0,,Idearc,1-192-352-2184,38.0,Canada,7527 whale drive,5.0,98121,6.0,DE,3.0,W,603001.0
Fyf150,R,Fyfe,Salinas,367.0,55441.0,,Cabela's,1-293-442-4224,25.0,United States of America,17788 eagle trace park,3.0,H2e 1x9,3.0,MA,5.0,W,3368239.0
Sic151,O,Sicard,Peoria,807.0,392869.0,,EOG Resources,1-078-502-6700,0.0,United States of America,7661 GRANT WAY,2.0,23503,10.0,CA,4.0,D,1042629.0
CAS152,O,CASTEN,Sydney,501.0,402416.0,,,1-430-909-3001,61.0,United States of America,4806 crystal hills street,4.0,40208,8.0,Manitoba,3.0,U,1948746.0
Cho153,O,Choy,San Antonio,490.0,89984.0,S,Burlington Coat Factory,1-392-455-0895,3.0,United States of America,4211 WILLS NORTH,2.0,75201,10.0,TN,0.0,U,3113862.0
