prospect_AgID,prospect_LaNa,prospect_AddrLi1,prospect_MiIni,prospect_OOReF,prospect_NuCreCa,prospect_Inc,prospect_NuCa,prospect_NumCh,prospect_MariSta,prospect_A,prospect_CreRa,prospect_Emp,prospect_NWo
dbq7518,dbqcukoddoiwg,rpikmvtgwsrsoehxgmxwypaueiaheabrf,l,U,7.0,106025.0,4.0,5.0,M,36.0,645.0,Newfield Exploration,1229655.0
Xch7519,Xchoxlbkffuvox,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,,O,1.0,106690.0,2.0,2.0,W,21.0,495.0,Loews,1157831.0
oir7520,oirfujtvl,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,Z,O,8.0,29373.0,2.0,2.0,M,4.0,371.0,Apache,
Fqb7521,Fqbovz,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,O,R,1.0,168189.0,2.0,3.0,S,72.0,462.0,Robert Half International,
qex7522,qextfjyytqwbmdrlykbfnhvqrmota,Dmyivtczopuqajpnjqvvgbhxynvduub,,U,7.0,264756.0,,,S,1.0,375.0,Viacom,3467922.0
Hpi7523,Hpiedhvkedqqdxsoedt,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,,U,10.0,44480.0,1.0,2.0,S,98.0,516.0,Robert Half International,46859.0
Fjd7524,Fjdafgbcrml,Esuycdxsjfbrqbtluspxsehk,,R,,87207.0,1.0,5.0,,35.0,703.0,CSX,2937668.0
Cgt7525,Cgtcmbl,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,,O,7.0,238434.0,4.0,2.0,W,99.0,734.0,Country Financial Services,2388613.0
Lwx7526,Lwxudfgcqawccntqaucdaeym,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,,U,4.0,,0.0,2.0,M,49.0,469.0,Procter & Gamble,3116283.0
epy7527,epyxtfsrijhddstgaxkbgmlayjtk,vnyndcximwxhecv,,O,2.0,391354.0,3.0,0.0,S,72.0,595.0,Ingles Markets,2671950.0
Aff7528,Affcha,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,M,O,1.0,419165.0,3.0,0.0,U,41.0,410.0,Forest Laboratories,3899593.0
mfc7529,mfcestd,,S,O,10.0,396509.0,3.0,2.0,W,54.0,475.0,Dentsply International,2537332.0
Slf7530,Slfbmvc,GVSBHGBDDVJFNNOZNNPJWCOI,S,R,2.0,145161.0,0.0,2.0,,11.0,,RadioShack,733236.0
Cxu7531,Cxuousxqyrfgjvpvuopyfguqva,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,,O,3.0,263206.0,2.0,5.0,W,0.0,519.0,Century Aluminum,
GZO7532,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,BIQIOQOHLQSTBRUFOI,F,U,5.0,190371.0,3.0,3.0,D,27.0,841.0,,3397276.0
DRW7533,DRWTVTDSG,Llfaqkbemnoy,A,O,6.0,203968.0,3.0,1.0,U,95.0,540.0,FPL Group,2444257.0
set7534,setksinlvlrjwnfu,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,N,R,10.0,428323.0,1.0,3.0,U,35.0,540.0,Lockheed Martin,71520.0
Pyo7535,Pyoixliri,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,,O,6.0,159980.0,4.0,1.0,M,96.0,,Sanmina-SCI,1911091.0
FSH7536,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,,O,6.0,266852.0,0.0,0.0,W,96.0,424.0,Iron Mountain,988775.0
Tdx7537,Tdxyljuxporjhdumcvfmv,,,R,2.0,206973.0,5.0,5.0,M,49.0,623.0,OfficeMax,3919363.0
Sbn7538,Sbnxcsrozzcufdoyvckpplofysx,atydogjpqphuwhegtbukkqiaeakrtrn,O,O,4.0,258221.0,5.0,1.0,S,,792.0,AMR,428918.0
Piq7539,Piqizouhxiw,Hlotorcbtobuceb,C,O,6.0,428508.0,4.0,4.0,S,27.0,718.0,Kohl's,58134.0
IXD7540,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,gsrdigbqfwrahybxrtm,,O,6.0,,4.0,0.0,M,98.0,401.0,Cigna,3703767.0
wsn7541,wsnjomkxbtybfnmtcjhvmblfwamnwd,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,,R,2.0,58953.0,4.0,5.0,M,,557.0,West,433859.0
Jkp7542,Jkpmtcj,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,A,O,7.0,409682.0,5.0,5.0,W,56.0,393.0,Monsanto,3002044.0
CCF7543,CCFFVCOHCLUUXZIQTCFCUHEYN,,,,10.0,340191.0,2.0,4.0,M,94.0,557.0,Reliant Energy,1124168.0
ylj7544,yljvuglvt,RELJYREDKQEKGOORBLRKOUIC,,O,5.0,238216.0,4.0,5.0,U,98.0,465.0,Idearc,2081541.0
ZBB7545,ZBBXAWVJAAL,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,V,O,6.0,113171.0,0.0,1.0,M,8.0,,Neiman Marcus,1897076.0
fqe7546,fqekemquvstw,Yewxbqpnfgh,,,10.0,234797.0,5.0,,W,90.0,485.0,O'Reilly Automotive,235172.0
Wpw7547,Wpwhilrlzng,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,,,2.0,225322.0,4.0,2.0,M,34.0,303.0,Cliffs Natural Resources,639573.0
vpz7548,vpzxgcwljllsq,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,,O,4.0,192689.0,1.0,2.0,W,25.0,846.0,Health Management Associates,2667082.0
Yfz7549,Yfzmtcvxc,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,O,1.0,348685.0,5.0,4.0,,50.0,621.0,Chevron,2598634.0
dou7550,douvwdwiwrxoivzaojazinrhswjv,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,,O,,401229.0,3.0,4.0,D,85.0,331.0,Exide Technologies,1074671.0
FDJ7551,FDJOVRSOCWEIKZ,hfuyqlsmbesrylepu,,R,9.0,38597.0,5.0,4.0,M,60.0,401.0,Convergys,2272997.0
ufu7552,ufutrfkevxnbupjcetrpltw,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,,R,0.0,,2.0,2.0,S,95.0,644.0,Dominion Resources,702000.0
bbg7553,bbgzmquoeecumw,qgjnvpwvmgsqzcanzncon,H,R,5.0,161204.0,4.0,1.0,M,8.0,769.0,Sentry Insurance Group,1289800.0
Znk7554,Znkkdbkvxcxeuackyodqlkpl,HNBGLUDIOAJRCCIXGDUQOO,v,O,2.0,202650.0,3.0,4.0,M,31.0,481.0,Cintas,1007390.0
CGQ7555,CGQARHBXCVHPTYDGVVPVLJYBJFYZD,FXNNYVMUEABMMBVJTCJNKOPOQJRSVWCTRRENECLSUXOYXWKWSLSVATTVQEDUAAOXXHBAKLULKV,T,O,7.0,,1.0,2.0,U,51.0,732.0,Medtronic,124290.0
add7556,addxtssyhezwro,dnlleihfh,,O,2.0,492433.0,4.0,4.0,M,24.0,802.0,Pride International,1820002.0
Anw7557,Anwyusqezrjppzkaevffwljm,ucbvdfcgnxmvrktknuearqllkshkgtnjufrbxommluggfvbcudhelcuvfkrwpm,J,O,5.0,344858.0,2.0,4.0,M,78.0,329.0,A. Schulman,2200347.0
Hvt7558,Hvtanebvipbdd,Wsjaujjdexc,,R,0.0,197290.0,5.0,0.0,W,56.0,839.0,Oneok,3669569.0
Yqj7559,Yqjaammjlhgpw,Ojberg,d,,,283654.0,2.0,,U,50.0,539.0,Danaher,2140537.0
Ztn7560,Ztnstwpjxatqveppicohpzilnn,Gymyluukzsxfncpevivrqfybwototaounlrhizwgugosixcopw,,R,4.0,317423.0,4.0,5.0,M,52.0,561.0,Del Monte Foods,3258909.0
bni7561,bnizllrrofn,Gbpnduuvkinefxmgpizlelvlfojeyjyuocqmonxuvcgerggsxzwuvvno,,O,2.0,399126.0,4.0,5.0,W,14.0,814.0,American Electric Power,1825422.0
swx7562,swxorhmdydwbrtdqxroghsddlpbdgi,Xwtkpxqgohxwxnv,,R,7.0,398180.0,5.0,0.0,M,29.0,305.0,TJX,1845263.0
DSA7563,DSARTXPZSEHCGWQAOUVTVZKGQYYNJO,Qpvmtkxxfef,P,O,4.0,,2.0,4.0,S,50.0,457.0,Philip Morris International,1463114.0
BXZ7564,BXZUTWBUFSGPPXKR,QCKNHEBVPAYKHMOPSSPZKIKSDWWPRMYXHLFZTNJDTQJTAKHJKHHE,,O,8.0,485429.0,4.0,1.0,U,67.0,349.0,Cincinnati Financial,2354683.0
pcz7565,pczqycbwefse,KRYAIAJGKHBKXBLC,,O,0.0,118018.0,2.0,0.0,M,22.0,590.0,Stryker,436677.0
Zqa7566,Zqaknviqngvemehvpzrcgkcvre,,,O,0.0,309693.0,5.0,4.0,U,20.0,533.0,Kansas City Southern,2383335.0
Htl7567,Htltlfnvjctvvdvulpkhcbyfi,Kpgnmsuwrwuphtexdknakkztipvgdpooqttpuokyovcgkccrrj,z,O,9.0,90718.0,4.0,0.0,W,75.0,686.0,IDT,2574739.0
afw7568,afwafvxxdr,VBDCWYVK,L,O,10.0,280645.0,2.0,0.0,U,60.0,582.0,Vornado Realty Trust,1596838.0
Wna7569,Wnakgzhqfhtavtvegjtdmdosnjr,VQEHPIQXPUYXNLHHXGIYHXLRFCWGMRYRLPLFZTXGFODCJTXACZKXEORRBTQZ,,O,0.0,231559.0,,4.0,S,,807.0,Dollar General,591965.0
Mlh7570,Mlheqxaigtvjaynkffyqkpu,Xlvxhmrfmptwhtykwdsopeybpnrsfmisbjvhwtxfipsdvyvrpefmswpatoflelensx,,O,3.0,36898.0,3.0,5.0,S,48.0,819.0,Safeway,3071440.0
Gor7571,Gorjnqxjtefmomsbmtnogaerx,Gwxymofcy,,R,5.0,396786.0,2.0,0.0,M,91.0,311.0,Apache,2683081.0
ENX7572,ENXOMNHFVPYQSABETPUEKRKCL,Qynjnmfgwxpmrw,,O,3.0,344365.0,2.0,5.0,U,98.0,734.0,Lowe's,3850483.0
fgr7573,fgrdzzudzmwlluff,Eoklokmwgjppbvcwbbnsbcungyjwnimpcgxnazsuwtfvbfgujt,,O,1.0,1205.0,4.0,1.0,W,51.0,432.0,Lithia Motors,1870617.0
Ysh7574,Yshzkx,SPUYQTWXPFSCUVORCIJOZDQKSPIRMHNOBLIGQIQAXVXJODRLYJSYVK,a,O,3.0,276666.0,5.0,0.0,S,22.0,394.0,CH2M Hill,1249534.0
Mos7575,Mosqjrkdycyygfsljqadgfqoldb,XBIKFJMVSDDVHYVNNHYHHMOGUWGFRAXVNQWITKEBUOZUPSRXHK,I,O,1.0,497953.0,0.0,0.0,U,57.0,658.0,Tellabs,3789880.0
czu7576,czuvw,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,,O,3.0,156048.0,1.0,2.0,M,38.0,348.0,Phillips-Van Heusen,3874445.0
Ghr7577,Ghrlcuscpesuzsdwqfwwbgh,BESJDYZDIOIXKDFEHBQXBPW,Z,O,8.0,63617.0,1.0,5.0,M,68.0,598.0,Wells Fargo,437353.0
Rwk7578,Rwkdeshuwhwvmvmdnckmuvdt,Ouopoqztakszwsfkthdbwndfjuqaelyd,,O,9.0,244849.0,2.0,2.0,U,93.0,505.0,Vornado Realty Trust,2669917.0
Uwi7579,Uwinnbtdd,Ivwhotvobwkshcixclfobqoljlaqohw,,R,7.0,123585.0,4.0,3.0,S,48.0,839.0,New York Times,1466537.0
VXZ7580,VXZTLDNZPYIFIKTIJRXS,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,,U,2.0,391134.0,1.0,1.0,S,96.0,672.0,Adobe Systems,991860.0
Ayk7581,Aykkkc,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,p,O,3.0,426759.0,5.0,5.0,M,58.0,696.0,Valmont Industries,
lho7582,lhodktal,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,,O,5.0,451737.0,5.0,3.0,W,63.0,448.0,UAL,1816368.0
rzi7583,rziprpcfwnirtuvrbfnuepq,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,,O,9.0,180822.0,2.0,1.0,S,18.0,549.0,AFLAC,565246.0
Wds7584,Wdsuorykxmvfxupyyjl,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,,O,0.0,205843.0,4.0,2.0,W,40.0,705.0,VeraSun Energy,1899339.0
Xsj7585,Xsjypvyfoqbiq,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,f,O,6.0,470985.0,4.0,3.0,M,29.0,387.0,Magellan Health Services,3873239.0
Lux7586,Luxkby,Nhgrkzjzcrjcerkwrugwul,v,,7.0,318225.0,2.0,1.0,U,21.0,359.0,Emcor Group,767547.0
wxw7587,wxwhwasadsmxchyhlgrvnurte,,,O,9.0,326044.0,2.0,2.0,M,41.0,494.0,Peabody Energy,1027999.0
pfz7588,pfzjoarqopfjtzjalxxxeq,uiaoi,e,,10.0,,1.0,1.0,M,56.0,345.0,State Farm Insurance Cos.,3428495.0
hlx7589,hlxshqpvshstjerwclb,Wwonzdtvwkn,,O,10.0,187282.0,2.0,0.0,M,33.0,402.0,Humana,1827180.0
nyb7590,nybiaaw,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,,O,3.0,,2.0,0.0,M,96.0,579.0,News Corp.,2070007.0
Ltt7591,Lttvvpjjavydrmbt,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,O,O,2.0,,2.0,0.0,,35.0,569.0,Torchmark,
gsz7592,gszunimggpyfjzmivbwizzftuen,cezvfwtftwlwfrgrpxtuejvrgucexe,,O,9.0,306946.0,0.0,4.0,W,40.0,745.0,Rock-Tenn,3596263.0
Kwp7593,Kwpztgkknktyvdks,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,,U,1.0,99663.0,0.0,,D,10.0,320.0,AGCO,3719999.0
AGM7594,AGMCLBCUEPVBRKDKWAGBCFOLYET,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,D,R,4.0,482013.0,2.0,4.0,M,59.0,591.0,,3058439.0
Ocn7595,Ocnds,Ctgihaqlm,u,U,10.0,180476.0,1.0,0.0,M,70.0,,United Stationers,2592932.0
Cmw7596,Cmweamsabhudajyhpsohkpzcy,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,,,5.0,285682.0,4.0,5.0,M,69.0,417.0,McCormick,1471273.0
Dit7597,Ditjvpiidkjkvxssfnctzcczb,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,V,R,8.0,455032.0,0.0,5.0,M,96.0,338.0,National Life Group,
Rmm7598,Rmmasnivkq,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,S,O,9.0,356141.0,3.0,,S,9.0,340.0,Hasbro,2410816.0
ekj7599,ekjvgcmzgobzeerrpfgefwvxlvfcua,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,,U,5.0,165667.0,3.0,3.0,U,39.0,738.0,Tupperware Brands,1059543.0
wcq7600,wcqqbslcxugdqpbzbmbqvlahw,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,A,O,7.0,459767.0,0.0,2.0,S,31.0,597.0,Covance,379282.0
Klc7601,Klcanpomjmuwosnasroukafsxtufz,RSSNUTWWLOKIHRRTPEAFTLBF,,R,4.0,106459.0,2.0,2.0,M,64.0,603.0,Interactive Brokers Group,3271265.0
Jrd7602,Jrdmn,Sachwqwddeyfxvagihsjxtcsibaejb,,U,5.0,51021.0,,1.0,D,38.0,662.0,SkyWest,1530364.0
GDQ7603,GDQESTOSFCKVLPZEQPNFIKQLTXB,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,,R,0.0,494931.0,2.0,4.0,W,47.0,838.0,Best Buy,3731860.0
fnm7604,fnmqzceohwapysohiuofkhjpwzgv,Sbutxmtwkb,,O,9.0,429859.0,5.0,2.0,M,,791.0,Sears Holdings,2488858.0
Ymu7605,Ymuvinagbzdhiwglzfacood,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,e,O,7.0,,1.0,4.0,S,76.0,692.0,Frontier Oil,2301347.0
Pxj7606,Pxjmfwpwm,mnkidgiyajigobghpnkdvauwiubpjb,R,O,8.0,464086.0,0.0,3.0,W,60.0,673.0,Automatic Data Processing,1736571.0
Rsd7607,Rsdlvo,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,M,O,7.0,207651.0,3.0,,U,73.0,331.0,,2399483.0
Qqh7608,Qqhwdyopkfs,Fmrydeogisvvtrpsfonolelpnqcbkrr,,O,2.0,260418.0,4.0,,U,37.0,744.0,Comerica,2982744.0
udq7609,udqexswxytatsvxw,Xhggtfwyslxvgeiuzjfxewcsweefq,Q,U,6.0,,5.0,1.0,M,50.0,446.0,Baldor Electric,1611011.0
Ghl7610,Ghlflxgkavpsqvkpun,,M,O,0.0,316963.0,0.0,4.0,M,0.0,,Commercial Metals,2999167.0
mtk7611,mtkfmxripistepftjaxfosviokgqsf,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,,O,,84046.0,5.0,,W,,,,
QIY7612,QIYQRALNIIONMKDZB,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,,O,9.0,368990.0,0.0,3.0,M,,723.0,Molina Healthcare,3307491.0
Ohz7613,Ohzpaqjtc,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,,O,2.0,124382.0,2.0,0.0,S,81.0,348.0,Plains All American Pipeline,2057260.0
djg7614,djgtucxplpftr,Gvdteormavfflajkedaclod,,O,,9263.0,2.0,0.0,M,52.0,666.0,Agilent Technologies,53179.0
Iad7615,Iaduje,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,,U,3.0,334181.0,2.0,4.0,M,68.0,,AutoZone,690086.0
EMG7616,EMGQKGEOTCGAFGDZVTRUAVGZYPM,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,H,R,8.0,314001.0,0.0,1.0,M,,844.0,,2025465.0
Hjn7617,Hjnljezrxojeaoustvawackahexa,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,,O,8.0,168309.0,1.0,4.0,M,36.0,766.0,Universal Health Services,695307.0
CYP7618,CYPTBBGPWKKKFNOUHJ,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,D,O,10.0,322765.0,2.0,4.0,M,31.0,521.0,Time Warner,3238398.0
KPN7619,KPNRNVLRFUTOWOERTCSIRQZ,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,h,O,7.0,311253.0,1.0,5.0,W,55.0,306.0,Sealed Air,1213578.0
Vbi7620,Vbimifwtrtvb,Blsmawjjdmdamrhqyqgzmbkfa,x,R,9.0,140296.0,5.0,5.0,W,66.0,411.0,Sprint Nextel,103708.0
ehb7621,ehbcbdctlcspuvwbqveohanmkolbw,Stofpzwyhkpmuq,,O,3.0,439984.0,1.0,5.0,M,22.0,,,1086081.0
TMQ7622,TMQACIIUMYYZHYX,LPPSVGKGAUQESCWZEDIMRDWXUAJHNNYZUGVANEOPQEJGBKDNSTJEXOJSJQJXLLZRREKKD,C,O,8.0,454011.0,5.0,0.0,U,51.0,702.0,Quiksilver,1349626.0
Lsb7623,Lsbutxufufshmkqnscnhx,,y,R,1.0,191541.0,1.0,5.0,S,26.0,842.0,Valspar,1083092.0
Dpz7624,Dpzpfctp,Twfsibyhrvrnvcygkdiwyokzoikvjbawfwpiachehbzcinnvdgevmbuozxru,u,R,0.0,,2.0,1.0,U,100.0,528.0,Timken,1662799.0
Zuj7625,Zujmcfzznpfohsdp,cnckvldjedzgdqhy,,R,5.0,,3.0,3.0,W,13.0,300.0,,3548540.0
Jqk7626,Jqkozdva,,,O,7.0,269215.0,2.0,1.0,S,11.0,752.0,Occidental Petroleum,881414.0
ijb7627,ijbcvbgglqupyentiqncsnswyygl,VITKCZSDQUXZTMLICIBDHMBKLDLCTRVNDXMCHYEHGKHEVTWIYGOYVVMGCSUTKYDEVACOBPWCJYA,,O,0.0,193126.0,0.0,4.0,M,62.0,303.0,,1712200.0
NMO7628,NMOXMHMVUDGY,qehomraquwxrkb,U,O,10.0,462618.0,3.0,5.0,M,13.0,418.0,Massey Energy,847446.0
Tef7629,Tefewe,pqcvwpsrvpzvqbvhsmxgvaigjfvoqwnjrzcpnlwqcqhzedfjoqpahrugzhperwh,,O,4.0,212026.0,3.0,3.0,W,23.0,667.0,Weyerhaeuser,344294.0
Sdj7630,Sdjhq,Vhixcyutfffwnvhjcajyuzaqshhtpkcdxkxayylwdfdvwdqejppkxhwfe,Z,U,7.0,371024.0,1.0,4.0,D,51.0,441.0,National Fuel Gas,1534879.0
Pbr7631,Pbrfgfdwedgrmifitr,kxnhxkeruywqzmkpbwatzrjybxepmuyrnmxtcjblsbdaewnizpa,,O,0.0,235810.0,3.0,2.0,U,2.0,471.0,Pep Boys,3897101.0
Ice7632,Icejebxweavlnddpjz,Kobkgkfebuucmenkiwfomkpzvbqksljtanzpffqcbmerezuplwjemxtcbgfijlplqkbvt,,O,9.0,347270.0,2.0,,W,,701.0,Neiman Marcus,3064442.0
ZWG7633,ZWGIV,TAIWTM,,R,1.0,399212.0,5.0,2.0,D,82.0,323.0,BlackRock,2016524.0
Evw7634,Evwthrqmqfpsbpdqojtqzpjmpoea,Twqwqcihxcqtsikjrbkpdkcjvilxxwufcseemmxkpaevfnnugdvcqakfvfskapafcnvyd,,O,10.0,439561.0,4.0,5.0,M,94.0,846.0,McGraw-Hill,37745.0
Lhl7635,Lhlatzfku,Wvsmbbadsaukihzirleqmihmfjfafpipekvdkefyphameghcopkjeesgzzrbcermehabkebgrek,c,O,8.0,29980.0,3.0,4.0,M,16.0,850.0,Family Dollar Stores,503752.0
LYB7636,LYBUGCXZYJSERVQKQJKNIIW,gftdszadvqouvqfmwwscgcdqwrqbpwtnqurrsyiwhkcvhuocznwtwvy,N,U,,28693.0,2.0,5.0,M,43.0,,Teleflex,2115180.0
Ijb7637,Ijbmwiomutrflaupolplmfjsqh,Phqspowfoiqmszxy,x,O,3.0,106794.0,1.0,2.0,M,76.0,564.0,,839222.0
Zhf7638,Zhftulgpedd,XDPEFDQIMFNMCO,,O,4.0,340598.0,3.0,5.0,S,0.0,558.0,Imation,1851334.0
PYU7639,PYUHQOCHAUAWGKHHLXQNUWZTEBN,FSSAAXLAMAPBOMTNUFG,r,O,0.0,490597.0,1.0,,U,33.0,417.0,PPL,1348251.0
