prospect_gncd,prospect_nmbrcrdtcrds,prospect_nmbrcrs,prospect_stt,prospect_frstnm,prospect_g,prospect_phn,prospect_ncm,prospect_nmbrchldrn,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_ntwrth
mpz7516,5.0,1.0,ID,Zmstbluqkipzaojfsomtbdddguq,18.0,1-814-158-3550,302205.0,4.0,M,623.0,O,Superior Energy Services,242246.0
Jhc7517,1.0,1.0,TX,dpqgvuaoijmkxsesvililpxcrwqe,79.0,1-420-580-0795,367555.0,1.0,S,845.0,O,Monsanto,1217660.0
dbq7518,7.0,4.0,New Brunswick,IHUGYGSRDWILVOFBAKUR,36.0,1-924-305-1666,106025.0,5.0,M,645.0,U,Newfield Exploration,1229655.0
Xch7519,1.0,2.0,Alberta,aefotdcronamhkzsfpvifmobgchmsp,21.0,1-450-082-2122,106690.0,2.0,W,495.0,O,Loews,1157831.0
oir7520,8.0,2.0,PA,jdeyqkerjerjpht,4.0,1-573-009-1404,29373.0,2.0,M,371.0,O,Apache,
Fqb7521,1.0,2.0,Nova Scotia,Lwihnxoihqqrvjydsijd,72.0,1-603-897-9894,168189.0,3.0,S,462.0,R,Robert Half International,
qex7522,7.0,,RI,nmnervucuk,1.0,1-947-161-6502,264756.0,,S,375.0,U,Viacom,3467922.0
Hpi7523,10.0,1.0,OR,hgjkxxbf,98.0,1-586-826-9847,44480.0,2.0,S,516.0,U,Robert Half International,46859.0
Fjd7524,,1.0,CA,Zangtryzlhmxo,35.0,1-217-243-2668,87207.0,5.0,,703.0,R,CSX,2937668.0
Cgt7525,7.0,4.0,MO,FFJGEQD,99.0,1-857-211-5728,238434.0,2.0,W,734.0,O,Country Financial Services,2388613.0
Lwx7526,4.0,0.0,Prince Edward Island,Pdcxrihnl,49.0,1-089-966-6281,,2.0,M,469.0,U,Procter & Gamble,3116283.0
epy7527,2.0,3.0,Quebec,Zckhcacwaelzutaodqalxyjrkh,72.0,,391354.0,0.0,S,595.0,O,Ingles Markets,2671950.0
Aff7528,1.0,3.0,KS,sqrosgqnpifxjx,41.0,1-231-342-6874,419165.0,0.0,U,410.0,O,Forest Laboratories,3899593.0
mfc7529,10.0,3.0,NV,Erqzkkllazeobgthnmgsbtj,54.0,,396509.0,2.0,W,475.0,O,Dentsply International,2537332.0
Slf7530,2.0,0.0,TN,Lcziayaozecoqqluasolkmmcldm,11.0,1-602-637-1838,145161.0,2.0,,,R,RadioShack,733236.0
Cxu7531,3.0,2.0,WY,Gcnczmuxviqaxtsdzmzhtro,0.0,1-003-982-8627,263206.0,5.0,W,519.0,O,Century Aluminum,
GZO7532,5.0,3.0,British Columbia,Rsoobsqytvjycob,27.0,1-136-358-6852,190371.0,3.0,D,841.0,U,,3397276.0
DRW7533,6.0,3.0,LA,Pjvadgt,95.0,1-123-528-2965,203968.0,1.0,U,540.0,O,FPL Group,2444257.0
set7534,10.0,1.0,HI,GUBKOKITTSKVYM,35.0,1-136-565-2501,428323.0,3.0,U,540.0,R,Lockheed Martin,71520.0
Pyo7535,6.0,4.0,NY,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,96.0,1-317-986-1984,159980.0,1.0,M,,O,Sanmina-SCI,1911091.0
FSH7536,6.0,0.0,TX,Kuteauo,96.0,1-265-603-1262,266852.0,0.0,W,424.0,O,Iron Mountain,988775.0
Tdx7537,2.0,5.0,AZ,Hkfofpndygljbeo,49.0,,206973.0,5.0,M,623.0,R,OfficeMax,3919363.0
Sbn7538,4.0,5.0,ME,Kengxgsu,,1-156-668-6882,258221.0,1.0,S,792.0,O,AMR,428918.0
Piq7539,6.0,4.0,NH,Plywuoa,27.0,1-164-648-3203,428508.0,4.0,S,718.0,O,Kohl's,58134.0
IXD7540,6.0,4.0,KY,zfcwsxpjzyqelkxg,98.0,1-839-795-1027,,0.0,M,401.0,O,Cigna,3703767.0
wsn7541,2.0,4.0,Prince Edward Island,Yxvczhqjwgnhowiu,,1-958-412-4252,58953.0,5.0,M,557.0,R,West,433859.0
Jkp7542,7.0,5.0,British Columbia,Grkknjyfgbhtyrhxzeaoeoyirwfa,56.0,1-392-335-1020,409682.0,5.0,W,393.0,O,Monsanto,3002044.0
CCF7543,10.0,2.0,CT,Vfrdst,94.0,1-912-050-7605,340191.0,4.0,M,557.0,,Reliant Energy,1124168.0
ylj7544,5.0,4.0,WA,Hqcswumjvwbemosmy,98.0,1-075-551-9919,238216.0,5.0,U,465.0,O,Idearc,2081541.0
ZBB7545,6.0,0.0,ND,Ectbhkmbvwkwdbn,8.0,1-013-611-2674,113171.0,1.0,M,,O,Neiman Marcus,1897076.0
fqe7546,10.0,5.0,ID,Bdbgqpllbnrmiirpct,90.0,1-656-865-7544,234797.0,,W,485.0,,O'Reilly Automotive,235172.0
Wpw7547,2.0,4.0,Quebec,Ftszluaxcsoxdfbmdd,34.0,1-879-870-7379,225322.0,2.0,M,303.0,,Cliffs Natural Resources,639573.0
vpz7548,4.0,1.0,ID,Qrdnpjquwnixfocqhsrlkcxmelwijl,25.0,1-366-625-9813,192689.0,2.0,W,846.0,O,Health Management Associates,2667082.0
Yfz7549,1.0,5.0,AL,Kkiolpmrgzmnjanqc,50.0,1-359-462-7089,348685.0,4.0,,621.0,O,Chevron,2598634.0
dou7550,,3.0,UT,unzegilpp,85.0,,401229.0,4.0,D,331.0,O,Exide Technologies,1074671.0
FDJ7551,9.0,5.0,MS,xetqkitwlh,60.0,1-153-396-8333,38597.0,4.0,M,401.0,R,Convergys,2272997.0
ufu7552,0.0,2.0,AK,TWRRGULRYKYUWZYBQQFMIFFKVK,95.0,1-144-623-1308,,2.0,S,644.0,R,Dominion Resources,702000.0
bbg7553,5.0,4.0,VT,Yqfljvgkfucafpjpamdtcppiipc,8.0,1-269-220-8046,161204.0,1.0,M,769.0,R,Sentry Insurance Group,1289800.0
Znk7554,2.0,3.0,LA,mjeasoritwctufyojamzbeeoo,31.0,1-052-524-0130,202650.0,4.0,M,481.0,O,Cintas,1007390.0
CGQ7555,7.0,1.0,CT,Udxaujgiratgthwkvdibgvwfo,51.0,1-335-871-6660,,2.0,U,732.0,O,Medtronic,124290.0
add7556,2.0,4.0,UT,GHFUKZPOKMXWZF,24.0,1-637-394-8083,492433.0,4.0,M,802.0,O,Pride International,1820002.0
Anw7557,5.0,2.0,IN,ybtkiifyhbgchnuctnhnqspk,78.0,1-706-795-4208,344858.0,4.0,M,329.0,O,A. Schulman,2200347.0
Hvt7558,0.0,5.0,WI,Fhkymmgjsbmpduuffgavhfcxm,56.0,1-622-347-5699,197290.0,0.0,W,839.0,R,Oneok,3669569.0
Yqj7559,,2.0,WA,DEZDTMSMWKALBRPALCFIME,50.0,1-042-017-9368,283654.0,,U,539.0,,Danaher,2140537.0
Ztn7560,4.0,4.0,LA,phoxfeiqoldgmnojmzunmargkla,52.0,1-829-935-5979,317423.0,5.0,M,561.0,R,Del Monte Foods,3258909.0
bni7561,2.0,4.0,VT,Upuabfflh,14.0,1-076-726-5283,399126.0,5.0,W,814.0,O,American Electric Power,1825422.0
swx7562,7.0,5.0,CT,owagfolbfwjzeg,29.0,,398180.0,0.0,M,305.0,R,TJX,1845263.0
DSA7563,4.0,2.0,RI,Qdmppehqxloc,50.0,1-284-129-5920,,4.0,S,457.0,O,Philip Morris International,1463114.0
BXZ7564,8.0,4.0,SC,jqbetxkci,67.0,1-128-308-8886,485429.0,1.0,U,349.0,O,Cincinnati Financial,2354683.0
pcz7565,0.0,2.0,British Columbia,Wsmywgbvwspgdwhmdxsqjwqb,22.0,1-145-469-5971,118018.0,0.0,M,590.0,O,Stryker,436677.0
Zqa7566,0.0,5.0,CO,ocgwi,20.0,1-727-684-7767,309693.0,4.0,U,533.0,O,Kansas City Southern,2383335.0
Htl7567,9.0,4.0,TN,Pcotdnngmurhkcd,75.0,1-776-201-2472,90718.0,0.0,W,686.0,O,IDT,2574739.0
afw7568,10.0,2.0,CA,bvcosqzcleknjzvkygbawlc,60.0,1-767-942-1278,280645.0,0.0,U,582.0,O,Vornado Realty Trust,1596838.0
Wna7569,0.0,,WY,ECLENELTSXGTNWOP,,1-723-062-7266,231559.0,4.0,S,807.0,O,Dollar General,591965.0
Mlh7570,3.0,3.0,SD,Xdwexmrjat,48.0,,36898.0,5.0,S,819.0,O,Safeway,3071440.0
Gor7571,5.0,2.0,British Columbia,xjwnvwdryqpcehelwzfhkkiuus,91.0,1-145-314-0862,396786.0,0.0,M,311.0,R,Apache,2683081.0
ENX7572,3.0,2.0,NJ,RNBABCYAFMQPBOHXNUXMXNU,98.0,1-735-104-7772,344365.0,5.0,U,734.0,O,Lowe's,3850483.0
fgr7573,1.0,4.0,AK,Eyrtrqkljywvbcice,51.0,,1205.0,1.0,W,432.0,O,Lithia Motors,1870617.0
Ysh7574,3.0,5.0,OH,Opybrukftspofebjmspkjsgtobzsp,22.0,1-518-116-1411,276666.0,0.0,S,394.0,O,CH2M Hill,1249534.0
Mos7575,1.0,0.0,New Brunswick,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,57.0,1-696-359-4829,497953.0,0.0,U,658.0,O,Tellabs,3789880.0
czu7576,3.0,1.0,IL,kpofwgtomgijnm,38.0,1-352-678-5471,156048.0,2.0,M,348.0,O,Phillips-Van Heusen,3874445.0
Ghr7577,8.0,1.0,AZ,Biflzgcqpqpbahquomftmjffohpwuy,68.0,1-906-600-9749,63617.0,5.0,M,598.0,O,Wells Fargo,437353.0
Rwk7578,9.0,2.0,NY,ybdlwlwxispyswbiegrbsqqtywxr,93.0,1-093-018-2851,244849.0,2.0,U,505.0,O,Vornado Realty Trust,2669917.0
Uwi7579,7.0,4.0,WA,Capzcewdt,48.0,1-302-096-9321,123585.0,3.0,S,839.0,R,New York Times,1466537.0
VXZ7580,2.0,1.0,GA,XKBLVBCCYKMIXABVTOTVPZCJRII,96.0,1-915-044-3154,391134.0,1.0,S,672.0,U,Adobe Systems,991860.0
Ayk7581,3.0,5.0,AZ,wmknfemsztimaphftadowlmbnp,58.0,1-040-274-3474,426759.0,5.0,M,696.0,O,Valmont Industries,
lho7582,5.0,5.0,NV,DHLVITRFJDXLTPAGMPMJ,63.0,1-678-397-2739,451737.0,3.0,W,448.0,O,UAL,1816368.0
rzi7583,9.0,2.0,TN,Jdpqutldftwykfyhukveiaimoyyk,18.0,1-679-345-9939,180822.0,1.0,S,549.0,O,AFLAC,565246.0
Wds7584,0.0,4.0,AL,Qiwemtdba,40.0,1-093-616-0613,205843.0,2.0,W,705.0,O,VeraSun Energy,1899339.0
Xsj7585,6.0,4.0,TX,JQKEDISZ,29.0,1-546-131-8988,470985.0,3.0,M,387.0,O,Magellan Health Services,3873239.0
Lux7586,7.0,2.0,WV,Gfuwa,21.0,1-477-186-7432,318225.0,1.0,U,359.0,,Emcor Group,767547.0
wxw7587,9.0,2.0,ND,CTTUYHUUMMDTX,41.0,1-965-848-6954,326044.0,2.0,M,494.0,O,Peabody Energy,1027999.0
pfz7588,10.0,1.0,Saskatchewan,Wvtqm,56.0,1-622-866-0937,,1.0,M,345.0,,State Farm Insurance Cos.,3428495.0
hlx7589,10.0,2.0,VA,xuwgpsvzcpxtoerndtr,33.0,1-040-217-2014,187282.0,0.0,M,402.0,O,Humana,1827180.0
nyb7590,3.0,2.0,ND,Hnnzpokbygacjjgybkskf,96.0,1-101-684-2373,,0.0,M,579.0,O,News Corp.,2070007.0
Ltt7591,2.0,2.0,ND,qsnivsknktiwjpqwnrlgftnmsrxkjc,35.0,1-386-426-5849,,0.0,,569.0,O,Torchmark,
gsz7592,9.0,0.0,MS,pygsfvfpeofkdcugfvxdsqgmcgebfp,40.0,1-598-816-0126,306946.0,4.0,W,745.0,O,Rock-Tenn,3596263.0
Kwp7593,1.0,0.0,WY,Zgxsuo,10.0,1-770-379-7700,99663.0,,D,320.0,U,AGCO,3719999.0
AGM7594,4.0,2.0,MA,ganifmdaqbltccwbqijtkypcetuq,59.0,,482013.0,4.0,M,591.0,R,,3058439.0
Ocn7595,10.0,1.0,AK,IYCOMORWDFSEKN,70.0,1-628-245-6238,180476.0,0.0,M,,U,United Stationers,2592932.0
Cmw7596,5.0,4.0,PA,vdvdlfz,69.0,1-813-787-2611,285682.0,5.0,M,417.0,,McCormick,1471273.0
Dit7597,8.0,0.0,MA,Sbwymtnwzhffkwjczlsnvrtcv,96.0,1-362-897-1162,455032.0,5.0,M,338.0,R,National Life Group,
Rmm7598,9.0,3.0,DC,qjjwbffbgxilxyarhjwdvo,9.0,1-952-919-4878,356141.0,,S,340.0,O,Hasbro,2410816.0
ekj7599,5.0,3.0,RI,JIXUQX,39.0,1-145-214-8009,165667.0,3.0,U,738.0,U,Tupperware Brands,1059543.0
wcq7600,7.0,0.0,MA,Eqrxuc,31.0,1-328-944-9786,459767.0,2.0,S,597.0,O,Covance,379282.0
Klc7601,4.0,2.0,Alberta,PDAXUXBMPOVTKJUR,64.0,1-899-864-9421,106459.0,2.0,M,603.0,R,Interactive Brokers Group,3271265.0
Jrd7602,5.0,,AR,Adftxl,38.0,1-877-997-8896,51021.0,1.0,D,662.0,U,SkyWest,1530364.0
GDQ7603,0.0,2.0,VA,Gaksvvggpbleteofow,47.0,1-750-900-0823,494931.0,4.0,W,838.0,R,Best Buy,3731860.0
fnm7604,9.0,5.0,OR,Ijstknxzfzsvqmy,,,429859.0,2.0,M,791.0,O,Sears Holdings,2488858.0
Ymu7605,7.0,1.0,ID,jvhwyzbcwdrrqmlbvpjwbohhemm,76.0,1-347-704-7823,,4.0,S,692.0,O,Frontier Oil,2301347.0
Pxj7606,8.0,0.0,IA,nhhjbqktsr,60.0,1-228-976-2888,464086.0,3.0,W,673.0,O,Automatic Data Processing,1736571.0
Rsd7607,7.0,3.0,TN,Lmhtjwddyqbzlxgv,73.0,,207651.0,,U,331.0,O,,2399483.0
Qqh7608,2.0,4.0,Nova Scotia,BXFLGQTJSJDQAUCXXJXWHTQU,37.0,1-760-429-1328,260418.0,,U,744.0,O,Comerica,2982744.0
udq7609,6.0,5.0,Ontario,Tlaihggmhfiuezhjgps,50.0,1-253-879-8833,,1.0,M,446.0,U,Baldor Electric,1611011.0
Ghl7610,0.0,0.0,MD,DSRXJZKFJTIVXLBAX,0.0,1-401-256-3483,316963.0,4.0,M,,O,Commercial Metals,2999167.0
mtk7611,,5.0,AR,Annsrbdzywmpqvigpn,,1-175-910-8245,84046.0,,W,,O,,
QIY7612,9.0,0.0,Saskatchewan,Mrawpcvb,,1-565-191-3419,368990.0,3.0,M,723.0,O,Molina Healthcare,3307491.0
Ohz7613,2.0,2.0,OH,yociu,81.0,1-921-688-5401,124382.0,0.0,S,348.0,O,Plains All American Pipeline,2057260.0
djg7614,,2.0,VA,DQNVNWPYSMLDGXJVBUHUKDLRSLN,52.0,1-925-155-0170,9263.0,0.0,M,666.0,O,Agilent Technologies,53179.0
Iad7615,3.0,2.0,ID,wfnjfn,68.0,1-185-691-2951,334181.0,4.0,M,,U,AutoZone,690086.0
EMG7616,8.0,0.0,WI,WWWEN,,1-067-518-3854,314001.0,1.0,M,844.0,R,,2025465.0
Hjn7617,8.0,1.0,MS,Krjcfgq,36.0,1-188-554-1671,168309.0,4.0,M,766.0,O,Universal Health Services,695307.0
CYP7618,10.0,2.0,OK,Fxmpengjsaf,31.0,1-168-215-2223,322765.0,4.0,M,521.0,O,Time Warner,3238398.0
KPN7619,7.0,1.0,GA,Eobtk,55.0,1-228-022-3056,311253.0,5.0,W,306.0,O,Sealed Air,1213578.0
Vbi7620,9.0,5.0,TN,Abahrdfcbtscoblhaovnjkbx,66.0,1-926-766-1124,140296.0,5.0,W,411.0,R,Sprint Nextel,103708.0
ehb7621,3.0,1.0,SC,bhephgijqbu,22.0,1-538-797-1948,439984.0,5.0,M,,O,,1086081.0
TMQ7622,8.0,5.0,AR,KECNVVPGTOXHIGOUAWLHU,51.0,1-627-234-0841,454011.0,0.0,U,702.0,O,Quiksilver,1349626.0
Lsb7623,1.0,1.0,MT,xppmtvztaifqynlbmofxonnus,26.0,1-876-492-0782,191541.0,5.0,S,842.0,R,Valspar,1083092.0
Dpz7624,0.0,2.0,WY,kzntoukktuqqfuyeo,100.0,1-436-946-7319,,1.0,U,528.0,R,Timken,1662799.0
Zuj7625,5.0,3.0,WY,TDRLAQZARCGRAMDDMCWP,13.0,1-281-780-2897,,3.0,W,300.0,R,,3548540.0
Jqk7626,7.0,2.0,WV,shbaeyxyrjfietruntrdeyqkc,11.0,1-421-286-4139,269215.0,1.0,S,752.0,O,Occidental Petroleum,881414.0
ijb7627,0.0,0.0,CA,Zururxrihusergiba,62.0,1-908-354-2709,193126.0,4.0,M,303.0,O,,1712200.0
NMO7628,10.0,3.0,Alberta,QZLCPVRKZMTENMREVZT,13.0,1-466-560-2530,462618.0,5.0,M,418.0,O,Massey Energy,847446.0
Tef7629,4.0,3.0,New Brunswick,dvbflygvxrizbclmqwoajkvnzoufc,23.0,1-578-686-8082,212026.0,3.0,W,667.0,O,Weyerhaeuser,344294.0
Sdj7630,7.0,1.0,British Columbia,mtnubdnrdoivcuqmapqhtvzkixw,51.0,1-166-077-1436,371024.0,4.0,D,441.0,U,National Fuel Gas,1534879.0
Pbr7631,0.0,3.0,DE,Nzljqsbgutsixlosfedpmlzl,2.0,1-535-320-1881,235810.0,2.0,U,471.0,O,Pep Boys,3897101.0
Ice7632,9.0,2.0,CT,Ealrdsynhtadihmsl,,1-633-495-6478,347270.0,,W,701.0,O,Neiman Marcus,3064442.0
ZWG7633,1.0,5.0,Quebec,xfjdwfentojva,82.0,1-398-680-0278,399212.0,2.0,D,323.0,R,BlackRock,2016524.0
Evw7634,10.0,4.0,NJ,Zvowaelneuhpxzphpvtgvfz,94.0,1-185-976-7770,439561.0,5.0,M,846.0,O,McGraw-Hill,37745.0
Lhl7635,8.0,3.0,MN,fmdcjzjekrwrirumyvfuqnnkxzr,16.0,1-490-238-8219,29980.0,4.0,M,850.0,O,Family Dollar Stores,503752.0
LYB7636,,2.0,NE,Ohetzpmilrphnhnasiisaypdl,43.0,1-891-741-2112,28693.0,5.0,M,,U,Teleflex,2115180.0
Ijb7637,3.0,1.0,VA,VAUWGMVOILXNGKB,76.0,1-849-918-0984,106794.0,2.0,M,564.0,O,,839222.0
Zhf7638,4.0,3.0,PA,Tnwgmuvaaqmxskkyqnvrmnmul,0.0,1-426-168-3142,340598.0,5.0,S,558.0,O,Imation,1851334.0
PYU7639,0.0,1.0,WV,mtovrkjvtfkennjujgpegknnck,33.0,1-757-910-8931,490597.0,,U,417.0,O,PPL,1348251.0
Iku7640,6.0,2.0,WY,Lwxdv,62.0,1-468-325-0119,499685.0,2.0,U,487.0,O,Smithfield Foods,2722392.0
HBZ7641,9.0,2.0,MN,Ftvuzjdzocqmcoxvrbqcna,8.0,1-383-310-7894,62285.0,0.0,M,639.0,O,Macy's,1785161.0
Pco7642,3.0,5.0,VT,Hnbgeuii,4.0,1-353-727-2029,320885.0,5.0,U,625.0,O,Torchmark,2823578.0
Ybv7643,1.0,5.0,WV,Fykbowmpxpbb,39.0,1-028-849-5461,184669.0,3.0,D,,O,Herman Miller,2123972.0
Rim7644,3.0,0.0,IN,Ruagwhiorgizpmbphjerywjrr,90.0,1-480-785-4021,126989.0,0.0,S,,R,Kindred Healthcare,112782.0
gnf7645,3.0,1.0,MS,teldp,7.0,1-443-132-4138,48144.0,4.0,M,460.0,,Arch Coal,248311.0
Wxp7646,8.0,5.0,CO,Tmhxnpfgyifx,95.0,1-143-020-1234,377787.0,4.0,,793.0,O,Whirlpool,3719851.0
Dxh7647,8.0,5.0,PA,Fpchjcvsrkakkqqsojokdrg,59.0,1-475-304-3486,323782.0,5.0,U,821.0,O,Arrow Electronics,1920385.0
Aqo7648,6.0,3.0,DE,Heiehcgec,13.0,1-677-882-6792,31880.0,2.0,S,,O,Rock-Tenn,576903.0
fen7649,8.0,5.0,Prince Edward Island,sgapkfrztiyyayezulvi,58.0,1-151-067-7411,390190.0,3.0,D,643.0,O,R.H. Donnelley,1855037.0
CMQ7650,2.0,4.0,TN,Nohjtayoycptngwoitqzhmuf,67.0,1-645-553-4591,413821.0,1.0,U,817.0,O,Pall,2954046.0
Yhb7651,10.0,1.0,CA,QIGFYQTIPFYCR,68.0,1-670-793-5351,301451.0,2.0,,702.0,O,Burlington Coat Factory,952096.0
mbw7652,2.0,1.0,TN,evwjgjrsttnkbmhmmrswodkvwdqo,17.0,1-049-843-6473,5888.0,0.0,D,409.0,O,Forest Laboratories,3382998.0
xas7653,6.0,2.0,FL,SMOQFUQUOWABMRDKJPFC,44.0,1-739-185-6579,254404.0,2.0,,617.0,O,Moody's,3772196.0
MKM7654,5.0,3.0,TN,Jzwgkirmjeznhbniytvkxnhhar,16.0,1-215-295-5893,290984.0,0.0,M,,O,Fidelity National Financial,3180080.0
Jgi7655,,5.0,OR,IMPCDEPQTVPBRBNJNLWAPSYUW,27.0,,441847.0,5.0,M,756.0,O,Amphenol,3971412.0
Mwv7656,5.0,2.0,ME,Ewwyolurheysjpusipgrmydspux,59.0,1-515-341-8405,373240.0,4.0,D,484.0,R,Int. Business Machines,1488210.0
YOY7657,9.0,1.0,SC,Indhpnqswpoplupdlejxhjm,8.0,1-249-978-7278,461444.0,4.0,S,589.0,O,Int. Flavors & Fragrances,2621373.0
Gja7658,0.0,1.0,Ontario,Dahur,98.0,1-471-716-6210,255072.0,4.0,S,380.0,O,Gilead Sciences,1021949.0
rcx7659,10.0,1.0,GA,JLZXMAOFICNNT,35.0,,255019.0,1.0,S,541.0,R,United Rentals,2444319.0
IPA7660,7.0,1.0,VA,Rvrfuknkgeyb,57.0,1-982-617-1421,330718.0,,M,474.0,,Convergys,362567.0
rbj7661,4.0,2.0,KY,Ruihhbkdjniajgrvwos,69.0,1-068-568-6056,245130.0,1.0,,685.0,O,Mueller Water Products,462234.0
ebw7662,10.0,4.0,SC,Gkirgeljoajnkshohjinbooco,33.0,,19691.0,3.0,M,363.0,R,Shaw Group,3936622.0
SQY7663,9.0,1.0,NC,cgqpaxicnbhaaufmao,33.0,1-772-155-4468,13490.0,1.0,M,605.0,O,Energy Future Holdings,2116904.0
nqw7664,6.0,4.0,KS,beidygiakhaztngnhqsrjhxs,1.0,1-551-833-6226,90333.0,4.0,W,394.0,,PHH,63883.0
Fyz7665,6.0,0.0,MO,XXILDDNLYSINLOGZNXHQKGLMEAR,19.0,1-894-068-7775,210200.0,2.0,U,812.0,R,Simon Property Group,2747738.0
Hds7666,3.0,3.0,OK,MLHCHSATXNEQIRSMEHAM,63.0,,195318.0,3.0,M,688.0,R,World Fuel Services,938329.0
ksz7667,9.0,5.0,LA,Qqgzzbefkm,27.0,1-942-682-4165,486627.0,5.0,M,808.0,O,Andersons,976093.0
Wzm7668,1.0,,Saskatchewan,qdjedjylsojhngornkkgmozdbb,12.0,,142918.0,4.0,,492.0,O,L-3 Communications,2031908.0
Xna7669,6.0,4.0,KY,Vszkppbmlhgmjgeiss,26.0,1-316-836-0322,243364.0,3.0,D,734.0,O,CACI International,660066.0
ugr7670,7.0,1.0,NH,Yizitnh,2.0,1-746-466-6593,208343.0,5.0,M,579.0,O,M&T Bank Corp.,2777991.0
Qao7671,10.0,0.0,NM,Jkrhfalisxualvrritesxm,34.0,1-306-508-0916,26787.0,4.0,M,410.0,U,Family Dollar Stores,3148815.0
MXH7672,7.0,0.0,NE,Hfhsubkrpir,86.0,1-049-405-9872,190609.0,4.0,D,743.0,O,Medco Health Solutions,3714775.0
KQU7673,9.0,1.0,New Brunswick,Htbblpuiuynkio,47.0,1-539-901-1797,,,M,431.0,O,Crosstex Energy,2203195.0
bxn7674,4.0,0.0,MD,odfxd,73.0,1-976-507-8347,,0.0,M,805.0,O,Reynolds American,3708645.0
Opu7675,9.0,1.0,WV,Znewofyktnzry,83.0,1-902-376-9596,453308.0,0.0,U,688.0,O,PolyOne,2954852.0
Ceo7676,1.0,1.0,MA,obgrwipkwotv,99.0,1-532-161-3458,251108.0,,D,483.0,O,"Toys ""R"" Us",2421534.0
DZH7677,7.0,0.0,MT,llbtndfaert,49.0,1-943-745-8094,128853.0,0.0,U,844.0,O,Sonoco Products,941243.0
Ocd7678,5.0,3.0,NM,Vowvlsbsbfokxbljqxz,96.0,1-162-078-3859,486933.0,3.0,M,436.0,O,Newfield Exploration,3133101.0
Uyj7679,3.0,5.0,TN,qafdyn,12.0,1-881-265-1012,306545.0,2.0,D,336.0,U,IAC/InterActiveCorp,2070834.0
mhz7680,1.0,1.0,PA,aqococfdutcrxipsdiizyfbigy,75.0,1-781-682-4447,7682.0,1.0,S,688.0,O,MGIC Investment,2617194.0
Sft7681,9.0,3.0,NC,Radeyutyf,29.0,1-716-288-6722,280763.0,0.0,U,581.0,O,American International Group,2752340.0
gza7682,6.0,1.0,CO,ockmjwrdbkxoaemodyftxmjcl,4.0,1-407-712-3659,296945.0,2.0,,670.0,R,Health Net,2611991.0
Rem7683,5.0,0.0,TX,MPCHPTTYJUWERHWMHALH,100.0,1-747-143-2305,176399.0,0.0,U,671.0,O,Mueller Industries,3965576.0
