gncd,nmbrcrs,crdtrtng,phn,nmbrcrdtcrds,mrtlstts,ddrssln1,wnrrntflg,ct,ntwrth,mddlntl,stt,cntr,ncm,nmbrchldrn,g,mplr
Pos42,4.0,707.0,1-956-713-3802,9.0,M,2240 clifton lower,O,Cleveland,1421319.0,,VA,United States of America,322484.0,1.0,1.0,J.P. Morgan Chase & Co.
Mac43,4.0,329.0,1-814-932-1579,0.0,M,20907 NOTINGHAM LOWER,O,Grand Rapids,3525204.0,,OK,United States of America,83458.0,2.0,3.0,Affinia Group Intermediate
che44,0.0,601.0,1-135-443-7282,8.0,D,601 carroll lower,R,Peoria,468976.0,,Prince Edward Island,United States of America,,3.0,100.0,
hol45,5.0,623.0,1-720-975-0667,2.0,W,18267 state drive,O,Inglewood,1685443.0,,SD,United States of America,492407.0,1.0,81.0,Goldman Sachs Group
pfi46,4.0,376.0,1-871-598-3505,2.0,S,9270 LEAF SOUTH,O,Akron,337564.0,,OH,United States of America,346630.0,4.0,76.0,E*Trade Financial
elk47,1.0,560.0,1-607-222-4809,0.0,W,18582 PERIMETER BOULEVARD,O,Charlottetown,84777.0,Y,MA,Canada,9572.0,3.0,51.0,Pfizer
Lab48,1.0,693.0,1-965-046-0642,4.0,,9612 park stream upper,O,Bellevue,3146477.0,,MD,United States of America,265369.0,5.0,,Safeway
laf49,1.0,346.0,1-155-441-3579,0.0,S,2803 clearwater north,U,Dover,495277.0,Y,Saskatchewan,United States of America,104172.0,2.0,58.0,Simon Property Group
Nor50,0.0,342.0,,0.0,M,11103 BISSONNET WEST,O,Fullerton,746904.0,I,WA,United States of America,65550.0,3.0,52.0,Trinity Industries
hag51,2.0,563.0,1-544-132-7237,8.0,M,4652 outervale lane,R,Denver,1219620.0,,OH,Canada,,0.0,91.0,Solutia
Bet52,2.0,391.0,1-821-089-2089,4.0,M,341 dunbar west,O,Dallas,1718910.0,,WY,United States of America,,3.0,17.0,
Van53,4.0,381.0,1-135-391-9787,8.0,S,16176 vernon drive,O,San Jose,,,NJ,United States of America,66244.0,4.0,6.0,A.O. Smith
O'L54,0.0,539.0,1-776-182-6215,9.0,S,23131 clint way,U,Bellevue,2636424.0,,ND,United States of America,426954.0,3.0,89.0,AptarGroup
and55,5.0,497.0,1-079-780-7761,0.0,M,11640 baltic upper,O,San Buenaventura,1326305.0,,NC,United States of America,126891.0,4.0,99.0,Coca-Cola
sta56,4.0,661.0,1-504-346-4393,,M,20796 dolores drive,O,St. Louis,2241997.0,,WV,Canada,454196.0,2.0,77.0,Kimberly-Clark
CHA57,5.0,558.0,1-985-538-4351,0.0,S,14359 COMMERCE WEST,R,Pueblo,1542891.0,,GA,United States of America,163940.0,3.0,,Visteon
ASI58,,534.0,1-254-097-9398,,W,21448 hampton boulevard,O,Regina,797918.0,,Ontario,Canada,365213.0,1.0,90.0,TECO Energy
ask59,0.0,373.0,1-545-924-9552,6.0,M,7637 pershing way,U,Saskatoon,347654.0,,MA,United States of America,428739.0,0.0,82.0,Bemis
Kik60,4.0,382.0,1-984-233-8818,8.0,M,11529 arcana boulevard,O,Jackson,2456397.0,K,CA,United States of America,142444.0,0.0,,Wyeth
Cha61,3.0,475.0,1-528-691-1642,10.0,S,2700 windwood north,O,St. Petersburg,1284229.0,,SD,United States of America,416168.0,3.0,15.0,United Technologies
KIL62,2.0,539.0,,3.0,D,22279 gramercy road,O,Scottsdale,618787.0,U,Saskatchewan,United States of America,291420.0,0.0,,Clorox
kin63,4.0,711.0,1-171-807-8213,6.0,M,9828 west east,O,Charlotte,1171606.0,,RI,United States of America,413501.0,5.0,96.0,Discovery Communications
MAL64,4.0,606.0,1-056-241-7009,1.0,M,5935 mcafee park,O,Waterbury,3983261.0,,NC,United States of America,,,38.0,Williams-Sonoma
Odu65,3.0,494.0,1-389-414-0570,0.0,W,12460 CLAYTON STREET,O,Chesapeake,2328568.0,J,SD,United States of America,419143.0,3.0,10.0,Manitowoc
DI 66,1.0,309.0,1-583-542-1656,3.0,M,275 3rd drive,O,Hialeah,2078600.0,,IL,United States of America,155057.0,5.0,72.0,Henry Schein
STU67,2.0,630.0,1-269-712-0672,3.0,M,6907 FERNCLIFF CRESCENT,O,Charleston,2986155.0,K,OR,United States of America,313859.0,5.0,97.0,Trinity Industries
HAM68,4.0,330.0,1-670-102-0463,10.0,S,885 crosby lane,O,Salem,1864039.0,,Ontario,United States of America,265907.0,1.0,48.0,Pepsi Bottling
LIB69,,710.0,1-699-726-3895,9.0,S,2344 kalani west,O,Sacramento,1293721.0,,FL,Canada,283481.0,0.0,97.0,UGI
ohs70,4.0,475.0,1-640-666-2876,7.0,M,22870 LA CIENEGA STREET,R,Santa Clarita,3850114.0,,NM,United States of America,200635.0,0.0,73.0,Greif
HUM71,0.0,596.0,1-540-639-1311,3.0,U,8478 green avenue,O,Sherbrooke,1618743.0,O,NE,United States of America,434519.0,1.0,71.0,Equifax
BRA72,5.0,670.0,1-285-874-8492,9.0,W,23639 purdue rue,O,Colorado Springs,3383487.0,,MI,United States of America,392315.0,1.0,93.0,
Boa73,5.0,722.0,1-121-904-0040,,U,19202 ansley park,O,Berkeley,2981876.0,X,New Brunswick,United States of America,493829.0,3.0,53.0,Freescale Semiconductor
Mcn74,3.0,587.0,1-017-842-3201,7.0,U,11319 devonshire rue,O,San Buenaventura,2109339.0,,NJ,United States of America,97489.0,2.0,32.0,Aleris International
MAR75,4.0,609.0,1-215-859-3206,4.0,S,23665 deerwood park,O,New Haven,791803.0,,ND,United States of America,,3.0,1.0,
Wil76,0.0,401.0,1-764-520-7470,7.0,S,4855 union north,O,Shreveport,3523678.0,,Saskatchewan,United States of America,383046.0,1.0,39.0,World Fuel Services
Dea77,4.0,335.0,1-414-130-0162,0.0,M,9466 SHADOWBRIAR WEST,,Lansing,1681902.0,S,KS,United States of America,1190.0,0.0,77.0,R.R. Donnelley & Sons
Hou78,5.0,569.0,1-970-240-9990,7.0,U,3504 regency avenue,O,Pembroke Pines,3851455.0,,SD,United States of America,85733.0,5.0,18.0,Brinker International
Goy79,0.0,,1-408-684-6459,9.0,M,7281 northland lower,R,Palmdale,2339382.0,,FL,Canada,387890.0,2.0,70.0,Temple-Inland
Mok80,2.0,679.0,1-330-353-5908,7.0,S,12481 hayden lower,O,Savannah,,Z,Saskatchewan,United States of America,16808.0,0.0,26.0,Psychiatric Solutions
Run81,,356.0,1-766-726-2675,10.0,M,2328 gracie avenue,,Amarillo,2065016.0,I,FL,United States of America,304589.0,4.0,,Nash-Finch
BEL82,2.0,308.0,1-938-425-7509,9.0,S,4737 campbell street,R,Anchorage,2454049.0,,UT,United States of America,48506.0,5.0,58.0,AMR
BAE83,0.0,412.0,1-527-308-8874,4.0,M,2401 stratmore lower,O,Louisville,2423395.0,Y,WY,United States of America,,4.0,43.0,Spartan Stores
MAU84,2.0,618.0,1-810-590-0635,4.0,D,21477 JUNIPER CRESCENT,O,Hilo,1342045.0,,NH,United States of America,358862.0,3.0,65.0,Cigna
Koo85,5.0,429.0,1-274-548-2512,5.0,S,19214 YAUPON BOULEVARD,O,Sudbury,861756.0,,AR,United States of America,477614.0,3.0,24.0,General Cable
Lau86,3.0,819.0,1-649-754-4601,3.0,S,7785 rusk boulevard,O,Orlando,1215349.0,,CT,United States of America,175414.0,1.0,79.0,Dun & Bradstreet
Man87,0.0,552.0,1-905-932-1785,7.0,M,18002 cantrell upper,O,Missoula,3981554.0,L,VT,Canada,427598.0,1.0,48.0,Casey's General Stores
PIE88,0.0,587.0,1-031-004-7697,9.0,S,23341 brookside upper,O,Abilene,3865937.0,,Manitoba,United States of America,368207.0,4.0,69.0,Jack in the Box
Bus89,3.0,304.0,1-994-812-4796,6.0,S,20494 ROSS WEST,O,Saskatoon,2804700.0,,NJ,United States of America,449944.0,1.0,91.0,Assurant
BAB90,5.0,795.0,1-176-513-4041,4.0,,17552 SAVANNAH NORTH,U,Irvine,3283558.0,,KY,United States of America,166247.0,5.0,75.0,Psychiatric Solutions
Bur91,1.0,830.0,1-072-244-6337,2.0,S,4462 pace crescent,O,Reno,450524.0,,GA,United States of America,391165.0,3.0,85.0,Danaher
Kin92,5.0,709.0,1-924-669-9328,3.0,M,7161 tallowood upper,R,Sacramento,,,NJ,United States of America,165854.0,3.0,76.0,Clorox
POM93,2.0,493.0,1-598-488-3541,8.0,S,3489 silver sage west,O,Topeka,,,SC,United States of America,326181.0,1.0,68.0,Boyd Gaming
BOA94,3.0,680.0,1-295-539-3868,,M,12481 hayden lower,O,Rancho Cucamonga,633760.0,,TN,United States of America,173387.0,,95.0,Eaton
Ron95,1.0,800.0,1-554-020-0267,,M,13210 3RD DRIVE,R,Hilo,3634954.0,R,WY,United States of America,301127.0,5.0,15.0,Dynegy
wei96,1.0,614.0,1-793-621-4566,4.0,M,8899 starling lane,R,Saint John,799268.0,A,Ontario,United States of America,487230.0,5.0,17.0,AmeriCredit
Hel97,4.0,763.0,1-787-267-4261,6.0,,11480 fennel south,R,Torrance,39093.0,P,DC,Canada,425747.0,0.0,94.0,SLM
mog98,4.0,561.0,1-668-247-1597,3.0,S,7266 cherry upper,O,Santa Clara,2705353.0,,Alberta,United States of America,401946.0,4.0,70.0,NV Energy
boz99,1.0,569.0,1-901-346-8890,4.0,S,10678 ENGLEWOOD WEST,O,Torrance,3565153.0,,ME,United States of America,425422.0,2.0,29.0,Landstar System
Zah100,4.0,634.0,1-451-273-3803,5.0,M,21181 2ND RUE,O,Stockton,2832204.0,R,MA,United States of America,208890.0,1.0,52.0,Pacific Life
And101,5.0,488.0,1-129-499-9136,10.0,U,22963 hanover road,O,Paterson,2194345.0,,NV,United States of America,67880.0,3.0,51.0,Textron
Bam102,2.0,788.0,1-899-319-0772,5.0,W,8268 cliffbrook boulevard,O,Mesa,3737140.0,L,WA,Canada,133412.0,3.0,24.0,Pfizer
fro103,3.0,333.0,1-053-396-0441,8.0,D,5118 montview court,O,Anchorage,464753.0,,WY,United States of America,144829.0,4.0,98.0,Cigna
Car104,1.0,601.0,1-239-665-9540,,M,17442 tallowood upper,U,Miami,596696.0,J,NJ,United States of America,,1.0,59.0,Ameren
muc105,3.0,595.0,1-605-888-3403,2.0,U,4038 WEDGEWOOD STREET,O,Great Falls,1504753.0,V,LA,Canada,143682.0,4.0,49.0,Consolidated Edison
gat106,0.0,433.0,1-630-604-2543,10.0,U,20334 anaconda avenue,O,Erie,3049281.0,,TX,United States of America,350020.0,1.0,1.0,Occidental Petroleum
Sch107,0.0,403.0,1-851-862-7928,10.0,U,5385 young west,O,Hollywood,247478.0,M,SC,United States of America,435103.0,,79.0,Sherwin-Williams
pom108,1.0,615.0,1-065-415-5724,3.0,,2747 SINCLAIR LANE,R,Tulsa,2750301.0,,TX,United States of America,207768.0,5.0,6.0,Affiliated Computer Services
cuc109,0.0,735.0,1-408-512-1007,1.0,M,8622 BROWNWAY PARK,O,Tucson,721333.0,K,MN,United States of America,407512.0,4.0,70.0,Valassis Communications
SUG110,3.0,668.0,1-083-902-4184,1.0,S,18048 GREEN NORTH,O,Anchorage,669440.0,Z,ID,United States of America,403366.0,0.0,23.0,
Pep111,3.0,349.0,1-568-403-7081,,M,18994 country boulevard,O,Sandy,2473979.0,,MI,Canada,384095.0,5.0,78.0,Smithfield Foods
Cha112,4.0,654.0,1-824-389-0618,,S,16063 ashland road,,Boston,3545170.0,,OK,United States of America,288969.0,,79.0,
SEI113,2.0,361.0,1-174-210-2058,6.0,U,19309 mcfarlin north,O,Vancouver,1494871.0,U,UT,United States of America,233665.0,3.0,72.0,TD Ameritrade
GAR114,4.0,427.0,1-425-503-7952,1.0,S,2454 cliffbrook west,U,Akron,436164.0,S,PA,Canada,147236.0,0.0,31.0,Comerica
Tou115,0.0,322.0,1-012-389-9089,1.0,W,15865 strand west,O,Lancaster,1069481.0,,New Brunswick,United States of America,452557.0,3.0,86.0,Steel Dynamics
Kur116,2.0,792.0,1-909-472-6704,9.0,S,13776 east boulevard,R,Concord,,V,UT,United States of America,179305.0,0.0,,Coca-Cola Enterprises
Her117,3.0,478.0,1-622-167-5411,2.0,U,10570 WEIZMANN LOWER,O,Chesapeake,2957261.0,,VA,Canada,205817.0,0.0,87.0,News Corp.
MCV118,,477.0,1-164-511-9338,1.0,M,15278 walnut hill road,O,Flint,228459.0,P,NH,United States of America,262711.0,5.0,92.0,
LAB119,1.0,449.0,1-804-532-9163,6.0,M,23007 WAKEFOREST WAY,O,Chattanooga,67267.0,,VT,Canada,84810.0,5.0,4.0,Stater Bros. Holdings
but120,2.0,466.0,1-197-370-0297,2.0,U,9088 rivas way,O,Billings,1087978.0,,FL,United States of America,96441.0,4.0,8.0,BorgWarner
Pro121,0.0,483.0,1-337-042-5687,2.0,M,18798 ullrich road,O,Scottsdale,3885967.0,,NC,United States of America,462762.0,5.0,97.0,CB Richard Ellis Group
Irc122,5.0,588.0,1-056-138-5321,4.0,D,18517 HULEN LOWER,O,Oshawa,3271101.0,,VA,United States of America,141890.0,4.0,,Zimmer Holdings
Ziv123,5.0,313.0,1-776-191-2031,2.0,,11474 dodd lane,O,Naperville,,G,DC,Canada,156610.0,5.0,40.0,Mohawk Industries
sim124,1.0,647.0,1-280-696-2706,1.0,U,9375 wood south,R,Tampa,1999133.0,H,NC,United States of America,164752.0,4.0,95.0,Berkshire Hathaway
kei125,1.0,430.0,1-857-581-6346,2.0,S,20479 wise avenue,O,Jackson,1100786.0,I,MS,United States of America,278949.0,5.0,92.0,Saks
arv126,0.0,467.0,,8.0,W,19918 ROGERS NORTH,O,Hay River,563992.0,P,SC,United States of America,,5.0,67.0,Gardner Denver
Pra127,3.0,399.0,1-716-343-0884,7.0,M,9284 coffey lower,O,Irvine,962397.0,,KS,United States of America,463736.0,2.0,24.0,Hasbro
lue128,2.0,654.0,1-101-776-2496,5.0,M,2929 north crescent,O,Idaho Falls,1064169.0,C,VT,United States of America,,3.0,26.0,CBS
Prz129,2.0,378.0,1-769-028-0589,3.0,S,15404 queen street,O,Moreno Valley,2100059.0,,IL,United States of America,86667.0,0.0,62.0,Synnex
pen130,5.0,338.0,1-005-833-8970,10.0,W,1619 greenspoint road,O,Ontario,99025.0,J,FL,United States of America,193470.0,1.0,37.0,Belden
Gua131,5.0,695.0,1-884-215-4243,10.0,S,21477 WARREN PARK,R,Concord,3865481.0,S,MI,United States of America,406379.0,0.0,71.0,Broadcom
bre132,1.0,614.0,,7.0,M,6503 ROBBINS STREET,U,Phoenix,804544.0,,Newfoundland,Canada,480595.0,3.0,29.0,Reynolds American
Sav133,4.0,307.0,1-725-177-7815,7.0,S,3958 GLEN LOCH BOULEVARD,O,Coral Springs,3143356.0,X,ME,United States of America,181718.0,5.0,89.0,Wells Fargo
ABB134,0.0,331.0,1-277-496-5396,2.0,M,13640 ethridge lower,O,Oxnard,,Z,AL,United States of America,468310.0,3.0,11.0,Retail Ventures
OP135,2.0,638.0,1-756-463-2201,2.0,S,3981 imperial lower,O,Brownsville,2311953.0,N,IN,United States of America,354987.0,0.0,20.0,AT&T
Mer136,3.0,703.0,1-261-338-7463,3.0,W,13210 3rd drive,O,Memphis,3120608.0,,NH,Canada,284539.0,5.0,75.0,Wynn Resorts
rut137,0.0,302.0,1-811-086-4675,7.0,S,9297 THROCKMORTON SOUTH,O,Flint,2058270.0,,DC,United States of America,213725.0,5.0,95.0,Eastman Kodak
bem138,2.0,522.0,1-338-771-1185,,U,8935 YOUNG UPPER,O,Lafayette,1511983.0,I,DC,United States of America,74195.0,3.0,0.0,Aramark
Pen139,5.0,,1-554-231-5318,,M,3797 RUTGERS PARK,O,Greensboro,439080.0,,MD,United States of America,169295.0,1.0,73.0,ENSCO International
tor140,1.0,833.0,1-733-886-5227,5.0,W,8285 tamarind crescent,R,Sterling Heights,921255.0,Y,Prince Edward Island,United States of America,307832.0,0.0,39.0,Auto-Owners Insurance
law141,1.0,,1-267-357-1943,2.0,U,20025 routh crescent,O,Costa Mesa,3810365.0,L,MD,United States of America,20397.0,1.0,76.0,Bemis
Bee142,2.0,664.0,1-602-756-7919,6.0,U,4144 LAKE PARK LANE,O,Houston,2641938.0,D,New Brunswick,United States of America,463094.0,2.0,5.0,Securian Financial Group
sch143,4.0,789.0,1-793-864-7010,7.0,U,3375 sakowitz lane,O,Bakersfield,3857323.0,,HI,United States of America,331900.0,1.0,65.0,Ford Motor
Wit144,5.0,803.0,1-637-020-2921,0.0,S,7255 berry way,U,Chesapeake,1636212.0,,ND,United States of America,8421.0,0.0,94.0,ConAgra Foods
MER145,4.0,720.0,1-428-797-6325,3.0,M,3131 WATHAN SOUTH,,Sandy,2999082.0,Q,Nova Scotia,United States of America,35780.0,4.0,95.0,Charter Communications
bia146,1.0,839.0,1-011-549-5618,4.0,M,18440 RYAN NORTH,R,Lewiston,2280820.0,,ME,United States of America,139897.0,0.0,28.0,Calpine
Swi147,4.0,621.0,1-993-255-5481,0.0,D,13222 glen loch road,O,Elizabeth,1050866.0,P,Alberta,United States of America,414119.0,1.0,76.0,Crane
bul148,5.0,628.0,1-487-749-4448,3.0,D,7889 MURRAY WAY,O,Sudbury,,,VT,United States of America,234035.0,4.0,81.0,Textron
TYR149,3.0,813.0,1-192-352-2184,6.0,W,7527 whale drive,O,Austin,603001.0,,DE,Canada,144405.0,5.0,38.0,Idearc
Fyf150,5.0,367.0,1-293-442-4224,3.0,W,17788 eagle trace park,R,Salinas,3368239.0,,MA,United States of America,55441.0,3.0,25.0,Cabela's
Sic151,4.0,807.0,1-078-502-6700,10.0,D,7661 GRANT WAY,O,Peoria,1042629.0,,CA,United States of America,392869.0,2.0,0.0,EOG Resources
CAS152,3.0,501.0,1-430-909-3001,8.0,U,4806 crystal hills street,O,Sydney,1948746.0,,Manitoba,United States of America,402416.0,4.0,61.0,
Cho153,0.0,490.0,1-392-455-0895,10.0,U,4211 WILLS NORTH,O,San Antonio,3113862.0,S,TN,United States of America,89984.0,2.0,3.0,Burlington Coat Factory
CHA154,2.0,321.0,1-273-921-9787,3.0,W,7524 linberg north,O,Oklahoma City,2777290.0,,FL,United States of America,395773.0,3.0,77.0,Southwest Airlines
bei155,1.0,,1-012-993-4538,6.0,U,14266 lemming south,R,Miami,2210073.0,E,CA,United States of America,126662.0,0.0,8.0,RPM International
Ele156,4.0,446.0,1-890-859-4211,7.0,U,1427 ADDAX LANE,O,Yonkers,1999684.0,J,CO,United States of America,132008.0,1.0,34.0,Amazon.com
o'g157,5.0,428.0,1-080-032-3031,2.0,M,1625 fernando court,O,Columbia,2119678.0,,Saskatchewan,United States of America,417218.0,5.0,15.0,Neiman Marcus
Kat158,0.0,423.0,1-561-620-7173,5.0,S,335 floresta north,O,Lubbock,169808.0,,UT,United States of America,360063.0,0.0,66.0,Goldman Sachs Group
Lui159,5.0,499.0,1-017-439-0362,6.0,U,22806 garson east,O,Chattanooga,1072732.0,O,ME,United States of America,100516.0,4.0,55.0,Boeing
Kla160,1.0,342.0,1-248-539-6621,7.0,S,5524 vermack street,O,Fargo,2261442.0,,NH,United States of America,16814.0,1.0,8.0,United Refining
Bru161,1.0,632.0,1-611-789-5569,1.0,M,18105 electra street,U,Omaha,2234368.0,Z,VA,United States of America,,3.0,7.0,D.R. Horton
Apt162,3.0,525.0,1-023-151-8130,6.0,M,719 holman court,O,Yonkers,575288.0,Q,TX,United States of America,315962.0,1.0,97.0,Jarden
sch163,5.0,371.0,1-005-574-3523,9.0,M,23553 MEMORIAL RUE,R,Spokane,1102479.0,,Saskatchewan,United States of America,299268.0,1.0,95.0,Systemax
Lan164,1.0,699.0,1-550-487-1571,4.0,U,16759 park avenue,O,Tulsa,2995388.0,,NH,United States of America,301490.0,3.0,92.0,Marriott International
Fus165,3.0,435.0,1-280-494-1415,8.0,M,12296 WILLIAMS LOWER,O,Garden Grove,1147193.0,,VA,United States of America,36052.0,2.0,17.0,Expeditors International
Nev166,1.0,512.0,1-803-438-4141,2.0,U,9625 ALLEN BOULEVARD,U,Fort Lauderdale,1136540.0,R,IA,United States of America,437483.0,4.0,81.0,Great Plains Energy
SHA167,5.0,552.0,1-566-299-2351,6.0,M,10340 jarvis road,O,Philadelphia,1677669.0,,NC,Canada,152971.0,,13.0,Danaher
Sau168,0.0,,1-586-363-4189,8.0,M,13143 goodwin lane,O,Sydney,2160706.0,P,NH,Canada,449495.0,2.0,78.0,
fri169,4.0,687.0,1-505-124-9029,5.0,M,7160 BEATTY RUE,O,Waterbury,2525665.0,,AL,United States of America,349827.0,1.0,78.0,Watson Wyatt Worldwide
fer170,3.0,433.0,1-897-996-9812,0.0,M,22679 chimney rock west,R,Tacoma,3517622.0,O,British Columbia,United States of America,9562.0,1.0,85.0,Yahoo
LAN171,1.0,746.0,1-922-919-5858,7.0,U,6769 pasadena upper,,Charlottetown,,,MD,United States of America,24514.0,2.0,68.0,Convergys
Bha172,0.0,405.0,1-326-572-2988,9.0,M,20622 MCAFEE COURT,R,Independence,97675.0,,IA,Canada,407985.0,0.0,1.0,Celanese
