prospect_gncd,prospect_phn,prospect_ncm,prospect_nmbrcrs,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
Goy79,1-408-684-6459,387890.0,0.0,2.0,M,70.0,,R,Temple-Inland,9.0,2339382.0
Mok80,1-330-353-5908,16808.0,2.0,0.0,S,26.0,679.0,O,Psychiatric Solutions,7.0,
Run81,1-766-726-2675,304589.0,,4.0,M,,356.0,,Nash-Finch,10.0,2065016.0
BEL82,1-938-425-7509,48506.0,2.0,5.0,S,58.0,308.0,R,AMR,9.0,2454049.0
BAE83,1-527-308-8874,,0.0,4.0,M,43.0,412.0,O,Spartan Stores,4.0,2423395.0
MAU84,1-810-590-0635,358862.0,2.0,3.0,D,65.0,618.0,O,Cigna,4.0,1342045.0
Koo85,1-274-548-2512,477614.0,5.0,3.0,S,24.0,429.0,O,General Cable,5.0,861756.0
Lau86,1-649-754-4601,175414.0,3.0,1.0,S,79.0,819.0,O,Dun & Bradstreet,3.0,1215349.0
Man87,1-905-932-1785,427598.0,0.0,1.0,M,48.0,552.0,O,Casey's General Stores,7.0,3981554.0
PIE88,1-031-004-7697,368207.0,0.0,4.0,S,69.0,587.0,O,Jack in the Box,9.0,3865937.0
Bus89,1-994-812-4796,449944.0,3.0,1.0,S,91.0,304.0,O,Assurant,6.0,2804700.0
BAB90,1-176-513-4041,166247.0,5.0,5.0,,75.0,795.0,U,Psychiatric Solutions,4.0,3283558.0
Bur91,1-072-244-6337,391165.0,1.0,3.0,S,85.0,830.0,O,Danaher,2.0,450524.0
Kin92,1-924-669-9328,165854.0,5.0,3.0,M,76.0,709.0,R,Clorox,3.0,
POM93,1-598-488-3541,326181.0,2.0,1.0,S,68.0,493.0,O,Boyd Gaming,8.0,
BOA94,1-295-539-3868,173387.0,3.0,,M,95.0,680.0,O,Eaton,,633760.0
Ron95,1-554-020-0267,301127.0,1.0,5.0,M,15.0,800.0,R,Dynegy,,3634954.0
wei96,1-793-621-4566,487230.0,1.0,5.0,M,17.0,614.0,R,AmeriCredit,4.0,799268.0
Hel97,1-787-267-4261,425747.0,4.0,0.0,,94.0,763.0,R,SLM,6.0,39093.0
mog98,1-668-247-1597,401946.0,4.0,4.0,S,70.0,561.0,O,NV Energy,3.0,2705353.0
boz99,1-901-346-8890,425422.0,1.0,2.0,S,29.0,569.0,O,Landstar System,4.0,3565153.0
Zah100,1-451-273-3803,208890.0,4.0,1.0,M,52.0,634.0,O,Pacific Life,5.0,2832204.0
And101,1-129-499-9136,67880.0,5.0,3.0,U,51.0,488.0,O,Textron,10.0,2194345.0
Bam102,1-899-319-0772,133412.0,2.0,3.0,W,24.0,788.0,O,Pfizer,5.0,3737140.0
fro103,1-053-396-0441,144829.0,3.0,4.0,D,98.0,333.0,O,Cigna,8.0,464753.0
Car104,1-239-665-9540,,1.0,1.0,M,59.0,601.0,U,Ameren,,596696.0
muc105,1-605-888-3403,143682.0,3.0,4.0,U,49.0,595.0,O,Consolidated Edison,2.0,1504753.0
gat106,1-630-604-2543,350020.0,0.0,1.0,U,1.0,433.0,O,Occidental Petroleum,10.0,3049281.0
Sch107,1-851-862-7928,435103.0,0.0,,U,79.0,403.0,O,Sherwin-Williams,10.0,247478.0
pom108,1-065-415-5724,207768.0,1.0,5.0,,6.0,615.0,R,Affiliated Computer Services,3.0,2750301.0
cuc109,1-408-512-1007,407512.0,0.0,4.0,M,70.0,735.0,O,Valassis Communications,1.0,721333.0
SUG110,1-083-902-4184,403366.0,3.0,0.0,S,23.0,668.0,O,,1.0,669440.0
Pep111,1-568-403-7081,384095.0,3.0,5.0,M,78.0,349.0,O,Smithfield Foods,,2473979.0
Cha112,1-824-389-0618,288969.0,4.0,,S,79.0,654.0,,,,3545170.0
SEI113,1-174-210-2058,233665.0,2.0,3.0,U,72.0,361.0,O,TD Ameritrade,6.0,1494871.0
GAR114,1-425-503-7952,147236.0,4.0,0.0,S,31.0,427.0,U,Comerica,1.0,436164.0
Tou115,1-012-389-9089,452557.0,0.0,3.0,W,86.0,322.0,O,Steel Dynamics,1.0,1069481.0
Kur116,1-909-472-6704,179305.0,2.0,0.0,S,,792.0,R,Coca-Cola Enterprises,9.0,
Her117,1-622-167-5411,205817.0,3.0,0.0,U,87.0,478.0,O,News Corp.,2.0,2957261.0
MCV118,1-164-511-9338,262711.0,,5.0,M,92.0,477.0,O,,1.0,228459.0
LAB119,1-804-532-9163,84810.0,1.0,5.0,M,4.0,449.0,O,Stater Bros. Holdings,6.0,67267.0
but120,1-197-370-0297,96441.0,2.0,4.0,U,8.0,466.0,O,BorgWarner,2.0,1087978.0
Pro121,1-337-042-5687,462762.0,0.0,5.0,M,97.0,483.0,O,CB Richard Ellis Group,2.0,3885967.0
Irc122,1-056-138-5321,141890.0,5.0,4.0,D,,588.0,O,Zimmer Holdings,4.0,3271101.0
Ziv123,1-776-191-2031,156610.0,5.0,5.0,,40.0,313.0,O,Mohawk Industries,2.0,
sim124,1-280-696-2706,164752.0,1.0,4.0,U,95.0,647.0,R,Berkshire Hathaway,1.0,1999133.0
kei125,1-857-581-6346,278949.0,1.0,5.0,S,92.0,430.0,O,Saks,2.0,1100786.0
arv126,,,0.0,5.0,W,67.0,467.0,O,Gardner Denver,8.0,563992.0
Pra127,1-716-343-0884,463736.0,3.0,2.0,M,24.0,399.0,O,Hasbro,7.0,962397.0
lue128,1-101-776-2496,,2.0,3.0,M,26.0,654.0,O,CBS,5.0,1064169.0
Prz129,1-769-028-0589,86667.0,2.0,0.0,S,62.0,378.0,O,Synnex,3.0,2100059.0
pen130,1-005-833-8970,193470.0,5.0,1.0,W,37.0,338.0,O,Belden,10.0,99025.0
Gua131,1-884-215-4243,406379.0,5.0,0.0,S,71.0,695.0,R,Broadcom,10.0,3865481.0
bre132,,480595.0,1.0,3.0,M,29.0,614.0,U,Reynolds American,7.0,804544.0
Sav133,1-725-177-7815,181718.0,4.0,5.0,S,89.0,307.0,O,Wells Fargo,7.0,3143356.0
ABB134,1-277-496-5396,468310.0,0.0,3.0,M,11.0,331.0,O,Retail Ventures,2.0,
OP135,1-756-463-2201,354987.0,2.0,0.0,S,20.0,638.0,O,AT&T,2.0,2311953.0
Mer136,1-261-338-7463,284539.0,3.0,5.0,W,75.0,703.0,O,Wynn Resorts,3.0,3120608.0
rut137,1-811-086-4675,213725.0,0.0,5.0,S,95.0,302.0,O,Eastman Kodak,7.0,2058270.0
bem138,1-338-771-1185,74195.0,2.0,3.0,U,0.0,522.0,O,Aramark,,1511983.0
Pen139,1-554-231-5318,169295.0,5.0,1.0,M,73.0,,O,ENSCO International,,439080.0
tor140,1-733-886-5227,307832.0,1.0,0.0,W,39.0,833.0,R,Auto-Owners Insurance,5.0,921255.0
law141,1-267-357-1943,20397.0,1.0,1.0,U,76.0,,O,Bemis,2.0,3810365.0
Bee142,1-602-756-7919,463094.0,2.0,2.0,U,5.0,664.0,O,Securian Financial Group,6.0,2641938.0
sch143,1-793-864-7010,331900.0,4.0,1.0,U,65.0,789.0,O,Ford Motor,7.0,3857323.0
Wit144,1-637-020-2921,8421.0,5.0,0.0,S,94.0,803.0,U,ConAgra Foods,0.0,1636212.0
MER145,1-428-797-6325,35780.0,4.0,4.0,M,95.0,720.0,,Charter Communications,3.0,2999082.0
bia146,1-011-549-5618,139897.0,1.0,0.0,M,28.0,839.0,R,Calpine,4.0,2280820.0
Swi147,1-993-255-5481,414119.0,4.0,1.0,D,76.0,621.0,O,Crane,0.0,1050866.0
bul148,1-487-749-4448,234035.0,5.0,4.0,D,81.0,628.0,O,Textron,3.0,
TYR149,1-192-352-2184,144405.0,3.0,5.0,W,38.0,813.0,O,Idearc,6.0,603001.0
Fyf150,1-293-442-4224,55441.0,5.0,3.0,W,25.0,367.0,R,Cabela's,3.0,3368239.0
Sic151,1-078-502-6700,392869.0,4.0,2.0,D,0.0,807.0,O,EOG Resources,10.0,1042629.0
CAS152,1-430-909-3001,402416.0,3.0,4.0,U,61.0,501.0,O,,8.0,1948746.0
Cho153,1-392-455-0895,89984.0,0.0,2.0,U,3.0,490.0,O,Burlington Coat Factory,10.0,3113862.0
CHA154,1-273-921-9787,395773.0,2.0,3.0,W,77.0,321.0,O,Southwest Airlines,3.0,2777290.0
bei155,1-012-993-4538,126662.0,1.0,0.0,U,8.0,,R,RPM International,6.0,2210073.0
Ele156,1-890-859-4211,132008.0,4.0,1.0,U,34.0,446.0,O,Amazon.com,7.0,1999684.0
o'g157,1-080-032-3031,417218.0,5.0,5.0,M,15.0,428.0,O,Neiman Marcus,2.0,2119678.0
Kat158,1-561-620-7173,360063.0,0.0,0.0,S,66.0,423.0,O,Goldman Sachs Group,5.0,169808.0
Lui159,1-017-439-0362,100516.0,5.0,4.0,U,55.0,499.0,O,Boeing,6.0,1072732.0
Kla160,1-248-539-6621,16814.0,1.0,1.0,S,8.0,342.0,O,United Refining,7.0,2261442.0
Bru161,1-611-789-5569,,1.0,3.0,M,7.0,632.0,U,D.R. Horton,1.0,2234368.0
Apt162,1-023-151-8130,315962.0,3.0,1.0,M,97.0,525.0,O,Jarden,6.0,575288.0
sch163,1-005-574-3523,299268.0,5.0,1.0,M,95.0,371.0,R,Systemax,9.0,1102479.0
Lan164,1-550-487-1571,301490.0,1.0,3.0,U,92.0,699.0,O,Marriott International,4.0,2995388.0
Fus165,1-280-494-1415,36052.0,3.0,2.0,M,17.0,435.0,O,Expeditors International,8.0,1147193.0
Nev166,1-803-438-4141,437483.0,1.0,4.0,U,81.0,512.0,U,Great Plains Energy,2.0,1136540.0
SHA167,1-566-299-2351,152971.0,5.0,,M,13.0,552.0,O,Danaher,6.0,1677669.0
Sau168,1-586-363-4189,449495.0,0.0,2.0,M,78.0,,O,,8.0,2160706.0
fri169,1-505-124-9029,349827.0,4.0,1.0,M,78.0,687.0,O,Watson Wyatt Worldwide,5.0,2525665.0
fer170,1-897-996-9812,9562.0,3.0,1.0,M,85.0,433.0,R,Yahoo,0.0,3517622.0
LAN171,1-922-919-5858,24514.0,1.0,2.0,U,68.0,746.0,,Convergys,7.0,
Bha172,1-326-572-2988,407985.0,0.0,0.0,M,1.0,405.0,R,Celanese,9.0,97675.0
Jor173,1-076-972-4311,,5.0,5.0,M,83.0,805.0,O,Dana Holding,,
KNU174,1-341-595-8408,257897.0,4.0,4.0,M,78.0,819.0,O,XTO Energy,5.0,3569070.0
Ham175,,261143.0,0.0,5.0,M,,648.0,O,Alliance Data Systems,0.0,1507616.0
MAU176,1-536-952-5040,110615.0,5.0,5.0,U,5.0,401.0,R,Franklin Resources,10.0,514151.0
Rez177,1-663-917-0422,407799.0,2.0,0.0,U,43.0,484.0,U,Fidelity National Financial,8.0,2903408.0
Koa178,1-843-773-1791,195242.0,4.0,4.0,U,53.0,463.0,O,FirstEnergy,1.0,1695814.0
HAN179,1-823-567-1252,315490.0,3.0,0.0,U,13.0,335.0,O,Commercial Metals,5.0,868465.0
jak180,1-744-421-7512,22201.0,5.0,4.0,U,7.0,,O,Genzyme,10.0,2810709.0
ump181,1-621-744-1484,441579.0,4.0,5.0,M,17.0,381.0,R,US Airways Group,7.0,3593363.0
Wic182,1-973-214-3381,342730.0,2.0,2.0,M,67.0,708.0,O,Advanced Micro Devices,1.0,2607636.0
Gat183,1-428-266-1600,117267.0,5.0,4.0,M,54.0,354.0,R,United Parcel Service,8.0,2735642.0
bot184,1-334-466-5299,260107.0,1.0,4.0,S,5.0,547.0,,Fastenal,10.0,1501732.0
DAV185,1-249-478-5643,166760.0,1.0,1.0,D,28.0,761.0,O,Core-Mark Holding,9.0,397072.0
HIL186,1-804-228-8548,401021.0,4.0,1.0,M,5.0,659.0,O,Boise,1.0,3399757.0
war187,1-564-230-0062,70945.0,4.0,2.0,M,,351.0,R,DST Systems,9.0,2684548.0
MAC188,1-781-339-9073,389391.0,3.0,3.0,S,72.0,608.0,O,United States Steel,7.0,3041622.0
lev189,1-096-116-9962,63226.0,4.0,2.0,S,12.0,706.0,O,Pepco Holdings,3.0,3211816.0
Goo190,1-914-194-6997,206220.0,0.0,4.0,M,71.0,391.0,O,Acuity Brands,8.0,127026.0
Koh191,1-733-360-9116,,5.0,4.0,W,90.0,461.0,R,Baker Hughes,2.0,588945.0
AYL192,1-591-402-8026,337152.0,4.0,4.0,U,20.0,510.0,O,Newell Rubbermaid,2.0,1962620.0
CHO193,1-326-180-9322,312074.0,,2.0,W,58.0,805.0,O,Westlake Chemical,5.0,178193.0
DIT194,1-784-796-6844,68551.0,2.0,4.0,M,57.0,702.0,O,Jones Lang LaSalle,7.0,2102811.0
EMI195,1-662-625-4671,488800.0,4.0,1.0,W,43.0,368.0,O,Burger King Holdings,3.0,2246854.0
Ryd196,1-627-590-4931,431633.0,3.0,2.0,W,39.0,520.0,R,Hovnanian Enterprises,8.0,1312448.0
mei197,1-055-694-7984,72797.0,0.0,3.0,S,87.0,666.0,O,Medical Mutual of Ohio,2.0,295993.0
Ceg198,1-166-844-7429,260576.0,0.0,1.0,S,57.0,587.0,O,Lockheed Martin,9.0,1220003.0
hai199,1-516-930-4640,200096.0,4.0,5.0,U,58.0,643.0,O,Yum Brands,4.0,2400476.0
cle200,1-261-215-4290,,,4.0,,28.0,484.0,R,Wesco International,5.0,2900897.0
Cie201,1-681-572-7662,267656.0,3.0,1.0,U,95.0,,R,Volt Information Sciences,3.0,3942140.0
Par202,1-288-967-5460,35253.0,1.0,2.0,S,98.0,676.0,R,Western Union,8.0,2118119.0
LOZ203,1-315-022-2148,113159.0,5.0,2.0,M,55.0,300.0,O,,4.0,338540.0
Pas204,1-707-402-6121,297444.0,2.0,3.0,,14.0,,R,Lubrizol,8.0,2617116.0
Aul205,1-186-893-7846,52092.0,3.0,1.0,M,30.0,831.0,O,C.H. Robinson Worldwide,9.0,1459711.0
bar206,1-571-918-3795,30249.0,3.0,1.0,M,90.0,609.0,O,Celgene,7.0,1804959.0
ELL207,1-206-055-2128,483052.0,2.0,0.0,S,69.0,679.0,O,Leggett & Platt,2.0,2957472.0
for208,1-963-724-8044,287060.0,4.0,0.0,U,67.0,634.0,O,Fidelity National Information,6.0,2919293.0
Bur209,1-050-641-8503,274154.0,1.0,1.0,W,41.0,338.0,O,Arch Coal,4.0,3610130.0
FOL210,1-020-258-1680,379659.0,5.0,5.0,M,2.0,332.0,O,Affinia Group Intermediate,4.0,1209441.0
Led211,,,0.0,0.0,M,89.0,721.0,O,Kellogg,8.0,1058712.0
kop212,1-886-961-7857,100796.0,4.0,1.0,,88.0,351.0,O,PerkinElmer,3.0,1946028.0
pay213,1-999-799-7384,128277.0,1.0,1.0,M,90.0,564.0,O,Limited Brands,6.0,1420984.0
PAL214,1-362-078-4138,147414.0,1.0,3.0,M,54.0,379.0,O,OfficeMax,9.0,213235.0
fel215,1-174-723-5263,51559.0,1.0,2.0,S,53.0,727.0,O,J.B. Hunt Transport Services,8.0,472425.0
ATW216,1-898-789-3598,355622.0,2.0,3.0,U,89.0,578.0,O,American Express,2.0,1160132.0
Mcb217,1-482-305-5399,468116.0,5.0,1.0,W,31.0,642.0,O,Occidental Petroleum,10.0,2869995.0
Jal218,1-834-784-7657,276728.0,1.0,0.0,M,1.0,,O,Shaw Group,1.0,3727044.0
vem219,1-864-555-5341,135306.0,3.0,0.0,S,57.0,554.0,R,W.W. Grainger,,2293241.0
BAR220,1-475-209-3369,99566.0,1.0,0.0,U,10.0,733.0,U,IDT,6.0,2846515.0
PES221,1-459-456-1848,263959.0,2.0,4.0,M,74.0,345.0,O,General Mills,10.0,1619956.0
Sha222,1-802-797-1712,441498.0,2.0,0.0,M,28.0,644.0,R,RBS Global,6.0,2367607.0
Sch223,,429621.0,3.0,0.0,S,96.0,564.0,U,Realogy,3.0,3795566.0
Mat224,1-224-760-3774,181214.0,1.0,3.0,M,42.0,465.0,O,ArvinMeritor,10.0,734762.0
JAI225,1-511-883-9082,212502.0,,4.0,D,64.0,652.0,O,Amkor Technology,8.0,908994.0
KAR226,,244545.0,5.0,4.0,M,,714.0,O,Lear,6.0,2561296.0
gus227,1-405-014-0029,218681.0,5.0,4.0,M,49.0,383.0,R,Asbury Automotive Group,10.0,3181069.0
Ann228,1-076-073-0994,296916.0,,5.0,,81.0,336.0,O,Limited Brands,7.0,2632226.0
lab229,1-690-040-0846,453659.0,0.0,2.0,,57.0,626.0,O,Beazer Homes USA,9.0,
fli230,1-211-707-3341,194450.0,3.0,0.0,S,42.0,549.0,U,,0.0,1151333.0
sat231,1-642-203-7899,49533.0,5.0,4.0,U,30.0,492.0,O,Acuity Brands,0.0,2763939.0
tho232,1-792-738-9524,394819.0,2.0,4.0,M,56.0,327.0,O,ABM Industries,0.0,370710.0
CRI233,1-881-269-3949,342754.0,3.0,3.0,S,3.0,545.0,O,,10.0,1192164.0
Gas234,1-537-303-6219,224435.0,1.0,0.0,M,53.0,571.0,O,Southwestern Energy,0.0,223487.0
Cha235,1-682-154-3638,37717.0,0.0,2.0,W,67.0,423.0,O,Delta Air Lines,7.0,2341143.0
Net236,1-512-708-0580,286483.0,1.0,0.0,,94.0,655.0,O,ITT,4.0,1774784.0
WOO237,1-598-440-6359,185412.0,0.0,5.0,M,37.0,488.0,O,Health Management Associates,0.0,3951308.0
val238,1-281-206-9270,472518.0,4.0,,M,75.0,352.0,,Western Union,6.0,2756025.0
Ber239,1-442-133-8200,425307.0,,1.0,M,51.0,810.0,O,Family Insurance Group,0.0,1833112.0
lab240,1-607-062-8891,304909.0,2.0,2.0,D,74.0,686.0,O,Advance Auto Parts,8.0,698884.0
VRE241,,231226.0,0.0,2.0,M,100.0,389.0,R,J.P. Morgan Chase & Co.,0.0,3287261.0
GOO242,1-141-622-5196,219026.0,0.0,0.0,M,,761.0,U,Fidelity National Financial,,3337290.0
cha243,1-500-101-2792,414993.0,0.0,1.0,D,28.0,589.0,O,Toro,4.0,2963197.0
TAM244,1-655-973-7192,24837.0,0.0,0.0,M,18.0,492.0,O,Mueller Water Products,1.0,1487009.0
CUM245,1-972-039-2576,200645.0,2.0,5.0,D,77.0,442.0,U,Energy Future Holdings,10.0,3177428.0
SIM246,1-764-148-5233,22605.0,4.0,3.0,S,14.0,649.0,O,Weis Markets,8.0,1886280.0
Est247,1-399-618-9069,,0.0,0.0,U,23.0,337.0,O,MasterCard,8.0,1853087.0
han248,1-628-481-6657,389524.0,4.0,,D,1.0,572.0,R,Oracle,8.0,195847.0
Pee249,1-085-050-1119,232945.0,4.0,3.0,M,58.0,666.0,U,Mutual of America Life,0.0,3727580.0
bli250,1-993-284-6634,390626.0,2.0,3.0,D,98.0,567.0,O,JetBlue Airways,4.0,2993662.0
Lea251,1-395-464-9156,286207.0,5.0,3.0,,76.0,574.0,O,Western Refining,5.0,2886788.0
Wil252,1-811-547-9696,391468.0,5.0,0.0,S,59.0,498.0,,Western Refining,2.0,3672610.0
kom253,,171326.0,5.0,2.0,U,81.0,836.0,R,Bristol-Myers Squibb,9.0,3245637.0
Wel254,1-648-501-2866,294972.0,2.0,3.0,M,31.0,759.0,,AutoNation,8.0,959636.0
